	Terrific Hotel-very pleased	I saw some of the reviews here and was somewhat afraid of what I would find, but what a nice hotel at a great value! Really a good neighborhood near the Kilburn Park tube stop and a short bus ride to central London on the 16 bus. Friendly staff, great breakfast, nice room, nice health club, what more could you want. Practical shopping district up from the hotel, with grocery store, Starbucks, pharmacy and restaurants. Eggy the concierge was very helpful. I would highly recommend this Marriott, and I travel alot and stay with the chain almost excusively.	
Aug 20 2009 	Good Hotel But Bad Location	The London Maida Vale is a middle of the road hotel well away from London’s city center and tourist areas. We used Marriott reward points to stay here and decided on this location because it was the least expensive of other London area Marriotts. The room was small for a Marriott but was exceptionally clean and well laid out. Like all hotels in this chain, the bed was particularly comfortable. Our fourth floor room overlooked a large apartment complex. The hotel is in a less than ideal part of London. The back of the hotel faces what appeared to be low income housing. There are security cameras (for good reason) everywhere and the parking garage is locked down like no other I have ever seen. Walking back from the tube station at night did not feel entirely safe. Due to the undesirable location alone, I would not recommend this hotel to others.	
Aug 19 2009 	poor house keeping	i stayed here with my partner and 4 children in a suite and even though the roll away bed we had requested was confirmed it wasn't delivered to our room till almost 11 at night. On the 2nd day of our visit we waited till 10pm for towels, as they took the used ones but never left new. the breakfast i will say was very tasty even though the staff looked at me like i was crazy when i said i needed a table for 6 , i could list the problems we had during our stay but wont bore you.The area wasnt scenic but i felt ok walking from tube to hotel with my parner, dont think i would've gone alone though.I would not recommend this hotel to large families.and i would never stay there again.	
Aug 15 2009 	Good Hotel with Excellent Staff	Our stay at the Maida Vale was very good. We found the staff to be pleasant and helpful. Rooms were a good size and clean. The hotel is within walking distance to Kilburn underground station and there are grocery stores and restaurants close by. I was a little worried about the neighbourhood based on a couple reviews I read here, but we found it to be okay. We traveled with two teenagers who enjoyed the use of the pool and gym. We would definitely stay here again.	
Aug 5 2009 	Better than most hotels but still some issues	Overall this hotel is good value for the $$-the rooms are huge and much bigger and nicer than most London hotels. My experience at this hotel was both positive and negative here are my thoughts:Good points-rooms are huge with very comfy beds and it is a VERY quiet hotel. Staff (especially Victor) was great. Bathroom good size and clean. Location is not central but the Kilburn Park tube station is 5 min walk. Bakerloo line takes you to Paddington and Picadilly where you can switch lines. Lots of food and businesses nearby. Starbucks and a few pubs right down the street. Check in was fast and efficient. For the rate of 100.00 GBP per night this was good value.Not so great points: For being a Marriott this hotel is still not as nice as most Marriotts. It is comparable to a US Hampton Inn so it is more likely 3 star by US standards. Huge annoyances: the floor of the lobby was being totally tore up so you had to detour around it and main front desk was closed and everything moved to smaller desk. Lines all the time. 1 Elevator was broke. The smoke alarm went off TWICE early one morning and it is very loud. Maid service spotty. Maid pretty much changed sheets, left towels, empty trashed thats it. Obvious trash on the floor was not removed. Totally ran out of toilet paper on last day. No electrical outlet in bathroom. Blow dryer hidden in desk drawer. Italian restaurant on site was actually closed on Sundays after we were told by a staff member it opened at 6pm. Do not pay for breakfast to be brought to your room, it was expensive and pancakes were not fresh. On site restaurant did have decent waffles. Don't bother with buffet-way too expensive. Room had no radio in it which was a little wierd. Internet service was a rip off at 15GBP per day so just use an internet cafe down the street for 1GBP for an hour or 50p for 1/2 hr. There was a courtesy laptop in the restaurant by the lobby to use if you needed it at no charge.There is a nice small diner right down the street called the Queens Cottage. Just turn left outside the hotel and it is on the right side next to the Queens Arms. Good value for breakfast. Overall this was a good value for the money. We paid 101.00 GBP per night which considering the size of the rooms was a good value. Rooms easily slept 4 people but we only had 2 so there was plenty of room. Room had iron, coffee making facilities, closet. TV only had about 10 stations and advertised porn on one channel and showed boobs so this might bother parents with kids as it was not blocked. There were a few crappy channels on the TV that were radio but that is it. This hotel supposedly has a fabulous gym with access from the second floor but I did not use it. Would recommend this hotel to others especially families with children.	
Jul 9 2009 	excellent value for money	We stayed in a family room with two double beds (four girls going to Take That concert!). At £110 per night it was excellent value. We just had to pay for one breakfast as the 'snooty blonde girl' at breakfast informed us that we were only entitled to 2 adult and 1 childrens breakfast - what! But it was a lovely stay, beautifully comfortable and clean room. We used the fitness centre and joined in an aqua-fit class - super! so friendly! Great position for Wembley and shopping (of course!). Definately stay there again.	
Jun 29 2009 	Great hotel if a little snooty!	I have stayed at several Marriott hotels and this one was one of the best. When we arrived we were upgraded to the Presidential Suite which was very nice, and the maids were all lovely and polite.What I will say is that the majority of the reception and breakfast staff were extremely snooty, especially the blonde woman who seemed to be in charge at breakfast time - she was horrid! They would look down their noses at us until we quoted our room number, at which point they would look at us in disbelief for a split second then start being overly nice to us, which was clearly just because of the suite we were staying in.I think the snobby looks we got were partly due to the fact we were in London and no one's as friendly as up North, plus we are young 'rockers' who'd gone to see AC/DC and pretty much everyone looks down their nose at 'alternative' people!	
Jun 25 2009 	Great hotel with a few exceptions	My wife and I stayed here for three nights last week. We just had a short time in London and needed a comfortable place to stay with easy access to the city at a decent price. This hotel fit the bill nearly perfectly.The decor is kind of modern with polished floors and countertops. The lobby and dining areas are quiet and comfortable. The staff was nothing but friendly and helpful.The location is not walking distance from any major attractions, but is only about a 5 minute walk from the Kilburn Park tube station on the Bakerloo line, which is a convenient line to get to the rest of London. Five or six good restaurants are a 5 minute walk away, including Chinese, Indian, Thai, Spanish, Italian, etc.Our room had an excellent king-size bed and linens, and the bathroom was quite nice with granite counters, bright lights, and great shower heads. The view was of the next building over, but hey, you're not staying here for the view are you? The A/C was weak, and couldn't get the room cold, but we were never uncomfortable. The TV was an ancient looking CRT set with about a dozen channels. Be warned: as another reviewer mentioned, the adult channels briefly display before being covered up by a &quot;This is a Pay Per View channel, press OK to purchase&quot; message. That was quite a shock the first time we flipped through. If you have young ones with you, I recommend you get the channels blocked at check-in (hopefully this will prevent it).The only other negative is that internet isn't free - and it's a little pricey too. I think the price tiers for use of the business center is £3 for 15 mins, £7 for 45 mins and £10 for 90 mins. A lot of the internet cafes I saw in town were £1 per hour. I'm not sure, but I think wired/wireless in-room use is the same as the business center.Overall, the hotel was just what we needed to crash at every night during our brief stay in London. At £105 per night (including breakfast), it was quite a steal IMHO (Marriott Rewards members, try code M11). I will probably try a different hotel next time, if only because there are thousands of options out there and I want to keep trying new ones.	
Jun 5 2009 	Not really a Marriott Hotel not really in Maida Vale	I checked into this hotel a couple of weeks ago. I'd read some of the reviews on here, but thought it would be a good base to get to central London, and the rate was reasonable. I spend a lot of time in Marriott Hotels, and I can say that this one is furthest away from the usual Marriott standard. This hotel is tired. All of the Marriotts in the UK were supposed to be refurbished by the end of 2008....this one must have been overlooked. On the plus side, the staff were really helpful, they were very pleasant and certainly gave a level of service I'd expect from a Marriott. However the hotel itself looks dated, the floor in the lobby is damaged/dirty. I had a room with a king-size bed, the furniture and carpets were quite old and tired. The bath tap dripped....all the time. The bathroom decor was ghastly, but the bed was comfortable, great Marriott bed. The air conditioning took ages to work, and then made loads of noise so you couldn't sleep with it switched on. The room looked like a cheap Holiday Inn dressed up as a Marriott. The hotel fitness club is a local bannatynes, it's great. They do fitness classes, have a full gym, so it's quite a good facility. There is an Exec lounge, but it's not a comfortable place to chill out and relax in. There aren't many comfy chairs, and it all looks a bit stark and unwelcoming. I did eat in the hotel restaurant a few times, and the food was good, and service was also good. Then there's the location. Ok, this is NOT Maida Vale. It's Kilburn Park. Kilburn, to be honest is not a particularly chic part of town. The local tube station plays music to keep gangs of kids away, and I didn't feel very safe walking around the area at night. There's also not much in the way of restaurants in the immediate neighbourhood. If you're in London for a couple of nights then this place is ok (make sure you get it cheap though), however if you're here for a longer-term stay, and expecting the typical 4-star Marriott hotel experience, then I'd look elsewhere.	
Jun 2 2009 	Simple and efficient	Clean rooms with a plesant staff - is what one needs when one travels across the globe to London. The Marriott in Maida vale is well located (close to train stations) and also has a very good breakfast spread. Another added attraction is the usage of the Gym, team and swimming pool. These are added attractions, when you travel on business and you need a place with good breakfast, a gym and close to transport.Maida Vale otherwise is a residential neighbourhood, but its proximity to the Picadelly and other train lines makes it a good place to stay on business trips.Marriott Maida Vale does charm you with their excellent service and their non-fussy attention to customer requirements.I have stayed there more than 4 times last year and will continue to do so in the near future.Another item that is attractive is that the room tariff is also reasonable (of course, the lesser the better), as compared to other Hotels in the vicinity. Also there are a couple of Indian restaurants in walkable distance for someone who fancies the curry!Overall, a good Hotel to stay and enjoy the breakfast in London.- Murali Krishnan	
May 25 2009 	A very nice hotel with great beds and linens.	I must say I was a little concerned after reading the negative reviews, however, I found the hotel very lovely. The new bed was the best I have ever slept on in a hotel and the new linens were beautiful. I must say, some of the Marriott properties I have stayed at in the U.S. were not as nice. I found the staff to be very helpful and attentive. My only concern is that the bathroom needed updating and the towels needed to be bleached as they were quite tired looking. We found a wonderful restaurant about a block from the hotel. It is called the Queen's Cottage Cafe &amp; Restaurant. The address is 235 Maida Vale. My husband and I ate there once every day for our eight day stay. All the food was good, but I especially liked their pancakes. They were wonderful as was their coffee! Everything was reasonably priced. Give the Queen's Cottage a try. I don't think you will be disappointed. If you remember when you go, tell them Dorothy from Dallas recommended them to you.	
May 18 2009 	Not bad - bit far out	Good price for a Marriott if you dont mind travelling a bit further on the Bakerloo line.	
May 16 2009 	A comfortable hotel	I stayed at the London Maida Vale for one night prior to attending a conference in the hotel.I arrived after a long trip from the North East, cursing the conference organisers for selecting a hotel not in central London, but was relieved to find that checking in was a pleasant experience, with helpful, friendly staff who quickly had me on the way to my room.The room was not large, but was very comfortable and certainly adequate for one night's stay. It was a little cold, but after I discovered the thermostat on the radiator it sooned warmed up. I hadn't brought any work to do, but I didn't think that the working area looked particularly comfortable, which might have been an issue on other trips.The bed was extremely comfortable - I loved the mound of pillows - and I had a really good night's sleep.I had a meal in the hotel restaurant as it was really too late to go looking anywhere else. The service was good, as was the food. I would have been happy to eat there again. Breakfast next day was also good - a great range and good service. I had lunch with the conference too and that was fine, considering there were over 70 people to be fed.I would hope not to have to travel to this area of London for a future conference, but if I did I would be more than happy to stay at this hotel.	
May 9 2009 	Fantastic value for a family	PositivesGood sized room, high quality furnishings, nice bathroom with plenty of towels, small fridge for drinks and a safe. We liked the lobby and restaurant. An excellent buffet breakfast was included (children ate for free, although when we booked we were told we would have to pay extra). The staff were friendly and helpful. There is complimentary internet &amp; printer access to allow online check-in for flights.NegativesNot very central, but tube station (Kilburn Park - Bakerloo Line) is only 5-10 minutes walk. View from our room not much to write home about. Not much privacy in room with 2 teenagers. It had 2 double beds in one space ... but OK for a short break, especially at the price.ConclusionIf we're back in London as a family we would almost certainly book again. Nearby restaurantsLittle Bay - 10-15 mins walk. Memorable and unique. Good food. Highly recommended, but not for the faint hearted or infirm - at least if you get one of the &quot;elevated&quot; tables. Luna Rossa - almost across the road. Reasonable food let down by patchy service.	
Apr 21 2009 	Excellent Hotel-Decent Clean Comfortable Beds Value-For-Money!	We are a party of 4 and have stayed in this hotel for 3 nights (2nd-6th Apr). Helpful &amp; friendly concierge. Very reasonable price for two queen size beds to fit 4 ppl for GBP 80 a night. Clean &amp; very comfortable beds with kettle and coffee &amp; tea set, ironing board &amp; trouser pressing board, vanity mirror (which my husband used to gauge the standard of hotel =p), safe fitting 2 laptops. The bathroom is also in tip-top condition.We requested for Non-smoking room but was unfortunately not available which we had to settle for a smoking one. The corridor &amp; room seemed surprisingly smoke-free. Even to my mom who is quite sensitive said it's bearable although she detected some cigarette odour. Location is good within walking distance to the Underground Station (Kilburn Park Station). Let's face it, the underground system is so comprehensive with almost every station being an interchange to one or another line, it doesn't matter if it's not in the central of all the attractions. Furthermore, for the flat rate fare you pay for the Tube, the further the more worth-it =p... btw, it's worthwhile to get the daily pass and sufficient for Zone 1-4 for GBP5.60 per day (good for the Tube &amp; Bus).With the price you pay, what more could you ask for.	
Apr 14 2009 	Not as Promised...April 12 2009	We booked a NONSMOKING, 2 double bed room for 6 nights, 6 months in advance. After traveling over 3,000 miles the hotel had us booked in a SMOKING, King size bed room. My daughter has ASTHMA and was told that the hotel was booked and they could not move us for at least two days. The hallway going to the room smelled like a bar. It was very smoky. The hotel is not actually located in Maida Vale, rather in Kilburn which is a very shady neighborhood. The tube station was a couple of blocks away, but you would not want to walk back to the hotel from there at night. The 98 or 16 bus takes you right into Central London and were very easy to use. We booked several tours through Premier Tours and they were excellent. They pick you up right at the hotel. We had asked the front desk to give us a wake up call for one of our tours, however, the call never came. Luckily we were up in time. One night the fire alarm went off at 3:00 in the morning and nearly scared the daylights out of us. We called the front desk to ask for clean mugs to have tea. A boy from housekeeping came and said that they did not have any clean mugs. He offered to take our mugs and wash them and we were ok with that. He took the mugs and walked into our bathroom and turned on the faucet. He grabbed the bar of soap we had just used to wash our hands and attempted to wash out the mugs. My mother told him to stop and we called the front desk again. We received clean mugs within a few minutes. If you book a room make sure that you have breakfast included because it is 17 pounds per person otherwise. Also if you have children be careful when clicking through the television channels. My 13 year old daughter was changing the channels and on channel 19 a porno was showing giving you the option to charge it the room. I was very upset for my daughter to see oral sex being performed. Overall I was expecting a lot more from a Marriot. The one good thing that I can say is the concerige was very helpful and nice. If you do decide to book a room, hopefully your luck will be better than ours.	
Apr 14 2009 	Decent comfortable but not amazing	This isn't the best Marriott that I've stayed in, but overall it was decent. We had a decent room, not cramped. Bathroom was a good size with good counter space for all your toiletries. Beds were comfortable. Room was quiet!! The tube was about a 6 minute walk. The tube line wasn't the most central one, but not bad. Restaurants and a Tesco supermarket were nearby, though the high street (or main street) wasn't very interesting, and not what you called upscale. I never felt unsafe, though there were a few slightly scruffy locals about, but they kept to themselves, and hey, London is a big city with all types. If you can book this at a reasonable rate, it's a fair choice.	
Apr 12 2009 	Not as promised...poor service.	I booked a room for 4 (2 adults and 2 children). Our reservations said that we would be given a room with a king, 2 doubles or a queen. I never imagined that with four people booked would they put us in a room with one queen. KEEP IN MIND THAT BED SIZES IN THE UK ARE SMALLER THAN THE U.S. QUEEN SIZE BEDS ARE ACTUALLY A FULL SIZE BED IN THE U.S. They brought up a roll-away bed but did not set it up. I think they knew that it was virtually impossible to set up with the size of the room. My husband and I had to move furniture around in order to make it fit. My 7 yr old granddaughter said that the bed was extremely uncomfortable. Our other granddaughter,age 6, had to sleep with us. The front desk said that the hotel was fully booked however they did contact us the next morning to let us know that they could move us to a room with 2 double beds for the remainder of our 6 day stay.Don't believe that you will receive anything ordered in advance of arrival through the Marriott Hotel concierge on-line service. We asked for extra towels and never received them. Service was non-existent. We called for towels to be sent to our room. They were never sent. I had to go out to the hall and track down housekeeping to get them.One day housekeeping did not come until after we left for dinner.	
Apr 6 2009 	Cheap Hotel - No Luxury...	I'm a bit amazed at some of the positive reviews given to this hotel. My guess is that most of the positive reviews were by Europeans who are just not used to the high standard of living and name-brand hotels Americans typically have in the good 'ol US of A...I booked this hotel for a very low rate from a travel site. I should have known better. I typically stay at the better Marriott/Renaissance brands in Europe, and this time I decided I didn't want to pay $300 a night, but rather wanted to see how the other &quot;four star&quot; properties were... Oh boy... First of all, the walk from the Tube Stop to the hotel at night, in the dark - don't do it unless you're a brave soul. There isn't anyone around, and Kilburn is not a good area - positively scary, especially when you meet the locals... There are &quot;social housing&quot; buildings (as the Brits call them) or &quot;low-income projects&quot; (as Americans call them) all around, and the characters that pile out from them can be scary... (sorry if this sounds like I'm discriminating, I'm just trying to be honest).Secondly, the hotel is a bit far from the center of London (20 minutes at least on the Bakerloo line), so if you want to go to the hotel to drop off a heavy bag in the middle of the day, or just to rest before dinner in-town, it's just a pain in the neck. Thirdly, the rooms aren't great. The furniture is old, the television old, the carpet sticky, the view horrendous. It's a small room too. The bathroom looks okay at first, but the tub is weird - when I stood in it, my head hit the cieling. the towels weren't white, they were gray and thin to boot.... The bed was okay - nothing special. Overall, the room just screamed: &quot;I'm tired, junk me...&quot;I'm used to better, and you should too. If you're paying $75 a night, don't mind sad and tired rooms, aren't scared by &quot;dodgy&quot; neighborhoods, and don't mind schlepping &quot;into town&quot;, this might be the place for you. On the other hand, I would recommend going elsewhere. On a positive note - I did like the people working at the hotel - uniformly, they were cheerful and very nice indeed - kudos to them for maintaining a nice attitude despite working at what I would consider a TWO STAR hotel (not four stars in my book).I hope this review is helpful to Americans who are looking to book a room in London. As you're reading reviews on this site, consider whether a European is writing the review, or an American - it can mean a big difference when you finally get to the hotel and check it out yourself with the American standard of living as a reference point.	
Mar 29 2009 	Excellent bistro found for dinner	The hotel was lovely. Swimming pool, although pretty cool temperature, a real bonus as were the sauna and steam room which, together with the gym (which we didn't use) made up the leisure club. Good location, Zone 2 for a travel card, very near tube stations. The stay was greatly enhanced by finding, on recommendation from a local we met at the leisure club, a fabulous 'cheap and cheerful' bistro called Little Bay, two minutes walk from the hotel turning right from the entrance then left into Belsize Road. Gorgeous place with candle lit tables; childrens' menu a fiver for a three course meal of starter (pasta), fish goujons and chips, ice-cream or profitorole; adult starters, mains and deserts very reasonably priced - less than 3 quid for starter, less than 8 quid for a main. A really good alternative to the over priced hotel food - highly recommend Little Bay.	
Mar 25 2009 	Decent choice to experience London	IF your reading this, it probably means your in Marriott Rewards and trying to find a reasonably priced Marriott to stay at. I'll try to give you my honest opinions and some helpful tips. Excellent:1. Access to Mass Transit. The tube is a 10 minute walk and the Busses stop within a couple hundred feet of the entrance. 2. Bed-extremely comfortable. Good:1. Surrounding neighborhood. Grocery store, starbucks, restaurants, and pubs within a comfortable walking distance. It is also a quieter area than central London. Reviewers who describe this area as &quot;dodgy&quot; must not have been anywhere urban before. Average:1.Accomodations(exluding bed). The hotel is not as new or modern as the exterior or lobby imply. The Marriott only occupies about a third of this building and the rest are private apartments. The rooms are somewhat dated and the hallways have that &quot;musty&quot; smell. note:the health club is not marriott property. You are given access for being a marriott guest. Poor:1.Internet access is $21/day2.The 2 restaurants are your standard overpriced hotel fare. The settings are nice, but the service is extremely poor and food overpriced. Several better options within walking distance. 3.Overall Service. Front desk staff seemed disorganized and fairly new. Even the most simple inquries required conferences among staff. One staff member would tell you something and another would step in and change or correct what was said.  Concierge wasn't really helpful. Tips: Buy the 7 day oyster card for zones 1 &amp; 2. These are the only zones that you really need. Also, if you take the bus, you can go into any zone without paying more. Use the busses more than the tube. it's the best way to experience london. It's like a tour each time you take one. Exchange your currency at the locations down at Victoria Station. They do it commission free. have fun	
Mar 20 2009 	not such a big luxury but for reasoable price	the location is very nice, near tube. Room was quite big, but the furniture looks a bit cheap, bed was too soft...you can use the pool and gym which is very nice....we get a deal 2 nites +1 free all together 200 pounds double r. without breakfast which is I think very nice and for such price for 3 nites it was good.	
Mar 20 2009 	Possibly the comfiest bed ever.. :)	We stayed here at the end of January 2009, for two nights, and I would recommend it. The hotel is about 10 mins walk away from the Underground Station and then about 10 mins on the tube away from Central London, so the price of the hotel makes it good value to afford the extra travel in. The staff were helpful and let us leave our luggage with them on our final day, so that we could enjoy our day without carrying it around, and collect it in the evening before our train home. The restaurant and bar were welcoming and the restaurant was good value. Our room was lovely and the bed was possibly the comfiest bed ever (see picture!). We were aware of the area, as we had read reviews, but it was fine especially with two of us.	
Feb 25 2009 	Excellent value good service near tub station	My family and I (children 3 and 7) stayed at this hotel for 2 nights. We arrived driving our own car, from Continental Europe. We parked in the underground garage without problem (just know that you have to check in first or ask the concierge to open the gate for you before getting in for the first time).I trusted this hotel for our long family weekend only because of the strenght of the Marriott name. The hotel was among the cheapest when contrasted with other options, so I was a bit suspicious. We bought the &quot;Escape your Way London Travel Package&quot; which included breakfast for everyone and accomodation in a king bed or two double. We were pleased to discover that we got two king beds )I'm not elete member or anything special for Marriott's fidelity program).Breakfast was very complete and the service in the dining room was top notch.There's a tube station two blocks away from the hotel, it's like a 10 minute walk with small children. Very convenient to reach the center of the city.	
Feb 20 2009 	Terrible housekeeping!	Having stayed at this hotel on several occasions we have never had any major problems (except from the neighbourhood, which is borderline bad). However, when we stayed a few days ago, it was the first time it was busy at the hotel and what a difference that made....The hotel room was poorly cleaned, the sheets were bloodstained(!) and housekeeping banged on the door at 09:15am in the morning wanting to come in and clean?! When I said we were sleeping, they had the audacity to ask when they could get in/come back... Well, my answer was ‘”After we have checked out today!” When calling front desk to complain, they told me we should have hung out the ‘do not disturb’ sign... OK, we could have done that if there actually would have been a sign in the room (which it was not..) but the reality is that the hotel should be organised enough to know who are checking out and NOT wake you up by banging on your door ‘early morning’ wanting to come in a clean!We will NOT go back there	
Jan 27 2009	loved it	lovely and quiet, was given a choice of rooms. the staff were very friendly and helpful. clean room, very comfortable bed. nice size room aswell. would definetly go back. got the room for £60 on priceline. 5 mins walk to the tube station. i couldnt fault it..	
Jan 25 2009 	Briliant Hotel not so great surrounding areas	We stayed at the Marriott as part of a Theatre Weekend in London.To get there we drove through Kilburn, and have to say it wasn't what I was expecting!The HotelThe hotel though, is very nice. As you walk in, it has a smart reception area, the staff were friendly and we had a trouble free check-in.The room we had was 517, and was amazing. It was really clean and spacious, and the décor was pleasant and simple.The room had a TV, but no DVD player. Also had a sofa, and an armchair, ironing board and iron and hair dryer. The bed was huge! (about 5'10&quot; wide!)The bathroom was big enough and clean, and the shower was very powerful.The ServiceThe service both at check-in and check-out was swift and friendly. The room was cleaned nicely by housekeeping, and even though a paper wasn't left outside the room, they were stacked on the table by the lifts.The staff in the restaurant in the morning were also helpful and friendly... more than can be said about some of the other guests who did nothing but complain and moan!The BreakfastThe breakfast is the usual hot buffet type. The choice is great, unless your a vegetarian, in which case your probably limited to beans, mushrooms, hashbrowns and toast!The also have an omelette stand at the end where they can make an omelette on demand, though i didnt try this.The location.The hotel is located in between Kilburn and Maida Vale. The nearest tube stop is Kilburn Park, which is about a 5 min walk away. There is also a Tesco Express just about 1 min walk awayIn summary... I would probably stay here again, especially if i got a good deal on the price of the room (which wasnt too bad when we stayed!)	
