	perfect	I was part of a group of 4 couples stayed in this hotel and would recommend it highly.The rooms were a very good size and the location could not have been better less than 5 mins walk to oxford street and bond st tube station.lots of restaurants within walking distance.Staff in hotel were very helpfull and gave us lots of recommendations for restaurants shopping ,sightseeing etc.The hotel had a very relaxed atmosphere away from the hustle and bustle .	
Aug 18 2009 	Best Hotel To Date	Stoped at this hotel in January and I cannot stress enough how fantastic it was. We stopped in a suite on the top floor overlooking Grovsner Square. Room was clean, tidy and we even got a free bottle of Red Wine and a hand written note from the manager welcoming us, a nice touch i thought. The bed was huge, I am 6'4&quot; and even i fit with plenty of room to spare both length and width wise. There was a separte seeting area with complimentary magazines and the bathroom was super clean and a good size. Only a minute strole and you are on Oxford Street yet the hotel is in a very quite location in Grosvner Square next to the American Embassy. The Bar is cosy and relaxed, not stuffy and uptight and the coctails are superb.All in all an excellent hotel highly recommended i thought it should be a 5* rather than 4* as it was much better than most other 5* I have stopped in in London and in a perfect location. As a afterthought we had a meal at Gordon Ramseys BoxWood Cafe in Knightsbridge only a 15 min walk and the food is Devine with generous portions.	
Aug 12 2009 	Good location	We got a deal on lastminute.com so the price we paid was good for the hotel and its location. The decor seems a bit dated but the rooms were clean and large enough. One of us got upgraded to a larger room with a sofa. There was a mistake with the number of beds we wanted in one room but this was quickly sorted out.The hotel is in a good location and the area was quiet when we stayed (on the weekend). Grosvenor Square has a park in the middle, ideal for sitting out when sunny. Tube stop and Oxford Street (Selfridges) shops are just over 5 mins away. If you don't want to eat in the hotel, there are lots of places to eat nearby.	
Aug 8 2009 	good location.. that's it	my first time in a 5star (biz trip), so can't really compare but.. i d never spend that money in such place. extremely expensive for &quot;ok&quot; poshy place. more than once i didn't find towels in room and had to call recep. restaurant served the most expensive water without u explicitly asking for it. In my case they also mistakenly debited an extra meal that wasn t due..keycards failed twice. Doorbell and phone didn't workwired internet costs 20 pound a day (hello, i always had free wifi in crappy hostels!)laundry service costed 3 times the value of my clothes (3 pound to wash a pair of socks?!) plus the time to unwrap them from plastified , new-looking package. (what s the point?)phone calls 4£ a minute..reception staff never smiled, immigrant waiters\tress didIf i had to pay the bill I would have probably jumped off the window.. oh, btw, u can only lift it up 20cm and the aircon doesn't go any higher then 23 C°	
Aug 3 2009 	Nice Place - Pretty Good Location	My wife and I stayed here with three children. We had two rooms (not adjacent as we would have liked but close together). It was a bit costly but it was very nice. Clean. Slightly dated hallways but nice. Lobby very nice. Breakfast was nice but not included in our room. Location is pretty good. Right across the street from a very nice park and near everything (six blocks walk to Buckingham Palace).	
Jul 30 2009 	very unimpressive	I spent a quick mini vacation to London with a friend and stayed at the Millennium Mayfair. It was my first trip to England and I had heard how expensive London is, so, instead of booking myself and checking the review on Trip Advisor, as I usually do, I trusted my friend and travel agent, to find me a good hotel that would not break the bank. The Location is definitely a plus, near everything and within walking distance of Piccadilly, St James, and Trafalgar Square. The concierge was helpful in suggesting tours and we appreciated the advice he gave us. The room was another story altogether. We were booked in what I guess was a &quot; standard double&quot;... 2 single beds across the Gym, which fortunately was not very busy because I was afraid we would hear people coming and going at all hours.. there were very few amenities in the room... one single bar of soap, no hair conditioner or god forbid body cream and I am grateful we did not need any AC because I am not at all sure it worked. We had the strictly necessary number of towels, so if we showered at night, the next morning we had the same towels to use.. the minibar was not restocked for 2 days, and the room as well as the bathroom were miniscule at least by US standards, the air was stuffy and we had to keep the window open all night to breathe.... The best was the hairdryier... it only worked if you kept your thumb firmly pressed on a button and NO outlet in the bathroom, so one had to dry the hair in front of the mirror in the room, in front of the window....Fortunately we had a view of Grosvenor square... but for the money I will stay somewhere else or splurge a little the next time I visit London.	
Jul 28 2009 	Good location nice staff would stay again	I liked this hotel. Rooms were not small, in fact I had a big king bed, couch, coffee table etc, separate kitchen area etc. Plenty of room! The person I traveled with had a room a few doors down, slightly smaller, but by no means &quot;tiny&quot;. Stayed for 3 nights and had no complaints. Check out the wonderful cafe behind the hotel. Lovely cakes and breakfast for around 5 GBP. Pub a block away. Easy walk to Oxford street (around 4 minutes). Would stay there again next time I'm in London.	
Jul 20 2009 	i will not be back again	this is my second visit to this hotel during my second visit i booked a classic double room the classic double room are too small so i ended up paying more money for a larger room which is the delux double room with an acces to the vip club which they serve breakfast there ... but unfortunally the breakfast buffet starts at 7:30 and finshes at 10:30 which is a liitle bit early and you cannot order the breakfast to your room :sthe vip club is horrible very old style decor at the seventh floor the carpets are disgusting the rooms heater dosen't seem to work you'll end up having a cold like me :( the room tv is outdated -over priced hotel some of the staff are horrible the location is great the beds are comfy the rooms are clean this is the only advantage	
Jun 30 2009 	incredibly poor service incredibly expensive drinks	If you want your debit or credit card charged twice by incompetent staff as a deposit, want woken by the maid at 8.30 am on your day of departure for a noon check-out, or even if you want to pay £9.50 for a single rum and coke in the hotel bar (oh, that's forgetting the 12.5% service charge they put on top without asking), then this is the hotel for you. Otherwise I'd advise looking elsewhere.	
Jun 29 2009 	Great overnight	Had the pleasure of staying here to attend a function.We were very surprised to be offered a complimentary upgrade to a Suite room overlooking Grosvenor Square, this was very pleasant with a good sized bathroom nicely fitted and good toiletries. We found the room quiet and comfortable with adjustable air con.We used the bar for a snack lunch which was good but quite expensive, but hey it's London and the staff were very good.We will definately use this hotel if we need to be in the area again, and we would have liked another couple of nights there but had to be elsewere the next day.Finally all I can say is give it a try	
Jun 23 2009 	nice location noisy hotel service unresponsive	This hotel has a great location. The room 158 was nice clean but small. On 2 of our 4 nights there were parties and the caterer picked up supplies at 2 a.m. making considerable noise for quite some time and disrupting our sleep. The staff was not sympathetic to our complaint.In fact, I woke the duty mgr up when I called to complain.The next day was not much better. I would not recommend this hotel.	
Jun 21 2009 	Excellent Location Decent Value Poor Service - Likely Due to Understaffing	Great location at Grosvenor Sq. (Duke and Grosvenor) in the heart of Mayfaire, steps from Park Lane, Bond, Piccadilly. Clean rooms, outstanding and responsive housekeeping - if you need extra towels, razor, etc. - in two minutes requested items will be delivered. Front desk is understaffed - it takes long to check in/out, even though the front desk clerks are trying their best. Staff are not very responsive/welcoming, although they are trying their best. Internet is blazing fast. Beds are good and comfortable. Seventh floor executive lounge is not worth the incremental cost of the room.Summary: if you are self-sufficient and do not need help from hotel staff (e.g., concierge service), this hotel is a decent value. If you travel with your spouse, stay at the Brown's - they will make her feel welcome and cater to your needs with grace.	
Jun 18 2009 	Great Location Small Rooms	I recently had a 4 night stay at the Millenium Mayfair with my wife. It was a getaway for some London sightseeing, and after searching the web at length, the Mayfair appeared to offer the best value proposition for us wanting to stay in the Mayfair section of London.The hotel is somewhat small, sitting on Grovsener Park in the heart of Mayfair. Its pretty much equidistant to Oxford Street, New Bond Street, and Piccadelly St., and is in a very upscale quiet part of town. To me, this is the perfect location - everything I needed was a short walk away.The lobby is clean and sharp. The porters scamper over to you if you walk a few meters from your luggage, I guess there is a fear of people dashing in and out with your things. Our clerk was a bit new, and to our dismay nobody was really willing to help him as he struggled through our check-in. He made a number of mistakes, many of which were never rectified, but it didn't detract noticeably from our stay.While the hotel is in a quiet location, we were given a room right over the parking lot where the bars let in and out. People stood outside and generally had a wonderful time at around 2 am, and it took several phone calls to the front desk to have the porters ask people to cool it down. Luck of the draw, I suppose, just be aware of what kind of room you are getting and where it is in the hotel.After reading the website I opted for a Deluxe King room at a 40% premium. I figured if we were going to stay for the better part of a week, we should have a bit more room. Ha. It was London tiny, tiny, tiny. We had to inch our way around the bed sideways to move around the room. It was a beautifully refurbished room, although its big box TV seemed out of place with the rest of the modern remodel. Also be aware that if you are a business traveller, bring your adapters - even with the remodel, the mentality towards laptop users seems to be stuck in the last decade.I managed to get what I considered to be a good rate on this hotel of $200 per night - I see others have done better - but this hotel comes with all of the obscenely overpriced goodies one might expect from a hotel that considers itself a business hotel. Internet is a 20 pounds per night, and if you want to use the business center? 5 pounds for 15 minutes (no, seriously). The business center is open 24 hours, which is a major plus. The internet, expensive as it is, is fast.The breakfast is also 20 pounds - to me operating off an expense account, this is something to avoid. Local eateries will provide you with a nice 8 pound breakfast, or if you are so inclined McDonalds is right up the street.Since I got a Deluxe room, I can't even begin to imagine what the unrefurbished regular rooms look like, but if you are going to stay, try to get some of the excellent pricing that seems to be on the internet. I booked straight off the Millenium hotels website.	
Jun 17 2009 	deluxe clean great location	stayed here on two installments during a trip to europe. our first stay we were upgraded to a studio suite for our wedding anniversary. the concierge and front desk staff were very helpful and very friendly. they stored our extra luggage for 6 days while we were in another country. on our return stay we had a problem with the Internet service, which was remedied by having us moved to another (bigger, nicer) room closer to the wireless connection. rooms were modern, clean and freshly decorated. a great location across from a quiet park and super convenient to bond street, oxford street and the tube station. will def stay here when we go back.	
Jun 13 2009 	Excellent value in best location	This hotel is possibly the best located value for money in London. The room was excellent - very clean, and a perfectly acceptable bathroom. The service was good and the breakfast buffet had an excellent choice. Within walking distance of Oxford Street and some top class restaurants nearby we will certainly return to the Millenium London Mayfair.	
Jun 2 2009 	Brilliant location	Need to travel frequently to london with work and this has an amazing location. After day' work just strolling along bond street is a big high.the rooms are well equipped and all amenities are taken care of.The breakfast is early and good, which works beautifully when you are here in london .Mayfair being a big attraction	
Jun 2 2009 	Excellent Place	This is an excellent hotel at a nice location. It is also close to Oxford Street/ Regent Street. The hotel is conveniently located close to Bond Street Station. The hotel has a celebrity chef restaurant which serves awesome food..I have stayed in that hotel for almost 15 times and everytime i have had a great experience...	
Jun 1 2009 	Avoid Avoid 3rd floor - Aircon ducting makes loud hammering noise just before 6 am	There were no porters in the hotel when we checked in, not sure if this regularly occurs. Had to carry our luggage to our room ourselves, although we were capable of this. First strike.We were put in room 360, and were quite happy with our room initially. When we complained that the sink was clogged, it was speedily repaired while we were out.In the last 2 nights of our stay however, there was a terrible rattling noise coming from the aircon ducting just before 6 am. It would subside a few minutes after 6 am, and is loud enough to wake the dead. The first night it happened, we thought it was a one-off thing, since it didn't happen in the 5 previous nights we were in the hotel.The 2nd night it happened, we were terribly annoyed. We had to catch an overnight flight and would have appreciated not being deprived of sleep. If you're not an early waker, please avoid the 3rd floor at all costs. Better yet, avoid this hotel.From previous reviews, i understand that this issue has already been highlighted to the management, but i'm rather surprised that it hasn't been resolved yet, and that they are still allocating people to these rooms knowing that these problems exist.	
Jun 1 2009 	Marvellous Millenium!	Booked this for a concet in London - the concert was cancelled but took the trip anyway, I booked direct with the hotel online for £136 inc vat for a double room. We arrived before check in as we had lunch booked at nearby restaurant. I had called earlier in the day to request early check in and was told that this could not be guaranteed but they would do their best. When we arrived at 11.30 the lady on reception remembered me from the call and explained that the room was not ready yet but she thought it would be done in 15 minutes and did we want to leave our bags and she would call us. We left our bags and went for a drink in the bar and just as she said we were called 15 minutes later and given our key - our bags had been taken up for us too which was great!I had requested a high rooom with a nice view when I booked and the lady on reception informed me when we arrived that we had the 6th floor with a view of the square, I was impressed with this as I have made these types of requests before on the internet at other places which haven't been agreed so it was good to see that the hotel took note o these. The room was lovely and big, with a large bathroom and very deep bath. the view was excellent (although if you are very picky about these things in this season a higher room means less of a view cos the trees were so full and green so could not see into square - I'm not complaining as it was beautiful but just warning you:-) ) The lobby was clean and spacious too, and the hotel is a short walk away from Bond Street Station. We got a taxi as the bags were so heavy on a hot day and this cost around £4.00.The bed was really comfy and there was an iron and proffesional hairdryer in the room (which is so much better than the silly travel ones in most places!). It was also very clean.The reception staff were lovely, along with the concierge who was very helpful with the bags and giving us directions for lunch. The concierge and reception lady both spoke to us on the way back in to ask how our lunch and room were - which was a lovely touch. We ate lunch nearby at Le Gavroche for a special treat, just two minutes away near the american embassy. Their lunch menu is great value for a special occasion at a two star michelin restaurant at £48 each for 6 courses , half a bottle of wine each and a bottle of water (au dourves, amuse bouche, first course, main, dessert, petit fours and coffee). The staff were so attentive and Michel Roux Jnr greeted the diners and signed our menu fo us which was great. I admit it seems expensive for lunch but we ate at 1.00 and it kept us going till midnight!I can't comment on breafast at the hotel cos as it was a special weekend I had booked breakfast a Gordon Ramsey's Maze Grill accross the square before we left. I would say this was really nice but not great value unlike lunch - we had a full english and eggs benedict, with juice, toast and coffee and it came to £36. I expected to pay above the odds and it was lovely however it was the £4.00 for a glass of juice which I found silly.The hotel location was great - it was an area I hadn't stayed in before and even though Oxford Street is 5 minutes away (so great for shopping!) I found the location so peaceful and really relaxing! We took a long walk around London in the evening and I found the hotel a great place to start and end this.Check out was quick and the 12.00 check out time suited us well. So there it is - sorry for the long review! I couldn't fault the Millenium Mayfair, staff were lovely, room was great and location ideal! Highly recommended!	
May 27 2009 	Loved it	I booked this hotel through last minute as a top secret hotel (I was 99% certain this would be the hotel, and sure enough it was) got a great rate room only for £99.We were having a couple of days in London for some sight seeing and shopping. For shopping it was very well placed, close to Oxford St, but in a quiet area. Our trip happened to fall at the same time as Obama was in London, and I hadn't realised we were neighbouring the American Embassy offices, until a letter was pushed under the door stating that protests were planned for next day in the square outside and that the hotel would be using it's rear doors for the whole of the afternoon.We were room only, and our room was on the first floor, we were above the japanese restaurant and had some noisy cabbies waiting for fares and talking just below us, which we could still hear even though the room had double glazing.The room itself was a comfortable size, the bed was comfortable, both the bedroom and the bathroom were clean and well maintained. Having looked at the hotel chains website I thought the place looked a bit old fashioned and in need of a makeover, but in reality it seemed much nicer and fresher, maybe they need to update their site?	
May 25 2009 	Caution!!!!	The best thing about this hotel is the location, the worse everything else.The staff at reception was unfriendly and barely polite. Our rooms weren’t ready at almost 3.00 pm, so we were told to wait without a smile or apology. Apparently they didn’t have any room ready in the hotel! Our rooms looked old and stuffy. The bathroom was smaller than a regular wardrobe, but the worse was still to come.We couldn’t sleep because the noise coming from what it seemed an extractor or an air con unit. We heard more customers complaining, but every time we called we were told we were the only guests complaining and that the noise didn’t even exist! As it was 2.00 am we asked to talk to the duty manager who was appallingly rude and after refusing to give us the Millennium head office phone number, he said he didn’t want to do anything and he just walked away on us.I would not stay at this hotel again. The Millennium Mayfair Staff doesn’t have the basic customer service skills and lacks basic manners. I wouldn't recomment this hotel to anyone!	
Apr 15 2009 	Brilliant!!!	My boyfriend and i stayed here in December and were impressed but when we went to bed - the bed base had broken so the mattress slipped through and was rather uncomfortable. Once we had got home, we wrote a letter of complaint explaining exactly what was wrong and what room number we were in and received a prompt reply back offering us a complimentary stay with full english breakfast. We then stayed in April for my birthday and arrived at the hotel where the receptionist explained that we were staying complimentary and that they were going to upgrade our room. After a long story they upgraded us again from a basic double to a junior suite which was out of this world - not sure id be too impressed if i had actually paid the £382.00 just for the night with no breakfast but it was brilliant. We had our own living room, hallway, door bell and en suite bedroom with superb views over the park in the front. - It 100% made my birthday and i was very impressed to the point where i would go back and stay again!!The location is brilliant for london - just 10min walk from Oxford Street and the tube and the breakfast was brilliant too - everything to choose from. Even if we hadnt have had our upgrade i would definitely stay here again - due to its location. The staff can be a bit unhelpfull but most of them dont understand what you are saying anyway. Just shows what you get when you make a small complaint!	
Apr 11 2009 	Nice pice nice position NICE!	Had to attend a function in town and saw a&quot; last minute&quot; deal on this hotel with breakfast thrown in so took it and arrived early for checkin (12 noon) but no problem room was ready and off I went to it.Very comfortable standard room, well appointed with good space wireless keyboard for tv internet access etc and my view was of grovesnor square and the US Embassy so very safe as police and american men with marine style haircuts lurking around the square and on full show outside the embassy itself.Quiet night (alcohol induced slightly) and then up for great power shoer and down for breakfast which did not dissapoint. I has the full monty and helped myself to such as to keep me going til I reached a late afternoon Sunday lunch. Staff in restaraunt were a delight.Checkout very smooth although TV bill page not very clear but checked out at reception quickly and efficiently.Would return for sure.	
Apr 9 2009 	Excellent location at moderate cost.	The Millenium Mayfair is perfectly located on quiet Grosvenor Square between the American and Canadian Embassies. The Square is dedicated to American Eagle Squadron, Eisenhower and Franklin Roosevelt, a nice location for U. S. visitors. Within a fast 10-minute walk to Picadilly, Hyde Park, Bond Sreet, Regent Street, Oxford Street and 30-minute walk to Harrod's. We stayed for five days on way to Edinburgh, and then two days on way back. Room 523 was beautiful, with big bath and sitting area, overlooking Grosvenor Square. Our first room was a bit smaller, but comfortable with big bathroom. Breakfast was adequate, the service was very good. We also ate in the Pine Bar a couple of evenings for a light supper after full days of sightseeing and the food was very good. Staff was quite helpful and courteous. Highly recommend for moderately priced hotel in a very convenient location.	
Apr 9 2009 	Do NOT RECOMMEND	The best thing about this hotel is its beautiful and central location. The worst thing is the hotel staff, most of them very arrogant and unfriendly. (Except the breakfast room staff). We booked a standard room that was supposed to be 26m2, but was more like 10m2. The room was also very tired. The first day we came back at 5 p.m. after a long day of sightseeing we found that the room had not been serviced. After complaining about that issue and also the size of the room we were upgraded to a so called &quot;Deluxe room&quot;. The person in charge was very rude to start with, but eventually decided to give som good customer service. The day of our departure, we asked a person working in &quot;Concierge&quot; about ordering a taxi to get to Paddington Station to catch the Heathrow Express. He told us that it was not any point taking the train as it was too late to get tickets! We would be much better off using the hotel's limousine service! This was of course an absolute lie as there were plenty of tickets left when we reached the station. Again, terrible customer service that you do not expect in a 4 star hotel in London.I would not stay at this hotel again even if we got the upgrade to the better room. There is something bad in the air that they need to do something about!	
Mar 30 2009 	fab weekend	We had stayed here before, having booked thru lastminute's top secret hotels &amp; had a positive experience, so when looking for a deal for a 40th birthday celebration this was an option. Booked again via lastminute &amp; got a very good 2 night deal including breakfast. Arrived early, this was no problem to the staff, our room was available - complimentary upgrade to a studio room. Reception didn't confirm our breakfast arrangements, full or continental, but we weren't bothered which we had, but they did ask about papers &amp; wakeup calls, which we declined (complimentary telegraph available each morning from reception or breakfast room.) Staff may not have been British, but spoke better English then me.Room was clean, spacious &amp; comfortable, with a sofa, chair &amp; coffee table as well as the usual bedroom furniture &amp; TV. Plenty of hanging space, including padded hangars for blouses etc. Also tea / coffee facilities,minibar &amp; a safe. TV didn't work to start with, but by the time we came back from a walk, it had been fixed.Bed was large (2 singles zipped together, I think), but comfortable with spotless linens &amp; fluffy pillows &amp; duvet.Bathroom was HUGE. Shower in a separate cubicle as well as a bath, which also had a shower attachment. Shower water pressure was great - one of the best I've experienced. Toiletries, bathrobes &amp; slippers iwere provided in this room. Big fluffy towels too.Room was quite warm - air-con controls didn't seem to have any effect (could be the time of year?) but opening the windows helped. The view wasn't up to much (a sort of iner courtyard filed with aircon boxes), but we weren't there to look out of the windows.2 slight downsides to the room:1) toilet flush wasn't as efficient as it might have been2) the tea / coffee tray was in an alcove with the minibar, but there was no-where to plug the kettle in, so had to have the whole thing - not great design there.Breakfast had all you could want, but is a bit pricey @ £21 (mar '09), but filled us up 'til dinner. If you can get an inclusive deal, it's worth it. If the hotel is full, I suspect the restaurant will get quite busy, but breakfast service does go on til 10:30 on Saturdays &amp; 11 on Sundays, so plenty of time.Didn't use the bar on this occasion, it's a bit expensive, but if you're celebrating........We didn't use the hotel restaurant (apart from Breakfast), but the menu looked &amp; sounded nice &amp; wasn't too expensive considering the area it's in.Public areas etc all very clean &amp; any staff you passed in the corridor always polite.Checkout was mid-day which gave us time for a leisurely breakfast. We left our bags with the concierge while we went out for the day &amp; he was happy to call us a cab back to Victoria Station (took about 5 minutes, cost £7.00).Hotel is in a great position right on Grosvenor Square, which means it's really quiet, but it's only a 10 minute stroll through Berkeley Square from Green Park tube &amp; 5 minutes from Bond Street Tube &amp; the Oxford Street Shops.We went for a relaxing celebration weekend to see a show &amp; do some sight-seeing / tourist stuff, so it was comfortable &amp; convenient for us. Internet &amp; business facilities were available, but we didn't use them. There was also pay TV, if you wanted it.We 'd bought oyster cards, which can save money if you're planning on using several buses or tubes a day &amp; means you don't have to queue for tickets. We also used the 'buy-one-get-one-free' tourist attraction offers from our rail operator which made the attractions much cheaper.All in all we throughly enjoyed our stay &amp; would definitely consider the Millennium Mayfair if booking again.	
