	By far surpasses ANY hotel that I've ever stayed at!	I had the great fortune of staying at the Intercontinental Park Lane Hotel, London, over the last 2 days. I was there for a Medical Conference, and my stay at the hotel (as well as the cost of the conference) were paid for by Abbott Pharmaceuticals (as a 'Thank You' to me for helping to produce a drug protocol). The Conference was being held at ExCel; this is 10 stops on DLR and another 5 on underground - so I left the Conference grumbling at the distance that I had to travel to get to the hotel! Well .... I would have travelled twice the distance for this hotel! I arrived at Reception at about 7pm, there was no horrible queue for check-in, and I was met by a smiling face from the lady who booked me in. She made absolutely no reference to the fact that I was being given a luxury suite - just simply gave me my room (suite) key, informed me that it was on the 1st floor and then asked if I required anyone to carry my bags. I declined the offer of a carrier (my bags aren't posh, so I didn't want to be embarrassed!) and took myself up in the lift. I have to say, I did wonder why the door said 'Spa Intercontinental' when I got there, but was so exhausted that I just threw my body through the door. As I opened the door I expected to see exactly what one finds in every other hotel - a bed close to the door, a tray near the door with a kettle, and a trouser press etc. But ..oh no. What actually greeted me as I opened the door was opulence!! Shining black tile floors, gleaming wooden doors. I put the light on, still not sure what I was looking at, saw that there was a door in front of me, assumed that the door to the left was the bedspace - but, again ... no ! It was a stunning walk-in wardrobe, with bar-area prior! There was a loo as large as a standard downstairs toilet-area at the 1st closed door. And then .... I opened the heavy double-doors that were facing me, to find the most ENORMOUS bedroom, beautiful bed, curved sofa at one end, chaisse-longue at the other. Glass finishings everywhere, and, just when I thought I'd seen it all, another door to a HUGE bathroom with illuminated Spa, wet room with rainforest shower and another loo! The view from both windows were of ParkLane Picadilly and Hyde Park (where they had a splendid German Xmas Market!) One of my main reasons for writing this review is that I have stayed in lots of places in my lifetime; I've been to stunning 5-star hotels in SWitzerland when skiing, and all across Europe, the Americas and the wider world. All hotels have professed to probably what they aspire to, but none have quite delivered, in my opinion, what they profess. The Intercontinental seems to play the descriptions down! I know that I wasn't expecting an opulent stay (was only on a 3-day conference for work after all!) so my expectation was fairly low; however, since I've returned home I cannot find a description of the Spa suite on any website! The room, incidentally, is No 106. I really was so very lucky to have it, as I believe that the Pharm Co had over-subscribed, therefore this was an upgrade. However, it seemed to me that the wonderful staff took enormous pride in ensuring that I had a stay which matched my luxury stay thereafter! There wasn't a grumpy face amongst them! The lovely ladies who offered 'turn down', the very cheerful Kimberley who sorted out my extra night - (!) Yes, I stayed on and the hotel staff saw to it that I remained where I was ! I was HUGELY impressed with the night security man, John. I had an unfortunate temporary 'loss' of my handbag in the bar one evening and he was there like a shot, despite there having been no incidents at the hotel before. He scrutinised the CCTV and found my bag for me; all the while remembering to be the perfect gentlemen (he DID tell me that he is ex-military; - however I think his impeccable manners are a credit to his personality, rather than to his military background, as well as to the hotel) Oh, by the way, the bag was only mislaid - by me of course!Finally, on Wed 25th Nov, and after my beautifully relaxing illuminated Jacuzzi in my bathroom, it came to my ever-so-reluctant check out , and I could not believe that the lovely lady behind the desk (wish I'd got her name - I think she is French) not only offered to help me carry my bags outside, but also insisted on leaving her post to come outside and walk me to the end of the road where she could show me the Tube Station! Never before have I had such care and attention and yet, as I say, have stayed in high quality hotels all my life, generally for skiing and leisure.I am highly impressed by this wonderful place and would give my eye-tooth to return one day. However, sadly, don't think I'd ever be able to stay in the Spa Suite, room 106 again! So all I have are my memories!Thank you Intercontinental Park Lane for your unmatchable hospitality. I would love it if you could put some pictures of 106 on your site, as it , and your great staff, really does you proud!Kind regardsLouanne McCabeWinchesterHampshireUK	
Nov 1 2009 	We had a good night	We stayed for one night, and found everything OK, Rooms all clean, a little small, but we expect this in London, Took advantage of the Club Lounge, and if used offeres excellent value. No compliants from us, all the staff we that help us was excellentWell done ! nice Hotel in good loacation	
Oct 24 2009 	The staff let it down	It is no use having spent a fortune on remaking this hotel if the staff let it down. The rooms are tastefully done and well-equipped - but very small even at the top end. The feel of a five star is there but everywhere there is poor service. The doorstaff talk to each other and cannot open a door; the reception staff are slow and have little or no guest recognition skills; the bar staff are almost totally arrogant. The housekeeping staff you encounter do try to be friendly. The upgrade they offer you to the Club lounge is not worth the money.Housekeeping is efficient but the turndown service is hit and miss.The overall effect is of a fine hotel that needs to start again with its staff.	
Oct 23 2009	Intercontinental Ambassadors - Beware	I've been an Intercontinental Ambassador for about 3 years now and sadly this (subscription) programme just gets worse. I've thousands of Priority Club Points built up after many full price stays and yet they wouldn't allow me to make a rewards booking at this hotel - even though they had scores of empty rooms. I spoke to the hotel directly but they weren't the slightest bit interested. Take it from me - Intercontinental Ambassador Memberships isn't worth the plastic it's printed on. Sadly yet another &quot;Hospitality&quot; company dragged down by &quot;Revenue Managers&quot; who are frankly too thick and hard nosed to understand the meaning of the word. My advice: boot Intercontinental Ambassador Membership into touch the next time they come grabbing for the renewal fee.	
Oct 23 2009 	Nice hotel but service let it down	Booked this as a part of a surprise Birthday weekend for my girlfriend. The hotel is grand and plush, however the service we got was terrible and not what you would expect from a 5 star hotel.The staff need to work on their customer service skills and actually realise how rude they came across! My main gripe was that i had orgainsed champagne and strawberries to be in the room for arrival. No such luck. Rang reception 3 times and actually had to go down in person to speak to an extremley rude lady on reception whose attitude infuriated me. After all i had booked this as a treat for my girlfriend and the hotel were managing to spoil it. As we had the theatre to go to i asked that they left the champagne in our room for our return. Overall nice hotel,but bad service!	
Oct 21 2009 	Slept like a baby.	We stayed one night in the InterContinental Park Lane as a stop over after travelling 28 hours from Australia. We arrived early in the morning and had booked the rooms (one for us and one for the kids) for the previous night as well, reception was surprisingly busy with check outs but the wait was short and very efficient and were up in our rooms in no time at all. The rooms arent very large but they have great comfy chairs, wonderful beds and period like furniture. The curtains kept out the rising sun perfectly and we werent bothered by any noise when we caught up on some sleep for a few hours. The location was great for the children to go over to the park and have a run around, close to trains and a good selection of cafes close at hand. As we were all still very tired we had room service dinner which arrived without incident and was consumed and enjoyed by all without complaint. That night everyone slept like the baby. Our check out was incident free and our booked taxi was waiting as we emerged from the lobby.	
Oct 16 2009 	Comfortable stay	Stayed at this hotel and attended a function in their ballroom. Check in was quick and easy. I have stayed here once before approx 18 months ago and they welcomed me as a returning guest. I was given a room on the Club floor which is the 7th floor.Room was clean and comfortable with a spotless bathroom and great shower. The bed was extremely comfortable. Definitely what you would expect of a 5 star hotel.Everyone from the doormen to the conceirge were great. Only complaint is that the drinks were horrifically expensive. £4 for a diet coke in comparison to £11 for a glass of champagne. Think I'll stick with the champagne as it represents better value!	
Oct 1 2009 	Perfect	Stayed here for one night. The entire hotel has just been completely renovated, abs us very nice. I have stayed here before the renovations as well and it was good before but now it was more or less perfect. Highly recomended	
Sep 27 2009 	Does not have the "WOW Factor"	We stayed at this hotel during a short theatre break to London using my points from my Priority Club membership. The hotel is in a great location on Park Lane just a few minutes walk from Hyde Park Corner underground station (just follow the signs to Park Lane using the underground subway).The hotel was impressive at first sight but the reception lady was a bit rude (this was the only time, all other people who worked there were really friendly). We had a standard king room and to be honest we were expecting more than we got, it was what you would get at any other 3 star hotel just with a fancier bathroom, robes (which was ripped), slippers and wall paper. The room was clean and the bed very comfortable with a turn down service at night, our view was onto the hotel so could not see out to Hyde Park.We did get a complementary anniversary cake and some oranges which was a nice touch.We did not eat at the hotel as it was £20 just for a continental breakfast so can’t comment on the quality of the food.Overall it was a good stay but it would have been nice for the hotel to give us the “wow factor” which it was lacking.	
Sep 20 2009 	Perfect Birthday at the Intercontinental!	Stayed 4 nights in September 2009 at the Intercontinental London Park Lane. The hotel is overall very well kept and very clean. Before arriving in London I had a lot of e-mails with the Room Controllers to organize a birthday cake and the concierge desk for the transfers to and from the airport. Both very extremely friendly and helpful, really a great experience dealing with them. The day we arrived during the check in we have been informed that we were upgrade to and Executive Room: it was an amazing rooms overlooking Hyde Park. The room was very good: an entrance with a small table, a desk, a armchair and a king bed. The bathroom was ok, maybe a little bit too small for the Intercontinental standard but was very clean. Room was very clean. Staff is in the whole hotel extremely friendly and helpful. We had always breakfast the coffee book restaurant: the choice was very good with a lot of things. The location of the hotel is very convenient for leisure trip: 10/15 minutes on foot to Piccadilly Circus, 15 minutes to the National Gallery, 15 minutes to Buckingham Palace and about 30 minutes to Westminster Abbey/Big Ben. If you prefer the tube the Hyde Park station is 5 minutes on foot. One evening we had dinner at the Theo Randall restaurant, the food was amazing! I fully recommend this hotel of Intercontinental.	
Sep 8 2009 	Not the the typical Intercontinental experience... at least for us.	Made a reservation almost 7 months in advance of our trip using a discounted/pre-pay website and was issued a standard room, wanted to be upfront about that… I really do think using the discounted websites makes a difference in the quality of your stay. So a warning there. We are regular visitors of our local Intercontinental, and unfortunately this location is far lacking in the overall experience we have become accustomed to. The bed was awesome as seems to be the IH standard… so very comfortable. But unfortunately, that’s where it stops. I called the “immediate service line” to ask for a large bucket of ice… 45 minutes later (and after a 2nd call) they did bring us a desert cart/bottle of still water recognizing our anniversary… however, the delay somewhat ruined that moment. We continued to experience room-service issues, including more delays, and the loss of a towel my wife had brought from home that housekeeping took… the follow-up RE that incident too was handled poorly. The walls seem to be fairly thin… we heard our neighbors throughout the stay, and when asked if we could move rooms, we were told this would be allowable and we would get a call back… never heard anything. There are also dividing doors between rooms… so be prepared for sound through those. Cable tv is pretty good with a nice mixture of channels including ESPN America for you guys needing your States sports fix. Very good air-conditioning.The concierge desk is extremely helpful… so do use their knowledge. The location was fine for us… the hotel is located in a high-income area that seemed overly safe with some neat areas tucked away from the city action. Be sure to visit Audley Pub and Shepherds Tavern, both came highly recommended and were true to description. The restaurant at the hotel, Theo Randall, had great food however the overall experience was average at best due to poor/confusing service. You’re also convenient to Tube locations, bus stops and the bus tour stops as well. Expect a 15-20 Euro cab ride from St. Pancras train station.If you can get this hotel for the price we did... would recommend, otherwise I'd suggest looking elsewhere.	
Sep 6 2009 	Great place good location	Got a great rate on priceline, I absolutely could not afford to stay here otherwise. On the piccadilly tube line for easy access to the city as well as Heathrow airport.	
Sep 5 2009 	A great hotel and “effortless” service	This was our second stay at this hotel since June 2009. The first was a holiday, this one a business trip. We were impressed the first time and even more so the second. We had a great prepaid rate and took advantage of a paid upgrade to Club access upon check-in. This went smoothly and the reception staff was not just competent but downright charming. Throughout the stay we felt a genuine interest in the quality of our stay, from the door men who were helpful without demonstrating any pressure for tips, to Guido the concierge who was informative and gave us solid advice on shopping and transportation (unlike the Rome Intercontinental). The Club supplement included Wi-Fi, a breakfast and “tea” in the afternoon, and a “happy two hours” drink. For breakfast we had a remarkable choice of cheeses, breads, eggs “the way you like them”, many hot and cold items from the menu, fruit, waffles ...My boiled eggs were perfect the first time and served with a smile. The service was excellent, efficient and “effortless”. The Frette napkins and towelettes in the Club bathroom were a touch of class. One negative: Coffee from an automatic espresso machine in the Club was a complete disappointment – folks this machine has to go!!!The room was a bit “space efficient”, but we did not feel cramped and two large suit cases fit easily and out of the way. The TV could be more up to date but it was a “built in “flat screen and worked well. There was a very nice BOSE radio/alarm clock in the room, another expensive touch. The housekeeping was extraordinary and made up for any economy in room size. Every square inch of the floor was impeccably clean and the bathroom was spotless. On a Saturday morning we saw a young man walking cheerfully from one wall sconce to the next dusting/polishing them thoroughly with a cloth. This was really impressive particularly that they were nearly perfect to start with. For connoisseurs this hotel represents a great value for money especially with such favourable Euro/Pound exchange rate. We highly recommend this hotel.	
Aug 27 2009 	Very good hotel but bit expensive !	Been for the second time to the Ic Londen and again a very good service! The Superior room has a partial view of Hyde park and is very small! Their must be a difference of 4 square meters ( Classic room 18 m² , Superior room 22 m² ) But their is no difference only the &quot; view &quot; . Normally their were 3 doorman two months ago but now non. Maybe they are saving ? But I will go their again if their is a promotion of something because the full price is really expensive !	
Aug 25 2009 	Great Experience...Recommend Highly !!	Spend a week in late august last year at this hotel, this was my fourth time in 6 years. The staff is very attentive and always ready to help you at a seconds notice. Rooms are comfy and very clean. Nice television set, choices of movies and programs, Excellent minibar with lots of goodies for the late nighter. The Club Level has to be one of the best from the Intercontinental Hotels. A good size lounge, with cook to order breakfast or self serving buffet, a mix of arab and international food makes for interesting and savory choices. The staff of this concierge or Club level are the best I have encounter in many Club level visits. The hotel also has a nice bar and a very good fusion style restaurant, a bit pricey, but what is not in London. Picadilly Street is just across the hotel, as well as a beaufitul park and many of London's attractions withing walking distance. My experience was excellent and this will be my hotel of choice next time I travel to London Again.	
Aug 24 2009 	Small rooms bad smell 	I stayed there 28-Jun till 5-July-2009… Room 873 and I will never stay there again for many reasons…Room has very bad view (inside the building), old furniture, poor cleanness level … Reception staff promised me to change it after 2 days of stay but they didn’t. Most of staff are not friendly specially the door man and a guy in the restaurant.The only advantage is the fabulous location but in same area there are better hotels like Hilton and JW Marriot.	
Aug 22 2009 	5 star for businessmen 3 star for everyone else!	We had a great deal here for 2 rooms, but it felt like since we received this price break, our stay would match the price. The location is good and the rooms are very nice.....however, this is not a 5 star hotel. We had just stayed at the IC Amstel and the San Fransisco Mark Hopkins, where they bent over backwords to help and make our stay pleasant. This is definitely a business hotel. We saw many people &quot; doing deals&quot; in the lounge, the restaurant..etc. They were catered too. The staff is nice but not very helpful. We saw the business patrons being catered to, while we felt secondary. There were almost no families, fair enough, but if you are a business hotel, make that more apparent in your adds. I called for turn down one time and never received it. ( At the Amstel, they not only came for turndown on a regular basis but left treats, water and other amenities ). I copied this from another review since it seemed to reflect my experience (This hotel might appeal to business travelers. Didn't see many other families. From other reviews it appears the suites and executive rooms are nice, and perhaps the staff is more accomodating to the patrons of those rooms).	
Aug 11 2009 	Great they went that extra mile	I can't fault this hotel at all. Clean rooms, quiet and the staff were excellent.	
Aug 3 2009 	Great hotel. Good locations and value for money	We stayed here for two nights, Friday and Saturday. The room, althoughonly a standard, was a good size by London standards and very clean. Bed very comfy. Check in staff very friendly, as were the waiting staff at breakfast. breakfast was excellent with lots of variety. I would certainly stay here again.	
Jul 28 2009 	Good Comfy stay	I am a plat Ambassador I have stayed at the Intercontintal in London before and i must commend the Reception staff at check in and check out for being friendly and helpful. I received a double upgrade to a very nice room which was spacious, clean and a very comfy bed. The only complaint i have is that for the 2 days i had breakfast in the restaurant the service was terrible as in no staff and badly managed resulting in me having to beg for some coffee and also having my breakfast taken away whilst i was up at the buffet bar. Also the quality of food at breakfast has nosedived as last year it was outstanding but i did notice that the selections are less and the quality of products have been downgraded. But i would gladly come here again minus the breakfast	
Jul 27 2009 	Good location. Five stars???	Husband was on business, so I joined him with our two teenage sons for one week. Booked two rooms, as they can only accomodate a max of three people in one standard room, utilizing a roll away. We were able to get adjoining rooms, even though the hotel was full. Rooms and bathrooms are on the small size. Nothing special. The usual four star amenities. Not much storage room, no place for suitcases. We were there for a week, and ended up stumbling around our &quot;stuff&quot; and each other and one can just forget about sharing the bathroom.The rooms were clean and the housekeeping staff did a good job.We utlilized the 7th floor lounge which had a stunning view and offered a fabulous selection of hot breakfast items, plus the usual continental fare. Offered sandwiches at &quot;tea time&quot; and cocktails with a beautiful canape plate in the evenings. The lounge staff were &quot;present&quot; but certainly not attentive.Very convenient location. Walk to shopping and many tourist sites or take the subway from Hyde Park corner.This hotel might appeal to business travelers. Didn't see many other families. From other reviews it appears the suites and executive rooms are nice, and perhaps the staff is more accomodating to the patrons of those rooms. Five stars? The hotel is, well, fine, but not worthy of five stars in my opinion, thus the average rating.	
Jul 21 2009 	Glad it was a free night	Arrived at 1.30pm could not check in until 2.oopm, fair enough. Went into lounge for a latte and cappuccino, bill was over £10. Lounge was nothing to write home about. Stayed at Intercontinetal in Muscat Oman many times which is a fantastic hotel, so perhaps the comparrisons are a bit unfair. It was a free nights stay so for the Intercontinental group to allow us this hotel was a bonus as we had booked to see a show at the Playhouse. The check in staff were efficient but no smiles and did not give extra information. We were upgraded to the business level which had a lounge, we had to find this out ourselves. The bedroom was adequate, bathroom very small. The cookhouse cafe was ok and breakfast had a good overall choice. At check in we were given a choice of paying £30 or booking breakfast then for £15 each.	
Jul 18 2009 	Five star price two star service	A superior room at the IC London this summer is in the neighborhood of 500 to 600 dollars and the hotel is billed as a five star. So I am reviewing it with regard to its price and rating. It merits neither. The service is comparable to a standard four star US hotel like a Hilton. The hotel performs quite poorly compared to other IC hotels (I'm a Gold Ambassador member) that I have been to in Asia and even North America. Onto services. The concierge staff is overworked. The front desk staff is adequate, but nothing to write home about. It will surprise no one that room service is overpriced, but nearly $25 a day for Internet service is a bit much. Yes, even by the standards of an Intercontinental. The location is good if you want to be near Green or Hyde Parks, but I would recommend top hotels that are a bit closer to Piccadilly itself. On the bright side, however, Green Park is a major Tube stop, an intersection for three lines. The bottom line is this: there is nothing wrong with the IC London. But there is nothing very special about it either. This is not a five star hotel where people will know your name. Staff members don't really go out of their way to be helpful; even if they had the inclination, they might not have the time. It is simply not worth more than about $250 a day. If you're a leisure traveler and you are paying more, you are being ripped off.	
