	Avoid Avoid Avoid	Stayed at this travelodge for 1 night 27/11. Tried to chek in at 1pm to be told check in is 3pm and there is nowhere to store your baggage unless you pay £10 early check in charge which i paid as had no alternative. On our return to our room at midnight after seeing a show we were settling down to sleep to find a Mouse on the edge of the sofa bed. We were eventually moved rooms and did have some money refunded the next morning. The hotel is disgusting, please everyone avoid at all costs ! We were told by the manager the mice are an ongoing problem due to building work and pest control have attended and thought the problem was sorted. Obviously not !	
Aug 25 2009 	Would not stay again...	This travelodge is in a great location for tube stations and walking distance to most places...but it is situated down a dodgy looking lane from Bishopsgate, it seemed harmless enough after a few days of knowing where we were.The actual hotel itself was a disgrace though. We arrived at 2 am to no one on the reception desk (there never was anyone there unless you pressed the bell, and on one occasion the reception girl was very annoyed that we uncovered the bell, which she'd hid with a sign!) Anyway, we were told that we were on the 5th floor and that the lift was out of order, we asked for another room on a lower floor because I have asthma and was told no. After climbing the stairway, which was smelly and damp with cracked windows, all we wanted to do was sleep. Which we couldn't do because the building had no air conditioning at all and it was boiling. At 7:45 am we were awaken to the sound of the building works right outside our window, which no one had mentioned. This went on for the four days we were there. I tried to close the window for some peace and quiet to get my head together, but there was no handle on the window. When we woke up properly and had a good look around I was horrified. There were stains on the carpet (do not walk in bare feet!) spilt coffee or whatever on the walls, cigarette butts in the window frame, our quilt cover was torn, the lamps on either side of the bed were stained and thick with dust, one of the coffee cups was cracked, the bathroom tap was loose and dirty and every time the toilet was flushed upstairs there was a fowl smell coming from our toilet. There is no hair dryer or iron in any of the rooms, but if you ask for them at reception you will get one IF they are available and you have to give it back straight away due to the small amount they have. So to have a shower and dry my hair I had to run down five flights of stairs and back, get ready then run down five flights of stairs again. I complained about the lift and asked when the engineer would be out to fix it, I was told &quot;it doesn't look likely it'll be any time soon&quot;. On our third day there we came back to our room and no one had been in to empty the bins or give us fresh towels, although we had passed the cleaners earlier that day, who had left piles of dirty laundry lying on the corridor floor. I wasn't running down the stairs to complain, I just wanted to sleep. Not that the reception staff would have helped, they were the most unfriendly people I have ever met. When we were checking out the man on the desk was dealing with someone else and asked if we were checking out, I said yes to which he replied &quot;just leave your key there then&quot; and continued with his conversation. No goodbye or thank you. I know Travelodge is a budget hotel and you pay for what you get, but all I was expecting was a clean and working room and to be treated well. It doesn't cost much for cleanliness and to teach their staff about customer service.I have since emailed Travelodge to complain and explained everything that happened. Their response was that they have sent my complaint to the hotels manager and that he/she will be in touch personally. Will wait and see if I hear anything at all.	
Aug 24 2009 	good value for money	Yes this little travelodge is not luxious but what do you expect for the money, however it was very clean and tidy. the staff were very helpful and polite.The breakfast was excellent value..the teenagers paid several visits to the breakfast bar!! It is in a good location foe visiting the city with excellent amnetites nearby..including a post office as part of the building, lots of bars nearby and backs onto Petticoat Lane and 10 minutes walk (if that ) from Old Spitalfields market. Yes there was a little noise from the tube station at Aldgate but you only heard this late at night because everywhere else was so quiet. This is a good base for the city and yes we would stop again.	
Aug 14 2009 	A very noisy hotel	We went there to celebrate my daughters birthday, and although the travelodge was very close to the tube station and a tesco, it was very shabby and noisy. Our two rooms backed onto the stairs, and all night we could hear people going up and down the stairs. The rooms were also very hot, and there was very few fans. The windows would only open about 6 inches too. In the morning we were woken up early to hear the sound of lorries and gates. Also the lock on our bathroom door would not lock, and the lift didn't work as well. The hotel was amazing for getting around, but it was just not up to scratch.	
Aug 11 2009 	Great location and great value	Stayed at the end of July 2009 for 4 nights in a family room on the 6th floor. The room was clean and spacious. The bathroom was also clean and adequate for our needs. There was building work going on in the surrounding area (which obviously the Travelodge does not have any control over). This started very early in the morning, but did not impact too much on our stay. All the staff were most courteous and we were able to check in promptly at 3pm. Great value for the £19 per night - could not have asked for better value.The hotel is in a great position close to Liverpool St station, but situated off a quiet square. We went to a couple of shows and came back late at night, but there was no problem as the businesses surrounding the hotel had nightwatchmen, so we did not feel vulnerable walking in the dark. There are plenty of food outlets a short (approx 3-5 mins) walk away and a Tesco metro opposite the station. We bought cereal and milk from here to eat in the room for breakfast. I can also recommend the Slug and Lettuce (virtually opposite) for a meal (50% off all food on a Monday night). All in all a good travelodge if you want to be close to all the London sights and very handy for the underground.	
Aug 11 2009 	Shabby room high noise levels and lift out of order	Have stayed in Travelodge hotels previously and they have always been clean and tidy and this one although quite clean was very shabby, dirty carpet, pictures missing from wall and missing plaster from wall. It seems maintenance is not a priority in this hotel. There were very high noise levels throughout the night, people coming and going, chains and gates rattling from neighbouring buildings and the underground could be heard and felt even though we were on the top floor. For the 3 days we stayed here the lift was out of order, we did not return much as we had 6 flights of stairs to contend with and couldn't be moved as we had a family room of which there were only 2 available both on the top floor. The only benefit was the location of the hotel which was very close to both Liverpool Street and Aldgate tube stations.	
Aug 6 2009 	Average	It took us forever to get checked in for reasons they didn't give us.The hotel is a good location for the underground, if your wanted to get out and about BUT the down side to it is you can hear the underground through the night which kept me up.	
Jul 21 2009 	Excellent value hotel	We stayed here for 3 nights in march this year and it was perfect for our needs, clean decent sized room's, friendly staff and only 5 min's away from Liverpool street station for your sightseeing trip's.Overall great value hotel in a decent location.	
Jul 11 2009 	Excellant Value and Stay Once Again	Another stay at the Travelodge Liverpool Street. What can I say. Super value, I paid £9 a night for four nights (currently on my 2nd night) and booked an early check in. Got to hotel at Noon, checked in with a very pleasant receptionist and given a nice room on the 5th floor..Very clean and tidy as have all my experiences over the years been at this hotel. Staff friendly and polite at all times. I cant understand why people moan so much about the showers: if you adjust the head the bathroom does not get flooded out...just be sensible. Always plenty of hot water; unlimited tea and coffee if you ask for more at reception. Same with towels; always at least two in the room (plus one spare on shelf in room), howmany does one need?? Whenever I stay in London, usually every 2 months I always stay here if I can get in, the location for both tubes, mainline rail and bus routes is excellant, central but just off the main strip in the city so you generally get a good nights sleep. The hotel cannot be held responsible for the odd drunk in the street..that the same anywhere. If the hotel had air con like the newer lodges in town it would be 100% but you have to remember this is the first and original TL in London, still superb value in my mind, the staff are always very helpful...I always find its the way you speak to people, just remember everyone is human and they all work on the minimum wage..just remember that fact!	
Jul 9 2009 	Purpose built perhaps not the best though.	To start, it was a bit out of the way from the station, not ideal for people on their own arriving late in the evening.On seeing that this hotel was purpose built, I expected it to be a similar quality of the Euston Travelodge, however I was wrong, it wasn't great and was very plain and boring. No art work on any of the walls, very narrow staircases and just simply cold and boring.The room was quite small, more spacious than the Euston one, but not as nice, would have preferred the Euston size for the quality. We saw the bathroom, and I was quite excited that there was a bath, however, it wasn't a bath, it was a 1/2 size bath. I'll draw you an image, me in the bath, torso in the bath, legs up the wall. Not comfortable!!!The service was typical of any Travelodge, so acceptable.. The views were not exciting and the window had a fixed curtain... Overall I found it to be acceptable, but wouldn't stay again. On the plus side the station was quite close, I ran and got a mcdonalds and brought it back for breakfast to eat in the room, it was considerably cheaper than the bowl of cereal they offered in the restaurant!	
Jul 6 2009 	Decent hotel for the price	We stayed at the Travelodge Liverpool Street for 5 nights and overall, found the hotel to be decent. The room was clean, the bed fairly comfortable and it is in a great location to catch the tube. There are several pubs, grocery stores as well as Spittalfield's and Petticoat Market all within walking distance.The staff in general were polite and helpful but 2 we encountered were neither. The shower leaked as there was only a shower curtain to hold in the spray and the shower stall is small and the shower head couldn't be adjusted. The in room wi-fi is a bit pricey (as you can see on their website) but they do have computers in the lobby where you can send off a quick email at 1 pound for 20 mins (apparently this was a special price and it's usually 1 pound for 10 mins). My only real complaint is their booking system which wouldn't allow me to book all nights together and still get their super-saver rate, so I booked our first 3 nights separately and we had to get our key re-programmed every morning. The area was pretty quiet on evenings and weekends but we did get woken up as some guests made their way home around 3 am a few nights.	
Jul 6 2009 	Horrendous ! the hotel was hot smelly 	I booked to stay here with a friend as somewhere to use after going to a concert at Wembley. We paid an extra £10 to check into our room 2 hours early (1pm) our room was located on the 4th floor, we look the lift only to discover the button for the 4th floor didn't work so you had to get off at the 5th floor and walk down. When we arrived on the 4th floor the corridor was full of dirty laundry as the cleaners had left piles of dirty bedlinen and towels outside all the rooms!! this is not something you expect to see at 1pm in the afternoon, the smell was horrendous, also the corridor was really hot as the air con wasn't working. The carpets in the corridors are old and tatty and all the walls are marked from peoples bags, it just looked old and tired. When we arrived at our room it was basic which is what you expect for a Travelodge. My friend inspected the bed and when she pulled back the quilt we could see there was no mattress protector on the bed and stains on the mattress, we pulled the bottom sheet off for a closer inspection only to find the mattress was badly stained with the stain going through to the otherside and on the bedframe ! My friend went back to reception to complain. A member of staff came to inspect the bed and finally agreed to move us. Our next room again was on the 4th floor. This time the room was slightly cooler and thankfully the mattress has a mattress protector on, at this point we decided not to look under the mattress protector!! however we notice that the bottom sheet had a nice big hole in it, thankfully this was located on the side of the mattress rather where we would sleep. In the bathroom we discovered we'd only been given one bath towel and one hand towel between the two of us and the shower cubicle was full of mould. We left our room to head off to Wembley, we called the lift to take us to the ground floor. After returning from the concert in the early hours of Saturday morning, we had to swip our room card at the reception entrance to allow us back into the hotel. As soon as you walked through the reception doors the heat hit you ! we decided to get a snack from the machine in reception a packet of crisps where £1.60 !! When we finally got back to our room we discover that one of the bedside lamps didn't have a bulb in it. My friend was the first one to use the shower in the morning by the time she'd finished the bathroom floor was soaked, so by the time I'd had my shower the bathroom floor was more like a swimming pool ! it was just horrendous we had to put the hand towel on the floor to stand on to clean our teeth. When we checked out a we were asked to rate our stay between 1 and 10 we gave it minus 20 to which she was very shocked. We asked what we need to do to give an formal complaint, she wasn't very forthcoming and said we would receive an email following our stay where we could write our review, we insisted she took our numbers and that the manager should call us. I'm still waiting for the call..	
Jun 26 2009 	Unplesant!	Stayed one evening, first time in Travelodge. Person on front desk was helpful and welcoming, my room was on the second floor. The corridoor carpet was badly soiled and smelled terribly of dampness - I was later told this is due to the fact the bathrooms flood regularly! Room clean but basic as expected, took a very quick shower and bathroom floor was very wet. After going out to dinner returned to find place totally without electricity, power cuts apparently also regular, asked for emergency light to help find way to room. Lift also out of order obviously. Electricity restored about half an hour later, staff were helpful. Next morning room very hot, still no lift, bathroom flooded once again, went for breakfast which was nice but no air con and unbearably hot. Had to carry bags down stairs, heat unbearable and trouser bottoms soaked after collecting things from bathroom floor still soaked.All in all a very unpleasant stay - only positives, comfortable bed, nice breakfast and lovely staff.	
Jun 21 2009 	A brake in London	Picked this hotel as it was central to Liverpool St Station and going on the reviews I got from Trip Adviser, also they were having a sale. I can only say that we enjoyed our stay there. The room was clean the staff were friendly. I will stay there again even having to pay full price.	
Jun 19 2009 	Very good value for a short trip	If you want a great location (5 min walk to Liverpool St Station, where you can take trains, tube and buses) and if you don't mind a good &quot;low-cost&quot; hotel, this can be the one.We were aware we had to bring our own shampoo, bath gel and so on; we knew check-in would be only after 3 pm (but, at the reception, we were kindly informed 2.30 was ok enough); we knew also we had to pay a bit more for breakfast, so we knew what to expect.Breakfast was good (7 ou of 10), all you can eat buffet;The only thing we did not like was the fact they only had 1 set of towels for a double room, so we needed to ask for another set. Considereing pros and cons, i think this hotel is a very good value for a short trip to London, if you travel on a budget.	
Jun 14 2009 	Fantastic value 	The location of this travelodge is brilliant, short walk from both Aldgate and Liverpool Street underground. Also literally one street away from Petticoat Lane Market. Room was spacious, clean &amp; tidy, bathroom was also nice and clean, girls just remember there are no hairdryers in the rooms! Breakfast was good value too. Considering we got the rooms on one of Travelodge's £19 a night offer we couldnt fault it.	
Jun 11 2009 	Good location for underground lousy hotel	I stayed in the Travelodge Liverpool Street for three reasons - price, proximity to the underground, and proximity to a business center where I completed training for three separate days. In respect to all of these aspects, this Travelodge met my needs - it's less than five minutes from Liverpool Street and Aldgate stations by foot. The price was also pretty competitive (I believe we averaged around 100 GBP a night).That being said . . I have some major qualms with staying at this hotel.First of all, I realize you don't go to Central London and expect to pay a small price and get a ton of amenities . . I get that. . however, I think certain things should be expected. For example, they only had one pillow in our room when we got in - and they did not have any more at the front desk, so we had to make due until the second day when more came available. How can a room only have one pillow? I have no idea. . Other things that were problematic and annoying . . no phones in the rooms, no fan or air conditioning, a window that opened to the street that people were using / arguing / partying on all night so it was difficult to sleep, they only cleaned our room one out of the four days we stayed, no soap for the shower, the hallways reeked of mildew and there were some really gross stains on the floor of the room. . .A few minor positives of the hotel worth mentioning: the breakfast was a fairly good deal (7,5 GBP for an all-you-can eat buffet of relatively good quality), the elevators did work (despite their web site stating that they did not) and there are a fair amount of pubs in the area of ranging nationalities, so there are places to eat and drink pretty close. . but expect to need a suit jacket to go to any of these, as this is the financial district of London and tourist clothes really make you stick out!Overall. .I wouldn't stay in this hotel again, but would probably consider staying in this area again. We were a very short tube ride from all of the touristy stuff, the neighborhood felt pretty safe, and the price was right. . but yeah, the hotel was very dirty and seems to have had all of its better years behind it. . We stayed at the Premier Inn at London King's Cross for the last 4 days of our trip, and that was an AMAZING place to stay compared to the Travelodge (and actually cost about the same amount) - I highly recommend you go there instead of here.	
Jun 3 2009 	Great value!!	I was dubious about staying at this travel lodge, partly because of some reviews on here and partly because of previous TL experience! However the hotel was in a good location and the staff very helpful. The room was clean and spacious. Yes it was basic - there are definitely no frills here such as haridryers etc. However so long as you are prepared for this it is fine.We prebooked food in the cafe at £6 a head and whilst it is not the nicest food you will ever eat it is a total bargain and good if you want to eat there.	
May 28 2009 	very good hotel	stayed in with my 4 and 7 yr old and husband very easy to get to from liverpool street station.hotel staff very friendly .. clean, ask for extra pillows and got them. welcoming from cleaners.front desk staff. good security needed your key to access the building and then a 2nd door:) close to a tescos metro and a M+ s and local resturants..downsides , The fryer was out of action so after we ha taken a seat and looked at the menu for 10mins was told No chips and a range of other things not avaiable.:(no vegetarian menu for the english fried breakfast..a vege sausage would have bin nice .. the breakfast set up was a bit crazed. we had a ticket for it and for kids .the first day noone seemed to want it and the 2nd day we were asked for it again and again.the lift was abit mental..floor 4 didnt seem to work..and guess wat floor we were on! ahem 4	
May 14 2009 	MICE!!! Beware!!	Good location, looked a little more clean than some Travelodges I've stayed in but I was woken at 5.00am to a strange sounds coming from the bin. I looked over and found mice in it. Since there are no phones and only a callcentre or a number (no front desk) I simply threw it out the window. Staff the next day were dismissive and wouldn't refund the follwing two nights I had booked. Disgusted.	
May 2 2009 	Good Travelodge	We have stayed in a fair few Travelodges. Some good and some very bad. We thought this one was good. It was usual Travelodge spec but it was clean, well located with two tube stations close by (Liverpool Street and Aldgate) and had a nice bar/breakfast room. Whilst Liverpool street is a nice big station, Aldgate is the closest in walking distance.The girls on reception were very cheerful, polite and helpful. All in all we had a pleasant stay at this hotel which was made even nicer by the fact that we managed to get our room on one of Travelodges promotions for £19.	
Apr 26 2009 	Felt like Fawlty Towers	I don't expect luxury when staying at a Travelodge... but this one was so bad as to be almost comical.When I arrived I was greeted by one solitary distraught-looking employee who seemed to be completely out of his depth. He was struggling with the computer system which he didn't seem to be able to get to work, and when another one of the waiting guests asked him if there was a toilet in the public area (she seemed desperate) he told her he didn't know because (quote) &quot;I don't work here&quot;. (!!!)However, he eventually managed to sort himself out sufficiently to be able to check me in. Walking to the lift I found the ground floor corridor strewn with blood-stained tissues.... perhaps I should have beaten a hasty retreat then but I was TIRED and just wanted to get to bed.But worse was to come... when I got to my room I found the bed was unmade and the bathroom had wet towels on the floor. Clearly the room had not been cleaned.I returned to the reception desk and was duly allocated another room (room 115). .. but when I got to that room I found that it was occupied! When I double-checked my card key wallet I discovered that 115 had been crossed out and 206 had been written above it... but how am I supposed to know these things if no one tells me? I made my way to room 206 which proved acceptable... though only just! There were large cracks in the wash basin and coffee stains on the desk, and the room was very cold when I arrived as the heating had been turned off. Even after I turned the heating back on the room never really warmed up, and there was quite a bad draft coming from the window.I complained to the hotel chain, and to give them their due they did phone with an apology... blaming absolutely everything that had gone wrong on the poor overworked chap behind the counter who had, apparently, been brought in at short notice to cover for someone who had gone sick.	
Apr 23 2009 	As expected...	We stayed for two nights over Easter, and generally had a good stay. We arrived later than planned, around 1am, thanks to Ryanair, and were dealt with efficiently by the night receptionist. Unfortunately the key machine was not working so he had to escort us to our rooms. He escorted the other couple to their room first, and after three attempts, found them a room than was not a) already in use or b) unsuitable due to certain 'issues' as he put it. After getting to our rooms about 45mins after arriving at the hotel, he did kindly give us vouchers for a complimentary breakfast the next morning.The breakfast was more than ample, and at £7.95 was well priced if you were paying for it. The cooked breakfast was fresh and plentiful, and filled me up.Other than that, the room, was basic, but clean and comfortable. Excellent location, just a couple of minutes walk from Liverpool St. No complaints.	
Apr 22 2009 	A decent no-frills lodge at a great location at a great price!	Stayed with the lodge for 3 weeks, first impression on the room.. pretty depressing, but after sometime, got used to it, and got pretty comfortable with the room. I stayed on the 2nd floor, once in a while, there will be some loud commotions between some street thugs and the police... Nonetheless, great location, friendly reception, 3-5 min away from Liverpool Street Station, bars and restaurants are easily available around the vicinity, tower of London and tower bridge are nearby, 15-20 min away. Petticoat Lane Market on Sundays, lots of Indian cuisine on Brick Lane. There's a nice Chinese Restaurant nearby as well, so food-wise, no problem. And it has got Flim4 as one of its TV programmes which helps to kill much of my boredom.	
Apr 19 2009 	good base for a good price	a good place to stay as its an easy 5 minute walk to the tube station. Safe area and near to a few resteraunts and shops.It was basically clean,only negative things i could say was that the shower must have been blocked as the bottom filled with water and started to overflow if you wasnt quick! The other thing was you could hear a bit of noise from the tube.Other than that was perfect, clean bedding, t.v, towels changed every day, somewhere to sleep for £39 a night	
Apr 19 2009 	Great hotel would stay again	We paid £9 a night for 3 nights at Liverpool St due to the Travelodge £9 stay. It is in a prime location for anyone who wants access to the underground as it is only five minutes walk away. It's also in a quiet area and was always peaceful. The quality of the rooms was great and it was very comfortable to sleep in. Would definitely recommend it to anyone who wants easy access to travel networks whilst touring London and would also recommend it to anyone who wants a cheap and comfortable stay in central London.	
Apr 14 2009 	Just what we expected - great value	Got three nights and paid £19, £59 &amp; £89 for family of 4. No noise from street as in a quiet side street, even on 5th floor there was a distant rumble of trains from underground whihc surprised me. ALso were warned of building work, tower block being built opposite our room, however we were up and down at brakfast by 8pm each day and they hadnt started at that stage so not a problem. Breakfast room a bit small, as was our room but staff were all fine and so was breakfast, will definitely be back	
Apr 13 2009 	Disappointing	Booked a family room for 1 night (thank god) and the room was smaller than what was shown in the website. My parents got the bed and me &amp; wifey slept on the uncomfortable sofa bed. Only one small soap was provided even though they know we are in a family room (I would understand if it was a single or double room). We didn't bother to ask for more soap; our fault. Further, we had to climb a number of steps with our luggage before reaching the lift. Too many fire doors before we arrived to our room, and we find it quite annoying since we had to hold the door while dragging our luggage.The only reason why we decided to stay here was because we need to be at Liverpool Street station very early in the morning to catch Stansted Express. We already had in mind that we should not be expecting a Waldorf Astoria or Marriott if we choose a backpackers hotel, but never thought it would be a dreadful experience.	
