	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
Aug 30 2009 	Excellent stay at the QE	I spent one night at the Queen Elizabeth, in town for the Montreal Film Festival. I booked two rooms through hotels.com and was pleased they were able to put us in side-by-side rooms despite being fully booked. I signed up for the president's club on the Fairmont website prior to the visit based on another traveler's recommendation in an earlier review. I think this was worth it, the lobby can get very busy during check-in and it was nice to have a shorter, private line. We used the valet at $26 a night, which was steep but all in all worth it as it is difficult to park right in the center of montreal. The location of the hotel was great, only a block from lots of shopping. Restaurants are many around, but we did eat at the hotel's bistro, Montrealis I believe it was called. The food was adequate for the high prices: nothing to write home about but not terrible either. Service was good, the front desk staff helpful. They upgraded us to rooms with king-size beds. The room was actually larger than I had expected from reading reviews, I have certainly stayed in much much smaller rooms in the centers of cities before. The bed was very comfortable, I slept wonderfully. Overall I would recommend this hotel to travelers, I think it would be comfortable for longer stays as well.	
Aug 28 2009 	QE is always great	I often go to Montreal on business or leisure and this hotel is definitely the best spot in town. You cannot beat location. Sitting right on the train station, at a walking distance from everywhere you need to go, and directly linked with the underground city. Queen Elizabeth is the biggest hotel in Montreal (more than 1000 rooms) and has very interesting history behind it. Service level is standardized so that you always have the same experience every time you come. If you can afford it, Gold floor is fantastic... It is not only a slightly upgraded floor as you'll find in other hotels, but it is actually a personalized boutique style hotel within the hotel with your own entrance. If you're looking at a high service level, this is the room you need to book, especially if you're on business. But if you're on a romantic week-end, the regular room will give you all the intimacy you need.Finally, the Sunday brunch is really a must, as in all Fairmont !!Now beware!!This is NOT a family hotel. They do not have the facilities to accommodate families, especially young children; rooms are not designed to accommodate an additional bed or cot. Rooms are small (but cozy). So if you’re on a family trip, other options in Montreal will suit better your needs. Another con... this hotel, especially during Summer months (high demand in Montreal during Summer) can get very pricey (from mid June to mid August). Also the QE hosts many conventions, so sometimes it can get fully booked during weekdays (tip : if it gets fully booked, try with a consolidator, sometimes they have rooms available even if the hotels says it is fully booked). I would recommend this hotel to anyone not on a family trip.	
Aug 27 2009 	Nice Fairmont hotel.	I went to the Fairmont Queen Elizabeth on August 9 2009 during the tennis tournament (Rogers’s cup). During my stay, the atmosphere of the hotel was really great because this was the official hotel for the tennis tournament. A lot of tennis players stayed at this hotel during the week. In general, the Fairmont Queen Elizabeth is a really nice hotel but it’s not perfect. HOTEL AMENITIES AND PUBLIC ROOMS: The Fairmont Queen Elizabeth has a nice lobby with a lounge next to it. The décor is classy with white marbles floor. I would say that the décor is classic and not too modern. It’s still beautiful in my opinion. The hotel has a nice fitness center with good equipments and plenty of space for your personal workout. It’s on the lower floor, under the lobby. Next to the fitness center, there is an indoor pool with two Jacuzzis. The pool is not really big but it’s a city hotel, not a resort. So it did the job. I didn’t try any of the hotel restaurants because there are a lot of restaurants nearby so I can’t comment on those, but I have heard that the food is pretty good. What’s special about this particular hotel in Montreal is that you can access the underground shopping mall by going down a level from the hotel lobby. The mall is literally under the hotel, so you don’t need to go outside to reach it. So, I would say that the Fairmont Queen Elizabeth has nice public rooms and good amenities for a hotel of this class. HOTEL ROOM: I stayed in a Fairmont room with a queen bed. I found the room small compare to other Fairmont hotels where I stayed at but it’s was really beautiful. The décor of the room is modern compare to the rest of the hotel with really nice furniture. The bathroom was small but it was clean and beautiful with black marbles floor and walls. In general, the room was great. SERVICE: The service that I received during my stay at the Queen Elizabeth was good but not perfect. I was able to check-in early but the reception employee seemed not really happy. She was only doing her job and nothing more. The staffs that I encountered thorough my stay didn’t seem to welcome the guests with enthusiasm. On a possible maximum score of 10, I would only give 7 out of 10 for the service I received at the Fairmont Queen Elizabeth. OVERALL RATING: I give the Fairmont Queen Elizabeth 4* out of 5* for its nice amenities and small, but beautiful hotel rooms. The only reason why I don’t give this hotel 5* is because the service was not up to the quality that Fairmont hotels are known for.	
Aug 26 2009 	Tammy was the BEST	Visited Montreal for our 42nd Anniversay last weekend. First time back to thyis beautiful city since our honeymoon exactly 42 years ago.The Queen is perfectly located and does many things well and nothing badly.Our stay on the Gold floor was made especially enjoyable by Tammy. She made our visits to the lounge area especially enjoyable. (I'm not certain of her title - she attended to the snack and drink area - but, went way beyond expected in service and warmth. We especially appreciated her suggestion of Restaurant Julien as a small (not-such-an-elaborate-deal) within walking distance. (For some reason,?? the Gold Room desk on the Saturday evening shift did NOT offer Menus &lt;or much help really&gt; about near by (walkable) alternatives to the Fairmont's Beaver Club).A comment on value: maybe things have changed in the last couple years - I think a beer or glass of wine OUGHT to be complimentary on any premium floor. There was an Honor Bar charge.:( They had a GREAT selection of beers. Wines were nice but limited selection available. The snacks were fine but certainly not remarkable. (We've really enjoyed and been spoiled by the Ritz-Carlton Club Floor in past years.)All things considered, there was nothing that would disuade me from staying here again (Tammy might convince us to return) but, I'd probably shop-around to see if there might be something that &quot;had it all&quot;.	
Aug 26 2009 	Nothing Special	There is nothing wrong with this hotel, but for us it just did not have the charm or character of the other Fairmont hotels we have stayed at. The room was very small, and the bathroom just adequate. The location is great if its your first visit. We have stayed in Montreal many times, and there are other locations that are more interesting. The hotel charges 26 dollars a day for parking, but we paid 15 in the green P right behind the hotel. We were there on a week day, and arrived later in the day, so that may have helped us get a spot. It was half the rate of the hotel. The hotel is clean and has nice beds and furniture, but they are small with a large hotel feel.	
Aug 24 2009 	Lovely hotel in a good location and nice view of the city	We stayed for a long weekend to escape from NYC. My date joined the President's Club which made check in a breeze and gave us other amenities to enjoy (like the morning paper). I found very little to complain about - minor things like less frequent changing of linen and fewer room attendants cause our room not to be serviced until early evening (5:30 PM) on the second day. Room # 1078 was a tad small, but I've stayed in tighter quarters for more money. Nice toiletries and plush linens though. Nice furniture but not much room for storage - plenty of mirrors. Had lunch in the Montrealais Bistro Bar and enjoyed the ½ pound burger - the wait staff was great (staff was attentive throughout the hotel actually). The Bistro is pretty and has nice street views, prices were a tad high, but I think comparable to NYC's east side hoteliers prices. A word of compliment to the housekeeping staff - I left behind some papers I was grading. When I called the hotel to inquire, they actually sent someone to check the room, found the missing item, returned my call and offered to send my portfolio back to me! Very considerate! I would stay here again, especially since it is almost directly above the Amtrak train station. Great for walking or biking to the various neighborhoods of Montreal and for shopping in the Old City and the Underground or St. Catherine Ste.	
Aug 21 2009 	Great Location Yummy Brunch Buffet	The Queen Elizabeth cannot be in a better location in terms of shopping. It's connected to the Place Ville Marie underground shopping mall, which connects to many other malls like Eaton Centre and Les Ailes, not to mention its close proximity to the infamous Rue Ste.-Catherine. The train station is also directly beneath the hotel, which is also ultra-convenient if you want to arrive by train. Our room was a little on the small side. I'm not sure if we just got the slim pickins or if they are all mostly like that. I think I was expecting a little more in terms of space and maybe bed comfort, and maybe a little more luxury, but it wasn't a big deal. As far as service goes, I must say that the valet service is super speedy, I have to give them their props. The concierge was extremely helpful. He took his time, despite the line, to thoughtfully recommend a restaurant and provide printed information on the location. Very thorough, prince of a fellow..Check-in was slow, but it was a busy weekend.Brunch at the restaurant next to the elevators, Le Montrealais, was great. Fresh fruits, fresh OJ, eggs benedict, bacon, sausage, pastries (you must try one), crepes, yogurts, cheeses and more. Go early if eating on the weekends to not get the last of everything. Kids eat free, not sure up to what age, but our kids were 6 and under.Hubby said that the hot tub was a bit on the cold side, and he's pretty sensitive to hot water.	
Aug 18 2009 	I Will Not Stay Here If I Were You	Let me first say the things that I liked about this hotel. The location is central to all the places you would want to go to, say, the church the Old Port or the St. Joseph's Oratory or the shopping areas and etc. It is clean, I must say, as it is what you should expect from a four-star hotel. And here is what you should be reading: when we arrived, parking is already a problem, since your only option is a) valet service which is $26 dollars per day from the hotel, and b) a green-P parking that charges $8 dollars per hour. TAKE YOUR PICK. As we checked-in, there are only about 2 receptionists working and we waited about 45 minutes just for them to let us know that the room is still being cleaned. The pool/ steam room is only opened till 9 pm. So much for relaxation when you really need it. I was travelling with my 12-month old baby and when I called for the reception/ customer service to ask where I can use a microwave to warm up my baby's milk, I was put on hold for 20 MINUTES only to be told that they charge a $10 rental fee for a microwave to be brought up to the room that I will use for 1 minute!!! And much to my disappointment, the lady at the reception told me to just boil the water from the coffe maker and said that it is the best suggestion that she has. Am I staying in a four-star hotel or somewhere else that is uber primitive? All I can say is that this hotel does NOT deserve a four-star hotel. I've been to 3-star hotels and their bathrooms have exhaust fans. This one DOES NOT have any in their rooms!It was bad.	
Aug 14 2009 	Great Location Elegant Hotel	This hotel is located on top of the Via Rail train station making it a very convenient stay for those traveling by train. A quick walk and elevator ride from the train station brings you to the lobby of this grand hotel. The lobby is lovely and the staff very professional, friendly and welcoming. The room size is adequate and cleanliness is also good. The views from this hotel are spectacular and it is in a very good location. You can walk to St. Catherine Street and many other attractions from here. We had a lovely stay here.	
Aug 5 2009 	Excellent	Great location, connected to the underground, great service, Beaver Club!!!!	
Aug 4 2009 	Wonderful long weekend!	My boyfriend and I stayed here on the August long weekend and had a wonderful time. We arrived by train and it was so easy walking from the train station right up into the hotel. It was nice not to have to walk outside. We requested a view of the Cathedral and it really was wonderful coming back to the room and seeing it right outside your window! The rooms, while on the smallish side, were clean and extremely comfortable. The beds and pillows were so inviting it was hard to leave the room to go sightseeing. The bathroom was small as well, but it didn’t matter to us as it was still very modern. The rainfall shower head was a nice touch as well. All the service was speedy and everyone was super courteous to us. Check-in was a breeze! The only downfall I would have to note is that the walls are very thin and you could hear everyone coming in and out of their rooms within your little block of rooms. You could also hear people talking loudly and sneezing and coughing. Overall though, for the location and service, it was a great hotel!	
Jul 29 2009 	Wonderful Stay!!!	Stayed at the Fairmont Queen E for 3 nights in July 2009 and had a fantastic time. We travelled by train, and it could not be any easier. You get off the train and you don't ever have to go outside as the hotel is accessible through the underground. The hotel lobby is beautiful, we had a room on the 16th floor with magnificent views of downtown, and the service was absolutely superb. We stayed in a 'Fairmont room', and no it is not huge, but it was certainly big enough for us to be comfortable. The bathroom is quaint and petite, but it has everything you need, including bathrobes, hairdryers, a clothesline, etc. The hotel location is fantastic, and the concierge desk will do anything they can to help you with your activities while in Montreal. They guide you to the proper metro/subway, they explain what the cab fares should be so you are well equipped, they get you to where you want to go in the appropriate/cost savings fashion. Excellent service.We used to pool every night we were at the Queen E, and it was a fantastic way to end a busy day...between the pool, the jacuzzi and work out room, you really cannot go wrong. Very accommodating for any age as there was also a wading pool for very young children.I would recommend the Queen E to anyone planning a stay in Montreal. I would strongly recommend signing up for a President's Club membership before your arrival as you will enjoy free internet access (otherwise $13.95 + tax per 24 hrs) and a morning newspaper every day of your stay. You also accumulate points which can be used towards a future stay. I will always return to the Queen E when travelling to Montreal...so easy, so friendly, and very nice accommodations.	
Jul 29 2009	Great city location	The grand dame of Montreal is showing her age a bit, but she certainly has got charm. If you are looking for a centrally located hotel and get a good offer, this is a solid choice. Overall historically interesting! First, staying in the hotel feels like a journey back to the early 90s. Needs a restoration! Second, a series of celebrities over the years have here. If you get a chance, pop by suite 1742, that's where Lennon/Ono held their 2nd Bed-In &quot;Give Peace a Chance&quot; event. Booked via an offer from hotels.com. Although I have chosen to just give a 3 rate does not mean I am an unhappy camper in any sense. It's just to keep a fair balance to other hotels I have scored here at TA. Last time in town I stayed at the Sofitel (3 blocks away), which I grade close to a 5 -- but costs naturally more. Thanks ODtravelers from Wisconsin for the previous TA tips on the deli street, 2 floors down from lobby, at train station level. That was a great place to do breakfast!Got a standard room at 10th floor, which was all OK. Think the rooms are fairly tiny as per North American standards. Essentially the bathroom. But it worked out fine. I really missed a safe box in the room though to lock up my belongings securely. Another security related wish is a &quot;lift key&quot; so only people staying in the hotel have access to the floors. The room was unfortunately not so soundproof. Some noise during night from guests coming back and heard the neighbors TVs through, which was slightly annoying.Gym is OK, equipment a bit dated. They also have a nice pool.	
Jul 28 2009 	A stunning hotel with interesting history in a central location	This beautiful hotel is right on the main street of Montreal in the heart of the city. Many tourist attractions are within easy walking distance and transport (bus, metro and rail) are virtually at the door. The entrance and foyer are very grand and the staff are very welcoming (such friendly doormen!). Don't be deceived by the hotel's &quot;Beaver Restaurant&quot;, it may look very expensive but it's really quite reasonable and offers a complete selection of fine food, from club sandwiches to gourmet meals. Our room was on the 13th floor and overlooked Mont Royal and McGill University ... absolutely breathtaking! The room was spacious and well appointed and housekeeping offered a 'turn-down service' of the bed each night and placed complimentary bottled water on the bedsides. If it was good enough for John Lennon and Yoko Ono, then it was good enough for us as the famous pair stayed in a room on the 17th floor of the Fairmont for their famous &quot;give peace a chance&quot; lie-in in '69. Our 5 night stay was sheer indulgence! Highly recommended.	
Jul 27 2009 	The queen has the best location	We have visited Montreal about six or seven times. We have always stayed at the Queen Elizabeth except for 2 times when we decided to try other hotels. The Queen is located down the street from Rue St. Catherine which is THE location for shopping. The hotel sits above the underground (again great food and shopping) We always eat at the Beaver Club located in the lobby. The eating places we like such as Vargas and the nightlife at 737 are within walking distance of the Queen Elizabeth. We also enjoy the coffee pot in the room. It is not a cheep hotel but a great experience.	
Jul 26 2009 	Absolutely fantastic!	The location was excellent, the service was amazing, the staff accomodating and friendly. Having stayed in Montreal before, I can honestly say this was the best hotel yet. Everyone from the concierge to the maids, to the doormen (especially Douglas) were so helpful and went beyond the call of duty to accommodate us. The rooms were large enough for the 4 of us girls, though who wants to stay in a hotel room when the Montreal experience is outside!?!? The room was clean, and the hotel itself was very clean. The Lennon/Ono room was great to see (thanks Douglas!!) Gare Centrale was conveniently located below and with all the shops and restaurants...everything was close at hand. Waking up to the cathedral view every morning felt very European. Overall a great experience!	
Jul 23 2009 	Personnel made it extra special	It was our first visit to Montreal and this hotel did everything perfectly. The staff was as professional and accommodating as they could be (especially Pascal &amp; Jean Pierre). Our room was big and comfortable with a great view. The location was convenient to the Jazz Festival, Metro, shopping and restaurants. We will definitely return to &quot;The Queen&quot;.	
Jul 20 2009 	Low class hotel at 5 star price *AVIOD HOTEL*	I stayed at this hotel for a weekend in July. At a rate of $300/night I expected to get a nice room and good service but I was wrong. I had booked directly with the hotel to ensure I get the best service.The check in process was very slow (wait time 20 minutes). Our room was not available until 4:30pm although check is at 4:00pm and I had even asked to get early check in if possible well in advance.The rooms are about a 2-3 star at its best. There was an old TV in the room with mostly French channels. The water pressure was so low in the shower that I could barely take a shower. The internet in the room did not work and the worst problem we encountered was the loud noise from doors slamming all day and night. The problem is that there are windows in the rooms that you can leave open and causes lots of air pressure and when you leave your room guess what, “SLAM”. Anyways, we did not get a good night sleep and were woken up at 8am by house keeping as someone had stolen our “do not disturb” sign.The valet parking temporarily lost my car and could not find it. The only good thing about the hotel was the overpriced breakfast buffet. The food was pretty good.I would never ever stay at this hotel again as it is way over priced for the type of room and service that you get.	
Jul 12 2009 	great central location for a meeting	Very nice stay for a convention. The connection to the underground city is absolutely amazing. Bell staff were on the spot to help unload as we arrived in the rain, and front desk and concierge excellent and polite. Room was on the small side, but that's what the beauty of an historic downtown hotel usually means. Nicely appointed. Having two basilicas within a block (Saint Mary, Queen of the World next door, and Saint Patrick's down the block) was very handy for Sunday Mass. Wish we would have known that Saint Patrick's was in English earlier. Two blocks to dozens of great restaurants (we enjoyed 3 Brasseurs tremendously). Every need at hand, from the IGA grocery store just down the street, to every imaginable food, retail, banking etc. within a block or two any direction.	
Jul 11 2009 	Lovely time	Accolades to the Queen Elizabeth staff. I had a lovely stay here despite some of the negative reviews. Yes, the grand dame of Montreal is showing her age a bit, but my room was updated and very comfortable. The check-in process took mere seconds and the staff were very gracious. I have decided to concentrate a lot of my business stays with Fairmont since they have many fantastic properties around the world. The location was perfect and central to so much going on. I was able to walk to nice shopping and restaurants and also was relatively close to Old Montreal. The everyday rooms could stand a more comfortable mattress and the public areas a little sprucing up, but it still felt very much like a destination hotel.Thank you Fairmont!	
