	Great location OK hotel	Location is ideal, right in the Old Town and close to great streets of restuarants, museums and so on. The hotel is old but well kept. Out suite was small and the view was of a brick wall, but we did get a bargain deal. I'd come here again, much more character than the more modern hotels near McGill.	
Aug 4 2009 	Not pleased...	Stayed at SpringHill Suites this past weekend. Although location was fantastic, we were not pleased with service. Room had defective air conditioning units (no central air in the room) so it became hot when air was turned on low and noisy when turned on high. Also, we paid cash for our room but they took our credit card for incidentals. They still held the card for the full value of our complete stay and still has not released it. Very aggravating when you are travelling.	
Jul 31 2009 	The location service and accomodations cannot be beat!	We stayed at the Springhill Suites last week and I must say that it met all of my family's expectations and then some! The rooms were clean, modern and spacious for a hotel that was in the middle of a major city. The front desk personnel did not know too much about local eateries but were as helpful as they could be (this was also true of those who worked in the nearby souvenir shops)! The continental breakfast was always well stocked and offered a variety of foods to choose from. The rooms were just remodeled and clean. One step out of the lobby put you in the middle of a wonderful historic town. The downfalls: remembering to get everything out of your car before it is valet parked (although accessing your car was not difficult). The breakfast area could become too crowded at certain times. Our air-conditioning system was waayy too loud! Still a wonderful stay!	
Jul 23 2009 	Nice hotel Fantastic location	This hotel is located in the heart of Old Montreal which was great. Staying here is definitely right for you if you want to be close to everything in Old Montreal. The rooms are very nice. Breakfast is free and is ok though it was very busy and therefore not really a very pleasant in which to eat.	
Jul 17 2009 	Excellent position	The hotel was a little tricky to find but if you have a cell and call when in the city they give good directions. The room was spacious with seperate living/kitchen-office/sleeping areas and we had a shared balcony. However it was very noisy due to nearby construction and venting fans.The breakfast was like a football game - too little space, very horrible scratched plaes and plastic cutlery. The food was uninspiring and the staff quite surly.Good for pure tourists who have never been to Montreal but a little far from the shops for me. Also lots of resteraunts but all charging 'tourist' prices. We probably would not stay here again.	
Jun 30 2009 	Thank you for finding and returning baby's 'blankie'!	We stayed at Place D'Arme our first night in Old Montreal and were SO HAPPY when we moved closer to the port and into this more family friendly hotel. The suite was very clean and we loved opening the window and hearing the seagulls in the morning!Most importantly, i panicked after we left behind baby's 'blankie'. Thinking i would have to sneakily find a replacement, the chambermaid found it and Guillame at the front desk Fed Ex'd it to me! That made us so grateful.The location can't be beat, crepes and rental bikes out the front door!Enjoy la belle province!	
Jun 25 2009 	Great Stay in Historic Montreal	Travel sites had advised me to not miss the Rue St. Paul area of Montreal, so when I found this new hotel in that area, I booked it. So happy with my choice! The hotel appeared new, but I learned that it had been recently completely remodeled. It was lovely. The beds and pillows were wonderful. We had our 3 college kids with us and there was plenty of room for all 5 of us. Lots of mirrors - two sinks and nice bathroom made getting ready in the morning go well. The complimentary breakfast was the standard fare with a few bonus items thrown in - hard boiled eggs and hot oatmeal. Lots of dining options around...some that stay open late. There is a beautiful restaurant attached to the hotel, but it was very pricey. Parking is in the garage next door. Easy walk to the Notre Dame. Subway is pretty close as well. Hotel staff are business professional, but don't go out of their way to be engaging, friendly or suggest tourist info.Hotel is tricky to find...our garmin was really struggling to get us there! It's kind of in an alley, but it doesn't feel unsafe at all. Great stay and would go back there.	
Jun 15 2009 	A good choice right in the heart of the old town	Springhill Suites doesn't look much from the outside, but the rooms are big and well-appointed. No views, but within seconds walking you're in the heart of quaint old Montreal. Breakfasts were great and although I didn't try them, the waffles seemed to be a big hit. I saw another reviewer say that you shouldn't visit Montreal if you're on a diet. Boy, is that the case! I've never seen such a concentration of restaurants in one town -- the food is fantastic!	
Jun 8 2009 	A Great Find!	An unclaimed jewel in the middle of Old Montreal. As we walked down the small side street off Rue Notre Dame my wife was getting second thoughts. She said....&quot; I am not liking this&quot;. Well, she now admits she was wrong and as we entered this hidden away from the crowds hotel she relaxed and smiled as we entered the recently re-done foyer. The rooms, while small were clean and well stocked with towels. There was a hide-a-bed couch as well as work station and FREE internet!! YEAH!!!!! Mini fridge and microwave as well. The pool and hot tub were also small, but we weren't there for swimming. The hotel is so perfectly located that you are literally minutes from almost anything you wanted to see in old town. We tried many restaurants both inexpensive and expensive and have to say this hotel, part of the Mariott chain will always be at the top of our list. And the rooms rates were so reasonable as well. All in all, just a great find!	
Jun 8 2009 	A Gem in Old Montreal	Just got back from spending 4 nights at the Springhill Suites in Old Montreal. This little hidden gem is in a perfect location for enjoying Montreal, and also happens to be the best Springhill Suite I have stayed at by far (and I have stayed at a number of them). The room we reserved (standard w/king bed) was not ready when we arrived so we were 'upgraded' to a higher floor and a similar sized room but with a balcony overlooking the front entrance. The rooms are very spacious and more than enough for 3 guests to stay comfortably. As always, the Springhill Suites provide a small refrigerator and microwave in your room, which are very convenient for revisiting those items that you couldn't possible finish at one of the many fine restaurants (more on that later). The two rooms are separated by a common wall which has a flat screen TV facing each of the rooms. Each room has its own air conditioning/heating unit. The wired internet connection on the large work desk is free, and connected seamlessly. There are also two walk-up internet stations and a printer in the business center which are available as a courtesy to guests. The complimentary breakfasts on the mezzanine levels are very popular with guests, and offer a full selection of beverages, sausage/ham and eggs, belgian waffles, and an assortment of breakfast and danish rolls. It is self-service, but the staff on duty are very attentive. The hotel staff in the front lobby were all very courteous and attentive as well, and spoke English as well as French. They provided some excellent walking maps of the local and surrounding areas.The hotel entrance is on Rue Ste-Jean-Baptiste -- a very narrow street (almost an alley) with a lot of street repair and open trenches, and so is best accessed (by car and by foot) from the short connector Rue Le Royer off Boul. St. Laurent. We left the car in the adjoining parking garage for 4 days and never missed it. The hotel is within walking or Metro distance of almost all major tourist attractions. The Vieux Montreal (old town), convention center, Chinatown, and downtown are all within a safe 15 min. walk day or night. The nearest Metro stop is Saint-Laurent, about a 10-min. walk north. There are literally hundreds of restaurants within a 10-min. walk of the hotel within the Old Town and across in Chinatown. Be advised that it is best not to visit if you are on a diet -- the culinary experiences are one of the highlights of this city and not to be missed!Take the 20-min. tour of the Basilica of Notre Dame, one of the largest cathedrals in North America. The multimedia show in the evening was a bit of letdown but perhaps our expectations were off base. One of the unique things about Montreal are the number of pay-as-you-go bicycle rental stations (Bixi.com) in the city. It is very easy to rent a bicycle with your credit card, the first 30 min. of usage are 'free' (although there is an 'access fee'), and it can be returned to any other bicycle station within the city. We rented a couple of bikes and rode up and down the waterfront along the Old Port and had a blast! Another highlight was taking the Metro to the Olympic Stadium park to visit the Biodome. This wonder of science is not just for kids, but for all ages. Be sure to bring your camera -- this is a zoo, aquarium, aviary, and botanical garden all under one roof.All in all, this is just an excellent hotel and a charming city to visit....a little slice of France in North America. We definitely plan to return one of these days.	
Jun 6 2009 	A hidden secret in the heart of old town	My wife and I stayed here for one nite to see a Cirque du Soliel performance at the old port. What a fantastic choice!!! The hotel is hidden in a side street just off Rue St. Paul in Old Montreal. You can walk almost everwhere....and that we did! Very convenient to all the sights and attractions of Montreal...  The staff was very accomodating and went out of their way to attain dinner reservations at a nearby restaurant for us. Although the room was a bit compact; it had all the ameneties that you could need. I imagined being in the old port on a weekend nite may be a bit noisy; but we had a confortable, quiet nite's sleep.  The breakfast buffet was plentiful and there were two people working to make sure there was enough food on the buffet for everyone. I would definitely stay here again....even better than the full service Marriott in downtown Montreal.	
May 11 2009	Montreal Mothers Day Holiday	I went to the Spring Hill this past Mothers Day weekend. And while the weather was rather crummy, the stay at the Marriott was very enjoyable.The Room The room was huge. It was My parents, my sister and myself and while the beds were a double (slightly smaller than a queen) it was still enough space. I think the large sofa was a pull out and we could have slept on that, but there was really no need. We were however charged $30 extra dollars per (extra two) people per night. The room was clean, towels were ample (we asked for 4 more) big screen plasma TV with a substantial amount of English channels. It had many amenities including a working fridge, microwave, coffee peculator and coffee provided as well as a ironing board. The heater worked and you could open the window. All in all it was clean and comfortable. The Food The complimentary continental breakfast was great! I had no doubt mind you. Eggs, muffins, cereal (hot and cold) waffles, toast, sweet bread and hashbrowns. It was plentifull and enjoyable. You could take it up to your room or eat in their restaurant style mezanin. A+Parking Parking was $20 a night. but well worth it. The parking lot across the street looked very sketchy and after hearing about all of the theft issues I decided to park in the underground parking. Well worth it. I was able to take my car in and out at will and the parking guys were very nice. Location The location was great. It was tucked away in the middle of old Montreal and you can essentially walk anywhere from the hotel. there are countless eclectic french restaurants in the area as well as many familiar chain fast food places. McDonald's and Tim Horton are right around the corner. You are withing a 2 minute walking distance to the water and pretty much every local attraction. Language Barrier Don't even worry about it. Everyone seems to be bilingual and happy to accommodate.Flaws I was disappointed that the hotel did not have wireless internet connection for my iTouch. Though the hotel does have a great little business room that has a computer, fax, internet etc. There is also in room connection if you brought your laptop. The Gym They do not advertise their gym on their site. It's not in any of the pictures. But I was hopeful. When I got there I saw some really great shots of a fully equiped gym with treadmills, Elliptical machines, free weights and machines. But when I got there it looked really run down. The elliptical was horrid and the treds looked like they had had better days. Same goes with all the equipment. I really looked nothing like the pictures. The greatest disappointment of the hotel. Also, to pool was dingy. It looked really bad. The hot tub was no better - gross. All in all I really enjoyed it! I would go again.	
May 2 2009 	Great place to get some rest	Even if it's hidden, it's a wonderful place to stay. The buffet breakfast had practically everything I could think of, the staff was friendly and the location is great.There are numerous restaurants nearby to satisfy every traveler's taste, from pubs to patios to fast food and high end steakhouses. The subway station is roughly a 5 minutes walk away too.The value is wonderful with a kitchenette, fitness centre, high speed internet, and a pool on top of the breakfast, there's not much more one could ask for.	
Apr 28 2009 	What a great find in Old Montreal	This hotel was a great find. It has a superb location in Old Montreal within an easy walk to Cirque du Soleil, subway, Chinatown and other tourist destinations. Our suite was plenty large for the 4 of us. We were brought a cot for free, and we didn't have to pay the crazy $30 surcharge for a second adult. The indoor pool is small but nice for kids, and the bike paths of Old Montreal are a few steps away. The parking was easy and moderately priced by large city standards. The breakfast was good with things like waffles. We had a noisy group of teenagers on a school trip having a party next door, but one call to the front desk resolved the issue.	
Feb 20 2009 	Outstanding service	We stayed at this hotel during the weekend of February 13th. Our travel arrangements were changed last minute and we ended up arriving about 3 hrs earlier than out requested check in of 11am. I called in around 4am to inquire about an early check in before our already requested early check in. The clerk could not guarantee and asked us to inquire upon arrival if a room was available. Unknown to us until we got there, the clerk had already notified the clerk on the next shift and a room was ready when we arrived. I felt this was above and beyond and to whoever was night auditor during the early morning hours of Feb13, thanks very much. The service was amazing. As for the hotel itself, I have no complaints. In was a terrific stay.	
Feb 13 2009 	Absolutely fabulous!!	I stayed here for 5 nights during a conference in February. I chose this hotel because of the great reviews on TA and its proximity to the conference centre and Old Montreal. I was a little worried that my taxi driver from the airport had not heard of it or the road it’s on. It turned out- he wasn’t the only one- in fact not one taxi driver knew of it, and so had to check for directions- so take the hotel address with you! It’s on a narrow one-way road leading down to the old port, 1 or 2 blocks away from Notre Dame Cathedral.I was absolutely delighted with every aspect of this hotel and cannot fault it in any way. I saw 4-5 reception staff during my stay and they were all pleasant and extremely helpful with booking taxis, transportation to shopping and sights, restaurant recommendations, etc. That’s a huge plus for this hotel too- the proximity to so many fantastic restaurants.My suite was spacious with a desk and chair, sofa, armchair and coffee table and a small kitchen area (fridge, microwave, kettle and sink) leading onto the king-size bed and to the side a wash area and a separate toilet with shower over bath.There was plenty of choice for breakfast – and I loved the waffle-maker! The hotel also has a business centre with desktops and printers which you can enter at any time with your room key- which was handy for checking in on-line and printing off my boarding pass. There’s also an adjoining spa which offers a discount if you’re staying at the hotel at the time you book. I had a body wrap treatment with massage and face cleanser which was absolutely heavenly! Ask for Tatiana!! I had this massage just before getting a taxi to head for the airport- and I felt great- till I got to the airport!! So here’s my moan about Montreal airport- I’d printed my boarding pass, and only had hand luggage but ended up queuing for 1.5 hours with a million other people to get through security. This airport cannot deal with international travel- it’s what you might expect to see in a developing country- expect I’ve never seen a developing country that had an airport this badly-organised. Allow plenty of time!!!	
Jan 28 2009 	Superb location good hotel	Excellent location. Hotel was convenient, room was very big (upgrade to a suite with 2 double beds for 2 adults...). Pool was very old though... Business centre with free internet was very good. Breakfast ok. Staff friendly and certainly helpful. Parking charge was promptly removed when I told I used the free outside parking spaces (rented car does not mind -20C / 5F :P ).	
Oct 16 2008 	Good Value	Stayed there in Aug 2008. If you want to make Old Montreal the centerpiece of your Montreal stay, this place is perfectly situated. Exterior blended in locally, but interior was American in style, new &amp; good quality, and very well sound-proofed. I thought the front desk staff were acceptable but not exceptional, as a few verbal exchanges got confusing with them (and it was not a language barrier). But ultimately, the hotel was well-run and of high quality. Supposedly the &quot;oldest inn in North America - 1754&quot; is connected to the hotel lobby. We walked through it and it looked old and stately, but we did not have the opportunity to eat there. There is a parking garage connected to the hotel, and we had no issues unlike the other unfortunate poster. The rooms were clean, and were appointed as expected for this class of hotel. A little more drawer space would have been nice, but it was not a big issue.The only problem we had with the hotel was the buffet breakfast. We were there a whole week, so we tried it on a variety of days. Now, we were there during the summer, and based on how crowded the lobby and hallways appeared to be, the hotel seemed to be no more than 50% occupied. Yet, the few times we tried to utilize the breakfast buffet, it was jammed. When the eggs went empty, it took a while for replacement food to be brought out. So, despite the extra cost, we opted for eating out.Eating breakfast American-style in Old Montreal can present its own challenge. Most of the breakfast places simply had croissants, fruit and the like. In the whole of Old Montreal, we only found three places that offered an American-style breakfast. The nicest place for this was in the Le Saint Sulpice hotel, a few blocks away. The other two were nearby, as well, but were more diner quality.When you are here, you are conveniently in the heart of Old Montreal, but on a street which itself is not busy. All of the Old Port, church and museum destinations are only a few blocks in any direction. The coolest thing we did was rent Segways. The Segway rental place is in the Old Port, on the last pier on the north end of the port. We also were there during the long fireworks festival that they have every summer. Again, going out to the pier area on the north end of Old Port will afford you a good view.For dining, there are any number of &quot;historical&quot; places besides the place in the hotel lobby that one can eat, such as Gibby's or Restaurant Place St-Paul. Strangely, both my wife and I thought that just about every glass of wine we drank was of poor quality. We thought we would be awash in high quality French wines, but either the Canadian taste in wines is non-existent, or the French ship them all of their low-quality product. As with any touristy area, the food is somewhat overpriced, but there are a fair amount of good-quality places that can be found.One other thing to look out for in Old Montreal is a complete lack of bank ATMs. There were plenty of the fly-by-night ATMs, but no bank ATMs at all - zero. As luck would have it, my bank debit card is very finicky about functioning with the cheap ATMs, so when we ventured out of Old Montreal, we had to cash up at a real ATM.Bottom Line: overall, hotel is of good value, in a good location, and you will get at least what you expect from it, if not more.	
Sep 29 2008 	In the Center of Old Montreal	We loved the SpringHill Suites in Old Montreal as the hotel was one of the nicest Marriotts were have stayed at. Our 2 bedroom suite was roomy enough for the three of us. The room was clean and the beds were so comfortable. The breakfast was not be missed as it was the best &quot;free&quot; breakfast that I can recall at any hotel. The business center was like a lounge with 2 computers. The parking valet was efficient and very responsive with our car always waiting for us when we needed it. The SpringHill is in the very center of Old Montreal with all the shops, art galleries and restaurants an easy stroll away. Jacques-Cartier Place was ony a few blocks in one direction and Notre-Dame Basilica a few blocks in the other direction. For eats, we would highly recommend nearby Chez Suzette (crepes, fondue, soups, etc. ), and Jardin Nelson (music, open air courtyard). The Maple Delights shop was evrything it's name suggests! We had a wonderful time to help celebrate our daughter's 21st Birthday!	
Sep 12 2008	Great Find!	I didn't expect too much except a clean room and good location. I thought the location was great - Old Montreal is right there. You can walk right out of the hotel and you have many restaurants, shops, &amp; bars within a 10 minute walk. The Notra Dame Basillica is short walk away along with the Metro. The staff was very friendly and so helpful with getting around town, the Metro, sights to see, &amp; driving directions. The morning breakfast was more than I thought it would be with hot eggs, waffles, yogurt, fruit, bagels, cereals and good coffee. The only drawback is that it can get crowded and on weekends you may have to wait for a table. They do have take out trays so you have the option of bringing it back to your room. The pool &amp; hot tub is VERY small, so that was a little disappointing and the fitness room is also small with a treadmill, cross trainer and some weights. If you are driving there keep your eyes peeled for the street. It's a very tiny street off Rue Notre Dame &amp; a block past Rue St Laurant. It looks like an alley way. I missed it twice. The street sign is on the building. I had a studio king suite. It was more than I expected. The bed was so comfortable. The bathroom was sizeable and it had the vanity and sink separate, which is great if you have 2 people staying there. The TV swiveled so you could turn it facing the bed or the sofa. It had a desk near the kitchenette, which had a sink, mini-fridge, and microwave. It was perfect to store some snacks and drinks. I didn't mind relaxing in my room, it was very comfortable and I enjoyed it very much. They also offer AAA discounts.	
Sep 7 2008 	Not your average Springhill Suite	We stayed for three nights the first week in September while on vacation. It seemed more like a European boutique hotel than a low end Marriott. The staff was helpful and friendly, the hotel and rooms were clean, the breakfasts were good and the location was excellent. We would certainly go back.	
Sep 5 2008	Horrible Experience! Beware of the "secure" parking!	My stay at the SpringHill Suites Marriott in Old Montreal was fair at first. The hotel is nothing spectacular but is centrally located. The pool is too small to even complete one lap, and the rooms that they say can fit 3 individuals are too small for even 2. The trip took a nose dive when I parked my car at the &quot;secure&quot; parking garage next door - Seville Parking. After checking out I went to pick up my car and noticed a huge dent on the front fender with yellow paint on the wheel and the side of the car. I confronted the attendants who denied any responsibility and provided me with a business card for Leo Garlick, the garage director. I live in New York, and we checked out on a Sunday, so there was no possibility of discussing the incident with the director in person. I called from NY the next day, and after leaving several messages for the garage, I finally contacted him on his cell phone! Both the garage and the hotel claim no responsibility for the accident. Yet, the hotel is the one that processes the charges for the garage. I asked the garage director for records of the car having been moved out of the garage and still I have received no documentation. I discussed with the hotel manager, Christine Marchand, the situation and she rudely brushed me off by saying she would talk tot he parking garage director and get back to me. She never called me back. Both the Marriott and Seville Parking employees have been unresponsive and extremely unhelpful. I would not recommend either to anyone.	
Aug 25 2008 	Great Stay Great Location!	Hotel is in a great location in Old Montreal and within easy walking distance of the Metro, the Old Port, Place Jacque-Cartier, La Basilica Notre-Dame and great restaurants. Our 4 kids (ages 10-15) loved our stay in Montreal. The lobby was clean and updated, the bi-lingual hotel staff very friendly and accomodating, and the suites very clean and comfortable. The small &quot;kitchen&quot; area w/ sink, fridge and microwave was a huge plus for our family. One small negative was the pull out sofa looked like it would pull out to a double bed, but only one person could sleep on it comfortably. Indoor pool was very small. The breakfast buffet was very good and well stocked but could get very busy and it was difficult at times to get seating but they provided carry out containers and disposable utensils which made it very convienient to carry back to your room. Overall, had a great stay here and would highly recommend!	
Aug 15 2008 	Enjoyed our Stay	We wanted a hotel in Old Montreal that was reasonably priced. We checked TripAdvisor and based on the favorable reviews and recommendations, we booked a stay for three nights. The location was excellent and even though the hotel is hidden on a side street, the interior was updated and very nice and clean. The breakfast buffets were good and best of all were included in the price. Staff were bilingual and attempted to answer our questions to the best of their ability. Parking was right next door and staff were efficient. We took our car out about 2 times a day - no problem. Housekeeping services were great. Staying at this hotel definitely added to our enjoyment of the city.	
Aug 13 2008 	Very Good Choice	We booked the room through Marriott and were happy with our choice from several perspectives. The location was good with respect to nearby sites, proximity to subway (a 5-10 minute walk) when necessary and choice of restaurants--which were abundant in the vicinity.The staff was very friendly and helpful. The room, while not overly large, was comfortable, quiet and clean. We are a family of 3 and but did not feel particularly cramped. Breakfast was considerable, included in the cost of the room. Internet access was easy with two free computers available in the Business Center and the exercise room was appreciated, though rather small.Overall, no regrets and would stay there again.	
Jul 29 2008 	Great Hotel in the heart of Old Montreal	We stayed here for 3 nights in July. We wanted to stay in Old Montreal and I picked this hotel based on Tripadvisor reviews. The location was excellent; we could walk to everything: shops, restaruants, Notre Dame, the waterfront. We talk to the Grayline double decker bus tour and the Baton Mouche 60 minute boat ride. We walked everywhere else.The front desk and staff were very helpful in answering questions and providing recommendations and maps. The waffle maker in the hotel breakfast was a popular item each morning in addition to the other full continental breakfast items that were offered.There was also a small indoor pool and gym on site. Would defininitely stay here again.	
