	Much more than I expected	Traveled by train from QC with my daughter, 7 and 5. Walked across the street from the station. Check-in easy. Room 2139. Average. But it's not the room here.Great location. The pool is great. When you go to swim, there is an inside entry and you swim under a deck to enter the Great White North. [It was cold.] Pony-tailed lifeguard has zero personality, but he is efficient. Girls loved the swim. I froze. Concierge staff is remarkable. 45 minutes before face-off, Roberto got me tickets ($220) 7 rows off the ice from a scalper. I paid him and picked up the tickets in a nearby gas station.Thanksgiving? American? Concierge booked us at Globe. Incredible.The restaurant. Had breakfast one day. Expensive. But friendly. Good. Waiter made a recommendation for the girls for that day.Problems?Returned one day -- door ajar. Maid had not shut it. Nothing taken. Reasonably secure.Bar is good too for a drink. Arrived. Wife out of sorts and sent her for a cocktail. She was much better.A great location. Very non-Hilton. Very personable. Unique.I used points so I only paid for what I spent, but it was good. Very good. Better than expected for a Hilton. And if you have kids and its the winter, the pool is a gem. A class of French-speaking children watched one afternoon as we swam. They all wanted to jump into the steamy outdoor pool.And I'm a runner. Old Montreal is a short run. A long walk.	
Sep 23 2009 	very pleasant staff no surprises	The location is great for business and is close to the trendy galeries like the Fonderie Darling, the activities on Place des Arts, Chinatown and the quaint streets of Old Montreal. The staff was friendly, helpful and knowledgeable, from the lifeguard to the concierge to housekeeping to reception, where I saw a manager efficiently assist a couple who'd left a passport in their previous hotel before joking with me about our shared first name. Housekeeping was also very good about locating and returning something I'd left in the room after I checked out.The gym was adequate, the pool looked nice, though its position outside the reception windows was a bit odd. In fact, the layout of the hotel spread out pretty much in a single layer the length of a city block is a little labyrinthine, with a fair amount of walking to get from one place to the other. In its architecture (concrete and glassed-in green terraces) is very much a reflection of a lot of Montreal's boom between Expo 67 and the Olympics in 76, giving it a slightly dated feel, rather than the Austin Powers cool it might have once had.My standard room was a decent size. Again, no bells or whistles, just staightforward, clean, and sufficient.For my taste, I'd pick something with a little more personality, but it's a chain and for the convenience of a chain it was absolutely fine. No complaints here.	
Sep 11 2009 	Good location pretty hotel property and professional staff	The hotel is located in the center of downtown Montreal just across the street from a Metro station and within walking distance of the Art museum, shopping on St. Catherine street and Old Town Montreal. The hotel property is surrounded by gardens, water features, and offers a great pool and well equipped gym so it feels almost like a resort in the middle of the city. The concierge offered many good suggestions of moderately priced restaurants in the area that we wouldn't have found without his suggestion.	
Sep 9 2009 	The Hilton made a difference with our stay in Montreal!	We had an excellent time at the Hilton! It was our first time visiting Montreal and the Front Desk (can't remember his name) and the Concierge (Roberto) was friendly, helpful and made a difference with our stay. They made reservations for us , and printed directions to Quebec City for the day. Room Service was fast and not as outrageous as I thought it would be. Some times you can hear people opening and closing their doors in the hall way, but that is the extent of the noise. It didn't realy bother us since we were tired and had no problems sleeping.Our hotel rooms were clean, spacious and newly renovated. The shower head was nice and strong and the beds were super comfortable. It was a very pleasant and enjoyable stay.There was an outdoor heated pool and the life gaurd was kinda cute to look at. ;DIn the morning, there is a timmy's across the street, along with a Mcdonalds, and food court from the VIA rail station.The Hilton is in the heart of downtown Montreal, within walking distance of St. Catherines and Centre street...although it's better to take a $8 taxi ride to centre street if you're in heels. =) I would recommend and stay at the hilton again.	
Sep 6 2009 	Not if you paid me	On a whim of a vacation that quite literally started out with a conversation like? &quot;wanna go somewhere this weekend:&quot; we ended up in Montreal Quebec (and my first trip out of province.) With no credit cards or reservations we decided to go and see what we could come up with; unfortunately this idea landed us at the 'bonaventure'; We were told that there was a convention going on that day; so of course this meant that the our room was right by the convention rooms where the events were still going on; bagpipes at 8:00 at night and all. The room was basic; two queen beds, carpet, TV, a view of the city and a ensuite bathroom. So not worth the price of what we had to pay for the hotel room. When asked if there was anything we could recommend since we were out of town the girl at the front desk said &quot;everyone was out of town; and she didn't have time to discuss trivial matters.&quot; the hotel lobby was dead; what else did she have to do?At one point during the night my fiancee lost his cell phone in the cab; and after playing tag with a few phone companies and his cell phone to try and find it; the cab driver said that he would drop it off for us -- After a trip to the front desk five minutes later we asked the same woman if anyone dropped a cell phone off from outside. She told us no. and we waited for the cab drive outside thinking that we'd see him. After a twenty minute wait my fiancee went back to the front desk and talked to a very sweet man and went &quot;are you sure no one dropped off a cell phone?&quot; he looked behind the desk and said &quot;the only phone we have is this one. It was dropped off 2 minutes before your friend asked.&quot; we were so upset with our stay; that we actually left hotels. since we were only there for two hours we managed to get a full refund. I don't know if we just went on a bad day, or what, but we wouldn't stay again. In fact we stayed at another hotel and they were so disgusted with the service we told them about they gave us a suite at the Bonaventure's price for a basic room.	
Sep 6 2009 	Great choice for Montreal stay	Loved the serenity of the roof top garden. It was lush with foliage and had some seating arrangements along the walk. The large size pool and pool area were lovely. The room was very nice, spacious, newly furnished. The tapas bar and restaurant wasvery good and was opened until 11:30 Saturday night. Apparently the new chef was from Portugal. The hotel is conveniently located. Its downtown and across the street from the Amtrak station.Buffet breakfast was done nicely, good pastries, etc. Small sets of stairs without ramps between various levels of the hotel could be a problem for some people. We would gladly stay here again. .	
Sep 2 2009 	Great stay in heart of Montreal	The Hilton Montreal Bonaventure is a great location in the downtown with quick acceess to the Metro. While the rooms are a bit dated, the property in interesting and clean. The pool is amazing!The concierge was quite knowledgeable and helped us find a great brew pub (Dieu du Ciel), as well as several wonderful restaurants.	
Aug 31 2009	If you don't like noises don't come to this hotel.	We stayed at the hotel for 2 nights this past weekend. We were first given a room right by the staircase, so we went and exchanged for another room which again was near another staircase. Lots of noises of people talking on their cell phone late at night and cleaning ladies chatting loud during the day. We just gave up on exchanging for rooms figuring it is probably the same everywhere. We found 2 spiders in our room. There was a spider web in the bathroom. The bed was a bit too soft for our taste and will not work for anyone with back problems. The location is ok. It's right in the downtown financial district. The neighbourhood was pretty dead when we were there. But for the price we paid, it is not bad. We will not go back to this hotel however.	
Aug 27 2009 	Fantastic from Arrival to Departure	Stayed in a luxurious 1 bedroom suite with living room and piano! Can't beat the value for entertaining our friends while in the Montreal area. Staff were friendly and efficient, and very accommodating. Being a hotel manager myself, I tend to be very critical.I found the room to be very clean and well maintained. A great big THANK YOU to the managment for the upgrade, I will definately recommend your hotel to my collegues.	
Aug 10 2009 	A city centre Hilton hotel - you know what to expect	We arrived in Montreal by train, and the hotel is located directly across the road from the rail station. It is also only a couple of minutes walk to the nearest Metro station, and the Hotel is connected directly to the &quot;RES&quot; underground network of metro stations, shops, restaurants, etc. Indeed, we found that getting to our destination across Montreal by this network of tunnels far more interesting that above-ground!Check-in was a straightforward and painless process, and the staff were friendly.The room itself was perfectly standard Hilton fare, although the $15 packet of nuts and $5 bottle of water provided in the room was unsuitable when travelling with young kids (who have not quite grasped the concept of hotel prices). It would have been preferable for these items to be kept in the minibar instead of on the table. The odd dial and button in the bathroom was loose, but otherwise perfectly clean and well-equipped.We didn't sample any food in the hotel over our 4-day stay, preferring instead to explore the city and eat wherever we happened to be when we felt hungry (or, alternatively, at the food court in the underground network just beneath the hotel).The swimming pool was excellent - heated to 30 degress celsius, and perfect for a pre-breakfast or late night dip. It got busy from around 10am, and sunbeds are at a premium so suggest arriving around 9am if you intend to snooze the day away in the sunshine.Would we come back? Well, there was nothing wrong with the hotel, but I do think that we would try another hotel in downtown Montreal if we were to return. It didn't quite seem to have the more relaxed atmosphere of a Radisson, for example.	
Jul 31 2009 	Terrific hotel great location great service	We stayed four nights via Priceline and were really pleased. We had a problem with our first room in that it was either near an elevator shaft or pipes and there was a hum that would wake us up. After stating our problem we were moved to a different room and they comp'd our parking.Yes, the layout is a little strange, but certainly not offputting. The room was very large and nicely furnished, and the reception area, pool, gym, and bar were first rate. We were short walking distance from both downtown and the old city. All of the hotel staff with whom we interacted where courteous and knowledgeable. We would stay here again for sure.	
Jul 29 2009 	The Hotel is Just okay.	First of all,they gave us THE worst room in the place when we checked in, right by the elevator shaft! Immediately went to reception and complained, got a quieter room. The place is a maize, hard to navigate. If you have mobility problems, don't stay here. The room only had 2 glasses. What gives with that? Business center computer is expensive and SLOW. We also were HHonors members, and they did not give us a paper. Staff was a just a bit pretentious IMO. I would rather have stayed in &quot;old&quot; Montreal.	
Jul 25 2009 	So comfortable! But a few problems...	My husband &amp; I stayed at this hotel for 2 nights during the International Jazz Festival. First the good: The beds are extraordinarily comfortable! I did not want to get out of them. The rooms are nicely decorated and modern, as is the foyer &amp; hotel lobby. We truly enjoyed the rooftop pool, which was a warm comfortable temperature, after a long day of sightseeing. I liked having the elevator take us up and away from the activity down below into the quiet lobby of the hotel. The metro is conveniently located below the building (but a long long walk). Now the problems: signage was the first. We had difficulty finding the hotel, even with the address &amp; map, because the sign is on the side of the building. The driveway is easy to miss because there are no signs. Frustrating when you are driving in from out of town during rush hour. When we checked in, we were told we had our choice of the following rooms: a room with 2 double beds, or a room with a queen bed. Upon further inquiry about the queen, we discovered it was actually a queen pull-out sofa located in a suite, where the hotel had already rented the bedroom portion of the suite to someone else!! (I will note here that we did book the room at a very low rate on priceline.com...but that is no excuse for offering a pull-out sofa and calling it a bed!) We chose the double beds, and were very satisfied.Another problem: our room had a grassy weedy area outside the window with junk laying around, mostly what appeared to be unused electrical fixtures. Very ugly and made the view look like something out of a cheap motel (I am posting a picture.) In addition, there was a hallway door that opened out onto the junky area, which allowed anyone who opened it to stand right outside our window, even though we were on the 12th floor! I was actually standing next to the window wearing next to nothing when the door opened, and I quickly drew the curtains, leaving our room in darkness.Since our visit coincided with the jazz festival, a major event in Montreal, we asked the concierge about getting tickets to a particular concert. He looked at the event calendar, then said the event was invitation only so we couldn't go. Not very helpful. Later as we walked around the city, we entered the Hyatt and asked their concierge about the same concert. Even though we said we were not guests at the Hyatt, the concierge was very friendly, made a few calls, drew us a map and showed us exactly where to go. All we had to do was go to the venue of the concert and buy tickets. The Hilton concierge should have been able to figure that out. (The Hyatt concierge also recommended a fabulous restaurant (Restaurant Julien....great food, great service!)).And finally, although the hotel lobby and rooms were elegant and comfortable, the hallways had carpeting that looked 30 years old, was fraying and threadbare in places.Even with these problems, we would stay here again if we got a good rate. I would not pay more than $200/night for this hotel.	
Jul 18 2009 	Almost perfect practically in the clouds serene and peaceful	Hotel is the top two stories of a block-sized downtown office building with a private elevator, with a convention space directly beneath. Lobby's in the middle, rooms are split-level around the perimeter with four courtyards. Two patio bar/restaurants between the rooms and lobby form two courtyards, a spectacular outdoor pool in the third courtyard, and a serene rooftop garden in the fourth. Gardens are plentiful, this is truly a unique space of peace in a busy city. Enter 900 Rue De la Gauchetière Ouest, Montreal, QC, Canada in Google Earth and you'll see the driveway entrance, pool and gardens for yourself. Garage is underground.Waterfalls and fountains are everywhere (even in the pool, which is open year-round with a small indoor entry). Pool was very comfortably warm and did not smell of chlorine, surrounded by lilies, flowers and mature trees.Study any fire exit graphic and you'll quickly get the layout. Yes, you must go up or down a 1/2 flight of very shallow stairs to get to any room, so baby strollers could be a challenge. If you go anywhere in Montreal, you'll climb many stairs and do a lot of walking. Let the porter handle your luggage.Prices in Montreal are high for everything a tourist would want. There are cheap places the locals go to eat, but don't bother unless you're on a tight budget. Or go to Beijing in Chinatown for a very good, affordable meal. Get restaurant recommendations from Chantal at the Concierge desk - she never steered us wrong. Gibby's in Old Montreal, Vertige, nearly everything we ate was really fabulous, with presentation and service (and prices) beyond compare. But avoid Cora's (6-block walk) for breakfast unless you want a dull, comparatively inexpensive but impressive looking meal.I found that the $10/day fee for in-room wired or wireless Internet access generated more than quite a few very casually-dressed folks in the lobby area (which has unlimited free wi-fi). I tried every trick I know to get a free signal in my room; no luck. This may be de rigeur for Montreal, but it looks ridiculous to business travellers (who made a few comments about it in the lobby). Every hotel in any town has free in-room wi-fi, but not this one. I hope they fix this issue.Staff was very courteous and professional, very stylishly dressed, bilingual. Room was completely quiet unless you get a crying baby in the adjoining room.Self-parking was $17/day but no in &amp; out. If you want to use your car, it's $25/day for valet parking to come and go as you like. This is not uncommon for downtown hotels.Bed was very comfortable, with a comforter between two sheets -- very nice. Bring your own pillow if you can -- these are pretty tall.Room was nice, roomy, clean, well-appointed. Nice closet, dresser, TV, electric outlets, bathroom. Every room has a view of a courtyard or the skyline. Mini-bar means there's no refrigerator for you to use. Roomy desk/work area with a nice office chair. Minor maintenance issues, but that seems to be pretty normal for hotels -- you need to tell someone if you want stuff fixed. Fitness center with the usual machines is huge and unused, additional room with yoga mats &amp; pilates, lockers, more.About 6 block walk to Chinatown, 9 blocks to Old Montreal. Metro subway station in the basement, so you could get anywhere in town without a car (subway trains coordinate with bus routes). Train station across the street for out of town travel. Two blocks from freeway exit, but a GPS will come in VERY handy if you wish to drive in this town. Lots of one-way streets, and all the signs are in French. The only printed English we saw was in the hotel and most (not all) of the menus.Local drivers are pretty aggressive for tailgating, yet incredibly courteous for turns. Gridlock is common. Cabs are good for local transportation. You can rent a bike for $5/day from an automated BIXI kiosk nearby (they're all over town) but you might struggle to find an empty slot if you return it late at night or bike with a group.Very nice hotel -- I'd stay here again, but it's pricey ($150/night for conventions, $225 for ordinary folks, plus tax, tips, parking, wi-fi, etc.). Prices are high for everything in this town, but it's beautiful, and the food is off the charts. I'd come back here just for the restaurants nearby.	
Jul 14 2009 	This fussy traveler had an excellent experience!	As the title reads: I'm a fussy traveler. I expect to get what I pay for. I've worked in the hotel and restaurant industry and I expect to receive the same level of service that I myself have delivered. My experience at the Hotel Bonaventure was excellent. From the moment I arrived to the morning I checked out (reluctantly) I found this to be a superior hotel in an excellent location. I never experienced any of the negative items mentioned by the other reviewers. While it is true that there are some steps and the layout is a bit labyrinthine, we had no trouble locating our room or other hotel amenities. The hotel is conveniently located across the street from Gare Central and the Bonaventure Metro Station. My wife and I were delighted to find that we had all of Montreal easily accessible. While I don't want to cast aspersions, the reviewer who said that this hotel was not located near any food was completely mistaken. A large &quot;food court&quot; is located just inside of Gare Central. Now, when I say &quot;food court&quot;, don't think of the fast food blight in a local mall. This food court had a large variety of cuisine and while not a 5-star dining experience it was certainly a great place to have a quick lunch or a bite to eat between meals.My wife and I had an amazing time in Montreal and this hotel was a significant part of our experience. When we return to the city, we will stay at the Bonaventure.	
Jul 14 2009 	Nice Staff	Stayed at Bonaventure. I called before and asked if every room was accessable. I was told it would be fine. But alas, our floor was accessable by four sets of steps. Strange design, rather like a maze.Hotel was well situated and close to many attractions. Used the underground to walk to many places when it rained. Great bakery.Staff was helpful and had valuable suggestions.Executive lounge was o.k. but not fanastic, like the European Hilton executive lounges. Served a few appetizers each night and were varied. Staff were friendly.Pool were always crowded when it wasn't raining and it was always impossible to find a chaise.Would return again.Went to a great steak house named Vargas.	
Jul 14 2009 	Good stay great location	Very good location, I arrived Montreal by train and got to the hotel from underground passage in under 5 min. Nice lobby, comfy bed and wonderful pool. The reception people are a bit distant feeling, but other service staff were great. Only the hallways looks dated. Recommend to walk around the underground area, it leads right to the major shopping stree of St. Catherine, which is great when it's raining out and only takes about 15 min.	
Jul 13 2009 	Very good stay	This is one of those hotels where one would have to search to find anything that was not quite right. The staff was excellent. Very helpful in finding us restaurants, tours, etc. The gardens at the hotel added to the ambiance.Resteraunt was very good...Great omlets...they bring them to your table...you do not have to hover while waiting for it to be finished.The hotel is connected to the underground which in another plus...within walking distance to Old Town. A great stay.	
Jul 12 2009 	I keep coming back	I have stayed in this hotel many times now, both for business and pleasure, and I keep coming back. The hotel is located above Place Bonaventure, accessible from an elevator from the street level, with rooms located on the upper two floors of the building. It is exceptionally convienient to those driving into Montreal from the south and has direct and easy access to both the Montreal subway lines and VIA trains (Canadian rail system); the train station is directly across from the hotel and accessible at the street level or through the Underground. This ready access to transportation in, out, and around Montreal is a key advantage of the hotel. Some folks find the inside of the hotel difficult to navigate, but it's never been a big problem for me. The rooms are mostly on the periphery of the upper two floors of the building and surround a very nice outdoor pool that is heated and isolated from the winds. The pool is even accessbile from inside the hotel, so it is usable in the winter time without exposing more than ones neck and head to the cold. (I was skeptical the first time I did this in winter with snow on the ground around the pool, but it works well.) The rooms I've had were all large, functional, comfortable, quiet, and clean, with good work areas and comfortable beds, but not particularly exciting otherwise. The room I had for my most recent stay (6/09) had some issues. The seal between the layers of the thermopane window had failed, resulting in a window that was full of moisture and didn't provide much view. The tub/shower was a bit worn looking and if you didn't use it early in the morning, the water wasn't very hot. The hotel restaurant has an excellent buffet breakfast. The hotel staff is friendly and helpful. I'm certain I will stay here again.	
Jul 5 2009 	Pricey stairs stairs and more stairs and no hot water water	Stayed at the Hilton Bonaventure. Years ago I ran into Prince Philip in the elevator there. Both previous stays poolside during glorious hot Montreal spring days. I had forgotten that the place is like an Andrew Lloyd Wright maze. After hours walking the City the last thing I wanted to do was climb up and down staircases to find my room so I moved on to Hotel Gouverneur Place Dupuis. Not as much ambience but far more accessilbe / comfortable. They charge $.69 a minute for internet at Hilton. And, the water in the bedroom? Never did get warm enough to have a shower	
Jul 4 2009 	Great Rooftop Pool	Very Nice hotel with great setting, it is like you are in a garden. That being said, the one downfall was the fact that there are stairs everywhere, up 3 down 4 up 5 and with luggage not fun. Very nice atmosphere and handy location .......	
Jun 28 2009 	Stairs everywhere. Place is like a maze. You'd need to be an athletic rat	Pricey. Rooms were lovely if a/c worked which it didn't. Very very pricey.Took forever and a day to get hot water in my shower. Very very pricey. Pool was nice, gardens were nice. Very very pricey. y back is hit or miss at times. There are no elevators to help get between floors and to get to my rom I had to go up and then go down and then go around. Fine if I needed a workout but I didn't. Very very pricey. It gave my luggage a run for its money . Very very pricey. Internet cost $.69 a minute. Very very pricey. I can't imagine wat room serice would cost. Very very pricey. Appeared to have a lot of rich Middle Eastern like folks	
Jun 22 2009 	Pretty good hotel!	I stayed at the hilton Montreal Bonaventure. I can't say that the design of the hotel is great. Kind of a maze actually. Nice grounds considering you're on top of a concrete building. Very nice pool area... Drinks are outrageously priced! A corona will cost you $ 11.25 ! Nice accomodation with one King size bed and a pull out couch. The bathroom could be a bit bigger. Overall: Clean and convinient downtown hotel.	
Jun 21 2009 	Large older hotel with nice renovation and good service	This is a maze of a '60's concrete structure....a super weird floor plan at this place that still confuses and confounds me. but once you start to figure it out you realize that in spite of the large, ungainliness of the place, all of the elements are there: very friendly and professional service, a nice pool and fitness center, convenient/central restaurant and bar and nice, newly renovated guestrooms that are nice and functional.Not a quaint, romantic place, but it does gets the job done fairly nicely.	
Jun 14 2009 	Welcome to the Labyrinth of the Bonaventure...	We had some rather high expectations when we booked the Hilton Bonaventure. Check in was quick and efficient, finding our room took a while since the hotel is quite literally laid out as a labyrinth (turn down this hallway, go down these stairs, walk down this hallway) which is interesting from an archictectural point of view. Walking down the hallway, we saw gardens outside, with little cascading waterfalls and a dining patio. The pool looked a bit smaller than the photos make it seem, but it's not diminutive by any means. The bedroom was very clean and the bed was very comfortable. After setting our stuff down, I decided to take a shower. I walked in an ran the water in the tub; low and behold, the tub water didn't drain. I decided I didn't absolutely need a shower right before we went out for supper, so I washed up in the sink then notified the front desk that our tub drain didn't work; they asked for our room number and said it would be fixed right away. When we got back about 3 hours later, I decided to try again; as they would say in French, &quot;Rien&quot; or nothing. Tub still didn't drain. We phoned the front desk, who said that someone would be there shortly. Once again, &quot;Rien&quot;. The next morning, we called again and the very apologetic front desk attendee asked if we wanted to switch rooms or if we would like to wait an hour until the repairman arrived. I would have preferred if they had offered us a room the night before, but since we were leaving that morning and it was still very early, I said I'd wait for the repairman. An hour later, he called and he said he'd come right away, which he did. He had no trouble fixing our tub drain and quickly left with no mess. I'm not sure what the issue was on the service side of the hotel, but it left a rather poor impression on us. Thankfully, the valet was very helpful and gave us great directions. I wasn't upset with the hotel as much as I could have been, especially if I hadn't gotten a sale price. Had I payed full price, I would have been furious.	
Jun 12 2009 	Solid and Generic	This is a relatively large hotel, but the layout makes it feel very intimate. The location is very convenient to the main train station and the underground (with Metro access), but not to most of the major tourist destinations. There are few options for food within walking distance unless you count the food court of train station which is good for fast food or coffee. The rooms are generic, but comfortable with windows that open. The breakfast buffet in the restaurant is quite good, if it is included in your rate and/or someone else is footing your bill, but i would not pay full price for it.	
Jun 8 2009 	Pleasant but consider the alternatives first	The Hilton Bonaventure is an unusual but pleasant hotel in Montreal’s downtown business district. It sits on two levels, about ten stories high, cryptically spread over several penthouse gardens, ponds and a large outdoor pool. When you arrive, in a narrow and a rather unwelcoming alcove of a foyer at street level, where the signage isn’t exactly clear, there’s an elevator up to the main reception. At this point there are no more elevators; all the rooms spread out on hallways, like wheel spokes, from the central reception and bar. It’s somewhat disorienting but also a refreshing change from the standard downtown skyscrapers. And although it’s all on two split-levels, don’t let that deceive you; this is a 295 room Hilton that can accommodate major conferences at street level and, over the four days I was there, was very, very busy. Built for Expo 67, the architecture and design has the bones of a mid-century modern Wallpaper magazine gem. Unfortunately, those bones have been much modified, in various attempts at updating and modernization, so the feel of the interior spaces are rather charmless and haphazard and often “hotel generic.” My room was a basic king; spacious, clean, very comfortable bed, good LG flat screen, nice working area, reading area, good lighting and roomy closet. No complaints on the layout. The bathroom however was 1967 small, no, 1957 small, the shower a let-down, a half decent hand-held with so-so pressure, but in a little tub with absolutely nowhere to put sundries. However, a well-placed and well-lit shaving mirror was a pleasant thought, given how hard it is to shave in hotel rooms with dim lighting and distant mirrors or desk-level make-up mirrors—in other words, the norm. The hotel sits quite far east, on the border of old Montreal and a few blocks from busy St Catherine’s, so a good spot for tourists, but a bit of a slog if you want to get out of the touristy areas and hang in the more interesting urban neighbourhoods. Staff at all levels were exceptionally pleasant; housekeeping was efficient and always said hello, desk staff helpful, door staff prompt and the concierge desk was always quick, courteous and offered us very nice dining suggestions. The hotel restaurant has a wonderful open deck bordering a pond with a small waterfall and khoi; very appealing on a sunny morning (but no culinary destination; given the diversity and volume of epicurean delights in Montreal, eating here is like penance). I really liked the quiet, relaxing interior open spaces, by the pool and at the restaurant, the interior views of the plants and ponds. But I didn’t like the irritating green blinking light of the smoke alarm, the fact that the blackout blinds were half an inch too short and thus the room was flooded with light at the crack of dawn, the efficient but very noisy AC, the small bathroom, the coarse toilet paper and the fact that you get invoiced for phone calls even if it’s voice mail or a five-ring no answer left call! At this level of service it would have been pleasant to wake up to a newspaper at the door, but no such luck. Although I had a great stay and slept well, given the Hilton online price point—which hovers much higher than many other central hotels—I would be inclined to try another venue next time round.	
