	Fantastic Old Port	We stayed at the Auberge for 3 nights in November. It was a great experience from start to finish. Breakfast was included in the room rate and was sufficient enough to get us started for the day.We were in a room on the 5th floor, the room was great. The only comments are that the in room &quot;jacuzzi&quot; was not much more than a small bath (but the shower is fine!).It was a great base for our stay in Montreal. The Old Port can be a bit touristy, but it's easy enough to find good restaurants for dinner.	
Sep 15 2009 	Lovely rooms but poor soundproofing	We stayed one night in one of the loft apartments (601); a huge space, very well equipped, so no complaints about the accommodation. However the occupiers of the apartment above us arrived at about 1:30am and seemed to be havng a loud party with dancing until about 3:30am. Despite that, I'd stay there again. Service was friendly and helpful.	
Sep 15 2009 	Great experience	This hotel is a great 'french' experience in the old part of Montreal. The location, the building, the staff, the restaturants, the roof top terrace for cocktails or lunch, the main restaurant, the basement restaurant and the rooms are all very reminiscent of a harbourfront type hotel in France. There are some quaint aspects that make the hotel a little quirky (the early morning trains going past to the docks, the early morning trash collection, my rental car beng double parked for 20 minutes in a busy traffic lane before being parked by the valet). However, those things are all part of the experience - and we loved it. I even got a chance to use my high school french to the amusement of the staff and to my surprise as to how much I could remember. All in all a great little hotel, in a very good location away from central Montreal. Loved it and would return any time that I am in Montreal.	
Sep 9 2009 	Somewhat dissappointing	There were a number of problems with our stay of one night. I had an awful time climbing the few stairs into the hotel (no rails). The fellow who was to park our car didn't show up for about fifteen minutes while my husband sat fuming and double parked (autos in zone meant for us to park). When he arrived, he ignored us. I had to pointedly ask if he knew we had been waiting. Then our room, while unique with brick and stone walls, was sloped. We could roll a pen across the floor. The view, supposedly of the river, was more like of the ports and the car park of several stories. The day was hot. No air conditioning. We took a walk into the historic area around the corner and decided that the best looking restaurant we had seen was at our hotel. So the reservation was for seven. The waiter took our order. At eight oclock he came back to &quot;verify&quot; what we ordered. Later we found our order went in at 8:05! Meanwhile only one soup arrived. Our rear ends were getting tired and we had hoped to go for a walk before dark. No such luck. The restaurant was very chic and attractive. I hope they fired that waiter. Still it made my husband quite irritated. I told him that at least he has had a &quot;Parisian&quot; experience. The breakfast down in the basement was really charming. Food was excellent. The decor was unique. I like it.	
Sep 6 2009 	Great staff jazz food	My room was clean and bed very comfortable, bathroom had jacuzzi. Room was not what I expected however. I expected a view of the Port and had requested a room high up (5th floor is highest floor). I was put on the 1st floor, commented to bellman about that, he said probably due to my &quot;special rate. However even on the 5th floor I don't think you will see the water due to tall trees blocking all views except from rooftop restaurant. My windows were supposed to open but did not and they were filthy. If I could have opened them, I'd have cleaned them myself! There is a train track just across the street on the tree lined median and a long freight train comes through at 4 and 6 a.m. However I'm a pretty good sleeper and it did not bother me too much. The area is delightful but very touristy...but I'm a tourist so enjoyed it all. Many many restaurants available, the restaurant and lounge in the hotel has good food also. A great jazz duo guitar and bass play from 6-9 Thur Fri and Sat...and there is a complementary glass of wne and cheese every evening for guests. Entry to the hotel is up 4 steps and no ramp for anyone with a disability. I arrived at 8 p.m. and my cab driver dragged my suitcase up the steps into lobby where check-in was easy and Matthew took me to my room. He and all other hotel personnel are extremely helpful...they will make arrangements for an on/off bus tour and will arrange for you to be picked up by the tour company at the hotel. I highly recommend the hotel in many ways, wish I could have been higher up since being on the first floor I could hear delivery trucks in the early morning plus heavy rock music from the bar next door until 3 a.m., after which some drunks argued or laughed loud enough that I could hear them.	
Aug 29 2009 	Great place to stay would definitely recommend	My partner and I stayed here for 4 nights and it was the best hotel we stayed in on our trip to Canada. We were helped in with our bags as soon as we got to the door and greeted by friendly staff at the desk to check in. We got there on Saturday night so we thought it could be noisy due to surrounding bars and with us staying on the 2nd floor but it was fine. The room was very cosy, spacious and very tastefully decorated. The only criticism I could possibly make was there were little house spiders everywhere! The breakfast was amazing, though the first morning (it being a Sunday) I don't think they were prepared for us appearing so early! Still, there was so much choice with a buffet and a menu to choose from and it was all really tasty. We also got wine and cheese every evening, shame we could only make it for the two evenings of the four as it was nice. Also, they had a computer we could use for free in the lobby and could print out for free which is a good service to be able to use.The location was very good, ok it is a busy area, but it was so convenient for getting to all the places we wanted and was very safe to walk around at night. Overall, a really good place to stay and we left happy with our stay.	
Aug 22 2009 	Wonderful boutique hotel in great location	I loved this hotel -- it's exactly the kind I like: small with big rooms and a great service staff in a wonderful location. Our room faced the river and was perfect. The concierge helped us out with all our restaurant reservations and suggested some fine places we hadn't thought of. We only had two problems: the wi-fi didn't work in the room... and we came in on a Saturday night -- and on Saturday nights in summer it's fireworks night in Montreal, so hundreds of thousands of people are headed to the Vieux-Port area... took us hours to get to the hotel.So if you're flying in, don't come in late on Saturday!But that's not the hotel's fault -- it was a lovely place.Also liked the restaurant, Narcisse Bistro, that's there as well.	
Aug 13 2009 	Never have I been so glad to leave a place.	Our stay at the Loft Apartments at Auberge du Vieux-Port was supposed to be the highlight of our trip, especially as it was the most expensive place we were staying in during our holiday, unfortunately our whole experience left a bitter taste in our mouths and we couldn't leave fast enough.In fairness check in was fine, but we were disappointed on arrival in our apartment to find that there wasn't sufficient crockery for our party and the pots and pans were locked in a cupboard we didn't have a key to access. We had asked for an apartment with a king and two doubles, which we were told by the concierge was what we had been given, but on arrival at the apartment in reality we had two kings and a sofa bed.Eventually a couple of hours after check in when the crockery etc had been unlocked and we had eaten, we settled down to watch TV and log onto the internet, except we couldn't, for various reasons to numerous to go into we didn't get the internet as promised many times by the concierge at all during our stay.Additionally we had a young family staying above us with a love of loud music, not only did we have to endure their music, but their children running around above us loudly until late at night, so if you value a good nights sleep look elsewhere.Needless to say by the time we checked out the concierge was neither as friendly nor as welcoming as on arrival, never have I been so glad to leave a place.	
Aug 11 2009 	A lot of room in a fun location - Vieux Port Lofts	My wife and I have traditionally stuck with brand name hotels - we just want to avoid the risk of finding ourselves miserable during our limited vacation time, especially for something we essentially have control over. We have two younger children, one 3 1/2 and the other seven months old, so we like extra space. We stayed at the Vieux Port Lofts, and we found there's an abundance of extra leg room. ABOUT THE HOTEL:Overall, the hotel has a nice atmosphere, and check in was easy with very friendly and accommodating staff. We arrived by taxi from the airport and loved the old cobblestone streets we had to drive through to get here. We know we're staying in tourist-central, but we have no pretense about being visitors and enjoying the charm of the old city. This hotel is right in the center of it all - the kitschy restaurants, post card shops...you name it.The lofts are not part of the hotel, but are a short walking distance away. Someone walked us and our bags over to our room. The one drawback with staying in the historic lofts and having small kids is there is no elevator, and there are lots of stairs. I wouldn't recommend this space if you're bringing the in-laws. (Mine would have complained, if they made it up them at all). Also, by staying in the lofts, there is no bellhop or doorman - you're given a set of keys to a nondescript entrance, and all you see are stairs (did I mention there were lots?).Overall, very helpful staff and concierge. Friendly and easy service through and through.ABOUT THE ROOM:We stayed in room 605, which is a true two bedroom with a very roomy living area (complete with DVD player, so pack those Dora episodes if you have them); there's also a small(er) kitchen, but it is a well laid out 1400 square feet of space... I have many friends with NYC apartments half the size of this place. The rooms are clean (although the kitchen and bathroom are a little dated - but this is more a nitpick since I was thrilled to have the kitchen amenities). The space is also charming, e.g. lots of exposed brick, lots of light, and we didn't have any noise issues (this is a response to previous posts I read on the hotel). I think the pictures of the furnishings on the hotel's website are a little misleading - the stuff feels more like you're staying in a Three-Star time share, as opposed to a swanky SoHo loft. Hotel staff had set up a pack and play for our little one. Also, we took advantage of the washer and dryer one floor below us. We stayed here for three nights, and overall - we loved it. When we return to Montreal, we'll look to stay here again. The space made this place feel like a home away from home - and the price was perfect. We're leaving tomorrow for Quebec City and are staying in a large suite at the Fairmont Hotel Frontenac. There, we're paying for one night what Vieux Port charged us for three. I can't wait to compare the value!	
Aug 10 2009 	Great Service Ruined by Early Morning Freight Train	My wife and I booked a room for a three night romantic getaway at the suggestion of friends. When we arrived, Frederick greeted us outside with a huge smile to help us unload the car. He was the best concierge we have ever had the pleasure of dealing with - always smiling, friendly, and ready to do whatever it takes. Whenever he saw us, he inquired about our visit, and asked if there was anything he could do. The front desk staff were equally helpful, assisting with restaurant recommendations/reservations and helping us plan a day exploring Montreal by subway, bus and foot. Valet parking included unlimited in/out privileges.We arrived just in time for the nightly wine and cheese guest reception in the restaurant. It is ticketed and each guest receives one generous glass of wine that can be taken to the tables outside on Rue de la Commune overlooking the port, or on the roof terrace. Additional glasses of wine are available for purchase.Everything was as advertised on the website. The room faced the port and had two large windows with twin glass panels that opened fully allowing cool fresh air in during the night. The bed was comfortable and was placed against an old brick wall. The bathroom was large with a pedestal sink (but the shower stall was quite small). There was a flat panel TV in the room, a CD player and mini speakers (the front desk has a library of CD's available to guests), and high speed wireless internet.We went to bed that first night very pleased with our choice.........until we were shaken from our sleep at 4:00 a.m. by the very loud squeaking, squealing, and screeching sounds of metal on metal coming from a slow moving freight train that was immediately across the street from the hotel and no more than 20 meters from our window. The train continued passing for 20 minutes, making sure that we were fully awake. It was like a scene straight out of the movie &quot;My Cousin Vinny.&quot; A second, shorter train came by at 6:00 a.m. just to make sure that our night's sleep was completely disturbed. This scenario repeated itself at the same time on each of the three nights we were there, preventing us from getting even one good night's sleep. It ruined what would have been an otherwise excellent stay. Perhaps a room on the other side of the hotel would have been a better choice, but we wanted a room with a view of the port. The hotel should warn guests of the potential for this considerable disturbance so that room location can be taken into account when making a reservation. If you want the room with a view and plan on sleeping through the night, you are well-advised to bring good earplugs.Bleary eyed from the lack of sleep, we made our way down to breakfast which is included with the room. There was a fine selection of hot and cold meals - the french toast was particularly good. Service at breakfast was a little spotty, but the food was tasty. If we return to Montreal, we will consider this hotel, but only if we can get a room facing Rue Saint Paul.	
Jul 20 2009 	Beware of OBNOXIOUS LOUD club next door!	My husband and I planned a 2 night romantic stay at this hotel. The valet parking made an easy check in...it was nuts at that time of day, i think it was around 2pm on a friday. Upon entering our lovely room, we noticed the bed was kind of leaning funny, it was broken and wobbily. Oh well, it's so beautiful, I am not going to worry about that. We could hear a violinist playing &quot;La Vie en Rose&quot; outside our window....a fave song from our recent wedding...ahh... Then I took a soak in the LARGE whirlpool tub! Yay!!!...hey, only 2 of the jets 'sort of' work...oh well....we are having fun, so it didn't matter. After wandering the t-shirt packed over touristy area of Vieux Montreal, we had a lovely dinner at Narcisse in the hotel. Lovely meal, lovely service, thank you Charles! We returned to our room. The violinist STILL playing (about 6pm) the same La Vie en Rose/Memories/Twinkle Twinkle Little Star montage.....(that's all he knew). HE PLAYED NON STOP UNTIL ALMOST MIDNIGHT RIGHT OUTSIDE OUR WINDOW!!! (We were on the noisier Rue St. Paul side)..oh, it gets noisier. There was a club next door that started getting hopping around midnight. Who goes to these clubs? Drunken teenagers!!! All hanging outside on the street carrying on for hours. Needless to say, I called the desk and they offered to move us up to the 5th (from the 2nd) flr, same side. I said no thanks. 30 ft of vertical change wasn't going to cut it. We left in the morning and went to Burlington VT instead. The next morning, the desk staff said 'don't stay here on a weekend in the summer' thanks for the heads up....never again.	
Jul 17 2009 	Amazing location and big space	In April 2009, my friends and I decided to take a trip to Montreal. After much research, we decided to stay at Auberge du Vieux-Port. We had 4 girls in total and it was more than enough room. We stayed in the superier room with 2 Queen size beds. The place was great because we had a kitchen, dining room and big living room. The only downside was that it only had 1 washroom, but we managed. I love the brick walls and amount of space it provided us 4 girls. Love the location! When you exit, you exit right out to the street and are 2 steps away from restaurants and shops.Another thing I didn't like was the fact that this place doesn't have elevators.. it was very hard to pull up suitcases up 3 flights of stairs.Other than that.. I loved it there and would go back. Maybe this time with my husband. =)	
Jul 14 2009 	Great hotel all around - we will be back soon!!	We stayed at this terrific hotel for three nights during our honeymoon. The hotel staff was excellent--very kind and incredibly helpful. Our room was beautiful, large, and immaculate -- just like the pictures on the website. (The mattress felt brand new.) Each night we went downstairs to the bar for a complimentary glass of wine and cheese. In the morning we went downstairs for the complimentary breakfast--the french toast was particularly delicious! The hotel offered free wireless in the rooms. Valet parking was pretty much necessary, but was fairly priced. The location was perfect for exploring Old Montreal and it was a reasonable walk to the Jazz Festival downtown. Thank you Michael, Matthew, and Frederick for a perfect honeymoon in Montreal.	
Jun 11 2009 	Let's double book our rooms	I had stayed at this hotel a couple of years ago so I decided to stay at their superior loft this time as well. We get to the hotel and the reception area is crawling with bugs. but to top it off, the concierge lies to us about a maintenance problem that occurred that same day so they couldn't contact us. It turns out there's no maintenance problem, they've double booked the room during the beer festival, and so the people who arrived before us got the room, as though it's first come, first serve. The manager was UNAVAILABLE, and the staff were incredibly RUDE. One staff member actually had the nerve to ask us to keep calm/quiet or they would kick us out and refuse us service. If you ever decide to stay at this hotel, have a back-up ready.	
Jun 1 2009 	This is the most enjoyable hotel stay that I can ever remember	The staff is outstanding. BostonExPat mentioned the concierge Michael. He did not overstate the caliber of this man. The valets were gracious. I had the feeling that the staff enjoyed working at this hotel. Great location... great views. It made up for rainy cloudy weather.	
May 26 2009 	We Would Definitely Stay Here Again	My husband and I stayed here for three nights in May '09. We had a river facing room on the 5th floor - the room was exactly as advertised with hardwood floors, exposed brick, and a modern bathroom. The room was large and comfortable, with a fantastic view of the river/Vieux-Port. We live in the city on a busy street, so minimal street noise doesn't bother us, but it is worth mentioning that on two mornings, a train did pass directly in front of the hotel rather early in the morning and it was fairly loud, even on the 5th floor with the windows closed. Other than the early morning noise, there wasn't one bad thing about the roomThe hotel has a fantastic restaurant with outdoor, street level seating, but if you go in the late spring/summer, make sure to have drinks at the roof top bar, which has a great view and a relaxing atmosphere. One perk of staying here is the complimentary wine/cheese offered every night in the hotel bar from 5-7pm. On two of the nights we stayed, they also had live jazz music in the bar.As other posters have mentioned, the location is great for visiting all the main sites in Vieux - Montreal and there are an abundance of dining options nearby that meet any price range. If you're looking to be close to the nightlife on Crescent St/St. Catherine's this hotel probably isn't for you, but if you want to stay in a charming hotel, with great service, and a fantastic location in Vieux-Montreal, I highly recommend this hotel.	
May 4 2009 	Very pleased!!	We stayed at this particular hotel April 30/09 to May 2/09. We were very pleased with our choice of hotels. The employees are helpful and prompt and made our stay very comfortable. The hotel has that old feel to it that we loved. Everything is in walking distance, the shops, restaurants and Notre Dame Basilica is a must see.	
Apr 19 2009 	I loved the hotel but even better was the service	We stayed at Auberge du Vieux-Port from 04/17/09 to 04/19/09 and it was a wonderful stay. The hotel fit all my expectations for a boutique hotel, and the price wasn't bad at all. More important though was that the service was VIP from the moment we checked in. The chief concierge, Michael, was one of the most helpful concierges I've ever come across in over twenty countries. He made our stay more than pleasant.	
Apr 13 2009 	Perfect choice for surprise getaway.	I chose the Auberge du Vieux Port based on a friend's recommendation as a surprise getaway for my husband's birthday. It was a perfect choice. We were there 2 nights. The price including dinner and parking was very reasonable. Front desk and parking valet were gracious and accomodating. Wine/cheese offered each evening, along with live jazz on the nights we were there. Many attractions within walking distance. We will return again another time.	
Apr 8 2009 	Valet Drive my Car Into Garage and they Wil not Reimburce for Work	When my wife and I arrived, the room they had for us was dirty and had not been cleaned by room service yet, so they moved us to a smaller but still a nice room. I figured, this happens, they fixed the problem the best they could. Later that night when we went down stairs for dinner, the manager stopped me and said there was a problem with my car. Told me they would bring it around, which they did 45 minutes later. The hotel had driven my new Lexus into a parking support causing damage to the back left side of the car. Again, I figured this happens and they assured me they would pay for the repairs if I provided them with an estimate. This morning I received a call from them saying they will not be sending me a check to cover the damages. I worked with this hotel chain for 3 months now trying to resolve this problem and there has been no effort on their part to correct it. To be fair, the hotel is beautiful and a short walk to some great spots. However the look of a hotel is nothing com paired to its ability to manage it's services. If you decide to stay here, do not bring your car, do not expect the senior managers to support any additional services or needs you may want and certainly do not trust anything they tell you about rates, refunds or room charges. I would say it was like living in a beautiful condo with a slumlord as a landlord.	
Apr 7 2009 	Loved it!	My huband and I stayed at the Auberge du Vieux-Port in late August for 6 nights for our &quot;mini-moon&quot; and we loved it. We also chose the hotel for the location in Old Montreal and loved the surrouding area.The concierges and valets were a pleasure - we enjoyed seeing and interacting with them during our stay. They always greeted us and were happy to provide advice and suggestions on what to do, where to go, and where to eat. We also brought our bikes and were able to store them in a back room. The room itself was wonderful. We stayed in a room on the third floor that overlooked the water. The bed was comfortable and the sheets were lovely also. Everything was clean and well appointed. Breakfast was a delight every morning. I loved the crepes and croissants and the wait staff were very nice also. We had the wine and cheese a few times, which was a nice treat during the stay. We also ate dinner at the restaurant and the food was delicious. Our overall experience was wonderful and we loved it there. It felt like &quot;home&quot; a few nights into our stay and we would definently stay there again.	
Mar 24 2009 	Great Service at a Great Hotel	We spent a very pleasant weekend at the Auberge de Vieux Port in mid-March. The room was as presented on the website – the stone wall, wooden posts and wooden floors gave it a unique and romantic character that you will not find in your typical high-rise hotel. The hotel is within walking distance of most of the downtown attractions and key buildings. We walked to and from the train station in about thirty minutes, along the way passing Notre Dame and the convention centre. Supper at the hotel restaurant was excellent, and we enjoyed the jazz duo that plays on weekends. There were also several restaurants catering to a range of tastes and prices on St. Paul Street, directly behind the hotel.  The price was also as presented, with no surprises at checkout time.The room came with a Jacuzzi tub, but unfortunately it was only built for one. (Well, two people could fit if you are both small.) We prefer a firm mattress, so we found the bed to be very comfortable.The only negative was that noise from the street level easily drifts up and through the window, so be warned if you are prone to retiring early. However, what struck us most was the very attentive service, and the outgoing, enthusiastic and friendly attitude of the hotel staff, making this one of the most pleasant stays at any hotel we have visited.	
Mar 9 2009 	The best hotel I've ever stayed in. Hidden Gem	I just got back from a lovely weekend in the Auberge du vieux port. We traveled all the way from Pennsylvania, and had a great experience at this hotel. It is located in the center of Old Montreal. The location could not be any more perfect, as the street behind the hotel is lined with little shops and many excellent restaurants. The street in front of the hotel hosts the port, which is a great place to walk around. When we arrived the staff was very friendly and continued to offer their help and services through the extent of our stay. The room was gorgeous, with its tall ceilings and brick walls. It had all the European charm we had expected. The bathroom was also extremely clean and updated. I am a very strong critic of hotels, and often times find something wrong, however I had nothing to complain about with this one. The included breakfast was delicious and prepared to order, and the complimentary wine and cheese between 5 and 7 is very charming, especially when the jazz band plays on the weekends. The hotel is in walking distance to the cathedral and all activities in Old Montreal. It is also in walking distance to downtown, and all the main shopping areas. I highly recommend this hotel and would consider it a hidden gem.	
Jan 23 2009 	Good location loft is OK if you know what to expect	The location is excellent if you want to be in the old port area. You can easily walk to restaurants. It’s a 10 minute walk to the metro. The staff are very pleasant and helpful. We enjoyed our stay.But there are things you should be aware of if you’re thinking about staying in a loft. This applies only to the loft (apartment) number 603.The lofts are not in the inn, but two blocks from the rear door of the inn. Someone will help you get your bags there and back. There are no elevators. We couldn’t figure out whether everybody in the building was a guest of the inn. It appeared that some were permanent residents, and that the inn just owned one or more apartments in the building.Loft #603 consists of one large (maybe 25 feet by 25 feet) room, a reasonably large bedroom, a smaller bedroom, a bathroom, an entrance hall and kitchen. Walls are exposed brick and stone; pipes and electrical cables are exposed. The fireplace doesn’t work, and neither did the TV in the large room. The TV in the large bedroom did work but you have to string an extension cord through the door and plug it into an outlet in the large room. WiFi worked pretty well.Lighting is inadequate: one person can sit next to the table lamp and have enough light to read comfortably, but others will find the light a little dim for reading. The cord for the lamp by the bedroom runs into the wall, then inside the wall to a spot several feet away where it emerges and is plugged into an outlet. This is beyond strange; it is a fire hazard. It can get noisy. The people downstairs had a party that included children playing hockey in the hall. Someone upstairs rose each day at 6:30, flushed the toilet 15 or 20 times, then woke the children and got them started practicing their Morris dancing. OK, I exaggerate a little, but you will hear every flush, foot step and (muffled) conversation. Luckily, with the exception of the party night, people went to bed fairly early and we didn’t really find the noise too bothersome.The large bedroom has a glass door, reducing privacy. The water heater has enough hot water for only two showers. Housekeeping makes the beds and changes the towels each day.If you’re not cooking your own in the loft’s kitchen, breakfast is in the inn and it’s $10 (not included with the room as it would be if you were staying in the inn.) Our breakfasts were excellent and the service was prompt and courteous.We arranged through the hotel for transportation to the hotel from the airport and back; it was reliable and pleasant. However, we were told by the hotel that the trip to the hotel would be $101 including tax and tip, and that the trip from the hotel would be somewhat less. We paid for both trips when we returned to the airport, and the bill was $232 not including tip. It’s about 20 minutes each way; I’d bet a cab would have been quite a bit less. For comparison, here in overpriced New Jersey a roughly equivalent round trip was $100 including tax and a pretty generous tip.	
