	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Sep 23 2009 	Great Location	After booking this hotel through Expedia and then reading the reviews I wasn't sure what to expect upon arrival. Yes it is an older hotel but that does add some personality. The location was great as we wanted to explore! We never used a car all weekend. We walked and walked and walked. It was wonderful. Yes, the hotel is older but we never had any major problems. The rooms were a fair size and clean. It was nice to have the small kitchen. It was more like a mini apartment. The bathroom was indeed a bit dull and could of used some renovations but it wasn't dirty..just older and dim and the door wouldn't close all the way. Other then that our room was fine. The bed was very comfortable! Only thing that was a draw back is we could hear doors squeaking during the night as people were going to use their bathrooms. Overall for the location it wasn't a bad stay at all.	
Sep 8 2009 	Terrific location.	Some of the points that other people are complaining about I found charming! I guess it's all in your point of view. For instance ... yes the elevators are small, SO WHAT, it was obviously an older hotel that has been around for a while yet updated. I almost felt like I was in the set from an old Hollywood movie. Yes you had to pay for parking ... PEOPLE this is Montreal Quebec!!!! Would you be shocked to pay for parking in New York City, LA, downtown Chicago?!?! Of course not so why so shocked to pay in the big metropolitan city of Montreal? Yes they gave you an actual brass key and not a 'modern' plastic key card... SO WHAT!! Our room was on the 20th floor, it was very clean, very comfortable, nicely decorated and had an awesome view. We booked our original reservation online and got a terrific rate. We decided to extend our stay by an additional night and they weren't able to match our original rate (but only $20.00 higher) - to make up for the 'inconvenience' they gave us 3 vouchers for a full American breakfast for free ($14.00 per person = $42.00 value)! We didn't take advantage of the pool or restaurant for dinner so I can't comment on this areas. I would DEFINATELY stay here again.	
Aug 23 2009 	Pleasant Surprise	We chose the hotel based on price, but were very pleased with every aspect of the hotel. On this trip I travelled with my teen grandson. From check-in to check-out, we had the best of service in comfortable well-equipped suite. The location was ideal.	
Aug 18 2009 	Everything is old and Not worth the $$	We booked this room through hotels.com for $129 a night, thinking we were getting the deal of our lives in this hotel. We got there and there is no one at fron to take care of your luggage, which for us is ok, but the front street was packed, so I went inside and ask where can park and a lady told me to go to the back of the building, when i got to back there was already 6 cars lined up to enter the parking.We managed to get out 6 mth old out of the car with 3 pieces of lugagge in a 5x5 elevator (dont ask how).After we checked in and received our Key (no Card Key in this hotel, but a real key), we got to the 23rd floor where we stayed and the room looked like a room from a 1970 movie, everything is OLD ( i mean really old), $22 for parking/day, $5 internet/day. Continental breakfast is $13!!!! Pool is NASTY!! You can see a black dirty line around the pool! Stove is from the 60's (no lie!)I can say one good thing about this hotel, maybe 2: the bed was really comfortable and the view is really nice.My wife didnt want to take her shoes off, the rug looked really dirty. Sheets had holes and weared off.... same with the towels, they had holes from the over use.We tried to leave the same day after seeing all this.... we want it to run to a holiday inn or a courtyard that is actually the same price or less! But front desk told us we couldnt leave since we book for 2 days and they were going to charge us the full amount for the stay.So basically, i would never recommend this hotel to anybody because of the price, the way the hotel looks. This hotel needs a major renovation!Just to give you an idea, if you want to take a shower you will need to bring a lamp, because the bathroom only has a 50W bulb.... im not kidding and the shower tub was only a metal piece.We stayed in what they call an Executive Suite.I hope this review helps...	
Aug 10 2009 	Excellent hotel	The Cantlie is a good hotel but the food from the Mezz BAr (wich does the room service also) is not very good. All the food there is frozen and not fresh. I do not recommend the Mezz Bar. You better go est somewhere else downtown. The good thing is that is a clean hotel and the service is excellent and it's very well located.	
Aug 5 2009 	Hotel Good; Parking Bad	We booked a one bedroom suite which ended up being on the 23rd floor with good city views. The room was huge and very comfortable for the family although the bathroom may have been somewhat disproportionately small - but not an issue with us. Clean and tastefully decorated with modern amenities such as two flat screen TV's. Beds were super comfortable. Staff were courteous and helpful. Housekeeping did a fine job. Noise level at a minimum. We're very self-sufficient so having access to the luggage cart as needed was a plus. The hotel is strategically located on Sherbrooke Str (which is the scenic route to Quebec City about four hours east) and Peel. Walking distance to Mt Royal and Old Town. At no time during our four night stay did they have an available parking spot for us so I had to keep the car at one of the public lots a short distance away...not too major a hassle though. What was annoying was having to pay for parking at every freaking stop in Montreal...walking or public transpo is probably the better option.	
Aug 4 2009 	be aware	we booked for 519.00 stay over 3 nights thinking we would treat ourselves to something nice only to be forced to pay 785.00 upfront including a booking fee. you would think with the price they charge there would be a few perks. the pool is in need of a water change. there is one over priced restaurant in the lobby and the idea of ordering pizza was shut down when they refused entry to the pizza guy. two of the outlets in our room did not work. 25 per day for parking. 5 per day for internet access. the bed was not made when we arrived at 5 30 pm. the shower lights are not water proof they are the same as in the hallways. the paint on the ceiling is peeling from moisture. the water temp in shower changes often. out dated fixtures are the problem. i am surprised they do not count the number of toilet paper squares and charge for that. nice matresses though	
Aug 4 2009 	Great Hotel Highly Recomended	I find that the reviews for this hotel were highly misleading. I went in with very low expectations and I was pleasantly surprised to find that the suites are clean and huge with two flat TVs, one for the sitting area and one for the bedroom.The staff was friendly and very helpful. There was always someone available to answer any questions we had and provided extra advice. The cleaning staff provided us with extra towels and extra coffe whenever we asked.The pool on the rooftop was clean and the hotel provided extra towels for the pool. The view from the 28th floor , where the pool is located was amazing.	
Aug 2 2009 	A good hotel	We booked for three nights in July, but were a bit concerned after reading some of the comments on this site. That being said, our expectations were low. However, we were pleasantly surprised - check in and out were speedy, the room was lovely - newly decorated, clean and quiet. The kitchenette was very basic, but adequate for preparing light breakfasts at least. The location was great - we could walk to good restaurants, shopping, and the metro. The kids loved the roof top pool and made good use of it in the warm weather. Our only issue was that the kitchen sink was plugged when we arrived (quickly fixed) and then the bathroom sink became clogged. However, these were minor issues compared to the overall experience, and we would definitely return when visiting Montreal in the future.	
Aug 1 2009 	Nice hotel central area friendly staff	I have spent one week at this hotel. The room was nicely made up and clean. Loved the kitchen, but I had to ask the maid for coffee twice, she simply forgot. Room service was pretty late, around 2:30 pm so I could not have a nice lunch there at noon, but that was no big deal. Bathroom, bedsheets impeccably clean, no noise from anywhere whatsoever (20th floor). The staff was very friendly and accommodating. Internet access is $5 + tax a day and it was extremely slow, but I needed it. There is a nice swimming pool on the roof top. I booked with Flightcentre and paid about $104 + tax for two queen beds, they had no single room available. I have seen other rooms were nicer, but I guess they were more expensive. What I found strange was that they did not put the bed covers on the bed, it would have been a lot nicer and I have seen in other rooms they did.... Why was I treated differently, I don't know. Door lock is tricky. Works the other way and they give you two keys, and there is two locks on the door, but the second key is for the swimming pool, fitness room and laundry. But because the key opened the door left instead of what we are used to, right, you assume it is still locked and try to open the other lock with the wrong key.... Awkward. Laundry room is very convenient. Right around the corner you can rent public bicycles which is very convenient to get around and you can leave it at any bike station. But there is no grocery store in the area, so you have a kitchen but you have to carry the food a long way before you learn how to use the subway.All in all it was a GOOD experience.	
Jul 28 2009 	Good for family travel	We decided to stay at this hotel because we were traveling with a 9 month old and wanted to have a fridge and microwave where we could easily prepare her food. Although they had a few utensils and dish soap (tea towel provided was stained), I would recommend that you bring your own stuff from home. The kitchenette was very sufficient for us and completely met our needs. The room itself was clean. Rug vacuumed, clean sheets, decent clean towels, however when we went out Sunday morning and returned at 2:30 pm for baby's nap, house keeping had not arrived yet...The location was fabulous! It was less then a 10 minute walk to shopping, restaurants, pubs, etc...Metro was right around the corner. Also we decided to park on the street (on Stanley), instead of at the hotel. It was free after 6pm and we were able park there all weekend! We had to remove the car Monday morning, before 7am. So we then parked at meter parking. Total cost for our parking 6 bucks!!!The staff was friendly, always greeting us when we arrived and left but I received some seriously inconvenient info about the Metro. I was told to take the metro instead of the bus to my destination and was assured that the stations can accommodate strollers but they can't. I had some super friendly Montrealers help carry my stroller up and down flights of stairs because there were no elevators/escalators. A few last things, American breakfast was included in our package and it was just ok. I would NOT recommend that someone pay for this breakfast. It is pricey and you are better off going elsewhere. Someone had posted a review here regarding room doors that jam and it was so true. We had to kick the door EVERYTIME to open it because it was always stuck! We didn't find the elevators too slow but they were soooo small. That we had to pass up several elevators cause we couldn't fit the stroller in there with others.	
Jul 20 2009 	Good Sized Rooms Rooftop Pool	Came up to Montreal (great city) with some buddies for a bachelor party. Since we were a big group, staying in suites made sense. The best parts of the hotel are the large rooms (true 2-room suites) and the rooftop pool. The cons are numerous. The hotel is clearly dated and hasn't been renovated recently. The lobby is small and the decor is pretty generic and tired. There are not enough elevators (3) for a 28 story tower, you will wait up to 5 mins for an elevator at night when people are going to dinner and on sunday during check out. The elevators and the guestroom hallways look like they haven't been refreshed in years and the hallways are this really ugly dark green and wood motif, like a british hunting lodge, but really tacky. The rooms also don't have much (or any) style and the bathrooms are tiny with old style facuets and fixtures. The door locks are actual keys (so not easy to slip into your wallet). I think there may have been a kitchenette in the room behind a closet door, but I didn't notice. The hotel has some unnamed mezanin restaurant above the lobby that serves an expensive breakfast and drinks at night. Had a few beers and appetizers there. Nothing particularly special. The rooftop pool was a nice amenity to have, but also could be fixed up. Looked a little run down. Service during sunday check-out was dreadful. Very slow and the staff was totally overwhelmed. Worked for us, but not particularly recomendable.	
Jul 20 2009 	WORST EXPERIENCE EVER	To begin, the hotel itself is not too bad for the price. However, the beyond terrible staff does not make the stay at all enjoyable. The walls of the place are so thin that playing music caused us to get two noise complaints (and we were NOT playing our music loud at all). My major complaint was not so much that but what happened at the end of our trip. I had bought an iPod dock in order to be able to listen to music in the room. I set it up on the desk in the room and left the box with all the accessories (ie. the remote, the battery, the manual, etc.) on the ground. The next day after the maid service cleaned our room, I noticed that the box with the accessories were missing. My boyfriend called downstairs where they did not care at all that something was missing and they simply told us to leave a message with housekeeping which we did. Not only did housekeeping never call back but the next day we went down to check out and I told another gentleman what happened and again got the &quot;I-could-care-less&quot; attitude. He told me he would check with the housekeeping supervisor so we took a seat and waited half an hour to hear back from him but unknown to us he had left and taken his lunch break. We finally decided to complain to somebody else who happened to be the supervisor, Sam. He was by far the most rude and ignorant person I've ever met. He told me it was impossible and went on to imply that we were liars. Furthermore, our issue was not solved and I am not out $80 for my product which cannot be used without the accessories. Sam also proceeded to threaten us by saying that he would charge us for an extra day if we did not pay for parking which I was refusing to do until somebody took me seriously and solved my problem. Finally, a girl came over and tried to help us but was told that &quot;we were taken care of&quot; already by Sam. I have never felt so angry and violated in all my life. How is it possible that a hotel can take something of yours, throw it out, and feel as though they should not be held accoutable or that they should not have to reimburse you? They staff at this hotel are just completely disgusting and it left the most sour taste in my mouth. I will NEVER stay at Le Cantlie Suites again and I suggest you do not either if you wish to leave with all you came with.	
Jul 19 2009 	Great value location	Location excellent, right downtown. Room spacious - 2 queen beds- small kitchen.Local phone calls $1 - internet charges extra - PASSED- used cell phone.SUV PARKING - problematic in hotel. Limited spaces - very annoying to keep checking with front desk. Could be better organized in that area. [Valet parking is common other than street and lot parking in downtown area]Overnight VALET Parking nearby - $17.00- 2nd parking lot on STANLEY below DeMaisoneuve - best bet. Otherwise valet parking across Peel st. for 25.00 day. Limited in and out priveledges. Verify Off site parking hours of operation in case you are returning late evening.	
Jul 15 2009 	Better than I expected for the price	I'm originally from Montreal and have stayed at dozens of hotels in Montreal. I could not find another hotel with a reasonable rate so decided to try this one.Friends in Montreal provided a bit of history on this hotel. It was originally an apartment building that was converted years ago into this hotel. Originally each floor had 4 apartments... but now each floor offers 12 rooms of different sizes.I booked the king executive suite directly online with the hotel website. I requested a quiet room on an upper floor. I arrived late evening on June 4th for 4 nights. Having a rental car from the airport I called ahead to check on parking availablity which was conveniently easy to access directly under the hotel with elevator access to the lobby. (Valet parking $22 $CAD per day with in out prevleges - no self park available) Check in was quick and I was assigned my room on the 19th floor. The room was OK... the furniture is a bit outdated. The air conditioning was not functioning properly and unfortunately every window, including the balcony door were screwed shut so no fresh air. I will say that the bed was one of the most comfortable I've slept in and the linens were excellent. The bathroom is tiny but the shower had one of the best water pressures I've experienced. Montreal must not have any water shortage problems. There is wireless Internet available throughtout the hotel ($5 $CAD per day) but no wired access. The wireless connection is poor at best... but for $5.00 acceptable.Next morning prior to leaving for the day I called the front desk to ask about the air conditioning problem and ask about opening the windows for fresh air. I was informed that all windows and balcony doors were sealed shut for security reasons. I questioned that policy indicating that I was an adult only in the room and had no concerns about falling through the window. I was told that they would send someone up to fix the air conditioning. I arrived back late that evening an the room was still hot with no air. I called the front desk and they sent a maintenance man up (who is on call 24/7) to look at the air unit. A very friendly gentleman arrived who reset the air unit and waited until it started working (about 10 minutes). I asked about the locked windows and expressed my disappointment about not being able to get any fresh air. After a couple minutes of chatting he said he might be able to help me and unlock one of the windows... which he did. The difference was amazing. I was seriously considering finding another hotel for the last 2 nights until the window was opened. The management of this property should seriously consider finding some way to put security locks on the windows and doors that their guests can choose to open themselves. I understand the concern for small children but I think adults can make adult choices. The kitchenette had very outdated stuff. A couple forks, a knife, a sad looking small pot and equally pan. An old toaster and microwave. Hard to tell if any of it was actually clean - I would not use any of it.. rather pointless to even be there.I've seen past reviews that they don't clean the rooms properly, or replace towels... I will say that they cleaned the room every day with new sheets on the bed and fresh towels in the bathroom.In future I will stay at this property again - but will need to bring a pair of plyers to remove the screw locking the windows.This property is in an excellent location with easy walking to everything from fantastic restaurants to great shopping. The Montreal Museum of Fine Art is across the street. The staff were all polite and friendly and the room was nice and quiet. There is a swimming pool on the roof with great views.All in all I was pleasantly surprised... but must stress only after the window was unlocked.	
Jul 15 2009 	OK place to stay for the price	The hotel itself was ok. The pluses:Pool on the roofRooms were ok if a bit dated.location was great, very close to MetroNegatives:Parking was awful. They didn't post the overnight rates. The $15 rate listed on the entrance sign to the garage as &quot;maximum&quot; was not in fact the maximum. The overnight rate not listed at all is $25. The attendants were also extremely unpleasant; even my young children noted how unpleasant they were. (and they have grown up in NYC so that is saying something).The staff was unhelpful as best. As as an example, I tried to access the wireless internet and a screen indicated i needed a password. I noticed nothing in the room or in my check-in materials speaking to the process for signing in. I called to the front desk and they said I had to come downstairs to get a password for $5. Went to the front desk assuming they wanted the payment in cash because they said I needed to come to the desk. I asked the girl at the desk for password which she proceeded to write down. I handed her the money and she informed me the would bill my room. I inquired as to why I had to come down she just shrugged her shoulders. Finally the elevators are excruciatingly slow.	
Jul 14 2009 	The worst hotel known to man	So there are a whole bunch of us girls, we get to the executive suite and its decent. Not that bad, Until we try to use the sink and it clogs. Then we try to use the electrical outlets and they dont work. There are two rooms, seperated by french doors, one room is really HOT and the other room is FREEZING. The worst part was friday night. We all came home from a night out and ordered Pizza, thank god. Because at 5 am the ceiling started leaking from the light socket. We find this in not ONE place, but TWO places. We called downstairs when we saw the first one, than they were so slow in coming up we had to call again to tell them about the second one. Three men come check it out and look at it for a second and leave. We pack up all of our stuff and take it into the hall way beacuse it looks like the ceiling is about to cave in! Still no call as to where we should go, what we should do, NOTHING. So we call and tell them that we have our stuff in the hallway where are you putting us. They put us in a two bedroom suite, nice huh? NOT at all. Its a smoking room, we did not ask for that. There are two bathrooms, one of which the tub does not drain and the water pressure is so strong it will pierce your skin. So what happens when we check out? They say that it is not THEIR fault and will not do anything about it. They claimed that the room was not smoking and blamed us for smoking since it smells like smoke. They were extremely rude, the Manager that goes by the name of Sam, who apparently does not have a last name. God what else went wrong...the worst HOTEL EVER! Please please please take my recommendation and do NOT stay here!!!	
Jul 13 2009 	Decent stay good location for partying extra charges unexpected	Overall a good stay, my buddies and I (early 20's) stayed here for a weekend of partying. Great location for night clubs, restaurants, and bars/pubs. Short drive to casino Montreal. Hotel service was good and helpful. Had a kitchenette, which was nice. Few downsides were the extra charges for internet ($5 per day), parking ($22 per day!), local calls ($1 per call), and additional occupancy ($25 per night). I chose this hotel since it was right downtown and what I thought was good value for the price (3-star). After the extra charges (included at other comparable hotels) turned out to be more expensive. Otherwise wasn't much else to be upset about.	
Jul 8 2009 	Great location good value	Yes, the rooms need redecorating, but we had a comfortable stay nonetheless. The kids loved the rooftop pool, which also boasts stunning views. The staff was friendly and helpful. This isn't the Ritz (which in fact is just down the street), but the combination of low price, great location, and reasonable comfort adds up to good value.	
Jul 6 2009 	Dont make the same mistake that we did it could ruin your trip.	1. The service staff, rude, rude, rude and we were ignored on several occasions when we were at the front desk. Once the person behind the counter acted as if they were doing us a favor by helping us. They did answer the phones very quickly but they were always very curt. They are very aware of the issues with the hotel but refuse to fix them. see below.2. We were upgraded to a suite because we could not exit our room It turns out that all of their doors are wooden and swell which makes it impossible to exit during an emergency. they had to take off the door. 3. The executive suite is NO executive suite. POOR drainage in tub. very old out-dated kitchen and utensils, the t.v. remote did not work. the buttons on out-dated tv were missing. only one very small trash can in the room. They also give you a key with your room number stamped pn it and a card attached advertising the hotel. Montreal is safe, but that is crazy. Hotels stopped doing that more than a decade ago. the elevators are very small and slow. 4. The business center is NOT a business center, like everything else the computers are outdated (1990), slow and the printer was out of ink. they only ALLOW you to use it for 30 minutes, then they charge you. it takes 30 minutes to get on the computer. we had a laptop, but needed to print boarding passes. They charge 4.95 per day for wi-fi in the room. 5. Excellent location, close to subway and Saint Catherine street. 6. There are very few redeeming qualities about this hotel: it has a great location, large rooms and comfortable beds. But for the price and personal safety and comfort, i am sure i can find it at another hotel in montreal. karl_news@yahoo.com	
Jul 6 2009 	A disgruntled customer	I have been staying at the Cantlie Hotel for several years but my last trip was made very unpleasant by the lack of professionalism of their managers. For security reasons I often use a Travelex VISA card which bears no name and is limited to the amount loaded on i.e. It is plastic money, not credit. Upon presentation of the card I was told the Hotel's policy was not to accept cards which do not show the bearer's name, that it was probably &quot;cloned&quot; and that the Hotel &quot;had been caught before&quot;; all of this while 50 other guests looked on. All the manager had to do was to call VISA for the bearer's name and to confirm my identity with secure photo IDs, of which I have several. I am in my sixties and was humiliated in public for no valid reason and do not intent to patronized this establishment in the future. Furthermore the service has deteriorated to the point where dishes in the suite's kitchen were not washed (just rinsed), the rubber bath mats suddenly disappeared (a safety concern), the Wireless internet connection was inoperative and the hotel management was arrogant and I regret to say, in this instance, incompetent.	
Jul 5 2009 	Bad customer service	Had to wait around 15 minutes before the employee gave us our key as he was going back and forth with us and the phone. What has really frustrated me is that the next day in the morning when I asked for a Montreal map I had to request it at least 3 times before he hand me over the map.	
Jul 1 2009 	Was our room still on renovation list?	Room 805 - The room was not great, everything in it looked adequate. The kitchen was poorly stocked, . There was one pan, the two forks they did provide were bent out of shape, there was no icebucket, no corkscrew... the whole thing looked ancient... When we did ask for an icebucket they gave us one that leaked. the bathroom was small with no fan. The water pressure was poor. You have to pay an $22 extra a night for parking. You have to pay to have internet access. They provide the use of two computers which are also ancient and very very slow. Like come on people get with the times. The pool area looked quite nice although did not use it. The dining area also looked nice. Would not stay there again...by the time we added up the price per night with taxes and service fees and with parking included. It was approximately $160 per night even though the price initially advertised was $116.	
Jun 29 2009 	Fantastic Stay	Hi after booking this hotel through (expedia) I thought i would read the reviews on this hotel, after reading a few bad reviews I deciced to cancel through Expedia ..big mistake. no refundfirst and last time i'll be using Expedia.kids needed the pool so what the hell. After arriving to the hotel , the kids and I found the room up to our standards , the small kitchette was older everything was spotless, the washroom didn't have a fan big deal. the service was quick, the staff was very friendly ,the air quality was a big plus .Honestly for staying in about 25 different hotels in Montreal . from 5 stars to 1 this for the price was the best so far. tip. call the hotel before booking through anybody alot cheaper...	
Jun 26 2009 	Great Location..... that's all I can say..	We stayed in a suite for 2 nights. The only positive is its location and that's all we found.Upon check-in, we were required to sign &quot;No Noise/Party Policy after 11PM&quot;, but the hotel has loud music blasting in its ground floor club until 2AM. All furnishings and fixtures are really old. You can find cracks and chips everywhere. There is no ventillation in the bathroom. The kitchen appliances are so old that we did not even wish to touch it. The matress is old and sunken in the middle. The carpet is old, unclean and feels filthy. We just could not feel comfortable knowing the hotel hasn't been updated for over 15 years. The suite has almost everything, but it's so old that you don't want to touch anything.The hotel does have parking and wireless internet (very weak signal) for additional charges.A separate elevator to the garage would only fit 4 people max without luggage. There are so many hotels in the same neighborhood for the price range. I would not recommend this to anyone.	
