	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Aug 29 2009 	Good Location Good Service	Hotel directly connects to Metro system via lift and underground walkway. It is only 2 metro stops from Chinatown, and 4 metro stops from Berri-Uqam. Only 3 blocks south of St Katherine shopping street. So you can easily walk there in less than 10 min. The hotel is a bit old with a very small swimming pool (not as big as it is shown on the website). However, its location is so nice that I will stay here again for my next trip to Montreal.	
Aug 28 2009 	Enjoyed our stay	We stayed at this hotel for four nights. Upon arrival, the room had a distinct perfumey smell, but we complained and the maid promptly switched to cleaners without fragrance. The rooms need renovation, but we got a decent price, so can't complain. The location is very good, and the service was very good, with very helpful maids, concierge, and front desk. You can buy tickets for some attractions at the concerge desk, which was super convenient and saved us waits in ticket lines. There is a Sarbucks in the lobby, but the better deal is down the hall from Starbucks at a small cafeteria where you can get two full breakfasts (eggs, breakfast meat, toast, hash browns, drink) for the price of two coffees and pastries at Starbucks. Every morning we checked with the Concierge about how to get to our sights for the day by metro, and she was always very helpful about telling us which lines to take and where to get off. No car is necessary to see most of the sights.	
Aug 22 2009 	Decent Option Good Staff	Stayed here on points as a layover on a long drive from Quebec City. Paid an upgrade fee for a junior suite on an upper floor which was well worth it.The location is very good if you want to be near Catherine, Peel, and Crescent Streets and the party scene. Not very convenient to Old Montreal and the immediate area is a bit seedy if you are staying with a young family.The hotel handles large crowds well, very fast elevators which is important for a high rise. I found the staff very friendly, competent, and efficient. Room service was also fast and friendly. As the other reviews pointed out, the rooms and lobby are a bit dated. Typical of a lot of city hotels, including smaller room size. Free wifi also a plus.Bottom line is you can probably do better in Montreal, but also much worse. Depending on the price you can get and your circumstances, it could be a good option.	
Aug 22 2009 	VERY disappointed	My husband and I stayed at the Marriott Chateau for the last two nights of our honeymoon. The first three nights we were at the W Montreal which surpassed all of our expectations. Our room was upgraded to a suite on the top floor overlooking the park and everything was top-notch. We're loyal to the Starwood brand (W, Sheraton, Westin) but wanted to be a bit closer to the center of the city which is why we chose to switch hotels. I will never make that mistake again.This is by far the worst Marriott I have ever stayed at. This hotel is very old and dated (think curved shower curtain rod and a very dated television). When you're spending $200+ a night for a room, I expect only the best--not a clogged bathtub drain that had you wading in ankle-high water and a mattress that had you howling in pain because of its stiffness. We were promised &quot;free&quot; wireless internet, but the connection was so poor that I was only able to log on for a few minutes at a time. And no upgrade for us. We never expect a room upgrade, but it would have been nice to have a room on one of the higher floors since this was such a special occassion for us.Beware of the coffee makers in the room. My husband left with two stained dress shirts as the lids to the disposable coffee cups aren't made to size and fall off. Ridiculous! As was the inoperable remote control. The battery must have been dead--you think they would check these things periodically to make sure everything is the best it can be for their guests.Along with all of this, the service here is fair at best. When we walked up to the front entrance with our bags no one approached us to help us in. The three bellmen simply stood there and talked amongst themselves. Wow, what a change from the W where we were constantly being helped or greeted. Maybe the Marriott should take a lesson in customer service from them! There are hundreds of hotels in Montreal that will better meet your needs. Unless the Marriott is paying you to stay here, beware!	
Aug 20 2009 	Great staff great location slightly dated decor	As many other reviewers have pointed out, the decor is old and the rooms are on the small side. But as I was traveling alone with my 2.5yr old daughter, that was good news to me. Did she spill pizza sauce on the duvet cover and rug? Yes. Did she then spill an entire shaker of salt on the pizza sauce stain? Yes. Did she spill hot chocolate on both those stains the next morning? Yes. Did any of this matter? No. It was a huge relief to me to know the stains would probably go away once the hotel did a remodel. She loved the pool, although I wished there was at least a small shallow end for my sanity's sake, and she loved pushing the elevator buttons. The fact that we could get on the Metro from the lobby was also a plus since it meant less walking through traffic. The concierge was incredibly nice and helpful in identifying age-appropriate activities for us, and the room service was delivered relatively quickly, and I received a follow-up call to make sure everything was as ordered. When I called the front desk to ask about a DVD player to connect to the room tv, he was polite and honest and apologized when he told me the rental price was more than what it would cost to buy a new one. (Note: bring your own portable DVD player). The only weak link was the housekeeping staff who took over an hour to bring an extra blanket, but that may have been that one staff member. Overall, a really enjoyable visit with a great staff and a great rate. I would absolutely stay here again, and recommend to anyone except honeymooners.	
Aug 17 2009 	OK - expected much more	My husband and I just returned from a 5 night stay at the Marriott Chateau Champlain. We were both in Montreal on business, and are both frequent travellers and frequently stay at Marriotts. And, we were both expecting a lot more from the full-service Marriott in Montreal.Pros:-- full service, has Starbucks in lobby-- near the Bell Centre, 10 minutes walk from Rue Sainte-Catherine and 20 minutes walk from Rue Crescent-- we had a room with a view of the park across the street-- friendly concierge-- free Wifi-- decent size gym and small but nice indoor poolCons:-- dated room, on the small side (poor lighting in bathroom)-- about a 20 minute walk from Old Montreal, where we ate most meals-- Wifi was flaky at timesAs I wrote out the list of pros, I can see that my full impression of the hotel was dominated by the outdated decor of the room. Given the many other fancy, boutique hotels in Montreal (we stayed at the Hotel Nelligan on our previous visit), I think that the Marriott needs to catch up. I might try the Courtyard next time if I want to stick with a Marriott property.	
Aug 14 2009 	Excellent location with a friendly and helpful staff.	This hotel is in a terrific location in downtown Montreal. The metro and undergound shopping are accessible directly beneath the hotel. Many terrific sites are withing easy walking distance of the front door. My daughter had an urge to see a movie and a 22 theater cinema is located 3 short blocks away. The hotel is showing its age but it is well maintained and the friendly and helpful staff rendered this fact moot. My frequent business travel takes me to Marriott hotels in many locations and this staff is among the best I have experienced. It also provides one of the few full service Marriott's I have encountered with free internet access and includes a well run concierge lounge. I will definitely stay here again on my next trip to Montreal.	
Aug 11 2009 	Nice Stay Good Location Downtown Helpful and Kind Staff	Our 2 day stay was great. Very helpful in getting you around town and Old Montreal. Metro system underneath hotel. Underground city underneath hotel. Room was clean and nicely decorated. Clean bathroom. Great valet service. Would definitely stay here again.	
Aug 11 2009 	Great hotel in the heart of the city	If the price is right, you can't beat this hotel. I've noticed the pricing of this place varies wildly, sometimes you can get a better deal at a nicer hotel, but more often than not this hotel offers the best bang for your buck. First off, the location is phenominal. Right on top of the metro, easy walk to St. Catherine/Sherbrooke streets, easy walk to the nightlife on Crescent (go listen to my friends Solstice play at Hurleys!), and Old Montreal/Lower Plateau is even walkable on a nice day (or a quick ride on the metro). Rooms are very nice, a few things are a tad dated but are well kept and very clean. Beds are very comfortable. Staff has always been nice, especially the concierge.	
Aug 3 2009 	There is nothing wrong with this hotel	after reading some of the reviews of this hotel, i was a bit hesitant to stay there. just goes to prove that you can't satisfy everyone. there is nothing wrong with this hotel! we have travelled quite a bit and like to stay in the nicest place we can afford. at $129 through travelzoo, this hotel was well worth the money. we had a wonderful view from our 31st floor room, comfy king size bed, and had no problem with any noise. we did not try the restaurant, but although a bit pricey for our budget, the menu looked fantastic. i have no idea why anyone would say the lobby looked &quot;tired&quot;?? it was immaculate, staff very friendly and helpful also. we would not hesitate to stay there again as long as we got another great deal like we did. another major plus: the metro runs directly under this hotel, making getting around super easy. especially nice on rainy days.	
Aug 1 2009 	Aging good value convenient	This hotel is showing its age and a bit of recession cost-cutting. We had two stays with durations of 1 day and 3 days. We preferred to stay downtown with a short walk to the old town. Rooms were dated, furniture scratched, non-working &quot;free&quot; internet, noisy doors that slam shut, cracked sink. Main big plus of this hotel is the Bonaventure Metro access directly from the lobby, and a short underground walk to the train station and underground Montreal. Plus the prices were a bit below hotels in this class and convenience.Service was excellent in the concierge lounge, where we enjoyed good cont. breakfasts - ample and varied (fruit, meats, cheese, lox etc). The hotel staff is apparently well aware of the poor/non-existent wireless internet connection. They had excuses aplenty, and it may be why the internet service is free in this Marriott. Then I found out that some rooms have ethernet/T1 connections, which worked fine after we changed locations. Be sure to request one of these rooms if you need a web connection. Withoutthe internet hassle, I would rank the service as a 4. No nearby restaurants of note, but a short metro ride to the Sherbrooke Station will take you to two our favs - L'Express and Pied de Cochon.Biking in Montreal is an urban marvel and is the best way to learn the city's layout. For all the bikers or beginners, get yourself down to Ça Roule Montréal in the Old Port, 27 de la Commune East. Plenty of flat and hilly options from there.	
Jul 30 2009 	Great view...but outdated	This hotel was built for EXPO67 (so says the plaque out front). It looks as though they have tried to update the common areas, but havent given much thought to updating the rooms. Wouldnt have stayed here had we not got a great deal with Travelzoo (150CAD/night inc. all taxes/fees). Room was otherwise spacious and clean.Front desk was friendly - found the bellmen too pushy though (as soon as we pulled up, they took our bags out of trunk - no option to just park ourselves in front of hotel, and check in). Very close to the hussle and bussle of downtown, but not loud.	
Jul 21 2009 	Outdated needs remodeling	For what I paid to stay here, I was very disappointed. The rooms are very outdated and a major renovation to the rooms are needed here.We had a man try to get into our room at 2:30 in the morning. When we called the front desk, they told us he does this every weekend and gets confused where his room is.Ate the buffet breakfast in the hotel restaurant and it was very good.	
Jul 19 2009 	Good hotel in central location	Good attentive check in. Room was fine, spacious and very clean. Bathroom just a little tired, but otherwise good. Service was good and the staff I met all smiled were attentive. Good value and I would recommend the location.	
Jul 18 2009 	Excellent Location Great Service	Before our arrival, I emailed the hotel to confirm our reservations and request our rooms [4 rooms with 15 family members all together] to be close to each other and Herve Lecault [of Reservations] took care of that .We were happy that our rooms were almost next to each other. We wanted a Quebec City tour arranged, emailed the Concierge few days before our arrival and Pierrette Page [Concierge] took care of that. People at the front desk, Bell Boys, etc...were very helpful.Location of the hotel is walking distance to everything. Few blocks from St. Catherine Street [major shopping, restaurants areas], 20-30 min. walk to Old Montreal, Notre Dame Basilica and Chinatown. Access to Underground City and the Metro is right behind the Concierge desk. They have a decent swimming pool and fitness center. The rooms were clean and had great beds/linens.We're very happy that we took the 12-hr Quebec City tour. It was well worth the $70 [per person] that we paid. It was about 3 hr bus ride each way from Montreal. Quebec City was just so pretty and very rich in culture. It's a must see. Old Montreal is another one that you don't want to miss. I recommend that you take a Montreal City tour on your first day so you can pick the places you need to go back to on the following days during your stay.Eating out in Montreal is expensive and unlike Toronto, they only take Canadian $. Don't exchange your money at the airport, go to Old Montreal or Downtown Montreal to get a good deal. Regarding restaurants: Guido &amp; Angelina [Italian] had decent food so as 3 Brasseurs in Old Montreal BUT Alexandre [French] on Peel Street is one restaurant to AVOID-food was mediocre, expensive and service was very slow.For souvenir shopping, there's plenty of shops in Old Montreal area, especially the ones close to Notre Dame Basilica. You can even find Quebec City items from this places.We had a great time and we plan to go back...	
Jul 17 2009 	Great Time	I went with a group of 6. We had a great time. The Concierge was very helpful and printed out maps when we asked how to get to a certain place. We had breakfast in the restaurant but never tried the nicer restaurant. It is very conveniently located and we never ran out of things to do. Be sure and visit Quebec City while you are there. It is even more beautiful than Montreal. We went by train and paid $134.00 per person. That seemed a little steep and there might be a less expensive way to go. It was a three hour trip and very well worth it! The shopping in Quebec was extraordinary! I can't say anything negative about the hotel. It was all very nice. The people were friendly and I would not hesitate to go back. We were on the 16th floor and had a really neat view of some other pretty buildings in the area. Out friend had an awesome view of the St. Lawrence River. Take a double decker bus tour....relatively cheap and very interesting.	
Jul 11 2009 	Old	As soon as you get in to the lobby you will start thinking &quot;why did I pick this hotel.&quot; The hotel needs a lot of remodeling. The carpet in the hallways and rooms is dirty, the desk chairs inside my room were shinny from the dirt and the bathroom looked like it hadn't been renovated in at least 30 years. The TV inside my room was older than me and it only had a few channels. The same goes with the sheets from the bed, they had holes from over washing and over use. Breakfast is super expensive and believe is not worth it. The only highlight from the hotel is its location, other than that for its price its not worth it. Try the Hilton or the InterContinental they are better choices.	
Jul 8 2009 	Not the service I expected!	So I stayed in this hotel on the 4th of July weekend 2009, with my fiancé and another couple. When I checked in they told us they had no double bed rooms available so we had to stay in a one bed room and had to ask for a cot. When we walked into the room someone else's things were already there, so I called to change rooms which they did quickly. The second room's bathtub was clogged because the water wouldn't go down the drain. We switched to a double room for the second night. The day we were leaving I had called to ask for the car which we parked Valet, we waited outside for 45 minutes and when we finally asked the valet clerk where our car was, they told us that they &quot;never received the call&quot;, there was obvious lack of communication between the operator and the valet clerk (also between housekeeping and the front desk because of the room that was given to us which was already booked). The location of this hotel is great though, we were able to leave our car parked and walked everywhere or took the metro. I was excited to stay at this hotel but was disappointed, so it isn't likely that I stay here again. I am sorry but I did not take any pictures of the hotel.	
Jul 7 2009 	Nice Marriott - good access to Montreal	We just returned from a great trip to Canada. Five of the eight nights we were there were in Montreal at this Marriott. We were upgraded to the 31st floor with a spectacular lofty view of the city (my Wife stays at lots of Marriotts) This is a very busy Marriott, and as another reviewer recently noted - they host high school functions, which can make it even busier. Access to downtown Montreal is great from this Marriott - there is a Metro station directly underneath it, and you can get into the &quot;underground&quot; through the Metro station. In fact, for those travellers who really want to know how to get back to the Marriott through the underground , I'd recommend starting from the Marriott instead of trying to find your way back to it from somewhere else in the city ! We had both great and so-so service from the staff at this hotel. While the concierges are generally friendly (and bilingual) , we did encounter one with &quot;L'attitude&quot;. She seemed to be just too busy to help. On the flip side, we had a server in the restaurant one morning who was fantastic. We were in Montreal for Canada Day (July 1st) and enjoyed the wonderful Canadian festivities, including a great parade. Most of the Montreal locals we met were super friendly. While there we saw the gargantuan botanical gardens and insectarium - both of which were fun and interesting. We also brought our rollerblades as we heard about good biking/rollerblading in the city. We went out to I'sle Notre Dame to the formula one track via twice during our visit for rollerblading. The first time we skated from the waterfront along the LaChine Canal trail - this was a mistake as the trail is rather hazardous on blades (it would be fine on a bike). The pavement is uneven in some section and the bridges are downright dangerous. We found that taking the Metro to/from the island was the way to go. You can board right under the Marriott on the Orange line, switch to the yellow line and it's the next stop. About a 30 minute ride including switching trains. Rollerblading on the track was a unique experience - you've just got to be careful of the bikers who are blazing past. The Montreal Casino is on this island too - probably the cleanest Casino I've ever seen , both inside and outside. I don't think smoking is permitted. The gardens on the outside of the Casino are immaculate. We also went to the Montreal Jazz Festival during our vist which runs the first two weeks in July. Saw Jamie Cullum and Chris Botti at La Place des Arts. Both concerts were great. The free concerts were fine too - although be prepared to stand. Just an FYI - the Place des Arts is accessible via the Metro and through the underground if the weather isn't good.We ate at several restaurants during our stay. The 3 Brassileurs (?) restaurants around town are a dependable lunch spot as are the many cafes in the old city. We also ate one night at La Montee (de Lait) which was much more expensive than I ever imagined for such little food. The presentation was elegant and it was probably one of the trendiest restuarants we've ever visited. In general be prepared to spend $60 - $80 USD on an inexpensive meal at any restaurant in town, and $120 - $200 (and up) at some of the really swank places.This Marriott is an older Marriott than most, and it seems to be very, very busy in the summer.	
Jul 3 2009 	Ordinary	I'm reading all the enthusiastic reviews and am wondering if we're talking about the same hotel.. This hotel is ok, I had no major issue, but I would probably not stay there again.  First of all if you stay there during May-June-July be aware that the hotel hosts high-school graduation parties. These are very, very loud. The vibration from the music was too much to be able to sleep, you had to wait for the party to be over. Fortunately not every night was like that. Rooms are quite smaller than at most other hotels. It's a bit hard to explain but the room layout is a bit particular. There is a small area between the bathroom and the bedroom with a miror and a space to store your suitcases. While this is nice it has eaten up valuable room space. Water stains on the ceiling -- no big deal. Ridiculously priced parking. Other than that not bad. Good location. Nice view. Comfortable bed. Very pleased with the staff also.	
Jun 22 2009 	not bad...	Decent overall.Pros: the view, location, bed, valuecons: some items in the room are old and need an upgrade: showerhead, TV, etc. to their credit, when we called the front desk to ask for service on these, they responded quickly and well.	
May 27 2009 	Very good but not four stars	I've stayed over memorial day weekend with friends. Pros:Location - you are close to St. Catherine and the old twonMetro Stop right under the hotelFree WifiView from the Room - especially on the higher floorService - no problems, excellentValueVery quiet at nightCons:Generic feel (like most other hotel chains)One of clean towels had &quot;burn marks&quot; if you know what I mean, but ok it could happen to anyoneRooms a bit smaller than usualToo many kids around the poolThe hotel does have a bit of the generic 3* hotel feel. It is not bad, just nothing special, and very little character. To be quiet honest, I've stayed in the Courtyard Marriott in Montreal too and this is very similar to it in terms of luxury. The only reason I've booked this is to dodge the drunk college kids, but instead got stuck with families with little children playing at the pool and senior citizens.I can recommend this hotel, but next time will probably look for boutique hotel. Free Wifi was nice, but parking was $24 (valet) and $18/night garage.	
May 25 2009 	Excellent location	We recently stayed at this hotel for three nights, over the memorial day weekend. We got a good rate using our AAA discount on the Marriott web site. The large window overlooking the city was fantastic and gave the room a larger feel; of course having a high floor did help.We certainly liked the fact that finally some hotel has decided to include internet access as part of the room rate. The hotel has a decent size pool, which our kids enjoyed, with available floats and warm water temperature. There is also a nice workout room and a hot tub.This hotel is very close to St Catherine street and a number of excellent restaurants ( we tried ShoDan and Le Taj). The central station and metro are also right there, in fact the metro is underneath the hotel.The staff is extremely pleasant and this hotel has the fastest service I have ever had. We called for some things from the room service and from house-keeping and they were there pronto.Overall, an excellent stay, close to attractions and well worth the money.	
May 1 2009 	Excellent stay!	I'm giving this hotel 5 stars because I don't have anything negative to say about it!We stayed on the 16th floor and had a room with 2 double beds. We weren't in the room all that much but it was big enough for 4 girls, their luggage, and shopping bags! I thought it was nice that there were 3 chairs in the room - 1 at the desk and 2 at a small table. Often there's only 1 chair, or none at all. The beds were extremely comfortable. The best part was the &quot;dressing room&quot; outside of the bathroom. There's a full length mirror, closet, and drawers and you can shut a slatted door to close this area off from the rest of the bedroom.The staff was very friendly and helpful. We had an excellent bellman (I think his name was Patrice) who gave us great shopping advice. We had the buffet breakfast both mornings and the staff there was also friendly.Having the Metro station underneath the hotel is also very convenient. Parking was a bit pricey ($18/night) but to be expected in downtown Montreal. We were only a few blocks from St. Catherine and Crescent street which was nice.Overall I was very happy with this hotel and would stay there again. I'll point out that our room and breakfasts were free so I can't comment on value for money since we didn't have to pay for anything. That being said, I would pay to stay here based on the service we received.	
Apr 27 2009 	Nice hotel best location near the Bell Centre	Last February I went to Montréal to attend one of Céline Dion's show in the Taking Changes World tour. I've always wanted to go to Canada and this seemed a nice way to spend a couple of days in this lovely country. A couple of weeks before my traveldate I noticed some very decent fares through a Belgian travelagency (Connections). With flights less then 400 EUR return I couldn't let this slip. The same agency had also a decent load of hotels in Montréal and after some reading I actually ended up booking the Marriot Chateau Champlain. This hotel is located across the Bell Centre and can be reached through a underground passage directly from the Hotel.The staff of the hotel was very friendly although I first thought they tried to rip me of. When I checked in I was asked for a security deposit, we agreed onto a deposit of 200 CAD which is quite reasonable for me. I had booked the cheapest rate I could find, less then 80 EUR per night for this 4 star hotel. At the desk I asked if there was a room available with a view (knowing that I was originally located on one of the first floors above ground). I ended up on the 31st floor with a very nice view of Montréal (to bad the weather wasn't to nice). After a while I found out that the minibar was locked. Back at the counter they asked for another security deposit to use the key... Another 100 CAD and the key was given to me...During the next couple of days I had a very pleasant stay at this hotel. The rooms were very clean, the bed was very nice and I realy slept very well (wich I normally can't do in strange beds). The sheets were also very clean and were not showing any wear. The only problem was some form of static electricity in some of the pillows, don't know how it came but some of the pillows where loaded with static electrity creating &quot;nice&quot; tiny blue sparks in the night. The room itself was more then spacious enough and had a nice desk wich I used to work with my laptop. Free internet was also provided and had a decent speed.The badroom was rather small but also very clean. Yes, it is showing it's age but as long if everything is clean and decent maintained I really don't bother that the shower sheet is a sheet somewhere from the past decade... Water was hot and had a decent pressure (sometimes a problem on higher rooms).Also the restaurants had nice food. Not to cheap but it was definately worth the money.To end this review I definately would stay again at the Marriot Chateau Champlain when visiting Montréal in the next years. It was a very pleasant stay...	
Apr 26 2009 	A good place to stay if the Habs are playing	We stayed here for four nights (in fact, I am writing this from our room). It is located at a pretty good location. The hotel is at the bottom of Rue Peel and you have to go up (not too steep) it, for many sites and food. Still, there are also many things going on to the east that are a relatively easy walk.The lobby is a relaxing place to sit. The free wireless internet lets you work on your computer and enjoy the hustle and bustle (while drinking your favourite Starbucks beverage, from down the hall). The staff were very good and friendly. On weekdays, there are several small restaurants in the hotel but some are closed (early) on the weekend. The rooms are well appointment but a little dated. The internet in our room was slow but after filling in the online comment form, I got a quick response (from the system’s administrator and the internet). There didn’t seem to be an RJ45 jack to plug into. So, if you don’t have a wireless equipped computer, you might want to check into this. TV has limited channels and very limited English ones. The remote worked but not very well. They did have all the channels listed (plus some that didn’t work).Bathroom shower was great but it got stuck on hot, the first day. Maintenance came up and explained the problem and how to avoid it reoccurring. I think that they need to just change the plumbing fixtures. I noticed that the ceiling is starting to peel away. They may want to address this as well. The noise from the hall (doors closing) can be very disturbing.Overall, a pleasant stay in Montreal.	
Mar 28 2009 	Nice Hotel	This is a very, very nice hotel.The people were great. The rooms were very nice. The architecture of this building is cool, in a mid-century modern way. The Concierge Lounge was nice, save the fact that like all Marriott properties it appears the lounge offerings have been dialed down because of the economy.My favorite part: the hotel is located above a subway station. Not that you heard noise, but it was easy to jump on the elevator and get on the train without having to go outside. Montreal has a subway system that is as good as the Paris system and better than NYC's. Getting around the city from this hotel is so, so easy. The view from the room was very nice. The windows curve outward, so you get more view that you would ordinarily get. You can see a full 180 degrees. The bathroom, TV and electronics have been recently updated. Unlike most Marriott's, this hotel has free Internet access. (All Marriotts should have free access.) The bed and bedding is top notch. The workout area is a step up from the usual. All in all, I recommend this hotel.	
Mar 2 2009 	Great customer service...	Great location and value for your money. And the service was very good. My room wasn't cleaned when I checked in, which wasn't a big deal as I was just dropping off my bags to head to a meeting. I let the front desk know and forgot about it. When I returned later that evening, the manager had sent a complimentary cheese tray along with a small bottle of Port, by way of apology. This wasn't expected...and I was very impressed. Kudos to the staff.	
Jan 27 2009 	Great rate great room	We loved this hotel. The accomodations were above average. The bed was very comfortable and the room was relaxing. The best part was the view! Request a high floor. We were on the 21st floor and I took a photo from the room out towards the square each night, as the light changed. I have about 20 of them. Another great thing, was the train, Metro, comes right into the ground floor of the hotel. Each day we would plan our trip, and head downstairs, and go to our destination. The people who worked at the train were very helpful. We saved tons of money this way and were able to get everywhere in the city that we wanted t go. The front desk and conceierge were as well, they had many good ideas on what to do.Skip the bar of you want to eat. A plate of nachos and two drink costs about $40! The best thing about Montreal is the food, and there are so many restaurants, you should get one dish to split at one so you can go to another and taste something else. There are many restaurants and pubs in walking distance.	
