	Excellent Marriott Residence Inn Experience	Fantastic location in downtown Montreal with quick access to all points of interest...culture, shopping, and restaurants. We recommend it highly for anyone interested in visiting Montreal.	
Oct 25 2009 	Excellent Location 	I stayed here for 2 weeks while in town for the Grand Prix a couple years ago and found the location to be excellent. At the end of my trip, I was very happy to have choosen this location. If that is what you are looking for, you won't be disappointed. The rooms were fine although there was some issue with the cleaniness. Even after calling and requesting the sheets to be cleaned daily, they were not. Some days the room was not cleaned after we were out all day and came back around 3pm or 4pm. Other than the the customer service was good. The breakfast was average. The outdoor roof top deck is where we spent our time in the hotel apart from sleeping, it is a great extra most hotel can't offer and has a great view. You aren't allowed drinks on the deck, but were able to bring drinks up for a couple hours anyway.	
Oct 22 2009 	Not up to Marriott Residence Inn standards	I am puzzled by the positive reviews of other users, since my own experience was not that great. Based on truly great stays at Marriott Residence Inns in the Seattle area, I chose this brand for my 4 nights in Montreal. However, the building is simply too old and worn to justify being part of the generally good Marriott brand. The kitchenette has old and VERY noisy appliances. The windows are very small, so the rooms are dark. All windows have been blocked shut (by order of the fire marshall), and with only heating and no air con, there is no way to get fresh air in the room. A massive walk-in closet should have given way to the bathroom, which was microscopic. Breakfast was bland and boring - I actually went across the street to have breakfast at a great French-style café instead. The indeed friendly hotel staff failed to deliver on their promises (small things like information on game tickets, correct name on my invoice, etc) which was no big deal but doesn't earn them any points either. On the upside the free wireless internet worked flawlessly, and it was truly great to check in to my room and find my requested groceries waiting for me in the fridge. Thanks for that. Overall, I do find that the downsides outweight the upsides, and for my next trip in town I would choose the Marriott hotel down the road near the hockey stadium.	
Oct 20 2009 	An okay place to stay in a good location.	This is my second stay at this hotel. It is well located downtown and near McGill University. The rooms are functional with a kitchenette. The bathroom is useless. Too small and with very poor lighting. No separate mirror area. The lighting is generally weak. The temperature is hard to control but heat and air conditioning work very well. Some street noise. Staff was very helpful and knowledgeable. Printed bill was in french only a minor annoyance. Parking off site at 24 per day.	
Oct 19 2009 	Marriott Downtown Montreal	GREAT motel - excellent location - we were so glad this is the spot we picked to stay when staying in downtown Montreal.	
Oct 15 2009 	Great stay	It's a nice place to stay in Montreal. Everything is in a walking distance and the rooftop view is fabulous.	
Oct 9 2009 	This is an excellent choice hotel for a visitor to Montreal.	We really enjoyed our stay at this hotel. It was conveniently located so we could walk every where. The rooms were clean and the kitchens were nice to have. The free breakfast was outstanding. I'd recommend this hotel.	
Oct 5 2009 	It felt like being home!	I have been traveling to Montreal for a work assignment since February 2009. The staff here at the Residence Inn on Peel Street have been absolutely fabulous...they make my time here feel like home! There was an unfortunate accident at the hotel during my last stay and we were unable to use the front entrance. They went out of there way to provide special security at the rear entrance, so that we would continue to feel safe. This was muchly appreciated! My assignment is set to continue through June of 2010, and I plan to continue to stay at this location.	
Sep 22 2009 	Perfect Hotel Perfect Staff Perfect Location	We just recently returned home from a stay in Montreal at the Marriott Residence Inn Downtown on Peel Street September 18th - 21st, 2009. I really was impressed with the hotel and staff. We arrived in Montreal a little after 1pm in the afternoon on Friday September 18th. It was before the check-in time of 3pm but within minutes we were on the elevator up to our room. Check in was quick and easy (just a couple of minutes) and the staff that greeted us were friendly and attentive. Our room on the 7th floor was spacious and immaculately clean. 2 beds, table and chairs, a sitting area with sofa, TV, and coffee table, and also a kitchen area with stove, microwave, refrigerator/freezer, and sink. The bathroom was your standard hotel bathroom with full size tub and shower. Everything was clean and in good working order. We thought that the breakfast buffet was great. As far as free breakfast buffets go, this one was excellent: eggs, waffles, toast, muffins, cereals, fruit, juice, coffee, tea, and also pancakes one of the days we were there. Everything was fresh and warm and there was plenty to go around. The wireless internet access was quick and easy to use as well and you are provided with a username and password in your room to access to wireless internet service. The location of the hotel is perfect. About a 1 minute walk to the Peel Metro Station and less than 5 minutes from St. Catherine Street. Centre Eaton is less than 5 minutes away and Crescent Street is a little less than a 10 minute walk. McGill University is just a couple of minutes walk up Peel Street and the pathways/steps that lead up to the observation platform at Mont Royal Park are under a 10 minute walk from the hotel. The staff was about as close to perfect as you could get in my opinion. They were very helpful and responded quickly and pleasantly to any questions we had. They always greeted us everytime we walked by the front desk and also were able to help us to decide on some activities to do while we were there and assist with making reservations for some tours.On the first day we were there we had to enter and exit through the backdoor of the hotel due to some work that was taking place out front but this was not a problem as the area in back of the hotel was well lit and there was a security guard outside the door. By the middle of the second day the front entrance had re-opened. Elevators were quick (there were 3 of them) and we never waited more than a minute or two to get on one of them.I noticed that some people have complained about noise in the hotel or out on the street in front but we did not experience any of that while we were there. Some other reviews said that there was a noisy club out in front of the hotel but that is not true. There are a couple of restaurants and what looked like a health club surrounding the hotel. Our stay was over a weekend and we never experienced any trouble with excessive noise and had no trouble getting to sleep each night. There are some other great services at the hotel that we did not take advantage of but I will mention them as they may be useful to any travelers who may be considering a stay at this hotel. The hotel has a great service where they will go shopping for you. It seemed pretty simple and there is no added cost besides the actual cost of the items that you have them pick up for you. You can drop off a list at the front desk when you leave in the morning and then your items will be ready for you to pick up when you return later in the day. The cost of the items is billed to your room. There is also a service that is similar to room service. There is quite a large list of restaurants and other food establishments that are part of a service where you can call and have food delivered to your room. There are all types of restaurants and even some ice cream shops on the list as well. There is a small but reasonable fee of $3 or $4 to use the service in addition to the cost of your food and a tip. Indoor parking is available but I cannot comment on the parking as we did not use it on this visit.All in all we had a great visit and will not hesitate to return to the Marriott Residence Inn Downtown on our future visits to Montreal. Special thanks to the hotel staff for making our stay a pleasant experience.	
Sep 18 2009 	Great location comfortable hotel	We stayed here for four nights and would not hesitate to stay here again.Pros:- The location is right in the heart of downtown and can't be beat. The Metro (Peel Station) is right around the corner (TIP: 3 day tourist transit pass came in handy). Just a few blocks away is tons of shopping - in malls and Rue Sainte Catherine. We took the VIA Rail train into the city and the station is only a 13 min. walk. Musee des Beux Arts is walking distance. The Tourist Info Centre is 2 blocks away (TIP: go here first!).- Free breakfast every morning was plentiful. You can make your own waffles. There's cereals, sausages, eggs, etc.- Staff is very friendly. Especially the breakfast staff - always cheerful.- Free (but slow) internet in all rooms.- Free business centre with internet and printer.- Mini kitchens are well equipped.- Bathrooms are well ventilated with a fan.Cons:- The hotel is under renovations therefore access to the hotel is via the back alley. We always went onto Rue Metcalfe and cut through the parking lot.- Rooms can be noisy. Air conditioning unit is window mounted so street noise can come through into the room. Renovation noise can be a problem in the morning. There is no separation of the bed from the kitchen, so the fridge can be very noisy. TIP: Turn off ice maker in freezer otherwise the crash of ice at night will wake you.	
Sep 5 2009 	Very friendly good location rooms can be a bit noisy	Went to Canada from UK to watch Nascar and picked the hotel from an expedia recommendation. The room was spacious and clean but bear in mind that the rooms also have cooking and facilities hence you will be sharing your room with (in our case) a very noisy fridge. A/C is also noisy but no more than anywhere else. During the time of our stay the front of the hotel was being renovated hence we had to use the rear entrance however this was easy to reach, was well lit and secured at all times.The Hotel is central to all shopping facilities and sits on top of the Peel metro station so getting out and about couldn't be easier.Breakfast was fine (if not a little repetitive) and I've never seen eggs done like that before but was great to fill up with before heading out for the day. Themed nights with chilli and BBQ were also satisfactory. We did see the strange woman that wanders about but she appears quite harmless. The seating area on the roof was closed indefinitely which was a bit of a disappointment as if we needed to sit outside and read then we had to go round the corner to McGill Uni. Make sure you walk right up Peel street to the top of Mount Royal. Very steep, loads of steps but a great view from the top.	
Aug 28 2009 	Great Hotel in the Heart of Montreal	Went to Montreal to see the hockey game between Ottawa and Montreal and was not surprized by how nice the hotel was was well maintained a great price and the staff was of great help. Would highly recomend to any one wanting to go to the city for the weekend at a great place to stay and discouver the heart of a great city.	
Aug 26 2009 	Very clean and comfortable great staff and service	Stayed at this property while on vacation with my family. Our overall experience was very positive all around: this is a very clean property that is well appointed and that is run by a staff that is friendly and always seems happy to assist with anything from resolving issues to recommending local restaurants (which were 100% spot-on for us).Only challenge we had was accessing the property and parking. Peel St was closed off to traffic while we were there, which meant that we needed to access the hotel from a back alley that my teenagers described as &quot;sketchy.&quot; If I were to return to Montreal on business or with the family, I would definitely choose this property.	
Aug 21 2009 	Great Place to Stay in Downtown Montreal	First, the location of this hotel is perfect to fully enjoy downtown Montreal. You are a 1 minute walk to the subway, St Catherines, Crescent St (eating hub) and tonnes of shops and malls. The front desk staff are helpful and friendly, especially Dwayne, we loved him. It was our honeymoon and we were sent a gift basket and card from Dwayne himself. The rooms are nothing fancy but very comfortable. The only small complaint that I had was the bathroom was quite small, but the positives far outweighed the bathroom. The free breakfast was also nice, it saved us from having to get up and find a place to eat. The parking is valet, 20$ a day, which is reasonable in downtown montreal. The fitness room is very small with little equipment but there are 2 treadmills, an elliptical and free weights which worked for me. This is a wonderful hotel in with an amazing location!	
Aug 18 2009 	The Best Front Staff in the Industry	We stayed at the Residence Inn on Peel STreet for 5 nights as we were trying to enjoy Montreal in addition to a family wedding. The hotel itself needs some serious updating but I want to post this review to encourage anyone traveling who appreciates a front desk staff who is positive, intelligent, interested, makes common sense recommendations will want to stay at this hotel. Sorry we couldn't give it a higher rating but if you are a traveler for the first time to Montreal you'll want to stay at this hotel exclusively for the help a broad range of front-desk staff provides. I shouldn't omit the cheerful attitude that the cleaning staff had towards the clients and the rooms. Somebody in management must know what they are doing.	
Jul 26 2009 	Wonderful experience at Residence Inn Marriott-Montreal	This hotel had very comfortable and spacious rooms that were extremely clean. The breakfast had many choices and was included in the room rate. Since we were visiting from the US and our French was very weak, we were helped often by the front desk personnel who went out of their way to make sure we knew where we were going and what was available to see/tour in the area. I would definitely stay at this hotel again if visiting Montreal.	
Jul 20 2009 	This was a really comfortable and well managed hotel	From the moment we arrived and were greeted at the front desk with enthusiasm and tourist advice by receptionist Julie, to our opening the door of our comfortable and well decorated room with gigantic walk in closet (wish we had this at home!), and finally to our delicious breakfasts in the large breakfast room, we experienced a hotel which was obviously well run and guest oriented making our stay in Montreal for the Jazz Fesitval all the more memorable. The staff at both the front desk and in the breakfast room were most professional and at the same time friendly and welcoming. We couldn't have picked a better hotel and we hope to return. It was amazing to find a hotel where everyhting actually worked! We couldn't have picked a better hotel and we hope to return someday.	
Jul 19 2009 	Perfect.	The staff is amazingly friendly, well trained, and know their city! The room was spacious, with a full kitchen and all that comes with it! The beds were very confortable and liked that you could actually open the windows! The hotel is located walking distance to great nightlife and more shopping one can handle. I love Montreal for its food and hundreds of good restaurants. Hot buffet breakfast is included and you find a bit of everything from fruits to make-your-own-waffle station, yogourts, saussages, eggs, patatoes, etc. I would recommand this hotel to anyone looking for a great time in Montreal. It's definitly the place to be! Thank you for everything.	
Jul 16 2009 	Marriott always is a good bet !	Good location in center city. easy access via bus to Old City. Rooms were clean and nicely laid out. Staff was exceptional with great recommendations. We loved the hotel. we were less thrilled with Montreal itself. Not a very friendly city. Rip off for tourists. Meals excessive in price and not a good value. I don't mind spending money for a good value. This city should have had all the warmth that we found in old Quebec City and it did not !	
Jul 11 2009 	A very pleasant experience	Nice large room with full kitchen; good complimentary breakfast; excellent location; reasonable rates.	
Jul 9 2009 	Nice functional hotel for a business traveler	I chose this hotel because I trust the Residence Inn brand and it was a short walk from there to the office I was visiting. I was pleased with everything about the hotel. It's nothing fancy, but I was more interested in keeping my expenses down than in having a luxurious place to stay, and I wasn't disappointed.	
Jul 2 2009 	Nice Location and Staff but noisy and slow elevators	Stayed here 3 weeks for a business trip. Overall, loved the location and very accommodating staff. Standard breakfast with manager's receptions (evening snacks) - Tuesday- Thursday. Cons: Only 3 elevators in hotel, always took me 1-3 minutes to get one. Loud, especially Thursdays there is a bar across the street that plays thumping music until late. Woken on more than one occasion by loud partygoers in the hallway usually at 2-4am in the morning. Parking not in hotel and the internet was slow on my laptop. Had issue with a/c units from upstairs dripping slowly onto my unit which was disruptive.	
Jul 2 2009 	A decent place with a decent price	This is an okay hotel in a good location. The room has good space and respectable amenities for its price. However, the decor is old and the room (particularly the in-room fridge and air conditioner/heater) are noisy at night making it hard to sleep. The breakfast room is nice with standard Marriott Residence Inn fare and the front desk staff was pleasant. At the time this was written the hotel provided free wireless. This hotel seems appropriate for those on a budget or traveling as families.	
Jun 22 2009 	Exemplary Service and attention to detail.	I was a guest at this hotel for four weeks and I would strongly recommend it as a place to stay for extended visits to Montreal. The location is ideal for shopping, entertainment and dining, as it is only a few blocks from the famous St. Catherine's St. During my stay, the staff ensured that all my needs were met in a timely manner with minimal disturbance to me. The staff ensured that I was undisturbed during my 'call' days, and I enjoyed a peaceful rest. The housekeeping staff were outstanding. Always courteous and my room was maintained at a very high standard. Overall, I would rate this hotel as outstanding and would highly recommend it to fellow travellers.	
Jun 20 2009 	Right at Home	I felt right at home at the Marriott Residence Inn. My room was spacious, comfortable and exceptionally clean. There was wireless internet throughout the hotel so I could even sit in the lounge with a coffee and check my emails. My favorite thing was the breakfast buffet which had a great selection of items and it was always fresh. The staff was really friendly and helpful. The hotel was so close to everything....the Metro, shopping, and restaurants. I will definately be staying at the Marriott Residence next time I'm in Montreal.	
Jun 13 2009 	Great People Great Location	The staff was one of the best we have delt with (including Europe, U.S. &amp; Canada). They gave great directions to local attractions, suggested and made dinner reservations, arranged for a private car and driver for touring. Very clean rooms and public area's. Nice breakfast.	
May 30 2009 	Helpful Staff and Excellent Environment Valet service can be better.	We stayed for 2 nights and the experience is overall very impressive. The hotel sits in the middle of downtown and close to metro/subway stations. The room themselves are comfortable and the breakfast gives you a well-fed start every morning. The most outstanding part is the staff who kept us informed and are very helpful. Especially they listen patiently and respond to our not-so-pleasant experience with the mediocre valet service. However, I would still highly recommend everyone to stay in this hotel.	
May 18 2009 	Could not ask for anything more!	This hotel is perfectly located in downtown Montreal... 2 blocks from the shops on St. Catherine's, 1km from the night life on St. Laurent, spacious rooms, friendly service, great prices, full buffet breakfast... I would totally stay here again.A group of girls stayed here for a stagette party and all of us loved this place!	
May 11 2009 	Great hotel	Perfect location. Staff were friendly - check in was quick and efficient. Will definitely return.	
May 8 2009 	Excellent place crazy woman on the loose	The hotel itself has very friendly staff and is centrally located between malls and right across the street from the Peel metro station. The place is clean and well maintained. However, one problem is that I was at this hotel last august and this may, and there is a strange and creepy woman who walks around the hotel at random hours. I personally got nightmares from this woman three nights in a row because she follows you and stares at you in a really scary way when she encounters you. Just beware, especially if you have kids, seriously. Try other hotels to avoid her.	
Apr 28 2009 	Loved Marriot	Perfectly located in the DownTown.. every facilities.. happening places near by hotel. I visited during the Thanks Giving time and it was awesome to visit the down town in montrealBig Shopping malls, Money Exchanger.. everything near by the hotel.Good Gym &amp; Swimming pool facilities..An excellent service whereby with nominal charges, they will buy the groceries for you.Kitchen is very well equipped.. this kind of kitched everyone would love to have it at home.Being Vegetarian.. it was fun cooking in the well equipped kitched.. I stayed for about 6 weeks and it was very good.Little costly but worth it's value..	
Apr 21 2009 	OK Hotel for value and room size; not a lot of service	This hotel is ideally located near Ste. Catherine street. Lots of things to do and see, with the Peel metro station nearby. Our hotel room was quite large and certainly designed for long term stays, with a full kitchen, table and chairs area and large closet area. Good amenities, including a fridge with an ice maker. Windows are small and high on the wall so no real view. Beds were clean and comfortable. Free buffet breakfast was good but only ran until 9:30am weekdays - lots to choose from (eggs, sausage, potatoes, breads, cereals, waffles, juice, fruit, yogurt). Parking is nearby ($20/day with in/out allowed) but can be a hassle, as they use a valet service that can take some time when they are busy. Free internet was a definite bonus. Unfortunately there isn't a lot of service available (or offered), so we had a hard time with getting our luggage to and from the 16th floor!	
Apr 13 2009 	Excellent conviently located hotel with amenities and charm	My husband and I travel 4-5 times a year to Montreal for entertainment in the city. We found the Residence Inn on Peel Street a few years ago and we're hooked! The hotel is conveniently located a couple of blocks up from St. Catherine Street. They have a complimentary breakfast, very clean rooms, coffee maker/plenty of coffee packets in the rooms, and the staff is extremely friendly and helpful. The roof deck is spectactular with a great view of the city.	
Apr 7 2009 	Centrally located reasonally-priced hotel with homey friendly touches	Location: Centrally located, in downtown Montreal. Within walking distance of the train station, downtown shopping, museums, and McGill University.Cost: If you are a family, excellent.Amenities: Our room had a sofa bed, and the hotel provided (for no extra cost!) a cot for our second teen. We also had a fully equipped kitchen (a dishwasher, full-sized fridge, a stove/oven, microwave, pots, pans, dishes, and tableware). Wireless internet service was included in the room rate. There was also a separate area with three computers and a common TV-viewing area in the hotel. An exercise room with machines was available. A newspaper was placed outside our door every morning. Another 3 (2 in English, 1 in French) were available outside the breakfast/eating room.Food: A hot and cold breakfast was served every morning. And on occasional nights, a light meal was served. The room came with little candy jars and one free packet of pop corn, tea and coffee. And every afternoon, freshly-made cookies were available by the front desk.Service: Staff was friendly, helpful and responded quickly to requests.Downsides: The drawers in our kitchen were a bit rickety. We had to keep the plug out of the drain in the bath tub, otherwise the water wouldn't go down. The sofa bed was rather narrow and looked a bit run down. The cot was soft. And we experienced problems with the internet; it was slow at times and not working at all for most of one day. The poster on our fridge about the evening meals was only in French; it took us a day to figure it out. Some mornings we were woken up by some outside construction. During the day, we could hear some construction work within the hotel.Overall Impression: Not perfect, but what is? We felt the imperfections were so slight, that they wouldn't prevent us from coming back. And some of their problems (internet, noise) were probably temporary and not likely to recur. They certainly wouldn't stop us from recommending this place.	
Apr 6 2009 	OK overall... but noisy.	I was at the hotel last week. The hotel was ok overall, but I would not go back. The Good: Very friendly staff. Good location. Nice functional rooms. The Bad: Caters to families and young adults, we had a room with 5 teenagers across from us. They were loud in and out of the room all night long. Breakfast is included but lousy. Parking was at the building next door with no direct access from hotel. No restaurant or room service.Summary: I would not stay there again, the large number of children of all ages make it an uncomfortable and noisy stay. This place is best for parents traveling with children or young adults going to Montreal to party in Montreal!	
Apr 1 2009 	Almost A Perfect Stay! (Internet Issues)	I booked this hotel for a guys hockey trip soley on the reviews on Tripadvisor - and for the most part I was very happy with our stay. The room was booked months ahead of time. I had asked for a roll-away bed, as there were 4 guys sharing the room. I had asked for extra pillows, a room on a high floor and an early check in time as well. On arrival (noon), we had everything but the roll-away which showed up 2 minutes after we got to our room.  Our Room: Very spacious and clean. Even when we had the couch pull-out and the roll-away set up, there was still ample room to move about the room. The kitchen was fully equipped, which was nice. Bathroom was clean, albeit a bit on the small side. Carpet looked clean as well. The beds were quite comfy, and the room had windows that actually opened! The Staff: All the staff were friendly and approachable throughout of 3 night stay. Breakfast: The continental breakfast was excellent. Even when the hotel was sold out, the breakfast room never seemed crowded, and it was easy to get what you required. Hotel Location: The location in Montreal was FANTASTIC. A 5 minute walk down Peel street put us at the Centre Bell. 5 minutes west on Sherbrooke or Maisonneuv put us at restaurants, bars and shopping. Parking: Parking was acceptable. It was an extra $20 a night, billed directly. It was valet parking, so you simply dropped the car off and went inside. *TIP*: There is a hotel only parking spot infront of the hotel - zip in there, check in and THEN take your car to the end of the block (500 feet) to get parked. Internet access: Simply put..... Horrible. We had wireless internet in our room for about 2 hours total of our 3 day stay. The 3 computers in the business lobby weren't fairing any better. It was frustrating when we were trying to print out maps for sight seeing, food etc etc. Overall: I would ABSOLUTELY stay at this hotel again the next time I'm in Montreal. It was a nice, clean hotel centrally located with a great breakfast and a friendly staff. If they have fixed their internet, I would have given them a perfect rating.	
Mar 26 2009 	Comfort 	This hotel was the first one I ever went to in Montreal. The pool is great, the breakfast and room service are excellent also. We went to relax, and that is exactly what we got to do. The location is great, one street from ste-catherine.	
Mar 18 2009 	Very professionalCaring staff.	I was very impressed with the entire staff, there eggerness ( Not overbering) to insure that all my needs were met. The extra services that are offered by Marroiott's are great ie: Shopping services, mailing services makes it easy for people on the go. I could focus on the things that I needed to do rather than worry at the end of my day trying to find a place to buy my groceries, ect... as well the kitchens were well stocked. House keeping was always diligent to keep the rooms clean and were friendly. The location was in the downtown sector which made it convenent to night life, resteraunts and tourist attractions (Old Montreal), the front desk staff were very helpfull to show you where to go and had very good suggestions. For me it was a great extended stay (six weeks).	
Mar 17 2009 	Excellent Hotel. Lovely staff and great location.	We stayed here for 10 weeks or so from November 2008 until January 2009. Myself, my Partner and little girl were made to feel so welcome. I cannot fault the service we recieved during our stay. The staff made our stay so much more enjoyable and really made a difference. The rooms were spacious and clean and the beds very comfortable! The bathrooms are a little on the small , I guess you can't have everything! The choice of breakfast is excellent and the complimentary food offered twice weekly on an evening is an added bonus. Other advantages include the free internet access and complimentary coffee/tea available. We have stayed in lots of different Hotels and the main thing for us which stands out, is that the Marriott Residence Inn may not be rated a 5 star Hotel, but the service you recieve is 5 star and that is what counts. Thank you so much.	
Mar 14 2009 	Amazing	I recently stayed at the Residence Inn Marriott Downtown Montrel off of rue Peel. I came to Montreal for a mini vacation to celebrate my fiances birthday. This property was amazing. The room was perfect the Breakfast lounge was perfect the business center was perfect, the location was perfect. I couldnt ask for a better hotel. Everyone of the hotel staff was very friendly. The staff we came in contact with Tania, Anna, Julie, Sylvain, &amp; Dwayne answered all of needs, questions etc with a smile. I am very happy that I choose this property to stay at and I will recommend the Residene Inn Marriott Downtown Montreal to ALL of my friends and family. Thank you for a wonderful stay away from home!	
Mar 11 2009 	Sets the gold standard for hotels.	After having had an awful experience at the Delta Montreal, I shuddered at the thought of having to stay in another hotel in Montreal. But I was completely blown away by how great the Residence Inn was. The room was large and spacious, the housekeeping staff were friendly, and the front desk was extremely helpful. The location is very close to the Metro and I will never forget the heavenly breakfast buffet every morning.This is one of the best hotels I have ever stayed in.	
Feb 24 2009 	Wonderful Choice	I stayed for 2 nights in a studio suite. The room was great, It had a king bed, kitchenette, tv (no vcr/dvd player), phone, iron &amp; ironing board, &amp; large closet. The bathroom was a bit small and had the usual amenities - shampoo, lotion, conditioner. The kitchentte was surprising great with a stove, microwave, regular sized refrigerator and all the cooking utensils you'll need including dish detergent, dish cloth, &amp; dish towel. They offer a breakfast in the Hearth Room - 2nd floor of the hotel. It's a very nice room with a fireplace. The days I was there it was very busy, so sometimes it may be hard to get a seat but I just sat down right next to some people and made nice conversation. They offered a nice breakfast with scrambled eggs, sausages, pancakes, fruit, cold cereal, muffins, breads and make your own waffles. They were great. Coffee and tea are there 24 hours from what I can tell. I went in there different times of day and night and there was always hot coffee. They also have free internet in the Hearth room, they have 3 PCs along with a printer to use 24 hours a day! It also has a big screen tv above the fireplace. The hotel location is great &amp; convenient. The Metro is a half block away and the main shopping street, Ste Catherine, is a block and half away with stores, restaurants, fast food, &amp; a movie theater all within a 10 minute walk. You can easily walk to the Bell Centre, it's less than 15 minutes and not bad even on a cold night. They do have a fitness room but it's not much. It has a treadmill, a bench, and some free weights but the view from there is great. It's up on a the higher floor. The staff was very friendly and helpful.	
Feb 22 2009 	A hidden gem	I am late in posting this review - better late than never.I stayed at the Residence in during the Race weekend in August. We used out Marriott Rewards and even if we did not pay for our stay the service was impecable. Great value for your money!The room are clean and our suite was equipped with everything.The location is so convenient, we had no problem getting to the Island. We are going back in August and the Marriot is out place of choice.	
Feb 21 2009 	I could probably live here	I had never stayed in an aparthotel before - I thought it was more something for businesspeople and families - but I have definitely changed my mind now. The rooms/units in this hotel are spacious, homely and comfortable. The location is great - you are right in the centre of all the Montreal action. The terrace and swimming pool on the roof are lovely, but the best feature for me was the breakfast - I loved making my own waffles in the morning, in what looks more like a plush living room than a restaurant. Would definitely recommend!	
Jan 21 2009 	Great way to start the New Year	Our son is studying at U of M and was working on Dec 31st. Since he was not home to celebrate the New Year with us, we decided to visit him in Montreal. Whenever we are in Montreal, the Residence Inn is our first choice.	
