	Pricy Busy and Well Located	We forgot how many times we’ve been to that hotel. The location is very convenient for us.This is not the most peaceful hotel; it’s big and busy, however very well located restaurants, bars, disco, shopping etc. Like most Sheraton Hotel the rooms have been refurbish, and are clean and cozy. The overall service and staff is decent, but not great, and this is not due to a language barrier because we’re fully bilingual. Some of the staff members would require a refresher course on customer relationship.Overnight interior self-serve parking is $20.00, you can park in a nearby exterior parking lot for less than $10.00. For food quality and price venture to local restaurants in the vicinity, the choice and variety is remarkable.M &amp; L D, Ottawa	
Oct 14 2009 	Perfect stay!	This hotel was in the perfect spot, handy to everything we wanted to see. It was very clean and the staff was always cleaning something-the hallways or rooms. The rooms were very quiet and relaxing along with really comfy beds! The staff was very friendly and helpful as well. We would definately stay here again!	
Oct 8 2009 	Wonderful Find at a Very Terrific Price	I booked the Sheraton Le Centre Montreal Hotel with minimal expectations, primarily due to paying less than $100 for the 1 night room on Hotwire. However, my girlfriend and I exceedingly impressed with the property due to many factors, including its terrific located (central to both Old Montreal and Mont Royal), modernly designed guest rooms, FREE wi-fi for your laptop, reasonably priced parking ($20 CAD/night) a nice pool and exercise facility, and overall staff curteousness. We would return to this hotel in a heartbeat and was very pleased with our stay.	
Oct 8 2009 	Stay for the beds!	The staff were very friendly and helpful. The room was recently renovated and comfortable. The bed was the best! Hotel is located downtown near shopping, but it's easy to get around using the metro or the BIXI bike share.	
Sep 28 2009 	Great stay	Very nice stay at the Sheraton in downtown Montreal. Got a room on the 9th floor. A little smaller than what I'm used to but very comfortable. Love those pillows !!Putting the ice machines next to the service elevator is weird. It's not a part of the hotel that guests should have to see.Nice pool and hot tub.This is a great downtown location. Can't miss.	
Sep 27 2009 	A nice romantic getaway	We decided to enjoy a &quot;staycation&quot; of sorts by travelling from Ottawa to Montreal instead of heading down south to an all -inclusive for our second wedding anniversary. We decided to try the Sheraton downtown Montreal as we have stayed at the Sheraton in other cities and enjoyed our stay. Upon arrival I mentioned that I was a Gold Member and received a complimentary upgrade to the 30th floor, a King room, with a gorgeous view of Montreal and Mont-Royal - perfect for watching the sunset. The room was recently renovated, luxurious bedding, very clean and modern decor. The room was quiet, we managed to sleep in until at least 9am every day, no late night or early morning interruptions. My only complaint would be the lack of a mini-fridge in the room. As we were staying multiple nights it would have been nice to be able to stock some cold beverages &amp; snacks. The hotel was walking distance to Old Montreal, Mont-Royal &amp; St-Catharines street.	
Sep 15 2009 	Luxury at The Sheraton	We took a short break (Monday to Friday) whilst visiting family in Toronto. We arrived at the hotel on foot from the VIA rail station which is just a short (4-5 minute) walk away and walked up to reception, handed them my email booking and they handed me my room key after recording the details of the credit card. Took all of 3 minutes and we were on our way up to 34th floor in a high speed lift. Amazingly quick check in and despatch to our room. We were in room 3421 and it was a corner Club room. We opened the door and gasped with pleasure. The room was beautiful, modern and spacious. The wardrobe was plenty big enough and the marble bathroom was large as well. The shower was very good and the toiletries provided were first class and replenished daily. Plenty of towels as well including face cloths. There was a hair dryer and a safe in the wardrobe. There was an easy chair, a desk, internet access and this huge TV. The decoration of the room was great and very comfortable. The bed was extremely comfortable and adorned with 4 huge soft pillows. The room was cleaned expertly daily and the staff very courteous and smiled a lot. The Club Room on 37th Floor was fabulous as well and the staff there again were smiling and helpful. The buffet breakfast was plentiful and replenished continuously. Fresh coffee ground coffee as well. The hors d'oeurves from 5 pm were a bonus too if you didn't want to eat until late as well and quite a variety as well. The bar on the ground floor was lively as this was also a conference hotel but that did not interfere with us in any way at all, I was worried that the club room might get too busy for us to find a seat, but that was never the case. There was a nice pool, whirlpool, sauna and outside sun area on 6th floor which was never crowded and always clean. The only fault that I could find with this hotel, and I am digging deep here, was that there was no mirror over the desk so drying my hair in comfort was a little awkward and I would have liked a flatter pillow as I have neck problems (told you I was digging deep). Checkout was just as simple as check in and no queues. The concierge was fine as well, but we only used her once and she came up with what we asked for. We were a 30 minute walk from Old Montreal and St Catherine Street with all the shopping was just behind the hotel. Metro and VIA rails station all close by. All in all, I highly recommend ia stay at this hotel if you like polite, discrete, friendly professional staff and a great room with a great view and Club facilities. Worth every penny! Oh, another unexpected bonus, we caught the end of the film festival and were treated to an expert outdoor display of acrobatics, music and other activities absolutely free!	
Sep 13 2009 	Beautiful rooms terrible service	My spouse and I stayed at this property for two nights for a little getaway. We had booked this room as a reward stay for one night and a regular rate for the following night. Even before we arrived there were problems with our reservation. The information on the reservations was incorrect and they had us booked in two rooms for one night. It was a good thing I called to ensure that everything was correct before we arrived. That was strike one.When you arrive at this property it looks like any other nicely maintained large scale hotel; large lobby, large lounge and restaurant area, connections to shopping areas etc. The check in process was fine but I felt that the staff were not very polite. There were two conventions in the hotel while we were there so I can understand that the staff may have been rushed/tired etc., but first impressions and customer service count for a great deal, so suck it up.Since I'm an SPG member I was upgraded to the SPG (31st) floor of the hotel. The room was spacious with beautiful linens and a lovely view of downtown Montreal and Mount Royal. The money that the Sheraton chain spent on their worldwide reservations has been a good investment as the room are really quite nice.My issue with our stay was the service we received. As part of the renovations each room in the hotel now has a nice flat screen television with an area that allow HDMI and VGA hookups from your laptop to the television. Since we prefer the Starwood group of hotels we were aware that most properties have this feature and brought proper cables along to watch movies from our laptop on the television. We had problems getting the audio function of this interface to work and called to front desk for some help. After about 20 minutes a general maintenance worker came to our room and tried to 'fix' the problem. I get that not everyone knows how this type of interface works but do not send someone without the proper expertise to fix the issue! We never did get that problem resolved. It's also probably good for me to point out that the tv, while capable of producing a high definition picture, is not connected to any high definition channels.My second issue was the extremely early knock on the door that I got for the delivery of our hotel bills and the lack of coordination with our hotel reservations. Since one night was a reward stay and the other was a regular rate stay the hotel kept these as separate folios, so I got separate invoices, even though I expressly asked for them to be combined both when calling in advance of our arrival and upon arrival. Now in most hotels that we have visited, and we have stayed in many worldwide, your invoice arrives in the middle of the night, typically slid under the door. At this property, however, the staff felt it necessary to knock on our door and wake us for the delivery of this invoice at 7:50 am on a Saturday. Now I know that for the early riser this may not be that great of an inconvenience, but this was supposed to be a romantic getaway where we could sleep late and do things at our own pace. In addition to this inconvenience, we were awoken again an hour later by housekeeping and were harassed an additional time in the morning by housekeeping again even though we had a 'do not disturb' sign on our door. I would like to note that this same early morning knock on the door with the bill and the early housekeeping arrival happened again on the second morning.As part of our getaway we wanted to take in some of the sights and attractions that Montreal has to offer. We called the concierge and learned that the hotel carried discount tickets to the Biodome. We indicated that we were going to pick up some tickets and that we were coming right down. When we arrived at the concierge's desk, no one was there and we encountered the third issue with this stay. We waited about 20 minutes for someone to show up and help us. We spoke to the bell captain and another lady who both said that there was nothing that they could do to assist and that we would have to wait. I understand that staff are entitled to breaks and such, but if you know you are going to be away for more than a few minutes, leave a sign or some indication of when you will return. When the concierge returned we told him that we were waiting for a while and he brushed us off stating that he had 'other stuff to do' and that's why he wasn't available. Not a good excuse when your sole function is to provide guests with a service.Our fourth problem with this stay reared its head when we arrived back at the hotel that afternoon. Our keys did not work on our room door any longer. Since our reservations were not amalgamated, like I requested twice before, our keys' functionality expired and we had to get them re-magnetized. On its own, this would have been a mild hindrance, but it was just adding to the other annoyances we had already experienced.Our fifth problem was our final bill. Since the reservations were not amalgamated we were charged incorrectly for certain items, namely internet and parking. We were charged double for the internet and charged for valet parking, even though we used the self park option. I had to call the hotel after we left to confirm that the extra charges were removed. (An aside on self parking vs valet: use the self park and save a few bucks as the valet and self park are all housed in the same parking structure that is part of the hotel.)Needless to say, our experience was really soured by this lack of good service. This hotel really ends up giving the Starwood chain a bad name in Montreal. We will not be staying here again. If you are looking for a beautiful room with bad service, this is the hotel for you.	
Sep 12 2009 	Couldn't ask for a nicer hotel!	My husband, myself and another couple just returned from a three night stay at the Le Centre. Our room was immaculate, very comfortable and had a beautiful view of the city from the 28th floor. The room had plenty of space to put away a lot of clothes ( I don't travel light). Although there was a charge for internet in the room we had no trouble connecting in the public spaces. Breakfast in the restaurant was served promptly, we never had to wait for a table, and offered an extensive menu with lots of healthy choices.The concierge was very helpful and suggested a lovely bistro (Laloux).The day after we checked out we discovered we had left an expensive new purchase in the room. To our amazement the housekeeping staff had promptly turned it in and the hotel Federal Expressed it to us within a day of arriving home.	
Sep 10 2009 	Terrible Experience	We were given room 3621, a room on the last Club Room VIP floor, and the room was so noisy we woke up at 2:00 am and called to get the room changed to another one on the 35TH floor which had less noise. Anyway they told us that the mechanical room was righ on top. MY question is: Why don't they fix it?	
Sep 8 2009 	What a pleasant surprise............	My wife and I arrived in Montreal to celebrate our anniversary on the Friday afternoon of the Labour Day long weekend for a 2 night stay. We chose this hotel because of the location and the fact that it had a gym and a pool. Thanks to the great reviews and comments on TA, I booked the hotel approxiamtely three weeks before we arrived and requested a upper floor room since I new they were recently renovated. Check in was a breeze and the staff were very friendly and spoke to us in english once they realized that we didn't speak french. We were granted a 30 floor room which was a Starwood club members floor (to which we are not members). The room was immaculate and looked like it was recently renovated. The bed was very inviting and comfortable with crisp white sheets and a nice comfy duvet. The view was amazing! The room was equipped with a 37' flat screen tv and a brand new arm chair with matching table. the room had ample storage space and a safe and iron in the closet. The bathroom as absolutely spotless and had all the necessary lotions, shampoo's and towels we needed. The hotel was really quiet and we only heard our neighbours when they rounded up their small children in the hallway before leaving the hotel. Maps and directions were easy to obtain from the front desk in the lobby. We decided to use the hotel's self-park for $20.00 per night. (more about parking in a minute).So we checked in sometime around 4:00 pm Friday and opted to drop off our bags in the room and then headed out to enjoy the late afternoon sunshine in downtown Montreal. We grabbed a map and out we went. We turned the corner from the hotel and found ourselves on Stanley st. heading towards St. Catherines. About 50 yards from the hotel there was indoor parking for $13.00 a night. We wanted to kick ourselves for not looking before chosing the hotels parking however in the end I think we made the right choice given that we were allowed to come and go vs spending the $13.00 and staying put. We walked and shopped on St. Catherines street visiting the Eaton centre before finding a wine and beer store to buy some goodies for later.After a few hours of walking we decided to stop and have a beverage at Guido's and Angelina's Italian restaurant. The restaurant was a open to St. Catherine's so we grabbed a table right on the rail and to watch the hustle and bustle of a long weekend Friday rush hour. We had a few drinks and watched as people around us had what looked like great pasta and pizza so we decided to have an early dinner and ordered pizza while gazing out onto the street as the sun started to set on the city.Food was relatively good for a place on the main drag. We arrived back at the hotrel at 8:15 pm and decided to try out the pool. I've read many comments about the screaming kids taking over however we didn't experience that on either of our two visits to pool area. We enjoyed the hot tub (finally a hotel with a real hot tub as opposed to a luke warm tub) and enjoyed swiming in the pool. There we about 5 kids in the pool but for the most part they were well behaved. After the swim and tubby we headed back to the room and ordered a movie and called in a night.Saturday we woke up and enjoyed the Starbucks coffee the hotel provided before heading out to have breakfast at Cora's (which was just around the corner). As with every Cora's we waited in line for about 20 minutes before we were seated. After a enjoyable breakfast we headed out for our 25 minute walk to Old Montreal. The sun was shining and it was warm as we walked through the cobblestone streets enjoying every minute of the beautiful town. We waled the harbour front area and then found a wonderul rooftop patio over looking the port for drinks. The restaurant/bar was called Narcisse and offered a great view of the area.We then left Old Montreal heading back to the hotel to grab the car and take a tour of Montreal and in particular Mt. Royal. We drove through some beautiful areas of Montreal. The town of Mount Royal was remarkable and had a amazing look out area to stop and take pictures of the city including a great shot of the Olympic Stadium. After the tour we headed back to the hotel for another fun and enjoyable swim and hot tub (about 6-7 kids in the pool at around 4:30 on a sat afternoon). We headed back to the room to start to get ready to go out for dinner and enjoy a glass of wine. We headed out around 7:30 pm and made our way to Cresent st to explore all the restaurants and their menu's searching for that perfect spot. One of the more recent reviews of the hotel recommended Enzo's as a gret place to eat however when we got there the place was closed down for good.We walked a while before spotting a restaurant with a great upper outdoor patio overlooking Cresent st which was getting busier and busier as the night moved on.The restaurant was called Pino's and we had a fabulous table and had a ever better dinner experience. The food and wine coupled with the excitement of a Saturday night on a warm Labour Day weekend was amazing. we throughly enjoyed the entire evening from start to finish. We joked about stopping by one of the many clubs close by however we were far too full (and tipsy) to sweat it up on the dance floor that night. We loved the walk back to the hotel (10 minutes) before turning in for the night.Check out was a breeze and off we went very pleased and satisifed with our excellent two night stay in beautiful and vibrant Montreal.	
Sep 8 2009 	Lovely stay	We're not sure that Sheratons are universally considered 4-star, as was advertised where we booked (indeed, it says 3-star on TripAdvisor), however the room was modern with nice bedding and other furnishings. Nice pool/amenities. Handy location. We weren't impressed with the long lineup at check-in, but the rest of the stay was lovely.	
Sep 7 2009 	good hotel in downtown Montreal	Had a nice room with a huge bed, with a great view. Newly renovated room, with nice decor. Very clean, nice bathroom.Great location if you want to be right downtown, and convenient parking.The staff was courteous and friendly. No complaints.I was lucky enough to get this room by bidding for a 4star hotel in downtown Montreal on Priceline. I would stay here again if the price was right, but I generally prefer staying on Sherbrooke Ouest if I am visiting Montreal.	
Sep 6 2009 	Great stay!	Booked through priceline and was really impressed with the room. I was put into a basic room on the 18th floor. It had an awesome view of Montreal. The room was recently renovated and had a modern decor. Overall it was fairly small, but this was ok because I was travelling solo. The bed was quite comfortable, although it didn't seem like a king size bed (more like a smaller queen size). Bathroom was modern and clean.I was impressed and would stay there again.	
Sep 5 2009 	excelent accommodations	stayed 2 days to enjoy Montreal&quot;s downtown and we had a great time. Location is just around the corner to busiest streets in the metro area and rooms are clean, confortable,soundproof and service was excelent. We will definetely stay here again.	
Aug 29 2009 	Great stay!	Stayed three nights. Excellent location. Rooms were clean and comfortable. Great beds! What really impressed me the most was the way the hotel was run! As far as staff goes this is a very well managed property. A+	
Aug 25 2009 	A lovely hotel	The hotel was very modern in appearence and the room was spacious and very clean. We were on the 26th floor with great views of the city. It was a club class room so we had complementary breakfast in the club lounge, it was ok, nothing to shout about, but staff were sometimes slow to refill the food especially when busy. As the club class is for business travellers we assumed it would be business people plus a few others, like ourselves, who paid extra for a nicer room on our honeymoon, therefore adult only. We found the opposite, it was full of families and during breakfast was like a kindergarden. The older children were ok but the younger ones running around, screaming etc wasn't appropriate when you are carrying hot drinks etc.The pool facilities were nice but nowhere to get changed and the pool was full of kids messing around so we didn't go in. The bar area was very plesant and relaxing although the prices were on the dear side.The hotels eating options weren't great, the restaurant wasn't actually open for the 4 days we were there but there are many fantastic places within a 5-10min walk. The Hard Rock was plesant and the Enzo's italian was a great place to eat, typical italian with great food and service. The subway is not far and the tourist info center is just around the corner, where the open top bus and free casino bus go from. Some of the bars/eateries there showed the live UFC as well as the usual football.The shop downstairs was very basic, could have been much better stocked for a hotel of this size. Taxis were plentiful if you required one or to the airport.	
Aug 17 2009 	Great location nice views strange mix of clients	We spent a week at the hotel and stayed on the club floor so the room was nice and the internet was free because we are platinum members. If you are not a platinum member be prepared to pay an outrageous $17/day (tax incl.) for internet access - which is quite slow (too slow to watch video). You can avoid this by going downstairs and using the free wifi, though some may not like this option. The concierge we spoke with a few times (he was German I think, but I do not remember his name) - knows the city very well and is extremely helpful.The room had a newly renovated batroom which was very nice. The bedsheets were crisp and clean. The flatscreen was also very nice. The views from our room (looking onto Mt. Royal) were fantastic.We never ordered room serivce because, even though I am on an expense accont, it is against my moral fibre to pay $18 + tax + tip + ROOM DELIVERY FEE (!?*%!!?) for a hamburger. The only thing that wasn't very good was a (sometimes) lack of attention on the part of certain staff memebers. For example, in the club lounge on the platinum floor, there were often people who clearly didn't belong hanging about. One afternoon, a group of dubious looking teenagers comfortably installed themselves and we were all treated to the sounds of very colourful language and the tossing of food. Nobody asked them for their room number or their platinum card, though everyone took notice of them - staff included. One family with young children even left because of them. The same group were seen later on that night, drinking at the bar, making a very large scene and two were barely able to walk. I do not understand why there isn't some form of card access to the lounge. This hotel is in a great location and within walking distance to many sightseeing places as well as the metro.	
Aug 16 2009 	Nice Place	Just came back from a 3 night stay..booked on priceline for $80 a night. Used the self park option...$25/day...$15 wifi throughout the room...or free within the lobby...speed is incredibly slow..forget downloading movies/t.v shows. Its a 30min walk to Old Montreal...or a 5min subway ride...subway located a few minutes away from the hotel..$2.75 for the subway. Staff very friendly...needed extra creamers for coffee..was delivered within 10mins...A/C worked great...I'm a light sleeper but hotel has thick walls seperating rooms...could not hear a thing...5 min walk to bell centre...for drinks/snacks..head to esso next to bell centre..mount royal about 30mins walk..all of it uphill...wear comfy shoes ladies...shopping/dining all on rue st. catherine...few mins walk from hotel..all in all a nice hotel..would stay here again.	
Aug 8 2009 	Wonderful Stay!	We had a very pleasant experience staying here, from the time we arrived until we left 4 days later. We took the suggestion from another reviewer and asked for a renovated room on an upper floor. The room was beautiful, as was the view. Staff was always friendly and helpful. Really enjoyed the pool, exercise room and outdoor patio on the warm, sunny afternoons. Because there were four of us, it was actually less expensive to take a taxi for $10 to Old Montreal rather than the metro. Being able to get our car in and out with valet parking was key to visiting St. Joseph Oratoire/Mont Royal Parc and the Botanical Gardens at the Olympic Parc. We were also better able to explore some local Farmers Markets and get out of the tourist areas with the car. Loved this hotel, but bring snacks and drinks with you as they are pricey locally.Booked this on Priceline for $85 a night!	
Aug 5 2009 	Standard Sheraton	Standard Sheraton - nothing fancy, clean, good amenities, basically what you can expect from a Sheraton.Close to the metro and shopping on Ste Catherine. Good location	
Jul 25 2009 	Great Staff High-Value Great Location Comfortable Room	Staff was very attentive, room located on the 28th floor and comfortable for 2 adults, includes flat-screen TV, centrally located - 1 block to Saint Catherine St., many dinning options nearby, 5 min walk to underground mall. On site gym was adequate, pool was packed with kids which got in the way of a casual swim/laps. Everything worked-out in the end. Hotwire room rate was less than $90/night for a period of 9 nights - high-value - great rate! Wi-Fi connection is free throughout the lobby/bar area - otherwise $15 charge in room - so we went downstairs - money better spent for drinks at the bar in the lobby - go figure ;-)	
Jul 24 2009 	Decent hotel	This is a decent hotel. Dont except great. The room was nice. The amenities were good. The location is good for sightseeing. Most of the landmarks are closeby. The dining options are not great at the hotel. But, there are lots of good restaurants nearby. There was a billing issue that the hotel staff didnt resolve. Luckily, the sheraton corporate customer service was enough to take care of. Overall, a good hotel.	
Jul 13 2009 	Great location	We went up to Montreal for a night to meet up with some friends and chose the Sheraton as I found a great rate on the Starwood website ($135). Location is very good - easy to find while driving into the city. We got there early (around noon) and were able to check in. The hotel had no rooms left in the category that we booked so we were upgraded to suite which was great! We were traveling with our 5 month old so it was nice to have the extra room for us to hang out while the baby slept. We did the self park option - $20. A good deal for city/hotel parking IMO. We paid $40 at the W back in December.Staff was very courteous - we decided that we should have brought our pack &amp; play so we called the front desk and they had one sent up to us...was there in 10 minutes. Location is great - right downtown. Easy walk up to the action on Ste-Catherine and across the street from the Bell Centre. We will for sure stay here again.	
Jul 12 2009 	Good stay for families	For about $100/night via Hotwire, the Sheraton was a great deal. I requested a renovated room; it was clean and the bed was super comfortable. Although we know the hotel was busy for Jazz Fest, we never once heard our neighbors -- great soundproofing. The bathroom had an excellent showerhead and eco-friendly two-flush Toto toilet. As far as service and amenities go, umbrellas were always made available during the drizzly week. Concierge Maria was especially helpful in our ventures outside the city proper. The pool attendant was friendly to our toddler. (The pool was beautiful and had a wide variety of playthings for children.)Other than that, it was what you'd expect from a Sheraton. The one complaint I have is the $14.95 CDN charge for high-speed Internet. Wi-fi is almost a standard in most business-level hotels in the heart of the city; I was sad to see this hotel lag behind in that regard.	
Jul 11 2009 	Pleasant surprise	For starters let me preface this review by stating I was given the employee discount which made the room extremely affordable ($79/night and 50% off meals). Notwithstanding that, with my Starwood status we were immediately upgraded to the starwood preferred floor. I must say, regardlss of price, this business hotel proved to be quite nice. I took my partner to Montreal for a memorial day getaway and we made the hotel our &quot;home base&quot;. The staff was great from the moment we checked in. The pool area was nice, despite the screaming kids. Wasn't pleased with the cleanliness of the pool (hair...etc) but it served it's purpose (my partner loves to swim). The restaurant was decent as we are breakfast there, and we had room service a few times. The room was nice, bed was comfy and the bathroom was clean. We also ate at the tarwood lounge upstairs and it was good as well. The parking is underground and we dubbed it &quot;the bowels of hell&quot; as the temp was 90. Overall this hotEl is not a W or any other boutique-y hotel but It is centrally located and if u get a good deal u will be satisfied with ur choice.	
Jul 10 2009 	Nice hotel great pool and location-but	so not child friendly!! We have a 2 year old and when we asked Concierge for a dinner location, they sent us to a restaurant that was just not appropriate for a toddler! and then we find out from our credit card company that the restaurant is under investigation for fraudulent charging and our card got cancelled!! thankfully we had a second card! Anyway the room was lovely, king bed was comfy but the pillows were too soft. We were able to park and come and go as we pleased without having to pay everytime we came back. close to restaurants and shopping...about 15-20m walk to old Montreal...	
