	WOW!!	Great hotel! Stayed there with my wife for one night, got a great deal from the hotel. Amazing location, great staff. The bed was amazing and the pool and gym was also stacked with many machines and a great view while working out. The hotel staff is very very helpful, my wife forgot a pair of jeans and the mailed them back to us for free. I've never seen so much of an effort from any staff.Can't wait to stay again.	
Oct 14 2009 	The Best Hotel in Chicago	Although we are from Chicago, we love to spend weekends when we can in downtown Chicago. After spending our time at the Trump, I feel like I just got home from a wonderful vacation without the jet lag! The attentive staff, elegant rooms and beautiful city/lake views were all part of the reasons that our stay was so wonderful. My only complaint was that we had to go back home! Looking forward to our next visit in November to this 5 star hotel.	
Oct 11 2009 	fantastic view luxerious rooms	Request a Chicago River view-nothing else like it in Chicago-front desk and valet seemed understaffed with our wait times , but all in all, the rooms are well-appointed and &quot;Las Vegas-like&quot;- unlike the older hotels, will be toasty warm on those windy winter nights.	
Oct 8 2009 	World-class!	From the door chime that replaces knocking ... to the softly scented bed linens ... to the TV in the bathroom mirror ... to the friendly, flawless service ... Trump is truly a five-star experience. All good hotels have decent beds, edible food, clean rooms. To me the mark of a five-star establishment is the service and attention to detail, and Trump excelled. Our welcome from valet, belstaff and front desk was very cordial -- we were upgraded to a room with the best view of the city I had ever seen, and I live here. On the 22nd story, we looked out out the river to the lake. Bridges, Wrigley Building, tour boats, traffic, pedestrians -- I liked it because it was high enough to not be too loud but low enough to be interesting. And the room was very quiet. You enter into a long hall that gives the room a sense of privacy and being set back. Beautiful, restful colors, greys and browns, contemporary without feeling harsh. Kitchenette with all high-end appliances and finishes, as you would expect. Disregard minibar! Bose sound system playing softly when we arrived. Bellman very friendly and informative. We had in-room dining the first night and the server set up four chairs for us and our guests. Only a 30-minute wait on a Friday night, and the food was outstanding. The room service person called up to make sure everything was ok, which we appreciated. I never sleep well in hotels, but the bed was very comfortable, as others have indicated. Check out the &quot;pillow menu&quot;! All-marble, spa-like bathroom with nice lighting. We breakfasted in the restaurant and the service, again, could not have been more solicitous. A nice feature is the &quot;juice of the day&quot; -- on this day, some kind of berry. Tasted very natural. Yum.Another observation we had: it doesn't feel snooty or faux-Continental. Families would be comfortable here, if they wanted to shell out for the &quot;Trump experience.&quot; So if you want a special getaway in Chicago -- I would absolutely recommend this hotel.	
Oct 7 2009 	Absolutely Sensational	I could not rave more about the Trump hotel in Chicago. The rooms (we just had the most basic one) were oversized and had amazing little extra features such as a great TV in the mirror, pillow menu, ipod speakers and more. The location was fabulous as we didn't have a car and could walk to trains, Navy Pier and everything else. The concierge staff were phenomenal and so helpful. The gym was also really well appointed. All in all a first class experience and one of the best I've ever had.	
Oct 3 2009 	An absolutely wonderful experience!!	The superlatives are too numerous....the best way to put it is that in any future travels to Chicago, I would not want to stay anyplace but the Trump. It is first class all the way from location to staff, rooms, and cleanliness. Absolutely, I would recommend it to anyone!!	
Sep 22 2009 	Best hotel experience I've ever had.	I stayed at the Trump Hotel in Chicago last weekend. The trip was a girls-only weekend to celebrate our 40th birthdays. The hotel exceeded my expectations, which were already high. It was an incredible experience.We booked the Grand Deluxe River View Suite (Unit 32) and were thrilled to get a room on the 27th floor (top floor of the hotel section of the building). The photos on the website do not do this suite justice. The overall effect of the high ceilings, huge space, floor-to-ceiling windows and incredible view was just stunning. When we first came into the room, we all ran around like a bunch of excited six-year-olds...checking out the bedroom, bathrooms, kitchen, etc. And just a few minutes after we checked in, we received a lovely &quot;happy birthday&quot; cake...very nice touch.Every part of the hotel was extremely clean, the staff was friendly (not the least bit condescending) and we loved the Terrace bar. (Just remember that you're paying for the view as well...the drinks are pricey.)There's no doubt that this is an expensive hotel, but if you want an &quot;experience&quot; vs. just a &quot;room,&quot; it's worth it. In fact, I'm checking out our travel budget already to see if my husband &amp; I can come back in December.	
Sep 15 2009 	Worth the splurge! Luxury redefined!	Not sure if it was the wall to wall windows with not one but two sets of drapes on electronic controls, the spectacular view, the television embedded in the bathroom mirror, the espresso machine, or the kitchen appliances but the WOW! factor was huge. We were still discovering features as we checked the drawers and closets on departure - all the little things that you don't know you need until you really do - clothes brushes, slippers, martini shaker, tape, scissors, staple remover - the list goes on!Just go and enjoy the luxury. The room was spacious, the amentities superb, and the service gracious. The restaurant on the 16th floor has an incredible view, good food, and personable staff. Probably the most expensive breakfast we have ever had (maybe topped by the Imperial Hotel in Tokyo) but we created a memory!Yes, it is expensive but The Trump sets the standard.	
Sep 14 2009 	Will stay here again	Great location, beautiful view - paid extra for the river view and it was worth it. Enjoyed the cappucinno machine each morning. Very clean. Nightly turndown with slippers, robes, bottle of water and glass on the nightstand, music playing, aquarium scene on the TV when you arrive back after a long day on the town. Very large room. High ceilings make it feel even bigger. Will stay here again. Valet even had 2 bottles of water for us when we departed.	
Sep 10 2009 	Nice but little things added up......	We stayed over Labor Day weekend and had a Spa King Room. First of all, the view was great, of Wrigley Tower and the Chicago River, just breathtaking. Now the little things that added up over the weekend stay:TV remote would not work and had to call down to front desk several times to get it checked. Not sure if anything was really done to fix the remote, one service guy rebooted the TV and admitted the TV system was not the right choice for a Trump hotel. The draperies are operated by a wall switch to open and close, but for some reason our drapery hooks had been pulled off the rod and therefore would not shut completely. Call down to the front desk again on several occasions. Next on Sunday morning we walked down our hall only to smell cigarette smoke on a non-smoking floor. Complained to front desk and they said they would check into it. Bed linens were not 500 count linens as stated. The bed was not as comfortable as again stated. Bathtub was large and used the bath but could not get the drain to open to let out the water. Had to call maintenance yet again. The staff is very nice and the concierge, George, went out of his way to find us a dinner reservation on Sunday when many restaurants are closed. The one he found was outstanding: Boka on Halsted. Excellent food and wine list. The Terrace bar is a great place to sit out and take in the great city views and the location is also close to Michigan Avenue. On the day of checkout, they even prepared a to go breakfast for us and told us the GM would be in touch, however have not heard from him. I have never stayed at a Trump but we usually stay at Four Seasons and Ritz Carlton's so we wanted to give this a chance. I would stay there again but I was disappointed. I completed the survey the hotel sends out but have yet to hear from GM.	
Sep 8 2009 	Great Hotel!	We were in Chicago for shopping and sightseeing and decided impulsively to stay overnight. Other places were booked full but found a suite at Trump Tower (about $700) for a King bed and pull out sofa bed. Lots of things about this hotel will make you giggle - they send up a plate of complimentary truffles, they have a pillow menu with varieties of complimentary pillows (soft, hard, body, scented), a water menu with exotic types of waters, full stocked liquor in fridge, great view of river, city had fireworks (only on Thurs &amp; Sat?). Lots of extra charges but you should try it once to splurge!Really, the only big annoyance was street noise - motorcycles and ambulances. And they could have had an outdoor pool.	
Aug 30 2009 	Location and View	We chose this hotel because it is the new luxury property in town and overall we were pleased with our choice. Like many hotels in Chicago, the hotel is split up with a small lobby at ground level, restaurant and spa on 12 and 14, with rooms above these floors. This arrangement may bother some guests as the hotel has no real center or focal area, but this set up is a matter of personal taste. For us it was not really a problem. However, the lobby is small and the front desk was too close to the elevator lobby. The weekend we were at the hotel, it was very busy and getting around the front desk line was annoying and not what you want to see at a nice hotel. Compounding the problem was one of the three elevators to the guest rooms, spa, restaurant, and ballrooms was not working during most of our stay. Even with all three working, expect to wait sometimes. Our room was number 2304 and we would highly recommended the 04 line if you can get it. The view from this room was outstanding with the Wrigley building clock tower to the left, a straight on view out to the lake with no buildings in the way, and a great view of the Chicago River, as it bends right in front of you. All can be seen through floor to ceiling, wall to wall windows. The room was just over 900 square feet, including a long hallway. It is set up as a studio with a full kitchen that is really part of the bedroom. The overall look of the room is elegant and modern with muted colors. The large marble bathroom is very nice with separate shower and tub but no separate water closet. The TV in the bathroom mirror is very cool. There is a very nice large pool with a wall of windows overlooking the city and water. The gym also has great views and is a true gym so that a complete workout can be achieved. The locker room was very nice with steam and sauna but we felt it looked more like the locker room at a nice gym than at a five star hotel. We did not eat at the hotel, but there is a very cool looking restaurant and a nice outdoor bar area with a great view of the water and the city skyline. The location of the hotel is perfect. The loop area is just over the river, and the magnificent mile starts one block away. You are basically right in the middle of the main part of the city with almost every tourist site within walking distance.Overall this hotel is a good choice in a city with many great hotels. The hotel layout and design is a little quirky, the service was a little stretched the weekend we were there, but the large rooms, great views, and central location, make up for a few short comings.	
Aug 29 2009 	This hotel is fantastic. WOW	I stayed at the Trump a year ago and was fairly unimpressed- the staff at the time seemed to be still &quot;getting it together&quot;. WOW - what a difference a year makes. This stay was perfect! Jamie, the bellman, was outstanding. I did not like the original room we were assigned - nothing wrong with it - i just did not like the layout. Jamie called the front desk, got room numbers of three other rooms. He showed us the rooms, arranged for our luggage to be moved and brought us new keys.The in-room dining staff was great. My daughter has a severe peanut allergy and the in-room staff was excellent in removing all of the mini bar items - many of which contain nuts. The suite was wonderful - we had a lot of room for my husband, daughter and i to read and relax. Because we had a kitchen we were able to make breakfast in the suite and not eat out. Having a child with a food allergy makes it difficult to eat out and this room was perfect for us.I would recommend this hotel to anyone visiting Chicago. The location is great - we walked everywhere - Michigan Avenue, the Art Institute, Millennium Park, the old Marshall Fields store. It was a great get away weekend!	
Aug 25 2009 	Great Hotel	I recently stayed at the Trump Hotel in Chicago with a girlfriend for a couple days of shopping. The Trump Hotel was terrific and location couldn't be better. The staff was welcoming and made an effort to make us feel comfortable. The room was large and the kitchen was a nice touch although not used. The robes were wonderful and the beds comfortable. The only complaint was we had a dirty glass (not used by us) sitting on the kitchen counter during our entire stay. I am not sure why the housekeeping staff didn't notice it.We thought we were the only guests in the hotel as it was so quiet. We never heard a door close or any voices. Such a pleasure!We had a city view not overlooking the river that we had wanted but it didn't matter much.All in all, a great stay and would certainly recommend this hotel.	
Aug 23 2009 	Wonderful	Can I live here? I have to say this is one of the best hotels we have stayed in. The rooms are large, we had a great view, the bed is fabulous! The bose sound system is great, fell asleep listening to smooth jazz. Bathroom was roomy with a nice shower, I didn't think I would use the tv in the mirror but it was cool and now I want one. We had a kitchenette that had everything, nicely stocked. The assortment of high end bottled water I could do with out. I had asked for an item to be in our room upon arrival which was not there, I had called down to the front desk and in less than 5 minutes they were at the door. That was the only snafu we had encountered. We visited Rebar which had nice views of the river. Drinks were good but pricey. Checked out the pool, nice, lots of kids. Next time I would love to try the spa services. We just didn't have time this trip. We enjoyed room service for breakfast, everything was cooked perfectly and arrived on time. They have doorbells outside each room that also lights up Do Not Disturb, no more door hangers. This is a pet friendly hotel, the in room menu offers food choices for your pet, I thought that was cute. Overall I have to say it was relaxing, surprisingly quiet, and comfortable. I highly recommend it.	
Aug 13 2009 	A Wonderful Stay	My husband and I, along with our seventeen year old son and his friend, stayed in two rooms at the Trump Hotel during the Lollapalooza Festival. My husband loved the place. He says the building is magnificent. How can anyone find fault with this hotel? Everyone was so kind and helpful. No air of pretentiousness whatsoever.I especially loved the Nespresso machine. It is delicious with cream and a little more water. I am going to buy one when I get home.My little 7 lb. chihuahua/yorkie was greeted warmly whenever he peeked out of his carrier.The bathrobes are warm and cozy. I think Ivanka Trump's TV greeting was sweet and sincere.All I can say is that I have never been to such a great place at such a resonable price. Chicago is a cool city and we will be back.	
Aug 8 2009 	great room great location	just got back from trump chicago- loved the room, booked on expedia, tv in bathroom, comfy bed, and huge room. Hated bathroom toilet, problem with flushing handle, my friends in another room had same jiggling problem. did not love hotel staff at check in- thought she was rude, and long waits for concierge, who often was less then helpful. also, how is it possible that the largest hotel in the city only had one uni-sex restroom in the lobby? Ridiculous. thought the bellman and outside staff great. all in all, loved my room, fitness room great, and would definitely recommend .	
Jul 18 2009 	Donald got it right!	My husband, our 2 teenage boys and myself stayed for 3 nights in July at the Trump Hotel. I looked at almost every hotel available in Chicago before deciding on The Trump. I wanted a memorable time with our family as this was our last trip together before our son leaves for college. I selected the Trump because of it's location, completely non-smoking policy and why not....it looks great on their website! What a fabulous choice... We loved it! We got upgraded to a 1 bedroom suite which allowed us to completely spread out. Amazingly beautiful room.... large bedroom with the most comfortable king bed, living room with tall windows allowing for great views, 2 bathrooms, complete kitchen with big refrigerator.....unbelievable. We took in everything the hotel has to offer. We ate at Sixteen every morning for breakfast. Perhaps it is a little pricy but not that bad. The food was good, service was excellent and the views from this16th floor restaurant were spectacular. We went to the fitness center a couple of times. Top-notch! It was a pleasure to work out with such nice amenities everywhere....individual tv screens on new cardio equipment, bottles of Trump water available, clean and bright room, lots of weight machines, and the views! We also went to the new outside Terrace Restaurant/Bar on the 16th floor. It was a beautiful night and we were lucky enough to get a table. The views of the Chicago River, Wrigley clock and Chicago buildings lit up at night were beautiful. Very memorable! During our stay, we walked everywhere....up and down Michigan Avenue, along the river, to the lakefront.....the hotel location is ideal. We took the Wendell boat ride which we would highly recommend and we went looking for the best pizza (thin crust). By the way, our vote goes to Ginos over Guiordanos! Overall, we loved staying at The Trump Hotel and we had a fantastic time in Chicago.	
Jul 18 2009 	Gorgeous property a few service gaffs.	Stayed here two nights for the first time in July. The hotel is squeezed on floors 14-25 between a bunch of empty floors (office spaces?) and a bunch of empty condo units above. Because of the downturn in the economy the property offers very very competitive rates for being a 5 Star hotel.The rooms are oversized and you'll want to request one on the river side. Understated and stunning interior design. Almost all the lighting is on dimmers and most can be controlled from a panel bedside. Complimentary WiFi in the rooms. The fabrics and choice of woods are really top notch. One thing that surprised me was the bathroom amenities. While oversized, they are rather generic in cheaper plastic bottles and private labeled with Trump. I left them. Normally if they were anything good, such as Bulgari, L'Occitane from the Peninsula or Ritz Carlton, they would have all gone home with me. Not here. They weren't bad amenities, just rather plain and generic. Here's the service gaffs, which I'll blame on the housekeeper. The bathroom scale didn't work. Why? The battery was dead. The small tv built into the bathroom mirror was inoperable. Why? The tv hadn't been scanned to set up the channels. The light on the desk didn't work. Why? The lamp was defective and they had to change it out.Who knows maybe I was the first guest ever in the room, but had the chambe maid done a simple check these things could have been worked out before a guest arrival. Oh well.It's a stunning hotel. The gym and spa occupies an entire floor. I have been in some of the nicest hotels in the world and the gym here is one of the nicest I have encountered. I did not use the spa. Extraordinary rates and I wasn't going to pop for the cost without seeing some reviews of their services.The food service was good, not great, certainly at the top of the Chicago market. I would encourage people to eat elsewhere. Chicago is known for its famous restaurants such as NOMI, Alinea, Charlie Trotter's etc. There's no reason to pay Michelin style prices for common food. Get out in the city and enjoy the food. The bedding and pillows are amazing. One of the nicest beds ever, they really do it right and if you're looking for a great nights sleep this is it. The room also had a semi stocks kitchen almost like a little time share with a two burner cooktop, sub zero refridgerator, crystal barware, etc. The had a large well stocked mini bar complete with Trump chocolate bars. You'll also find Ivanka's jewelry line hawked in a magazine and postcards in the desk. It's an interesting experience. This is the time to visit this hotel before the economy strengthens and they raise their prices, which I assure you will happen as occupancies build.	
Jul 15 2009 	Wow!	If you have the money, this is definitely the place to stay in downtown Chicago, right on the river. Everything was first class and priced accordingly. Maybe the best breakfast I've ever had, but cost including tip was $80.00.	
Jul 13 2009 	Wonderful hotel take my word for it!	My wife and I went to Chicago for the past weekend and we chose the Trump for the most part because of the great reviews on this site. I can tell you that the reviews were completely accurate and this hotel is really something else. From the hand towels on check in to the televsion in the centre of the bathroom mirror to the gorgeous huge hotel room, it was a wonderful weekend in luxury! Don't forget the location which is actually a block or so away from Michigan Avenue, which is actually perfect because you are right in the middle of everything, but a touch away so that you don't hear the noise. I was most impressed by the fact that the manager took the time to comment on each review, again all class! I just can't see how you can be dissappointed!	
Jul 10 2009 	Great hotel but pricey	We stayed for a weekend in March when some of the hotel was still under construction. The lobby was very nice, modern and clean. The location was great to visit the magnicificant mile and being right on the river we had a great view of the lakeshore. The rooms were comfortable with great mattresses and the option of your choice of pillows. The gym was nice and they offer your headphones to use on the tv's that are on the fitness equipment. Though the views were of a building next door that was pretty much an eye sore. The coffee in the lobby was amazing, being a coffee snob it was a nice detail for them to include. The showers were truely bizarre though, in order to turn the shower on you had to get into the bath tub that was next to it so you didn't get sprayed with cold water when it turned on. Wish I had a picture of it, because it's hard to describe but let's just say it was a major design problem. Another odd thing was the Bling water in the room, now I know that people like bottled water but do I need a $25 bottle of water with Swarovski crystals on it?! We chose to use the valet while we were there for $45 per night, which we would probably not do again as the self park is very close by. We didn't eat at the restaurant in the hotel, but took a tour and it was very nice. We were recently in Chicago again and it looks like the gardens next to the hotel are almost done, which will add a nice accent to the hotel.	
Jul 7 2009 	Great Hotel - Service Lacking	The new Trump International Hotel and Towers in Chicago is a beautiful hotel with a great location, but the service definitely has room for improvement. The room was very spacious and nicely decorated, with a very nice bathroom (although the TV in the mirror seems pretty useless and takes away from the surface of the mirror you can actually use). There was also a water menu in the room with several overpriced bottles of water which were kind of fun to look at, but not sure who would actually want tot drink them. The spa and pool area is very nice but there seems to be something missing from the pool area; maybe some plants or an attendant or a drink menu; seems kind of remote and impersonal.The restaurant Sixteen offered an impressive and delicious brunch buffet on Sunday and the views were amazing. Location is excellent and just a quick walk south to Millennium Park or one block east to Magnificent Mile. I wouldn’t hesitate staying here again for the right price, but don’t expect the kind of service you would receive form the Four Seasons or peninsula (and the rates reflect this).	
Jul 1 2009 	Great Hotel! 5* Service! Great Location and Views!	We just got back from 3 nights at the Trump Hotel in Chicago. We got one of their summer specials - stay 2 nights get the 3rd night free. We stayed in a 1 bedroom suite which was enormous and big enough for all 4 of us. Best luxury in the room - the TV located INSIDE the bathroom mirror! Floor to ceiling windows and a fireplace plus a kitchen (stocked with all sorts of drinks and snacks if you want to pay their prices - also they will grocery shop and stock it for you with your favorites if you want). If you are traveling with kids ask for the Trump Kids extras - bathrobes, slippers for kids, backpack, business cards with the kids names printed on them, cookie &amp; milk upon arrival (cookie plate had their names spelled out in chocolate - I wont lie to you this was their favorite part about the trip!), an X-box and age appropriate games. It was my husbands birthday and there was a nice cake in the room upon arrival too. We felt so pampered! Every staff member was amazing and helpful. The hotel location is great - right next to the Wrigley building, the views were awesome - try to get an east facing room with views of the lake. The pick up stop for the Chicago trolley was just a block away. Cab rides to the tourist locations (Sears Tower, Field Museum, Ditkas Restaurant) were $10 each or less. You can walk to the Navy Pier but its a long walk - about a mile - and it was 99 degrees when we were there so we took a cab. There is also a free trolley to the Navy Pier about 2 blocks away. The pool has great views, and the locker rooms have a steam and sauna, showers etc. They were just finishing the outside touches and furnishing the upstairs condos (the lower floors are a hotel, the rest of the building are condos) but there was no noise - earlier reviews talked about the construction noise but that is over. We didnt eat at the restaurant (so many great ones nearby) but the views of the river and lake front were outstanding. We didnt use the Fitness Center (no charge) but the views were amazine - looking out over the river and huge - lots of machines. The service was better than I have ever experienced.	
Jun 25 2009 	Amazing luxury experience in the heart of Chicago	We're from Chicago, and we had received a gift certificate to the hotel for Christmas. We decided to spend the night after an event we were scheduled to attend. The lowest class of room was sold out, so we bumped up the level a bit. When we arrived, we were unexpectedly upgraded to a gorgeous, spacious suite with an amazing master suite, 2 bathrooms, a full kitchen, and a living room. The room was, in a word, glorious. Every last detail was addressed, and we thought that the experience was amazing. We had friends come over for appetizers and champagne prior to the event, and we felt like we were entertaining in our own home. We'd move in if we could, river view and all. Great experience, and when we want to splurge, we'll definitely come here again.	
