	Good downtown business hotel	Great location, reasonable conference rates, small but clean &amp; tidy rooms, free wireless at a business hotel! Convenient to Blue Line Jackson station	
Sep 6 2009 	Would certainly stay again - business or travel.	I am handicapped and had a great stay. The staff was great, especially Joseph, he was very attentive and helpful. I am from Minnesota and they always say Minnesota nice. Well............between Club Quarters, and the attached restaraunt Elephant and Castle (E&amp;C), we had the best customer service that I have ever witnessed. All staff at E&amp;C were courteous and went above and beyond. However, one name that stands out is Matthew, he went the extra mile to help me when in need. The bed and the pillows were great. I would love to know what brand they were. The only down side was there was a loud banging every night. I am unsure where it was coming from but it woke me in the night and I am partially deaf. I would like to thank the staff at Club Quarters &amp; E&amp;C!!!!!!!!!!!!	
Sep 5 2009 	GREAT PLACE	Rooms are smail; so if you plan on spending a lot of time in the room, don't bother. But very clean, great location and nicely decorated. I paid less than $100 per night - a terrific price. It is a short walk to Union Station and to Grant Park and to the subway lines. I will be back.	
Aug 31 2009 	"Central" to downtown business district!	I stayed on a Thursday night, and then again on a Saturday. Staff was friendly and helpful. Rooms are small, but accomodations are clean and comfortable; besides, how much time do you plan to spend in your room anyway? The common areas (business and lounge) were very nice &amp; spacious. The English pub on premises, the Elephant &amp; Castle, has an excellent selection of beer.The hotel is 3 blocks away from The Chicago Institute of Arts &amp; the Sears Tower; 5 blocks from Buckingham Fountain. The Blue &amp; Red Lines are only a couple of blocks away. Free wireless access, but network is kind of spotty, and sometimes difficult to connect to. Overall, a very good value.	
Aug 27 2009 	Very pleasant stay	When we arrived at this hotel we noticed a sign offering room upgrades for $15 a night. We did not take advantage of the deal until we saw our room. The lower portion of the window was frosted and the room was exceptionally small. It did however have a nice size desk and free internet access. Later, after occupying the room for a bit we asked if we could upgrade. The desk clerk said yes and booked us in a room with a bed, couch, table, fridge, sink and microwave. Probably 3 times bigger than the first room. The room was clean and well stocked with plates, flatware, iron and ironing board. The free filtered water was also a plus. The restaurant connected to the restaurant was very pleasant and staff at both the restaurant and hotel were wonderful.The hotel is only 5 blocks from Union Station and as a previous reviewer stated, less than 2 blocks from the &quot;L&quot;. Lake Michigan, Grant Park, Millennium Park and other attractions are less than a mile away. I would definitely stay here again.	
Aug 27 2009 	Small but modern.	Stayed at this hotel on our last trip to Chicago. We picked this hotel because it was the one with the most reasonable price (hotels in Chicago are expensive!). The hotel is modern and looks pretty new. The rooms are very clean but small. However, we were rarely in the room, so that didn't bother us. The staff was very attentive and helpful. They also provide you with free bottled water which is an unexpected but welcomed amenity. The hotel also has free wireless and you can also print for free! The location is a plus because it is very close to almost every subway line. During the day, there is a lot to do around that area but at night it's kind of dead so keep that in mind.	
Aug 17 2009 	Unorganized Staff Resulted in Security at Our Door	Because of a late flight home, we paid for an extended checkout, an additional 3 hours for $35, however this was not communicated to the cleaning staff who came by to clean our room around the normal checkout time. We explained that we paid for an extended checkout and went back to sleep. I don't know if the cleaning crew did not check with the front desk or exactly what happened, but an hour later security came to our room. We were charged for the extended checkout so it is unclear why or how there could have been a miscommunication, and given the interruptions it was not worth the money. Otherwise the hotel was fairly represented on their website other than that the rooms were smaller. The hotel also had convenient do-it-yourself water bottles on each floor - much better than paying the $4.99 you would be charged for a typical water bottle out of a hotel mini-bar.	
Aug 15 2009 	Avoid if you want a decent place to stay!	I was so excited after booking this room through name your own price after seeing the hotel's website and the decent reviews on the internet. Excitement led to disappointment after stepping foot into my room. The room is best described as a broom closet with a small (1' by 3') frosted window. No real light got in which made the room seem even smaller and more closet-like. The bed was queen sized, as expected, but once we got in the bed we realized it was lumpy and slanted. The duvet was also so disgusting it actually stuck to my hand when I moved it. The floors were of the same sticky consistency, I had to wear flip flops when I walked around. Ick! The bathroom was acceptable. The TV was, at most, a 20&quot; screen that was difficult to view from the bed because it was so small. Things that I think should be in the room upon check in like extra pillows (there were only 2 in the room) and an iron/ironing board (this IS a &quot;business&quot; hotel) were stored in a &quot;guest request closet&quot; on each floor. Luckily there was an extra blanket and pillow as well as an iron, but no board, when I checked the closet. If someone went after me they probably didn't get what they were looking for.This hotel has a pretty good location. Right in the middle of the loop, you are close to most things you would want/need to do for business or leisure. The availability of restaurants/bars (except the hotels, of course) around the area after 9pm isn't too great because it is a very business oriented area. There are some great restaurants over on Michigan Ave, about 5 or 6 blocks away. For more ethic restaurants you will probably need to take public transport, of which there is plenty near the hotel. The blue/red/brown/orange lines are within 2 blocks and there are buses all around. The parking is $20/night self park validated by the hotel or $38/night valet. We self parked, the garage is well patrolled and we didn't have any problems. The price is decent for the area too. The common areas are nice and the fact that they have free in room printing was helpful, even though their printer (used for the entire hotel) was out of toner after 1 page printed. They also have free bottled water, you bottle it yourself in a common area. This place could be much better. The rooms are too small and too bare. I wouldn't even recommend it to business travelers who would be spending little time in the room because of the cleanliness issues with the floor and duvet and the lack of an in room iron/board and the crappy bed. We will never stay here again!	
Aug 1 2009 	Nice hotel for business travel	Overall a nice, cozy stay. Rooms are small and dorm-like, but have a pleasant decor and comfortable bed. Purified water dispensers with free bottles on every floor - this was a nice touch. Friendly staff. Hallways very narrow, dark and maze-like, and bathrooms have absolutely no counter space (odd design feature meant to make the bathroom look larger?). Morning room service very difficult to order due to busy phone lines - but menu was good, and apparently popular. Local restaurant delivery available, and can be conveniently charged to your room. Secure elevators require key card to access guestroom floors. Great restaurant with popular bar accessible from lobby. I was mistakenly placed in smoking room upon arrival - it smelled terrible, had small, jail-like windows, and was tiny. Staff moved me to a non-smoking room immediately - room was much larger, clean, bright, and had a large window. Overall, great for business traveler - very comfy to come back to in the evenings and desk had good setup, along with charging station. Wireless internet worked fine. Not kid-friendly - wouldn't recommend for a family or romantic getaway. Would be good for girls' shopping weekend. Great location and close to tons of shopping and great restaurants.	
Jul 28 2009 	Great hotel would stay there again for sure	This hotel was perfect for my 2 days in chicago. It was right in the middle of the downtown, a couple minutes walk to the trains and the Sears Tower and a 10 minute walk to the lakefront. The hotel was really clean and the front desk staff was very helpful. My room was small but is more than enough for 1-2 people and was very quiet. I got room service both days for breakfast and there was plenty of variety from around $10-$15 (including service charges).	
Jul 26 2009 	Absolutely horrible customer service.	The room was exactly what was expected. No better, no worse.  The staff was rude, and showed no concern for our comfort or desires. Just a few examples of the many problems that we encountered: At one point, we called downstairs for more pillows. We were told that someone would bring them right up. After waiting for over a half hour, we called down again and were told that they were out. When I asked why we were not informed the response was a cool (if not sarcastic) &quot;I'm so sorry ma'am&quot;.  One of the other problems that we encountered was our room key never seemed to work. Five different times we had to go to the desk to get it fixed. Each time seemed like a huge inconvinience for the staff to fix.  There were many times when we would need to speak with someone at the front desk and would have to just stand there and wait. Never would they acknowledge us until they had finished doing whatever they were doing at the time. I would never stay here again or recommend it to anyone that expects good service from a hotel.	
Jul 24 2009 	How on earth does this place get so many 4's?	I booked this hotel for a single night based on the strength of the TA reviews, and boy was I disappointed. Having used TA to guide my stays around the world, this may have been the biggest disconnect between reviews and reality that I've ever encountered.The Good: location; ease of check-in / check-out (fully automated); room was quiet; front desk was quick to resolve my complaint of missing shampoo.The Bad: booked a &quot;suite,&quot; and got something more like a studio efficiency (which was dark and cave-like); room smelled of mildew, which wasn't surprising given the visible mildew on the shower stall; no shampoo in the bathroom; somone else's hair on the toilet seat; bed was inferior and springy; 5 AM wake-up call was delivered at 4:30, robbing me of 30 minutes needed sleep; wireless internet, while free, was crawlingl slow; knob missing on one of the bed-side lamps; hallways of the hotel are bizarrely hive-like, with a very claustrophibic feel.While the place was cheap in terms of the rate, sometimes you get what you pay for. I can say with certainty that gven all the other hotel choices within a six block radius, I will never stay at this place again.	
Jul 23 2009 	Great location	Club quarters is a good deal for it's location. Right in down town chicago, you can get to Michigan Avenue , Millineum Park and Navy Pier really easily. Free interenet connection was very good, and on each floor they had a useful filtered water dispenser and bottles to fill up and take with you on your travels.Only down point is that check in desks are always very busy.There is a really nice diner right near by too , which I would recommend for breakfast.	
Jul 22 2009 	The worst hotel I've ever stayed in	We came to chicago for my birthday and stayed in Club Quarters Hotel. Seemed nice when we first got there. Then we get to the room. Extremely small, one chair, they said a queen size bed, but was pushing a full size bed, not sure it was even that big. The room wasn't exactly spectacular clean, our remote control was filthy dirty and barely worked, and when we asked for a new one the lady downstairs said with a breath and bit of attitude, ok someone will bring you a new one. No I'm sorry for being discusting, nothing. Also, you would think with what we paid for the room that we would have gotten a view, nope. The view was of the building next to us. It was just all around the worst hotel stay I have ever had. For what this place says it is, it is definately not. It is truely a total dissappointment. I will never stay there again, nor will I recommend it to any of my friends.	
Jul 20 2009 	Great Location Clean Good Ammenities but Small Rooms; Great Value	This was my first stay in a Club Quarters hotel, and I was very impressed. It was clean, the staff was pleasant, and it had nice ammenities - free internet, free bottled water, etc. The restaurant/bar downstairs was decent enough, and seemed to be pretty popular among non-hotel guests. The location is fantastic, near every train line and easily within walking distance of all the downtown attractions - the river, Michigan Ave. / Mag. Mile, the Art Institute, Grant / Millennium Park, etc. The only downside to this hotel is the small room size, but in my opinion I'd rather have a small, nice room than a large, poor-quality room. For the price I'm not sure you can get more bang for your buck in a city as expensive as Chicago.	
Jul 19 2009 	Close Quarters - the room and Everything in the loop	The rooms are compact, but well laid out. The bathroom is small, but functional. Our view was of an alley, but what do you expect if you stay within the loop? The valet's were great. It cost $30 for each 24 hours with in &amp; out privileges. They asked that we give them 20 minutes notice when we needed the car. You could also self park for around $20, I have no idea where, since we did not see a lot within a block of the hotel in any direction. It was not noisy! We were just off Adams Street and had the leader of a marching band (college or high school?) in the room next to us. The only sounds we heard was when the band members left his room at a respectable 10 PM and when he left about 7:30 AM. When we saw the band check-in, with instruments we laughed about, &quot;Hope they're not on our floor.&quot; When we went to our room and saw them squeezed into the room next door and spilling into the hallway we laughed out loud at our &quot;luck.&quot; But they talked quietly and did not disturb us.Several interesting reference/list type books in the hotel room.They stock the room for a single guest, so we requested a second set of towels/washcloth. They were delivered in less than 5 minutes. There is a closet on each floor with an iron, ironing board, and other items a guest might need.It was the best hotel bar ever. Which may be unfair, the bar has a street entrance and a private hotel entrance. There was a large crowd at 5 PM on Friday, probably downtown workers letting traffic subside while they have a drink. We had drinks when we returned about 9 PM. They have some single malt scotches, but we saw bigger selections at places that did not advertise themselves as a single malt bar. The waitress was personable and hopping to keep up with the full bar.	
Jul 16 2009 	Great Hotel For The Price!	We Stayed here during a shopping trip to chicago. Although the room was really small it was big enough for two women and ALL their Christmas shopping bags (and thats saying alot!) The price and location of the hotel made up for the room size.	
Jul 4 2009 	Wonderful customer service 	I was apprehensive about staying here, what with the extremes on the reviews (either great or very bad). Stayed 5 nights with a rate that I got on Orbitz (cheaper than calling the hotel, where you will reach a person in New York during regular hours); this hotel has corporate accounts, but I wasn't part of any company--just a tourist. Check-in took maybe 90 seconds--unbelievably easy, and automatic. I asked for a room as far away as possible from the smoking floor, and that request was accommodated. Yes, their rooms are small, but still larger than most rooms in European hotels! Nice desk with cables for your computer. The room was very clean and bed linens were crisp. The lighting could have been brighter, but, as usual, hotel lighting never seems to be bright enough in any hotel room, for my tastes. The lighting in the bathroom was great, though. No bathtub, just shower (fine with me), hairdryer. There is cold filtered water at the elevator end of the halls, where you can fill your water jug (they have the containers there). If you don't want to bring your computer--they have several in their spacious business center (open all the time), and you can even print out things following their instructions on how to do that. The fitness room was nice, with 2 TV screens in it so you can watch TV while on the treadmill or whatever equipment. I used it daily, and there might have been 1-2 other people in it at the same time. They had a stationary bike, elliptical trainer, 3 treadmills, a couple of weight benches, free weights, and one of those multi-purpose weight machines.I only ate once in the restaurant next door (Elephant something). They open at 6:30 AM; I thought breakfast prices were a little steep, but service was very good. When I walked by there in the evenings, there were always people in there. You can get breakfast for less in a couple of places within a block. Within a 2-block radius, there were 4 Starbucks that I counted and 2 McDonald's. There is a 7-11 across the street where you can get fruit. The front desk staff was SUPERB. Very personable, professionally dressed, and people who know what customer service is. I was going to be out when I needed to print a boarding pass, and I left my info with them, and it was done exactly as requested. They will also sign you up for various tours, which is a good idea (prices are same as if you had done it yourself), as various times for the popular tours sell out, and you are basically guaranteed a space. (Plus, you just charge it to your room, and you have a neat accounting of your trip.) The hotel appears quite secure--the elevator does not move until you insert your room card into a slot in the elevator and then you can press your floor number. Upon arrival, I took the CTA Orange Line train from Midway Arpt down to Quincy Stn (about 1 block from the hotel). That would not have been a problem except for one thing: There are no elevators for the most part at the old stations in the loop (the rectangular run of trains downtown). So I had to haul the large suitcase down more than 40 stairs on 3 flights of stairs (not an easy feat for someone with a purse and tote bag, too). If you want to take the train in ($2.25 vs. $22 airport shuttle), then get off at the Library station on the Orange Line, where there IS an elevator. (This will be a little longer walk, maybe 3 blocks.) Get your maps and other &quot;tourist&quot; brochures at the airport right in the same area where you get your baggage. You must purchase a fare card to get on the train. The fare card machines do not give change.The Sears Tower is 2 blocks away, Millenium Park is 6 blocks and Grant Park a little less. To save money, print out the &quot;free attractions&quot; in Chicago from one of the websites (can't remember which one). You can get the trolley at the Sears Tower location--go on the &quot;Signature Tour&quot; and hop on/off wherever you want. There are actually 3 tours on your ticket, so allow an entire day for it. You can walk to the Institute of Art (a must-see) from the hotel easily, and it is free from 5-9 PM on Thursdays. (You can take photos of the permanent collection but not of any exhibitions.) By taking this trolley tour, you can see where you would like to spend more time. Take the Architecture Cruise Tour (90 min., $36 adult, $31 senior). As for dining, there are lots of places (including the usual McDonald's, Subway, Dunkin Donuts, and many more) within a block of the hotel. For evening dinner, consider the Italian Village (1 1/2 blks northeast of the hotel, on Monroe), the oldest Italian restaurant in Chicago. The decor is very nice, and there are 3 levels of dining. Prices run $13+ for an entree on the main level, and the bread is delicious, too, and superb service. My friend and I split a salad and an entree, and the restaurant was happy to do that for us. Another place with wonderful food is Riva Cafe on the Navy Pier. Eat upstairs if noise bothers you (which I did); the view is much better, and you can listen to jazz music (not live, at least on Thurs night). Service there was superb. The mussels in the garlic sauce were perfect. There is a beautiful stained glass gallery collection in the long building where the Riva Cafe is, that is free. I also had afternoon tea at the Russian Tearoom, which is about 4 blocks east of the hotel on Adams, at the corner of Michigan and Adams. Very nice decor, and superb service, too. Nice selection of teas. The 3-course tea (savories, scones, and sweets) is average in taste. Their house blend of tea was delicious, though (berry flavored), and the little guy would refill your cup the moment you took a sip. This hotel is wonderfully located, and I walked everywhere, including to the Navy Pier, which is 2 miles away. Check to see what is playing at the Bank of America theater, which is 1 1/2 blocks from the hotel. I saw &quot;Jersey Boys,&quot; and that was excellent. I was able to get a half-price ticket the day of the performance (paid $30), and said in the next balcony up from the main level. (Restooms are on the basement level, though!) Shopping is 4 blocks away up and down State Street and then onto the Marvelous Mile along Michigan Avenue. Stores on State, I noticed, were staying open until 8 PM. Finally, don't leave Chicago without taking the Green Line train (&quot;L&quot;) to Oak Park, and touring the Frank Lloyd Wright home and studio and taking the self-guided walking tour (which is available in several languages) around the home. Beautiful victorian and Prairie style houses. The ride from the Loop is about 45 min. The food at Winberie's is very good, as is the service. It is across the street from Scoville Park, where there was a free music concert with a great band. (You would have to check schedules for the entertainment.) One last thing--there is absolutely no need to rent a car in Chicago. Besides, parking rates ran $16 for 20 min., and more than $30 a day at the garages. The parking for CQ is 2 1/2 blocks away! (I did not have a rental car.) The Chicago public transportation system is great. You can go online to www.transitchicago.com to get directions on taking the train/bus to anywhere. But as I said, I walked everywhere (and I am a senior citizen), between 4-6 miles a day. All in all, a wonderful hotel stay made more so by a friendly and customer-service oriented front desk staff, and a location quite ideal for tourists who want to be able to save money by walking to various Chicago sites.	
Jul 2 2009 	Great location and good price	Room was dark but comfy. They had good facilities including wifi and auto check in. Would definitely stay again.	
Jun 24 2009 	Solid but not great	I had two lengthy stays here for work, in September 2005 for four weeks and in January 2007 for two weeks. It's a pretty good location in downtown, within walking distance to the Sears tower, Grant Park, Michigan Avenue, and a number of businesses. It's also only a few blocks from the &quot;L&quot; subway system. On the downside, being located in downtown, the area is often pretty dead during weeknights and some of the nearby restaurants are not open for dinner. The Elephant and Castle Pub next to the hotel is convenient and good for drinks but the food is only average (English Pub food).The rooms were a decent size for downtown and had the usual amenities - TV, internet, etc. Some rooms have slightly weird layouts, but none are bad. The bathrooms only have a shower, no tub, if that matters. Most of the views from the hotel windows are facing alleyways and adjacent buildings.Overall, it was a good location for a business trip and is reasonably priced but it probably wouldn't be my first recommendation for a hotel in Chicago.	
Jun 21 2009 	Great value!!!	The Central Loop Hotel is located in the financial district of downtown Chicago about 1.5 miles from Michigan Avenue. We found that we could go to the Navy Pier,Michigan Avenue for $7-$10 per taxi ride. It is not the Westin or the Omni but it was great for what we needed. We had a one room suite with a kitchenette. It had a over the range micro,u-line refer,two burner glass cooktop and a number of small appliances. We paid $115 per night. It was a bargin. The service was excellant. It was great for sleeping and being close enough to all the attractions that $115 a night was much better that $300 a night. You can take a lot of cab rides if you get my drift. It is worth your time to check out. Walgreens and CVS stores within a block of the hotel. There is also a 7-11 kitty corner and a Pot Belly sub shop two doors down. Pot Belly subs rule. Taste great and were cheap. This is a great hotel for the budget traveler.	
Jun 6 2009 	Great location!	My wife and I spent 3 nights at this hotel at the end of May 2009. It's location made it perfect to walk to various attractions, such as sears tower, Magnificent Mile etc, within 15 minutes! The rooms are sizeable and, for once, the beds are comfortable. The Elephant &amp; Castle pub is next door, with great food, good beers and great staff. I would recommend this hotel to friends and family, but if you're looking for total comfort, look elsewhere. I would say this hotel is for a 2 or 3 night stay and no longer.	
May 31 2009	Good Price Good Location	Stayed a couple of nights at the Central Loop hotel as part of our road trip across the US, The hotel provided a good location to visit Sears Tower (discounted tickets available from reception) and other Chicago landmarks. Check in was very quick, the room was a good size and clean, complimentary water and coffee. My only criticism would be the walls lacked sound proofing as we could hear the TV from the adjacent room a little too much at times. All in all though, a reasonable price for a good location.	
May 26 2009 	Spend a few extra dollars and go somewhere else	Me and my fiance' decided to get away just before our wedding. Club Quarters offered a reasonable rate at a well situated locale...The good...check in was fast and the, tall, blonde haired guy working behind the desk was accomodating and super efficient...Kudos to him. Unfortunately, everything else was lacking. Rooms were of substandard condition. Due to the age of the building, the walls did not have sound proofing. The doors also were without air compressors so that they would slam when closed. I tried to take a nap about 3:30 and all I could hear were kids and adults slamming doors and running around. The room also had a thermostat which would seemed to be non-functional...Me and my fiance froze our butts off even after raising the temp to its highest level. I have seen better bathrooms in 3rd world hotels and no tub. My fiance got a workout moving furniture just so that she could find an outlet for her ITouch.We then decided to go get some pizza at Bucina's(sp?) which we saw in our hotel's restaurant advertisement book. Well, I asked for directions from the girl at the front desk who circled its approximate location. In reality, all she had to say was that it was at the Club Quarters north location which was clearly on the map. Thanks for having us walk in circles for 30 minutes....At the time of our checkout, we decided to get some breakfast at the English pub next door. Don't even bother. We were hoping to get in and out fast so that we could get to the Field Museum...No such luck.. Waited for 15 minutes...no service I finally had to &quot;tackle&quot; one of the waitresses to find out what was going on. The end result was $6.00 for orange juice I never ordered, one slice of toast with the food, the orders were wrong, and stiffed when I paid the bill because the manager said there was no change? I actually went into the hotel to tell the front desk what happened and the girl who was looking gave me a beautiful smile and a blank stare. Unfortunately, there were few restaurants open on Sunday near the hotel otherwise I would have ran for the hills. In the case of the hotel, I ran for the exit.	
May 24 2009 	If all you need is a room - this is fine!	Stayed here for two nights on business in late may 2009. Hotel is well located in the Loop, 10min walk to State St and Grant Park. $35 in a cab from O'HareSmall, simple reception, all about getting you into your room fast. They do not offer much more there. Rome - decent sized, clean, simple and quiet. Bathrooms won't win awards for style, but were spacious and clean. No fridge, which is a let down if staying long and you would like to have water etc handy. TV in room with ESPN/News channels and the rest of the free view stuff. Comfortable bed too.Vending machines in corridors for snacks and free filtered water also!Elephant and Castle pub attached to hotel is busy at night time, with sport on screens and very good barmen. Reasonable priced for city centerBreakfast is served in the pub and was nothing special, but plenty of choice, If bringing my girlfriend, I would probably stay somewhere a bit better, like the W Hotel across the road, but for business, and if you are not spending much time in the Hotel, this is perfectly fine and I will stay here again.	
May 19 2009 	Best location	Stayed here for a 4 days and was extremely happy with the location and the hotel. Room was comfortable and clean. Loved the free filtered bottled water in the hallway. Staff tried to help me get some hard to get tickets but we had no luck. Close to everything I wanted to see. Had lots of fun trying to recreate Ferris Bueller's Day off!The shuttle bus driver didn't know it was called the &quot;Central loop hotel&quot; but this was easily rectified.	
May 4 2009 	Solid Stay for the Money	My wife and I and friends stayed at the Club Quarters Chicago-Central Loop on May 1-3, 2009. It has a great location (southwest corner of Clark and Adams) with recently renovated rooms and lobby (2008). Yes, as other reviews have said, the rooms are small, but we didn't come to Chicago to hang out in our rooms. Everything was clean and well-maintained, and having the refillable bottles of purified water was great before heading out on walks to various destinations. Staff were courteous, and responded immediately to our friends' request for a working TV remote and ours for a blanket.My only gripe is that their garage validation evidently didn't take on the garage pass, and our friends were overcharged $26 when, after they asked help on paying, the garage attendant grabbed his credit card and the pass and rang up the bill on the self-serv machine before we caught the overcharge. So we're now working out long distance getting back the money.	
Apr 29 2009 	Had a great stay	I recently stayed at the CQ for the weekend and couldn't say enough good about the hotel. It was the perfect location and the price was great. I could walk out the door in either direction and be right around the corner from where I was going. I walked to Michigan Avenue, Grant Park, and Millenium Park. within 10 minutes. Not to mention the free wireless internet&amp; you are within 1 block of the L train. There were plenty of pubs/restaurants very close by. The hotel room was small, but very clean and sufficient for what I needed. I enjoyed having the mini-fridge, sink, and microwave. The check in/out took less than 5 minutes!!! They do charge you a deposit for incidentals..that they forgot to tell us about., but it was refunded immediately upon checking out. I would definitely stay here again.	
Apr 29 2009 	Great location at a great price	My husband and I stayed for four nights. We loved the location--we flew into Midway, took the orange line in, walked a couple of blocks, and there was the hotel. It was also within walking distance of loads of great buildings and good restaurants. The room was small, but very well arranged to the size didn't matter. Our only complaint--smoking's allowed, so sometimes there was the smell of smoke in the hallway.	
Apr 27 2009 	Very nice and relaxing	My stay was execllent, I was there with my daughter whom had a seminar to attend. The location to everything was great.I do have a question for you lost and found department. We stayed in 939 and I am wonderingf if a stran of beads may have been found after we left. They we 16 inches long and pink and white in color and about 1 inch in size each one. If found I will pay to have them sent to me.,... [--] Thank you	
Apr 18 2009	Great location great price	I chose this hotel because it was recommended by the college my daughter was visiting. The location and price was very good. It is just a couple blocks from the &quot;L&quot; so we were able to take the Orange line from Midway airport to the Loop easily. The room was comfortable, quiet and I would definitely stay here again and recommend it to others . However...the horrific overpowering cigarette smoke smell that permeates the 3rd floor of the hotel may make me think twice about that. Housekeeping tries to mask the smell with some sort of freshener which only makes the smell worse. So for future reference, ask for a non smoking room/floor.	
