	Just OK	You can tell they are cutting back. I know times are hard but when you charge $300 you expect fast service. Room service took way too long and I was late for my meeting.	
Oct 11 2009 	exceeded expectations	we live in Chicago, but wanted a weekend to just &quot;getaway&quot;, and ive always wanted to stay at The Drake, so he called and booked a weekend there a week before we went. We checked in around 6pm that friday (after work, of course!) to find that we were upgraded from our junior suite to an executive suite! The hotel is a historic hotel, a classic with old-skool furnishings. It truly is a beautiful site to see! (for those looking to stay at a *modern* hotel, this is NOT the place for you, unless you can appreciate what some have called &quot;grandma furnishings&quot; in other reviews...). The elevators have little couches in them (which gave me a good laugh) and i forced us to sit down on them every time we were in the elevator alone (no man in his right mind would do this publicly :) ). Each design in the hallway all the way down to the room was so detail oriented, you can tell the craftsmanship was of great quality. The hallways were nice and wide, no need to struggle getting down as you pass others on the way to the room. The room was FANTASTIC! It was a corner room with a lakeview. The parlor was huge with a couch, armoire (tv inside), large desk, and a table with 4 chairs. Then in the next room was the bedroom which had a king size bed that was SOFT and lovely, full with at least 6 pillows. Next room was the bathroom which had marble stairs leading up to a jacuzzi tub that could probably fit 4 people in it, a seperate standing shower and a double vanity. It was def a spacious, romantic room and we were pleased. Lots of towels available for use too, big towels, not the small ones that barely get around your body! The only thing I noticed was that the TVs were very outdated (had to at least be from early 90s), as well as the telephones... however, I can maybe see why as it keeps the &quot;old character&quot; of the hotel intact. I can appreciate that kind of stuff, esp when its creating the old-Chicago feel!Location wise, the Drake really is centrally located within the Mag Mile. Its one block north of the Hancock Tower and Water Tower Place, with ample shopping, a stone's throw from the beach, and a good walk to Navy Pier if you'd really like.We ate at the Drake Brothers Restaurant in the Drake every morning, as it was part of our package. Without the package, a breakfast buffet for 2 would cost $52, just to serve as an fyi. Some may say over priced, but why would you expect anything less from a 4-5 star hotel??? The food was delicious with a wide variety to choose from.Concierge service in the lobby was nice, very informative (to the people in front of us, at least) and was able to provide me with a bandaid when I asked for it - thanks Andrea!I loved this hotel and would suggest it to anyone coming in for a visit that wouldnt mind splurging on a nice hotel. :)	
Oct 10 2009 	good time at the drake	We just got back from our trip to chicago/stay at the drake. this was our first trip to chicago. we agree with most of the previous hotel reviews. a beautiful hotel with an incredible history. the lobby and upper restaurant/bar are amazing and elegant. the food and service was great. we had one of our best meals at the Coq d'or bar downstairs. we stopped for there for a drink almost everynight and they had live music every evening. that was wonderful. everyone that worked at the hotel was helpful and friendly. it is also a good location. right across the street from bloomingdales. macy's is 2 blocks down the street and the john hancock building is next door. we only encountered two problems our entire stay.1. we prepaid for our hotel room ($247 usd for an executive suite room-10th floor) and it wasn't ready when we arrived at 8 pm. they said it wasn't cleaned yet, and then a few minutes later they said they was a maintenance problem. so they put us on another floor in a smaller room (with a lake view). which I felt was a down grade from what we had initially paid for. the next morning we went to complain and they did immediately, without hesitation put us in the room we had previously requested/paid for. the executive room was very large with a couch/sitting area, king bed, desk and chair and 2 closets. we were very happy with the room. the private lounge was also very nice. it had a lake view...with a cold breakfast buffet included with the price.I guess the main point I want to make is that PREPAID / PRESELECTED ROOMS DOESN'T GUARANTEE you anything. I was under the impression that the room we had prepaid for would be held and ready for us upon check-in...not the next day.2. my other problem is that my hotel room card was deactived the morning we were leaving. I left our room around 9 am and I couldn't get back into our room at 10 am. check-out isn't until noon. luckly my husband was there to let me in. what if I was alone and stepped out for a second in my PJ's...how embarrassing that could of been!overall, we enjoyed our stay. the rooms were very clean and the bed was extremely comfortable. if you appreciate history and elegance this is a great hotel. a must see.p.s. we give it a 4* instead of 5* due to the room issues we had.	
Oct 9 2009 	Loved our stay at the Drake Hotel	My husband and I traveled to Chicago for our 15th anniversary and stayed at the Drake Hotel after doing some searching for a great hotel at a reasonable rate. We received exactly the deal we were hoping for and more! We took the train from Milwaukee and arrived way before check in time but they person at the desk said they gave us a free upgrade and were happy to keep our bags until the room was ready and even took our cell phone number so they could call. That worked out perfect as we were going to walk around the area anyway and were happy to have our bags taken care of. The location was within walking distance of restaurants, shopping and Oak Street Beach.....beautiful! And anything else was just a short cab ride away. We went to the beautiful Palm Court for drinks after dinner and there was a great dance band playing that night. We had breakfast at the Drake Brothers with amazing views of Michigan Avenue and the lake. Our room was huge and had 2 walls with windows. I'm sure it was one of the older rooms that hadn't been refurbished yet, but it was beautiful, none the less! This is a beautiful, historical hotel that should be on everyones &quot;got to stay&quot; list. I hope they continue to offer specials for rooms at reasonable rates or we may have ended up at some run of the mill hotel chain and missed this wonderful experience!	
Oct 9 2009 	Lots of incredible history but overrated!	This hotel has incredible history and beautiful architecture but once you've seen all the magnificant common rooms (lobby, ballroom, Palm Court, old style elevators) it isn't any different than any other overpriced, 4 star historical hotel. Our friends were getting married in the ballroom so we thought that we would take this opportunity to stay at The Drake since I'm pregnant and it would be an easy escape for me to my room in the wee hours. Check in was at 3:00 and we were there on time as the wedding trolley was leaving at 5:30 and we needed time to get ready. At check in we were offered a deluxe upgrade on our king room but the hitch was that it wouldn't be ready for over an hour. Talk about dangling the carrot and yanking it away! We couldn't wait an hour and considering check in wasn't until 3:00 I can't imagine why the room wasn't ready. We settled for our existing king reservation (at $250) and found the room to be fine but of course our view was of the air conditioning units and we were next door to the Fitness area. So much for wedding party group booking bonus! I can't imagine how much money our friends spent for their wedding at The Drake but I'm sure they would have been mortified to hear about the rooms that their guests were given especially since they were &quot;promised&quot; that everyone under the group booking would be nicely taken care of. Pro's - decor was decent, slightly dated but clean. room was decent size, noise between rooms/floors was negligible. Bathroom was ok in size but only suitable for one person at a time. Con's - heating system was horribly loud, had to turn it off at night to sleep, no exhaust fan in bathroom, wireless access was not free, bottled water was $7.00 for a small bottle, split of wine was over $25, breakfast was over $25 per person with another 20% markup for room service. There was coffee in the room but I wasn't sure if it was free and the room service menu said it was $15 so we popped over to Starbucks instead. Parking was ok at $39 a night if you use the public parking lot two doors down - you can even charge it to your room tab. We ended arriving a day early and didn't have a room booked. On Hotwire we found a 3 star hotel for $63 a night in the magnificant mile area. We weren't getting in until 11:00 p.m. so we weren't that picky. The hotel ended up being the Holiday Inn Express. Of course for $63 our room overlooked the air conditioning units here as well but we had a very comfortable king bed, huge plasma tv, wonderfully decorated room, free breakfast, free wireless and a great location. The room was super small - basically just enough room for the king bed and a really small bathroom but for the money it was so much more worth it than The Drake. The building was beautiful, location was great, personnel were very friendly, self parking was around the corner. Ok, there's no ballroom, no Palm Court and Queen Elizabeth didn't stay here but does that really matter??? Save your money, skip The Drake, walk through it if you want to check it out, but there are plenty of beautiful hotels in the magnificant mile area for alot less money!	
Oct 9 2009 	Horrible NO HEAT NO HOT WATER	The Drake greatly disappointed me:• Valet lost my car and made me late to work• The rooms don't have heat until the temperature is below 50 in your room• The hot water is intermittent; no hot water often during a shower• Management not interested in their problems• Trash in the hall ways• No wireless, only ethernet• TV system is very dated, doesn't work well	
Oct 9 2009 	Had a fabulous price - that made it a fantastic vacation	We had the most incredible price and the front desk seemed a bit put out by the low price that we were paying. However they were the only ones who didn't seem overly friendly. The wait staff in the restaurant, the staff at the lounge and the bellmen were wonderful. Our room didn't have a view of the lake, but it was a very nice room and it almost seemed like suite with the entry, sitting area and bedroom lay-out. We had family in the area who came to have dinner with us and when we took their teen daughters up to see the room, the 16 year-old said it was like walking through Titanic. And that does seem like an accurate description of the old-money feel in the decor. We were going to go on-line at the business center but the price seemed ridiculous and we're Hilton gold. I thought we have had free use as this is part of the Hilton chain.	
Oct 9 2009 	Don't miss the scary butler!	My kids got a complte hoot out of the scary butler who's outside the flower shop/gift store on the ground floor. (He's motion activated and will speak when you come in.)Be sure not to miss it!	
Oct 8 2009 	Great location in a historical gem.	The Drake hotel in Chicago, IL is a historical gem. We went in August and got a great deal! You can't beat the location, right on the shore of Lake Michigan! The hotel is steeped in tradition and is an old fashioned, elegant hotel. If you like tradition, then this is probably the hotel for you.If you get a room with 2 beds, they are kind of small. However, the room was clean and the view was great. It was a peaceful hotel and the staff was pretty friendly. The hotel is surrounded by great shops and we loved the cafe downstairs. They also have tea time, which is really nice.	
Oct 6 2009 	The Drake is like home	My wife &amp; I have visited the Drake twice in 2 years for a mini-vacation. Since we rarely travel, I was reluctant to go to another hotel because we know the Drake (familiar territory). I have described it as a &quot;middle&quot; hotel, not too expensive, but not the cheapest either. i am amused by the complaints for different hotels and the mini-bar prices, etc. This is Chicago, everything is expensive. The liquor is in fact cheaper or about the same in the min-bar as in a regular bar (not the Drake bar). The rooms could stand upgrading, especially the carpets and the furniture. I feel a good portion of their income is from conventioneers, lots of those going on. The hotel is beautiful in the lobby, and the tea room service is great. They have a nice Espresso shop now, and a neat art gallery, and other shops. There is access to the beach right across the street, if you are so inclined. The concierge has never steered us wrong yet, and we used them a lot. We went out on my bday and he said just stroll over to Rush street and there are several places, which we did. Great time too, and very simple, one block away. I have read reviews about the maids rattling in the linen closet, but we stayed next to one (a closet) and it wasn't a problem. I also have read about problems with water pressure but ours was fine both trips.Our view wasn't anything special, but we didn't come for the view, and I feel we could have specified one, but the rate might have been more, not sure. We didn't eat in the restuarants but did have a burger in the bar. The guys out front always remember us when we need a cab, and are helpful. The bellhop took the time to point out features in the room for us (which we knew already) but it was nice. Finally, did everyone notice the Manager commenting on negative reviews on this site? I feel that is good follow-up. We will probably go back again next year, you can have a bad experience in any hotel. Our stays went very well.	
Sep 29 2009 	Beautiful Hotel	We had a good experience at the Drake. We got a good deal on Priceline but still got a newly updated room with 2 beds as we wanted. The place is still old (doors, carpet) but all have character. The lobby is gorgeous.We did not eat/drink there but there was a beautiful bar. Our only really bad experience was the concierge service, they were not at all helpful or even pay attention to what you are asking. Expensive internet also.Tips: Take the river architecture tour, wonderful.	
Sep 27 2009 	Where there's smoke...	For another $25, we splurged for the larger room when we checked in. We dropped our things and went to eat/shop. After a long walk and fighting the crowds on Michigan Ave., we returned to the room just wanting to nap. No kids for the weekend, so just pure quiet and personal freedom. Unfortunately, when we returned to the room, it stank of cigarette smoke. I pushed the call button for the front desk, no answer. I called again, impatient because of the exhaustion, no answer. The third time was answered after a number of rings. I explained to the individual that the room smelled like smoke and that it was pretty nauseating. She told me to hold while she transferred me to the front desk--I must have rolled to another department. After explaining the predicament again, the front desk asked what they could do. Not wanting to be a burden, I asked for air freshener. They said they would send someone up. About 15 minutes later, the smoke and the waiting was too much, so I called again and asked for another room. They didn't have anything available until possibly 4, so they suggested we wait 2 hours until a room opened up. We couldn't bear the room, so we sat in the lobby on &quot;grandma's couch&quot; for about 30 minutes before realizing we wouldn't find any comfort there. We walked out of the hotel and saw a Bentley out front. It occurred to me perhaps why we were seemingly being ignored by the hotel. We gave the desk a cell # before we left and actually believed they would call it. But after miserably propping our heads up on a bar until 4, we still hadn't heard from them. There didn't seem to be much interest in making things right. When we returned to the front desk, they apparently had a room available but had not called us (no surprise). It was smaller than the previous room (though must have still been worth the extra $25 since it was never refunded). We could hear people in the next room, but they weren't very loud, so it wasn't an issue. Primarily where the hotel erred was on the most basic elements--the things you take for granted. The things you would expect even from a Motel 6. The Homewood Suites we stayed at a few months before wasn't as fancy, but it was much more reliable.	
Sep 25 2009 	A great hotel in a great city	We could not have had a better time at the Drake. It is obvious that we were in one of the recently refurbished rooms because it was perfect in every way. The room looked out onto Lake Shore Drive and the lake. An unexpected bonus was being able to watch the professional volleyball tournament being played on the beach. We have stayed at the Drake several times in the past and have always gotten great service. This stay was no different. From the bellman to the concierge to the doorman to the front desk staff to the waiters in the restaurants, the service could not have been better. The Coq d'Or is one of my favorite bars in the world. The decor is very romantic and the bartenders are very old school and lots of fun to talk to. We also had excellent breakfasts in the Drake Brothers Restaurant and a memorable dinner in the Cape Cod Room. The bed was extremely comfortable and the shower was perfect. The bathroom was not large, but it was very well maintained. We also loved the fitness center. It was complete with cardio, weights, etc. The common areas (lobby and tea salon) are very European and some of the most beautiful in Chicago. We have previously stayed here during the Christmas season and they had a huge Christmas tree and trains running through the lobby - incredible. We are already planning a return trip next August.	
Sep 16 2009 	Huge Disappointment	I was so excited about staying at The Drake, you hear all of these wonderful things about it. The hotel itself is elegant and nice, but our overall experience there was such a disappointment and definitely not worth $300/night. Before even checking into our room, they had already charged our credit card once for the entire bill (without us even knowing). They charged us again when we checked in, and AGAIN a week later after our stay. When we first walked into our room, there was a roll out cot-that we did not request-standing in the middle of the entrance, we could barely walk around it! The room itself was tiny, old, and had a view of what looked like a dumpster. The toilet in the bathroom randomly made loud noises throughout the night. We could hear everything in the room next door to us. The hotel was &quot;booked&quot; so we couldn't change rooms even if we wanted to. I also believe that because they were full, they stuck a young couple like us in one of their shabbier rooms. There are PLENTY of other hotels in Chicago that are ten times nicer for the same price. Stay in one of them.	
Sep 14 2009 	A grand opulent hotel from the 1920s that still struts its stuff well!	My wife and I recently stayed here for two nights as the base for our first real vacation in some time. I booked our room on Priceline.com ($129), and we were given a nicely renovated room on the 7th floor (703), albeit with a fire escape/city view down to N. Michigan Ave. below. The room itself, however, was quite large and luxurious, with a wonderful bed and bedding, luxury toiletries in the bath, and very nice decor. However, the real attraction here is the hotel's public spaces, from the well-attended curbside reception area to the opulent lobby and Palm Court mixed use up a half-flight from the lobby. There are many interesting nooks and crannies in this hotel, and a very nice shopping promenade within. High Tea is served each afternoon in the Palm Court, which was delightful, and there is live music and dancing here in the evenings. A bonus, they were serving 2000 Dom Perignon by the glass in the Palm Court. Where have you ever seen this before? This is our wedding year, and we were surprised when we were presented with a complimentary chocolate torte dessert and half refill of the Dom when the staff heard this! We were made to feel quite special by all the staff, which is not at all the case in many mid-tier chain hotels. Finally, we had an excellent breakfast in the Drake's own restaurant, opulent and fairly priced. We did not have any of the ancillary charges that seem the basis for many of the preceding less-than-stellar reviews. Overall, we were simply delighted and hope to return soon to this ideally-located grand old hotel!	
Sep 12 2009 	Fab Lake View	This place does not dissapoint, upgraded to a room with a view of the lake - amazing...Seems like there has been some refurbishment since the last time I was here...All and all - great!	
Sep 9 2009 	HMM...if I had all the money in the world	The Drake is a elegant hotel that you better bring your money too. The room we had was nice and elegant. We avoided the snacks and the mini bar since who can afford any of that. We never did eat at the Hotel since it was too price and not worth the value with so many restaurants near by. The Drake was nice to visit ONCE to say you have been but I find it hard to imagine a family staying there unless you are not concern about cost. In this economy who isn't. The location of the hotel is awesome. It is close to a lot of shopping and nightlife. Would I spend the money to go there again...NO. I will find a more modern hotel where I can lounge and enjoy a good breakfast and not just sleep there.	
Sep 8 2009 	Okay....	The hotel was nice and very elegant. We booked a room on priceline and when we got there they had no standard rooms with two beds (even though we requested) so we had to upgrade. Not a great start but okay. The room was nice and spacious, two closets and two bathrooms and two beds (couch, table, etc). The location was pretty good being at the end of the Magnificent mile. We were two short blocks from Rush street (great dining) and close to State for Shopping. We also could walk down to the river in approximately 15 minutes. The bar/lounge was extremely over priced and the atmospher was that of a cheesy cruise ship lounge. We did not spend any time there. (a tang. tonic was 18.50)!!I probably would not stay here again because you could just as easly stay in a holiday inn express with a better location and a good breakfast included. You can get more bang for your buck elsewhere. Not a disappointment (exept that they didn't have a pool) but not a great review either. I would recommend staying somewhere in the loop, it's still really nice but a little bit more centralized.	
Sep 7 2009 	Never again....completely let down!!!!!!	This was my second stay at the Drake. My husband and I had such a geat experience last year that we booked it again this year (for a girls weekend). We booked a family suite through travelocity. We checked in at 8am, but were told our room was not ready, but they would call if it became available early (they never called). We stored our luggage and went about our day. We officially got our room at 3pm. We stayed in room 256. Avoid this room at all costs!!!! First, the room was musty and damp...very apparent when we entered the room. The carpet was constanty damp. There was mold on the shower curtains and the bathroom walls. The wallpaper and bed linens were stained and ripped. One of the lamps was broken. My friend got shocked when she attempted to turn it on, not reallizing it was broken. The showers never worked right. The water came out hot from the faucet and cold from the showerhead...at the same time. Housekeeping NEVER came to our room. We had to call for towels. We called for a third time (1030pm) for towels and toilet paper the night before we left...this is when they decided to clean our room. We declined b/c we were getting ready for bed d/t an early flight.The lady at the reception desk was very unfriendly ad refused to give me a receipt for the room b/c we had a zero balance and had booked through travelocity. I did call management to express my dissatisfaction with the hotel and the service. I was told that they were &quot;sorry&quot; and we got and old room. We had previously loved the Drake, but were left with such a sour taste for it. I will book somewhere else next time.	
Aug 28 2009 	Wonderful Experience	My wife and I had the pleasure of spending a Sunday night at the Drake in 08/2009. The elegance of this property is the first thing that impresses you. The Palm serves tea every afternoon which is a great bonus. Upon our arrival we were professionally greeted and offered a room upgrade to a recently remodeled suite. The room (736) was clean, spacious, and tastefully remodeled. The best attribute of this room is that if overlooked North beach and had an amazing view of lake Michigan. We will request this room on future visits to The Drake. For dinner we were able to walk to Rush street and have a nice time at the Tavern of Rush. The walk was only three blocks so it was a perfect stroll there and back. In the morning we ordered the american breakfast from room service and it was excellent! For lunch we walk on block south on Michigan avenue and had lunch at the Cheesecake Factory, which has a very nice outdoor seating area at the foot of the Hancock building. We shopped a bunch on Michigan ave and complete our stay in Chicago. We would recommend this trip to anyone for a refreshing, romantic getaway.	
Aug 25 2009 	Old School Elegance and Great Location	Visited our friends who moved to Chicago and stayed down the street from them at the Drake for the weekend. The location of the hotel is fantastic - near great shopping, the lake, and wonderful restaurants. We were able to book a great rate ($139). When we arrived early after our flight, we were allowed to check in early, but for a price (additional $25). It was worth it to unpack and regroup. We had a handicapped room, which was very spacious. The shower/tub combo was not ideal for us, and had only a hand held shower head. While the room was very elegantly appointed, it was showing signs of age - old floors and carpet, window casings, drapes, etc. The bedding and towels were nice and pretty new. The furniture was nice, and the tv was rather large and flat screened. The bar area of the Palm Court is just beautiful - had tea there on Friday afternoon, and drinks later that evening. We had only one complaint - one afternoon after a long day walking around town, we returned to our room and discovered both of our key cards would not work. We had to return to the front desk to get replacements, and it was right as most folks were checking in. All we wanted to do was get inside and relax!There are so many aspects of the Drake which reminded me of the Ritz in Paris, including the shopping areas on the ground floor. If you are wanting a new and hip hotel, this is not it. If you are traveling with children, this isn't your place either. No pool, no activities - really not a great place for kids. If you want to have a great weekend of shopping, dining and exploring Chicago with another adult, this would be a good choice.	
Aug 24 2009 	Grand and Charming you will not be disappointed. Great location and view of Lake Michigan.	We stayed at The Drake for our 5 year wedding anniversary in August 2009. The hotel is located just north of The John Hancock building on Michigan Avenue. The hotel is very grand and charming. They recently went through an extensive remodeling project and everything looks great. They even upgraded our room because of our anniversary. Our room was perfect and overlooked Lake Michigan. You can walk out the front door of The Drake and you’re at Lake Michigan. The hotel staff was very friendly and helpful. We were greeted curbside by Ben with a smile. He helped us unload our luggage and was very friendly. We used the parking garage a few doors down on Walton. It was less expensive than the hotel parking; $35 a day verses $49. The location is perfect and you’re walking distance to the entire down town attractions. You can also grab the red line which is close by on Chicago Ave. The buses work out well too. We took the Michigan Ave Museum Campus Bus to Shedd Aquarium. The historic hotel is packed with stories. The book inside your room tells a lot about the hotel, especially the history. The Cape Cod Lounge is really neat because it’s basically the same as it was in the 1920’s. The bartender was very knowledgably about the history of the Cape Cod Lounge. Ask him to look at the “MM” that Joe DiMaggio carved into the bar for his wife Marilyn Monroe. The Gold Coast Room and the Palms Room are very elegant. You will not be disappointed with The Drake.	
Aug 23 2009 	Typical grande dame hotel	Gracious, lovely semi-restored grand hotel in a spectacular location near where Michigan Ave becomes Lake Shore Dr. Lobby is elegant, Elevators are fast but small, and there is no indicating light to indicate which of the 6 has arrived at one's floor, until the door opens. My guest room door did not properly close and I had to pull or shove it closed. Room was spacious, and the window even opened a few inches...marvelous! The bed was wonderful, but there was a small refrigerator plopped in the room...useful , and appreciated, but rather unsightly. I*n a hotel of this caliber, it should appear to be &quot;built in&quot; rather than freestanding. Staff was pleasant and helpful for my 2 day visit.	
Aug 19 2009 	Pleasantly surprised	Just returned from a 2 1/2 day convention at The Drake &amp; was pleasantly surprised by its classic elegance. Our 6th floor room was spacious &amp; comfortable. The bathroom location provided lots of privacy. The banquet food served to several hundred of us Friday night through Sunday brunch was some of the tastiest I've enjoyed in some time. Our servers did an excellent job! The place was very quiet considering the Air &amp; Water Show was just outside. The elevators were somewhat small, but prompt. Their narrow doors weren't very forgiving if you got in their way. Built in 1930, there are lots of stairs in some areas. Expression by Lavazza on the ground level serves great Italian coffee, sandwiches &amp; ice cream Oak Street beach is a short walk away. I hope to be able to stay at the Drake again.	
Aug 16 2009 	All you can expect...is there !!!	Just one word: spectacular !! The Staff: classy and serviceable. All tops !!	
Aug 13 2009 	Okay but not great.	I stayed at the Drake for 3 nights. The service was friendly, and it's not a bad locatiion, but way too salty for what you get. Actually Chicago is the &quot;second city&quot; for a reason, it just can't hold a candle to New York. One bright spot was the Rosebud Steakhouse just down the street, excellent restaurant.	
Aug 13 2009 	It's Nice and Famous and has a Fantastic location but otherwise just ok	I was excited to stay at the Drake because I'd heard so much about it. And true, it has an amazing location, and it is very nice. It's just not qutie as nice as I expected. The reservation process was annoying. First, the hotel made an error on my reservation and then the hotel did absolutely nothing to correct the mistake. Then I requested early check-in and wasn't told that I'd have to pay a $25 fee to check in at noon, and so I booked a flight to arrive at the hotel at noon, and then was told about the fee. I would have liked to have known that when I requested early check-in - just good info to be aware of, and in general, I felt that the hotel was very unresponsive to problems.My room was a bit old. It was a good sized room, although I did hear there were some tiny rooms. The bathroom had been updated, but I'm thinking it may have happened in the late 80s or early 90s. So it had granite, and was a dececnt size, but the bathtub was no nicer than any economy hotel and the flush on the toilet was on the wall and looked like a public restroom flush. The bed was qutie nice - nothing blew me away, but it was nice.No robes, no slippers. Nothing else to signify &quot;luxury hotel.&quot;Room service seemed even pricier than one could expect and mediocre. Ditto for the bar where I went to lunch one day.There is a business center, but it cost me $12 to spend 6 minutes on the computer to print 4 pages. Just ridiculous to charge that kind of money considering how much guests spend to stay and dine at the Drake. I know many hotels that aren't specifically for business travelers charge fees at the business center, but it just comes across as petty. My view of the lake and the city was phenomenal, though, and the location really is spectacular.I wouldn't recommend the Drake to a friend because I think there are better/nicer/cheaper hotels in Chicago, but if my friend was intent on staying at the Drake I certainly wouldn't discourage him/her.	
