	Good	Staff is very friendly, rooms are nice with great view of Chicago River and close to House of Blues and Harry Caray's Resaurant, as well, not far from Magnificent Mile. Hallways were dark and elevators a bit scary, but overall great hotel. The bar, Crimson, located in the hotel was not great. The bartenders were nice but the waitresses were like talking to a wall.	
Oct 6 2009 	Great stay	We stayed for 3 nights at the Sax and treuly enjoed every minute of it. We received an upgrade to a Junior Suite which was spacious and very trendy designed. 2 huge flat screens, a fabulous movie selection (great when you suffer from jet lag) and a spacious bath room are some of the incredible features of the hotel. The Bar on the ground floor is a hot spot and the games roo on the 6th floor is great idea.Concierge was very knowledgable and helpful.	
Oct 1 2009 	Great Hotel and Service - Parking Rate HIGH	Just spent one night at Hotel Sax and had a great experience. The rooms are large, well furnished and chic. The bathroom is very large, well lit and a had great shower head. The fitness center is up to date and had a lot of space in it. Hotel Sax is is a pretty trendy place as it's adjacent to the House of Blues. It's right in the heart of great restaurants, theaters, shopping and other attractions. The service was excellent too.My only complaint was the parking charge ... $49 for overnight! I'd definitely stay there again but will either take public transportation or park down the street at less than half the cost.	
Sep 18 2009 	Unique (think swanky) decor friendly staff	My husband and I checked into Hotel Sax on the Friday night of Labor Day weekend. We had booked the room on Priceline, and check-in was effortless. The dramatic, red lobby set the tone for the hotel--very dim, moody lighting. The assortment of live betta fish inhabiting glass vessels under the front desk were a nice touch, as were the Hot Tamales free for the taking. Upon checking into the room, we loved the decor. Bathrooms might be a little dated (maybe not entirely redone when conversion took place), but are very generously-sized. The guest rooms are also roomy, and the bedding is comfortoble. I loved the chandelier decal on the wall (not to mention the varied wallpaper patterns--some metallic--throughout the hotel). Really, life just feels more glamorous while sitting in a faux snake skin upholstered chaise louge. We had a nice Some might find that sort of thing tacky, but maybe they should lighten up a little. Hehe. Crimson (the hotel bar/lounge) was beautiful--we found a comfy couch on the Sunday night of our stay and the mood was very relaxed, music was just right. We walked into the &quot;Technology Experience&quot; room and it was an interesting idea, but we didn't stay long. Really, I can't think of a single complaint. The view was good, the location was great, and the hotel itself was like any other. One caveat, valet parking is $49 a day.	
Sep 7 2009 	another visit to the Sax...and it didn't dissapoint!	This is our fifth annual visit to Hotel Sax and although I have reviewed it before, I feel compelled to do so again. We booked our trip on travelocity and it was extremely reasonable to fly and stay over Labor day weekend. as always, the concierge, front desk, and the bell men were helpful and friendly. We stayed on the 10th floor in a room with a king bed. The room was clean, spacious and the bed was comfortable. The only complaint is that the bathroom sink was tiny and there was no room to set anything on top of it without it falling in the sink or on the floor. The maid service was slow but i would imagine they were full for the long weekend. we had wine and cheese purchased from Bin36 in our room during two nights of our stay and it was awesome. the people are friendly, helpful, and quick in getting you your order to go. we had never done this before and will definitely do it again next year. the hotel is close to everything and is in a great location. for breakfast, there are many options since room service is expensive (starbucks, einstein bagel accross the street, and the huge mcdonalds down the road). i love the hotel sax!	
Aug 19 2009 	great spot for romantic getaway	My wife and I did our first anniversary in chicago and stayed at Sax. The rooms were very nice, and the location was great. Very close to train that made the rest of the city readily accessible. Also w/in walking distance of lots of cool shops, restaurants, etc. The staff was very helpful with directions and maps for getting around a city we were completely unfamiliar with.	
Aug 17 2009 	Urban classy but iffy reservations even after confirmed	Stayed here for my bachelorette party. Check-in was a bit stressful. We had confirmed reservations for 2 adjoining rooms (because of our large group), but when we got there we were told that room was no longer available. First they said they could get us rooms close to each other, but that wasn't going to work for gift-opening, etc. They eventually upgraded us to a suite, which we all fit in. It was HUGE and very clean with great views of the city. When we checked-in others around us were having trouble with their reservations from 3rd party discount sites (ours were made directly with the hotel). The hotel had given their rooms away too, and for some people, they weren't able to accomodate them. So, even if you have a confirmed reservation, I'd still recommend a back-up maybe or not take the chance, even though the hotel overall is amazing. :0Crimson Lounge near the lobby was fun to start off the night. Dim lighting, sexy, upscale but not stuffy, great drinks and friendly bartenders. Hotel is close to everything. We walked to all of our dinner and party locations.	
Aug 15 2009 	Not worth the price	The best thing about this hotel was the view. When we arrived it took about 15 minutes to get a valet to even recognize us and give us a ticket for the car. The room was ready early and they let us check in about an hour before the standard check in time. Our room was disappointing, except for the view. The headboard was practically falling off the wall, and the nightstand was actually leaning against the wall, not attached to anything. All the staff we came in contact with after the valet were more than helpful and accommodating, especially the bellhop.	
Aug 11 2009 	Great location Great room	Stayed three nights at the Sax and everything was better than expected. Room was big, clean and modern. The bathroom was huge, a big plus for my wife. Elevators were fast, staff was exceptionally helpful, just a very pleasant stay. The location could not have been better, close to Michigan Ave., within walking distance of great bars and restaurants. Really can not figure out why this Hotel is rated this low. Need to check your statement on departure had some problems, but hotel made adjustments. Other reviewers had this problem too. Again, I would stay on next visit to Chicago and cannot understand why hotel is rated so low.	
Aug 8 2009 	Be careful about checkout charges	We purchased our room for 2 nights through Priceline. We had printed our confirmation and brought it with us. Our last night we got the bill from the hotel under the door for about $300 for &quot;promotional room rate&quot; We questioned this charge and were told that we had only purchased one night through priceline. I had called our credit card and we indeed had purchased 2 nights. We took our print out of confirmation for the 2 nights we already paid to the front desk and the initially removed the charge. HOWEVER, when I received our credit card bill about 2 weeks later, there was a charge of $190 (besides the $80 charge for housing our car for 2 nights) I called to talk to the manager and she said that &quot;they investigated it and we had only purchased 1 night,&quot; so they charged us after we left on our credit card for $190. I said oh no, we had purchased 2 nights and showed the front desk clerk our receipt. She asked for the confirmation email to prove this (from priceline) Long story short, it took me awhile to convince this manager that we had paid for 2 nights through priceline. She made me feel like we were trying to fraud the hotel. We originally had a good experience with the hotel, but ended up on a VERY sour note.And through all this the manager never offered anything for the headache she put us through.	
Aug 3 2009 	GREAT SERVICE GREAT DEAL Fabulous place to stay!	I was nervous after booking b/c of the mixed reviews I had read, but the location was perfect and they had an INCREDIBLE package deal... &quot;the Windy City package&quot;. For $203 a night, we stayed in a superior king room, a $50 gift certificate to any of the hotel restaurants, PLUS valet parking ($42 per day) was included. Couldn't beat that price.(We stayed Thursday through Saturday night... the deal isn't weekend exclusive like some!) Book through the hotel site for the deal (I think it's offered through Dec 2009). It's not available throught the &quot;bargain bookers' sites&quot;.  The lobby of Hotel Sax was beautiful. All of the hotel staff members were incredibly helpful, kind, and considerate. I had read complaints in some reviews about the dark hallways...they aren't neon if that's the issue. The wallpaper is a patterned silver and has a nice reflective quality... yes the wood is dark, but I never had problems seeing.The superior king room was plenty big with comfy beds &amp; clean and ample bathrooms.Of course the mini bars are expensive, as some have complained. Stop at the 7 eleven down the street and grab snacks. We're not room service people either (really, who is in Chicago???)...too much to see and do. The shower is a small tub (about half of the conventional size tub. If you are looking to soak, then you probably won't be happy. Absolutely NO complaints here. The room was exactly as it appeared on the hotel website. The hotel was quiet, even with the clubs downstairs. We were on the 11th floor and couldn't hear any of the noise. We had a great meal at Harry Caray's and lunch at Bin36 on the hotel. The hummus at Bin was great... but the service was slow. We went right at opening for lunch though. The Crimson Room seems like a hopping place, but my husband and I aren't into the club scene. We found the hotel to be convenient to walk almost everywhere. It doesn't have that &quot;chain hotel feel&quot;, and that's what we loved about it. No coffee maker in the room, but they serve Intelligentia coffee in the lobby in the morning, and it was excellent. Loved Hotel Sax!! *** Architectural Boat Tour our of Ogden Slip was great, as well as the night shoreline cruise for viewing the fireworks at Navy Pier on Saturday night (summer). If you love Chicago style pizza, check out Giordanno's... also recomment Portillo's on Ohio for great sandwiches..	
Aug 3 2009 	Great Young Vibe	The staff was really kind, room was clean, but might be too &quot;youthful&quot; for older guests. We arrived on a Thursday night and the lobby bar was &quot;bumpin&quot; like a club, which didn't bode well for our long journey. Whoever designed their renovation must have been fresh out of school because it was too many trends thrown in at once. Snake-skinned high-back chair with mirrored nightstand? Ouch! Not much counterspace in the bathroom though.We got a good promo at the time for $119 w/ free parking. Great location, but might want to stay at another more subdued place next time.	
Jul 15 2009 	We loved our first visit	We made our first trip to Chicago for our 12th anniversary. After studying and agonizing over all the hotel choices online - I booked us at Hotel Sax through Expedia. We got good enough rates. The hotel was all we needed - good location, close to public transportation, nice friendly helpful staff, our room was CLEAN, the decor somewhat eclectic - but if you want the same old hotel - stay at one of the major chains. We thoroughly enjoyed our 4 day trip! Nice comfy robes, good quick room service - FANTASTIC shower, nice toiletries.	
Jul 14 2009 	Didn't get reserved room type and room dirty!	We booked this hotel through hotels.com and prepaid for a Superior King room. When we checked in and got to our room, the room was small and the bed looked like full size. I called the front desk takled to the manager. She said that unfortunately when you book through a third party vendor such as Expedia or Hotels.com, they cannot guarantee the room type and that they were sold out for the night. I asked if we could get a discount and she said no. I indicated that our view was a view of the parking garage and she said that most all rooms have a view of the parking garage.The hotel room was small and when I walked around barefoot, someone's hair pin stuck to the bottom of my foot along with hair. The bathroom just had a shower stall, no bathtub. The halls were super dark and gloomy. There are no vending amenities at the hotel to buy bottled water, soda etc. I do not recommend this hotel and will be staying somewhere else for our next trip to Chicago!	
Jul 14 2009 	No longer worth it!	My husband and I spend a few weekends a year in Chicago and loved this hotel when it was the House of Blues. After our stay this weekend, we were very disappointed. We reserved a king room and were given an incredibly small, dark room with a queen bed. When we spoke to guest services to change to a room that met the reservation expectations, we were not treated very well. They were not willing/able to honor what we booked and did not seem to think it was a problem. The room lighting was so dim, I was not able to see to apply make up once the sun had set. The wall behind the bed had a section that was falling off and the overall look was pretty shabby. This was not at all what we had experienced during previous visits to the House of Blues. Friends of ours stayed in a hotel nearby. They had a fabulous room (spacious and well-lit too!) and were treated very well. While we look forward to our next wonderful visit to the Windy City, we won't make the mistake of booking a room here again.	
Jul 13 2009 	Cool hip comfortable	Loved this hotel. Small enough for a boutique feel but large enough to provide some of those amenities that are nice to have from the big hotels, such as wireless internet (free), gym, room service, etc. The hotel decor was really cool and hip and personally, I really appreciated the change from sterility from other hotels. Not everyone may like it, but I found it to be a welcome change. Room was clean and well kept, with a big flat screen tv, nice alarm clock/radio that you can plug your iPod into (with an adapter cable), and a nice big bathroom. Had a great view of the Chicago River. Only downsides were the lack of a coffee maker in the room (although they had free coffee in the lobby in the morning), and there wasn't much in the way of being able to store your clothes and travel items. The in-room bar seemed a bit overprioritized and over-priced and may have come a bit at the expense of being able to offer a bureau to store clothes, but it was a minor thing. Bed nice and comfy with really soft sheets. Free wireless internet was a nice touch and made me feel like I wasn't being competely nickel and dimed. Location could hardly be beat. Warning: at night the place is hopping so be prepared for that and consider staying elsewhere if this might bother you.	
Jul 9 2009 	Great hotelamazing bar!	Great hotel, great location. Rooms are very modern and funky. The best thing about the hotel though is the bar! Nicest bar I have ever seen! Well worth a visit. Location is just a short walk from Michigan Ave, close to river cruises. I would definately recommend this hotel.	
Jul 9 2009 	Dark Smelled Like Rot Personal Items Stolen	Decor on the rock-star side of things - interesting to look at but not to live with for 3 days. The hallways were too dark to navigate with anything more than your room key - not the case when you're there on business. The bed was comfy. The shower did not drain well; not unusual. The hallways smell in the mornings of stagnant water - which didn't help our enjoyment of breakfast in the hotel restaurant. And the stolen items - that's where 'value' and 'service' take the downgraded rating.	
Jul 7 2009 	Great Location	Good standard of Hotel, right on the river walk in the centre of Chicago. Rooms were adequate size and clean. view from room was ok,large windows allow a lot of light in and made the room very airy. Staff V helpfull. Would recommend as prices were good also. Dont eat in the restaraunt it was very over priced and the standard of food awful!	
Jul 6 2009 	Chic Trendy Sophisticated ... Not so Clean	The Hotel Sax is exceptionally located in the River North area of downtown Chicago, ideal for concertgoers of the House of Blues Chicago, and within easy walking distance from Michigan Avenue shopping, many restaurants, and activities within The Loop. Our room had divine views of the Chicago River. The hotel lobby and bar are luxuriously decorated in a sophisticated yet modern vintage decor, appealing to the eye. We loved the decor of our room, too -- very different from standard hotel decor, trendy and fun. Unfortunately, the service was substandard. We only stayed one evening and we know Chicago fairly well, so this was not a problem for us; however, we experience much better service in other hotels in the area. The bathroom needed a more thorough cleaning, and there was crud stuck to the wallpaper. These aren't major inconveniences, but certainly soured our experienced for what was reported to be a five-star hotel. I recommend staying at a discount -- we found our room for half the normal rate -- or looking elsewhere in the area. If you like cozy and comfy with coffee in the morning, this is not the hotel for you. If you're edgy and require little by way of service, check it out. Overall, it's a cool hotel.	
Jun 30 2009 	Great Location Trying to Please	This is an older hotel which has been recently renovated in a funky style. Relatively small rooms and bathrooms, but nicely done. Good toiletries.Pros:Location in Marina City, close to River North resto's. Great concierge (Catherine) and door-staff. Housekeeping delivered an extra pillow 5 minutes after requested. Coffee/tea in lobby on weekday mornings. Comfy linens and bathrobes. Flat-screen TV. Technology lounge with X-Box, Wii, Guitar hero. 3 computers in the lobby for free.Good deals (incl. parking) on Travelzoo. Entire staff is super helpful, friendly, very knowledgeable--if they didn't know an answer, they'd check it on the internet for us. Free wireless in rooms.Cons:Small rooms. No coffee/tea maker in rooms. No coffee/tea in lobby on weekends. Bathroom had no room for personal washkits/cosmetics. Dresser top full of for-purchase drinks &amp; snacks, leaving little room for personal storage. No makeup mirror. View of the parking deck at Marina City. Dark, dark hallways (may be this is hip?) Our room key was shut off at 3pm, a day before our scheduled departure. Our &quot;free parking&quot; showed up on our bill at $42/day. Overall: would stay there again if I got a great rate, parking included. Otherwise, I'd head to the Amalfi for larger rooms, free continental breakfast.	
Jun 24 2009 	Lovely and Unique!	Got a great rate through Expedia. The hotel was very lovely and unique compared to other similar options in the area. Nice robes and toiletries in the room, gorgeous wallpaper in the halls and room, comfortable bed and linens. Not sure what vibes they are trying to send, but it reminded us of Disney's Tower of Terror ride - in a good way (long halls with faux candle lights, picture of woman w/skull in elevator, etc). I will definately stay at the Hotel Sax again!	
Jun 21 2009 	Excellent....!	This was our second trip to Chicago and we chose Hotel Sax after reading reviews on tripadvisor.It's near the river and there's lots of restaurants and bars in the local area. All of the main attractions and things to do are within reasonable walking distance. It's not cheap but we booked through hotels.co.uk which meant we got a good deal so it was more reasonable. The bar at the hotel - The Crimson Lounge - is really classy and livens up later in the night.The restaurant does a really good brekkie in a relaxed atmosphere, and the evening menu looked nice, although we didn't get to try it out. It's an eclectic type hotel with quite dramatic decor - rooms are lovely and it's really quiet so you can get a good lie in ! We got a room upgrade and the room had a nice view of the river, was spacious and had a well appointed bathroom. The mini bar was expensive though !The staff at the hotel were very accommodating - both before we arrived and whilst we were there - making reservations and recommendations. They arranged an airport transfer for us too.I would certainly recommend this hotel for a leisurely stay in the fab city of Chicago !	
Jun 14 2009 	Funky Hotel - Great Location	We were in Chicago for three nights to visit our son who was moving into his first apartment in the city. We picked the Hotel Sax because of the proximity to our son’s apartment, but turns out to be a great location in the city for many reasons (restaurants, shopping, historical sites, etc.). Our room was a Deluxe King overlooking the “corn cob” building and the river. Loved the funky décor of the room. Bed was very comfortable, nice linens. The bathroom was also well decorated…modern, cool chic. Overall, very nice room – clean, comfortable and updated. We are not the types to stay up late (we used to be!!) but if you want entertainment there is plenty right in the complex with the hotel (Crimson Lounge, House of Blues, Bin36, even Dick’s Last Resort). Given our sons new address in Chicago, we will be returning!	
May 26 2009 	Great Hotel but bring your own quality Toilet Paper!	I decided to play the Priceline.com Hotel Roulette game and landed Hotel Sax for a three night stay. I was a little nervous since I've never heard of the place. But when I arrived from Midway airport via the Orange Line, I was happy to find the place was clean, classy, and a great location. It's about a two block walk from any color Rail line you want. However parking rates are insane! $42 a night? Give me a break. Does that insane rate come with a full Wash and Hand wax? I would recommend not renting a car and using the CTA Trains. As for the staff, They were great. I kindly asked them for a River View and they gave me a great room! No room has the &quot;Perfect View&quot; but the staff upgraded me without a charge! In the room, Loved the bed, the bathroom, and the HD Television with a big selection of channels. On the down side, The Maid forgot to put toilet paper in my room one night and didn't replace the glass cups I used. Rip off warning!!! The mini bar prices are crazy. On top of that, they add 10.5% Chicago ultra high sales tax! Hotel Sax, Just make it a flat rate for us poor tourist! My other picky issue .... Hotel Sax needs to offer better quality Toilet Paper of all things! Yes Picky but for a upscale hotel, The Toilet Paper in the room reminded me of a public Restroom. Just bring Northern T.P. from home and your all set! (grin)	
May 6 2009 	Weird vibes!!!	This hotel gave us weird vibes. I like cutting edge, modern hotels but this one was just a little strange. Our room was decorated like a pied-a-terre owned by Liberace: Crazy wallpaper and furniture, and an ink blot chandelier painted on the wallpaper. Very strange. The staff cleaned it well and the bed was comfortable. Internet was free which was very nice, but the check in people knew little: they had a hard time giving us directions and telling us anything about Chicago. Additionally, the &quot;workout facilities&quot; (if you could call them that) were little more than a storage room in the basement of the hotel with 2 treadmills and 2 elliptical trainers. Very lame!The location is very good: right next to house of blues, Marina City, Magnificent mile, you name it! Being centrally located was great. But overall, we enjoyed the more classic, comfortable Intercontinental more. Overall this hotel is ok. It may be the perfect place for you if you enjoy trendy modern stuff. There is also one of the hottest hotel bars in Chicago attached to it. Although this bar gave us weird vibes too as it is a mix of young girls being hit on by sketchy older male hotel guests. Also beware, hotel can be loud as the walls are thin and this bar is loud. We had several bar patrons staying in rooms on our floor and they kept us up almost all night long!	
May 4 2009 	Bed Bugs!!!	I stayed end of April for the first time @ Hotel Sax. Got a good rate but &quot;paid&quot; in the long run!! Hotel looks fabulous upon arrival but you will regret your stay the very next morning after itching all the way home. Room was not clean and I had bites all over. Management was unresponsive to my email explaining my dilemma. I travel to Chicago for business about 5-6 times per month and will NOT ever stay here again. Stay at your own risk but pack some bug spray.	
Apr 30 2009 	Definitely NOT worth it. Stay somewhere else.	Here is an absolutely unbiased review: I was there for a National meeting, and stayed here even though the meeting was at McCormick place. I stayed in room 1014. It is really dark and depressing in the room, and musty and dirty as well. The bed was way too short for me (i'm 5'11...not a giant), and when you sleep on the bed the bottom sheet comes undone immediately and isn't really fitted, and the comforter is cheap, not a nice down one. There's some dirty, cheap, leather pillows on the bed. The room is not well lit, uncomfortable, and the bathroom is cold and not clean. An old pack of Rolaids was stuck in the corner of the room (if the hotel reads these: CLEAN THESE UP!). It was a total of $300 a night... so overall, it was terrible. There are many, many better hotels that are actually much cheaper. Don't stay here, pick somewhere else. I spend much less in a Westin ---I left to stay here I was so sick of the SAX, and even though I don't think Westin's are that great, it was at least comfortable, with decent beds and shower. The SAX was cheap, dirty, cold, and overpriced.	
Apr 9 2009 	Good Times At The SAX!!!	We booked the Hotel Sax primarily because of the positive reviews on this site. Check-in was prompt, efficient, etc., rooms fairly spacious and clean. Only complaint would be a lack of storage - the hotel's website claims that a double double room sleeps 4 comfortably which is true but if they got rid of the outrageously overpriced mini-bar ( we did'nt indulge!! ) this would create more room. Only other issue of note was noise from a party in the room next to ours at 3.00am!!! which, when we rang reception to inform them of same, resulted in no action being taken as the noise continued for a number of hours. In fairness to the hotel they compensated us adequetly when we mentioned it the following morning. We had our 2 daughters with us ( 11 and 8 ) so could'nt make use of The CRIMSON LOUNGE but it looked like a food place to go. On an extremely positive note, my daughter's teddy bear was accidently caught up in the sheets and disappeared off to the laundry company, and after quite a number of phone calls both were reunited after approx 36 stresssful hours!!!! Hats off to all in housekeeping, front desk and even the bell boys for a great job. Checked out the STUDIO and it was a popular place to hang out. BIN 36 is also good for breakfast, evening drinks etc., We engaged the services of Katherine, the concierege who got us a 50% discount in tickets for the BULLS at the United Centre so all in all, we would use the hotel again. 3 internet ports in the lobby proved very useful also.	
Mar 16 2009 	Great sax!	The Sax was just perfect for us. We got a fantastic deal through travelzoo for $109 which included free parking and two drinks at the bar.Checked in early and requested a Chicago River view, which was awesome, we got to watch the river turn green from the comfort of our room!The staff across the board could not have been more helpful. Our room, while not huge was comfortable, clean and well appointed.It was so great to walk next door at night and catch a show at The House of Blues too!The hotel bar was swank, comfortable and the staff was wonderful.	
Mar 8 2009 	Loved my room	I LOVED the Hotel Sax! I stayed here for 3 nights for a business trip, and spent most of it in the hotel because of my meetings and the bad weather outside. My 14th floor room was large with a nice view of the Chicago River. It had a very comfortable beds, fluffy towels, nice bathrobes, and great toiletries. It was silent in my room -- I couldn't hear people in the hallways, the TV next door, or the traffic outside. And despite being on the 14th floor the elevators came very quickly. Good wireless connections, and free Internet access with printers in the lobby so you can print out boarding passes and the like.One minor complaint - The room is lit by about 6 lamps, so to get the lighting level I wanted I had to walk around the room and turn them all on.My only complaint about value is the fees tacked onto the room service bill -- I order a $9 salad and $11 pizza, and got a $36 bill. They also have the snacks and mini-bar drinks on some sort of touch-sensitive tray so that they know when you touch them, which is a bit much.	
Feb 23 2009 	we'll be back	everything was fantastic here. rooms were beautiful. beds were very comfy. shower was great. view was great. location was great. price was great. Highly recommended! the only thing they need are vending machines. it's hard to find a coke for a reasonable price (under $3)	
Feb 14 2009 	Funky but worth it.	I usually stay at the Palmer House or Drake when I am in Chicago, but opted for this little gem because they had a special of $109. with free parking which in Chicago is worth $40 a day.Check-in was a breeze, front desk staff and and everyone I came in contact with was super. Room was a little small (1526) but nicely furnished; large plasma TV on wall very nice. Quiet area, good dinner choices within a block. Easy CTA (bus) service into the loop.They also gave me two drink coupons which I used in the Crimson Lounge which is a large nicely furnished bar area. Free internet terminals are available in the lobby.Workout room was okay, three treadmills, three elipticals and some free weights. Two televisions mounted on the wall, no headphone jacks. I was the only one working out so it wasn't an issue.Definitely somewhere I would consider again. For weekend visitors parking on the street is free after 6 p.m. on Saturday all day Sunday until 8:00 a.m. Monday. I had no trouble finding street parking if you don't get free parking in your rate.Cheers.Marius	
