	Excellent Value and friendly professional courteous staff in Great Location.	My wife and I truly enjoyed our recent stay at this Sheraton Hotel. The value for money was outstanding - I know the price we paid is a reflection of the current difficult economic conditions but it really was worth much more money. The room and facilities were very comfortable and became our home during a week of constant activity. We looked forward to coming back to our room every evening, our &quot;island of tranquility&quot;, which overlooked the river and was very quiet. The front desk and housekeeping staff made us feel like special guests every day. We really liked the free internet access in the link café; the complimentary Starbuck's coffee and Tazo Teas are a generous and welcome amenity. Every hotel employee we met was helpful and pleasant. We loved the central location for our stay during Thanksgiving Week and will not hesitate to return to this hotel when the next opportunity presents itself. There is much we could say about the little things that make a stay enjoyable, and it is obvious that staff training and attention to detail as well as the intangibles, &quot;positive attitude, pride and willingness to please the customer&quot; are very evident throughout your facility.	
Sep 11 2009 	Great Location Stunning Views	Hard to find any faults with The Sheraton Towers when you compare the price of rooms against other hotels in this location and with the same classification. Firstly the location is perfect and within walking distance to Chicago's 'must go' area’s such as The Loop and the Magnificent Mile. The hotel staff are friendly and helpful, I personally found the beds very comfortable and the view of the River/Lake/City are simply stunning.If you are tired on the evening and don't want to venture far there is a steak house and burger located in the hotel that are pricey but quality and there is a good Irish Bar right next door to the hotel.	
Sep 9 2009 	We had a great time.	The hotel was fantastic. The service was very good. the only thing I didn't like was the bed. it was to weird it must of been a thing called memory foam. I like a hard bed not one you sink into.	
Sep 7 2009 	Average Hotel	I would agree with those that didn't think this hotel was all that. I would also agree with those that thought the hotel was ok. It depends what u want and what u spent. For me there are better choices. I would not stay here again. We paid about $200 a nite for the club floor. It wasn't worth it. The rooms are old and have been updated. They are strangely configured with a sofa infront of the window limiting your standing in front to look out. The ceilings are low and the rooms are a little dark. Parking is $50 a nite for valet (and the way they were parking cars on curbs etc. I wouldn't let them near my car). Or self parking for $35 a nite in a remote lot under the hotel. I counted six separate hallways and and old elevator to get to the self lot. My car was covered in black soot after three days there.The &quot;Club&quot; level included free wired internet in our room which worked ok. The club itself had only some light appetizers and bottled water available. You could ask for a can of pepsi. Wine was $8, beer $6. The room was usually hot, on the first day it was packed. I wouldn't pay extra for this service. The club levels in this hotel are not card key restricted in the elevators. There are so many hotels in this town to choose from that you could find something never and better than this one. If you get a good deal then fine, but it is not worth what he paid plus parking.	
Sep 2 2009 	Overcharges glore poor business center LOW speed internet	I frequent Sheraton hotels around the US and the rest of the world. This is one of the worse suited for the business traveler. First, the hotel had multiple billing errors, Particularly odd was that all of the errors were in their favor, resulting in substantial over charges. This led to half an hour of haggling during checkout until charges were removed. Second, although my office has alerted the business center in advance that we expected delivery of several packages to the hotel, all of the packages went missing, one up to 36 hours. Audaciously, the hotel slapped a $5 charge per each package received, despite the trouble we suffered. Third, internet speed was unacceptably slow, hardly suitable for checking email. The online support scolded us for trying to download files using the service, for which we paid close to a $100. All in all - a serious disappointment, hassle, and expenses.	
Aug 29 2009 	Good Value Good Location Decent Quality	Just stayed here one night for quick in and out work visit. Got a good deal on hotwire.com and having normally stayed in the Hyatt across the river at rates over $100 more expensive I would definitely recommend the Sheraton over the Hyatt.	
Aug 25 2009 	Fantastic. Don't let poor reviews scare you.	So I booked a room in Chicago with Priceline, got a fantastic rate but was nervous when I saw it was the Sheraton.I read the reviews here and assumed we were headed for a nightmare.Well, not so.OK, let's be realistic. Are there nicer hotels? SURE. But this is a Sheraton. It's big and it's a big chain hotel. But don't let the reviews scare you. My wife and I like to enjoy nice hotels and she really enjoyed the Sheraton. In fact, much more than another Hotel we stayed at in Chicago which is rated WAY higher on TripAdvisor.First - The location is amazing.Second - The beds are fine. In fact, I'd be willing to say the beds are very comfy. I never slept so well. VERY soft but also very nice.Third - The hotel itself being large can look a bit run down in the hallways and what not, it's older. But our room was fine, big flat screen TV, amazing view. It's cheap folks, I see a lot of people paying $60-70 on priceline and then complaining... well that's just wrong. If you want to pay for a fine Hotel, don't use priceline. I love priceline and take what they give me with no issues. $75 bucks a night on a weekend in Chicago at a decent quality Hotel with a location like the Sheraton is a 100% no-brainer.Fourth - The staff. Awesome. We got an early check-in no problem at all at 10AM on a Thursday morning. The concierge was just awesome. Going the extra mile to answer any questions we had.Fifth and finally, the Hotel is super quiet. AS I mentioned, we stayed at a Hotel ranked much higher but it was down on Michigan Avenue and WAY louder. We couldnt hear a peep in the Sheraton. But again, keep in mind this hotel is much larger than many of the smaller boutique swanky Hotels, so there are lots of people, kids, families. No issues at all.Cons - Parking in Chicago sucks everywhere. Be prepared to pay 35- $50 bucks a night. And if you check in at noon and leave the next day at 12:10 - be prepared to get nailed for that extra 10 minutes. We found cheaper parking at the Park but the last day had to take a cab to get there, in the end it pretty much worked out the same anyways.Don't be worried if you booked this hotel, it's fantastic and you really cant get a better location.	
Aug 25 2009 	Sheraton was Fine	The location is the best factor - a few blocks from Navy Pier, Michigan Ave, the park....all great. All staff were wonderful and helpful. The only negative is that the rooms are a bit tired in terms of decor, particularly the bathrooms. 80s/90s style tile and fixtures. An update would be in order. Although clean and fine, I've found other moreupdated hotels at the same price.	
Aug 23 2009 	Very nice hotel 	We just returned from a quick Chicago trip and stayed in the Sheraton. We spent 3 nights there and found the hotel to be very nice. I'll give a quick review of a few areas of interest, concern.BEDS : I was very concerned after reading the reviews about being miserable. I found the beds very nice. They are certainly not the slab of concrete we've found in many hotels but neither are they the broken down, sagging in the middle beds one might find in a super cheap hotel. Both my husband, who has a bad back,and I found them very comfortable. My only slight &quot;down&quot; side to the beds was it would sure be nice if more hotels offered double bedded hotels with queen rather than full size beds. We sleep in a king at home and a double is quite small for the two of us - or family rooms with a queen and a bunk bed? Sure would make taking the kids on vacation more pleasant.LOCATION : Fabulous - easy walk to Navy Pier or Millenium Park. We did both walks at least twice while we were there. If you're there during the summer, don't miss out on the Navy Pier fireworks on Wed &amp; Sat. We went Wednesday and they were definitely a hit. We had a nice view of the river and downtown from our room. ROOM / CLEANLINESS / Etc : The room was on the average to small standard hotel room. We don't spend that much time in our room so it was fine but it certainly wasn't huge. We loved the view. An additional chair to just sit and watch out the window might have been nice but with two beds, it would have been a tight fit to squeeze another chair in. The room was certainly clean enough and the cleaning staff we did encounter were very friendly. We had no complaints on size or cleanliness.STAFF : We didn't interact with the staff much but the person who checked us in was very nice. The las night we went to a bar in the hotel (Java I think?) for a drink and took our 2 young children. The waitress was very nice and even brought out a complimentary Shirley Temple for the kids. They were thrilled and it certainly let us enjoy our drink more than we expected.We would be happy to stay at the Sheraton in the future if we're in Chicago.	
Aug 22 2009 	Great Hotel And Great Location	Just got back from a week at the Sheraton and I can say it was great! Rooms were spotless, beds were fantastic loved them! The employee's were so nice, housekeeping was wonderful great job! We love the location a 10 minute walk to Navy Pier and a short walk to Michigan Ave for shopping! Hotel has a Shula's Steak House in the lobby. free computers are available there about 8 of them. The concierge floor and club were great. I prefer this over the Westin MI Ave as they do not offer any club were you can get breakfast and appetizers at night. Guarnteed to be back! Thanks to all at the Sheraton for a wonderful stay!! From a Starwood Platinum member!	
Aug 17 2009 	Great hotel that we really enjoyed!	We were fortunate and got this hotel through Priceline for $75.00 USD. The staff was very nice and our room was clean and roomy. Although others have disliked the beds, I was a big fan. I loved sinking into the softness. If you like a hard bed, these are not for you. My sons and husband enjoyed the pool. The views from the pool were great! The views from our room were awesome! It was wonderful to look at the river and dowtown at night! The hotel is within walking distance of Navy Pier and great shopping and restaurants. I would recommend going to the Fox and Obel Marketplace/Restaurant just three blocks away. Very reasonable prices. We were able to check in early and the bell hop kept our luggage until it was time to catch the train. All in all, my family gave this hotel a thumbs up!	
Aug 15 2009	Sheraton Chicago - outstanding location no issues	Read all the reviews here. I found no issues. This a very large convention style hotel. It is stylish, well maintained, and professionally staffed. In many aspects, this is an elegant hotel, well maintained.The location is on the north side the Chicago river, technically across from the river walk. By taking an escalator down from the lobby level, guests can walk right out onto the very attractive riverside plaza and walkway, running from Lakeshore to Michigan Avenue. You can easily walk to Michigan Ave and cross to the other side which extends much further east. There is a beautiful fountain (Centennial Fountain) just yards away from the hotel, with pleasant benches and a couple of restaurants with outdoor seating. A short walk away are docks for river tour boats. We enjoyed a one hour &quot;architectural&quot; cruise a lot more than I expected - you get great views of all the major buildings.The proximity of the river and the plaza areas are a big plus in my view. This section was pretty uncrowded and sedate, and offers stunning views of the river. During warm weather as we had, it made the downtown location totally pleasant. I particularly enjoyed drinking my morning coffee and reading for a half hour or so in one of those &quot;life is good&quot; moments watching residents of nearby condos jogging, walking their dogs and such.The hotel amenities are all first class, and if you don't mind paying $22 for a breakfast buffet (as an example), the quality is good, with stylish and tasteful decor.I travelled with my young adult son to see a Cubs game, and while it was not all that convenient to Wrigley, we had no complaints. The rate at Priceline was $189 (there was an airshow on Saturday, and they were full), but I did not find any great bargains at hotels downtown.We arrived at about noon and requested an early check-in, which was happily granted. Our room on the 11th floor looked east along the Chicago river, and the view was outstanding - looking over the water with the new Trump hotel dominating the view, along with the Wrigley building. We were very impressed. I imagine most rooms on higher floors will have good views.All my contacts with reception, concierge, even housekeeping and bellmen (we stored our bags for a few hours the last day) were 100% pleasant and professional.I found the beds OK (not remarkable in any way), but I would agree that noises in the hallway and adjacent rooms are rather easily heard. In our case, our neighbors were not very noisy, although I can imagine that this could be problematic.I would have appreciated free wireless internet connections (I think the service was $12 a day) but they did have about 8 nice computers connected to a printer that guests could use free in the coffee shop - which incidentally was pretty good (with somewhat inflated pricing). Again, prompt and friendly service there.Overall, we enjoyed the visit to Chicago, and I thought this &quot;big city&quot; visit was far more pleasant than a similar trip last year to NYC, with the hotel and its staff hitting very high standards. I'm sure you could find fault, but our experience tells me most people will be satisfied, and the location is excellent.	
Aug 15 2009 	The bed is horrible--isn't that the only reason for a hotel?	Stayed at the Sheraton Chicago for 4 nights during a long weekend at the beginning of August and I can't complain about the service. Set your expectations for a very large hotel and you will be happy. Unfortunately, in my opinion the only reason to stay at a hotel is to sleep and get ready for the day and the Sheraton disappoints in both respects. As other travelers have said, the beds are just ridiculous. I couldn't wait to get back home and sleep in my own bed so I wouldn't wake up sore. The bathrooms are in serious need of upgrading and a deep cleaning--mildew on the shower curtain! cracked tiles on the floor (never mopped during our stay) and just a general sense of unsanitary practices. The location of the hotel is great, but I can say that next time I'm looking for a hotel anywhere, I won't be looking at a Sheraton until they get rid of their &quot;bedding system&quot;.	
Aug 11 2009 	Bring your own matress!	I was in Chicago for two nights. I had booked my reservations through Priceline and was very pleased with the reasonable rate we payed - $80.00 USD a night. The Hotel was large, attractive, and well staffed. Best of all, the hotel was nicely situated near all tourist activities. We had a wonderful time walking Chicago and if you’re interested in the architectural boat tours, you can’t get much closer to the dock at the Michigan St. Bridge.Now, the down side. I spent these two nights sleeping on the floor. The super soft designer mattresses were a two night sentence in hell. There was not a spot on the mattress I did not sink in 6-8 inches, and there was no support whatsoever. There were four of us on the trip; two were ok with the beds, not happy, but OK. The other two were in pain most of the night.I Spoke to the staff, they said they are aware of the problem and they have started a campaign of changing the super soft mattresses with more typical ones. They claim to be starting on the top floor and working their way down. Obvious they haven’t reached the 15th floor yet.	
