	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Sep 3 2009 	Not so Impressed	We used Priceline and got a great deal on the Westin River North over a long weekend in August. For the price, I really have no complaints. But, for a Westin, I expected better. We are Starwood Members and have stayed at many of the Starwood properties and this one did not feel up to par. I called and requested a King size bed, river view, a fridge in our room, and a crib as we were traveling with our 2 year old. I was told no problem on any of this. When we got to the hotel we had to wait a LONG time to check in. There was a very long line and only two people working the desk, and one of them was only assisting Starwood Gold members. They gave us our room and we went upstairs. We DID get a King size bed, but there was no riverview, no fridge and no crib in the room. On our way out we stopped by the desk and asked for the crib and the fridge and we were told they would be brought right up. We went out to visit with friends and go back four hours later and there was still no crib in our room. At this point we had a cranky toddler who needed to sleep! I called and requested the crib AGAIN and finally they brought it to us. I don't understand why I had to request the crib three times! We did end up getting the fridge also.Other than that, we had no other issues with the hotel except that we just didn't feel like guests at a Starwood. We are used to friendly staff and people going out of their way to make your stay more comfortable and we didn't get that impression here. It seems like there was a lot going on at the hotel that weekend- at least two weddings were happening on Saturday night- and the staff seemed preoccupied. For the price, we got a great deal on a nice hotel. But to be honest, I always expect more out of a Starwood property and I just didn't get that feeling at this hotel.Also, we were VERY surprised that this property has no pool!	
Aug 26 2009 	Great location wonderful service comfortable and clean rooms	Good value for the money -- rooms are clean, quiet and hotel is well-situated. Concierge is very helpful -- got us tickets for the CAF boat tours that we were told were sold out. Everyone very friendly and pleasant. Location is terrific -- within walking distance of the Magnificent Mile, and some great restaurants. This is the place to stay in Chicago!	
Aug 24 2009 	Great location!	We stayed here this past weekend with a baby and found it to be a very relaxing hotel. The building is old, but the room was big. The location was also fantastic. We walked to the Navy Pier which was beautiful and also to Millenium Park and Buckingham Fountain and to the Magnificent Mile and everything was all very close. There are lots of restaurants to choose from within walking distance and the area felt safe. We also saw lots of other families with strollers so it's definitely a baby friendly city. We didn't have much time to hang out at the hotel so can't comment on the facilities there, but I'd definitely stay here again.	
Aug 17 2009 	Chi-town	Just got back from a 2 night stay at the Westin Chicago River North. Booked through expedia and was not at all disappointed. Location is 'top-drawer', staff were very friendly. Room was really nice and cleaned up very well daily. I did not eat on-site so cannot comment on that but there is a lot within very close walking distance as to anything you want to do in Chicago. Lawry's prime rib-awesome, architectural boat tour-awesome, Sears/Willis tower-awesome (get the fast pass ahead of time). Overall, very happy with the WCRN, did not have a river-view which was disappointing but just meant to actually get out and enjoy everything Chicago has to offer in person. As a note, if you like a little attitude, go to Dick's last resort across the street, the staff there are rude and they do it on purpose so if you like a little rudeness/attitude, that is the place for you, I went, great view of the river, great drinks and you can give it back to them and it only feeds the fire more.....all in good fun so take note of that.....enjoy....	
Aug 14 2009 	Ended Up Here By Accident - But Loved It!	This is an excellent hotel! I only stayed because the Hyatt Regency had overbooked and had sold my room for two nights. How lucky was I? In comparison to the Hyatt, the Westin is an amazing hotel. Friendly staff, up to date and attractive rooms, great food in the restaurant - this place has it all. The location is also good, and the value for money is excellent. The attention to detail is also amazing. The rooms are wonderfully fitted, and feel cosy and inviting. The hotel is also quiet for those who are looking for a relaxing stay. Overall, I highly recommend this hotel.	
Aug 10 2009 	Just "ok" hotel but convenient to great food!	My boyfriend and I just spent 4 nights at the Westin River North during my ABA Conference. Bottom line is that I would NOT stay here again. First, however, I will mention the few positive aspects of this hotel. It is in a great location for food and nightlife (short walk to tons of amazing restaurants and cool bars). We tried Vong's Thai Kitchen, Frontera Grill for Mexican, Sushi Samba, and Lou Malnati's (pizza/pasta)...all of which were AWESOME. Also loved the Rockit Bar for drinks! All those places were just a short walk away from the Westin, so we were happy about that. Now for the negative. Before we even got to Chicago, I had issues with the reservations department. I booked through the ABA's travel people and was supposed to have a &quot;Deluxe&quot; river view room, but when I called to confirm, the reservations lady was beyond rude and told me I was only booked for a standard room and there was nothing she could do for me. I then emailed the Westin customer service people and was IMMEDIATELY notified that my room had been upgraded and that everything was taken care of...So I felt better. Then, when we get there (just about 45 minutes before check-in), our room was ready - which was fine - but when I asked the guy at the front desk how long it would be, he said he had no idea and couldn't even guarantee it would be ready by normal check-in time...I was already frustrated because of my long trip and my problems with reservations beforehand, so this wasn't the perfect way to start off our stay.The room: outdated, very disappointing for a &quot;corner riverview room&quot; - especially considering the rate we paid. We even walked over to the Renaissance across the street (we LOVE Renaissance hotels btw) to see if we could switch rooms, but they were booked solid -- so we decided to try and stick it out. I will admit the bed was comfortable and the shower was nice...definitely nothing fancy though.Concierge service: had to wait several times for the concierge to even be at their desk...have mixed emotions about this, as one lady was really great and the other didn't seem to care much about helping us out. Did get a good list of restaurants though. :)Overall - I wouldn't recommend this for the price. Way too high for what you get.	
Aug 8 2009 	Nice hotel	We had a great time in Chicago and a great stay at the Westin. The hotel was within walking distance from everything. The only time I took a cab was when I went to the Museum of Science. Our room was large and clean. We had a view of the river which was gorgeous.They don't serve breakfast which is disappointing since many 3-star hotels include it for free. There is an Einstein's about a block a way. Also, in-room internet is expensive (another amenity that many 3-star hotels include for free) but you can get free wi-fi in the lobby. The only disappointment was the elevator lobby on the 7th floor where our room was located. I think someone may have vomited on the carpets in that area. The smell was absolutely terrible. I was lucky not to have a room nearby the lobby - I can't imagine how the people near the lobby dealt with it! I could tell that the maids worked every morning to clear the smell by using some sort of citrus cleaner. It only masked the smell and the citrus scent dissipated within 2 hours.	
Aug 5 2009 	Great hotel and a fantastic city	We really enjoy staying at Westin Hotels and this was no exception. So why didn't we give it a five? Two things, One they only leave one type of each coffee in the room (one decaf and one regular), we both drink regular. The first morning my husband called and requested an additional regular coffee to be brought up...45 minutes later, we were ready to go, without the coffee. Saying that, when I filled in the comment card upon our departure, I had an email before the end of the day. Needless to say I was very impressed. Second reason, we were on the Executive Club floor, with included breakfast. At other hotels you get a bit of a variety, not here. Cantaloupe, watermelon, bagels, and hard boiled eggs. Needless to say we ate out for breakfast for the other two mornings.Now Chicago. What a fantastic city!!!! We had such a great time and met some fantastic people. The wine bar next to the InterContinental has great wines and great service. We ate at Two of the restaurants they recommended. The one I loved I can't remember the name of was truly a locals place, buzzing with people who all knew each other. It's Italian and literially right behind the wine bar, down a flight of stairs. The food was fantastic would highly recommend. On our last night we went to Spring about a 10-15 minute taxi ride out of the center of Chicago. Again great food, but it was lifeless on a Sunday night. I would try again on a busier night. Again great service.	
Aug 3 2009 	Good location but nothing special amenity wise	The location was convenient to everything - we did a whole lot of walking because we could. The room itself was nothing special, although I will say the bed was very comfortable (albeit a double was a bit small for us). The cable channel selection was very limited - we wound up watching a DVD on my laptop. The lack of free internet, the posted charging of $1.50 for local calls and $8 bottled water created what seemed like an &quot;out to get you&quot; brand damaging atmosphere. Granted none of this is horrible, but there's other hotels as nice looking to please you rather than nickel and dimeing you.I highly recommend visiting the Art Institute and Millennium Park. Blue line from the airport was a breeze to use.	
Jul 28 2009 	Keep on the Sunny side	Stayed four nights as part of a a convention. While the rooms were quiet on the weekend, the construction of the building in front of the hotel entrance starts at 7 AM. Ask for rooms greater than 01-05 on any floor or specifically request a riverview.Being there on a convention, the hotel is not accessible by the convention shuttles and you have to wait at Harry Caray's for the next bus.PS The Einstein on the corner opposite Harry Caray's is very convenient for breakhast on the go.On the plus side, the hotel is within walking distance of the River North restaurants.A note to the business travelre. There is no business center her and shipping packages FEDEX / UPS was quite a challenge.	
Jul 24 2009 	Excellent hotel in every way!	We got this hotel room for $89 through Priceline. Couldn't be more pleased. It was close to all the activities and provided all the services that we needed during our stay. We paid $48 each day with in and out privileges at the hotel, although we never took the car out. Taxi's were convenient and for about $10.00 each way to places like Field Museum and Navy Pier it made more sense to leave the car. Our room was absolutely wonderful. Couldn't find a fault and I am picky. Clean, very comfortable beds, and a large bathroom with a giant tub and shower. Our room had chairs arranged for easy conversations by the window viewing the river, a very large desk and a large hospitality refrigerator stuff full of all kinds of items. The items were pricey but that is expected for the convenience. It was a beautifully decorated room and we would definitely stay there again. The front desk was easy in and easy out. I can honestly say I have never had a better experience and we have traveled the world. They thought and planned for anything you need.	
Jul 24 2009 	Nice hotel but has a few issues..	We stayed at the Westin for my sister's bachelorette party. We got a great deal off of Priceline for $80/night per room which was awesome compared to everything else in the area. Despite the good deal, there were a few issues we had with the hotel.For starters, when we checked in they asked for an ID and a credit card. They did not say anything about charging the card but before we knew it, she was handing the card back to us saying it went thru for the first room but was denied on the second.. We had prepaid online and she did not say anything about charging the card so my sister then got a little rude and asked why the card was even charged. They said it was a $200 charge PER ROOM for incidentals. Now we don't stay in hotels that often and this may be a common practice but she should have at least told us she was charging the card! Upon arriving to our room we realized that we were given king beds when we requested double beds. They did say they would try to accomidate requests but I find it hard to believe every double bed room was taken 3 weeks prior to our arrival when we made that request.When we got back to the hotel later that night (Very late - abt 2:30 in the morn) we asked the front desk for an extra blanket for the one person who was going to have to sleep on the chaise. An hour and a half later the blanket arrived... There was no way the front desk was that busy that late at night for it to take an hour and a half.Our last complaint was getting woken up to room service &quot;knocking&quot; with their key twice then before we could even answer the door, COMING IN our room while we were getting ready and my sister was in the shower!!Overall I gave this hotel 3 stars. It was nicely decorated and clean but there are some major issues for a hotel of this class. I wouldn't want to be one of those that paid full price for this hotel and had these kind of problems.** We found that parking a block and a half away at a Self Park garage saved us A LOT of money. (between Clark &amp; LaSalle on Kinzie) It was $42 for valet at the hotel and the parking garage only cost us $16. (Night &amp; weekend special)	
Jul 20 2009 	Great Place	My wife and I stayed here on the 4th of July. The hotel was very nice, clean, and comfortable. It was everything I expected from a Westin. The only negative was that the maids knocked on our door twice trying to clean the room despite the &quot;do not disturb&quot; sign being on the door. The hotel was a little off the beaten path. Most CTA buses were about two blocks away. We didn't mind the walk as the weather was excellent. I would definetly stay here again.	
Jul 10 2009 	Worth Seeing If You Can Get A Deal With The Hotel	This is based on a stay on a river view room. XX25 will secure you such a view, and is apparantly a little bigger than the other traditional rooms. The hotel's in a great place to explore the City.Nice property, exceptionally clean, although the hotel seemed just a little gloomy when entering the lobby from the street - it's all the darkened glass windows. It's the same with the rooms. They also have privacy blinds at the windows, as well as curtains.Can't really believe the other rooms offer too much in the way of views as it seemed the Westin's now towered over by other properties nearby.Some roadnoise from the Dearborn Street bridge, but in a way, quite mesmerising.Room minibar had extortionate prices - plenty of convenience stores a short distance away though, so too was the blue E station Clark and Lake - just over the bridge a 5 minute walk and a direct line from O'Hare Airport - only $2.20 and a 40 minute ride.It's the only hotel I've been to, where you're charged a daily rate ($10 per person) to use the gym. That was disappointing. There were also charges for internet access in rooms and in the business centre, although a discrete sign in reception said that there was free wifi in the lobby and the lounge. Offered a room rate on the day of $217 per night which was around $100 less than best price booking in advance on Westin's own website. Pity we'd already prepaid through a travel agent.Obviously, if you like to take a gamble, you can get a better price.	
Jun 23 2009 	Love the Westin!	My husband and I stayed here for a weekend in April and were not disappointed. We have always been a fan of Westin's Heavenly Beds and clean, trendy decor. This Westin stayed true to its name. The location was good for sightseeing as well. It was an easy walk to the Magnificent Mile as well as the Sears Tower and the Museum Campus.The only negative was the concierge...we asked for help in recommending a comedy club and she handed wrote down a phone number and handed us the phone. (I was the only person at the desk) I was on hold for over 15 minutes....it was just strange, I'm not quite sure why she was there! Other than that it was a great hotel!	
Jun 8 2009 	A great business hotel that really goes that extra mile.	The Westin Chicago River North is a posh business hotel with a great location and great amenities. The rooms were top-notch and everything about our visit went smoothly. Read on for details:LOCATION:The Westin Chicago River North is located just outside the northern end of the Loop, on the river, between Dearborn and Clark streets. It is about a 5 minute walk from the Magnificent Mile, about 10 minutes from Millennium Park, and maybe 15-20 to the Art Institute and museum district. Driving, the hotel is completely subject to the vagaries of Chicago traffic, but it's in the neighborhood of 45 minutes to O'Hare airport with typical traffic, and about 10 minutes from McCormick Place. Cab fare from O'Hare was $42 excluding tip.PROPERTY:The Westin has a nice lobby bar, which also has a Sushi Bar attached. There is a full-service restaurant off the lobby. There are available computer terminals that form a sort of mini-business-center just next to registration. The main entrance of the hotel is actually on the 2nd physical floor, and the two levels leading down to River level are meeting rooms and ballrooms, all of which are in excellent condition. There is a fitness center on the Mezanine level. Guest rooms are between floors 3 and 20, with the top two floors being the Westin Executive Club -- generally reserved for suites, top room rates, and high-level Starwood Preferred Guest members. There is a Club Suite on the 20th floor serving complimentary breakfast in the morning, and complimentary hors d'oeuvres in the afternoon, available to guests staying on the Club floors. The Club also offers an executive Business Center which is slightly more functional than the computer cubicles in the lobby.ROOMS:The rooms in the Westin are exceptional. All rooms were fully equipped with the Westin package, including their Heavenly Beds (they are!) and their dual-head showers. As a Starwood Gold guest, I received a complimentary upgrade to a Club-level room upon check-in. The westward-facing rooms have a great view down to the river, and all rooms have large nearly floor-to-ceiling windows, with both a privacy shade and a black-out curtain. Not certain if all rooms have all of the other amenities, but our club-level room also had a clock/radio with included iPod dock, a POD-type coffee brewer, complimentary wireless Internet, a flat-panel TV and in-room electronic safe.STAFF:The staff at the hotel were wonderful. The front desk staff was friendly and helpful, the bellmen and guest services crew went out of their way to assist with plans both inside and outside of the hotel, and the lobby bar crew are experts at serving business groups -- attentive but not overbearing.OTHER:Anyone driving here should beware that on-site parking at the hotel is criminally expensive -- a whopping $42 per night for valet parking with in/out privileges! While it's definitely convenient to park on-site, there is a lot about two blocks away at (I believe) Kinzie and LaSalle Streets, with an overnight rate of $22. The hotel staff actually told us about this alternative lot, so I suspect many guests elect to self-park there.In general, our stay at the Westin was exceptionally smooth and productive. Our meetings in their river-level rooms went smoothly, the rooms themselves were comfortable and well-appointed, and the staff did their jobs well. I would recommend this hotel to any business group, but also to any tourist if you can get a decent rate. The hotel's convenient location to many popular downtown Chicago spots makes this a fantastic option for just about anyone!	
May 25 2009 	Best Westin in Chicagoland!	I stayed hear when my apartment was being painted after moving to Chicago for work. When I got to the front desk (SPG Gold member) they automatically upgraded me to a corner river view room on a high floor. I also had access to their club upstairs. Great hor' dourves and free softdrinks. It was basically my dinner by the time I left. I had a lovely night watching 4th of July fireworks from my window. Slept great and left with late check out. The next year I went their to find a quiet place to talk on the phone and they let me borrow a conference room. AMAZING!!!	
May 23 2009 	Great Room View and Location	I booked this Westin through Hotwire for only $81...a fabulous deal for mid-May. After booking, I called the hotel and kindly requested a King bed room with a river view. What we received at check-in was room 626, a large corner room with three huge windows that overlook the Chicago River! (It seems that rooms ending in x24-x27 are river view rooms). This hotel is beautiful from top to bottom. The location is perfect, right between river north and the loop. It is easy to walk anywhere you want downtown. The room was beautiful and very comfortable. The bed is outstanding, and the chaise lounge is a nice touch. Great LCD TV with HD channels. Huge workstation. Only complaint is that everything is extra $. They charge for internet, fitness center, and a ton for valet parking. Many downtown hotels charge for these also, which is why we still give the WRN 5 stars. Plus, at $81 (regular $250) there isn't much to complain about really. Tip: if you drive in, park your car at the Sterling garage on Kinzie, between Clark and LaSalle. Much cheaper than valet.	
May 10 2009 	great view spacious room but need to clean the bathroom - yuck!	I just returned from 2 nights and it is a very nice hotel, esp the deluxe rooms facing the river - there are 2 beveled floor to ceiling windows that offer a panorama of a beautiful view. The bed is comfy. However, the air (and some staff) are stuffy. The bathroom had an acrid smell - a combo of urine &amp; moldy shower curtain. I had to keep the bathroom door shut. The room itself was clean enough, but they do need to deal with the lack of fresh air and really scrub down the floor. My other complaint is the way they nickle and dime you for every silly thing - NOTHING is free, not the Interent, a bottle of water is $7.00, and a $.75 Kit Kat candy bar is $5.60. This is a turn off - they are not thinking of guest comfort as much as making as much $$$ off you as they can.. The overall ambience is a bit high-end sterile, but otherwise this is fine for a night or two. It is close to everything and very safe.	
May 9 2009 	A good comfortable hotel in centre of city	Overall a pleasant experience. The concierge was very knowledgeable giving us a lot of good information on attractions, restaurants and helping us book tickets for the Bulls game at very short notice. Check in staff were courteous except for a slight discrepancy in final bill which wasn't resolved by the time I left. The hotel could do with a makeover but overall clean and importantly quiet. Service was good and nicely subdued. Downside is that you had to pay $10 to use the gym. Doesn't this come free for guests in other hotels?Bar service was nicely understated and very polite staff. Overall, recommended for both business and personal travel.	
May 4 2009 	Nice Westin but very business oriented	Stayed here for one night on a &quot;staycation&quot;. From the outside it doesn't offer much and feels more like a business tower than a hotel. The rooms and public spaces however are comfortable and elegant. The rooms are typical Westin but it you can secure a room on the south side of the tower overlooking the river you will have a great view and a larger room. Bathrooms nice as well. Great location right on the river and close to everything.	
May 3 2009 	Elegant. Heavenly!	I love this hotel. It's elegant, efficient, spacious, clean, modern, and very well located just across the Chicago River from the Loop. The staff are exceptionally nice, the lobby restaurant/sushi-bar is cozy and reasonably priced, the rooms are tastefully decorated and clean, and of course the beds are great. For a mid-size business hotel, it really feels boutique-ish. Expect nice-size rooms and bathrooms, nice touches everywhere (like a personal computer in the room, oversize room safes, pleasant colors), and generally feeling very much at home. Even the hallways are warm and welcoming.	
Apr 27 2009 	Relaxing	Beautiful Hotel with exceptional rooms. We were upgraded to the presidential floor for free. Kids really enjoyed the stay with TV,great room service and happy hour. The view of Chicago river was beautiful from your room. Close to everything Chicago stands for. Walking distance to Mag Mile, State St and a lot of well known restaurants.	
Apr 21 2009 	Loved the Westin	We stayed here for four nights after getting a good deal on lastminute.com and honestly could not fault it in anyway, The staff were pleasent and courteous( the concierge in particular was helpful in booking us a river cruise), with check in swift and hassle free, we had a spacious partial river view room with an extremely comfortable bed and an excellent power shower ,We were room only so cannot comment on the hotel food but Einstiens Bagels is only a block away and was very reasonable for breakfast.In terms of location we got a blue line train from terminal 3 at O'Hare straight into Park and Lake (about 45mins) and the hotel was only a 5minute walk away, about 10 minutes walks you to the mag mile one way and to the shops of North State Street the other ( Filenes, Old Navy, Macys etc ).The house of blues was just across the road which is a must see and there are plenty of bars and restaurants in close proximity	
Apr 19 2009 	Special night with my wife	My wife and I both live in Chicago, and this continues to be one of our favorite places for a special night together. We spent our wedding night there and like to regularly spend a night downtown to connect with each other. The staff is wonderful and pays attention to every detail. The rooms are very nice and most have a wonderful view of the Chicago River. In June, when we are doing construction on our house, we are planning on staying at the Westin for two weeks.	
Mar 30 2009 	LOVE this Westin!	I stayed at this Westin for one night while tagging along on my boyfriends business meeting. We usually stay at Westins at this is definitely one of the nicer ones we have stayed at. The location can be pretty easy to miss due to construction but its fantastic (great for shopping) I forgot a pair of heels and the concierge directed us to Nordstrom just a few blocks away (and mapped it out for us) She said there was a Macy's and Filene's Basement in the opposite direction but I believe that was a few blocks further. The concierge also made a recommendation for a great Italian restaurant within walking distance (Coco Pazo) and made reservations for us as well. She's friendly but a little too chatty...The lobby is open to the restaurant/bar but the entire area gives off a trendy vibe. Check-in was quick, everyone was friendly and within just a few minutes we were in our suite. The suite (I forget which kind) was large - a wetbar area, living room/office, with seperate bedroom, and a huge bathroom. The entry way/wetbar had a wall of mirrors that led into the living room. There was ample seating (3 person couch, chair) flat panel tv, desk with Mac desktop and the room was so large it didnt feel cramped.The bedroom had a Kind bed, flat panel tv, seperate sitting area with chaise lounge and was still very roomy. The bedroom closet had more than enough hangers (I'm a stickler about this)The bathroom was HUGE - seperate stand shower, tub, but i do with there was a bit more counter space. There was more than enough towels in the bathroom and two bathrobes too. I absolutely love this Westin and hope we stay here again next time we're in Chicago!	
Mar 23 2009 	True to Westin theme.	This is the second Westin we have stayed at, and I have been impressed so far. Got a great rate for the weekend, so the value was worth what we paid this time. Our room was on the 14th floor, lots of space (especially good for pack-in-play!), decent view, and quiet, clean room. Service was spot-on. While the location is within walking distance (about 12 minutes) to Michigan Ave, and other downtown shopping (and subway), businesses in immediate neighborhood do close early. Hotel restaurant kind of pricey (but aren't they all?), but good diversity, and even contains healthy food options. Parking pricey ($42 per 24 hours) - but not unexpected for a downtown location Would stay at again.	
Mar 13 2009 	was less than expected	the location is very good for shopping and dinner, don't expect a great reception, the executive lounge charge you for drinks-expensive is small, but is good for breakfast,	
