	Class at a reasonable price	Arrived at this hotel on a cold sunday afternoon and I was greeted by very friendly staff, and free steaming hot chocolate and marshmellows. A great way to warm up the rooms were functional, clean and comfortable. Had a great view, when I return to Chicago I would not hestate to stay here again. The staff were incredibly attentive and polite, business centre free internet access was a big plus.	
Oct 30 2009 	Disorganized and Unapologetic: Beware of room 512	In keeping with other reviews, we did not receive the room we were promised: a deluxe king with a water tower view. Instead, we had a bed that was as wide as a king but extra short (perhaps a queen turned sideways?). Better yet, our &quot;water tower view&quot; was a view of the LOUD heating and ventilation system in a side alley (see picts). To cap off the cave-like aesthetics, the ceiling of the interior half of the room was so low that I could place my hands flat against it (I’m 5’4).What ticked me off the most, however, was the snitty way the Allerton staff dealt with us: we were treated as if we’d wandered uninvited into someone’s home and refused to leave. On the upside, this is an incredible well-located hotel. Then again, so are a plethora of others.	
Oct 29 2009 	Exceeded All Expectations	I recently stayed at the Allerton and everything about the property exceeded my expectations. The rooms were recently renovated, stylish, clean, and the hotel could not be in a better location. The service was excellent. I have stayed in many 4 and 5 star hotels in Chicago and would put the Allerton at the top with the best properties in town.	
Oct 29 2009 	You can dress up a pig but it is still a pig	They tried hard to dress-up this hotel to make it modern but the pretty look doesn't make-up for the quality of the hotel and service. If I hadn't booked on hotwire for a lower price I would have been even more furious with this place.The concierge was the worst one I have had on the magnificant mile. One incident, on Sunday we asked for breakfast spots and the woman conceirge didn't know of any so she asked someone else, who directed us to 1 restaurant that had an hour wait. After 20 minutes of roaming we finally found somewhere else to eat.The elevators were too small and slow to accomodate all floors so we were left taking the dingy smelly staircase. Luckily we were only on the 5th floor. We booked 2 rooms, my sister called ahead of time to make sure she could get a cot in the room for my neice who came at the last minute. They said it would be fine on the phone. When we arrived they said that the cot could not fit in the room we booked and that they had no rooms with double beds. The only option was to upgrade to a King room for $25 and get a rollaway for another $25. My sister decided to squeeze into the King bed with 3 people.Last but not least our rooms were not cleaned well and had a funny smell. The beds were not four star beds, they were so rock hard it felt like we were sleeping on the ground and the were only full size, not even queen. The bathroom and TV were the nicest part of the rooms, but when your in Chicago on vacation you really need a comfortable bed since you spend most of your time walking around.	
Oct 27 2009 	Good location but bad staff	The location is great. However it's difficult to believe it's a 4 stars (the room was not better than some 1 or 2 stars I experimented)...The staff was not friendly. I would not care if they didn't charge us for an expensive room service we didn't order. At first I thought the problem was resolved with the concierge. But finally we saw in our credit card account they still charged us. After email, phone call and fax, we still don't have any answer after 2 weeks...my advice is: be carefull and check your account after your stay.	
Oct 26 2009 	poor customer service	I stayed in the hotel during a recent business trip to Chicago. While the location is great for sightseeing, it is pretty far away from the airport and there is no shuttle provided by the hotel. The rooms are pretty small but functional. One thing that bothered me was that you couldn't put any of your own stuff in the minibar refrigerator. You will be charged for anything you move and if you didn't consume it, there is a pretty steep 'restocking fee'. Also, the hotel doesn't offer any soda machines so unless you go to the next store a couple of blocks away (which was nicely recommended by the restaurant staff) you are stuck with the overpriced minibar.My main complain came on the day of departure. You have until noon to get out of your room, so I had most of my things packed up but left it in the room until my business meeting as finished. When I returned around 11 am, the room had been cleaned and anything I had not packed away (drinks, cookies, shower stuff) was gone, even though I clearly had not checked out and some of my items were packed in plastic bags. When I mentioned it during check-out, I was told there was nothing they could do about it and pretty much got &quot;I couldn't care less' response. What bothered me more was the overall attitude than whether I lost a few things.	
Oct 25 2009 	Decent hotel in great location	The Allerton is in a perfect location on the Magnificent Mile, especially if you're in Chicago to see the major sights and/or go shopping. I was afraid to approach the front desk after reading some other reviews, but the staff were perfectly friendly and the concierge very helpful.I was given a king-size room even though I was alone, which was roomy, clean, and nicely decorated. I had no view--just one small window that looked out onto a fire escape--and the room was dark with the lack of sunlight, but in a building that large and old there are going to be some rooms like that, and they might have moved me if I asked. I got the room very cheaply through Hotwire, so I didn't feel comfortable complaining!The hotel restaurant is open only for breakfast and lunch, not dinner (the information book in my room said otherwise). A jazz singer performs in the lounge on Wednesdays and Saturdays, which is nice, and the entire second floor, including the lounge and check-in area, has free Wi-Fi.If you like to channel surf, this is not the hotel for you--there was a nice big TV in my room, but I was surprised to find that it had ONLY pay-per-view programming. And one movie costs $15.00. It seems ridiculous to provide rooms with such nice televisions and not equip them with cable--it would have been nice to at least watch the news. But this was my only major complaint with the place.	
Oct 25 2009 	Don't Bother	I stayed here via a win on Priceline - good thing i didnt pay full rack rate for this hotel! I had one night that I just wanted to relax after a business trip in Chicago and should have continued my stay at the Affinia around the block!I arrived on a rainy Friday, tired and exhausted from the work week. I was here alone, just wanted to chill and relax and take in the Michigan Avenue sights. The hotel has a very odd entrance. You arrive into the hotel to the bellman's area - - the bellman gladly took my two bags and gave me a ticket/receipt. I figured he would just bring the bags up to my room. NOT. They were SO busy with hundreds of bags in this small area -- and then that particular area leads you to a whole other section of elevator banks -- taking you up to the lobby on the 2nd floor. I figured that out....went to the registration level and checked in. (Check in process took forever - the line was very long). While i was there, this poor guy, (father of the bride) was already complaining about his very small room. I was thinking...OH NOOOO - i just got here and there are problems already? I got to my room on the 19th floor and it was TINY. Very poor layout, not very updated just a little box and a very small bathroom that was just looked like they attempted to renovate it, but it was still old. Only one person can fit i there at a time, put it that way. The noise level wasnt bad at all compared to the Affinia around the block. My room faced Michigan Avenue and not the hospital down the block...that was THE only good thing - the room was quiet and i managed to sleep well. The bed was just OK - -nothing ultra comfy/modern. Oh, and internet was additional at $9.95.This was the first time that Priceline has ever disappointed me with a hotel. I wouldn't ever stay here again. And, if I paid full price for this hotel, I would have been really angry. Do yourself a favor, find another hotel in the city.	
Oct 12 2009 	Poor Customer Service	I had arrived in Chicago very early on a Friday morning and dropped off my luggage with the bell service. I knew that I wouldn't be able to get a room right away, but the front desk attendant that morning called me on my cell as soon as a room became available. I thought to myself, &quot;what a nice gesture!?!&quot; Unfortunately, the front desk attendant who helped me check-in Friday morning was not the same attendant during my stay on Saturday and Sunday and I didn't receive the same courtesy from the other attendants. The weekend front desk attendants weren't very pleasant, weren't helpful, didn’t smile, had no personality and when I asked to speak to a manager regarding a concern that they couldn't help me with, I was told the manager was on break but would call the room once they returned. The manager never called. I even left my cell number and they didn't bother to call that either. Then, I requested a late check-out on Sunday from an attendant that worked Saturday and was told I could stay till 2:00 p.m. Then when I reconfirmed the late check-out with the attendant working on Sunday, she told me that they weren’t honoring late check-outs to anyone. I told her that the attendant I spoke with Saturday told me I could I stay till 2:00 p.m. And she said, “Well, I guess I can’t tell you can’t stay till 2 if someone else told you it ok.” And then rudely dismissed me for the next customer standing in line.I wish the lovely woman who helped me Friday morning, worked on the weekends, because I have a feeling I wouldn't be writing this negative review. I chose The Allerton Hotel because it had a great location, but I now know, why bother with a great location if the front desk attendants aren't pleasant. Yes, the rooms weren’t very big, the elevators were tiny, and the hotel charges you to use the internet in your room, but I could overlook all that. But what I can’t overlook is bad manners. I would not recommend staying at this hotel if you have any questions or concerns during your stay and need to speak with the attendants.P.S. – The bell service was fabulous. They were a great group of kind men who helped with our luggage, hailed down taxis cabs for us, and one of the men even suggested a great breakfast spot a few blocks from the hotel. The front desk attendants should learn something from the bell men – common courtesy!	
Oct 11 2009 	Top notch experience; the room the atmosphere the food the event space.	We held our annual user conference at The Allerton Hotel. The staff is attentive and the hotel seems to have low turnover as we see the same faces year-to-year. The food is excellent and the rooms are small but well appointed.	
Oct 8 2009 	Trendy comfortable hotel right off Michigan Ave	Stayed here for one night, while in Chicago on business. Front desk was efficient and very pleasant. They upgraded everyone in our group to suites (no prompting required!). The rooms were spacious, with long hallways, separating out three distinct areas: an entrance way, desk/work area and bedroom (and two huge flat screen TVs). Had excellent views of the city, and is in a great location with lots of shopping and dining options just outside your doorway. The hotel bar was also nice, small but cozy. And it looked like they had special happy hour deals, but we missed that. Would definitely recommend this hotel, and am hoping to stay there again the next time I'm in Chicago for work.	
Oct 7 2009 	Nice hotel great location!	The location of this hotel is super, the doorman and the bell boys were very attentive. The only minor is that you have to pay ($ 9,95/24 hrs) for wireless internet connection. It surprised me as we stayed in various hotels/motels during our 4-week trip through 13 states in total (including cities like NYC and Boston) but everywhere the internet was for free. No, correction: at the Motel6 you had to pay $ 2,99/24 hours. But hey, at a nightly rate of $ 60,- what can one expect. For the rest it was fine!	
Oct 4 2009 	Miserably disappointed....	I visited the Allerton this past weekend for a girls trip. To say we were disappointed is an understatement. I visit Chicago many many times a year and often stay at many other fine hotels on the Magnificient Mile. I had yet to stay at the Allerton, and can tell you it will be the last time. I can say one thing..it is in a great location. That is the extent of the pro's. This was my girlfriends first time to Chicago and I was so excited for them to experience an old hotel like the Allerton, however now I am embarrassed.From the time we arrived (it was pouring down rain) the valet and bellman could not be bothered to help us. We had to unload our entire car ourselves, and then actually yell to get their attention to come and valet the car. You would think at almost $50 a night for valet they would be somewhat attentive. They did not offer to take our bags to the room or even hold the door, the bellboys continued to have a conversation amongst themselves why they watched us struggle in the pouring rain.We then went to the 2nd floor (odd for checkin) to the front desk, and was greeted by a lady whose name escapes me. She was pleasant enough, but seemed uninterested with the problems we had. I explained to her what had happened and she offered us a &quot;free breakast&quot; which was insulting as it was only the smallest continental breakfast I have ever seen, toast , crossaint, and juice and coffee. But for $5 additional you can upgrade to an even more disappointing buffet.So back at this point, we had found a &quot;great rate&quot; on priceline.com in which I had paid full price or I would have just left right then out of sheer principle,. but we couldnt. Once we got in the tiny tiny elevator, and made it to our room I was fuming. I have never had to drag my own luggage, soaked by rain to my room at a hotel of this caliber on a Thursday evening at almost 9pm. We opened the room, and I thought it was a bad joke. There were 2 double beds, in which you could barely walk by them., The tv was in a position that you could not watch from bed. The bathroom was a larger joke, no counter space and the shower had ZERO pressure. It seemed like I was in a bad movie. The beds had feather mattresses and were extremely uncomfortable. One more pro for the hotel was that they offered 2 glasses of wine in their bar for happy hour, but the bartender was totally aloof and arrogant.Then the topper was there was one tiny bar of soap in the bathroom for the shower, but none for the sink. They also wanted to charge for internet access in the room. But if you want to drag your laptop to the lobby you can have it free there.The hotel has been remodeled, and is very clean. But it is clear that management allows customer service to be at the very bottom of their priority.I have traveled extensively for business and leisure, and am accustom to hotels that appreciate our business and treat us as guests. Unless this is the last available hotel on the magnificent mile, I would recommend NOT giving them your money.	
Oct 3 2009 	Great location - Great service	Three friends recently stayed at the Allerton for fun. The other reviewers are right on the mark when they say the location is great - right in the middle of everything. We were able to walk almost everywhere we wanted to go. The metro is close too. We took advantage of the upgrade opportunity we received in advance. For just a few dollars more, we were able to get a small suite. It was the perfect size for three people. Two nice sized rooms, with a sleeper sofa and 2 queen sized beds. Even though they knew that 3 of us would be staying in the room, we consistently were given only enough towels for 2, and there were no linens on the pull-out sofa. But we called housekeeping, and what we needed was delivered very quickly. So it wasn't a big deal. And I don't know what elevators one of the previous reviewers was taking, but we were on the 18th floor and breezed right up there every time. And the free wine in the bar from 4:30-5:30 was a special treat! We had a great time at the Allerton. No complaints from this trio of friends!	
Oct 3 2009 	Tiny Room but big comfort	The Omni across the street was booked solid, so I looked across the street and saw the Allerton. So while my friends stayed at the Omni, I took a room at the Allerton. The two could not be further apart. Although my friends and I waved at each other from our rooms, the feel of the Allerton is decades away from the upscale chain Omni. The Allerton's sign at the top of the building gives a traveler a hint of what the Allerton is - the Tip Top Room used to be one of the hottest clubs during the big band era and the hotel retains much of that Art Deco feeling. It has real character. But, built for single travelers, the rooms are tiny - &quot;petite classic&quot; was the description of my room. It was bijou, but spotlessly clean, nicely laid out and with all of the upscale amenities - lcd tv, wireless internet, robe, room service, etc. The fluffy comforter on the bed was perfect for a chilly Chicago night. Despite the small room, it looked out over Michigan Avenue with great views of the Magnificent Mile. The bathroom was beautifully done with retro style tiling and fixtures (great showerhead), but there was no shelf or space for toiletries which really undermines the feeling of luxury. Still, the location can't be beat and for the money, it is a great value. My next time in Chicago will be at the Allerton	
Oct 2 2009 	Location Location Location	My girlfriend and I stayed four days at the Allerton. I couldn't stress enough how great of a location it's in. Everything is in walking distance and a few block away from the metro. We flew into Midway and took the metro all the way into Downtown. We walked a flew blocks and there's the Allerton. It's surrounded by all the famous deep dish pizza joints and all the restaurants you can imagine. It's a few blocks away from the Hancock Building where you can have dinner and drinks on the top floors that have some spectacular views.The rooms were a little small but not that big of a deal. The shower was amazing. Great water pressure and high end soaps to go with it. If you don't plan on hanging out in your room, the petite room is good enough. The fitness center is very modern. The elevators can be a pain. You might have to wait awhile as we did. They are also a little cramped so if you have a lot of luggage good luck. That would be my major complaint. I think I would come back again epecially at the price I paid.	
Sep 28 2009 	Fantastic value unbelievable location	Just returned from a weekend anniversary on Sept. 25 and had such a positive experience. From the valet parking (pricey but worth it) to the staff to the guests, everyone was incredibly helpful and good natured. The hotel has good vibes. Tip: Apply for the optional upgrade, which means if they have a suite available they will upgrade you for $15. (The standard room was only $99.) We got one it was indeed first class. The hotel is classic old architecture, restored to perfection so if you love the details and don't mind smaller spaces, it is a real joy. We were twenty floors up, so street noise, (right on Michigan Ave. was not a problem. On site restaurtant is expensive but worth it. With the valet parking and room, it came out to about $150 a night, great for right on the avenue, much more expensive hotels are right across the street. Do yourself a favor and check it out. We plan on returning each year.	
Sep 19 2009	Allerton Hotel New York in Chicago...	Chicago: The Allerton Hotel - Chicago. September 17 - 19, 2009 My husband and I were visiting family in Chicago and wanted to spend a couple of days downtown and booked our trip online. The Allerton came up as a four star and because of the location, I thought it would be a good deal. Our experience left a few things to be desired. The hotel is older but the renovations were nice. The valet and bellmen were very accomodating and could not have been more wonderful. We had a pleasant greeting at check-in and that's pretty much where the good times ended. We arrived in our room and the standard room was smaller than hotel rooms I stayed in while visiting New York and I didn't think that was possible. The bed must have been a full size bed and there was very little walk space on either side. The bathroom doesn't have any real counter space so all toiletries must be left on the desk. I turned the bed back and the linen was filled with soiled spots. When I called to inform the front desk, the woman was short, didn't apologize and let me know she would send housekeeping up. I called back 35 minutes later when no one showed up and spoke to the manager who was very apologetic and sent them up immediately. She assured me she would follow up with me to make sure things were satisfactory but never did. Welcome to The Allerton! The hotel was clean and the location couldn't have been better but if you are looking for comfort I say, keep looking.	
Sep 7 2009 	Wonderful Stay-Loved the Art Deco Feel	We took a romantic trip to Chicago for Labor day weekend. The Allerton was in the PERFECT location. We walked almost everywhere in the city. I could not recommend a more wonderfully situated hotel. The decor is splendid, it is art deco and very chic. I loved the lavender smell in the entry and lobby areas. Our room looked over MIchigan Ave. We stayed on the 6th floor. I believe the previous reviewer maybe a little misinformed because this floor was beautifully remodeled and it was only one floor higher than the 5th. I have to disagree with the previous reviewer in their negative rating of service as well. Anytime we requested a service or information it was prompt and the whole staff was very informative. The rooms are small, so I recommend upgrading to a larger room. I believe that their smallest rooms are called &quot;Petite&quot; so try to upgrade from that. They have blow dryers, high end shampoo and conditioner and body lotion. Also, you can dock your IPOD on the alarm clock.Beautiful decor, great service, and a perfect location..I highly recommend! We will be back.	
Aug 24 2009 	Dismal Service	You can't beat the Allerton for location, but even a Motel Six beats it for customer service (or at least the service I received). When I arrived, for a business trip, the distracted and seemingly unhappy desk clerk put me in a terrible room, tucked behind the elevator...tiny...dark...bed went from one wall to the other, so you had to climb across it to cross the room. I called and requested another room. I was put on a different floor in the SAME TYPE of room -- only it smelled dank and unpleasant. It wasn't until I went back down to the desk and demanded a better, sunnier, room that I got one. The desk clerk didn't look too happy, however. That indifference (it even felt like hostility at times) characterized the service during my entire four day stay.	
Aug 17 2009 	Very happy!	Booked the room only a week ahead and was suprised at the rates we were still able to get while other hotels nearby were sold out. Went for my 40th birthday, and if you are going for a special reason make sure to note in the reservation. We were given a couple of free drinks and free breakfast (which we missed!). We also took advantage of the E-upgrade sent to us. Worth it for the bigger room for minimual price increase. Parking did seem to be higher than other places we have stayed in the past, but al least they have valet. Elevators were slow, we were on the 16th floor. Overall we were very happy. Great location. Great staff. Great pricing. We will go back.	
Aug 9 2009 	Amazing value great quality fabulous location	We did not know what to expect for the reasonable price we paid. Would it be a dump? As it turns out, the rooms were impeccably decorated - though quite small. The location could not be beat. Right in the heart of the Magnificent Mile - walking distance to many attractions. The breakfast at the hotel was quite expensive, but there is a lovely irish pub called The Elephant and Castle right on the corner which has a plentiful and reasonably-priced breakfast.. We traveled with our 5 children, and had a lovely stay. Would definitely return there.	
Aug 4 2009 	great stay but had some issues	i had booked my reservation through a website and when we got to the hotel late at night the lady at the frontdesk informed me that our room was overbooked and the only thing available was 2 rooms on opposite end so my husband had to sleep in one room with 1 of our kids and i had to sleep in the other room i was furious i had paid in advance fofr a junior suite and she just apoligize and thats all she could do after a few minutes of telling her that was not going to work all of the sudden she said that a specialty was out of order because the bar sink didnt work so agreed to take that room as long as all my family was together i agreed and she said the next morning we would have to move to the room we booked,so when we got to the room we find out it was not the bar sink but the bathroom sink that didnt work the next morning i called the front desk to ask them if our room was ready and the gentleman i talked to said that we didnt have to move if we didnt want so again i agreed to stay in the same room but i mentioned to him about the bathroom sink and he said that was no problem he was going to send someone to fix it the same day well we stayed 4 days and that sink was never fixed i never complaint again because i thought well maybe they will fix it tomorrow my husband was not happy at all we had to brush our teeth in the bar sink for 4 days and he had to shavewith no mirror but other than that our stay was fine.	
Aug 3 2009 	Location and breakfast buffet are great but that doesn't make up for the other issues	My stay was to take the IL bar exam, and about 10 colleagues of mine stayed as well. I specifically requested a room on the 4th floor when I made the reservation a month before. When I checked in, the lady tried to put me on the 16th floor, and argued with me when I told her I had the email they sent me stating the details of my reservation and my specific request. She eventually put me in a room on the 4th floor after I refused to take anything else. I have no clue what the rigamarole was for. I would have had to leave if I wasn't on a lower floor. The elevators are a total JOKE. After waiting over 10 minutes for one the first day, I took the stairs for the rest of my 3 day stay. I always saw a bunch of people waiting for the elevators. The stairs are cool, but for women staying in a city alone - probably not the safest. You can simply walk in off the street and up the stairs to the rest of the hotel floors. No locks to the doors leading to the stairs. Yes, your room door is locked, but would you want to take the chance of being on the hotel floor by yourself with an intruder?Cleanliness is not their forte. The seating area by the check-in desk is nice, but when I sat down, I noticed the buildup of dust on the mantle behind me. When I checked into my room, the TV remote on the desk was FILTHY. I had to clean it before I used it. On my final day there, I dropped something by my bed and when I bent to pick it up, I saw cigarette butts, hair and dust bunnies under the TV stand. Clearly, someone is just cleaning what can be seen and letting everything else get GRIMEY. And, the hotel is supposed to be completely non-smoking as well - so you would think they would clean up cigarettes.	
Aug 3 2009 	Not what i expected!!	We stayed at the allerton on 7-27-09 for one night and we had to wait for our room and also gave us the wrong room i biiked a double suite and they gave me a king so my 2 kids had to sleep in the sofa bed, whe we ask for sheets no one came and gave it o us I had to go find the house keeper and get them my self.The hotel was nice and clean and a very good location if you like to shop, i guess my only complaint would be the front desk.	
Jul 29 2009 	Great Location	The best thing about the Allerton is the location. It is within walking distance to shopping, major attractions and restaurants and clubs. I only had to take public transportation once to get to the Navy Pier but even the bus stop was only 3 or 4 blocks away.My room was a &quot;petite bedroom&quot; which as the name implies was small. I was traveling alone so it was fine for me but it would probably be tight for a couple. The furnishings were sleek and modern. I loved the flat screen TV but I did miss not having dresser drawers to put my things in. For those who like to work out, the fitness room was pretty decent. It had several treadmills, elliptical machines and stationary bikes as well as a variety of weights and weight machines. A bowl of apples was provided so I grabbed one to have as a snack later in the day.All in all, I had a pleasant stay at the Allerton and would recommend it to other travelers. Just do some homework and try to get the best rate you can. I used quickbook but expedia or hotels.com offered comparable deals.	
Jul 23 2009 	Small Room Big Location	We came to Chicago for a conference, which was held at the Sheraton and we were looking to save some money on the room. The location of the hotel was excellent, easy walking distance to lots of restaurants and stores. We walked to the conference and back daily. I have stayed in many a small hotel room in big cities, so opted for the upgraded room size when I booked the Allerton. Well, I would have hated to see the smaller rooms! We were in a corner which was nice, but barely had room to move around the bed. I even went back down to the check-in desk to make sure I got assigned the upgrade, and they were not very nice about it. Well, the upside was the room was clean and convienent. The elevators were very slow and cramped. Good hotel as a home base for sight-seeing or buisness trip, not good if you want to lounge in your room or are traveling with a family. Worked for us for the money, overall.	
Jul 22 2009 	Great Location and Service	I stayed six nights for a conference held at the hotel. The location could not be better, right on the &quot;Magnificent Mile,&quot; near the Omni and Peninsula hotels. The service and staff attitude was among the best in any American hotel I've experienced. The room was renovated, spotless, and comfortable, with flat-screen TV, etc. The only problem, and they forewarn you about this on the web site, is that this is a historical hotel. The the consequence is that the rooms, though renovated, are quite small by contemporary American standards, rather like a hotel in Paris or Tokyo. And I was disappointed that there was no coffee machine in the room. Otherwise, the stay was great. Recommended!	
