	A Quiet Retreat	Located on a quiet, residential street in the Gold Coast, the Hotel Indigo was always a pleasure to return to during our four night stay in a hectic city.The room was very peaceful with a soothing decor of wicker furniture and murals of shells. A bit small but there was a place for everything. And the room was very quiet -- no noise from the hallway or from the outside. The hotel is also a good place if you are travelling with a dog. A dog park is only one block away and Lake Michigan with its boardwalk is only four blocks away. Restaurants are close and it is also only a short walk to shopping on Michigan Avenue. If you are looking for a small hotel in a quiet area versus a large hotel more central to downtown, the Hotel Indigo should be just right. And the door man always greeted us with a smile!	
Sep 14 2009 	Perfect Location	We stayed for a week and were very pleased with the location of this hotel. Easy to get to anything we wanted to do. Lots of places within walking distance. The train is within a couple of blocks and is easy get anywhere. Convenience stores, restaurants and night life close by. Hotel is located in a nice, safe residential neighborhood . The staff was very attentive and helpful. We did not even bother with a car the whole time as it was not needed.	
Aug 25 2009 	Delightful Hotel - Fabulous Location	We found Hotel Indigo upon realizing that my old, cheap, fav, Days Inn on N. Clark, had closed... Indigo was more expensive, but considerably less than other Gold Coast locations, with a parking ramp next door, and located one block from the subway. What a great surprise! With decor based on aesthetics, the Golden Mean, and art symbolism, the Indigo was a treat for the senses - funky, comfortable furniture, unique wall coverings, interesting spaces, awesome colors. It was more like visiting the comfortable home of an artist than staying in a hotel. The staff were wonderful. We've found a wonderful place to go back to in Hotel Indigo!	
Aug 22 2009 	Not happy with the service	We just returned from 2 nights in Chicago and stayed at the Indigo in the Gold Coast area. This is a great area to stay as it is within walking distance to lots of great restaurants, the EL, and sights. This is why we chose the Indigo. It is a &quot;cute&quot; hotel and the doorman could not be more helpful. But it stopped with the doorman! My husband is a frequent traveller and we were upgraded to a &quot;suite&quot; on the 14th floor. Mind you, we knew beforehand the rooms were quite small and this also goes for our &quot;suite&quot; but it was fine for the 2 nights we were in town. We went out sightseeing in the morning and when we returned around 3 PM our room was still not serviced. We had to call the front desk for clean towels and when they still did not arrive, I had to find the attendant's cart and get my own towels, shampoo etc. Also, I woke up at night and stepped in a puddle of water from a malfunctioning air conditioner. We notified the front desk when we left in the morning and again, it was never attended to and once again there was a puddle of water near the bed which we used all the clean towels to mop up ourselves. I would recommend staying in this nice neighboor atmosphere, but don't recommend the Indigo.	
Aug 22 2009 	perfect in every way	We visited Chicago for a weekend getaway. Jersey Boys, Great Food and Nightlife. The Hotel was really an afterthought but we were pleasantly surprised. The staff was the absolute best and our room was spacious and had a terrific view of the city. The neighborhood can't be beat - and we visit chicago a lot! I have never written a review before but my friends suggested that I tell you about my stay. &quot;oh, what a night! &quot;.	
Aug 21 2009 	The cutest hotel EVER!	I got a great price for the Indigo Gold Coast through Priceline. Usually I stay closer to Wacker when in Chicago but I liked the idea of experiencing a different part of downtown.The hotel lobby is bright and welcoming. The front desk folks were attentive and I got my room assignment quickly. When I opened the door, I let out a little &quot;Oh my!&quot; when I saw the room. The decorations are NOT what you would see in a typical hotel chain. Fresh, unique, bright and beachy. The ice bucket is a tin pail!I liked having wood floors (they are much cleaner) and the bed was super comfortable. The white pillowcases had &quot;Curl Up.&quot; embroidered on them. Awwww! The 'Melitta One:One' coffee maker was awesome and I am going to purchase one just like it.I thought the room was very clean, as was the hotel in general.The only complaints I had - there was no pen or paper in the room and I needed to jot down a phone number. Maybe there was one, but I couldn't find it. The ice and snack machines are located on one floor only, the 2nd, and if you are staying on the 14th floor, that takes a while. (The elevators were a little slow.) If I were staying in the room with someone else, I would ask for a room with two beds just to get more room. I thought the room I had (Rm 1412) was a little smaller than I would prefer, but I was staying alone. Still, the smallish room wouldn't keep me from coming back again with my husband.	
Aug 17 2009 	Fantastic little hotel	Great location, superior service, clean and comfy. With the great rate I got on Hotwire, I'd say there was no better option in Chicago in that price range. The folks at the front desk, the bellmen and the bartender were all very friendly and accommodating. The hotel is around tons of restaurants and bars in a very nice neighborhood and there are even a couple of drugstores and a grocery within a block or two. Only a four or five block walk to the lakefront. This was a perfect spot for our weekend getaway and we would definitely stay again and recommend it to friends.	
Aug 10 2009 	Pretty Average	Great price booking on-line, nothing fancy, no parking, great doorman and lobby staff.	
Aug 3 2009 	Average at Best	My family and I found this hotel on Priceline at the last minute and were pleased with the location and the price, but I'm glad I didn't pay any more than I did. The website gave the impression that they had double rooms with queens, double rooms with doubles, and king rooms. When I arrived, however, I was told that I had been given a single queen room. I asked if there was anything else available and was told that I could have a double queen room for an upcharge. When I asked if I could have a rollaway bed, also indicated on the website, the women at the desk said, &quot;It already has two beds&quot; and offered no other explanation. When I asked why that mattered, she said that it was against the law to put another bed in the room. Overall, she was very condescending and rude, a stereotypical &quot;city snob.&quot; The room was nice but showed some wear. The fitness center had a diverse collection of equipment that was well-maintained. The best part about the hotel was its very convenient location.The only convenient parking option was the valet garage next door. The garage clearly gives discounts for patrons who get their tickets validated at about 10 nearby stores, but hotel guests pay full price--$37 for 24 hours.Rude staff, good location, but there are definitely nicer people and better places to stay in Chicago.	
Aug 1 2009 	Worst experience ever!!!!!!!!!!!!!!!	Staff was rude,room was dirty(there was poop in the toilet when i arrived), and i was given a different room than i had prev booked, then when i told them about the room they said i could have the room i had prev booked for an up charge........I will never stay here again!!!!!!!! There are soooooooo many nice hotels in chicago....But, this is not one of them!!!!!!!!	
Jul 22 2009 	Decent but not great	This was a family trip with a 5 year old so that is the perspective from which my review is based.Overall, I would say this hotel is just average, not sure why it has such a high rating on here.Here are my pros:- Unique hotel with vibrant colors throughout, definitely not your usual downtown business oriented hotel. Felt more like a beach front property than a downtown hotel. - Free Wireless Internet- Very friendly staff. - Very clean. - Close to the subway. - Close to a couple supermarkets and the friendliest Dunkin Donuts I have ever been to.- Fitness centreHere are my cons:- Rooms can be absolutely tiny. We were initially given a room with only one queen (very problamatic for the three of us). This room was the size of a shoe box, ridiculously tiny. Not sure how we would have survived if we had to stay in this room for all three nights (luckily we were able to get a bigger room with two beds after the first night). - tiny bathrooms with no tubs, only stand up showers (even in the bigger room we got - in fact the bigger room had a smaller washroom)- Parking is absolutely insane (but I think this is more a commentary on Chicago in general). $37/night valet parking, I think I saw another self park place about a block away (near Rush and Division) for about $30 - still very expensive- location I am putting under cons because I felt this was only convenient if you are interested in the night life area of town, for us as a family this was obviously not the case. Basically this is at the north end of downtown, so everything is either a relatively long walk, subway ride, or cab ride south.- very overpriced if you try to book with them directly and even through Priceline I thought I paid too much for what I was getting- no poolOverall, I wouldn't really want to stay at this hotel again mainly due to the location and the fact that we might get stuck in a tiny room again (seriously the single-bed rooms are dorm-like tiny)	
Jul 16 2009	Absolutely the best experience!	My sisters and I gifted our mother with a trip to Chicago for her birthday. We stayed at the Hotel Indigo May 12 and 13, 2009. We booked the hotel upon recommendation from a coworker of mine, and we were not disappointed. As a matter of fact, we adored the hotel and its staff! The hotel was bright, cheery and clean. The staff bent over backwards to be accommodating and friendly. We had to cancel our first reservation, but the person on the phone was happy to help us both times. We arrived early, prepared to check luggage and tour before checking in, but a room was immediately available, even fulfilling a request for a nice view. Two of the front desk receptionists learned our first names and called out greetings every time we entered the lobby. My mother had just recovered from skin cancer surgery, and these same women treated us as preferred guests, making sure we had everything we could possibly need, including a small refrigerator delivered to the room, a birthday balloon and cupcakes, a card wishing her well and happy birthday, and full directions to any sites about which we inquired. One night upon late return from eating way too much delicious food at Greek Islands restaurant on Halsted Street in Greektown, we wished for a soda. The machine was inoperative, and the night clerk noticed I was returning to the elevator with dollar bill in hand, but nothing else. She asked if there was something she could do, then dashed off to get complimentary glasses of iced soda from the lobby deli which was closed for the evening. We lacked for nothing! Several points of interest about the hotel include a CVS pharmacy with a pre-packaged fresh food and grocery section only half a block away, plenty of fast food and coffee shops within a block’s walk, a subway stop only one block away, a nice little internet nook with a working printer which was useful for hardcopies of last minute tour reservations, and a safe clean neighborhood location. Even though the hotel is close to the waterfront, and not the airport, we easily caught the subway directly from O'Hare to within a block of the hotel, with only one changeover at a centralized station. We did have to carry suitcases up stairs at the stop nearest the hotel, but that was not a problem for us. Perhaps another stop would have an elevator and then a short cab ride would get you to the hotel? CTA would be able to help with that question. The ride from the airport to the hotel was approximately 40 minutes, but we enjoyed seeing different parts of the city for the aboveground portions as we traveled. We purchased a three day subway pass with unlimited rides at the airport kiosk for fourteen dollars, so our transportation to and from the hotel was included in that price. What a bargain! (The pass is good for the subway and city buses. All were clean and efficient and easy to access.)We enjoyed the city immensely, its people were unbelievably genuinely friendly, and we definitely recommend the Hotel Indigo as the best place to relax and receive excellent service.	
Jul 10 2009 	Comfortable clean room friendly helpful service great location.	We arrived in Chicago at 1130am, too early to check in. Hotel Indigo reception gladly took our bags and stored them safely for us until it was check in time. When we returned to check in, a friendly hotel porter took our bags and led us to our room. On the way we asked where to find Goose Island Brewery and he didn't know but said he would check for us. Almost within minutes, someone fro the front desk rang our room to let us know where it was. The rooms are clean and comfortable, but rather small. We weren't looking to spend much time in the room as we wanted to see as much of the city as possible, so it suited us. The location was perfect, in a quiet neighborhood so we could sleep, but just around the corner within easy walking distance were several bars and restaurants. Easy access to the Clark/Division stop on the Red line.	
Jun 15 2009 	Wonderful Hotel	My husband and I just returned from a fantastic stay at Hotel Indigo. It was unlike any hotel we had ever stayed at. The decor had a chic, beachy feel and we couldn't help but smile at all the warm and vibrant colors that surrounded us. It has a central location; is close to the Magnificent Mile, Lakeshore Drive and popular Rush Street. The staff was kind and offered their advice for the many questions we had since this was our first trip to Chicago. We are already looking forward to our next trip and we will definitely stay at Hotel Indigo again:)	
Jun 15 2009 	This hotel is beautiful and "fancy" but everyone there very down to earth and we were comfortable.	The elegance of this hotel was so unique but the staff were always available for any of our needs. We felt very much at home here and hope others learn of our secret of &quot;Hotel Indigo.&quot; Can't wait to go back.	
Jun 10 2009 	Decent hotel held back by lousy housekeeping and maintenance	I got a great deal here through a third party, and as usual, had little recourse when things went bad. (You get what you pay for.) If you're planning to stay here, you should know that the facility itself is showing significant signs of wear and tear. My room was poorly maintained -- significant rusting on the cheap-looking bathroom light fixture, serious mold on the ceiling above the shower, brown nicotine residue on the previously-nice white furniture and television screen, masses of dust on everything from the window ledge to the throw pillows on the bed. Smoke detector hanging from the ceiling by bare wires, set off by every cloud of steam from the shower. Oh, and the wireless signal was terrible. I called down. &quot;That side of the building is spotty, sir.&quot; (Then fix it.) At least she offered to move me, but it was two o'clock in the morning. I declined, passed out, woke up sniffling, sneezing and scratching my eyes thanks to dust allergies. I never got around to moving -- too busy working. Bottom line - once-nice facility held back by terrible housekeeping and maintenance teams. Management can argue or self-flagellate all it wants on Tripadvisor; maybe less time doing that and more time spent training the depressingly mediocre staff. Thanks in advance!	
May 29 2009 	Great Location - but an be a bit cheaper	the hotel is small and nice. staff are friendly. and it is in close proximity to the magnificent mile - the main attraction of the city.downsides: the breakfast options are soooo limited and the bathroom is small. The rate was around $250/night.. can be a bit better.overall... it is a good hotel if you plan to spend most of your time on the road between meetings and siteseeing.	
May 20 2009 	Perfect place for girls' weekend out!	My girlfriend from Tennessee and I stayed here after receiving a recommendation from my BIL who stays here frequently for business. We were going to stay way out in Oakbrook due to $$ issues, but we have absolutely NO regrets for spending a bit more and staying at Hotel Indigo. The location is perfect, perfect, perfect and the hotel itself is wonderful. We really enjoyed it. So much is convenient: Starbucks, a Walgreens, Dunkin Donuts, clubs, restaurants and the Red line of the CTA. I used the little workout room on Saturday morning and felt it was generously appointed for a hotel gym. Really enjoyed the decorating, room design, comfortable beds, and Aveda products in the room. The hotel staff were very helpful on Friday when I was driving in from Michigan and gave me a turn-by-turn to get to the hotel when I couldn't handle the freeway anymore.One note: maybe it's just because I'm small-town, but the parking price for the ramp next door is ridiculous. I spent $78 from Friday pm to Sunday at noon. Next time, I'll take the Amtrack to Chicago and the train to the hotel. We're planning on coming back next spring with a couple more friends and staying here - we really enjoyed it.	
May 12 2009 	Great Hotel in a great location	I have stayed at this hotel a couple times. The Hotel Indigo Chain is a fantastic idea by Intercontinental Hotels (Holiday Inn) to provide a line fun/casual botique hotels in downtown locations. This hotel is in a fantastic location surrounded by ultra high end Chicago Brownstones. The Hotel Indigo is still a somewhat new chain and they are trying to find the balance between a full service and a casual hotel experience. The room service is so-so. Meals are delivered in disposable packaging which is a strange decision considering most companies are trying to go &quot;green&quot;. Don't be afraid to raise any concerns to the Managers, Intercontinental is trying to make this chain succeed and any/all feedback is good for them to hear. My favorite part about this chain is that the rooms are all unique in a modern theme and they ALWAYS use wood type floors instead of carpet.	
May 2 2009 	Very Comfortable hotel.....	We stayed at the Hotel Indigo for the first time this past April. The hotel was extremely comfortable. Loved the decor and how neither of our rooms felt like cookie cutter room. They even brought use a fridge, which was not standard.Our biggest concerns was the shower curtain was moldy at the bottom. I would hope they could exchange this for a clean one. The rug in our room was ripped and torn looking. My other concern was when we tried to exchange some change for dollar bills at the front desk the clerk treated my nieces like she was put out. So i had to go and exchange our coins. Although the only reason why we needed dollar bills was because there pop machines change slot was broke and would only accept our dollars.	
Apr 29 2009 	Great place - would definitely stay here again	3 of us stayed at the Hotel indigo last weekend and we had a great time. All the staff were friendly and the decor is cool, a bit different from the other chain of hotels. We went out Friday night to all the local bars and had a great time, very safe and no taxi required. While there is a restaurant onsite we had breakfast around the corner in the local coffee shop which is good value, friendly and serves good food. The doormen were very friendly and arranged cabs for us and cars to the airport, the desk staff recommended their favourite deep dish pizza place to us and most importantly there is a great shower there.We're only 10 minutes from Michigan Avenue. 1 issue is that the wireless in the rooms wasn't great and was stronger at reception but in general this is a really good hotel in a quiet street just a few blocks from where it all happens.	
Apr 23 2009 	Nice stay!! Very nice hotel	Just stayed at the Hotel Indigo downtown Chicago and had a very pleasant experience! The bed was SUPER comfortable, the staff were all very friendly and accomodating, and the decor of the hotel was very refreshing and beachy. Very cute! I must say, the water pressure in the shower was great too! Only little things are I was unable to close a drape in the room to block out the sun and get privacy-there was only a sheer piece of fabric there and a decorational curtain that wouldn't go down. So that was a tad annoying- and I wish there was a rug also right next to the bed since there are hardwood floors. There was just one at the end of the bed. Also-the hotel is a tad off the beaten path but definitely on a quiet street where I could hear the birds chirping outside which was nice.All in all though-the room was great and a wonderful price- would stay again!!!!	
Apr 14 2009 	Great Location 	My husband and I and our two girls (13,16) stayed here for one night. We stayed in room 1415. It was the quietest hotel room I've ever stayed in. The location is excellent. It's in a residential area so it's quiet. There is a nice cafe just a few doors down for breakfast or a Starbuck's on the corner. We walked to Oak Street Beach, Rush Street, Michigan Ave and just strolled around the neighborhood. The girls loved shopping on Oak Street and then took a cab to State Street for more shopping. The staff was very friendly and very knowledgeable about the area. We will definately stay here again.	
Apr 7 2009 	Beautiful Place...Beautiful People...Beautiful Stay	I was in town for a one day conference and I found the amazing place. The hotel is well decorated and definately had their &quot;theme&quot; but all in all it was very relaxing and very comfortable. It is exactly what you expect and then some from a chain hotel. The staff is great. The found theatre tickets and reccomended amazing places to eat. Being from Chicago originally I wanted to know some new things I may not have been to...and they sent me to some great places I would not have ever thought to go to. I might add that my co workers loved the reccomendations and I was a hit at the meeting the next day.Its a super fantastic chain hotel that I would strongly reccomend!	
Apr 2 2009 	I have never ever been treated so well or felt so unique!	It's taken me ages to write this review...for no good reason other than a tendency to get distracted!I stayed in this hotel in December while I was attending the RSNA conference. Each year thousands of radiologists descend on Chicago and take over most of the hotel beds making it a very busy time for everyone. I was placed in Hotel Indigo but the organisers and was a little concerned after reading the previous reviews. I e-mailed the hotel before I arrived to request a fridge (thanks to tips from previous reviewers) and was pleasantly surprised by the quick and friendly response from the manager, Seán.On arrival I was met by a friendly doorman who carried my bags inside. Check-in was effortless (and sweet thanks to the candy bowl) and I was given a room on the 12th floor. Reception was small but welcoming-a very laid-back, beachy feeling in snowy Chicago!My room was small, but I was on my own so that wasn't a huge issue. No fridge so I rang down and had one in my room in under 5 minutes. Everything in the room was completely spotless. Big TV with cable channels, free WiFi and a coffee maker. Alarm clock is a nice touch. The bathroom was small but immaculately clean and stocked with Aveda products. Bed was sooo comfy. Slept like a log each night.Breakfast wasn't included in my room rate and I just had my own anyway but there were very affordable options in the little restaurant downstairs. I did avail of their Starbucks coffee and loved the staff there. I only got coffee maybe 4 times but the staff were so friendly and remembered me. It was lovely!The onsite gym is open all day and accessible by keycard. It's small with 2 treadmills, bike, elliptical, stepper, weight machines and free weights. The equipment is in good order however and they have pretty much everything you could want-including kettlebells, Bosus and extensive free weights. Loved it! Potential temptation lay in the snack machines just outside the door ;-) Didn't use the hairdressers or spa but it looked clean and friendly. There was also a business centre downstairs with 2 computers and printing facilities. Very handy for online flight check-in!I was allowed to get a package delivered to the hotel which was extremely handy. I was also completely overwhelmed by the helpful attitude of one of the reception staff. I have unfortunately forgotten her name, but believe she was from the Czech republic. She went above and beyond the call of duty to help my fax details when I was trying to order a digital camera and helped me with problems with the order. When I was leaving she gave me a photo album to use with the new camera. Apparently the hotel has a little fund for such little gifts. I have never ever been treated so well or had such a good experience and I have stayed in many hotels and guesthouses. I was upset leaving because everyone was so sweet from the doormen to reception to the guy on the early coffee shift...Location is great, only a few minutes from Michigan Avenue and within a few blocks of Whole Foods and a Dominick's. Starbucks and Walgreens are on the corner and the Ambassador East hotel is on the next block.I wouldn't hesitate to stay here again. It is exactly what I'd want from a boutique hotel-cosy, quirky, homely...and above all, outstanding and personal customer service.	
Feb 24 2009 	Unique hotel close to everything!	I really enjoyed Hotel Indigo in Chicago. I loved the location, close enough to walk downtown but away from all the traffic etc. There are plenty of restaurants, bars, a Starbucks, a Walgreens and a Jewel Osco within a block or so though the hotel itself is in a residential area. We were visiting a son the next street over and it was quite convenient (though the bars do let out at 4:00 am a half a block away). Our room was comfortable and quiet though rather small. The only problem we had was with the parking. Due to some unforseen circumstances, we had 2 cars in hotel parking some of the 2 nights we were there. Our parking bill was $108, as much almost as the hotel. I was charged $32 more beyond the daily charge even though my car was only in parking less than 24 hours. Parking in Chicago is expensive, yes, but shouldn't be that expensive.	
Feb 21 2009 	Excellent!	I stayed in this hotel with 4 other friends. Yes five us us to one room. Going into this experience I thought it was going to be hell, 5 people to one room! As it turned out it was actually really great. We had two double beds in our room and a cot. The bed I slept in was really comfortable. I loved the linens they used. Nice, crisp and comfortable. I really liked the decor. I know it's not everyone's taste but I do like more a modern theme. The television was a normal size and not a flat screen which I thought was weird given the nice modern theme. I have to say my favorite part about this room was the bathroom. I really like how it was designed with kind of like an open shower. It did not have a bath tub just the shower, which was fine with me. And finally it had free wifi! Which, being a tech professional I really appreciate! I hate when hotels want to charge for internet access. So overall great experience. I did think it was kind of pricy but given it's location in Chicago, you'll have that.	
Jan 26 2009 	Mostly a Positive Experience	This hotel was booked using rewards points. However, it was expressed by the person I travelled with that the amount of points it cost seemed a bit excessive, but it was a Friday night and a very last minute booking. We were just grateful for a nice (and very clean) place to stay.Upon arrival we were standing 2nd in line for check in. The person at the desk called for help and we were quickly attended to. Within 5 minutes we arrived at our room. The crisp blue themed decor was very nice (though not my personal taste) and the amenities were ample. This theme was carried out through the hotel and was a nice visual change to the normal beige scene.The room size was above average, however, the set up for the king room was slightly odd. The tv was a traditional 32 inch and the bed was on the far side of the room. Even with my glasses, I sometimes had a difficult time making everything out.The bathroom was large, the Aveda bath products were appreciated, and the linens were very nice for a hotel.The bed itself was well appointed with very nice linens.My only complaint was the heating/cooling system. No matter how much we messed with it, the room was either freezing or steamy. Even when it was turned off, it kicked on periodically and was extremely loud (to the point of needing to adjust the tv volume). There was a thermostat on the wall, but it was disconnected and we could not get it to work.Unfortunately, the temperature issue turned an above average stay into just average.	
Dec 28 2008 	Cute bright clean friendly	My daughter and I spent two nights at this very pretty hotel. The weather was awful---2 degrees with strong winds--so we did not hurry out in the morning. I picked up coffee, juice, bagels, and yogurt downstairs, and we watched &quot;Home for the Holidays&quot; on the TV while we stayed in bed. The beds were so comfortable, the room was so bright and did not look like any other hotel room I had stayed in (big indigo prints, with bright coral walls for accents). We had fun.	
Dec 17 2008 	wonderful experience	Short business trip that became extended due to weather delays. But if I was going to get snowed in anywhere - I choose the Indigo Chicago. Staff was very helpful and concerned about me getting home. Hotel was very clean and comfortable.	
Dec 15 2008 	Cute rooms...but not worth the price	Cute rooms with fantastic comfy beds. Very, very clean. But...during my stay I was told that they do not do check in prior to 4pm, then they shoo you out by noon the next day. Several non essential, but wish they had worked, things were not working in my room (like, remote, in room movie menu option, thermostat), that made the price a little hard to swallow. Seems like the rooms are not checked regularly. Maid service was very, very loud and very, very early, which, again, considering the price was annoying. Front desk was not particularly helpful or friendly.	
Dec 9 2008 	clean comfortable and charming!	stayed with family with children. rooms big enough, nice decor, accomodated our request to get 2 rooms together. we found the staff to be friendly and helpful. view was good and location great! clean, clean, clean!! and one of my family members is a germophobe and she even commented on how clean it was! we would definitely stay again.	
Dec 8 2008 	A good kind of strange!	Just finished a stay at this quirky, strange and endearing little hotel near the Magnificent Mile and am leaving pleasantly surprised by it. Of course, like any hotel, there are a few downsides:-THIRTY-SIX dollars a day for parking!! A staggering amount for putting your car in a spot for a few hours!!-Rooms are very small. Hard to navigate where you plan on placing things in your room.-In my room (610), the curtains couldn't be raised or lowered, as the cords were tangled in a maze that I tried, but could never figure out how to untangle.Among the many positives of this hotel:-Wonderful, tropical feel that's sunny and happy.--Cool colors and furniture selections in rooms, including a very neat espresso-pod machine in each room for a high-quality cup of coffee.-Aveda products are ALWAYS a plus in any hotel!-Very comfortable bedding!-FREE internet connection was an unexpected plus for a city hotel. In fact, it's downright rare!-Quiet halls, nice clock radios, and functional workout room are nice little toppings to round things out.While I have stayed in a hundred fancier hotels with more amenities, this one is simply an offbeat little treat that breaks the monotony of hotel rooms up for a road warrior like me. Definitely worth a try!	
