	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Jul 17 2009 	Everything You Could Want	I recently spent a week at this location for business. As I traveled around Chicago during the week, and visited friends at other hotels, I confirmed again and again that the Hilton Garden Inn is the best kept secret in Chicago. Being in the River North area is perfection. The train is steps away from the front door, there is a grocery across the street (with a surprisingly good natural food section on two aisles...don't be put off by all the processed junk you see as you enter the crowded space), a Trader Joe's two blocks away, Nordstrom across the street in a mall that fronts Michigan Ave for easy bus access, and restaurants everywhere you looked. My husband was thrilled that the Chicago Jazz Mart was a block away as well as an exceptional used bookstore. Spend too much and need to mail things home? There is a post office across the street from the grocery store. It just doesn't get better than this for location. Regarding the room, it was spacious, perfectly appointed, had a great city view, and was spotless day after day. My only small complaint was the bathtub was tiny and not the kind you can lean back in...too concave....so I relaxed in the hot tub near the pool each day. I also loved the business center with three computers, printers, fax machine and copy machine. Wonderful! Regarding noise, the whole city is noisy. That's Chicago. The hotel restaurant, Weber Grill, attracts a lot of lively traffic, but so does every other restaurant in the area. The weekend crowd was noticeably rowdier than the weekday crowd. This is not a sedate hotel for retirees, if you know what I mean. Ask for a room on the upper floors and don't hesitate to call the staff if you need assistance. They were great.	
Jul 11 2009 	The staff went above and beyond to make our experience wonderful!	My family and I were traveling to Frankfurt, Germany, and wanted a nonstop flight. Because we used to live in Chicago, we decided to spend a night in Chicago before flying to Germany since we could get a nonstop flight from Chicago.We Pricelined this hotel and got two rooms for $50/each. We planned for my husband to stay in one room with one of our children while I stayed in the other room with the other child (our children are 3 and 1). We inquired about adjoining rooms, however, and found that we were able to get adjoining rooms, which made life a lot easier. Since our flight to Frankfurt the next day was late in the evening, we asked to arrange a late checkout. They were so helpful that they allowed us to stay until 2:00 p.m. so that my kids could take naps.When we checked out, we asked Kristy at the front desk if there was any way she could arrange adjoining rooms for us again on our way back and she did just that.This was potentially a stressful trip for us, but it was made so much more pleasant just by the small things that the folks at HGI were willing to do for us. Oh, and the rooms were exceptionally comfortable and well-appointed!	
Jul 5 2009 	Thank you Hilton magnificent mile	We actually made a pitch to the Oprah show and met first in one of the convention rooms here. The wait-staff did not know who we were, but they were so professional and excellent to our business party. We were given the attention the HIlton is famous for and the chef was excellent. Front desk politely and proficiently dealt with our particular concerns. We had international investors and when a bi-lingual computer IT professional was needed, Hilton staff was very polite and assisted us.	
Jul 2 2009 	Good value for your money	I got a pretty good deal on the hotel, so overall I was pleased considering I didn't pay a lot.Good location - just off Michigan Ave and close to many bars and restaurants. The Grand subway stop is located right in front of the hotel, which is an added plus if you're to/from the airport via the train.Hotel staff was friendly.Rooms were clean.If you're planning to take a late night dip in the pool (I.e. in the last hour before the pool closes, just a warning that this seems to be the time that many families take their kids swimming (maybe to tire them out??). The hot tub just isn't quite as relaxing with a bunch of 8 year-olds splashing around beside you. : (	
Jun 16 2009 	Another great Hilton	Great location to go to city attractions. Great staff and clean rooms at a great price	
Jun 16 2009 	Nice hotel in a great location	We stayed at the Hilton Garden Inn June 11-14th, 2009. This was our second stay at this location. The first stay was great as well and we really liked the great location just off Michigan Avenue. This hotel is also just off the EL redline, at the Grand Avenue stop. There are a lot of dining and drinking options within walking distance too.Check in went very quickly, no lines. The room was clean and comfortable. Good beds, not too hard, not too soft, they had some sort of adjustable feature, but not like sleep number beds, it has a knob on the side, so I'm not sure how it really worked. We were on the 17th floor and did not have much of a view but that was ok with us. We were not in the room much. The rooms are good sized for Chicago also. (Some hotel rooms can be small there.) I recommend this hotel if you plan to use public transit. It is fast and easy to use in Chicago. We took the train to Wrigley Field for a baseball game on 2 days and also to the Sears Tower and Macy’s. We also visited the Frontera Fresco at Macy's (on State Street, 7th floor) and even saw Rick Bayless stop in to check on his quick service restaurant! That was unexpected! I've seen him at Frontera Grill and Topolobampo before at night, but I was shocked to see him here! We also dined at Shaw's Crab House, which was very good, though we ate in the Oyster Bar, not the main dining room, which is a bit louder atmosphere, but the same food. We also found a great mini golf course in Grant Park, which was very fun, called The Green at Grant Park. You can get a beer before, during or after you play mini golf. We enjoyed listening to the Blues Fest acts across the street while we golfed. Overall, we had a great second stay at the Hilton Garden Inn in Chicago and I'd stay here again.	
Jun 13 2009 	Great location great hotel	Very conveniently located. Across the street from the subway and just a couple of blocks to Michigan Ave. and buses. Nordstroms and Bloomies nearby along with all kinds of great restaurants. Room was large and very clean. Had a corner room with lots of light. Staff helpful. Booked on Hotwire for $76 a night so was delighted to find such a great hotel.	
Jun 9 2009 	Sirens All Night Long!	I had stayed here previously without incident. My last stay will definitely be my last stay. I was awoken every half-hour or so by sirens. Needless to say, I did not get much sleep. Other than that small problem, the hotel and room itself was nice.	
Jun 8 2009 	Next to perfect.	Plusses outweigh the minuses by far. On the plus side:+ immediately on the red line. Could not possibly be more convenient to public transit. Literally steps away. + but you may not even need the subway as the hotel is perfectly central &amp; within easy walking distance of everything downtown.+ very fluffy bed in contemporary and meticulously clean room+ attentive and cheerful check-in staff (went extra mile for us in several respects)+ taxi stand one block away for easy trips to airport or wherever else you may be headed. Minuses:- Breakfast at Weber Grill is mediocre at best. You're better off walking a block or two to any of the surrounding restaurants. (Gospel brunch at House of Blues, for example)- pool is small. (But why swim? You're in Chicago!) - elevator wait times can be a little frustrating - building could use one more elevator. - a little pricey, I guess. Hard to say. Long story short, a lovely stay at a lovely hotel. I won't hesitate to stay here again.	
May 31 2009 	Be prepared to pay LOTS!	We stayed at this hilton on part of a package deal.Its a nice hotel, clean 2 bathrooms in our room, but The extras you have to pay are far too high. Parking $45 per day, $7.00 for a bottle of water!!!! $12 for internet!! The pool was closed for maintanance so asked if we could have a reduction on parking. We were just laughed at!	
May 28 2009 	Mixed up beginning happy ending :)	We had an issue with making a phone reservation and not receving an email confirmation. When I decided to call to confirm our reservation the afternoon of the night we were scheduled to arrive, I was told there was no reservation under my name. Come to find out, an error had somehow been made and we were booked at a different Hilton. We were able to come to a compromise, however. This hotel is very conveniently located downtown within walking distance of many shops, restaurants....Hotel staff were very friendly and accommodating. Pool/hottub were decent, although quite small. This was a family vacation for us and we were overall impressed with the hotel. *TIP* Park your own car for much cheaper....just park near an elevator in the parking ramp....it's the same place for valet parking!!	
May 28 2009 	Great location; mediocre amenities	Stayed overnight here with husband and son. It's a great location in terms of being near shopping and bars and restaurants. The rooms were okay but the walls are very thin. You can hear everything. It's nothing special and there are much better hotels very nearby, including Homewood Suites and Embassy Suites.	
May 25 2009 	This place sucks	Don't stay here, the you're better off going to the adjacent hotels for a better hotel stay and are more accommodating than the Hilton. The Mariott and Hampton have been a better experience for myself and was just a little more money per night. Paper thin walls that everyone can hear you and neighbors will complain when coming back from the night. You only get one personal warning and the second time they come up they will kick you out by force. We were literally in the hotel for 30 minutes before we were told we were being kicked out. We were kicked out with excessive force by police after trying to negotiate with the manager who was stuck on kicking us out. We had 8 police officers escort people who were quiet by the time the officers came. Not worth the cost for people enjoying the city or even for business trips since everyone can hear everything. I've already told our sales force to never book any nights here and instead, we go to the Marriott now.	
May 19 2009 	First Choice when in Chicago	Whenever I'm in Chicago I try the Hilton Garden Inn first. Best Location for the &quot;L&quot;, the supermarket, and Portillo's! Rooms are spacious and staff is great!	
May 7 2009 	Prepaid Suite Reservations But No Room At This Inn!	Oh my, I was so disappointed with my recent trip to Chicago. My sister, daughter and I had tickets to the Oprah Show. I made reservations for us to have a suite at the Hilton Garden Inn, Chicago Downtown/Magnificent Mile. I prepaid the reservation, as I wanted to guarantee that we would have our suite. We live in Cincinnati, and instead of flying, we decided to make the five hour trip by driving. I wanted to have a suite so we could have a better place to unwind. We arrived at the hotel, and I gave the valet our car, and he parked it. We went inside to check in. We were greeted promptly, and given our room keys. Off we went to see our little suite! Imagine my surprise when we opened the door to the suite, and we walked into a tiny room with two queen beds, which consumed the room. I immediately called the front desk to tell them a mistake had been made. A bad sign - it took me about five minutes to speak to someone at the front desk. The gentleman at the front desk, John, told me that I didn't have a suite reservation. I then told him I had written confirmation, and that I had prepaid - which the check-in person had already noted that I had prepaid my room. &quot;John&quot; said that the room that I was in was just as good as a suite, and I should be happy there. WHAT???? I told him I was not happy, as we had three adults, and I had advised that three adults were staying there in my online reservation request, and then I learned the truth. All of the suites were taken. I told John that I wanted him to find me another suite in another hotel. John said o.k., and about ten minutes later, I called back downstairs, and he told me that he had miraculously been able to get a room at the Embassy Suites, and we were so lucky!!! So, the three of us head downstairs to be taken to the Embassy Suites. This jerk is at the front desk when we go downstairs, and he is trying to ignore us. The young man who checked us in asked us, &quot;Is there a problem with your room?&quot; And I told him, &quot;Yes, we don't have a room, as my suite has evidently been given away, even though I prepaid for the suite.&quot; That young man was apologetic, and he asked who we had spoken to. Then the rude guy, John, comes over, and says, &quot;Go over to the Embassy Suites, turn right, and it is about a block down.&quot; Did I mention it was pouring rain???? So we walk through the rain, and go check in at the Embassy Suites. They request a credit card, so I give them my Amex, which they promptly charge the &quot;suite.&quot; The next day when we check out, we have to traipse back over to the Hilton from the Embassy, with our luggage in tow, to re-claim our car from valet parking. Nice, huh? I have to go back inside the Hilton so that they can do a separate charge for the valet parking, but I can't seem to get anyone to issue me a credit for the suite that I had prepaid for. I called the Hilton tonight, and I talked to someone who told me to leave a vm for the manager. I have now left her a vm, and I am awaiting a phone call to see what remedy is available for me. I am so disgusted by this hotel's treatment of their guests. Unbelievable!We did eat at two terrific restaurants, and I will review them separately. They were Weber's Grill and Shaw's Restaurant/Seafood. Yummy!	
May 1 2009 	main downtown	Amazing deal $54 a nyt , worth every bit of it.	
Apr 15 2009 	clean convenient and comfortable in Chicago	Stayed here for 5 nights at end of March. Had a price of $98 a night for the family. Found maid service to be great- even picked up some of my kid's toys/stuffed animals they had laid around. Bought an all day bus/train pass at Jewel Osco across the street and very easy to get around. Also join your local science museum at home and it got us free reciprical access to Museum of Science and Industry, Field Museum, Alder planetarium, and children museum at Navy Pier.Pros- Super location- within walking distance to Mich. avenue, El train line right at corner, bus stop close, grocery store and many restaurants/shopping within one or two blocks. Valet parking was high like most hotels in area but self parking (no in or out) was $29 a day which is cheaper than other hotels nearby. Microwave and refrig in room. Neutragena toiletries. Flat screen tv. Small but adequate pool and hot tub. Business center had free internet access which came in handy.Cons- Suzette at the front desk wasn't the most informative or friendly but she wasn't there everyday either thankfully and 2 out of 3 elevators were broken on the Sunday morning we tried to check out -more than 20 minutes just trying to leave the building but maid was nice enough to let us on the working freight elevator.	
Mar 29 2009 	Overall great place	My husband and I stayed here for our honeymoon - mostly to catch some Cubs games. We mostly chose this hotel for its proximity to the Red Line - it is directly outside the front doors. We had a very friendly check-in and our room was very clean and spacious. The bathroom had great toiletries and the beds were very comfortable. The pool was small but clean and included a hot tub. The business center had free internet and the valet guys outside were always VERY friendly and helpful. One of them even walked in the pouring rain for 15 minutes to get us a cab!A couple suggestions though: if street noise might bother you, request a room on a higher floor. There is no continental breakfast, but there is a Jewel/Osco right across the street (great because you have an in-room fridge). Parking is also steep - $40/day.	
Mar 21 2009 	Front desk had an attitude over the phone and hung up on me	I was running a little late checking out so I called the front desk to ask for 30 minutes more to check out. The woman at the front desk said she had to pull up my reservation first. Then she asked me how i was going to pay for the valet parking (which I never had in the first place). After explaining to her that I self parked, with an attitude she told me that the hotel was fully booked and not to take any longer than 30 mins. (As if everyone is really rushing to Chicago right now for some reason!?) Anyways, as I was saying &quot;thank you&quot; just to be polite, she hung up on me. I stayed there 2 days and after the first night, the room wasn't cleaned until late afternoon. Also, the first day we found old drinks in the refrigerator that had already expired. The room directory is outdated and not specific.	
Mar 20 2009 	Great Location and Good Value	We just returned from a few nights at the Hilton Garden Inn. Its pluses: It's right on the Red Line which makes getting around super easy. The pool, though small, is located on the 12th floor and has a great view of the city. The room was clean, had a fridge and a microwave. I recommend the Jewel/Osco mini mart across the street on State Street for nibbles or morning bakery.Minuses? The room by the elevator and ice machine was very noisy and there's all the big city siren noise. Ask for a room further down the hall to eliminate that.	
Mar 16 2009 	Not a bad hotel but noisy	We booked this hotel through Priceline and got a good price for 3 nights.Here are the Pros:-Nice small pool and whirlpool-Clean rooms-Friendly staff-Business Center-Great downtown location right off the redline subwayCons:-No extra perks like free breakfast-Rooms are a bit smaller-The major drawback is the sound noise. The hotel hallways and room doors are not insulated at all so you can hear everything from outside your room and noise that travels from one room to the next via the hall. That was the worst part of our stay.-If the noise issue was resolved somehow it would have been much better.	
Mar 3 2009 	A Great Hotel!!	I just got back from a dental convention in Chicago and decided to stay at this Hilton Garden Inn. Let me start by saying this hotel is perfectly located in the heart of downtown, close to the red line train, shopping and numerous great places to eat. The check in was polite and fast. I got up to my room and was surprised how clean and modern the room was. Flat screen T.V. king size foam bed, comfortable enough for me but if you like a bed that is on the firm side you may not like this one. The room also had a fridge and microwave which was nice! The bathroom was spotless! There were two concerns though, one was the common halls had an echo and some guests don't seem to think of others at one o' clock in the morning yelling slamming doors etc. Second the AC/HEATING UNIT kept coming on for 10 or 15 seconds at a time all through the night! Annoying! And very loud! This was after I switched it off! After the first night I went down to the front desk to notify them of this problem and they sent somebody up to the room(I guess while I was out) to try to fix this, but the second and last night I stayed the same problem happened again. The front desk staff did ask me if the problem was fixed but after I said &quot;No&quot; she didn't seem to care to much. I would recommend this hotel if your a &quot;deep sleeper.&quot;	
Mar 2 2009 	Great location clean and stylish rooms free Wi-Fi	I stayed at the Hilton Garden Inn recently with some extended family for a weekend in Chicago. I will definitely be back. The rooms are a great value and the Free wireless internet is great. The rooms are nicely appointed for a midrange chain with updated furniture, Aeron desk chairs, comfortable beds with clean white duvet covers, and flat screen TV's. (see my photographs) They have an extended cable line up including HGTV. There is a microwave and refrigerator (not a mini-bar) in each room--it is right across the street from a grocery store. No safe provided. Wi-Fi is free and works well. The pool is small and there is a whirlpool. The fitness center contains a few basic machines; there was a sign on the door saying free guest passes were available to Crunch fitness a block away. There is a parking garage right next to the hotel...self parking was about 25 per day...a bargain for downtown Chicago. The hotel is right in the River North district, two blocks off Michigan Avenue. Close to River North restaurants and nightlight. Near Nordstroms for shopping. Weber Grill restaurant is just off the lobby. I would recommend this hotel.	
Feb 27 2009 	Great location beautiful hotel and rooms great value in winter	We enjoyed this hotel this winter. The location is magnificent, 2 blocks from the Michigan Ave., less than 20 meters to the Red Line MTA train that takes you virtually everywhere. Nice view (floor 17). The pool is very good and also the business center (complimentary use of PC and printer). Within the hotel there is free wifi.	
Feb 15 2009 	Average HGI in a Great Location	Let's start with the new HGI mattress which is foam, offers little bounce, and is, overall very stiff and partially contouring. It was right up my alley, and one of the more comfortable beds in the Hilton chain, but if you're a soft bed sleeper you're going to have real problems with the standard issue mattress at this and every other HGI.The room is clean and quality. The noon checkout time is a significant perk for those of us who are not early risers.The front desk will tell you the breakfast ends at 10:30 when it actually ends at 10. Not something you want to find out at 10:05 a.m.Not a big fan of the Weber Grill restaurant, personally but you could do worse for dinner on a bad weather/late night.Great location, helpful, polite front desk staff.While the room walls are soundproof, the pass through and external doors are not.Aside from a non functioning smoke alarm (somewhat disturbing to have it hanging off the wall), this is an average HGI that isn't overpriced with a great location and nice views.One other important note. The room is very, very dry. If you stay at this hotel and require a somewhat humid room for either health reasons or a cold, I'd recommend a humidifier.	
Feb 10 2009 	Location and Efficiency	I booked the hotel in Hotwire after seen that I could get a room for $56 a night. I had a reservation at one of the Marriots and decided to save the $30 difference per night.I have been to Chicago several times and I have stayed in different hotels, and I really enjoyed my stay here. The location is the best. You can walk everywhere. If you need to get around, the &quot;Grand&quot; station of the Red line of the L is literally at the hotel's door. My room was very clean, and it was very comfortable for relaxing as well as for working. The heat worked perfectly. Front desk staff was efficient. The housekeeping staff was extremely nice. One thing that I really appreciate is the room's refrigerator, coffee maker and microwave. There is a grocery store across the street. From the hotel you can walk any where: shopping , theater, Navy Pier, Park, etc.Cons:There is construction near by, and the hotel is about a block from the fire station, so there is some noise. Some how a lot of the guests do not realize that the metal doors of the rooms are probably a required for safety purposes and do not need to be slammed, and you can hear people talking on the halls, specially the typical screaming children, but I this is not the hotel fault.I will definitely recommend it, and I will stay there again if I can. It is not ultimate luxury, but it gets the work done flawlessly if efficiency and location at a reasonable price is what you are looking for.	
