	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
Oct 12 2009 	Right on Michgan Avenue	A great place to take a mini-vacation in downtown Chicago. Our corner room. an upgrade to the tower, was comfortable with windows overlooking the lake in one direction and the river in another....the large bathroom had a tub and separate shower. The best part was being able to step out the door onto Michgan Avenue and start our day of exploring. There were so many sights, restaurants, stores, etc. within walking distance that we felt we had an apartment in the city. The staff was very courteous and helpful. I plan on staying here again when we come back.	
Oct 11 2009 	Great place for kids	Easy to find, kid friendly. The pool was hard to get to, but it was nice.	
Oct 8 2009 	Beauty and excellent service...right in the center of the Magnificent Mile.	A friend and I flew into Chicago for a &quot;girls weekend away&quot; and stayed at the InterContinental. We chose this hotel because it is right on North Michigan St. with all its shops (Nordstroms, Filene's Basement, The North Face, Nike, etc. etc. etc.) The hotel is very beautiful with an elegant lobby. You probably already know about the famous swimming pool. Our room had two comfortable queen beds, a desk, a recliner, very nice sized flat-screen television, in-room coffee maker (small) with coffee and tea, and terry bathrobes. No fridge or microwave. The window actually opened! Elevators were fast and never a long wait. The wonderful concierge provided exceptional service, directing us to a great Italian restaurant only blocks away (and getting us a reservation so we didn't have to wait for a table ... and there were LOTS of people waiting for tables) one night and a great Thai restaruant and Blues bar another night. He also helped us get reservations to the House of Blues Gospel Brunch on Sunday. Couldn't believe that the food was so affordable!  We took the El from the airport to within 3 blocks of our hotel - for $2.25! Sure beats the cost of a taxi! We walked everywhere...including to the Chicago river for a boat tour highlighting the skyline's architecture, out to Navy Pier to the Stained Glass Museum, to the Chicago Institute of Art, and, of course, to the park to see the &quot;bean&quot; - Cloud Gate - sculpture and eat a real Chicago hot dog. Every evening we returned to a clean room with fresh complimentary toiletries for a rest before heading out to hear live music. We didn't have time to check out the hotel's own Wine and Chocolate bar (what a great combination!). The only &quot;negative&quot; I can think of regarding this hotel was that although we tried to &quot;be green&quot; by hanging up our towels to be used a 2nd day, as the placard in the marble-tiled bathroom suggested, the maids put fresh towels in every day.	
Oct 8 2009 	Looking for a pool with old time charm stay HERE!!	The rooms were clean, it was centerally located. The pool is what really sealed the deal for me. IT was really neat.	
Oct 8 2009 	2 Thumbs up!	Great location, clean room, friendly staff, historic pool that the kids loved and I enjoyed the sauna.	
Oct 8 2009 	Overbooked and underapologetic	I went for a conference, and was booked, paid for and confirmed for late arrival. When I arrived exhausted after midnight, the hotel was overbooked. I was shipped off to a lesser hotel (20 minutes away but evidently owned by Intercontinental) for the night. Ultimately I got my room, an apology from the manager, and 1 free night (to be used in the future), but I was exhausted and never recovered from that first poor night of sleep.	
Oct 8 2009 	Elegant stay	I returned to Chicago for my anniversary with my wife. She wanted to have a night downtown and since I had stayed here for over a week early in April, 2009, I thought this would be the best since it is on Michigan Ave. She loved the hotel and the shopping and the food around the hotel. Go to Rush Street!! Amazing places to eat there. While this is an expensive hotel, it is worth doing this once a year. I would recommend this to anyone for a nice night on the town with endless possibilities around the hotel.	
Oct 8 2009 	great chicago hotel	i would rate the hotel a five star.the room was great.it had the best bathroom i have ever seen.the location downtown was perfect.the only bad thing was the parking the car was $53. per day?they should hide that in the price of the room.	
Oct 6 2009 	I really liked this hotel	I recently had the pleasure of staying at the Inter Continental with my spouse on a 3 day business trip. The valet parking was quick &amp; efficient and check in was a breeze.The rooms were very quiet and comfortable , the HD tv was really spectacular,and the room service meals were quick,plentiful,and very well prepared. The location was wonderful for my wife who was able to shop to her hearts content on the magnificent mile. This was my first time at this hotel and I will definitely return.	
Oct 5 2009 	Nice place and great location	The rooms are quiet and clean, although ours was bit small. The hotel is in a great location, right on Michigan Avenue. We didn't have much contact with the staff, so we can't comment there. Overall a very classy place. For breakfast skip the hotel and head about two blocks east to Mary's Cafe. If you like unique diners you won't be disappointed.Parking by valet was steep at $53 dollars. Just a block or two east on Grand Ave. you will find garages at about $30 to $35 per night.We booked on Hotwire at a great rate.	
Oct 2 2009 	Front desk staff were rude unhelpful and lied	Had a reservation for a conference there 9/21/09. Flight had an emergency landing in Memphis so I called the hotel to ask them to hold my reservation and that I would arrive the next morning. They pleasantly agreed and said, &quot;We willl see you in the morning.&quot; When I arrived the next morning I was told they had given my reservation away. I was referred to a manager who told me in &quot;good faith&quot; (in a tone connotating I did not call) that they would waive the &quot;no show&quot; fee ($300 in this case). Having had very little sleep, I lost my patience, and raised my voice, asking them why a phone call to their hotel was not good enough. They allowed me to stay 1 night then I had to find my own reservation to another hotel (they claimed they were working on doing that all day). When I checked out the next morning they then tried to claim I did not call the hotel directly (though I have the cell phone records to prove it) and got home to discover on my credit card bill that they did not waive the no show fee like they had offered. I would have gladly paid for the night I missed... I did not ask them to waive the no show fee---they offered. They were trying to blame me and were not sorry, helpful or understanding that I had experienced a horrific flight in getting there. Rooms and service were better at the Marriott across the street for less money.	
Sep 28 2009 	Great hotel and service	I spent a night at the Intercontinental Chicago last week. On checking in I was upgraded to a room in the original tower. The room was perfect, comfortable and quiet; internet connection fast and reliable; and concierge services top notch. Highly recommended.	
Sep 28 2009 	Perfect location! Great stay	Stayed at this Hotel in June 6th, 2009 for the Honduras - US World Cup match. The hotel room was incredible and the bathrooms were great. Had a blast and I am looking forward to staying here again in October. Can't say enough about the location. Look forward to staying at the Historic Tower.	
Sep 26 2009 	like cockroaches?	I have never written a review before but after killing cockroaches in my room 2308 yesterday morning I am obliged to make this information public.....Truly unforgivable.	
Sep 25 2009 	One Little problem..Otherwise Spot on!!!!	Second part of my trip to the States took me to Chicago..Although i've travelled to the States a fair few times, i'd never been to Chicago before so was quite excited about it..After the internal flight from San Francisco and the transfer from O'Hare, we arrived at this beautiful hotel....In to check in...Problem.....No non smoking twin rooms available until the next day (which was a Sunday!) Now this to me is almost shambolic i'm afraid, but there we were offered an upgrade to a King bed room with a rollaway!!!!!! Great!!!Still no option, the woman on the desk was very helpful, and i made a point of thanking her for sorting the problem out. She said that our bags would be moved to the new room for us the next day..Came in the next evening..yes all your bags have been moved..we go to the new room...yep..NO BAGS!!!!!! Back down i go...Eventually they did arrive..actually at one point the bellman appeared at the new room with just his trolley, before sussing that he had to go and get the bags first!!! It was rather funny!!!!Aside from that the hotel is first rate..The rooms are big, and the bathrooms are simply brilliant!!!!Be warned though, a lot of conferences appear to go on, so the hotel always seemed really busy. There is an amazing indoor pool which has to be seen to be believed. The staff are very friendly, and aside from the room issue it would have got a five star rating.	
Sep 23 2009 	Wonderful Hotel	This was my first time staying at this property and it was wonderful. Next time I shop downtown Chicago, I will try to stay at this hotel. Great location, beautiful rooms, and the lounge was a lot of fun. The only thing I would change is the amount of staff on at the front desk for a Sunday check-out. There were only two individuals checking people out and the line was almost to the enterance of the property. I would have used the in-room check out screen via the television, but it was not working.	
Sep 22 2009 	Don't get it...	Looks like there's a lot of positive reviews on this property, and I couldn't disagree more. Just to keep this short, upon checkin I had to wait while the person at the front desk answered a phone call before she would help me. This is such a huge no-no. My request to be put in the &quot;historic&quot; section of the hotel was not granted (and given this was winter in Chicago, I can't imagine that there wasn't at least some availibility). The room itself was decent but small, and the bathroom was a joke. The door was abnormally narrow, the sink was devoid of any surface to put simple toiletries on, and best yet - the flushing handle on the toilet reminded me of the kind that you kick with your foot in dirty public restrooms. Really, couldn't they have something a bit more civilized? To get ice I was required to make a trek several floors away as there was no machine on my floor. To make matters worse, the elevators were painfully slow and I believe one of the 4 elevators was out of service...the trip for ice literally took me 25 minutes.Would never stay here again no matter what the price. In fact when I book rooms via Hotwire, I actually try to stay *away* from the region and star rating that the InterContinental resides in....which is a shame because the Conrad across the street is in the same category and is light years better than this old, tired lady.	
Sep 17 2009 	Small room for high price.	A very small room in a nice bulding a good location. old fashion furniture. The only impressive thing is the lobby and the builduing.They charge for everything, U$ 18 for 1mb internet conection 24hs. For the same price go the the Conrad acrros the street or the wonderful Hard Rock Hotel.Don't waste your money here.	
Sep 11 2009 	It was awesome	We stayed in this place for 2 nights and really loved it. we got a good deal on hotwire for it ( 350$ for 2 nights )The location is great, in magnificent mile, walking distance to Navy Pier and lots of other cool places. When we arrived, the hotel lobby was crazy crowded and we had to wait in a long line to check in. But the staff were really friendly and they gave us a room on the 32 nd floor. It had a fantastic view to the lake . The room was really nice and well decorated. It was a bit small though. We didn't try any of the restaurants on site, so I cannot comment on them. But there was a starbucks in lobby level which was convenient. The only negative point of this hotel is the parking issue ( which is a natural problem in magnificent mile ) They charge 53 $ per night for the valet service. I found a close by parking with a lower rate and parked there. The whole crazy traffic and the stress of finding a parking was a bit of negative point for us in the begining.Otherwise this place is great and if you are looking for a pleasant stay , go for it.	
Sep 9 2009 	Very pleased with accommodations and service.	We booked this room through a third party but were treated like we were a frequent guest. The room was spacious, clean with a nice view. Everyone we interfaced with provided friendly service. We would definitely stay there again.	
Sep 8 2009 	Really Nice Hotel	The hotel is beautiful. It is an excellent location. There was a few minor issues. The hotel is clearly geared toward the convention and business crowd. There were charges for almost everything, although I did not incur any of these. Our room was a little small for the class of hotel, but not overwhelmingly small. Not a true complaint, but the elevators were very slow. My comparison was that we stayed in an equally aged hotel in a different city during our trip, and the Intercontinental's were significantly slower. That's it, no more little nit picks.The staff was excellent, the doormen being the highlight. The hotel bar was also very nice. The hotel was immaculately clean. I would definitely travel to this hotel again.	
Sep 8 2009 	great business hotel	Did some wonderful shopping below hotel. It is located above the miracle mile river and is in a gorgeous location. Beware they do charge a lot of add on's for spa, working out, etc. Great location though.	
Sep 8 2009 	Beautiful hotel and excellent location	A group of 4 couples stayed at this hotel Labor Day weekend. It is beautiful and we couldn't have asked for a better location! We stayed in the Historic Tower and the rooms were a nice size and had a great view of the Mag Mile. The staff was great as well. Everyone was very helpful and friendly. I would definitely stay here again!	
Sep 7 2009 	Not for tourists	The location is right above the river on the Magnificent Mile, but this hotel is for business travelers. They charge for internet, gym use, pool, everything, expecting guests to expense the charges. It is an immaculate, lovely hotel, with a comfortable bar and attentive staff. Just be forewarned about the nickel and diming, when there are great deals for nearby boutique hotels that better cater to tourists.	
Sep 6 2009 	THE Hotel for the High-Maintenance Traveler	Our family usually stays at 4-5 star hotels. This was our first visit and when we return to Chicago, we won't even think of staying anywhere else. The accommodations were luxurious, CLEAN, and first class. The staff was unbelievable. We own a business in Texas and I would love to hire some of these people to work for us. They are not afraid to work and it is apparent that they love their jobs. I'll be taking a &quot;girl&quot; trip soon, back to Chicago and I can't wait to share this great experience with my friends. It is in a very prime location for walking . Thank you, thank you, thank you.	
Sep 6 2009 	Wonderful hotel and staff. Perfect location.	The staff at the Intercontinental Chicago has obviously been trained in the in and outs of customer service. The were very service oriented and eager to provide information to make our stay in Chicago the best it could be. The location of the hotel is unsurpassed. It is on the the Miracle Mile and within walking distance of great museums, parks, shopping and excellent restaurants.	
Aug 31 2009 	The historic tower at the Intercontinental Hotel Chicago was great!	Our room was spacious and beautifully decorated. We loved the view of Lake Michigan and of the Chicago Tribune tower. All the staff were very helpful, and the room was spotless. I complimented the housekeeper's service at the desk on our check out. The travertine in the large bathroom was exquisite. It was a business trip, but the hotel made us feel like we were on vacation. Thank you. Janeen	
Aug 29 2009 	Extra Charges is only thing keeping this from a 5 star	I have stayed here before and I love this hotel. It is so beautiful and in a great location. I visit Chicago yearly for a Leadership Summit and I stay here or the Embassy Suites depending on which is offered.First the bad, everything is extra here. Internet, fitness center and just about everything else. I never leave home without the laptop and work while I'm away but I did not purchase internet at the hotel. The headquarters hotel that the conference was at had free internet hot spots so I took my netbook there and worked between sessions and at the end of the day. I just can't see paying $12.95 a day when I'm only using it an hour or two.I did not get to tour the hotel this time even though I swore I would but I did check out the pool and it was beautiful. The security guard recommended that you go to the old section and start on the 8th floor and walk all the way down checking out each floor. Hopefully next year.This trip I did get to see rooms in both the old and new sections. My traveling partner was in the new section in room 1062. The room was small but beautiful and very clean. If they took the couch out it would feel like you had a lot more room. She was very happy with her room.I stayed in the historic section in room 2415. My room wasn't ready when we got there but we were early and they were very busy. It was ready about 1/2 hour after the promised time, about 4 pm. My room was large and had a very big bathroom with a separate shower. Again this hotel is very clean. Water was $6.95 a bottle and the mini bar was way overpriced even for a hotel. A stop at Walgreens fixed that.The bed was comfy and once I got to sleep I never woke up at night or heard any of the neighbors. The room was just plain wonderful. I had a king bed and there were 4 big fluffy pillows on the bed. My husband would have loved it. I need a firm pillow and always travel with my contour pillow. I had a semi-river view and it was pretty. There was a great old building across from my room that I had a view of and it was nice.Finally a hotel with good TV channels. I was so tired at the end of the day I couldn't even read so I enjoyed falling asleep to the TV. The person I traveled with this year kept me pretty busy and I got to see a little more of Chicago then I usually do.One item noted by myself and my friend was that even though we hung the towels up to reuse they replaced them. If you are not going to conserve water by letting the guests reuse towels then don't put the little cards in that say you will. Good selection of soap and shampoo and stuff. They offered both bar soap and bath gel. I hate when hotels cheap out and only offer bar soap. There is a blow drier there for those who like to know. I didn't use it so don't know how strong it is.There is also a coffee maker in the bathroom that makes the little pots of coffee. I did use this every morning before hitting Starbucks.All the hotel staff was helpful and friendly. Starbucks was not crowded in the morning this trip as in the past so we had a nice coffee on our walk to the conference.All in all if you want to stay in a beautiful hotel in Chicago whose prices are pretty much par with the rest, stay here. My first choice is the Embassy Suites because of the free internet and breakfast which saves my travel budget but for beauty you can not compare to this hotel.	
Aug 27 2009 	Recommended to anyone wanting to stay in the heart of Chicago	We got a great deal on Hotwire for this hotel. Fantastic location. Helpful and friendly staff. Beautiful swimming pool. Very nice room. I really liked this hotel, it was a great place to stay.	
Aug 24 2009 	Great Location but Watch Out for Nickel and Diming!	This was my third stay at this hotel. Here's the good. The location is unbeatable, putting the Loop, Aert Institute, Navy Pier, River North restaurants, and Magnificent Mile shopping, within blocks. The pool, which is in a Moorish themed room of palatial size, is the grandest I have ever encountered in a downtown hotel in an American city. Beautifully tiled, immaculate and up to ten feet deep. The buffet breakfast is of high quality with made to order eggs and omelettes, warm quiches, bread pudding, and a meat of the day, The rooms are comfortable and elegant, if not quite luxuriousHere's the not so good. Parking was $53, not the quoted $50 when I made the reservation. I made the reservation through the property, as an Intercontinental Ambassador, but I did not receive the requisite upgrade. (Maybe I should have used Priceline and paid a lot less if this is how they treat &quot;Ambassadors&quot;). When I complained, the hotel did offer a suite in the less desirable new wing, instead of our two connecting rooms, but the bed configuration was unsuitable. Free internet which was offered as part of the Ambassador package was not available. The hotel offered a free in-room movie instead. Although the pool was free, the fitness center imposed a $12 daily charge (or $16 per stay) On departure, we discovered that we had been charged a gratuity for the breakfasts (which were included in our package). We had left cash gratuities each morning and were dismayed at this charge, which was imposed without our knowledge. The hotel also charged for one day's breakfast, claiming we had eaten after 11, nearly two hours after we had left the hotel. All these charges were removed, but we had to get past front desk staff, and speak to a supervisor. The whole experience left a very bad taste in our mouths. Also, it cost me over $20 to print four boarding passes and check my e-mail in the business center/So go with your eyes open and your hands on your wallet. Ask for the historic tower. Don't bring a car unless absolutely necessary,	
Aug 24 2009 	Great room great hotel great view great location great exercise club!	Outstanding hotel in all ways. Extremely well-managed and maintained hotel. Superb room with view of Lake Michigan on two sides. Service was very strong, especially room service, housekeeping, and the concierge desk. All three were very responsive, flexible and pleasant. The hotel had everything you could want, a concierge desk that knows all of the good restaurants, a great bar and restaurant, a Starbucks, and exceptional location in an exceptional city. The recent renovation of the hotel has it in tip-top shape. And bring your sneakers and swimsuit when you visit. They have a great health club and beautiful pool.	
Aug 20 2009 	Great Location / Great Value	We very much enjoyed the stay at the hotel. The room had a clean decor, the hotel staff truely helpful. The hotel is very well located I could just walk to all attractions. Five star service in my experience. I will return...	
Aug 19 2009 	Great location and amazing hotel	What can I say - great location and an amazing historic hotel and a bargain at $99 per night for a deluxe room.But a few negatives - concierge pretty unhelpful, staff in ENO - wine, cheese and chocolate tasting room completely stuck up!! Our room had no view at all just building opposite and when we enquired about a move told nothing available - can't quite believe that in a hotel with 792 rooms!Good points - lovely bathroom with great toiletries, pool is amazing, fast wi fi connection, charming helpful bellboys, location is awsome - just a step away from all the shops and restaurants in North Michigan Avenue area, and a short walk to the lake.Would definitely return.	
Aug 15 2009 	Best accommodations I've experienced in Downtown Chicago	I had flown in that morning from San Diego, CA, and had an overnight stay booked at InterContinental on Michigan Ave. in ChiTown. I wanted to share a couple of days of fun with my Michigan friends and was very pleased at the willingness of the employees to accommodate our needs. Although our room was not readily available (even after 3:00 p.m.), the check-in staff offered to provide us with a few coupons for complimentary drinks at the hotel bar while we waited. I was especially pleased when offered free breakfast coupons when the staff didn't produce our held luggage in a timely fashion. Our room was spacious and the view of the City was superb. What was a very long tiring day could have been spoiled by the delays, but the hotel staff went out of their way to make sure our stay was enjoyable.	
Aug 12 2009 	Bait and Switch	Be very wary if you stay at this hotel after booking a stay that is payed in advanced. I had purchased the room on Priceline. On checkin, I was asked if I wanted two beds or one. I said one. I noticed on my TV account balance that I was charged for almost as much as I payed for the room on priceline. This was for an &quot;upgrade&quot;. I did not authorize or consent to an upgrade. I just asked for one bed. I went to the desk. They said it was a mistake and the charge was taken off. At checkout, there was no charges on my account on the TV checkout. However, when I go home there were charges of $125 dollars a night. They are running a scam and be very aware of this if you stay. If there are any good attorneys out there, I am sure they have done this before and you could profit from a class action lawsuit.	
Aug 11 2009 	the heart of the magnificent mile	great hotel, great location, friendly and attentive service, classy clientele, and great value for the dollar.	
Aug 10 2009 	Nice hotel good location	Stayed for 3 nights. booked via hotwire, upgraded to historic tower. Got a big room, with a nice view.Service was great. Valet parking was efficient, but you expect it for 53 doller/night. But the location was the best	
Aug 10 2009 	Great place to stay rooms a little small	The hotel is beautiful however, I booked a room for 3 and it was quite small. Not alot of customer service. Went to bar area and found the staff there very unfriendly. I would recommend this hotel if you just want to stay and not be pampered.	
Aug 7 2009 	Worn weak service great location	We stayed 2 nights under the American Girl Package and enjoyed the excellent location. The furniture was worn however, the veneer stripped off some of the pieces in the room, giving it a less-than-luxurious appeal. The promised doll bed never showed up - had to request it, and the milk and cookies delivered at 2pm and thus warm (milk) and stale (cookies), but they promptly replaced them at night when we returned to the room and noticed the issue. However during the two days there they never took away the old milk (2 carafes), glasses nor plates. Outside our room the floor was messy with remnants of someone else's room service for at least 24 hours.The beds were OK, nothing to get excited about as far as comfort is concerned. The duvet had some tears on it....not 4 star for sure.As for the hotel, it's really beautiful (we stayed in the historic wing which is lovely, the deluxe room truly large). We looked forward to the pool, as with the AG package it states to bring your swimsuit to enjoy the pool....but when we got there it was set up for lap swimming, there is a sign stating that it is for &quot;lap swimming only&quot; and a bit too deep for young children, and mine know how to swim. And it got crowded easily so young children who are in the pool tend to get overwhelmed by others there. Not child-friendly in the least and I wish the promo materials for the hotel would state that.And lastly, the street noise can be overwhelming if you're not used to it. The walls/windows are very thin - you can hear not only traffic, but bathroom and hallway noises very well. In short, for the money I'd try elsewhere - there are so many hotels in the same area. Next time we'll try elsewhere... And $27 buffet breakfast with stale bacon and tater tots?! I think not....(granted they had other things, but the stale bacon and tater tots put us over the edge).	
Aug 4 2009 	Modern elegance in the heart of the city	Can't praise this hotel enough. Our room was spotless--in fact, the entire hotel was spit-shine clean. And everything worked--bathtub drain, toilet, a/c! Great location in the city. Bar and restaurant were superb. Staff--from the concierge to the desk help to the doorman to the bellhop to the wait staff--were all very competent, friendly, and gracious. We would definitely stay at the InterContinental again--and I hope it's soon! Chicago is a great town!	
Aug 3 2009 	Amazing Hotel	My husband and I spend four amazing days at the InterContinental in Chicago. We booked it through a third party provider and expected to get the smaller room or one beside the ice machine. Before leaving home, I contacted the hotel directly and requested a non-smoking room with a king sized bed. I got an immediate response to my request and was also informed, to my delight, that we were booked into a room in the Historic Tower. When we arrived, we were provided with efficient, friendly service. The room was larger than I had expected and very clean. We read about the history of the hotel and later during our stay went on a tour of this historic building. It is absolutely amazing, if you are interested in older buildings staying in this hotel is an absolute MUST. It was like taking a step into the past. In addition, it was right on Michican Avenue, so we were in the heart of Chicago. We certainly reommend this hotel to anyone wanting to experience Chicago in style!!!Sandra, Ontario	
Aug 3 2009 	Fabulous service made our Anniversary celebration memorable	We were celebrating our wedding anniversary and they provided us a memorable weekend. Everyone was very kind, helpful and went that extra mile to make our stay wonderful. Their little extra touches spoke volumes as to their care for their clients. Our room in the historic tower was very comfortable and the view was spectacular. We also ate at their restaurant, which was fabulous! We would highly recommend this hotel and its staff!	
