	There is nowhere else to stay but the Plaza Metro	Cleanliness, oh my! Our room was spotless when we arrived and everyday we would return to the smell of new linens and sanitized bathrooms. Location was perfect, it was near souvenirs and drinks and snacks. The Ambassador suite was beautiful and roomy, two balconies, two bathrooms, wow! Service spectacular, they delivered a three layer red velvet cake to us for our honeymoon. Value....no comparison. We booked this room through Amtrak at a huge discount…cabs 24-7 at the front door, late check out, a view to die for, on the bus route to the L and one block from the Greek food. The Plaza was great, it was one of the nicest hotels for cleanliness and service; I've ever stayed at. Thanks to all the staff for making our honeymoon so special. We will see you soon, because we are so coming back.	
Jul 31 2009 	Awful awful awful	My sister, husband and I were there during a July weekend and the service was a disaster. I do not review places often but felt compelled to share my experience here.....to save you money. 1. The woman at the desk was clearly high on something, a long line formed, guests were angry, she accidentally gave my sister's credit card and ID to a stranger, and later we found out that she was &quot;being taken care of&quot; when we filed a complaint about her. 2. The valet nearly lost my sister's key and didn't seem too worried about it. 3. We stored our luggage in their back room before we checked in. When we got back to check-in, the luggage guy couldn't match up the number on our luggage ticket to the number tied around our luggage. How hard is this job? He had everyone waiting for their luggage go in the back room to get it themselves even though it was his paid job to do it 4. We could hear other guests through the vents of our bathrooms. 5. We requested a non-smoking room but the entire hallway wreaked of smoke. 6. They were understaffed. 7. They had a business center but you had to wait in line at the front to let you in - your card did not grant you access 8. The manager-type person didn't seem that apologetic and I now wished I had pressed for a discount. 9. Absolutely will not stay at this place. Way over-priced for crappy service.	
Jul 24 2009 	horrible experience	We made a reservation 1 month in advance for 1 room with a king bed and smoking. When we got to the hotel we were told that they do not have a room like that available for us and we'd have to take a non smoking room with 1 king bed or a smoking room with 2 separate beds that can not be put together. The manager did nothing about it and same with customer relations on the phone. After driving for 5 hours from Ontario to Chicago this is what we had to deal with... My girlfriends parents got here 3 hours before us and they got fed the same story. After 1 hour of complaining they got their room. We were tired and didn't have time for his since we came here for a family reunion. Very bad experience. Would not recommend this to anyone. The room is small, bathroom is very small compared to any other hotel i've stayed at.	
Jul 23 2009 	Fun for the weekend	My spouse and I were in Chicago for a weeked of fun. We were visting some of our good friends that live in the Chicago Area. The hotel has a great location right off the freeway, so it was very easy to find. They offer valley parking, for a small fee or course, so need to hunt for a parking spot in Chicago. The location it self is beautiful from the time you walk into the front lobby. The staff is very helpful and friendly, some of the best service I have had at any hotel. I would recommend this property to anyone staying in the Chicago area. It also has lot of great views with there awesome balconies! Come check out this location!	
Jul 20 2009 	Enjoyable Stay	The staff when coming into Chicago stay at the Crowne 2 to 3 times a month. Very friendly and professional staff. The hotel is very clean and located near the expressways; making it easy access from any of the airports.Would also recommend for leisure stay.	
Jul 18 2009 	Enjoyable comfortable stay but nothing spectacular either.	Positives• Blocks from Willis Tower (formerly Sears Tower) in the Greek District• Excellent Greek restaurants &amp; shops nearby within a block or 2• Nice rooms, but the sliding exposed pocket door on the bathroom took  some betting used to.• Awesome reading lights in the executive rooms• 2 drug/groceries on either side of hotel• 3 Starbucks nearby – like within a block each direction (1 inside a drugstore/grocery).• Conference rooms etc were excellent• Catered breakfasts and lunches were excellent.Neutral • If not into 24 hours news or sports channels and nothing interesting on the Weather  Channel or HBO, kind of out of luck on the TV. But does have PPV movies if you’re into  that. • 15 minute walk from Blue line near IHC &amp; Halstead and 15 minute walk from Pink line  at Lake and State. Not much of an issue unless have lots of bags, inclement weather,  etc. (Strangely enough, there is no shuttle service whatsoever – to airport, to CTA,  nothing. But I’ve stayed many times at lower quality level hotels out by Midway  (HIExpress, Courtyard Marriott, etc) and they all have a shuttle service to Midway from  which you can obviously fly, take a bus OR catch the subway. Odd this much higher  end part of the HI chain doesn’t offer something here at this hotel).Negatives • Elevators smell like cigarette smoke• Wireless internet in room is slooooooww &amp; often times out before pages boot up.  Ethernet in room didn’t help much as the hotel website and firewall was  incompatible. Internet even in business center was painfully slow also.• Desk clerk at check-in advised because booked stay thru Orbitz they wouldn’t count  stay towards Priority Club points. (Boo!)• Desk clerk made a dramatic statement about how wireless internet in the rooms is  complimentary. Good thing they don’t charge – it is DOG slow wireless internet. The  internet connection in the hotel business center isn’t any better.We were on the 6th floor and still heard plenty of street noise. Suggest highest floor available.	
Jul 18 2009 	Location location location!	The Crowne Plaza Chicago Metro is perfectly placed in downtown Chicago, not more than a 10-15 minute walk from the Sears Tower. (I don't care if they changed the name to the Willis Tower, I am not calling it that). On top of the phenomenal location, the staff is extremely courteous and accommodating. There is also a very nice Fitness Center with a pool, hot tub, sauna, and steam room. Our entire experience here was just outstanding. I would definitely stay here again.	
Jul 15 2009 	Most Outstanding Sevice 	I have stayed at many hotels in Chicago over the years and the experience at &quot;The Crowne Plaza&quot; is the best I've ever had. The staff always remembers you by name, how impessive is that. The Managers reception is always a very friendly enviroment that makes people feel welcome. We have used their conference room facilities and the sevice and facility is equally outstanding. When ever you are in the Chicago area make &quot;The Crowne Plaza&quot; your hotel of choice.	
Jul 15 2009 	Location is outstanding if you know the City of Chicago	The hotel is a great experience from when you park your car until the time that you check out. The hotel is located right in the middle of Greektown with easy axcess to the expressways and the best part is you are almost equal distance from many venues in the city (Wrigley Field, Lincoln Park Zoo, U.S. Celluar Field, United Center, Solider Field, among many others).	
Jul 14 2009 	Great access to West Loop	I stay at the hotel frequently for business trips to Chicago. I have found the service to be prompt, attentive and accommodating. Rooms are very clean and modern with flat screen TVs. There is an excellent restaurant in the hotel (a little pricey these days). Great access to Greektown and Chicago's west business loop is a short walk across the Kennedy expressway.	
Jul 14 2009 	Fabulous Accomodations	The room was very nice and spacious. The front desk staff and individual travel personnel were wonderful and polite. Would definitely stay here often, if I visited Chicago frequently. I travel regularly for business, both domestically and internationally, and I'd personally stay and/or recommend this hotel to peers.Thanks!	
Jul 14 2009 	Great value location and service!	I stayed for a week and loved it. Nicely appointed rooms and great skyline views.	
Jul 14 2009 	Quality Service w/ as much or as little as you want...	I've stayed at this hotel 3 or 4 times over the past year. While I have experienced some interesting stuff in the restaurant, this most recent stay was impeccable. The staff was pleasant, and although very busy, they remained attentive to my needs throughout the entire stay. Room service was very pleasant and accommodated our very different schedule as we stayed in the room late before venturing into the city. I cannot find another hotel in Chicago that is close to most everything that I am interested in seeing. Shopping and museums are very close and the downtown business district is right there. I had heard that the restaurant was under new management, so I opted to give it a try. I was pleasantly surprised that the service was high quality, the food was good, and the staff made sure that everything was correct. I ordered breakfast some 30 minutes after the posted end time, and they produced my food, without a mention of the time. Overall, for quality and value, I find the Crowne Plaza to be a hotel I enjoy staying at. It's close enough to everything I want, but far enough away from the hustle that I don't struggle to feel relaxed while I'm there. I will definitely be staying there again and would absolutely encourage anyone to do the same!	
Jul 13 2009 	The rude understaffed desk and moldy room was not worth the money	I arrived at noon and was told that my room wasn't ready until 3 which is fine since that was normal check in time. I went over to wrigley for the game and returned at about 7:00, stood in line for a half hour as the one staffer was working with another customer. Why was there only one person at the desk? Meanwhile a line of 5 or six people was accumulating behind me. I finally checked in with the desk supervisor who finally emerged from the office. She was exceptionally pleasant, but the one I was waiting on was observed yanking a reservation paper from another customer. I'm glad I was not in that line. I went to my room disappointed at the service, only to find a moldy smell and a bath drain that would not drain for the whole floor. The AC filter was absolutely filty. Many americans have severe allergy problems including myself and my wife and a high quality hotel should take that into consideration. I expect that from a best western and would pay $50 per night for that, not $297 for one room and parking. The parking situation was not good as well. It cost $ 36 per night, which I was surprised I had to pay as I was reedeeming hotel points for one room (paying for the second). I called a half an hour early for my car which we were instructed to do, but did not find it ready on time. I finally pulled the car from the lot myself, took the keys from the valet and left. I think the only positive thing I could say about anyone working there is the room staff. They seemed pleasant, and the rooms were clean, just musty. Overall, it was an ok trip, but I could have saved a lot of money by staying in a Best Western. Same room quality for my allergies, but at least the desk would have been pleasant with a lower quality hotel. The only great things I can say for this hotel is the great location and the pleasant room service.	
Jun 29 2009 	Great hotel!	My husband and I stayed at the Crowne Plaza Metro for our first trip to Chicago. We had originally booked at a Hampton Inn on Travelocity, but it was overbooked and Travelocity recommended this hotel at the same pricepoint. I did a quick check of the Tripadvisor ratings before I committed, but then when I read the reviews, I started to have my doubts. Well, I shouldn't have worried at all. True, the hotel is many blocks away from tourist attractions, but if you don't mind walking a bit and/or using mass transit like us, you'd find it just fine. My husband and I, unfamiliar with the layout of Chicago, ended up getting off the Blue line at Monroe and walked about 25 minutes to the hotel. Location-wise, while it is not near the metro, there's a bus stop across the street (in front of the Dominick's grocery store); the 8 will bring you up the street to Milwaukee/Grand to catch the Blue line, (which is what we did at the end of our trip to take us straight into O'Hare). The bus system in general is very well run...we bought at 3day transit pass for $14pp, and that was the best deal, as we used it many many times. The best part of using mass transit on our trips is that it makes us feel not as touristy. (Remember...it's the journey, and not necessarily the destination...) Speaking of the Dominick's grocery store, we were happy to find it so convenient, even though we only used it to buy bottled water, and coffee from the Starbucks stand inside. There's also a Walgreens on the other side of the hotel. There are also hot food options inside (prepared foods, a sandwich stand, etc.) The proximity to Greektown allowed us to pick up a gyro at 2AM after we came back from a late night comedy show at Second City as well!As for the rooms, we got upgraded to a &quot;Deluxe&quot;. I don't know how my room was different from the other ones, but we were disappointed that we got two doubles instead of one king. The room had a nice color scheme of neutrals, but sort of dark. The light over one of the beds was not working, but we didn't bother to call downstairs. There was a flat screen TV. Beds were comfy, and were piled with four different pillows (firm, soft, flat, etc). Bathroom was very clean and I liked the fluffy towels. There was complimentary wireless internet service as well. The only thing that I would have really wanted was maybe a minifridge. Check out is at 12pm. Since our flight was at 4, we asked to have a late checkout, and they provided us with a 2pm check out. Overall, we would definitely consider staying here again	
Jun 9 2009 	Looking tired	I stayed here on business.The standard was the usual crowne plaze level and was central enough to get a taxi or metro to the exhibition centre at McCormick.The breakfast was extra but did find the food good quality and value for money compared to other crowne plazas in other countries.Very long wait to check out and wih I done this the night before.Best thing is you walk out of the hotel and round the corner is all the big department stores, plus a whole series of streets you will have seen in countless movies.	
Jun 8 2009	Don't Waste Your Money!	Upon arrival we checked in. Once we reached our floor we stepped out of the elevator and the cleaning lady was sitting on the floor taking her break drinking her water and eating something.The room was ok but not worth the $$. My daughter went to use the bathroom and the door came off the track. The door is really heavy and you have to lift it from the front, it took two people lift it and put it back on the track.We called down to the front desk and ask for a maintenance person to come up and fix the door. We waited and waited no one showed up. The door again came off the track, this went on for a full day. Finally the next day my son inlaw told a cleaning lady in the hall and she called to have some one come up immediately that it was dangerous. Well it was dangerous not only could someone physically get hurt but God forbid there was a fire you wouldn't be able to get out of the bathroom.Then there was the BEAR Convention. Well they took over the whole lobby the whole weekend. Plus the men holding hands and hanging on eachother was Not a pleasant sight.The worst was being in the dining room facing the patio and have to watch these 300lb + gay men carryon.My son inlaw went to the front desk and they told him the next time they took over the lobby to have security called. Well they took over the lobby the whole weekend and from the front desk you could see it!Then last but not least when I made the reservation I was told there was a pool. I packed my suit and was all ready to go to the pool. I called the front desk to ask where the pool was. I was told they don't have a pool but have access to the use of a pool....2 Blocks away! Like we were going to walk to blocks to the pool NOT.When we returned home I called the corporate office to tell them of my experience and the lady really didn't care. She was abrupt and rude. One thing she wanted to do.... giveme 5000 points to stay at one of there hotels in the future. I told her to keep her points.Save your money and go to a Hotel 6 or Courtyard!	
Jun 1 2009 	Great bar service	My comrade and I stayed here during the most recent NRA restaurant show. Despite warnings about a parking fee, no such thinhg was added to our bill. We didn't have a vehicle, but I had read some reviews that complained about the fee being added nonetheless. The room was nice and comfortable and the beds were awesome. Plenty of pilows! The bar service was the highlight of our three day trip. A bartender named Paul was on duty every night during our trip. He was attentive, helpful, fast and had good recollection of our drinks from the previous night. He did a good job of making suggestions from the food menu and was equally as attentive to guests at the bar and in the immediate lounge area. He's an actor at heart, but he should consider making this his full time profession, because he's damn good at it. Breakfast service wasn't quite as impressive, so if you're in a hurry, skip it.	
May 18 2009 	Paper thin walls make bad neighbors into smoke filled loud torture.	You know how the FBI blasted obnoxious music into the Branch Davidion compound in Waco as a form of psychological torture... well that is basically the Crown Plaza Metro. I arrived on a Saturday and had a presentation on Sunday, an important presentation.I took my family with as we only live 3 hours away and the drive would be a good get-away for them while I was at my meeting. My daughter is 9. She is allergic to smoke so we got a non smoking room. By about 2 a.m. our room was filled with cigarette smoke and her eyes were puffy and she was sneezing incessantly.At 12:30 a.m. the neighbors in a room separated by a connecting door started having a frat party and brought a stereo with a substantial woofer and started playing 120 bpm dance music all night. At 1 a.m., 3 a.m., 5 a.m., and 7 a.m. we called the operator and requested they put a stop to the loud music and smoking, to no avail. The trucks whizzing by on the interstate were very loud but a welcome disruption from the terrible dance music shaking our walls. We eventually opened the balcony so my daughter could breath and were up all night.I'm a private contractor and the parking and hotel room cost over $300 dollars for a one night stay. We would have gotten more rest sleeping in our car in a parking garage. I've had better experiences at the Motel 6.If you being kept awake all night and psychologically tortured, stay here.	
Apr 19 2009 	Comfortable room for a relaxing weekend	For my first extended trip to a big city (I'm from a small Midwestern town), the Crowne Plaza was excellent. I chose to stay here because I wanted to stay somewhere different than the hotels around my hometown. I was not disappointed. From the moment I stepped out of the taxi, the experience was great. The staff was great and knowledgeable. The hotel is very warm and inviting. The lobby is huge and beautifully decorated. The room (King suite 1531), was beyond what I had imagined. It had a seperate living room, with a TV, desk, chair, and sofa (which pulled out to a bed). Beyond that was the bathroom and bedroom. For seclusion, if there was anyone staying on the sofa bed, you could have privacy in the bedroom by closing the door. The bedroom also had a TV, and the most comfortable bed I have ever laid in. The balcony had a stunning view of the Greek Town (Greek Walgreen's right across the street), and to the left, the Sears Tower. The bathroom was equally stunning. I loved the rainfall shower head; it was very relaxing. The lighting in the entire room was able to be dimmed, which was great. I can't wait to go back.	
Mar 31 2009 	A pleasant surprise	We stayed at the Crowne the last weekend in Feb. We had never stayed there and weren't quite sure what to expect. The staff were all very friendly and welcoming. It is a great location if you are interested in dining ...some great spots just to the north that are within walking distance. Our group had corner king rooms...the rooms were a little cozy, but the beds were very comfortable.Great value and a spot I would highly recommend.	
Mar 26 2009 	Pretty Average Stuff	I stayed at the Crowne Plaza 3/13/09-3/15/09. Would I recommend it to a friend? It depends.... If they are doing business in the neighborhood, yes. If they are sightseeing in Chicago - No. If a Gym is important to them - NO (a thousand times NO!) The rooms are nice but if you are in Chicago to sightsee, there are much better choices, much closer to the sights.As I said, the room was fine, the best features were: the very large desk, free (though very slow) wired,or wireless internet, and the nice flat screen TV. The shower head was mounted to an extension arm to provide the 'rain' affect. The ceiling was too low though and the shower head felt like it was nearly touching my head. Nothing else about the room stood out for me.Location, as has been mentioned, is good; especially if you are working in the neighborhood. The MTS station is within a 15 minute walk so there is easy direct access from O'Hare via the Blue Line. I love to walk and though this is a bit far from most of the sites, even the lakefront is only a brisk 30 minute walk. Unless it is raining or bitterly cold, Chicago is a great spot to meander and sightsee. The hotel is located in 'Greek Town', so there are a number of choices for good meals. There are also a number of other restaurant choices within a few blocks - including a nice variety to the west. I had a good meal and quick, friendly service at the bar, even though I had arrived at 9:50PM.The worst part for me was the workout room which is definitely substandard compared to other hotels that I have stayed at in the Chicago area. The ceilings appear to be 7 feet, which in addition to giving a claustrophobic and closet type feeling to the room are so low that when I was on the treadmill I nearly bumped my head. (I'm only 6'2&quot;, but the machine adds 8-10 inches depending on the incline). The equipment was old and worn out and was of especially poor quality for a hotel of this rating. It would be like having a 1985 12&quot; Emerson TV in the room instead of a flat screen. Speaking of TV's (in the workout room), they are small and have no provision for ear phones, so everyone is pretty much forced to watch the same channel unless you want conflicting audio or no audio. There are only a couple of weight machines and they are also substandard and nearly useless for getting a good workout. There is a good assortment of dumb bells. Obviously the gym is very important to me. I'd rather pay an additional $10/day for a gym that has new, quality, equipment with higher ceilings than have a free gym that is so terrible. Much lesser hotels in Chicago have much nicer gyms; I think that this was an afterthought - stuck in a converted conference room and not really important to the hotel management.Last year I was in hotels nearly 3 nights out of every week. This one did nothing to impress me or standout. The room was probably a B to B+, but for me, it is the whole experience that sets the hotel apart, not just the comfort of the room. I guess I'm weighing the gym's D- grade too heavily, but that matters a lot to me. I paid $180/night and honestly could have stayed in a comparable (or nicer) room with a better gym for $75-$100/night using the 'bidding feature' of a popular website. If this Crowne Plaza wasn't close to my customer, I doubt that I would come back.	
Mar 22 2009 	Cool Hotel/Cheaper Parking ten steps away.	Updated contemporay style. rooms with balconies and interesting location in Greek Town are great atributes. Located in near west side, it's bit of walk to the loop. Cabs and buses nearby.Hotel resturant is also stylish and friendly but very slow service. Greek resturant row and Starbucks one block south. Big grocery store (Dominick's) across the street to the north has everything...including another Starbucks. Across the expressway bridge is &quot;Old St. Pat's--very friendly Catholic church with great music. Norh 2 blocks is Randolf street upscale trendy resturants.Rooms and bathrooms are not big but well appointed. Bathroom door is sliding glass and doesn't feel as priviate as some would wish--good enough I guess. Wish room had a small refrigerator.DON'T USE THE HOTEL PARKING UNLESS YOU NEED IN AND OUT SERVICE. Directly across the street to the west is a much cheaper lot. By the way if you are meeting guests in the resturant the hotel parking is free for them with validation.	
Jan 1 2009 	Book Crowne Plaza -you will not be disappointed	Following a five day break in NYC, we followed this up with a four night break in Chicago. This is our second trip, the first being for a wedding when we stayed in the Drake hotel. Much preferred the Crowne Plaza, despite it was further out from the main tourist attractions. Rooms were excellent. Bed so comfortable that I could have taken it home with me. Service at hotel was second to none. All I can say is try this hotel you will not be disappointed.	
Dec 11 2008 	Excellent stay in Chicago	I stayed at the Crowne Plaza Metro for a conference in Chicago and stayed two nights. The hotel rate for the conference was lower than the state rate and very reasonable (for Chicago). I had a king bed/no smoking room on the eighth floor that looked out over the parking lot and the Dominicks food store. While it was a little noisy, it wasn't anything that kept me awake. The bed and linens were very nice - I love cotton blankets instead of acrylic - and there were lots of pillows. The desk space is nice and has plenty of outlets, but I only wished that it was possible to sit at the desk and see the television (which was a very nice flat screen). The room safe was big enough for my laptop and is free. The amenities are nice, plenty of soft towels, and a spacious counter are in the bathroom. I wore my white socks during my time in the room and based on that the carpet is very clean. I loved that there was a food store, drug store, and a variety of restaurants in Greek town just down the street (within 3 blocks). It is a hike to the Loop, but a short and cheap cab ride will get you there. The housekeeping was nice and, as a priority club member, I had turndown service without asking. The exercise room was clean and offered a container of Clorox cloths to wipe down equipment. Some of the equipment seemed to need a tune-up, but it was a slightly more complete gym that you usually see. Overall I think the Crowne Plaza Metro Chicago was worth the money and a good place to stay.	
Dec 1 2008 	Don't worry book here!	If you're like me, you have probably been obsessing over where to stay - you want your holiday to be great and worry-free, so you've been checking out Tripadvisor reviews till your head spins. Well, stop it!!! Just go ahead and reserve a room here. The rooms are very modern, clean, comfortable...felt like home. Great bathroom. Nice to have a balcony. Front desk was great. We didn't go to the onsite restaurant - too many other places to explore in Chicago. We just took a cab anytime we wanted to go somewhere downtown - would have walked but it was November and the freezing rain was a bit of a deterrent. Taxi was not expensive at all to get to Magnificent Mile area (about 7 bucks if I remember correctly).You MUST go to the blues bar just a couple of doors down the street. They have live music on weekends and the bands there were just fabulous. We were there early - apparently Chicagoans start their evenings at about midnight - so we got to know the band before everyone and their dog showed up. We also went to an Irish pub nearby - had lots of fun, very friendly female bartenders. Walgrens next door is fun for us Canadians too, especially at 3am when you think you really need to get a pair of gloves that peel potatoes.Loved Chicago, people were friendly, who cares about the weather when you have a great hotel as a home base. So, have a great time and enjoy this great city. Now you can start to worry about what clothes to pack instead of where to stay...	
Oct 20 2008	Truly Delighted at the Crowne Plaza	I was very very lucky to get this hotel on Hotwire. The location was perfect for me because I needed to be near Union Station. It is not in the loop so you do have to walk a little bit to get to the loop, but I wasn't in Chicago for sightseeing.The rooms are comfortable and nicely appointed. Great lighting, colors, furnishings. The bed was one of the most comfortable beds I've ever stayed in! I wanted to take it home. The bathrooms are clean and modern. There is a widescreen flat panel tv in the room and a balcony that you can walk out onto. They have lots of little thoughtful extras like earplugs, eye mask, and a relaxation cd in the room (although I have no idea who listens to that stuff...). Internet access is free as is the gym. Parking was a little more expensive ($35 a night) but super easy and you don't have to wait for 15 minutes for them to get your car... it is right outside. All in all I was very very happy at the Crowne Plaza and would definitely come back.	
Aug 12 2008 	Decent Hotel Marginal Location	The hotel was recently (2-3 yrs) renovated and though the rooms are a bit small, they are very clean and modern: flat panel TV, two-tone paint, halogen reading lights over the beds, white subway tile in the bath, and a rainfall shower head. Our room was on the Halsted Street side, and away from the highway. Though we were close to the interstate, there was no issue with noise.Our only issue was location. The hotel is about 5 blocks out of the west loop, and roughly the same distance to the nearest subway station. Between CTA, cabs and walking, Chicago is a very easy city to get around. Just know that you will be away from the primary business area as well as the major tourist areas.We booked based on price and got the room for about $225 night (including taxes and fees) from an Orbitz package deal. If you are trying to stretch the budget a bit and don't mind walking a few extra blocks, this place is fine. If you want to be in the heart of the city, look for a place on Michigan Ave.	
Jul 15 2008 	Hotel in Chicago	The location is very convenient: walking distance from Greektown and all its restaurants, from the Loop and the Sears tower and if you want to go further you can use the metro. Do not park there the lot is ridiculusly expensive ($35/day). In the week-end you can get good deals at nearby lots ($10-$15 dollar a day).One drawback on this hotel: it is just above the I-90/I-94 and the insulatoin is not good so you can hear all the traffic. They do provide earplugs.	
Jul 10 2008 	Wonderful if not Fabulous	I would say 5 STARS! Our room was very moder looking. The bathroom with dimming lights for a relaxing shower, bright lights for make-up. Just perfect. The beds and pillows are what I call heaven on earth. The service, wonderful. The food, could not get enough of. In the heart of where we needed to be in all different directions. Perfect location. Catered to. Exceptional! The view was very pretty, amazingly did not expect it.	
Jul 9 2008 	nice hotel in greektown	Nice modern rooms with good work desk, plasma tv, sound machine. Hotel on the edge of Greektown above the freeway with a Dominick's &amp; Walgreen's across the street. Good business hotel, but if you want to be in the middle of the loop, be prepared to walk several blocks to shopping, sights and restaurants other than Greek. Business center conveniently located adjacent to front desk to print boarding passes for flights after check out.	
