	Room and service was horrible	When we arrived at the hotel we were properly greeted and taken up to our rooms. When we got into our room the furniture inside was stained and really beat up. The worst part of the room was the bathroom door. The bathroom was fitted with a sliding door that did not go into the wall but alongside it. The door had no lock and left about a 2-3 inch gap where if you walked by it you could see someone on the toilet. The concierge was not helpful on suggestions of restraunts or nightlife. The concierge told us that we were better off staying in our rooms since there was &quot;nothing to do in chicago after 10 pm&quot;. Our last night we ordered a movie and the quality of the movie was horrid (movie was pixelating and blurry) so we called down and I had to argue with the person at the front desk to have them credit us the money back for the movie after we had stopped it less than 5 minutes in. This is not a full service hotel we had to pay about 10 bucks for anything and everything. We had to pay about 12 dollars to have them bring us up extra glasses since the old ones were dirty and the maid did not switch them out. The only redeeming thing about my trip was the fun I had with my friends not the hotel.	
Oct 15 2009 	The Blackstone Hotel	Awesome hotel. Excellent service, beautiful view and the Tapas restaurant is amazing.	
Oct 9 2009 	Amazing	We are in Chicago for just one night but wanted to get a location central to the Shedd and Field Museum. We couldn't have done better! Beautiful room and friendly staff! We weren't expecting a lake view room and got up graded. It is amazing to look out into the harbor and see the boats. Truely beautiful!	
Oct 6 2009 	Incredible Fantastic Beautiful Wonderful	We arrived on Saturday and requested an upper floor, lake view room. We stayed in room 1918, which is a corner room looking out on Lake Michigan. It was beautiful. Clean, bright and very roomy. It exceeded all expectations. Being directly on Michigan Avenue we expected some road noise. There was very little. There was also no noise from the other guests. Zero. This hotel is beautifully appointed. The staff was incredibly helpful and welcoming. The bed was very comfortable. The only negative was feather pillows and no extra blanket in the room. I know every upscale hotel has feather pillows, and it is very hard to get foam. I still slept very good because the bed was so comfortable. Room service was so so. The prices are very high and you must be very specific on what you want. We ordered coffee with cream and got milk. Not too tragic, however, when you pay $15.00 for coffee with cream, and it takes 1/2 hour, at least give me cream. The hotel restaurant wasn't too good for dinner, but has a wonderful breakfast. The 2 eggs any style are a fantastic deal. Worth it. We went to see the Chicago Bears game and ended up walking to Soldier Field. We ended up walking to our destinations and cabbing back after dinner etc. It is in a great location for seeing the city.	
Oct 5 2009 	Unexpected luxury	The Hotel: I was there for a 4-night stay which qualified me for an upgraded corner room overlooking Michigan Avenue and Grant Park on the 17th floor, plus a $50 voucher for room service or the onsite restaurant. Those were very nice perks. As for service, they loaned my friend and I umbrellas for walking around downtown and were. The size and cleanliness of my room was excellent. it had carrerra marble baths and a unique room layout, making it feel spacious. The hotel itself is classic and well built with ornate details throughout. The gym has many newer machines and treadmills and lots of them. I've never seen so many guests working out at 6AM as I did at the Blackstone.Negatives: Wireless internet was $13 plus a dollar tax in room, but free in the lobby. That was barely convenient for checking email.The location: Very good for walking to Millennium park, the Art Institute to the north, and even the Field Museum and Soldier Field to the south. Taxi rides make things much easier, and getting to the Cubs game was no problem via walking to the nearest red line station. For a leisurely breakfast, try &quot;Yolk&quot; just south a few blocks. The variety of breakfast food was impressive.	
Sep 29 2009 	Great room and location with friendly staff	Was in Chicago for a long weekend and loved this hotel. Would definitely return. The rooms were spotless and nicely renovated it was contemporary with the charm of an older hotel. The staff was awesome they upgraded us to lakeview free of charge since rooms were available. We got a good deal on the room and would definitely recommend this hotel.	
Sep 29 2009 	Excellent Staff Beautiful Rooms - Gorgeous Hotel with history	Along with a hoard of other kind folks, I stayed here for the U2 shows at Soldier Field. I can't think of anything to complain about! Everything was amazingly well done by a professional &amp; courteous staff. The restoration is beautiful, and the employees are proud of their property (deservedly so!).ah, I thought of something to complain about:The queen beds in my room were fantastic! The plush, top-notch bedding &amp; linens I've come to expect from the Marriott family were even nicer than usual.However, the king bed in a friend's room wasn't so great - not nearly as comfortable and not up to the Renaissance/Marriott standard. So if you have a choice, go with the queen room.The bathroom was great - Aveda products &amp; good lighting. The TV in the bathroom mirror was amusing, but mostly a gimmick. I like the local art on the walls, the connections to Chicago history, and the selection of books on local lore - the overall attention to detail here is what made my trip so enjoyable. The hotel was completely full, but once in my room, I didn't hear any other guests.Unlike another reviewer, I found the Doormen, Concierge, and desk staff to all be very friendly &amp; helpful. Theo &amp; Jordan couldn't have been nicer or more helpful (thanks Theo, for the directions to Malnati's - you were right, it was that good!). The ever-changing video feed from the roof is fun to watch.Also, late at night the lobby is a very relaxing place to chill with good music and free wifi. This is a fun hotel to explore, and staff doesn't seem to mind you looking around.My only other complaint about my trip is with the City of Chicago - the sales tax is a little steep at 10%, but at $40+/night, the hotel taxes are an insult to visitors. Traffic management was the worst I've seen for a city of any size - but that's nothing to do with the Blackstone. If anything, the Blackstone is a charming, comfortable oasis in the midst of the city, an oasis with good coffee in the lobby and within walking distance to Lou Malnati's pizza &amp; Garrett's Popcorn - what else do you need?	
Sep 24 2009 	Just the small things keep this from being a 5-star hotel	My husband and I stayed at the Renaissance Blackstone Fri-Sun of Labor Day weekend for Jazz Fest. We had stayed at the hotel the year before for the same reason, and we will come again. The rooms are clean and comfortable and the location is perfect. Their staff needs to work on a few things to be more attentive to their guests. Our room faced southeast and had a lovely view of the Planetarium, the Oceanarium and the Field Museum. Room was exceptionally quiet despite being on the corner of Michigan and Balbo. Our king bed was clean and the mattress was very comfortable. The suede chaise in the room is just perfect to stretch out on and read or watch television. Mini-bar prices were reasonable, room came with 2 spa robes. There is a Starbucks on the lower level with an outdoor seating area where we went on Sat. It was very pleasant to sit there and people watch and enjoy some coffee. We had breakfast on Sun in Mercat. My only quibble is that they need to increase their staffing for weekend morning breakfast service. There were a number of tables occupied and not enough servers. The hostess was doubling as the bartender. The servers were obviously stretched and were not too prompt with additional things like hot sauce, etc. Prices are on the high side, too. We noticed a number of people being seated, checking out the menu, and then getting up and leaving without eating. If you're on a budget, you might want to just go to the Starbucks for their oatmeal/pastries. Fitness center is clean and has about 10 treadmills, 10 Ellypticals and a free weights room. Towels, fruit, water provided and the door requires a room key card to prevent outsiders from accessing the facilities/security. Doormen should be more prompt to welcome/acknowledge guests. When I arrived alone (my husband was arriving later) I got out of a taxi with my luggage and started up the stairs on Balbo before anyone acknowledged me/welcomed me/offered me assistance. Sat evening, we came out of the hotel to go to dinner and stood and waited while the bellmen/valet/doormen stood around and chatted and never approached us. We finally went to the curb and hailed a cab ourselves and the doorman acted surprised that we had done so on our own. Front desk staff is good; I noticed that the concierge seemed overwhelmed on Sun as people were asking for assistance with site-seeing, wanting to check bags, etc. More attention to staffing on weekends is needed. Overall, they are close to being a 5 star hotel, and much more cozy, accessible and updated than the tired Chicago Hilton &amp; Towers next door, which is enormous, impersonal and much more for conventioneers than for leisure or business travelers.	
Sep 21 2009 	Awesome	We were in town from waukegan for the U2 concert the rooms and service were definitely superior to hotels ive visited in Peoria and the Washington DC areas it was just awesome!!!!!	
Sep 15 2009 	Totally Disappointed	The reception was terrible, the valet - that's why service is not a part of their title, the bees, not the best addition in a room with an infant. We stayed there almost a week when my wife was at a training at the Hilton. I am a Marriot Rewards member, but surely that did not do much in their eyes. From the start we were treated as though we did not belong there. There was no formal welcome except from the Valet service. We wanted to park ourselves, big mistake. We traveled with an infant and had many things, but the Valet told the bellboy to take our luggage off his cart. The Valet would't even budge to open the door in the absence of a greeter. You have to climb stairs to get to the lobby from the outside. Even with all the luggage that comes with traveling with an infant, the Valet didn't even think to tell us that there was an elevator. We had to discover this on our own. We were in line, but the front desk served someone else better dressed than us first. Then we got the &quot;room with the view&quot; that also came with wasps. We complained to the front desk, but we had to again ask, this time with the housekeeping staff. They caulked up the hole with no guarantees. We asked to be moved and no help was offered in moving the crib and everything else we had to lug ourselves. We talked to the manager and got a plate of stinking cheese. We complained after getting back and got an email for more information. We responded. It is now a month and a half later and yet not a response. We should have stayed at the Hilton across the street. We will use up all points and cut the rewards card. Thanks Blackstone for ruining a good relationship.The best thing about the stay were the nice housekeeping folks. Management could learn alot from them. For those that are wheelchair bound, go somewhere else because you have to open the doors yourself and the elevator is too small.	
Sep 7 2009 	Blown away by the service and accomodations!	We stayed at the Blackstone in early August to go to the Lollapalooza Music Festival and to visit area colleges. We were really blown away by all aspects of the hotel (except for reservations but I will get to that later). The service in the hotel was really topnotch and the staff was extremely friendly and helpful. Room service went out of their way to accommodate us, when we arrived after 10 p.m. and required vegan choices for my daughter. The food was excellent in both the Mercat Restaurant and room service (which I often try to avoid). The staff did an incredible job as the hotel was completely booked and it was very hectic for the first three days we were here. Even our housekeeping service was friendly and accommodating. It did appear that everyone that worked here really enjoyed their job and was interested in making sure you were happy. The rooms were very comfortable. Plenty of space and well laid out. The beds were extremely comfortable. The bathrooms were spacious and we loved the walk in shower (no bathtub). We were also surprised that the rooms were pretty quiet. No noise from the street but we could definitely hear the music festival although this didn't bother us as it ended at 10 p.m. every night. The weather was brutally hot - high 90's but our room and the rest of the hotel was always nice and cool.The location is good if you are interested in going to the museums and aquarium as well as spending time in the parks. The restaurants within walking distance were somewhat limited. The one area that we had a problem was with reservations. I requested a double room (two beds) connected to a king room. I was later sent an email letting me know that my request was not available, although I did not realize this at first as I thought it was just a confirmation. Once I realized this, I called the hotel back and was told that I should call two weeks before arrival and was led to believe that this would be possible. I called two weeks out and was told to call back a few days before arrival. When I did this, I was told to call back two days before arrival and when I did this I was told to call the day before and then the day of. During this time, not once was I told that there are very few rooms in the hotel that have doubles (I think it is one per floor) and that the likelihood was not good that one would be available. In addition to that, these are also the only rooms that connect. We ended up with two rooms each with a king that did not connect. This definitely effected our trip as my husband and I each had to share a room and a bed with one of our children. In the end, the accommodations and service made us glad that we stayed here.	
Sep 7 2009 	In A Word...Spectacular!	My wife and I were celebrating our 22nd Wedding Anniversary and decided on The Blackstone Hotel on Michigan Ave. in Chicago. Before our stay we were contacted via email with a personal note regarding our arrival. This was a very nice touch. I informed them of our anniversary and when we arrived at our room we had been upgraded to a lake view room (the view was spectacular on a beautiful September Chicago day) and we had a bottle of wine and appetizer awaiting us. It was truely a surprise. Molly in the sales department should be commended for taking such good care of us on our special day.The room was very ecclectic and comfortable. I was blown away by how nice the hotel had been redone. It was decorated in dark rich colors and there was attention paid to every detail. The room was spacious, with a king bed, and comfortable. Even though our room lacked a tub, the shower was very nice and the &quot;rainshower&quot; head was out of this world relaxing. Our room overlooked the lake and the city and was the best part of the room. If given the choice in the future I would definately pay extra to upgrade to this type of room again...it was that special. About the only bad thing I can say about the room (1618) was that the noise was a little noticable from the city 16 floors below which was a surprise. We only noticied it in the morning and only when there was an ambulance or morning train whistle. Otherwise we never noticed anything during the night. We requested early chcek in and late check out and it was not a problem and the staff could not have been more accomodating to us. We had drinks at the Mercat Bar and they were fantastic. I really have never felt so &quot;taken care of&quot; while staying at a hotel. Only one person knew it was our anniversary but it seemed as though everyone knew and applied the special touch. Again, The Blacksone Hotel in Chicago is now my favorite &quot;Home away from home&quot; when I visit the city.	
Aug 27 2009 	The perfect mix of eclectic modern appointment and history	This historic building is absolutely beautiful. Don't let the age put you off -- the rooms have been updated and provide a perfect guest stay. Ours faced Lake Michigan so we could look out over the weekend fireworks at Navy Pier.If you need to be at the Chicago Hilton for an event, skip the Hilton and stay across the street at the Blackstone.	
Aug 27 2009 	Finishing Touches Show True Quality	My teenage sister and I stayed at The Blackstone during American Idol auditions. It was an incredibly convenient location with in &amp; out parking privileges which allowed us to go back and forth between the auditions with no problem. It was just across the street (a short 2 minute walk) from Lake Michigan. On the interior of the hotel the decor was incredible!!! In the lobby they maintained the historical details of the building. On the interior of the rooms they were amazing. The place has obviously had a complete overhaul from top to bottom and the finishing touches show that whoever did the renovation paid very close attention to detail and used all high-end finishes. Everything in the hotel room was better than we could have asked for from the amazingly fluffy beds and pillows to the fully stocked mini fridge, to the flat screen TV, huge desk and the bathroom. The bathroom was impeccable with marble floors and counter tops. We never heard anything through the walls either. The place is built completely solid. The staff was also incredibly helpful. We had a great experience and would stay here again any day of the week.	
Aug 21 2009 	Wonderful!	We stayed at the Blackstone for 3 nights in August. Overall, we were pleased with the accomodations. The room was quite spacious, the beds were very comfortable and the staff members were helpful. We picked this hotel because it had been recently renovated and they did a wonderful job with it. It's not too big a hotel either which i think is great when you have kids with you. We had breakfast at the Mercat each morning and it was enjoyable and fairly priced.There is 1 thing I did not like. The day we were leaving (August 7th) was the beginning of La La Palooza. Prior to making my reservation, i phoned the hotel to ask whether or not they could accomodate a late check-out on the 7th. I was told it shouldn't be a problem. The day i checked in (August 4th), i was told the same thing although they told me i should let them know the morning of the 7th. So i did. And the response I got was, &quot;i'm sorry but because of the La La Palooza&quot; taking place this weekend, we are unable to accomodate your reuqest.&quot; Well, it's not like the festival came as a surprise. I would have appreciated it if I had been told of this prior to confirming my reservation. If this is an annual event that sells out their rooms, they could have been honest about it from the get-go and told me so. The location of the Blackstone places it right at the center of the festival - i could have picked a hotel more north of Grant Park to have avoided this. So that actually annoyed me that day. Otherwise, it you are looking for a comfortable, clean and upscale place to stay, the Blackstone would be it.	
Aug 20 2009 	Best in Chicago	I travel for work (and sometimes leisure) often. I try to stay in a new place each time until I find my favorite hotel in each city. I have to say that the I've stayed in a number of Chicago hotels &amp; I can definitely say that the Blackstone is hands down, my favorite. Here's what I like about the place:*conveniently located*staff is friendly*starbucks connected with hotel*rooms are well designed and very very comfortable (beds)*also conveniently set up for business, internet*and most importantly the hotel just has a pleasant and uplifting energy about it (if you believe in that sort of thing). I just feel happy when I stay here. A good, comfortable atmosphere that's stylish.Cons:*paying for wifiI would definitely recommend.	
Aug 14 2009 	Fantastic	Great hotel, great staff, great location.Great fitness center. Buy a 3 day transit pass. Well worth it. You can get everywhere by subway or bus from this hotel.	
Aug 14 2009 	We Loved It	I have to say this is one of the better hotels we have stayed in in awile. I am started to think custoner service and proper cleaning was a thing of the past but the Blackstone met all of my expectations. We reserved a King size room so we had no problem like the previous posters with bed size. The room was very nice. Nice decoration, white duvet cover-not a comforter which skeeves me. The bathroom was very roomy-although it does not have a tub so if you like a tub this is not the place for you. The lighting was also very nice in the room, almost all lights had dimmers. There were also several mirrors so if someone was in the bathroom you could have an alternate place to get ready. I also liked that there were roman shades which blocked out the light at night. Nice soaps etc.We did not know Lollapalooza was going to be going on so when we saw the lobby filled with teenagers and their parents we were a bit worried we would hear noise all night long but we didn't. The workout room was great. It was very large-3 rooms with just about every weight machine any mid-size gym would have, plus free weights. There were also several nice new treadmills, ellipticles, and a couple of bikes. All had TV's attatched to them which was nice.My one recommendation would be that if you do want a pop or water dont get it from the little gift shop in the hotel it costs $3. Go the the CVS around the corner.We would stay here again.	
Aug 10 2009 	Avoid the Blackstone 1 King/2 Queens "Bait 	My wife and kids and I had a very disappointing experience at the Blackstone this past weekend. I had booked two rooms for two nights at the Blackstone 6 months ago for Lollapalooza this year, and it turned out to be a very poor choice. When I had tried to book the rooms on the Blackstone's website, it would only let me book rooms described as &quot;1 King or 2 Queen.&quot; Because my wife and I were traveling with four teenagers, I called the Blackstone's reservation number to make the reservation instead of doing it on-line so that I could confirm that I would be able to get 2 rooms with 2 beds in each room. Given that I was booking the rooms so early, I was assured by the person taking the reservation that this wouldn't be a problem. However, when we got to the hotel, we were told that there were no &quot;double queen&quot; bed rooms available. Obviously, we wouldn't have booked the Blackstone hotel if I had known this would be the case, and we weren't alone in this experience. The couple checking in next to us was told the same thing and had the same problem. The Blackstone clearly knows how many King bedrooms and double Queen bedrooms that it has when it takes reservations. This &quot;1 King or 2 Queen beds&quot; option was simply a &quot;bait and switch&quot; scam by the Blackstone. Don't be fooled by this like we were. To make matters worse, from the time we checked in, it took 3 calls and 6 hours for the hotel to bring up 2 roll-away beds. And then to cap off our less-than-stellar Blackstone experience, there was urine still in the toilet in one of the rooms that we checked into on Friday. While this didn't ruin our experience, it certainly wasn't pleasant.The Blackstone is a very nicely decorated hotel, and the rooms are very comfortable. From the stand point of the rooms, they were fine. However, at this point, I can't imagine recommending the Blackstone to anyone staying in Chicago. If you want to experience downtown Chicago, stay at the Affinia. My wife and I have stayed there several times, and it is excellent. And if you're coming down to Lollapalooza next year, I'd suggest staying at the Hilton or perhaps even the Travelodge. They are both just as close to Grant Park, and if you make a reservation, you will know what you're getting.	
Aug 5 2009 	It's all in the details	We stayed at the Blackstone over Memorial Day weekend and it was a really perfect stay. Beautiful property in a great location. The bathroom was gorgeous and the bed super comfy. The room was compact but had just about everything you'd need, though no mini-fridge. The biggest con is the exhorbitant parking rate, but I s'pose that's to be expected in what can be an expensive city to visit. However, I would suggest checking out one of the numerous lots/garages in the vicinity. The hotel charges $47 per night for valet. That rate is also very similar to the garage rate just across the street at the Hilton, which I believe is where The Blackstone valets park guest vehicles. Not sure if there are in-and-out privileges included, but we found a nice, new-ish, secure garage at the corner of 8th and State. Just a block away from the hotel. It's in the same building as the Lou Malnatti's restaurant and the entry is on 8th Street, between Wabash and State. The overnight rate was from $17-20. Can't recall the name of the garage, but there is a digital sign affixed to the outside of the building above the entry that says 24 hour parking. There were two or three open-air street-level parking lots, but the garage worked really well for our stay. Hope this little parking tutorial helps.	
Jul 19 2009 	Superb in every way!	The Blackstone has to be one of the best hotels I have ever stayed at, period, end of story. From the extremely comfortable feather beds, to excellent customer service, to turn down service with chocolates, no detail is overlooked at the Blackstone. The staff is very friendly and helpful; the hotel is as clean as any hotel I have ever stayed in. The fitness center is also excellent; it has tall windows with panoramic views as far as Lake Michigan and fresh fruit available for the end of your workout. The compliments could just go on and on, but simply put, stay at the Blackstone and you will not be disappointed!	
Jul 5 2009 	Exceptional service. Excellent Property. Fabulous views of the lake and park	Hotel staff went out of thier way to take care of our room no matter what the request.Maids were excellent. Houskeeping very well organized. Check in was fast. Sodasavailable in lobby for purchase. Valet Parking is expensive, but there are much cheaperlots all around the hotel.I usually see lots of things that need to be fixed or improved. I did not see one thing that needed fixing or improving.I would recommend hotel to everyone.Note: There is not a pool, but there is an excercise room.	
Jul 2 2009 	Loved it!	I stayed at the Blackstone for two nights while attending a conference at the mammoth Hilton next door. The Blackstone is a lovely hotel - a much nicer place to stay than the impersonal, rather tired Hilton. The welcoming, helpful staff really set the Blackstone apart. From the bell staff who rush to help you with your bags or hail you a taxi, to the housekeeping staff who keep the rooms spic and span, they all did a first-rate job. It's definitely worth reserving a lakeview room; mine was on the 18th room, and the views were spectacular - Lake Michigan with all its sailboats, Grant Park, and a view of the city from Navy Pier to the north all the way down to the Museum Campus and Soldier Field in the south. The room decor was funky modern; the bed was supremely comfortable; and everything worked well, including the flat-screen HDTV with lots of channels. The bathroom was spic and span; lots of fluffy towels were provided, as well as bathrobes. No bathtub, but an excellent, spacious shower. As other reviewers have pointed out, the frosted-glass sliding bathroom door is a problem for those who are sharing a room and want some privacy. As I was staying by myself, it wasn't an issue.The only slight drawback was that the hotel's excellent tapas restaurant, Mercat a la Planxa, was closed for renovations during my stay - would have loved to try it. But it was fun to be right across the street from the Taste of Chicago event.I felt so comfortable and pampered that it was hard to leave my room to attend my conference. Would love to stay here again on my next visit!	
Jul 2 2009 	This is a great hotel!	I was in Chicago for business for three days and really enjoyed staying at the Blackstone. Everything was customer service related: check-in smooth and efficient, all questions answered very promptly, gave a late check-out to 1 p.m. It was a busy time in the city (Taste of Chiacgo right across the street), but the hotel was calm and quiet. I nenver heard noise of other guests, which is something that really bugs me in many hotels. The restaurant is closed for 10 days while re-tiling, but the great food is available from room service. We had a drink there the night before closing and the ambience was very nice although a bit noisy. The room had a little view of the lake from a comfortablle chair. Great lighting for reading in bed, and a very comfortable bed. Aveda shampoo etc, my favorite brand. Really can't say enough about this great stay, and it was very reasonable for the summer.	
