	Great hotel!	The staff was amazing.The breakfast and dinner was perfect. Saved us tons of money and was perfect for the kids.Great location!	
Oct 8 2009 	Excellent hotel for family in a terrific location! Great Value!!	My husband and I stayed at this hotel in July with our two small children for our summer vacation. I am a fan of Hilton hotels but had never stayed at a Homewood Suites, it is now our favorite chain. The large room gave us plenty of space but privacy at the same time. Having a kitchen was convenient but between the warm breakfast every morning and complimentary dinner we hardly used it. The hotel staff was great, there was a mix of guests, both those on business and families with children but the hotel was perfect for both groups. This hotel is in a great location and is just a few blocks away from the Double Decker tour bus stop. Next time we go back to Chicago we'll be sure to stay there!	
Oct 8 2009 	Excellent stay	This was our second visit to Homewood stes. downtown Chicago. Clean and newish suites with all you can want plus! Very competent desk staff and friendly employees all around (bear in mind this is a very large city &amp; in some places &quot;friendly&quot; is a relative term).Good included breakfast. And LOCATION, LOCATION, LOCATION--living 90 miles north of Chicago, we try to get there 1 to 2 times a year for leisure for the past 15 years or so. I've stayed in many places there. For a family with teens there is no place better.	
Oct 8 2009 	Location Location	Nice facility that was perfectly centered for our various activities.Perfect for those who want to park their car and use their feet while visiting Chicago. The staff was very obliging and our only complaint was that they seemed to be overwhelmed by the weekend crowd at the complimentary breakfast,which was quite good by the way.All said, we enjoyed our stay very much	
Oct 6 2009 	Exceptional Service!	I am a corporate travel consultant and book this hotel often for my clients. My family and I stayed over Labor Day weekend and I now know why it is so popular with my clients!! The hotel is in a great location and the staff is OUTSTANDING. I was very impressed with everyone from the front desk to the server's at breakfast. Everyone was extremely friendly and always willing to help. The complimentary breakfast is a great value when traveling with a family. My teenager's loved the freedom to go to breakfast or bring it back to the room.	
Oct 3 2009 	Great Value	Just back from a business trip. The Homewood is in a great location just off the Magnificent Mile, includes a great breakfast, heavy hors d'ouevres for dinner with beer and all for a pre-paid rate of $129. Without a doubt the best value in Chicago for a long, long time.	
Oct 1 2009 	Rough start but overall a nice stay	A little bit of confusion at first but things settled down and all in all a good place to hang your hat.Checked in at 4:00 PM, don’t expect an earlier time. I requested an upper floor and was given the 10th of a 19 story building where you check in on the 6th? I just got comfortable in my room and a couple walked in on me. They complained I’m in their room? I called the front desk and they had me checked out rather then in? Well the couple did eventually vacate, after all, I was completely unpacked while they were still wheeling their luggage around.I left for the House of Blues and got back late that same evening. The keys did not work to my room? Went to the front desk and they disabled my keys in the confusion of whether I’ve checked in or out. I recommend using the swing latch on your door, because if it isn’t for strangers surprising you or housekeeping letting themselves in 5 seconds after knocking you might be caught with your pants down.Now for the good stuff! Excellent free breakfast and light dinner. The location is great; you are only a block away from the EL Red Line that took me to Wrigley Field, museums, the bean and Chinatown without transferring. The rooms are spacious and the full kitchen (less oven) came in handy, as did the grocery store only a few blocks away.Service was friendly and attentive.My front end experience was an isolated case and should not reflect on the big picture so I give it good marks and would come back again.	
Sep 30 2009 	Perfect location not so clean	First I would say the location is just perfect. You are close to all major attractions, walking distance from everything.Breakfast is great, warm, plenty of it, I have only positive things to say about it.The rooms are huge, there are two tv's, kitchens, etc. The bathroom and vanity areas are so big as well.The bed sheets had holes in them, the carpet had not been properly vacuumed, the shower had a long, dark hair in it that was not mine. Decor: I loved the black and white Chicago photos on the walls, those were outstanding.The bedspread was this 70's, ugly, pinkish/salmon color and it did not look very fresh or clean.The curtains were in this awful striped color.The air conditioning worked great, there were enough towels and toiletries and a hair dryer. There was also an iron and ironing board which was good.The Staff was very friendly, the elevators took forever to arrive. You enter through the first floor and you check in on the 6th floor.The business center has a nice view, is very well-equipped and will print your boarding pass in color. I liked it! You also get free internet access.There is a gift shop open 24/7 that is stocked with food and drinks so that is good as well.The walls are super, super thin and you can hear all that is going on in the other rooms. The freezer part of the refrigerator is pretty noisy.All in all, I was looking for more luxurious accommodations so the hotel did not impress me. But if you are just looking for a place to put your suitcase down and then be out all day, then this is the place.	
Sep 27 2009 	Sweet Home Chicago!	My husband and I came to Chicago to reacquaint ourselves with this fabulous and vibrant city. We chose the Homewood Suites because of its location, my Hilton Honors membership, and the reviews here on Tripadvisor. We were not disappointed! The staff was friendly. Jonah, John and Starr were tremendous, and I felt I knew them because of the reviews here. They did everything to make our stay comfortable. They valet parking staff was efficient and friendly, and I wish I could recall all their names.We had a wonderful suite with a great view. There was plenty of space. Having a full kitchen was a plus, and we stocked up twice on healthy foods at Trader's Joe's just two blocks away. We also enjoyed the complimentary dinner our first night, and breakfast every day. The breakfast is very filling and is just what you need for a long day of walking, shopping and sightseeing. The elevators were speedy. The hotel was clean. The maid service (the only name I recall is Norma, which was the name on the cart) was top notch! They even aired out the room for us.Everyone was friendly, including the other guests. There was a lot of friendly chatter in the elevators.Here's what makes this hotel such a gem: It is unpretentious and down-home, like Chicago itself, but still attractive with more than a dash of style. People feel comfortable here. And the people who stay here run the gamut of types: Business people, couples, families.The location is excellent: The area is full of shops and restaurants to suit all tastes and budgets. We shopped at Nordstroms, Water Tower Place, up and down North Michigan and loved the Apple store there.One more word about the location: It is relatively safe, and teems with life from early morning until after midnight. Chicago is a very friendly city, and everyone who works in a frontline job must have taken a guest relations course. Somebody is doing something right here!By the way, nothing wrong with the parking fee here. It was actually less than we expected. You're in a city, for heaven's sake.We will certainly return to the Hilton Homewood Suites on Grand Avenue. The sooner, the better!	
Sep 25 2009 	Fantastic Stay!	My fiance and I stayed at the Homewood Suites for 6 nights this September. We thoroughly enjoyed our experience there. The location is superb! We walked practically everywhere: State street, the mile, Hancock tower, the bean and museums. The restaurants in the area are also great, and there is plenty of variety.I enjoyed having a kitchen and full refrigerator for heating up leftovers and cooking a few meals. The room was fairly spacious for a downtown Chicago hotel. I thought the valet parking was extremely overpriced ($43 a night), and most parking garages in the area are about the same price. Oh well, that's what you get for being in the city. We had a couple of friends stay with us one night and they had their car parked in the valet lot as well. They paid for their one day of parking, only to discover that they had been charged the entire hotel bill two days later. When I spoke with the front desk about this mix up they were not too friendly about my confrontation. I spent a half and hour with them trying to resolve the issue, which should have only taken a few minutes. Overall the experience was good, and I would plan to stay there again when I visit Chicago.	
Sep 25 2009 	Outstanding Service!	Homewood Suites is a great bargain by its nature. Big rooms, kitchens, bedrooms. A great deal for the price. One might expect that service would suffer to in proportion to the value. Absolutely not the case here. Star pre-registered us and she was funny, charming and very helpful. Upon actual check-in later in the day, Lorena made us feel right at home, she was sweet, knowledgeable and a real professional. Toni was especially helpful in getting us into a very busy restaurant near the hotel - they knew her there and treated us like VIP's. A real treat after a long day of sightseeing. Making sure the entire machine keeps running is Manager Jennifer Kerr. She is nice, funny, and very ,very hands-on in assuring tha ther guest are as happy and aswell taken care of as possible. We give it an A+ and will definitely be back.	
Sep 24 2009 	Great location extremely friendly service.	Perfect location in downtown Chicago. Walking distance to all major sites. Very friendly and helpful staff. Decent complementary breakfast. Clean, spacious rooms.	
Sep 21 2009 	Great Location	PROS - Great location, complimentary breakfast &amp; light dinner, free internetCONS - expensive parking, rooms are dated, not so fresh smellThe hotel staff is very helpful and plentiful. The location is very convenient to shopping, dining, and entertainment. The on-site fitness center is OK, but the CRUNCH fitness center is just downstairs and part of your hotel stay. Crunch fitness is full facility with classes, lots of cardio &amp; weight equipment.The first night was problematic because the toilet &amp; kitchen faucet keep running and the freezer did not make ice. I called the front desk about the running toilet and faucet and the maintenance person could not fix everything the first day. The next day after attending the conference I returned to my room to find all my things gone. At this point I was concerned and went to the front desk and was told all my belongings had been moved to another room, last night was comp'd, and please have a free beer from the Suite Store for my troubles.The breakfast rotates every other day but there is scrambled eggs every day accompanied by either bacon or sausage, hash browns and various cold cereals and fruit. The manager's reception is different everynight but familiar with deli meats, Italian cuisine, hot dogs, and substantial salads. There is also free beer &amp; wine served at the Manager's reception. Definitely more than chips &amp; pretzels.In summary, the things that were important to me (good breakfast, workout facilities,location, free internet) were available and done consistently well. I would stay here again.	
Sep 20 2009 	Wonderful Anniversary Celebration	First time in Chicago to celebrate our 19th wedding anniversary. Homewood Suites and the staff made it a perfect trip. The staff were very helpful and friendly. Thanks Jennifer and John for giving us a wonderful stay. The room was roomy and very nice. The breakfast was an added bonus. They had a lot of choices to please any palate. Good job Homewood.	
Sep 19 2009 	Another Great Stay	Another trip to the Windy City, this time in the late summer, proved to be wonderful again. I have stayed at Homewood Suites several times before and this time had friends/co-workers along for the trip. The hotel staff and services, as usual, were great. I've heard guests commenting on the slowness of the elevators, especially around check-out time, but that has never been that big of an issue with me. (Just wait for the next one!) The comp. breakfasts are filling and a great way to start you off on a day of sight-seeing or conferences. You cant beat the location!! The hotel is literally sandwiched between Nordstroms and Bloomingdales! The Weber Grill is a block away as well as many great restaurants on Rush. There is even a Trader Vic's Market 1.5 blocks away if you just want to fill up the kitchen in your room and eat in. I've always recommended this hotel to friend traveling to Chicago for the first time or for return trips. The employees are friendly and very helpful, they'll provide suggestions and even get you tickets for shows or clubs on a moments notice. I will be back again. Love the city, love Homewood Suites.	
Sep 17 2009 	Lifesaver!	My wife and I enjoyed our mini-moon stay at Homewood Suites. It helped tide us over until our honeymoon to Australia in November. Here are a couple things I'd like to highlight.Customer service - Everyone was friendly and helpful. The front desk gave us a map of the city and pointed out nearby attractions and the supermarket around the corner. On the day of our departure, I realized I had left my wedding band in the room. As we were heading to the airport on the train, we called the front desk to search for the ring. They found the ring and mailed the ring overnight to our address. I would have been dead without the great service. I'd also like to mention that the prompt service, whether providing additional towels or wine glasses and a bottle opener.Other things we liked about the hotel: free breakfast, full size fridge for storing leftovers, one block from the red line, comfortable king bed, and free wireless internet.The pool and fitness center were a bit small with lots of kids around, but at least it was on the top floor of the hotel.Overall, I thought it was a great deal at the price. We were able to spend less on the hotel and more on food.Tim	
Sep 15 2009 	Great in house staff . . . But . . .	This review has two parts. . .I advise reading both. Chapter One: The actual hotel and staff I found the in house staff to be very friendly and accommodating. The room was nice and clean as well. I have no disagreement with any of the other reviews regarding the hotel room or the staff. This is a great location where you can walk three blocks to to the South to reach the riverfront, or a few blocks to reach the water tower to the North. Very easy (one block) walk from the subway (Red line). The morning complimentary breakfast is substantial. Not just muffins and coffee. You can have a complete breakfast here if you want. And, even the breakfast servers were really nice and efficient. I would recommend this hotel IF based solely on the physical location, the room, and the staff. Chapter Two: The nightmare I booked this room through central reservations in July for a mid-September arrival. The rate was quoted to me as $159 per night for four nights. When the confirmation was emailed to me, it was incorrect by over $300. I immediately called the hotel. They said they made the correction and emailed a new confirmation with the correct amount. I did receive the corrected confirmation email. . .All done? NO. One week later, my credit card statement arrives with the old higher amount having been charged. I called the hotel and was transferred to central reservations to resolve. When I explained the error, I was literally called a liar by the person in reservations, and told &quot;That's not my problem. I can't help you&quot;. . . and then told that I have to pay the higher amount. Excuse ME? Now, I go back to calling the hotel manager to get some assistance. After a few left messages, I get the general manager to call me back, and discuss the issue. After taking down all of the names of people I spoke with, he assures me that he will credit the account immediately. I even get a call from someone in his accounting dept to confirm my credit card etc. . . One week later, still no credit. So, I call the general manager again. Oh, this might take up to 72 hours to process, I am told. So, please give it another week. Another week passes, still no credit. So another call to the manager. I am told now that the credit HAS been processed, and he even sends me an email confirming our &quot;agreement&quot; for the credit, just to appease me. Another week passes. Still, not seeing that credit that was &quot;definitely processed&quot; a week ago. Yet another call to the general manager on the day before I am to leave on my trip to Chicago. I told him I will be arriving, and at this point, I want to see him personally, and he can physically use my credit card to process the credit while I am there. Remember, we are now talking SIX WEEKS and this is still not resolved. I arrive at the hotel, and to make a long story short, the general manager was NEVER available to see me, nor did he make any attempts to schedule any time to see or talk with me. The only person I spoke face to face with, was the assistant general manager. He was completely unconcerned with my situation, and made the completely inappropriate statement to me of &quot;you realize this boils down to a matter of 'he said she said'&quot;. . . WHAT???? Today, my trip is over, and I have flown back home. I STILL HAVE NOT RECEIVED THE CREDIT TO MY ACCOUNT!!! I will absolutely be reporting all of this to Hilton Corporate Customer Service, and will absolutely be disputing the entire amount at this point. Take this little adventure into consideration when dealing with this hotel.	
Sep 12 2009 	Nice Surprise in Perfect Location	My sons and I just sort of happened upon this great hotel. It was a wonderful experience. The suite was great because I am tall and need a king bed, no other kind of configuration works for me. All of the staff members were incredibly nice. I felt like I was among friends. The views from this hotel are just amazing (skyscraper views). The bigger-than-I-expected pool on the top floor is in a room that has even more amazing views of the city. Super, super, super downtown location - central to everything.We loved the included breakfast, and the staff were so helpful and a joy to talk to. If you're looking for high-glam and superstars, you probably won't find it here. However, everything was better than nice. This is a great, boutique hotel that won't break the bank like so many other downtown hotels - and, you get breakfast to boot. Yea !	
Sep 12 2009 	Great stay loved this hotel	Stayed for 5 nights on the 19th floor great view and spacious room with kitchen facilities.Free breakfast every day and dinner Monday to Thursday the great thing was they provided take away boxes so you could take the food back to your room. Location is very good. Staff are very polite and very helpful would definately stay again	
Sep 12 2009 	highly recommended	we stayed here in january when it was -20. but even then we enjoyed it so much we could not wait to get back. chicago is a great town to visit and the homewood suites is the place to stay, period.now we stayed from the 9/5/2009 to 9/5/2009 and enjoyed every day. (p.s. the weather was in the high 70s). to get back to the hotel, it was fantastic, it has everything you need and its write in the heart of the city. two seperate rooms were very handy as we had our teenage son. full kitchen, (laundry on 7th floor) seveal foodmarkets within walking distance, everything within walking distance. you wont need a car and at $42 for valet parking you wont want one. dont take my word for it , check it out you wont be disappointed. oh and did i mention free breakfast and dinner . job done. its a no brainerbook now. p.s. theres also a beach within walking distance	
Sep 12 2009 	Chicago with a 13 month old	We had a one bedroom suite which was very nice with our toddler. I had requested a crib and had even called the day before our arrival to confirm the crib and ask if it was a portable or a full size so we could bring the approriate sheets. I was informed it was a full size crib. It was a pack n play. Its not that the pack n play was bad, it was clean and put together, but it was not the full size crib I was expecting. The living room was roomy for a hotel suite, however, the bedroom was too small for our pack n play so it went in the living room. Not a big deal but something for you to consider. The Homewood suites is in a great location. We went to the Navy Pier on day and walked there and took the free trolley back. The walk took about 15-20 min with our stroller in tow and the free trolley back was nice but be prepared to wait. The first trolley came and it was full before we got up to the door so we had to wait 20 min for the next one. We drove to Shedd and it was about a 20 min drive but make sure to ask directions. We tried to follow a map and since we didn't know for sure where we were going it was hard for us to get to the roads we needed due to construction and one way streets. Since it was only a blcok and half from michigan ave we walked up and down for shopping. All in all, I liked the location and the staff was friendly. We needed a few things brought to us and they brought them promptly. I was a little concerned when we were right across the hall from the elevators but I heard nothing so the rooms were quiet. My only two complaints were the pack n play and the shower needed to be wiped down again. It just looked like housekeeping was maybe in a hurry.	
Sep 11 2009 	Professional friendly attentive staff	The only thing I would add to the many benefits that recommend this hotel, is that we experienced an inconvenience on our first day that is likely beyond the control of the hotel. John at the front desk immediately moved us a different room where we were very satisfied. When you stay here, ask for John if you are not completely satisfied. He will make you happy.	
Sep 9 2009 	Fabulous hotel!	Our first stay at a Homewood Suites, we had no real idea what to expect. We were in Chicago for a few days for 'couple time'. This hotel fit our budget so we jumped in. We were so pleased with it! The lobby staff (luggage, parking attendants) we so friendly and helpful, yet professional at the same time. The Front Desk is on the 6th floor. Again...same great attitude. Our room was large, immaculate and more than we could have hoped for for the price paid. We had a kitchen area, living room area and seperate bedroom with vanity area and then the bathroom. Any thing we could have wanted was provided, any question answered completely. The location was in the heart of the city, which was perfect. I suppose the only con about the whole thing was parking was expensive. We valet parked for $45.00 a day. But then again, even though we checked out, they kept our car for the rest of the afternoon with out any additional charges! The managers buffet in the evening was enough for dinner as we used it one night. There was free beer and wine...and the wine wasn't that bad! Breakfast was well served, plentiful and delicious. Thanks to this hotel, our 'couple time' was great!	
Sep 7 2009 	Good location OK rooms	My husband and I stayed here for a week in August/Sept 09.The good points: The location is excellent, close to the Magnificent Mile, the Grand Ave El, lots of restaurants and shops. The rooms are fairly spacious and we got an excellent room rate. The staff were friendly and helpful. The kitchen is fully equipped with a full sized fridge with ice maker.The bad points: The breakfast room had an awful smell about it. The food at breakfast was very average, and they ran out of some things every morning. There was always a massive queue to get a table at breakfast, and there were endless screaming kids about. The room was very dated, and needed to be revamped. The bathroom was small and a bit grubby, and the shower didn't have a lot of pressure. The sheets didn't fit the bed properly and every night they came off the sides of the bed so we ended up partially sleeping directly on the mattress. The bedding also felt very cheap, with what felt like nylon sheets. The lift was slow. The windows in our room were so dirty, you couldn't see out for the smears all over them.If you are looing for a cheap place to stay in the middle of things, this is the place. If you are looking for a sophisticated hotel, this is not the place to stay. There are plenty of other nicers places to stay.	
Sep 6 2009 	Fantastic Hotel - Great Staff Location - All the comforts of home.	We recently stayed here on a family trip to Chicago. My husband and I were traveling with our 10 month-old son and 3 year-old son. From the moment of our arrival our experience was completely positive. The valets were very helpful with unloading the kids and luggage from the car. The staff at the front desk was fantastic. They had a crib delivered to our room within 20 minutes of our arrival. The complimentary dinner the first night was great. After traveling all afternoon, it was nice that we didn't have to try and make arrangments for dinner. The staff in &quot;the lodge&quot; where dinner and breakfast were served was very friendly and attentive, as well. It was nice that they had carry-out containers available to take dinner and breakfast back to the room if you don't want to eat in the dining room. Throughout our stay, all of the staff were friendly and helpful. The room was great. It was like having an apartment, and gave us plenty of room for the kids to spread out with their toys and play. It was nice to have the kitchen, especially for preparing bottles, and for having dinner in the room which was generally carry-out from area restaurants. The hotel has a room service arrangement with P.F. Chang's, and is within walking distance of a lot of nice restaurants. Great location for walking to area attractions - the Magnificent Mile, Navy Pier. We are already planning to retun next summer, and will recommend the Homewood Suites to our family and friends.	
Aug 30 2009 	Homewood made son's Wedding weekend smooth and stress free	The staff at this Homewood Suites made a wedding weekend trip for my family stress free and smooth. We had 6 suites reserved at the prepay rate of $129.00 each for the weekend of August 28-30.  The front desk was happy to give wedding goodie and snack bags, which I made up at home, to each member of our group as they checked in. When we detected a faint cigarette smell in our room when we first arrived, the front desk was prompt in moving us to a different room. They even gave us the largest suite avaiable on our floor, so that we would have a larger gathering place for our entire party of 13 people. Then, Rose, at the front desk, asked if we would like to have our whole party on the same floor. This was great since some were elderly and there were children, also. Some of the many extras the staff helped us with: bringing extra chairs to our suite, fetching items for the wedding from our valet-parked cars, rounding up mini-van taxis for our large group twice, bringing us extra towels and ice within minutes of calling for them. The hotel was sold out for the weekend, so the breakfast room was crowded and they had an overflow room opened, but they never ran low on food. On Saturday, they had a broken water pipe in the kitchen, so there was no hot food, but they were sincerely apologetic.  There was a wait for an elevator at busy times, but we never waited more than a few minutes.  They could have given a little more thought to which families got which size rooms. A couple using a crib were given one of the smallest rooms on the floor, which made it very tight in the room, while our single, senior citizen great-grandma got a corner unit with windows on 2 sides and a very large, uncrowded living area.  We were close to everything we needed at this location.	
Aug 22 2009 	Good place in dowtown Chicago	The place is in a great location very close to Mag Mile. The rooms are decent, although the bathroom could use some updating. The suites are spacious and clean. The elevator is annoyingly slow but you have to take the good with the bad. The breakfast each morning had a good selection even though it gets pretty crowded. I would stay here again.	
Aug 21 2009 	Great except when you leave!	Recommend everything about , except when i got home, started get tons of sales calls on my CELL PHONe from Hilton Honors and they were annoying, pushy and non stop. For this reason, I would never stay at a hilton hotel again! Google...you will see thousands of similar complaints against them. SOOOOO frustrating	
Aug 20 2009	Wonderful city to explore!	We spent 4 nights at the Homewood Suites in downtown Chicago during the second week of July and had a great time.The double decker bus tour of the city gives a thorough overview of the city and allows you to get off at any one of the 14 stops. It was a beautiful day and we sat on top outside.Be sure to take the 90 minute Architectural Boat Cruise which explains the history of the downtown buildings along the Chicago River.We were impressed with Giordano's deep dish Chicago pizza which was worth the one hour wait. The Melting Pot fondue restaurant was also a new experience trying 3 difference types of fondues. Bistro 101 downtown was excellent food for lunch.The Shedd Aquarium and the Adler Planetarium are gems worth seeing. Take a cab from downtown to avoid the traffic. We booked tickets from our hotel to see the evening performance of Shanghai Cirque at Navy Pier which was excellent. The Wednesday night fireworks at 9:30 pm are spectacular.The Magnificent Mile had great selection in stores for shopping especially Niketown.Overall, had a wonderful holiday. The downtown was very clean and people were friendly. Hope to visit Chicago again.	
Aug 18 2009 	Highly Recommend !!	Perfect location, clean and courteous staff all added up to a great stay. Its in an area with plenty of stores ( The Mile) and restaurants. Hotel lobby is on the 6th floor and the elevator to get there was annoyingly slow but overall I would highly recommend this place regardless if your there with a family, friends or on business. The subway to Wrigley is a 1/2 block away from the front door.	
Aug 17 2009 	5 Star service at this Great Homewood Suites Downtown!	We stayed here for the fourth time from July 26 to Aug.3 and had a wonderful time (as ususual!). We did encounter a few problems but they were dealt with quickly and joyfully. This suite hotel is fab, but it's the people that work there that make this the BEST hotel in Chicago. Kudos to these wonderful people...John, the assist. General Manager, who took a personal interest in our stay,and the problems we encountered. John, went beyond the call of duty. When my room key wouldn't work for the 3rd time, he PERSONALLY escorted me to my room...NOW THAT'S SERVICE! Thanks for all that you did John, I will always remember your kindness and understanding:DJonah, one of the best bell men ever always had a smile and kind word, he really did make me feel like I was coming &quot;home&quot; after a long day of shoppping/sightseeing. We shared more than a few restaurant reviews...thanks!The wonderful ladies who manned the front desk...always friendly and helpful! No request was ever too big to be accomodated.Connie that worked in the lodge...a smile every morning! along with that free breakfast!. I had gotten a touch of food poisoning one night and told Connie about the experience...she offered to get me some ginger ale to settle my stomache! Connie was working here that last time we were at the Suites in '07...and she remembered us! Suggestion to all visitors: leave these hard working people a cash tip! Yes the breakfast and manager's reception is free, but the people that seat ya and clean up after you are in the service industry and deserve a tip for their service...I know that they even appreciate a dollar or 2! It's not a lot when you consider how much that meal for the family would cost in a restaurant....free wine &amp; beer...enough said!I just can't say enough good things about this place! They really do stand behind their 100% Satisfaction guarantee.Don't know when we'll be back in Chicago but do know that this is the ONLY hotel we would ever consider staying at. Great location. great facility, great food and drink and most of all, the best group of people you'd every want to meet! Thanks for another wonderful holiday...	
Aug 15 2009 	Perfect location	The Homewood Suites were a perfect central spot for exploring all the Chicago highlights. We were close by to shopping, the theatre, and plenty of good restaurants. Trader Joe's was just around the corner so we picked up some bottled water, wine and fruit on the first day. The free trolley was a great option to get to attractions and tours near the Pier. The only thing I would not recommend around the hotel is the ESPN Zone bar/restaurant.The free daily breakfast was convenient and had plenty of options. The free wireless in rooms and business center were also nice. Our room was very large, but could have used some updating. We would not hesitate to stay here again on a future trip.	
Aug 14 2009 	Great place to stay convenient to many attractions	We arrived too early to check in, but staff secured our luggage and we started discovering Chicago and came back at 4pm and had no problem checking in. Room was lovely, complete with stove top,dishwasher, full sized refrigerator, coffee maker, microwave. Would be great for families to cut down on dining out expenses. The full breakfast everyday was wonderful and yes you had to wait for a table, but that cut down on the confusion of everyone wanting to find a table at one time. The lady that worked 2 of the 3 days we were there was very friendly. The breakfast had a huge selection and was very satisfying to get fueled up for a day of walking and site seeing. Everyone at the hotel was very helpful. Three ladies getting away for a girls weekend had trouble getting the cork out of our wine bottle and the valet attendant was oh so nice in getting the cork removed for us! Kind of embarrassing to admit that :). Anyway would definately stay again at this hotel. Everyone was very friendly and helpful with any and all questions asked.	
