	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Oct 29 2009 	Unbelievable value great location..definitely will stay again	The Talbott Hotel was exactly what we were looking for. The Talbott is located in a wonderful location (except for construction...I'll talk about that later). It is a very short walk to Magnificant Mile, Oak Street, the lake and just a couple of streets away from a Metro Stop. It is also a five minute walk to some great restaurants (Gibson's, etc.). There are plenty of places to eat and grab a cup of coffee (i need my starbucks in the morning and there is one across the street) near the hotel. In addition to the great location is the value. We booked this hotel for well below what most hotels in the area were asking and it surpassed our expectations. The rooms were a decent size and included a flat screen television, comfy beds, turndown service and great toiletries. Most importantly, the hotel was very clean.My only concerns were as follows: 1) The hotel is located next to some high rises that are currently under construction and unfortunately our room faced the construction so we were subject to some construction noises in the morning. Nothing unbearable, but obvious. 2) The bellman and doormen were extremely friendly and willing to assist, but some of the front desk attendants seemed somewhat indifferent. I'm not saying they were rude, just not as eager to assist and friendly as I thought they might be (there were one or two exceptions of course). 3) I initially called the hotel to inquire about the best rate guarantee and it seemed as if no one fully understood it at the reservation desk except the manager who called me back later to explain it. I think everyone taking reservations should have a full understanding of the guarantee and how it works, otherwise don't market it. The Talbott isn't the exception here, it seems many hotels put price guarantees on their websites and then when you call to take them up on it the reservation desk often don't know what the policy is or tell you the wrong policy.Overall, I would stay here again and probably request a room facing the front of the building (away from construction). It is a very cozy hotel in a great location.	
Oct 27 2009 	Very Comfortable Accomodations	We arrived before noon expecting just to leave our bags, but were shown to our room where we were able to relax before heading out. Staff was consistently friendly and solicitous, especially the concierges Tim and Stephanie.	
Oct 25 2009 	Great value hotel in Chicago city center	We stayed 3 nights at the Talbott hotel. And the experience was very positive.Tt was the cheapest hotel in the tripadvisor top 10 for Chicago, yet value was certainly not cheap: nice spacy rooms, huge flat screen TV, large badroom, all very clean. Also you're just a few blocks away from all main streets and from the Hancock tower.A tip when booking: book directly on the website of the Talbott hotel, because then you'll also get free vouchers for breakfast at the hotel - when booking through other internet channels you will not get those vouchers!	
Oct 19 2009 	Wow - great hotel	What a great place. The hotel is around the corner from great shops and attractions like the Sears Tower and about five to ten minutes walk to the beach.I stayed in a suite which was wonderful. The most comfortable sofa I have sat on in years. Huge LCD televisions with cable (High Def). A large bathtub with jacuzzi-type jets that massage you when you're lying in it., and a walk in shower. A large, comfortable bed too.I'm just sorry I only stayed for a night.One thing - I booked a standard room a few weeks in advance at a rate of about $300. When I checked their website again nearer the time, I could get a suite for the same price. It's worth checking the day before you arrive as prices seem to change all the time - you might get lucky like me and get a suite for the normal price of a standard	
Oct 14 2009 	More than I expected even after reading reviews!	My boyfriend and I just stayed at the Talbott this past weekend and LOVED it. The hotel was perfect for the night we wanted to spend in the city before visiting family in the suburbs. The location was wonderful. It is just blocks from Michigan Avenue which made our shopping and eating out plans very easy. The hotel is on a nice street with a good restaurant (Feast) across the way. We had breakfast there. The one thing I will say, as we did not plan to have breakfast anywhere but the hotel, is that the complimentary breakfast you get by booking through the hotel Web site is not great. It featured a few cereals and some stale bread and lunch meat. We were disappointed but did not expect too much given that it was free. The wait staff in the morning seemed annoyed with the complimentary breakfast people. That was surprising because the night before we had drinks in the bar and thought the bartender was great. (FYI - Two seven and sevens and two cosmos cost us around $50 with a generous tip)I room was really nice. It was a great size with a comfortable, large bed and a good size bathroom. The hotel is very eco-friendly which is always a plus. The entire staff was very helpful and made our trip great. When we left we wished we could stay another night. With tax we paid about $180 for the night. If the price is similar in the future this will be our hotel choice for all of our visits.	
Sep 28 2009 	Elegance in the city	We stayed at the Chicago Talbott in August 2009. I almost booked a room at another high profile property, but having read the promising reviews for this place on Trip Advisor, I decided to take a chance on this boutique hotel. The Talbott is certainly an older, renovated property and although the lobby is small, there is an adjoining small restaurant and bar area (with outdoor seating). The continental breakfast was fine considering it was complimentary. The hotel is surrounded by active, ongoing construction, but we hardly noticed it during the weekend. This hotel is situated in the middle of the best bars, shopping and restaurants in the city. We spent very little time in our room but it was quite comfortable even though the furnishings were somewhat dated. In spite of that, what sets this hotel apart from the rest is the high level of refinement and service that is readily apparent when dealing with the hotel employees. Sometimes the personnel that staff these high end properties can be quite snooty to their guests, but the Talbott team was gracious and always helpful. That attribute alone made this hotel a real winner.	
Sep 23 2009 	Extraordinary service at the Talbott a home away from home in Chicago.	We were in Chicago for a long weekend to celebrate a 20th Wedding Anniversary.The Talbott was the perfect choice to meet all of our needs. We stayed in King Suite and were impressed with the size of the room with a separate bedroom, living room area and extra large bathroom with soaking tub, shower and two vanities. Loved all of the windows and natural light that came into the room, we felt like we were at a home away from home. Hotel was very quiet and floors don't have as many rooms as a large chain hotel. Location was excellent for sightseeing and visiting shops along Michigan Ave. Hotel staff was extraordinary and all from valet, bellman, front desk and concierge staff were very nice and made us feel welcome at all times. Equinox fitness center was very nice, even if it is not in the hotel. We were able to use the healthclub to get a good workout. Also need to mention free WIFi internet access. Book online with hotel and recieve complimentary continental breakfast. Only drawback was the hotel has two small elevators for 16 floors but we never had to wait long. The hotel next door was under construction during our visit but we did not hear any noise as we were on the 10th floor of the hotel. Good proximity to Rush Street, Michigan Ave. We would return to the Talbott for our next visit to Chicago.	
Sep 17 2009 	Highly Recommend This Hotel	My wife and I just spent 3 nights at The Talbott. The room was spacious, comfortable and well-appointed. The hotel is quiet although there is some construction nearby. Linens and towels first-class. Free Wi-Fi in the room. The location is terrific, just one block to Michigan Avenue. We will stay here on future visits.	
Sep 1 2009 	Quaint luxury in the heart of what's happening!	I have stayed at the Talbott a number of times, mostly for business and sometimes for pleasure. It is just beautiful, the rooms feel like a luxurious version of home and the staff could not be more pleasant. All that, and you are in walking distance of so much to do in Chicago... the Talbott really has it all!	
Aug 31 2009 	We love the Talbott!	We took a family trip with 28, 18 and 15 year old children to Chicago. I found The Talbott on TripAdvisor and wanted to let everyone know we loved it. Small, European style hotel, with lovely lobby area (lots of woodwork) but most impressive was the staff. Everyone went out of their way to make us feel welcome. The rooms were beautful and spotless. Our only issue was a bartender that didn't seem to enjoy her job...but that was minor. The rest of the staff went above and beyond. I would highly recommend The Talbott for singles, couples or families.	
Aug 28 2009 	My home away from home	I travel to Chicago 4 times a year and never stay anywhere but The Talbott. A smallish european style hotel, with great ambience and a staff that makes me feel like family. From the moment I arrive, I am greeted by name and welcomed &quot;home&quot;. The front desk staff are friendly and efficient. The bell staff always available to perform any task with a smile. The concierge, Stephanie Emrich, is without equal. Restaurant suggestions, theatre tickets, sightseeing ideas, shopping, cultural adventures, any request, however great or small is handled with ease. She has been there, experienced it and can make it happen. Can't wait for my return visit in November! Sheila Bielich, Plano, Texas	
Aug 26 2009 	Wow	Being in the &quot;road warrior&quot; world one of the last thing I wanted to do was to go stay in another hotel for a week end. But this was a special week end, our 3rd wedding aniversery. My Wife sugguested that we stay at the Talboots for this week end. Boy! what an experiance. From the time I dropped off our &quot;special car&quot; giving the door man strict insturctions on how it was to be treated, to the check in desk, the bell man who showed us all the neat tricks of the room, and the list goes on.My Wife had been in contact with Concierge, Stephanie, and the two of them surprised me with dinner reservations for Friday and Saturday evneing, what my Wife did not know was I surprised her with tickets to the Solhiem Cup on Friday. By the time we got to the hotel our thoughts of about dinner had changed and, Stephanie was in true form got our dinner reservations changed to suit our late arrival times, and advised us that at the Friday night dinner time there was a group of 45 people arriving ahead of us and she sugguested to move our dinner time back to avoid the rush. This was a great idea, and I doubt if anyone else would have sugguested to move dinner to later time as to not upset a guest and tell them that there dinner reservation was not available.During this talk with Stephanie, we where talking about some tours we wanted to do on Saturday. When we returned from a wonderfull dinner, Stephanie had taken the time to look into the tours that we wanted to do and advised us of the available times for Saturday. With this information at hand, we where able to plan our Saturday and still have a time to rest before dinner. Again all I can say is WOW.The Talbott's have a new local customer. See you soon.	
Aug 24 2009 	Loved the Talbott	I don't ever take the time to write a review but the Talbott was so nice it deserves another recommendation. Robert and Andrew greeted us as we walked in and made our stay so pleasant. They bent over backwards to make us happy - even as far as making dinner reservations for us. The concierge was a bit condescending but the rest of the staff more than made up for it. The rooms were large and well appointed and very clean. The beds were amazing. The bathroom had thick towels and robes. Will definitely stay there again - got a great deal from 1800 hotels on short notice. The construction next door was a non-issue as we did not hear a thing.	
Aug 23 2009 	Fantastic Find!	My husband, young son and I were visiting family in Milwaukee and decided to take the train to Chicago for a night. I searched the internet at the last minute for a place to stay and came across the Talbott. What a wonderful find! We got to the hotel at 10:30am thinking we would just leave our luggage and go explore till check in, but our room was ready and they kindly let us check in early. We stayed in a deluxe king room, which was very spacious. The room was clean and very well maintained. We couldn't have asked for a better location. Just a few blocks from Michigan Ave. and many stores and restaurants.I hope we get to go back and stay longer next time!	
Aug 22 2009 	Perfect Location and room	This hotel was recommended to us and it lived up to expectations. It is ideally situated in walking distance of many of the sites and is minutes walk from Michigan Ave.The hotel provided brekfast free of charge (we booked online to get this) and the room was spacious and newly decorated. Large plasms TV, free WIFI etc.Even though there is building work next door there was no noise or dust and we sat outside the hotel everyday for breakfast and occasionally for an afternoon drink.The staff are friendly and importantly the hotel is a lot cheaper than the four seasons and other well known hotels just down the road.	
Aug 22 2009 	The Talbott is perfectly located appointed and staffed for a great experience.	I chose the Talbott Hotel because of reviews on Trip Advisor and thought I should contribute to those accolades. Unlike the large more impersonal hotels The Talbott has all the amenities of those luxury hotels. This boutique hotel's concierge service is impeccable, and all staff are friendly. It is located only two blocks from Michigan Avenue and the John Hancock Centre - close to all the major stores and tourist attractions. You won't make a mistake booking your stay here - ideal for business or romantic travel.	
Aug 21 2009 	Talbott Hotel is the best hotel in Chicago with it's intimate size and elegant decor great location personable staff!	My favorite place to stay in town. Talbott Hotel epitomizes classic Chicago!	
Aug 20 2009 	A hidden gem	My husband and I recently stayed one night at the Talbott. Our stay started out great when we were given a free upgrade to a one bedroom suite. It was fabulous! The living room was large with a couch, two comfy chairs, a flat screen tv and a full-size desk. The bathroom was also quite large with 2 sinks. What a treat to not have to share! We booked on-line, so we received a complimentary continental breakfast. The free breakfast is very limited: juice, cereal, yogurt, cold cuts and muffins. We were able to upgrade to a better breakfast for $5. However, we would not have known about this if we hadn't been eavesdropping on other diners. (Our waiter was not very helpful.) The $5 breakfast was 2 eggs, sausage or bacon and potatoes. This was quite a bargain and it arrived piping hot! Always a plus in my book. The Talbott is in a great location. It is only a few blocks from Michigan Avenue, very close to the Hancock Building and Water Tower Place. Despite all the construction being done outside the hotel, we did not hear any noise. (We were there Friday/Saturday.) I am not sure if the noise would have been worse during the week. Another plus was the free Wi-Fi. I am still amazed that so many high-end hotels charge for this. I would highly recommend the Talbott Hotel!	
Aug 20 2009 	Excellent service and stay!!	Our family, including two teen girls, stayed at The Talbott for one week recently. We had a one bedroom suite with adjoining king bedroom (two bedroom suite, actually) and found the rooms to be impeccably clean and comfortable. The decor was beautiful and it was a nice retreat after hours of shopping and sightseeing. The Talbott is a very short walk off Michigan Avenue located between State and Rush so we were never far from restaurants, clubs, bars, and, of course, SHOPPING! My husband and I walked along Rush and enjoyed the nightlife during our &quot;dates&quot;. The staff at The Talbott were very friendly and helpful. The bellmen and concierge always had a smile and a &quot;can we help you?&quot; attitude. We make an annual trip to the Windy city from South Florida and will definitely consider staying at The Talbott again!!	
Aug 13 2009 	Impeccable Service 	This was our first stay at Talbot Hotel. We had stayed at several other 4 and 5 star hotels in the city over the years. The Talbot was a pleasant surprise! We had an impeccable room/suite -so clean, roomy, up to date and relaxing!The help was ever so kind-we didn't confront any employee that didn't go out of there way to be friendly, helpful and comforting to each of us. We will definetely return to the Talbot over other over priced 4 and 5 star hotels in Chicago.	
Aug 6 2009 	update review	Since I wrote my previous review about Talbott hotel, I decided to update it because the hotel had dealt with those issues and they all have been sorted out.After I reported my complaints to the duty manager, the restaurant staffs were completely changed on the second day when I had my breakfast. They were asking everybody whether they hold a breakfast voucher. Their attitudes were also changed in positive way. They became very friendly and helpfull.The bellman has also changed after I put my complaint through. He was smiling and trying his best to make everybody satisfied. The sale manager Patrick did contact me personally and assured me that they will take all the action to prevent same type of problems from hapenning in the future. I found it very professionalMy complaint and feedback were crucial and necessary to change the staff and service in a positive way.Since I have seen that they have changed I can now recommend this hotel to the people I know now that they take the feedback seriously and things could change in nice way straightaway.You should not be worrying if you had any trouble at this hotel, I am sure they will deal with it and make u satisfy in any way they can	
Aug 4 2009 	Comfortable stay in downtown Chicago	My wife and I stayed at the Talbot Hotel downtown Chicago and we enjoyed our stay. Room was comfortable as we requested top floor facing away from the construction next door. The construction was not an issue for us but because we were on the top floor we could hear the elevator running I guess because we were on the top floor. If I went back I would request a high floor but not the 16th floor. The staff was absolutely amazing, friendly, helpful and the room was large and comfortable. Free internet always a plus. Comfortable beds, pillows, nice TV, two sinks in the bathroom, good shower and a safe in the room for storing valuables. I left my IPOD out and the cleaning people did not disturb it. No pool. Other trip notes, great take out place to grab food right across the street. Easy access to L train to go to Wrigley or White Sox Cellular field. Room was $179/night special summer rate. We would definitely stay here again.	
Aug 1 2009 	Best of the Boutiques	My wife and I just returned from a week's stay at the Talbott in Chicago. It was truly a great vacation and the Talbott is a cut above the rest.My wife loved the room so much, that for 2 days she just wanted to stay in the room while I had errands during the day. She especially liked the heater on the marble bathroom floors.	
Jul 28 2009 	Terrific location at the Talbott	We stayed 5 nights at the Talbott which was in easy walking distance of the Hancock Tower, Millenium park, Sears Tower etc. Staff were friendly, and helpful. Menu was varied but limited. Numerous Restaurants nearby, avoid Gibsons as very expensive. We had large comfortable Room with walk in wardrobe, well equipped bathroom with his and hers toilet rolls and basins. Not cheap, but central and not as expensive as the Water Tower next door.	
Jul 22 2009 	Elegant and comfortable	As you enter through the scaffolding, you immediately sense an old world elegant feel to the hotel. We had booked a double queen room and were pleasantly surprised by the spacious room. (I think it was twice the size of the room at the nearby W which I will not visit again). The beds were very comfortable and the room decorations were luxurious. I enjoyed the Aveda bathroom products. There were comfortable robes for 2.Booking online got us complimentary buffet breakfast for 2. The buffet was very nice and we sat outside on a beautiful morning. It will be nicer when the construction next door is finished.The concierge was very helpful for dinner and recommended a local hotspot where he booked us a table that same night. That restaurant was packed with a long wait (over an hour), but we weren't that hungry so we waited at the bar. I didn't expect much since we had only just made the reservations. We were pleasantly surprised when not more than 10 minutes had passed and we were seated. the host said that they like the concierge at the Talbott and were accommodating us since we were staying there. Free internet for 24 hours came with the room too. We also took advantage of the passes for the local Equinox. No hotel gym can compare to a full service gym like Equinox. We had great workouts!	
Jul 21 2009 	The best in Chicago	The Talbott must be the best, most convenient and comfortable hotel in Chicago!We had a kingsize room, with a huge bed with enough room for a bunch of people...The hotel style is &quot;European&quot; in an American way, which means dark colours and tartans.Not very stylish, but tres burgeois! The service was mediate, front desk could take advantage of more smiling, and snob down a little... The hotel is extremely well located, just off the Michigan Avenue with all the stylish shops and great reataurant.I would chose this hotel again!	
Jul 20 2009 	WHAT A GREAT STAY	What a fabulous hotel, we'll never stay anyplace else in Chicago! We travel frequently, and the Talbott was such a pleasant surprise. The location is absolutley ideal, just 2 blocks off Michigan and close to everything! We were warmly greeted upon arrival and our room was larger than most and very well appointed, with flat panel TV, very nice bedding and towels and nicely appointed, and free WI-FI. The staff couldn't have been more helpful or friendly, and that speaks for the entire staff. Just a great experience and we'll not stay anywhere else when we return to Chicago!	
Jul 19 2009 	A comfortable and warm stay	My wife and I took a trip to Chicago to celebrate our 30th birthdays and had heard great things about The Talbott, and were able to get a decent rate on a single room suite. Arriving at the hotel we were greeted by the doorman with the biggest smile that never went away during our entire stay. We actually arrived around 9am and they were able to get us into our suite without issue which was a huge plus. They also surprised us with complimentary daily breakfasts because we reserved our room through their site.The hotel its self is bit older but has been well maintained, and still has the warm feeling that you really don’t get from newer more “modern” places. The room was outstanding with a huge living space, what seemed like an even larger bathroom, and a great bedroom. The king bed was one of the best that I have ever slept on; my wife had the same thought. The bathroom which is covered in marble had a separate room for the toilet, a large bathtub, a large glass shower and three sinks. Two of them are together while the other is on the opposite side of the bathroom which is quite nice if there are two people getting ready at the same time.The location is optimal and basically walking distance from everything. Its a few blocks from the Magnificent Mile, few blocks from the Hancock building, and a decent walk to the Navy Pier. The street it’s on gets a bit crowed as they are doing construction next door (which we never heard), but as long as you cross with the lights, you’ll be fine.I definitely recommend giving The Talbott a try if you want a nice warm, almost like home feeling, while still right in the heart of all the action.	
Jul 17 2009 	Wonderful experience.	I'd long heard about how wonderful the Talbott was, and was really looking forward to my visit. It far surpassed my expectations. The service was first-class from the moment we arrived until we checked out, the hotel is quite elegant in a very comfortabe way, and the location couldn't be better. Would go back in a heartbeat!	
Jul 16 2009 	Loved The Talbot!	What a special place!! Not only is the location ideal, but the outstanding service from the Front Desk insured a wonderful stay for us. Both Sarah and Naomi went out of their way to accommodate my requests to be both away from the construction next door and in a spacious room. Our room was FABULOUS and I can not wait to return to our new favorite place to stay in Chicago!	
Jul 7 2009 	Great location great hotel staff and rate	My husband and I traveled with my in-laws. They are in their late 80's we are 51. We were all pleased	
Jun 30 2009 	You should visit this warm elegant comfortable Gold Coast Hotel!	We came to celebrate our 40th Wedding Anniversary and were treated like royalty.  The manager sent a chilled bottle of sparkling wine with a fruit tray within minutes of our arrival.  The suite was spacious, quiet, and elegantly appointed.  The marble bathroom had the thickest, largest towels we've ever seen.  There were closets in every room.  The king sized bed left us relaxed and refreshed.  The staff was eager to make us comfortable from the check in through the time we left and were very helpful answering questions about the neighborhood.  We walked from the hotel to Navy Pier along the lake for a dinner/fireworks cruise, and the next day had brunch at the 95th.  This is a great place to stay to enjoy the beauty of the city.	
Jun 17 2009 	luxurious convenient perfect for a city break	The reviews were accurate. I arrieved a little early so it took a while to get a room but for the inconvenience, I was upgraded to a one bedroom suite. If I wanted to live in downtown Chicago, I would love for my place to be the hotel suite I was in. it was perfect. Huge beautiful bathroom and separate bedroom. I only wished I stayed there for more than one night. The location is excellent. a block from Michigan avenue and close to lots of shopping, dining and nightlife but also very safe neighborhood. Most of the staff was extremely pleasant from the doormen to the bellman to the front desk. I really enjoyed my stay here. Also, very comfortable bed.	
Jun 16 2009 	Excellent small hotel.	My wife and I spent four nights at the Talbott in early June. This first stay at this hotel was everything we wanted for a getaway to the city. Our king room was spacious, quiet, and very comfortable. The bath towels were especially nice.The hotel staff was friendly and helpful, yet relaxed. We received excellent service from everyone who helped us. We enjoyed a nice breakfast in the restaurant on two mornings.	
Jun 16 2009 	Exceptional!	The Talbott provided an exceptional experience while I stayed in Chicago last March. The size of the room was more than comfortable, I was taken a back by how large a room it was given we were in such a large inner city location. The staff was more than accommodating on every request. The interior pulled you in like a cozy bed and breakfast in the country with warm tones and fireplaces, you forgot you were just steps away from all the excitement of the city. If your looking for that special experience, do yourself a favor and book a room at the Talbott!	
Jun 16 2009 	Best Hotel in Chicago	Beautiful large guestrooms and suites, excellent service, to-die-for linens...overall one of the best hotel experiences for a group of seasoned travelers.	
Jun 15 2009 	Great Luxury Boutique Hotel Close To Everything	I stayed at The Talbott for 3 nights on business and was very pleased. The staff was friendly as can be immediately confirming the lore of the midwest. I was upgraded to a suite which was bigger than my apartment and certainly more luxurious. The free wi-fi came in handy as I needed to work remotely while there. Everything from the comfort of the bed to the staff and location made this a great stay. Oh, and I got to workout at the huge Equinox right next door for free.	
Jun 3 2009 	excellent	We come to Chicago once a year for a romantic get away. The Talbott is our favorite hotel so far. You get the same amenities as &quot;bigger names&quot;, but with a price that is very reasonable and a cozier atmosphere. Location is great, staff helpful and friendly. I personally love a smaller hotel that is quaint and high quality. Highly recommend for those looking for the same.	
May 28 2009 	Great hotel would recommend to all my friends 	My husband &amp; I travel from Ft Laud to Chi-town once a year and this is our 2nd year staying at the Talbott and look forward to coming back next year. Great location close to Michigan Ave &amp; Rush St, and daily passes to the Equinox gym in the Bloomingdales building. We always excercise when traveling therefore a gym is important to us. Hugos Frog Bar on Rush St was a great place for seafood, we even ran into the general mgr for the Chicago Bears. You won't be disappointed staying at The Talbott!	
May 14 2009 	No complaints	I don't think I could even think of something to complain about.. Food was excellent, the rooms were clean and beautiful, and the location was great. The service was exceptional, friendly, and helpful beyond expectations helping us with directions around the city, transportation, and anything else we needed.. The only thing that was kind of an eyesore more than anything was the construction on the building next door to the hotel, though we couldn't hear or see it from our room, and there was construction all over the city while we were there. I would highly recommend this hotel and would definetly stay again.	
May 6 2009 	Luxury Boutique	Very quaint and romantic, yet masculine. I've noticed that at most Chicago hotel bars it's hard to get a drink much less a seat but I guess because it's a small hotel that was not a problem at the Talbott - plus people take their drinks out to the seating in the lobby because it's so inviting - cozy and comfortable - love that! Would love to stay again but I must say that I was surprised by all the comments on the comfortable beds - ours was too firm. Also note there is no gym on the premises - but walking and shopping is enough of a workout!	
May 5 2009 	Fantastic Location	This Hotel is beautiful, incredible large bedrooms and staff are amazing. Located just a stroll from Michigan avenue, you have the beach, shops and bars on your door step. Will definitly return.	
Apr 26 2009 	Check the door locks!!!!	There are plenty of great things to say about the Talbott: it's location is brilliant for shopping, restaurants, bars and just about everything the great city of Chicago has to offer. The hotel is beautiful, the lobby is elegant and the rooms are tastefully decorated. We managed to get a great offer via the internet and we chose a corner executive room. However, we did get the 'internet' room which had construction right outside the window! The first downside to this beautiful place is that the cleaners left our room door unlocked when they were finished cleaning. We were certainly surprised when we tried to put the key in and the door swung open. The other downside is that the room service is minimal. We ordered dinner and received a beautifully set up tray with flowers, 2 glasses of water and 2 bowls of pasta and absolutely nothing else. The pasta had been put in the microwave and served in the same bowl, there was no bread, no garnish absolutely nothing. Fo the prices they charged I expected more. The breakfast, which wasn't included in the internet pricing, was very good. I would recommend this hotel for a nice shopping weekend.	
