	solid average but nice location	The hotel is conveniently located just off the Magnificent Mile which has excellent shopping, and is walking distance to many attractions (though not particularly close to the subway). The hotel is nice and rooms are well decorated (though no LCD tvs), but when we arrived, there was no shampoo in the room, no wash cloths (we had to call the front desk to have them and the shampoo brought up), and worst of all, the toilet seat was dirty and there was a used wash cloth from the previous guest drapped over the shower curtain. My wife and I would probably choose to stay somewhere else next time.	
Oct 8 2009 	Terrific Stay in Chi-Town	The Doubletree Magnificient Mile was the Hotel we stayed in for our 5 Day 4 Night Stay in Chicago. We found the hotel to be quite convenient to most of the things we needed or wanted to do. The room was really nice, as we had booked a double queen room with a Lake View. The beds were really soft and comfortable, and the air conditioning was terrific. Bathroom was clean, and the housekeeping gladly gave us extra towels as we were travelling with our two children. Only complaint with the room was the lack of a fridge. A minor compIaint, but just wanted to mention it here. I would think that with the cost of staying here that a fridge would be included. There is a mini-bar fridge in the room, however that is full of the mini bar itself....with no room for your items. Keep in mind if you are travelling with children that the table top mini-bar has sensors that if an item is moved you will be charged for it. i.e. jar of peanuts, etc. This was not an issue for us as our kids stayed away from it, just wanted to leave that advice to anyone else. Other hotel ammenities included a rooftop pool (obviusly closed in October, but it was there just the same), and free Wolfgang Puck Coffee and Teas in the room which was nice. As well as Neutrogena shower products. Attractions: The hotel is within walking distance to Navy Pier, the Hancock Building (as a matter of fact, our room had a view of the Hancock Building which at night was spectacular!) and of course the 'Mile itself. Restaraunts: The hotel has its own restaraunt, Marketplace, along with an Einsteins Bagle shop, however we did not dine at either of these places, instead dining away from the hotel at easy to walk to locations like the West Egg for breakfast...across the street... (Awesome!), Gino's East Pizza (two short blocks away), or the Corner Bakery (located also real close to the hotel in the Northwest Medical building.) Convenience items: There is a Dominicks store across the street from the hotel that has everything you may need during your stay. The hotel is across the street from Northwest Medical, so you may hear ambulances coming and going at night, but hey, this is Chicago, if you wanted deep silence you wouldnt be booking a trip to the city.Taxis also are lingering around the front entrance to the hotel, so you will always have convenient transportation. The concierge was also wonderful, and always had good advice to local shops, restaraunts, etc. He also was able to get us transport to Ohare the morning we left, in a nice SUV (Infiniti) that cost us no more than a regular city taxi to the Airport would have cost, which was terrific. All in all, I would definately stay here again, this is a well run hotel, convenient to everything worth seeing, and family friendly....oh yeah, free warm chocolate chip cookies for you at check in...which as you can imagine was a big hit with the kids!	
Oct 8 2009 	Good location very busy place	The Doubletree is in a good location, walking distance to many shops and sights. The lobby is always busy. There were tons of out of town football fans there over the weekend.....3 busloads full of crazy Steelers fans! The rooms are nice sized and the beds are VERY comfortable. The rooms we stayed in also had a nice window seat with a great view.	
Oct 8 2009 	This was a great location and a nice clean hotel.	The staff was friendly and helpful and I really enjoyed the decorum of the rooms. The staff was very informative about transportation, local attractions, and restaurants.	
Oct 8 2009 	I'd Stay Here Again	Liked the location - they call it the Doubletree Magnificent Mile, but you're actually a couple of blocks off the Mag Mile. Felt very safe in this area. We recommend the West Egg for breakfast and Indian Garden for dinner; both are within a block. Had dinner at the hotel restaurant - good food and great service. There's an Einstein Bros. Bagels in the hotel, but had very long lines in the morning! Hotel was very clean, beds were comfy and service was very good, especially at the front desk and bar. The rooftop pool area was adequate, but sort of &quot;cold&quot; feeling - didn't have that fun, pool atmosphere that made me want to hang out there all day.Our only complaint was that there's no free wifi in the rooms, but there is in the lobby area, and therefore the lobby areas were very often FULL with people on their laptops! We found, however, that you could sign into wifi in the lobby, then take the elevator up to your room (we were on the 3rd floor) while holding your laptop slightly open so that it doesn't go to sleep, and we were able to maintain the free connection in our room! :)We booked this room at about $100/nt., and for Chicago in summer, it was a good price for a very good room.	
Oct 5 2009 	Good location needs attention	Stayed at Doubletree on Magnificent Mile October 1 &amp; 2, 2009, for $100/night including fees/taxes; good location to walk to shops &amp; great food; raining so didn't get out as much as anticipated. Hotel requires mgnt. to listen &amp; respond to housekeeping on repairs needed-- no stopper in sink in room 1704, stopper in the tub didn't work and the tub filled with water. I didn't care to be standing in water while showering. Room 1704 is right outside the elevator-- didn't think to ask for them not to do that; wasn't peak season so I Assumed that a better room would have been provided. Overall a good 2 night stay.	
Sep 27 2009 	Good downtown hotel.	Booked this hoel on Priceline.com; got a great rate for it. Excellent downtown hotel with rooftop pool. Located north of downtown on the Magnificant Mile. Very nice area; I felt totally safe walking alone in the area late at night. Close to Michigan Ave. Very professional staff, clean well appointed room, very enjoyable stay, especially for the price. Bus stops in front of hotel; subway about a 10 minute walk. Plenty of good restaurants about a 5 to 10 minute walk west of hotel.	
Sep 25 2009 	Awesome! Loved it.	This hotel is fabulous. Can't say enough about it. Obviously the location is perfect. The hotel is very clean, the rooms spacious and very clean. We booked online, and asked for a lake view room. It was a partial view, but we were up very high and it was still very nice!It was perfect for my husband and 1 yr old. We had a room with 2 beds and a crib and still had plenty of space!! Bathroom was super nice and big, perfect for a family of 3 to wander in and out of at the same time.The beds were super comfy, however the pillows could use some upgrading.Bring your pillow! The staff was very friendly and helpful. Loved the 'doormen' They were super sweet and caring and always tried to make my daughter laugh.I just wish internet was free at this hotel in the room (we paid for wireless) and that parking wasn't as expensive! We had no issues with noise as others had noted. Occassionally we heard doors slamming. Oh, and the Ice machine on our floor was not working...we had to go to another floor to collect ice. No big deal.Totally recommend this hotel. We walked everywhere. For those looking for a quick breakfast, we hit the Dunkin' Donuts around the corner.	
Sep 23 2009 	Uhhhhh...Not So Great	Just of bit of background...we are a family of five and Hilton's Homewood Suites is our brand of preference. Still, my six-year-old daughter and I decided to take an impromptu trip to Chicago and wanted to stay at a different hotel. We picked Doubletree because of the location and based on some of the reviews. We arrived at O'Hare and decided to take the subway in order to get a true feel of the city. The subway ride was entirely long and the train stop (Grand - Red Line) was quite a distance from the hotel. When we arrived, the lobby looked rather contemporary and new. The front desk staff were reasonably hospitable. My disappointment is with the room itself and the amount of noise you can hear in the hotel. Every morning and evening we would hear the other guests coming and going through our room door. It was so loud that one night my daughter and I jumped thinking someone was trying to get into our room. Then one guest must have been checking out at 5:30 in the morning so we were unfortunately awakened then as well. I so wanted to get some rest on my vacation since the whole purpose was to releax and have fun. We simply weren't able to do so at this hotel. We could also hear through the relatively thin walls. The noise reason alone will be the reason I will never return to this hotel. The beds were indeed comfy and as one reviewer already noted, the pillows weren't so great. There was a lot of settled dust around the nightstand (on the clock, the lamps, etc). The problem with that is it indicates the areas were not cleaned prior to our use. The bathrooms were just okay. We stayed in room 2507 and the cabinets in the bathroom were damaged and the door had visible dirt. The shower curtains were extremely fresh and had just been laundered. The towels were clean and so was the sink, toilet and tub. The shower head had an extremely soft flow and there was definite temperature restrictions on how hot you could make the water. I do feel we would have better enjoyed our trip at the Hilton Homewoood Suites. Not only was it much closer to the Magnificent Mile, it was much closer to the Subway. Also, I'm sure it was quieter since I didn't see guests complaining otherwise. I will also say that the Concierge (with the exception of a lady that was working Saturday, Sept. 19 in the evening) and the staff in the restaurant were extremely friendly. Also, the hotel is reasonably close to Navy Pier. Chicago is definitely a great city to visit! I will definitely be back but just not necessarily at the Doubletree.	
Sep 16 2009	Great location	I booked this hotel on expedia.com for $111/night. We stayed from Sept 6-10. I am a Hilton rewards member. I was disappointed to find out that since I booked through Expedia that I could not get Hilton points for the trip. The hotel is located close to Michigan Ave and there are bus stops near by. We had two rooms, one which had an ocean view. The rooms are clean, I like the decor and the beds are very comfortable. My only complaints are the refrigerator that is stocked with drinks and you will be charged if you remove any of them. There is no room in the fridge for anything that you may have brought with you. The showerhead is very large and it is like taking a shower in the rain. The staff is very helpful in giving directions. I was disappointed in the cost of the breakfast buffet $21. That's pretty expensive. We ate at the Markethouse for breakfast once and then ate breakfast every other day at the West Egg Cafe across the street. Overall I was satisfied with the hotel and would stay there again.	
Sep 3 2009 	Friendliest staff and comfiest beds!	Stayed here in chicago at the end of an american trip as the flight home was from O'Hare... so disappointed i didnt get to stay for longer then we did. staff were great, all recommendations were spot on. hotel room was spotless and the bed was unbeliebeable comfy. hotel is really close to the shops on mag mile (expensive and the more reasonably priced!) all in all chicago was a great town and ill definitly be back	
Aug 31 2009 	Very good location great for families	We stayed at this Hotel the end of August, for three nights.The rooms were very clean and housekeeping was very nice they even put my grandsons stuffed anumals on his pillows like they were sleeping. Plenty of towels and constant replacement of toiletries.The weather when we were there was rather chilly, but we used the pool and the towel container was usually kept full. The breakfast in the restaurant area was a little pricey but the quality was top notch. The waitstaff was very attentive.When the lobby bar closes, the one at the Marketplace restaurant is open late.They should have in each room a list of dining options at the hotel. Perrhaps this will be forth coming after they complete rennovations.Within three blocks from the hotel to Michigan Ave. There are a lot of dinning options in all price ranges, from pubs to sandwich shops to Tex Mex grills. Dominiks market is on the corner and has every thing at very good prices for a Big city downtown supermarket.	
Aug 29 2009 	Loved it!	Exceptional two day Hotwire stay here recently. Checked in at about noon--made no requests other than non smoking. Room turned out to be a two double handicap accessible room. Since the zero entrance showers bring back bad memories of 7th grade PE for both me and my BW---we called down immediately and asked for a non-handi room-preferably with one king. My request was rapidly met. One of the greatest thing about this hotel to me: It's got an old school &quot;unit to a room&quot; furnace/ac and you can get it as cool as you want!Clean. Quiet, great staff, great dining options--stay here if you can, unless you have some behavioral l problems--you should be happy.There is an excellent Einstein's Bagel store attached to this hotel. One morning I got carry out for me and my BW for breakfast. After I ordered My Bagels &amp; Nova lox--I paid the young lady running the cash register--who was adorned in full muslim headdress. I spent the rest of our trip hoping to find a Hassidic jew running a Falafel stand	
Aug 24 2009 	Nice hotel off Michigan Ave	We stayed here for 3 nights last July to check out the Mag mile and see the Cubbies. The hotel appeared to have a total rennovation and was very nice and clean. The check in staff was very friendly and helpful with suggestions on places to eat. You get a warm cookie upon check in!! Check in was very quick. Our room and bathroom were very clean and newly remodeled. The beds were very comfortable. The only thing I thought was silly was were requested a sofa bed because we were traveling with our teenage son and the room was too small for that. Once you opened up the sofa bed there was no room to walk. You had to crawl over the sofa bed to get to the bathroom. Overall though it was a great We had a good view even though we were not on Michigan Ave. Michigan Ave was about 4 blocks away. When we asked the concierge about dinner, they gave excellent suggestions and made all our reservations for us. We also ate breakfast at the hotel and it was pretty good. They offered us private transportation to the airport which was the same price as a cab. Their private transportation was a Lincoln Navigator which was much more comfortable than the taxi on the way in! Overall I thought for the price it was an excellent deal if you are ok with a little bit of a walk...	
Aug 21 2009 	Not up to Hilton Standards	As a business traveler and a Hilton Gold Member, I used points to stay at this hotel with my family. Certainly, when you use points you want a good value and a nice place for your family to stay. Believe me, there's better.This is an old Holiday Inn, at best. The rooftop pool was a big attraction for us and the main reason we wanted to stay there. Unfortunately the pool area never had towels, was horribly dirty and the pool side snack bar was never open. Cmon', middle of the summer in Chicago and a guy can't get a beverage? When is it open?Overall the staff was friendly, but the rooms were not very clean and there was absolutely no water pressure in the showers. The ice maker on the 25th floor did not work either. Another very disappointing issue was the hotel lobby bar was closed early every night. One night it was closed at 8:30pm. How can the hotel bar (a profit center) be closed at 8:30pm when the hotel is at capacity (according to the front desk who wouldn't upgrade me to a larger room).I must say, I would not recommend you using your valuable points on this sub-par Hilton property and if you are staying there, don't pay more than $99. It's just not worth it.	
Aug 17 2009 	good location unfriendly staff pool closes too early	We stayed here 2 nights in August. When I pulled into the driveway and unloaded the kids to go check-in, I was told that I needed to park in the parking garage FIRST and then check in. I thought this was interesting because the same guy was helping other people unload their luggage from their cars, and then waiting for them as they checked in. But we had to park in the parking garage, unload our car in the parking gargage and bring our luggage with us to the front desk and then check in. I have a theory on this, but hesitate to say. Anyway, minus the unfriendly staff, including front desk person, the hotel was nicely located close to shopping. There is a free trolley that will drop you off close to your hotel (not at) from Navy Pier. Our room was nice, bed and pillows were comfortable. The kids complaint was that the pool closed too early. Many of the hotels close their pools at 11:00. This pool closes at 10:00 pm so if you go out for dinner and don't get to the restaurant at 5:00, or go shopping later, by the time you get back to the hotel the pool will be closing. We did go one morning and it was neat that it was on the roof, (on the 5th floor) but in a city like Chicago with things being open later, it would be nice for the pool to stay open later as well. The biggest plus is that most things are within walking distance from this hotel.	
Aug 4 2009 	Great place - close to everything	We spent one night at the Doubletree after spending 3 nights in Westmont traveling into town each day. Both have their pluses, one being the cheaper prices out of town! We thoroughly enjoyed being within walking distance of everything! We parked our car early in the a.m. at the garage and checked in later. The next a.m., we walked around a bit thinking we'd be charged by the hour since we were past our 24 hour limit and were happy to still be charged the set $41 price that came with our room. My son and I walked to Navy Pier that evening and I felt relatively safe walking back at night with just the two of us. Since it's a tourist area, you can always find someone to hang close behind. The rooftop pool was nice, on the 5th floor, but ran out of towels on a chiily evening. They were replaced shortly after we left. We paid extra for a lakeview room on the 23rd floor but could see very little of it with the other buildings blocking the view. Elevators were prompt and staff was very friendly and helpful.	
Aug 3 2009 	good location and great value	Stayed here a week and found the staff helpful and knowledgeable. Location is just a couple of blocks off Michigan, convenient for shopping, also across the street from a Domenick's grocery store. Room was clean and well maintained. Lobby bar was inviting. Only downside was no free wi fi in rooms, only free wi fi in lobby. did not eat at any of the hotel restaurants, but West Egg across the street had great breakfasts.	
Jul 31 2009 	Nice Experience	Hubby and I went to Chicago for a couple of days in July to go to a Cubs game and sitesee. The hotel was easy to find and parking was easy. The check-in went smooth and the welcome cookies were tasty. Our room was nice and clean and had plenty of towels. The decor was modern and not something I would want at my house but cool to have in a hotel room. We could see a little sliver of the lake from our room, but we hadn't paid for a great view. The rooftop pool was nice. The water was cold and a hot tub would have been welcome. I guess there was wifi in the lounge area but we didn't use it. We didn't eat in the restaurant there, but the menu did look good and compettiive pricing for other restaurants in the area. The location is within a decent walking distance of shops and many restaurants. The door man did get us a taxi so we could go to the Oak Street Beachstro, the food there was just okay. But it was neat to be on a Chicago beach with palm trees. We also ate at the Weber Grill (hubby's choice) and that had good food. We did go out at night and felt safe in the area around the hotel. Overall the hotel was a good experience and next year when we go down for another Cubs game we will probably stay there again.	
Jul 27 2009 	Very Nice Hotel Great Location Friendly Staff	I stayed at the Doubletree for 3 nights July 10-13. Just a few blocks walking distance to Magnificient Mile, great eateries surrounding the hotel, and just a few blocks to the Navy Pier.The rooms were very nicely decorated and the staff was very helpful and nice.I think this was perfect location if you are interested in being close to the Maginificient Mile.I would stay here again. Walking distance to eateries, a great wine bar down the street, and a few nice breakfeast restaurants. Short cab rides to other parts of town such as Mortons or Harry Carays. About 20 minutes to Midway airport. Cab ride was $25.00 including tip.	
Jul 26 2009 	Great Location Nice hotel	My wife and I chose the Doubletree for its great location and very reasonable price over the 4th of July. When we first checked into our room, the bathroom wasnt completely cleaned but once we notified the front desk, housekeeping was sent right up. After the 1st night in the room, the ice machine just outside in the hall leaked water into the hall and into our room. Once again the front desk didnt dissappoint and apologized and quickly moved us to a different room. Also, the concierge was great and offered a few different dinner recomendations.As for the room, it was large with comfortable beds and pretty large bathrooms. We didnt go out to the pool but saw people in it constantly from our window. I would recommend this hotel to anyone visiting who wants to be near the Magnificent Mile. We would surely go back.	
Jul 24 2009 	really nice downtown hotel close to points of interest	3 of us stayed here for 6 days and loved every minute. Location is great for walking to Navy Pier, Millenium park, Magnificent Mile shopping and Riverside.Used the &quot;loop&quot; to get to Sear's Tower.Used the Trolley Bus tour to see city highlights and then Wrigley's Park Stadium- excellent value.Found that reasonably priced restaurant choice was a bit limited however breakfast at the West Egg opposite the hotel was very good.Rooms at the hotel are well appointed and well managed.Contrary to other reports we read we found use of the roof pool is free to guests.All staff were very helpful however a special mention must be of Ron at reception who seemed to find that nothing was too much bother- a really nice guy.	
Jul 19 2009 	No Complaints About the Doubletree Chicago!	My girlfriend and I do quite a bit of leisure traveling during the year, so we have come somewhat adept at selecting great hotels at bargain prices. The Doubletree Chicago on Magnificent Mile is definitely one of them!The hotel accommodations are more than sufficient. The rooms are spacious and nicely decorated, with in-room minibars, uber-comfortable beds, decent-sized bathrooms, plenty of towels, and cool Neutrogena bath products. As I've said in my other trip advisor reviews, you'd be smart not to touch the beverages in the minibar unless you want to waste money - these items are always way overpriced. We stayed during the July 4th weekend for a rate of $150 per night, so you can't beat that during such a busy holiday weekend. Plus, internet access is free in the plush lobby! The pool is great, the restaurant is friendly and decently priced, and the adjacent bagel shop, Einstein Bros., is ideal for your morning breakfast heading out to sightsee or whatever. Oh, be sure to check out the beaches along Lakeshore Drive if you're in town during the summer months. Nothing better than pina coladas at Oak Street beach to relax, or North Avenue beach if you want to party hard at Castaways with the frat/sorority crowd!Do yourself a favor: stay at the Doubletree next time you're in The Windy City. You can't beat the great bang for your buck amenities! Happy Traveling my Trip Advisor mates!	
Jul 17 2009 	Good location and accomodations	Just a couple of blocks off N. Michigan shopping and on the bus line. Stayed here when it was the Holiday Inn 4+ years ago and since into a nice property.	
Jul 12 2009 	Okay stay not nearly as nice as I had hoped	The Double Tree was a nice okay, nothing special. The best part was the location, 10-15 minute walk to the John Hancock Tower and Navy Pier. It was also close to bus and train transit stops. The hotel was attractive on the inside. There could be more seats in the lobby, where there is free WiFi. In the rooms you can pay $10/24hr for internet. Our room was on floor 10 of 26, nothing spectacular. It was kind of small, but pretty clean. We paid $109 on average for the 3 nights we were there which isn't bad for Chicago. Parking on site is $41/24hr, park across the street if you don't plan on moving your car during the trip, it is $31/24hr. We did not know that the Mini bar worked on sensor so every time we opened it to look at the stuff in there we were charged, fortunately the front desk understand and removed all charges from out bill. Besides a great location the concierges were extremely helpful in getting us on the right direction to get where we wanted to go. Not sure if I would recommend this hotel, probably the location but not the specific hotel. I think there is an Embassy Suites a block to the east and they at least have free breakfast.	
Jul 11 2009 	Great Hotel - Great Location - Great Staff	Just spent 3 nights at the Doubletree. The rooms were clean, the location was perfect for all that Chicago has to offer and most important - every single staff person we dealt with was friendly, helpful and gave me the impression they wanted our visit to be the best that it could be! My only negative comment would be that there was a lot of street noise in the room- but we got used to it. I'd stay here again.	
Jul 9 2009 	Perfect Location	Traveled to Chicago for the first time with my parents (in their 70's) and my 3 sisters (40-50 years old). We wanted to be near many attractions and in a fairly safe neighborhood. This hotel fit the bill perfectly. It is about 4 blocks from Michigan Avenue and fabulous shopping, and a short walk to the Chicago River. One of my sisters and I did walk back to the Hotel from Navy Pier, though it would be a bit long for older people. Beds were very comfortable, and the front desk staff responded promptly to all of our requests. The concierge even gave us a VIP ticket to Gino's East Pizzaria, and we walked past a a line of about 20 people and were seated within 3 minutes, we were also given a free basket of garlic bread. I highly recommend this hotel if you travel to Chi town.	
Jul 9 2009 	great location	The location is great. Check-in was quick and easy, they let us in our room before check-in time.The room was a standard hotel room--big enough, clean, nice bathroom. The bed was comfortable, we loved all the extra pillows.Restaurant on site, we did not eat there so can't comment on that.We would stay here again.	
Jul 8 2009 	avoid to stay if it rains!!	Staffs are very nice. Location is great too. Our room was roomy although it could use extra cleaning job, but I'm picky. The worst part was the wondows....On the sencond night, it rained hard and the rain leaked into our room. My husband's suitcase was soaked and we were worried how we pack next day. Staff came to put a lot of towels around the windows and floor. She said this happened before. I wonder why the hotel doesn't fix the darn windows!!! The hotel has INCREDIBLE gym, though....	
Jul 5 2009	OK but just only OK	We arrived Thursday to the Doubletree. It was exactly where I thought it was. GREAT location. Near the mag mile (about 4 blocks off) but not on the mile. Near good restaurants and shopping.Now for the hotel. It was OK, but just didn't have the extra something that makes one's stay memorable. This hotel was remodeled last year. To be honest, it looks like an old building that they tried to upgrade. The carpet down our hall was dirty. Near the elevators on the 6th floor there was a heating unit or something that had pulled away from the wall and you could see the area that was not wallpapered. The hinges on the doors were painted over instead of being removed during the painting process. Also for a hotel that was just remodeled last year I don't understand why they have old TVs in the rooms. Where are the flatscreens?Our rooms were large and clean. I liked the beds, but my sister thought they were too hard.Be aware, when checking in, this hotel will freeze up $50/day on your credit card for incidentals. That I don't like and I have never had that happen at a Marriott, Crowne Plaza or Grand Hyatt. If I hadn't asked, I would not have known and the only reason I asked is because I had that happen at a Hilton Garden Inn in another city.With so many nice hotels in the city, I think I will opt for the Courtyard Marriott or the Intercontinental next time I am in Chicago. Not because it's a bad hotel, but for a the same amount of money you can do better.	
Jun 25 2009 	Incredible Hotel Best One In Chicago	We stayed here for my wifes Doctoral graduation. We had several rooms for family and friends and all agreed the hotel was the best. The rooms were fantastic with great views toward Lake Michigan. The entire staff especially Carlos (Ft. Desk Mgr) &amp; Alfredo(concerige) were fantastic. The food, amenities,housekeeping, bellman and porters were all superb. We have stayed at several other hotels in Chicago during her school terms and none compare to this Doubletree for service, amenities, etc. This is the best one we have stayed in yet. In fact, we are going back in Sept. for a meeting and staying at this hotel.	
Jun 24 2009 	Stayed here when relocating to Chicago - great big rooms!	We were in a unique situation in that we were staying in a hotel until we were able to find a suitable apartment to live in. With no real expectations, we booked 4 nights on www.hotwire.com and found out the hotel booking was for Doubletree. First impressions were great, the lobby was spacious, and loved the choco chip cookie warmed up for my arrival. Our room was two doubles, which was fine as I believe it probably made for a bigger room than a king room did, the bed was very comfy and loved the decor. The rooms were very spacious and we had a view of the pool as we were on the 11th floor. Great view. Our daily housekeeper was so friendly and I enjoyed saying hi to her each morning. The TV channels were many - compared to the Palmerhouse Hilton in the Loop which has less than 1/2 as many channels as the Doubletree does. Einstein Bros downstairs does great bagels and we loved the breakfast across the street at the cafe there. All in all, great hotel choice for us. The one downside that is memorable for me was that we needed to pay for wifi. I think in this day and age it is something that should be provided at hotels free of charge.	
