	"The Finest Chicago Hotel I have stayed at to date"	This past week I stayed at the Sutton Place Hotel in downtown Chicago. I was attending a medical conference and the location of the hotel, within walking distance of the &quot;Miracle Mile&quot;, downtown and the Lakeshore made it a perfect location.&quot; I have stayed in many of Chicago's finest hotels, many of which are typically priced well above the level of the Sutton Place Hotel. I have never stayed in a finer hotel in Chicago. As a comparison, my medical conference was held in a &quot;Five Star&quot; hotel, five minutes walking distance from the Sutton Place. I was in several of the rooms at this &quot;Five Star&quot; hotel as a guest of fellow physicians. I in fact have stayed in this &quot;Five Star&quot; hotel several times in the past, yet without question the Sutton Place Hotel was finer, in my opinion, in all respects. The Sutton Place Hotel's price was one quarter of this &quot;Five Star&quot; hotel. I was placed on the Penthouse Suite of the Sutton Place, I had a perfect view, my room was spotless. Both room service and the attached restaurant / bar were excellent. The hotel offers a business center in which guests are able to use the internet for free, which allows me to leave my laptop at home. The valet parking rates, with hotel validation, are a very good deal. I would HIGHLY recommend any Chicago traveler, for business or pleasure to stay at the Sutton Place Hotel.	
Aug 22 2009 	Great location Excellent service	Stayed at The Sutton Place Hotel for three nights with my teenage children. We were very pleased overall with the service. The bed was comfy, the roll-away bed adequate, other furnishings and room features, such as the beautiful bathroom (glass shower stall and separate extra deep bath tub), and CD/Stereo were nice. We enjoyed the chocolates on the bed when our room was cleaned. The mostly bare white and light gray wide stripe wallpaper colors and medium gray carpet colors in the room were a bit muted for our taste. The location was terrific at the corner of Rush Street and Bellevue across from Gibson Steak House, Carmine's Restaurant, LuxBar and other restaurants and bars. Pancake House across the street serves a scrumptious strawberry crepe. Easy public transportation everywhere. We used public transportation exclusively and it worked out very well with the 3-day CTA pass. State Street bus stop one small block away. Red line subway just a few blocks walk away. Very convenient. An easy walk to Oak Street beach and Lake Michigan. Complimentary coffee and fruit in lobby in morning. Withing a few blocks of Magnificent Mile shopping as well. Very quiet hotel. Did not hear anyone in halls or neighboring rooms.	
Aug 9 2009 	Excellent all round	We stayed 2 nights from 3-5th August and booked a double queen room via Expedia.Check in was fast, bellman friendly and we got a great room on 19th floor which was spacious, clean and well provided for in terms of towels, amenities and furniture.There is no cafe in house ( just the whisky bar &amp; grill) so food only available via room service; however the location is so great for shopping and eating that everything is literally on your doorstep.We loved it here and would definately recommend to anyone coming to Chicago for 1st time.Highly recommend Gibsons for steaks, Pancake house for breakfast/lunch, and Pizano's for chicago style pizza ........ all within short walk from hotel.	
Jul 26 2009 	Great location-terrible service	I just stayed at Sutton Place hotel for the past 3 nights. The location is great for shopping and restaurants. The room was nice and the beds were very comfortable. The front door men and then maid service were courteous.PROBLEM: They charge for internet. They charged us for room service that we never received and could not offer any resolution to this problem. would not allow a late check out.I would not stay here again. The front staff was TERRIBLE.Expensive area to be in.	
Jul 21 2009 	horrible bathroom	My husband and I stayed at this hotel July 4th weekend. The hotel is in a very nice area with tons of restaurants as soon as you step outside. Our room was very clean; we thought the staffs were friendly and helpful. The shower was horrible, trying to close the curtain for a shower was a job itself. The showerhead keeps falling. Overall, it was okay for us. We would not recommend this hotel for first timer to Chicago.	
Jul 19 2009 	The perfect location	Middle of the &quot;happening&quot; Gold Coast corner of Maple, Rush and Bellevue, steps away from Magnificent Mile, it's ideal for those that don't want the noisy hubbub of being directly ON the MM but still in a perfect spot. No breakfast included but you're steps away from LuxBar or Original Pancake House. Had a fantastic meal of homemade pastas and bolognese sauce at Marlo on Maple (ask for Jeremy for your waiter). Got the Lake corner room for a beautiful view. Loved it.	
Jul 14 2009 	Not the greatest for family with grade school children	Okay, we got a great rate on priceline name your price, so I can't complain, but I will anyway, the room on priceline does not guarantee you 2 doubles or 1 king, so when we checked in at 5:30 pm they stated only 1 king room available, so we had to pay extra 25 per night for one rollaway, all that would fit. The front desk claimed I booked 1 king, but according to priceline I did not book any type of bedding, I guess my fault anyway by default I could have called. So DH got the kicks to the head whilst I slept on the extra rollaway for 2 nights. Also, missed the coffee maker in room, and had to wait until 0700 to get coffee on sat morning. we are early risers and also were on EST so it did not seem so early to us. We were a 25 dollar cab ride from Science and Industry. Only could walk to American Girl Place and Hershey Chicago. Otherwise needed cabs. Nothing else going on here, no nice lobby, no pool, only adult type restaurant named &quot;Whisky&quot; like I would take my kids there! Next time will stay at the Embassy Suites, where we usually stay. Children did not like TV options, either. Maybe this is fine for couples, business travelers, but not a place for families aiming for the museums on the other side of the Loop. Be warned, moms!!	
Jul 7 2009 	Excellent Hotel I'd stay again	Thanks to the reviews I settled on the Sutton Place and am very glad I did. I was worried it would not be in the ideal location for Touristing but I was wrong. Chicago is so big you cant be in the ideal location for everything ! Its walking distance from Mag Mile and the Hancock building, and across the street from some of the best chicago restraunts and nightlife. The hotel is clean and efficient although a bit pricy. No in-room coffee ($15 from room service), and no on-floor ice machines (but free from room service). Internet costs $10 etc ... but its to be expected from a high end hotel. The Beds are AWESOME. Very comfortable and clean. I &quot;splurged&quot; on a Jr Suite which was very nice. Stayed on the 11th floor which is not as high up as I wanted but the view was still excellent.Very nice staff and decent conceriege although they had a few mistakes but mostly my fault for not asking the right questions. I was able to call them from downtown and ask for a reservation for Gibsons and they got it for me no problem while I was on the line. I'd definitely stay again and/or suggest to my friends.	
Jul 3 2009 	Great location	Great location on N. Rush - lots of cafes, bars, restuarants right outside. Hotel lovely, staff polite and a great rate on travel-ticker - $99. Bed extremely comfortable. Parking was $48 for 24 hours.	
Jun 30 2009 	Absolutely the place to stay in Chicago	We only had two days in Chicago and needed to make them count, so this hotel was perfect in every respect. Right in the centre of everything, so we didn't spend much time in the hotel other than to sleep. Room and bathroom spotlessly clean, bed comfortable and service impeccable, this hotel will definitely be our base the next time we come to Chicago. As per the previous review, breakfasts were a little pricey, so we made good use of the lovely little pancake house opposite.	
Jun 29 2009 	My Birthday Trip	I loved having everything close it felt great enjoying the weather and being able to walk to beach, Michigan Avenue!! :)The hotel was great decision to celebrate my birthday at!! Have to do it again!!	
Jun 29 2009 	Phenomenal!!	What an amazing Hotel! I stayed there with my wife before we left for our Honeymoon and we had a great time. The service was great (from the Bell Captain, to the Front Desk, to the Housekeeping Staff....everyone was very friendly) and our Suite was the best. We went to dinner at Gibsons Steakhouse, which is right across the street, and walked around the neighborhood to take it all in afterwards. The location of this hotel is ideal! Looking forward to our next stay.	
Jun 27 2009 	Awesome location and spacious rooms!	Great spot to stay for a fun weekend in Chicago! It had been awhile since I last visited the city, and Sutton Place is right in the heart of it! It's tucked between Rush St. and Michigan Ave., not far from the John Hancock Center. There were lots of cool restaurants nearby, great shopping on Michigan Ave., and cool bars for any style within easy walking distance. Our room was fantastic! We stayed in a junior suite, which was a corner room with large windows that made for expansive views of the city. That way even when we slept in or got back early, we still felt like we were in the middle of it all. Not too noisy, though, so I had no trouble sleeping. Staff is very curteous and attentive, and valet parking was very convenient. We didn't spend anytime in the restaurant or bar at the hotel (I thought the breakfast was a little pricey, especially since there are so many cute restaurants in the area), but I did take advantage of the late-night room service. The price was very reasonable given everything the hotel offered and the phenomenal location. I would certainly come back!	
Jun 22 2009 	Always stay at Sutton Place	We will be staying at the Sutton Place for the tird straight year this year during our visit to Chicago. Top notch hotel, great rooms, good service. You could spend less, but it is close to the beach, surrounded by good restaurants, and is in a very quaint and relaxing area of the city. We could stay anywhere, but we stay here.	
Jun 15 2009 	WONDERFUL stay!	We actually live in Chicago but having our parents in town decided we would give up our condo and cozy bed to stay in a hotel while they took over our condo! Just a few blocks from home we checked in to the Sutton Place, what a nice welcome, quick and easy check in. Our room was great, spacious with all the amenities and the bed was unbelievably comfortable! The bathroom, my favorite room, was large, great lighting and exceptionally clean! We were hesitant to give up our own condo for a night down the street but would do it again in a heartbeat at the Sutton Place!	
Jun 12 2009 	Three star hotel at a four star prices in a five star location.	I am staying in this hotel now and have been here for three days so far. The best thing about this hotel and the only reason I would recommend it and come back is its location. It is in the heart of the Rush Street scene and a short walk from everyting else including the Magnificent Mile and the Art Institute. Everything is right outside the front door-numerous great restaurants, shopping i.e. Barneys New York and the shops of Oak Street. There is a small park across the street which on a nice day appears to be the center of activities in the neighborhood. But as for the hotel itself, I am sitting in my hotel room now looking around it is hard to tell the difference between this room and one in a Holiday Inn. The hotel does not have a pool and the lobby is very small. There is no outdoor patio or seating area as part of the hotel. So I cannot see what would qualify this hotel’s facilities as 4 star. Maybe 3 stars plus but no more. Plus one factor which really disturbs me is having to pay an additional $9.99 a day for in room wifi after paying $200 night for a hotel room. If you too are bothered by paying this go to the park I mentioned or the huge Starbucks next to Barneys of New York for free wifi. So as I said I would recommend this hotel and stay here again only if I wanted to stay in this neighborhood and could get a good price on the room. But if I could get the Sofitel which is only 2 blocks away on Rush Street at the same price, I would prefer to go there for a true 4 star experience. As for a great eating experience you cannot go wrong with any of the outdoor restaurants across the street from the hotel. You will see that they are all packed (as in 1 hour 45 minute wait for seating) every night and for good reason. One thing that I found spectacular was the carrot cake desert at Gibson’s Steak House. It is the largest portion of a cake I have ever seen-I bet it weighed 4 pounds. If you love carrot cake, this will be a treat. And if you cannot eat it all they have a Large box to take the rest home.	
Jun 10 2009 	Pleasant hotel 	The Sutton Place is a boutique hotel, with an extremely small lobby, practically, non-existent; however, the staff are friendly, helpful &amp; accommodating. The hotel is surrounded by many nice restaurants, stores, and nightspots. It really is in a great location. We spent 2 nights in May'09 in a junior suite. It was modernly decorated, with nice plush bathrobes/slippers, but the room had much less amenities than I expected a Junior suite to have. It was comfortable, very clean, but not impressive. My suite was on the 17th floor and the views of Chicago were fantastic from my room. We had a very pleasant stay; and the Pancake House restaurant directly in front of the hotel serves delicious breakfast. I would definitely stay at this hotel again	
Jun 9 2009 	Great place to stay in Chicago.	My husband and I stayed at this great little hotel this past week-end June 5th to the 7th, and if we get back to Chicago I would only want to stay at Sutton Place. The location was fine for us, in a trendy area only 2 or 3 blocks to great shopping on the Magnifient Mile. Also a plus in the location is all the wonderful restaurants only steps away, we ate at The LUX bar, Travern on Rush, and Hugo the Frogs Bar. Our walk to the Navy Pier only took us 30 mins. Other than that we easily found taxis right in front our the Sutton when ever we needed. Now for the hotel itself, the lobby is fairly small, but our room (1405) was huge, along with the bath that had a separate shower stall from the tub. Both were extremely clean with great water pressure. I did enjoy using the complimentary bath robe. Only negative for the bathroom was no magnifying mirror. Our bed was king size and very comfortable. One of the best things about this place is the staff, all were helpful, competent, and friendly especially the concierge Cheryl Rule, she did a fantastic job for us more than once.	
Jun 5 2009 	Worth every penny!	Have stayed at this hotel several times. Not only is it centrally located, its very quiet despite being in a very busy and active neighborhood. The staff is excellent, the place is always clean and fresh, the decor is amazingly soothing and the view of downtown and/or the lake just breathtaking! The last time we stayed at the hotel, it was to host a birthday sleepover for our son and his friends. The kids LOVED the penthouse we got, as the view of the lake was incredible, the lower level was spacious and kid friendly, with a big screen television and surround sound, which was perfect for their movie watching adventures.	
Jun 4 2009 	Wish I stayed for more than a night	I spent a night at the Sutton for a quick overnight trip and was very impressed. The staff was welcoming at check-in and seemed genuinely interested in how my stay was at check-out. They offer a complimentary car service and the driver is very personable (and pleasantly chatty), too. I stayed in room 614 which was tucked in a corner at the end of a hallway, so it was quiet. It faced Bellevue and Rush so I was concerned there may be street noise, but there wasn’t at all. The room was incredibly spacious with a sitting area, decent sized desk/chair and plenty of closet and drawer space. It was tastefully decorated and had a large flat screen TV. The bathroom was also very big and included a shower and separate jacuzzi tub. Only two minor complaints: 1) all of the lights seemed a bit dim even at their brightest (really only an issue at night), and 2) there weren’t enough outlets. I only had a cel phone and laptop to plug in, yet needed to do some finagling. I used the fitness center the morning that I was there, and it had ample equipment but was a bit cramped. I’d steer clear of rooms around 509, as the fitness center is right across the hall (510, if I remember correctly). Seems like it could be slightly noisy if you’re right next door or across the hall.Room service was tasty and prices were more or less in line with what I’d expect for room service (high for what it is). They offered a “recession menu,” too, although if you’re ordering room service my guess is you’re not terribly concerned with saving $2…Overall I was really happy with my stay and would (and already have) recommended it to friends.	
Jun 2 2009	Sutton Place....EXCELLENT VISIT	Wow...the hotel, view and location was fabulous! I highly recommend this hotel.	
May 31 2009 	Great hotel near Mag Mile...Loved it!	I was skeptical about this hotel at first, since I'm use to staying right on Mag Mile and since I got such a good rate on Priceline. I'm happy to say that I was proven wrong! This hotel was beautiful and the staff were nice and accommodating. The location was great! We were in the Gold Coast area which is very close to Mag Mile. However, there was a more neighborhood feel. We went to the breakfast place across the street and a place called Tempos a few blocks away. Both places were great! It's a good thing that we are early risers, because there was a line for breakfast every day when we were finished! We went to Tavern on Rush, also across the street, for lunch. Great place to people watch! The El station is only a few blocks away, so we could easily get to Wrigley. (Go cubs!) This was also a beautiful area to walk around and there was LOTS of shopping! I will definitely stay here again on my next Chicago trip!	
May 28 2009 	Class Act!	We stayed 4 nights at The Sutton Place Hotel and had such a pleasant and comfortable stay, we added another night!This was our 3 time staying at this hotel and we were hoping that it would be as good as it was in the past since our last trip was 4 years ago - and the hotel was just a good as we remembered.The Sutton Place is located in a wonderful location on Rush Street which is right in the heart of elegant shops, clubs and great restaurants with (weather allowing) outdoor cafes with happy Chicagoans enjoying the infrequent sunshine. The outdoor cafes reminded me of Paris.Our room was, as in the past 3 stays, perfect! We had a city view but for a little more money you can have a lake Michigan view, we opted for the gorgeous city lights. Room size was just right and the bed and linens top quality luxury.The best are the fabulous bathrooms - large and perfect for two. What a pleasure to be able to soak in the large soaking tub while my husband showered at the same time. Sure is convenient when you are rushing to meet friends for dinner.The staff was friendly, the maid service was on time and very efficient. There is a bar and restaurant on the ground level, bar was jumping and so we stopped in every night before resting for our evening on the town. Right across the street is a pancake house with wonderful breakfasts (long lines on weekends) and a fun, lively bar and restaurant called &quot;The Lux Bar.&quot; The food was delicious and reasonable and we later found out that &quot;The Lux Bar&quot; is owned by &quot;Gibson's&quot; which is a high end, expensive steak house, so no wonder the food and drinks were so great! We liked it so much, we went back a second time and the manager bought us our drinks for appreciation - that was very nice.I loved Chicago, it rained most of the time but it did not spoil our trip because we stayed at The Sutton Place which is walking and cab distance to everything in the city!The Sutton Place is not a large hotel and that is it's charm. It has that personal touch you only get from a smaller hotel , where the staff recognizes you and treats you like they are really happy that you are staying there.I wouldn't want to stay anywhere else!	
May 27 2009	One of the nicest hotels I've stayed at	My boyfriend and I went to Chicago for Memorial Day weekend. I had found a great deal on Expedia ($109/night for a king room), and upon checking in, we were informed that we had received a complimentary upgrade to a junior suite. The suite was a large corner room that was clean, spacious, and modern. We had an excellent view of the city and were in a part of town with a wide variety of restaurants and shops and a few blocks from Michigan Ave. The staff were all very friendly from the minute I called to let them know we would be a late arrival to our checkout three days later. We were extremely pleased with the whole experience and would return again without any hesitation.	
May 4 2009 	Perfection	My husband and I stayed at the Sutton Place for our 10 year anniversary and could not have been happier. From the moment we walked in, all our needs were met. We arrived early and were able to check in right away. Our room was beautiful, sleek, clean and the bed was the most comfortable bed I have ever slept in and being a flight attendant for many years, I've stayed in many hotels. The staff was attentive, knowledgeable and extremely friendly. The location was awesome and close to everything!! We were very happy and will definatetly stay here again. Wonderful!!!!!	
Apr 29 2009 	Fabulous!	I took my husband for his 40th birthday and another couple joined us. The staff was friendly and courteous. The door men were all wonderful and right there whenever you needed. The rooms are clean and every night there was a note on our bed advising as to what the weather would be like for the next day. Avoid ordering coffee by room service, it was $15 US for 4 small cups. There is complementary coffee in the lobby at about 7:30 a.m. Otherwise walk one block to the Corner Bakery Cafe, which also has a great light breakfast at reasonable prices. Gibson's across the street is a nice place for lunch and you're just 2 blocks from the Magnificent Mile shopping! Otherwise cabs are at your beck and call to take you anywhere; however, you may not like their driving! Very fast paced city and definitely a must to visit!!!!	
Apr 23 2009 	Who knows what?	When I stopped by the desk to ask the black lady about buying a bus pass and printing a boarding pass, she directed me to the currency exchange for the buss pass and told me to go to the business center for the boarding pass. The keynotes say that the hotel sells bus passes and prints out boarding passes; why couldn't I have my services performed right then and there? The Russian or Czech lady at the front desk, was using a very nasty tone with another gentlmen at the desk; I immediately stopped and turned around. I walked the 4-5 blocks to get my buspass, just to find out that she gave me the wrong train information. What a big disappointment. The 2 days that I stayed there, the different operators were the ones that directed me to the right places..thanks Missy and Shawnna.	
Apr 20 2009 	Best location!	This is a great hotel, with the best location in the city! They have an exc ellent staff, that is super nice, and was responsive to all of our needs. We were first assigned a smoking room, but when we asked to change, they brought new keys up to us, and walked us to another room! It was a corner room, with lake views, and very spacious. This hotel has a clean, modern look. It's not as fancy as the Four Seasons, but it is everything you need to feel like you are visiting Chicago with class;-) The Hotel is near all the best shopping, lots of wonderful restaurants, and great late night spots. The Whiskey bar is in the Hotel, and is a great spot to have a drink and watch the people on the street pass by. Doublin's is just across the way, and serves food until 4am! Jilly's has a great piano bar with 'Rat Pack' renditions until about 2am. It's a must stop and have at least 1 drink, if not a bottle of champagne. Prices were very reasonable. The Staff at the Hotel gets my biggest kudos! They are well trained in customer service, and made my stay feel special. Keep up the good work, Sutton Place!	
Apr 14 2009 	Best Location in the City!	The rooms are large beautiful contemporary decor, great bathrooms! I love the shower and of course the robes are a great touch! The best part is we were just steps away from the best shopping, dining and great jazz! We'll definately be back.	
Apr 11 2009 	Fantastic hotel amazing location and even greater staff!	I absolutely loved staying in this hotel. We only stayed for one night since the next day we were flying back home. I had a room on the 18th floor over looking the city and even a tiny bit of Lake Michigan. The room was great, beautiful European style interior, great bathroom, and a fantastic king size bed which slept great.What made my stay so good though was the service. Booking.com had not parsed through our reservations, however the friendly people at the desk, made sure we had rooms nonetheless.Samuel, who brought our bags up, is a fantastic friendly guy and one to definitely have a talk with. Garry, the concierge, did not only know the perfect recommendations for restaurants and blues clubs he really took the time for us.Overall the general atmosphere was fantastic and the people working there are all great (also Heleen and Cameron, should not be forgotten).p.s. Be sure to enjoy some Jazz/Blues in The Backroom - walking distance	
