	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
Oct 16 2009 	Great Experience	Stayed at Swissotel the weekend of Oct. 10th. The hotel is in a great location sort of in the middle between Millennium Park/Art Institute and the shops on Michigan Avenue. We were able to walk everywhere and even to the train stop, which is maybe 7 blocks away. At night, it was too cold to walk, so we took cabs, even to places only 1 mile away. The hotel was simple, clean and didn't try to be too trendy or over the top, with mostly business travelers. The double room was spacious and clean.	
Oct 8 2009 	Great Hotel	This is a very nice hotel. The front desk personnel were friendly and very efficient upon check in, the room had a fabulous view of Navy Pier &amp; the lake. The room was very plush, it had a wonderful bathroom. It also had the most comfortable bed/linens I've ever experienced in a hotel. It's a perfect location for shopping. We did not experience any noise coming from other rooms, pretty quiet. We will definitely return.	
Oct 8 2009 	Great Hotel! Great location!	You are walking distance to both Grant and Millennium park and Magnificent Mile. The staff at the hotel are very helpful and nice. This hotel was truly amazing!	
Oct 8 2009 	Good Hotel with Good Location	Traveled with my husband and 2 year old. Hotel was very clean and the rooms were comfy. My son enjoyed our view of the water and passing boats. Conveniently located to the navy pier and Michigan avenue. The only thing I did not like was the $52 a night for valet parking.	
Oct 8 2009 	comfortable	huband &amp; I stayed at this hotel during his conference. everything was very comfortable and our room had a good view. the rooftop pool was very cool too!	
Sep 28 2009 	Bring your own conditioner	I just returned from a three night stay for a business conference. I was disappointed in the hotel for several reasons, a couple of which were probably unique to my stay and thus irrelevant to others considering the hotel (some indifferent staff, multiple interruptions from engineering trying to install hi-def on the TV, mini-bar charges resulting from the engineering guys moving the refrigerator and jostling the mini-bar sensors, a damp comforter cover on the bed after I checked in). Generally applicable comments: the standard rooms are small, the lobby bar is very small (not amenable to a lot of people having a post-meeting drink). Compare the large and lively lobby bars at the Marriott or Westin North River. The bathroom mirrors are not well placed for applying make-up, a minimum number of towels are supplied, the shampoo was not refilled without my express request, and no conditioner was supplied -- bring your own conditioner!I might have felt less critical if I were not paying $279 (before taxes) for a &quot;conference rate&quot; standard room. I wish that I had done what others at my conference did: stay across the street at the Hyatt for half the cost. The Westin North River remains my favorite Chicago hotel.Lastly, why does Trip Advisor allow the hotel to post the same &quot;thank for your comment&quot; response to all reviews of this hotel?	
Sep 24 2009 	Nice hotel	Stayed at Swissotel Aug '09. Very efficient. Nice rooms with good views. Good location. Clean. Would stay again.Keith + Kate Marsden	
Sep 24 2009 	Comfortable room	Excellant room,very comfortable far superior to your usual large American hotel chains.Nice views and good location in the city.Good breakfast buffet.Pool and gym average but acceptable.Dated lobby area.	
Sep 22 2009 	Great hotel and rooms!	Stayed her for 2 night (6 and 7 september '09) and had a room on the 12th floor on the 'backside' of the building but that was no problem; still had great views! Checkin was very swift and friendly staff explained everything very good. Room was very good, lots of space, a superb bed and nice cosy relaxchair to view the tv when coming back late in my room. The mag mile with shops is closeby as are several other interesting things (navy pear, millenium park, arts museum) and letts be honest these kind of cities you need to walk trough it to enjoy even more. Subway (El, red and blue line) you need to walk a bit for but overall that wasn't a problem for me...Bathroom in my room was very spacious with a seperate bath and shower. It was spot on clean!Had a very good stay here; even more so if the room only cost me 99 dollars a night (got it trough booking.com).	
Sep 11 2009 	Above and Beyond	We just returned from a 3 night visit at the Swissotel. The staff from front desk to concierge to housekeeping could not have been more professional and obliging.We were offered an upgrade to a corner room on a high floor (which was so not expected-as we were on a $99 TravelZoo special). This rate also included free access to the pooland gym. The room was an ample size and extremely immaculate,with plenty of toiletries and bathrobes. We had a terriffic view of Navy Pier and contrary to other reviewers were able to see the fireworks just fine. The food in the lounge was great and very fresh---salads, sandwiches etc. The location was terriffic-so close to &quot;The Mile&quot;, Millenium Park, Navy Pier and the EL stop to Wrigley. We were traveling with a 13 year old and he was impressed as well. Theresa in the gift shop went so far as to get my son a sweatshirt in his size from another gift shop location at the Hyatt . The service truly was above and beyond. We will definitely stay at the Swissotel on our next visit to Chicago.	
Sep 10 2009 	great hotel!	In the center of Chicago, one of the nearest place of all the most important places of the city.With 10 min of walking you can stay in michigan avenue, navy pier, in the loop ... millenium park, sears tower and much more. Good price and the highest quality that you can find. book it for a very confortable vacation in this wonderful city!	
Sep 9 2009 	Great stay at nice hotel!	We stayed here over Labor Day weekend and really enjoyed the hote. We had a king bedroom with a lake view on the 10th floor. They view was amazing and I would only stay there again if I had that same view. The room was really big and the bed was quite comfortable. Flat screen TV was also very nice. The bathroom was nice but could've been a little bigger. There was a full size tub and separate shower which was kinda odd. The bar was nice but ridicoulius drink prices, although they had free trail mix! The concierge wasn't very friendly and rather dissappointing. I wouldn't ask this particular person for a recommednation again. He wasn't rude just kinda blah and didn't really care. Only complaint was our room was 1001 which shares a wall with the elevators. It was nice being near the elevator but the wall was thin and you can hear the muffled sounds of them going by. It didn't wake you up or really distract you since it was muffled. But I would prefer to not hear it at all. The hotel was really nice, great location, and I would stay there again in a hearbeat!	
Sep 8 2009	Great value great location	My daughter and I just returned from a week end stay at the Swissotel. I read reviews on Trip Advisor before booking the 99.00 room and most of the reviews were positive. We found the location the room and every employee extremly nice. I asked for a nice view since my daughter had not been there previously was offered one at an additional charge said no thank you and the desk clerk said you will have a view and what a wonderful view we had. The lake and the city.I have visited many large cities and stayed in very exclusive hotels. The resturants, parking etc are alway expensive. Someone on trip Advisor compained about the parking charges, hey it was on the hotel web-site. If you can book on the web, read everything. As far as food, walk a few blocks toward Michigan Ave turn left or right and there are plently of less expensive places to eat. Great city, but yes it is expensive. I would definitly stay at ths hotel again. Drinks in the bar were about average price (high) for the city. The Palm resturant in the hotel had some specials Sunday night, we ate there and the food service,etc were outstanding (portions are large and we shared since we are not big eaters. Trip Advisor never lets me down.	
Sep 7 2009 	Nice hotel good value.	We stayed at the Swissotel from Aug 28-30. We had a lakeview room on one of the higher floors. Our room was large, modern, quiet and clean and had a great view of Navy Pier and the lake. There was plenty of storage space for us. The king sized bed was comfy, and the large walk-in shower was a nice touch. Everything was very clean and well maintained. The location is ideal as it is within easy walking distance to Millenuim Park, the Art Institute, Michigan Avenue and Navy Pier. The area that it is in is much quieter than the Loop or River North. We avoided the outrageous $52 parking fee by parking for $25 in the Millenium Park garages 3 blocks away. No need for a car with the prime location anyway.We found the service to be fine for our needs. We are the type that want to check in and then be left alone for the rest of our stay. We don't use the concierge services or any of the other services unless there is a problem. Check in went quickly for us, but I could see how people could wait a long time when it gets busy. We had breakfast included with our hotel package and the buffet was very good and the service at Geneva was top notch, but I would never pay $26 for it. It was probably worth $10-$15. The pool and fitness center was also included, but we never went up there. Like all hotels, the mini-bar is outrageous, but a quick trip to Bockwinkel's grocery store, just a block or so away, will solve any beverage and snack needs for a reasonable price. You will want bottled water at the very least, as the tap water is, well, Chicago's finest city water.There really wasn't anything to complain about, but there are a few things to know about this hotel. First, we could not see the Navy Pier fireworks from our room as there is a high rise building between the hotel and the place where the boat sits to shoot off the fireworks. This is not the hotel's fault and they do not advertise that you can see the fireworks from your room. We assumed that we could and we were wrong. Also, there is a construction lot directly to the east of the hotel and large trucks were dumping dirt all Saturday morning. We could hear this from our room, but we just turned on the TV and didn't let it bother us. Again, this is not the hotel's fault, and I don't expect them to advertise this.We stayed for 2 nights at $139/ night and had two CAF river cruises (not to be missed!) and two breakfasts included. The cruise tickets are $28 a piece and I figure $10-12 a piece for the breakfast buffets brought the total to about $100 a night for the hotel itself. For the quality and location of the hotel, I would say that is a bargain.	
Sep 7 2009 	Fabulous	This is a wonderful hotel with all the amenities. Everyone was helpful. The breakfast buffet was wonderful. The bed was &quot;just like home&quot;. We would definitely stay again. A nice touch was the water bottles left in our car for us to enjoy on our way home. It was little touches like this that make this hotel one of the best.	
Sep 6 2009 	excellent choice	Spacey, quiet with a sense of luxury. I would definitely choose it again and I highly recommend it. However parking should be cheaper (I find the 52$ a lot), breakfast needs some refining (it is good quality but limited in variety) and front desk needs more employees.	
Aug 31 2009 	Excellent service and Awesome view	1. Navy Pier view was visible from the corridor near the lift on 31st floor.2. I needed to charge my phone battery which was dying and they provided with some left over chargers which returned back before we checked out.3. Very near downtown and Millenium park and we walked all the way to Sears Tower (Less than 1 mile walk).4. Is also near to Navy Pier although its not the hotels fault we didnt ask them the directions. They do have a map of the loop + all nearby attractions with clearly marked details.5. Room was very neat and hey EXCELLENT BOLD TASTE COFFEE.6. Took the charge of the minibar which we had used to keep my 2 year old sons food.7. We didnt use the parking or the gym or the pool and they have technology to remember the guests name when you call the concierge or the guest service they will address you by name.8. My son loved the Chicago river view from our 31st floor , rooms where neat and clean.	
Aug 27 2009 	Excellent	Stayed at this property at a travelzoo rate of $99, which is an incredible value for this property. Overall an excellent hotel, charming modern rooms, would stay again with pleasure.	
Aug 26 2009 	A Pleasant Surprise	Stayed in Chicago for a couple of nights with my wife and our three young children. I really wanted to stay at The Peninsula but the price was just a bit high for us for a suite there. Several other hotels would not allow five people in a suite, even though our youngest would be in a crib. After initially not considering the Swissotel because of mixed reviews on other websites I took another look and booked a family suite for two nights.When we arrived in our room on the 31st floor we were blown away by the spaciousness of the room and by the great views of Lake Michigan, the Chicago River and the city itself. For what we paid per night I really didn't expect such nice accomodations. The room was very clean and plenty of ammenities were provided. I did notice that they charge excessively for extras but that wasn't really an issue for us. The staff was friendly and courtious and was happy to help when we asked. My wife and two of my kids decided to go swimming about an hour before the pool closed and the front desk person comped their entry into the pool rather than charging us the $15 per day pool/fitness useage fee. The bell hop was very friendly and helpful as well giving us plenty of directions and being patient while we were cleaning out our car and gathering our ~10 bags that needed to go to the room. The location of the hotel was perfect for us being located between Navy Pier and Michigan Avenue and close to several great parks and other attractions. We didn't go to any of the on-site restaurants as there are too many other great restaurants in Chicago. The Palm seemed like it would be a pretty nice place to eat and the menu looked good. The downstairs restaurant, however, almost seemed like an afterthought. We strolled down there when we were looking for a place to get breakfast one day but it just didn't have much of an atmosphere being in the basement with no windows. We did get some coffees and pastries from the little cafe/bar area in the lobby and it was about what one would expect.While the Swissotel may not have the super high end service and ammenities (and associated snootiness) that some of the top tier hotels have, it is a very nice hotel that I would have no problems recommending to anyone. If the price we paid was the typical going rate I would say it is a spectacular value for a quality hotel. If I was returning to Chicago I would not even bother looking for a hotel to stay in - I would just call the Swissotel.	
Aug 24 2009 	Good Value for A Good Price	Swissotel Chicago was located near all of the top attractions, i.e. the Magnificent Mile, the Navy Pier and Chicago River. For a good price, we received a double bed, large spacious room with view of the city and the Chicago River. However, Geneva Restaurant in the basement was over priced. For example, the breakfast buffet was $26 and hot chocolate cost $6. There was a $15 daily fee for using the gym. The equipment in the business center was outdated. The bellhop staff were not very resourceful. On another recent trip to Chicago, I stayed at the downtown W Hotel near the Art Institute. The rooms were small and much more expensive. Therefore, I would definitely recommend the Swissotel over the W Chicago.	
Aug 21 2009 	Wonderful stay	Most comfortable beds. Beautiful, sparkling clean room. Great service. We got a super price so took advantage of a $40 per night upgrade for our 3 nights stay and got the most spectacular corner panoramic view that we hated to leave the room. Lake Michigan, The Wrigley Building, Navy Pier all at a glance and fireworks at night. Wonderful stay. We'll do it again.	
Aug 18 2009 	Awesome Service	My family booked the Staycation package with Nicole, the Director of Marketing. From start to finish our 4 day/3 night trip was excellent. I love the VIK desk (as did my 2 and 4 year old) and the view of Navy Pier from our 31st floor window was superb. Not to mention the Air and Water Show was taking place so we saw some great air tricks. The only damper on our trip was my son hit his lip on the windowsill in the room (very 4 year old level) and busted his lip open. It bled forever! Tramatic! Despite that we enjoyed our mini trip and loved the staff. Everyone was super friendly and the package was fabulous &amp; it is easy to walk everywhere or take a water taxi. We hope to return... minus the injury!	
Aug 17 2009 	Would stay here again.	I stayed here for a business trip in August, 2009, and thoroughly enjoyed the hotel. Previous reviews have mentioned the elevator noise--yes, you can hear the elevators, but it's not so loud as to be a real bother. The bed was comfortable; the room was clean; the view was fantastic; and the staff was both helpful and friendly. The fitness center has good equipment, and room service arrives even faster than they predict in their estimates. The internet service is reliable and fast, and the desk in the room is large. There is a highly-ranked restaurant in the hotel, but there are also many other eateries nearby, at almost every price range, if you choose to eat elsewhere. What more can you ask of a business hotel? The architecture of the hotel is unusual--it is a triangular-shaped building, and is featured in the City of Chicago's architectural boat tours along the river. The hotel is close to Michigan Avenue and the Navy Pier and Grant Park, etc., so it's conveniently located within walking distance to many things you'll want to see/do in Chicago. I stayed here for a week, and every single employee I encountered was friendly. I'd happily stay here again.Having said that, don't expect much in the way of spa amenities or leisure activities--this is a business hotel, not a resort. If you need a place to sleep and prepare for work, this hotel is great. If you are hoping for a resort experience, in which you need not leave your hotel, then you might be better off staying at an actual resort.	
Aug 15 2009 	2 Sleepless in Chicago	My Husband and I Stayed for 3 nights at the hotel. We were given a room 2002,2 doors down from elevator on the east side for a lake view,big mistake! loud elevator noise. We callled down stairs, they switched us to 2403,worse mistake,like a helicopter in the room,the noise was unbearable. I Had to Sleep iwth Ear Plugs .I called down to voice my concern that the elevator might pose a risk being that the thing sounded like it was about to break. No one came to check it out. The Mini-Bar Scam,Buyer Beware. I bought nothing! I asked the girl at Check out why I was charged an extra $250.00 plus dollars for items I did not use. I had them remove everthing out of the mini-scam fridge as soon as I got in the room. They were confused why the charges were there,,the girl was confused why I DID&quot;NT understand why I was Charged for things I did'nt take. The Manager came straightened it out. I had to explain to the girl that the extra charges of room tax were already factored in to the price I recieved as final in my online purchase. The Girl at the desk said about the noise , 'Oh that's unusal that your room would be noisy ,since it's a 03,,,mostly the 01's &amp; 02's are the noisiest. [ --XXXX-- ] What difference does that make! We Spent $350 a night for a room with a Fantastic view,it had it. Great Comfortable beds. Excellent housekeeping. The Shower leaked all over the floor,soaked the towels,had to continualy ask for more fresh one's for showers. Wasn't even offered any Comps for the sleepless nights ,just a vague,,oh we're sorry. The Menu Prices for room service Forget it! Over Rated ,Over Priced ,Nickle and Dime Scam! Not Even A Comped Breakfast! I Had Better Amenities at a Best Western Suites for 89 bucks a night. For The View I Would Recomend it, if they corrected everthing else. If Not I'll Save My Dough and have a staycation! Mrs. Works Joliet,Il	
Aug 12 2009 	I read too many reviews	Although I was not lucky enough to find any deals(I never am; I paid full price), our stay at the Swissotel could not have gone much better. We bought the Shedd aquarium package and upgraded to a corner room with a view of the river on one side and Navy Pier on the other. AWESOME VIEW! My wifes trips to the spa and all other plans we made went without a hitch. The room was large and spotless. The Shedd package could have been a little simpler(charge you at the restaurant for breakfast and is credited back at the front desk ) but they gave us what was promised. A couple of things to watch out for are we settled for a room on the &amp; 7th floor and even at midnight the street noise was unbearable(including the hotel taxi whistles every 5 minutes) and make sure you skip the valet parking. There are two parking decks one directly behind the hotel and one within a block where you can park at half the price(if you count tips).	
Aug 2 2009 	Plenty within walking distance.	We went there for our first anniversary having never been to Chicago before, and were pleased with the value, the cleanliness and the location. The room felt just a little squished, and I think our room had a slightly broken vent that made a mildly annoying whistling noise, and it appeared like someone had pried open the vent before in a vain attempt to fix it. Nonetheless the bathroom was luxurious with a separate shower and bath, and we loved wearing the plush bathrobes that they provided. It was within convenient walking distance of many of the popular sites in downtown Chicago and also within 5-10 minute walk of bus or the &quot;L&quot;. I would certainly recommend this hotel!	
Jul 30 2009 	Great choice in Chicago!	I never seem to be away from the Swissotel Chicago lately! Work keeps bringing me back here, which is absolutely fine by me; I know exactly what to expect, and equally, know that it will be of a high standard.The hotel is not smack-bang on the Magnificent Mile, so if a super-central location - i.e. one right in the middle of the hustle and bustle - is important to you, then you may wish to try the Marriott or the Intercontinental. However, the Swissotel is so close to all that, but is also nicely removed from it; located closer to Navy Pier, it is quieter and a lot calmer, but still offers easy access to the shopping and attractions of the city. A pleasant stroll along the river brings you out at the end of the Magnificent Mile, where it is also possible to catch a boat trip or join one of the 'hop on, hop off' bus/trolley tours. I've olny ever stayed in the 'standard' rooms in this property, all of which are spacious and airy, and function well for both business or leisure travellers. There is always a generously-sized workdesk, which would easily accommodate two working on their laptops, (though there is only one chair provided). I have generally had two telephones in the room, (one on the workdesk and another on the coffee table beside the lounge chair), but on this occasion, I only have the one. Not a major issue at all, but worth noting. Similarly, the size of the bathroom on this visit is smaller than usual - but it still has the separate walk-in shower as well as a bath, which is very much appreciated! Rooms all appear to either look out onto the river and the bustle of Chicago or, on the other side, will face Navy Pier, (an especially great view during the summer months when there are regular firework displays).The technology in the room is good and up-to-date; a large plasma TV, (I think...I'm not especially up on these things!), is complemented by a handy clock/radio on the nightstand which also allows you to charge your ipod and indeed play music from the ipod through the speakers, which makes a nice touch.On the negative side, the minibar is one of those nasty move-anything-and-you'll-pay-through-the-nose ones, which I have come to hate with a vengeance! I have in the past called Guest Services for the loan of a mini-fridge which was previously installed in the room with no problem; this time round, I was told there was a flat US$50 fee for this, irrespective of the duration of the stay. Well I'd appreciate this being mentioned in the in-room literature, and don't exactly understand such a hefty charge, (it's not like I'm going to run off with the thing!), especially when I'd be paying the same for less than 24 hours useage as a traveller spending a week here...(needless to say, I didn't pay!) Also worth mentioning is that this can be quite a 'conference' destination which can make things very busy if you are staying during one of these events; service can be slow and erratic, and the wait for elevators can be long and frustrating!The breakfast buffet in the Geneva restaurant is a highlight and a good start to the day. There is a definite continental twist to the spread on offer, with a lovely birchermusli and lots of cold cuts to accompany the usual American-style fayre. The serving times are generously extended over the weekend so breakfast can quite easily become a leisurely brunch, and it's worth taking your time over the whole thing if you're not in a rush!An excellent choice when staying in Chicago, but I would recommend trying to get a room on a higher floor if possible to maximise your enjoyment of the views!	
Jul 30 2009 	Nothing not to like	I think my title says it all. While there was nothing that I absolutely fell in love with at this hotel, there was also nothing not to like either. We managed to secure an unbelievable deal very last minute for the Swissotel. It wasn't my first choice to be honest, but it more than lived up to my expectations and superceded what I needed to get out of it.The location is almost unbeatable for the price. And it does earn cred for being the only triangular shape hotel building in Chicago. It sits right above the river and depending where your room is you'll get unparallelled views of the architecture, two bodies of water and the beautifully lit Navy Pier at night.We faced the Wrigley building on the 29th floor. It was a bit unnerving to also be facing a busy office building across the street from us especially when it came to changing or just relaxing. But we really did spend very little time in our rooms.When it comes to the rooms, its your standard run of the mill hotel room. Clean, a bit on the small side. We had two doubles and I have to say the room felt a bit cramped. One of the beds were almost up against the wall. Yes, while the best thing going for this hotel is the location they do have some negatives too. It's not the hippest or most trendy place. If you're single you're probably not going to have a kickin time here. I saw that it was mostly families, older couples or suited people coming in for conventions.The staff is friendly enough and check in, check out went smoothly without incident. The rooms were cleaned spic and span every day. The beds were comfortable but it was too soft/plush for me, but that's a matter of personal preference. The mini bar is super annoying as they charge you for just moving things out of place, but it is also a no brainer to rectify the situation at check out. They are probably so used to these types of complaints, they didn't give us a hard time at all.All in all, I was within a 5-10 min walk to most of the major destinations in downtown. The loop, the red and blue line, the El, millennium park, grant park, lake shore, the boat tours, steps from Michigan Ave and Magnificient Mile, Navy Pier. The convenience factor is unbeatable. There are tons of restaurants within a few block radius. We never ate anything onsite so I can't vouch for the food options immediately avialable. Another thing that was annoying was the fact that they charge for internet, the gym and the pool. But I guess they have to make money somehow since they practically give their rooms away.It's really a great value for the money and I wouldnt mind to stay here again if I was visiting the city again. And that's saying a lot!	
