	The worst hotel- Do not stay at this hotel	We stayed at this hotel because of some good reviews. When we checked in and got into our room the bathroom was a mess. The toilet as used, the stuff was all over the lid of the toilet and it was not flush at all. I almost got sick. I called the front desk and ask someone to clean it up.Some one did clean it up. I also asked for the supervisor and no one show's up. The supervisor or manager did not even call me.My husband and I were so tired from the flight, or we would have leaved the place. I definitely would not recommend this place to anyone.	
Sep 2 2009 	excellent location comfortable bed	I was sent to a conference in Chicago downtown. This hotel is just 1 block away. I am satisfied about the location. I was a little disappointed when I stepped in the room. The room is kinda small and the dark blue patten carpet didn't look clean. However, the bed is very comfortable. After staying there for three nights, I didnt feel the room was that small any more and I found they use space very efficiently - the tiny bathroom has everything. But I still feel that they need to clean the carpet, and it would be much more convenient if they have free internet in each room, so people wont have to go to the lobby and check their emails.	
Aug 31 2009 	Perfect	Didn't cost that much, I had gotten a discount. Was right in the heart of downtown. A lot of other people complained of small rooms, but I had gotten a pretty big one. Friendly staff. Its not the Ritz Carlton but It was safe clean and comfortable.	
Aug 23 2009 	Says it's 3 stars - not even close !	Fair at best. Stayed here on a last minute &quot;deal&quot; - advertized as 3 star hotel. It's a stretch to call it a 2 star ! Good location but otherwise, nothing but disappointments. Poor service, only fairly clean (below average), small rooms and bathrooms, not very attentive service. Wouldn't stay there again unless the price is ROCK bottom !	
Aug 10 2009 	NPE 2009	It's ok for business trips. Few steps from Michigan Avenue. Clean. Good wi-fi connection. Good bar service. No breakfast service, but a nice Lavazza shop next the side entrance.	
Aug 9 2009 	Excellent	everything excellent except the hotel interior design (bit old) :) but lobby design is good	
Aug 2 2009 	Great Location Great Stay	I must say location location location. This hotel has one of the best locations. We were able to walk, get the bus or jump on the city tour bus and get around the city without a hitch. This is not the Ritz Carlton so if that is what you are looking for don’t book this hotel. Yes, the bathrooms are very small but we don’t base our stay or enjoyment on the size of the bathroom It was very clean, updated and great water temperature. We found the bed very comfortable. We paid less than 70 dollars a night through easyclicktravel.com so we felt it was a bargain. It afforded us the ability to get two rooms one for my husband and I and one for our teenagers. The lobby and bar were also great. I have no complaints. Yes I would recommend this hotel for a friend and we will stay again.	
Jul 30 2009 	Inn of Chicago - perfect	We stayed for 5 nights and were given a corner room. We had a great time. The room was a good size and while the bathroom was small, it was not a problem for us. The Inn is within walking distance of so many attractions - it's the perfect location. Usually, when renting a room, there is always something wrong. Maybe the coffee maker doesn't work. Maybe the bed is uncomfortable. Maybe no one answers when you call the front desk. Maybe you can't get the water in the shower to the right temp. There was absolutely nothing wrong with this hotel. It even smelled good. We will not only stay again, we would recommend it to anyone going for sight-seeing. Lovely place.	
Jul 29 2009 	small rooms 	ridiculuosly small old bathroomsslow hot elevatorshot hallwayssecurity people bothering you while your having cocktails and just laughing ??????????	
Jul 29 2009	Hire a new staff!	My brothers and I traveled to Chicago for the Cubs/Reds game this past weekend, and unfortunately we stayed at the historic Inn of Chicago. We were able to overlook the small rooms, closet-sized bathrooms and elevators, lack of room safes, etc. Not a huge deal. As is often the case, though, PEOPLE are the true indicators of a good business, and this establishment gets two thumbs down. Day 1: Following our arrival Friday afternoon,. I realized I had left my camera in the car. Since the car was valet parked (for $41/day), I kindly requested an employee retrieve my camera for me. This slight request was answered with a furrowed brow and huffy response from the door man. Frankly, I was taken aback with such a response. This guy works here, right? Only after I repeated the request, did the man get on his walkie-talkie with the valet. The camera was then delivered to me, 20 minutes later. I was slightly irritated, but let it go......Day 2: After an exhausting day on the town, my brothers and I made our way to the hotel terrace for a cigarette and to enjoy the night air. It was midnight, and we soon learned that the terrace closes at 10:00 pm -- for some people.. Although a group of ladies and an older man were out there having a wonderful time, when WE sat down at a table and chairs, security appeared. The security guard walked right past the other patrons, and told us the terrace was closed. Again, I was shocked and irritated. I realize that my brothers are large men, and for people who do not know them, they may appear threatening. In reality, however, they are respectful and respectable men and do not deserve to be discriminated against. I was angry, but again I let it go...... Day 3: I was ready to go. Unfortunately, when my vehicle was pulled around by the valet, I immediately noticed that the clock face was damaged. I pointed the damage out to the valet who basically ignored me, then told me to talk to the man working at the garage across the street. He was obviously no help either. I filed a vandalism claim with my insurance and am out $150. Would I return to this hotel? No. Would I fire the staff and rehire new? Absolutely.	
Jul 26 2009 	Location a plus room was a bust	First off, I am not the type of person that generally leaves a review, but this hotel definately deserved it. First off the location is amazing. As everyone has said it is a block from the magnificent mile. My husband and I drove to Chicago, but had the valet staff park our car (for $41 a day) and walked or took a cab everywhere. It is a $5 cab ride to most every place we went, and it isn't a bad walk if you want to do that instead. Now, on the down side. These rooms were rediculously small. I'm not saying it was a little cramped, it was TERRIBLE! The bathroom is the worst...there isn't a vanity and the shower is smaller than my kitchen sink. I was so disapointed. Chicago was just one of our stops on our 8 day road trip and with all of our luggage there wasn't any place to move throughout the room. I believe we paid $130 a night (booked it online) and this hotel was a terrible deal for the amount of space you are given. We looked at other hotels in the area, and if we are to go back to Chicago on vacation we will most defnately stay at the Marriott on Michigan avenue. This hotel is a block from the Inn of Chicago, is very decently priced, and even their smallest room has to outmatch the Inn of Chicago.	
Jul 25 2009 	Great Location	Within walking distance of all main attractions. Try Mary's Cafe for breakfast not West Egg that the hotel staff recommend.Staff were extremely helpful with all enquiries. Only small criticism would be the size of the bathroom.	
Jul 22 2009 	amazing hotel and friendly staff	ok yes i agree with everyone the bathroom was extremely small but other than that i thought everything was wonderful i love the patio on the 22nd floor because everyone could go there you could bring mcdonalds up there if you wanted it wasn't a pricey restruant that only a few could afford so everyone got to enjoy the beautiful view	
Jul 20 2009 	Shockingly Negative Experience	Very disappointed in the Inn of Chicago as a return visitor. The customer service has not been a pleasant situation due to a financial situation that has occurred. Prior to check out I went to the front desk and requested to pay $100 cash towards the room prior to check out with my boyfriend. I mainly wanted to pay for the valet of my car however decided that the even dollar amount would be good. I handed over the cash and the cashier looked at me as if I was wasting her time; at that time I required a receipt be provided; I must admit it was my fault for not reviewing the folded up receipt because the cashier charged the credit card that reserved the room. Once the credit card statement was received there were two charges; one in the amount of $100 and the other for the remaining amount. Very odd how the one receipt that was for $100 cash does not have a cashier number listed...The accounting staff has not been pleasant and is not willing to connect us directly with the hotel manager, office manager, front desk manager, etc (we keep getting the run around) and keeps insisting that we will receive a call back. I do however find it odd that the accountant has reviewed the video tape and apparently stated that I paid with a credit card which was never swiped and what in the world would the cashier do with the credit card since she didn't hand anything back to me. I feel that they are not taking the proper steps to resolve this issue. We will not be staying here again, if you can't trust the lobby/cashier staff on camera who can you trust. We stayed at the Inn of Chicago to save money with a discount as a returning customer however in the long run paid more.	
Jul 14 2009 	All talk no action.	I was very disappointed by this hotel. In the pictures it looked cute and trendy looking but when we got there we found that all of that trendiness was all for show and that there is no comfort.The room was small : the lamps made a weird noise, the A/C made a really loud noise and half the channels on the TV were blurry. The bathroom was TINY and the closet minuscule.As for the location, it was ok but I will not stay in Magnificent Mile next time I'm in Chicago - too many tourists with white sneakers, it reminded me of Times Square! Just annoyingly touristy.The price was right for the location and &quot;look&quot; of this hotel but it's basically all it's got going for it.	
Jul 14 2009 	Great Location Great Hotel	We spent three days here for the taste of chicago we would definitely return again the room was great the bed are comfortable we was on the 22 floor the sky deck was beautiful the lobby was spacious moderm and well appointed this location is walking distance to michigan ave where there is great shopping and resturants love this place would definitely return this is one of the most professional desk,concierge host, doorman and housekeeping staffs kathleen you was the best to joe of security who was a great person and may our stay great thank you	
Jul 12 2009 	Great location big room excellent value	I booked this hotel online and got an amazing deal despite it being over July 4th weekend. Because of that I was expecting to turn up and get some tiny box room, so I was very pleasantly surprised to get a really big room - most impressive! It was well furbished, comfortable bed, nicely decorated. No complaints at all. The location of the hotel is as good as it gets, half a block from the southern end of Mag Mile. Means you can walk anywhere central in the loop, Grant Park, Millennium Park, Mag Mile, River North, Streeterville, Gold Cost neighborhoods as well as Navy Pier. And public transport is close for the rest, busses on N. Michigan, and the red line El just a few blocks way. The hotel itself is a pretty cool older building, the lobby is nice (there is a very modern minimalist looking bar there too, but I didn't go in. Also a coffee place attached). Yep, the lifts can be a bit slow, being an older building, they are smaller. But it wasn't that bad really, didn't have to wait to long ever. I guess people can be impatient on vacation! There is also a roof terrace with a good view. Wireless internet is available for free in the lobby, but not in rooms.Any downsides? The only thing I can say I thought a bit shoddy was the room servicing. Just things like towels not being replaced one day, 2 or 3 days when the coffee pot was left uncleaned and coffee sachets not replaced, bathroom floor not swept. Nothing major, but just a bit slack.	
Jul 1 2009 	Convenient	The hotel is right in the middle of things so makes an excellent place to stay. We walked to Grant Park, Navy Pier, North Michigan avenue shops, and the Gold coast. The hotel is old but clean and nice. Check-in was fast and the man couldn't have been friendlier. All staff was extremely pleasant and friendly. It was an excellent buy because we got the rooms at lower than any other on or near Michigan Avenue. The best part of the hotel is the Terrace on the 22nd floor. It overlooks the city and is a wonderful place to sit and visit with friends, read newspapers, see city lights after dark, whatever. Coffee shops are attached and two are right across the street. I would definitely stay again.	
Jun 30 2009 	Great Location small rooms	I stayed at the Inn of Chicago during the weekend of June 26, 2009. I booked the room the same day for $91 at Hotwire, and it was a fine deal. The hotel is centrally located one block west of the Magnificent Mile, but it's not noisy at all. I arrived around 12:30am and quickly checked into my room, which was very small but clean and comfortable, with an excellent shower and nicely appointed bathroom. The day that I checked out, I received a mistaken wake-up call at 7am, but I called the front desk and asked if I could check out a little later to catch up on the interrupted sleep, and I was able to stay until 2pm. All in all, I enjoyed staying in this hotel and I would stay again with my husband... but not with anyone else; too little space!	
Jun 25 2009 	Good hotel great location horrible customer service	My wife and two young boys stayed at this hotel for 4 days and 3 nights in June of 2009. As many others have stated, the location of this hotel cannot be beat. Walking distance to the Magnificent Mile (if you like shopping), to the Navy Pier, and many other attractions. Just a short train ride will get you to Wrigley Field for a Cubs game.I take one or two business trips a year, and usually stay at the Marriot or Hilton. This hotel is not up to their standards, but it is not bad. The elevators are the smallest I have seen anywhere, but that isn't really that big of a deal. The rooms were good size, except for the bathroom. Don't even think of trying to get more than one person ready at a time in these bathrooms. They are extremely small in space and size!! Also, the outside noises are not kept out very well at all. I was woken up many times due to noises going on outside.As with most places I visit these days, the customer service had much room for improvement. Have you ever gone somewhere that is supposed to serve you, and when you ask them questions or ask them for help you feel like you are bothering them or taking up their precious time? Well, that's how we felt more than once here. I asked a lady at the front desk if it would be possible for me to print something off that I needed to print. She tried to answer my question while she was busy walking bath and forth trying to do some of her own work. She then finally told me that yes, they could help me print something, but their printer doesn't work most of the time. She then told me to I should go to another business to print something for $5.00. She was just rude and very unhelpful.Would I recommend someone to stay at this hotel. Well, yes and no. Don't even think about paying regular rates for this hotel. Find a deal on hotels.com, hotwire, or somewhere else. Once you get the price down to half of what you pay for a top-of-the-line hotel, then stay.	
Jun 20 2009 	Location was great but thats about it.....	The first room we got smelled like a bunch of cats had lived in it. We told the front desk and they got us in a new room right away. The first lady when we checked in was like a robot with her answers, she didnt listen to what we were saying. The rest of the staff was nice. The rooms werent very nice at all. Although the beds were very comfortable! The sheets were wonderful! The nicest part of the hotel is the lobby (we didnt spend any time in there, but it looked nice) and the bathrooms LOOKED nice, VERY small!!! The view was wonderful as well. We rented a movie and had to almost sit on the t.v to hear it. The volume was set to a certain point but you couldnt hear it while sitting on the bed. That was disappointing. The location was nice. We got a double standard room at almost $200.00. Next time I think we will stay at the chain hotel next door for less! Parking was very pricey, maybe thats the norm in chicago, that was our first trip. Took us by surprise.	
Jun 18 2009 	WARNING: OUR SOUVENIRS WERE STOLEN OUT OF OUR ROOM BY THE CLEANING ATTENDANT!	we just returned from a cruise, and had left our souvenirs w/ our other things in the room. the night before checking out, we noticed they were missing and called security. security told us that they do BAG CHECKS OF ALL THEIR EMPLOYEES before they go home after a shift - obviously, they don't trust their employees at all. they took our statement, said an investigation would take 7 days, but we insisted on immediate action. the hotel manager was unable to reach the room attendant because 1) she failed to show up for her next shift and 2) refused to return his calls. the manager offered to reimburse us the money, but those souvenirs and gifts are gone. we called to follow up but the manager is ignoring us and not returning our calls. DON'T STAY HERE IF YOU VALUE YOUR BELONGINGS!	
Jun 3 2009 	Budget with a View	Pros:-Location 1/2 off Michigian Ave.- Trendy/Modern furnishings- Price given location- 1 block max from several major bus routes (feels like we spent most of our trip on 151)- Rooftop Terrace: Great view of city Llghts at night- Huge showerhead- Large flatscreen that swivels b/w couch &amp; bed (we didn't watch any TV though)- Lavazza Coffee Shop attached to lobbyCons:- Old Building = Tiny Elevators- WiFi isn't free in rooms (you see lots of guests with their laptops in the lobby). The WiFi is provided by WayPoint so if you have an acct w/them or AT&amp;T you'll be ok, otherwise factor that in.- No Parking, but that's the norm for the area	
