	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Oct 20 2009 	Good hotel not the greatest	Pros...Bedding and pillows were absolutely amazing. Very comfortable. Evening doorman was very personable. Within walking distance of many low-midpriced restaurants. Short cab ride elsewhere in the south east loop area.Cons...Some mold in the shower. Air conditioning/heating vent was abnormally loud. (sounds like a regular bathroom exhaust fan, which there actually isn't one in the hotel room's bathroom) Our room came with a back alley view and the garbage trucks were very noisy starting at about 5am. Room could use more lighting and closet or drawer space.Overall, this is a nice looking and comfortable hotel, but maybe not worth the $280+ per night rate. I would recommend if paying closer to $150 p/n.	
Oct 16 2009 	Good find in downtown.	I felt the Blake was an excelent hotel based on the price and the location. The hotel was quite affordable based on other hotels in the area. The modern decor in the lobby and rooms was pleasant. It is convenently located near the heart of downtown. Most of all, the staff was wonderful!	
Oct 9 2009 	Best Place I have ever stayed in Chicago	After speaking to their rep.and getting their very best price incl.auto.........we were pleasantly surprised at the friendliness and cleanliness of the hotel. Rec'd 2 free drinks and all of the staff was exceptional from the front desk,maids and doorman and waitstaff. Will stay there again in a heartbeat..........	
Oct 9 2009 	Convenient and Quiet--and Affordable!	My fiance and I stayed here on our first trip to Chicago. We felt safe walking from here around the Loop area, and enjoyed how convenient it was to several train lines when we wanted to get out and explore Chicago's neighborhoods. The staff was very friendly, especially the man who served breakfast, and recommended fun restaurants. Breakfast is very basic but enough to start the day. The bathrooms are huge!	
Oct 8 2009 	Chicago's hospitality leaves something to be desired.	We were excited about the location, in the center of Chicago, not too far from the Shedd Aquarium and Field Museum. We were also excited by the price, as this wasn't expensive for Chicago and supposedly included breakfast. And being an old printing factory, there was a bit of history too. The location, the rooms, all lived up to expectations – and it was entirely walkable to our destinations of choice.However, the service was really something to be desired. Staff were curt, brusque and did not offer helpful details. We explained we had an early start the day we were leaving (5 minutes after breakfast was supposed to be served) - yet it was more like too bad, your loss that you won't be able to participate in our included breakfast service. We hovered over the breakfast staff, and not even a banana was put out for our early departure, which was 5 minutes after their supposed start time. When we called to request our car brought by the valet at a specific time, it was also brought 20 minutes early, and they got upset we didn't take it as soon as it was there -- we weren't ready to leave yet. I'd have to say if you are price conscious, you should consider staying here – it was a good location and the rooms were clean and quiet. But don’t get your expectations up that folks will be friendly or helpful. In another town we stayed in nearby, we actually got thanked for traveling during the recession and spending our dollars there – which drew the comparison to the service at the Hotel Blake even more firmly.	
Oct 8 2009 	Great hotel - great staff - pricy parking	Enjoyed my stay. The staff was very helpful and attentive. Room was well appointed. There was a bit of street noise as I was evidently there on &quot;garbage pickup&quot; morning. Otherwise a great hotel and location. In the printer's row area, near the old stock exchange. Close to quite a bit and right on a bus line. The only negative I have is that the overnight parking rate seemed high even for Chicago. It didn't help that there's a surface parking lot right across the street, but didn't appear to have anyone tending it. I'd enjoy hearing if there's anyone who's tried the lot or if there's an attended lot nearby someone has used?There's a Hackney's (local Chicago favorite American food restaurant) within walking distance as well as a Potbelly sandwich place right next door. There's also a 24 hour convenience store that's well stocked (7-11) right around the corner.	
Oct 3 2009 	Very Pleasant Stay at Hotel Blake	I was very impressed by the comfort of the rooms and the courtesy of the staff at the hotel Blake in Chicago. The beds in the room were exceptionally comfortable, and the amenities of the complimentary cocktails and continental breakfast were a definite plus. The continental breakfast was unusually high quality. Most important, the value for the price was exceptional in a major city. Hats off!	
Oct 2 2009 	Comfortable modern and a great location.	The Blake is in downtown chicago and a short walk to the Lakefront and an even shorter walk to a lot of really nice restaurants. Very comfortable room and excellent service. I'd stay there again, for sure.	
Sep 19 2009 	affordable comfortable stay in downtown Chicago	I was in Chicago for a five-day conference and stayed at the Hotel Blake. My SO came with me and we did some sightseeing as well. The room was extremely spacious, as was the bathroom, and there was a good-sized desk, a couch, and free Internet access. The hotel also served a light continental breakfast. The staff was friendly and helpful. I liked the decor. I did book my reservation using an online vendor, which was a significant discount over the rack rate. I found this hotel superior to others I have stayed in downtown Chicago. It is only two blocks from the subway.	
Sep 19 2009 	Mostly a very positive exerience.	Stayed at the Blake with my wife while I was in town for business. It was a &quot;mostly&quot; very positive experience. The desk staff and the night door attendant were extremely helpful and polite. The room was slightly small. However, all the furnishings were up to date. The only negative was the day/morning door attendant got a little snippy with my wife when we asked him if he would store our bags for a few hours. Besides that, it was mostly a positive experience. You will not be disappointed if you stay at the Blake.	
Sep 15 2009 	Friendly and helpful staff - Clean and Comfortable Room.	Selected because of its central and convenient location, I was pleasantly surprised by the comfort of the room and the friendliness of the staff. Truly one of the best bargains in Downtown Chicago. Will be booking at least two return trips soon.	
Sep 14 2009 	Great value	The Hotel Blake was a lovely hotel with very spacious standard rooms and huge, beautiful bathrooms. The location on Printers Row was extremely handy and it was an easy walk to shopping, theater, and Grant Park. The front desk was very friendly and helpful. I would definitely stay again.The one small problem was a small amount of mold in the spacious shower.	
Sep 9 2009 	Very Acceptable Hotel	We were very pleased with our stay here. The staff was very friendly and extremely helpful with selecting a dining location. We checked our bags early in the day and obtained a late check-out the following day (2:00 p.m.) I had reserved one king bed but requested an upgrade on check-in and got it. Room was very spacious and very clean with very comfortable beds. There are in-room safes. Best of all, was the shower. The shower is huge with a half-door and amazingly the water stays contained within the shower. Only negative was to access our room after getting off the elevator, we have to go down 4-5 steps to access our room. Our luggage was heavy so it was a bit of a nuisance with the luggage.	
Sep 4 2009 	Pretty bad.	Stayed at the hotel as my refrigerator was leaking dangerous gas. Am pregnant so decided to stay at a somewhat decent hotel. This was the only reasonably priced one I could get last minute. Come to find out there was no mini frig., the computer access was unreliable (also am a student and had a paper due), the business office has 1 computer so expect to use it briefly, showed up for breakfast only to be rudely told to come back. Breakfast is avail. at 7am and I showed up at 7:05am. The worst of it was I left a message for the manager to call me. He never did. I called him a few days later. He tried to get off the phone saying he would call me back but I have yet to hear from him. Oh, I forgot, I was offered drink tickets at nearby restaurant in exchange for the problems. Did I mention I am pregnant? One good thing it their doorman. Probably the best I have ever met.	
Aug 27 2009 	excellent location friendky staff	Just back from 3 days in Chicago. We found the hotel blake in our lonely planet guide book. Excellent location, nice big room and friendly staff.Unfortunately the wi-fi connection was not working properly and breakfast was below our expectations, but on the whole it was a good choice	
Aug 26 2009 	Will always choose Hotel Blake!	We love Chicago and we love Hotel Blake. We have stayed there every summer for the past 5 years. We usually stay for at least 4-6 days.The hotel is in a good location and one can take a short bus ride to get to the Field Museum or just walk a couple of blocks to get to Michigan Avenue to do touristy stuff.The rooms are large, well decorated and extremely clean. We got an upgrade to a premium room but would have loved a suite (we are loyal patrons!)The staff is friendly and very helpful. They gave us good tips on good restaurants nearby.We will always come back to Hotel Blake because we have a wonderful stay there. See you next summer. This hotel deserves a higher star rating!!	
Aug 21 2009 	The Blake Hotel has the best of everything for a great stayanytime.	Just returned to Wisconsin from a Wonderful 2 day stay at the Hotel Blake in Chicago.My wife found the Hotel on the internet. We needed a Hotel that would be close to all the sights we wanted to see. Entering the Hotel we found the Consierge to be very friendly and funny. The front desk clerks were also friendly and attentive to our needs and questions.Entering our room I was very pleased by both the size and cleanliness. Our room facedDearborn with no noticable noise issues. Very quiet. With that said, my next trip to Chicagowill include my wife and I staying at the Hotel Blake.	
Aug 20 2009 	The Blake is an exceptional hotel	My wife, four year old son, and I stayed at the Blake for two nights. The hotel is very nice, contemporary, and hip. Our view from the suite was great, with the Sears Tower a block away. The free continental breakfast is very nice and with a variety of choices. All the employees were friendly and knew areas of Chicago quite well. Our room was very clean and decorated to our liking and style which made us feel right at home. We will be going back again in the future and would recommend the Hotel Blake to anyone visiting Chicago.	
Aug 18 2009 	Great Leisure Get Away	My husband and I stayed at the Hotel Blake for our first overnight trip to Chicago. We mainly chose it because of the price and that the purpose of our trip was to explore the city. Didn't use the valet service since we took the train in from Indiana and we were pleased to discover the hotel was about a 5 minute walk from the train station. Greg the door man was very helpful, we were checked in promptly and our room was immaculate. Loved the Gilchrist and Soames toiletries and the shower! Bed was super comfy and the room was spacious. And while there is not an abundance of shops and restaurants in the immediate area, they are not far away. We ate dinner at Hackney's Irish Pub (a recommendation from Greg) which had authentic pub grub and I've only had better fish &amp; chips in England. Greg also suggested a great jazz club on Clark St. called Close Up 2, so we changed for the evening, drank cocktails in the Custom House restaurant and set off for a great night of live music. So, in my opinion, if you're just going for a get away and don't mind getting a little fresh air (everything we wanted to do was less than two miles away including shopping and navy pier attractions) or taking a very inexpensive cab ride to your destination I recommend Hotel Blake. Prices are excellent, great service, quaint neighborhood, and yummy drinks and food.	
Aug 13 2009 	Hotel Blake - A Gem	This was our first trip to Chicago. The Hotel Blake was recommended to us by friends. The rate was excellent and the location was central (walking distance to Art Institute and Millenium Park plus more). It was also very easy to access from the Interstate, The room was beautifully appointed and very large, with all the necessary amenities. The staff were all courteous, friendly and very helpful. The hotel was very quiet, which is a necessity for us.The only two drawbacks were as follows: 1) the shower in the bathroom had only a &quot;half door&quot;, i.e., there was no way to close it and as a result, there was quite a bit of water on the floor after each shower, no matter how careful we were. 2) the continental breakfast was excellent, BUT there was very limited seating in the area in which the breakfast was served. It seemed a better idea to carry the breakfast to our room as there was no place to sit.These are minor complaints. In general, we enjoyed our stay at the Hotel Blake immensely! Thank you.	
Aug 11 2009 	Lousy child had to sleep on floor	I would not recommend this hotel to anyone, it did not meet the star quality rating.Pre paid for 2 rooms, asked that they be adjacent,or in close proximity with one rollaway for our child. No problem the front desk said around 2pm per phone conversation.When we arrived we were told no roll away, they were given out to those that had already checked in and paid. We pre paid, I said to the desk clerk, and even called ahead. You pre paid with Priceline he said in a demeaning manor.( As if I financially raped the hotel by paying 140 per room per night). My son slept on the floor, they did offer a suite after a visible complaint at the front desk by by husband , but not on the same floor as my mother and small children, forget it we said.We left our mother and 2 small children in the room the next morning to do an am dive at the harbor. We found out there is no morning room service, they went without breakfast. At appproximately 0615 we left the hotel to travel a short distance to the harbour to dive. We were met by road blocks every block. It took us 65 minutes to get to the harbour and then the dive charter had to drive his boat to meet us as there was a marathon going on. Do ya think the front desk could have given us a heads up as to the coming event the next morning, when we checked in? The staff at the Blake could careless about their guests.	
Aug 3 2009 	Definitely value for money	This was my second stay at Hotel Blake and it's definitely recommended. The location in Printers Row has its own points of interest – eg some good little local restaurants, Millennium Park and the Art Institute are within walking distance. And local transport is very close if you want to go to N Michigan or other areas over the river.The hotel staff are very friendly, welcoming and helpful. The room is comfortable, and it's great to have something different to the usual bland hotel decor.All up, The Blake is a good quality hotel at a reasonable price.	
Aug 1 2009 	Outstanding...The best place in Chicago	Hotel Blake is awesome. The service in phenomenal. The rooms are HUGE. The exercise facilities are outstanding. The Custom House resturant is wonderful. I can go on and on...I cannot say enough good things about Hotel Blake. I am planning to stay here for all of my Chicago trips from now on.	
Jul 30 2009	Luxurious surroundings excellent service comfy beds 	I found Hotel Blake through hotels.com, &amp; what a great find. The room was spacious, had a great view of the city, and the beds were wonderful. Hotel staff were extremely friendly &amp; gracious, always eager to meet our needs. The location was very convenient to get to museums &amp; other sites around the city using public transportation. We only used a taxi once, so that was another big savings. The rates were very reasonable, yet the hotel has the feel of something much more expensive. We would definitely stay here again!	
Jul 21 2009 	Modest hotel good location	Might be a historic hotel but it shows its age. Rooms and even public areas badly need renovation. Location is great for walking that Magnificient Mile and surrounding area but that's about it. Got it at a great price on Priceline &quot;name your own price&quot; as a 4 star deluxe hotel. Would rate it as 3 star at most. Happy with stay and room for thae price but definitely not if I had to pay retail.	
Jul 21 2009 	Loved it!!	My husband I and stayed at this wonderful hotel June 3-6. We love it here. The hotel is super nice and the staff were really friendly. I liked the area, we were close to everything. They actually had a book fair outside the day we were leaving. I was really nervous about the area because I had never stayed in downtown Chicago and have only been there one other time. But it worked out great for us. We went site seeing and went to see some of our family in the suburbs too. We were close to transportation. I think that took us all of 5 min to get there. We ate at Potbelly's next door and that was very very yummy. Perfect for a quick lunch and back out sight seeing. I would definatley stay here again. The only think that really bothered me was the vent looked like it needed to be replaced. I thought it was grimy but ended up being paint. Considering how old the hotel is,it is very nicely updated and decorated. We had a great view and were up to the street and barely heard anything. Now if you slept in until 10 or 11 maybe but I was up and out of the hotel by 8 and seriously the noise was not a issue. My favorite thing about this hotel was the bathrooms, they are killer!! OH, just be careful about the floor were you go get ice. My husband went up there and said it is quite scary especially at 11pm. I can't wait to go back I give this hotel a A+!!	
Jul 17 2009 	New to the City	My daughter and I traveled to the City to register her for college. She will be attending Columbia College in the fall. We had no idea where to stay,eat or how tour the city. The hotel was perfect in every way for our stay. Close walking access to the college,free breakfast every morning, across the street from the Lakefront (I love to run so I could easily get to the lake path), very friendly staff. We did not know what to do in the evening the staff knew where to send us and how to get around. The Hotel is extremely clean and beautifully decorated. This will be my hotel of choice each time I visit my daughter at Columbia.	
Jul 17 2009 	Excellent hotel in the Loop for a solo traveler who wants good value	I recently stayed at the Hotel Blake for a leisure trip to Chicago for 5 nights from 7/7 to 7/12. I can only say good things about my stay there. Considering I wanted to pay less than $150/night and all my travel during my Chicago stay would be via public transit, the hotel was in an excellent location, very close to various Chicago &quot;L&quot; stations on many lines (the Library stop on the Loop itself, the Jackson stops on both the Blue and Red Lines, the LaSalle stop on the Blue Line, and the Harrison stop on the Red Line). Though the area near the hotel isn't the most built-up location in downtown Chicago, there still were a few restaurants and convenience stores nearby (the latter of which, both 7-Eleven and CVS, I utilized numerous times). Service in the hotel was good too - the rooms were cleaned thoroughly early each day, there was free, 24-7 internet access (though only one computer so sometimes I had to wait to get on), and a continental breakfast was available each morning (though I only used that the day I checked out and the options were somewhat limited). The cooling units in the rooms worked well too, making it more comfortable to sleep. From the room I had, I even had an excellent view of the Sears Tower (it will never be the Willis Tower and besides, when I was there it still was officially the Sears Tower!). The staff seemed friendly enough, though I didn't need their services much during my stay.All in all, Hotel Blake served as an excellent base of operations for me during my stay in Chicago (which primarily involved going to a pair of Cubs and a pair of White Sox games, riding around the CTA &quot;L&quot; system, checking out the major train stations, checking out various neighborhoods and attractions both via transit and on foot, and taking a day trip up to Milwaukee to check out that city and go to a Brewers game - Hotel Blake is probably about 3/4 mile from Chicago Union Station). I'd definitely be interested in staying at Hotel Blake again during a future Chicago visit if their rates remain relatively low.	
Jul 16 2009 	Motel 8 has better service!!!	I had been planning my trip to see Chicago for the first time w/several friends for months and had spent weeks making sure we stayed at a luxurious conveniently located hotel in downtown Chicago. Unfortunately this hotel offered us nothing but one headache after the other. When we checked into our room we realized our room did not have two queen size beds as we had reserved. When we confronted the front desk staff they replied in a huffy manner that it wasn’t their problem and by “LAW” the hotel’s only obligation to me was a room at their lovely establishment. I asked to speak to a manager and they told us that they didn’t have a manager on duty and that there wasn’t going to be a manager coming in. They proceeded to let us know that they would be able to put us in a room with 2 beds the next day and a roll-a-way for the current evening. After 3 calls to the front desk and being 3am we still did not have a roll-a-way in the room! They let us know that they didn’t have any roll-a-ways for us that evening but that someone had checked-out at midnight and that we could move into that room for the night. My other friends were given a handicap room, which wasn’t a huge deal accept for the fact that the room décor wasn’t nearly as nice as the non-handicap rooms and that the shower heads were so low that they only accommodated someone who was in a wheelchair. They clearly don’t realize that handicap people travel with people who are not in a wheelchair or have a different disability. When my friends called down to the front desk to see if they could move rooms they were told no! My friends asked what they could do for them because they were unsatisfied and they said they could give them drink tickets to the bar that had already closed for the evening. The next morning when they called down to see if they could have a room move the front desk said no again. They asked to speak with a manager and surprise apparently there was no manager on duty the next day either. How appalling their hotel’s guests have to ask their staff to help accommodate them and that there only response seemed to be “NO”. This was just a FEW of the run-ins we had with this establishment.  I am no stranger to traveling or the workings of a hotel establishment. I currently work for a 4 star Travel + Leisure top 50 hotels in North America in their reservations department. So, yes I do expect exemplary service and I know that it can be provided. At the same time I am more forgiving to some of their shortfalls as I know all hoteliers have been faced with the same situations. It’s so unfortunate that such a beautiful well located hotel has no sense on service; this may be due to the lack of management.	
Jul 13 2009 	Dissappointed-not what others are saying	We stayed for two nights at this hotel and booked it because of the price and what others were saying about the hotel on TripAdisor. I was dissappointed. Day shift bellhop was rude the minute we got out of the car. (Night shift bellhop, Greg, was excellent and funny) We arrived at 3 pm but did not realize until 8 pm that we only had 2 towels in the room (we had 4 in the room) We called for more towels, but you can only get towels from 8 to 6 when housekeeping is there! There are not many places to eat or do shopping, most close at 5 pm or 7pm. I was concerned about what they call 'secure parking' as a part of my $39.00 valet parking. Your car is actually in a public parking garage underground and your keys stay in your car with the window down (so flys or bugs can crawl in), so take every with you into the hotel. Rooms were ok (they charge you an extra $50.00 at checkin but will refund it to you after you leave as long as you don't mess up the room or steal anything (ha) - beds were not comfortable at all, hard. Next time, we will stay in the River North area, more eateries, shopping, Navy Pier and closer to the 'el' trains and subway.	
Jul 9 2009 	Blake Hotel Chicago - WOW!!!	This was my first time at the Blake Hotel in Chicago. I would definately go back. The service there was excellent, better than any other service I have had in the past. Jesse, the doorman was very helpful with information about where certain eateries were located at and also th best way to get around the town. The room was fantanstic with a king bed and a large walk-in shower. The staff was very courtious at all times. The continental breakfast was also good. Overall, I would say that my stay at the Blake was not only relaxing but in general an excellent experience that I would do again.	
Jul 8 2009 	Weekend was a bust due to hotel blake	I had booked through Blakes website over a month in advance and a deal on the room with no cancellation allowed. We got to the off ramp on congress and was .9 miles from the hotel and it took just under 2 hours to get there due to traffic. We finally show up after dealing with all that traffic and come to find out there had given away our room and we had no where to stay in their hotel that night. Not off to a good start since we were going to the Brewers/Cubs game in the morning bright and early. They ended up putting us up in the holiday inn for the night for free and payed for the taxi to get us over there. So we had to park our car at the hotel for the night and hoped we had what we needed. When we got to the holiday inn, they had no record of Blake sending us there, they had only 4 reservations and i was not one of them. After another wait, they wrote my name over some other person they had reservations for from the Blake(not sure what they did with the other person when they showed). Once we got to the room, it was a smoking room! My girlfriend is allergic to smoke and those were the only rooms they had there. So after a horrible night, we had to wake up and pack up again bright and early to go back to the blake. This was not before we found out the holiday inn did not have a complimentary breakfast like the Blake was going to have. So after taking a cab back to blake, we went to have our luggage checked since a room would not be available until 3 PM which is 3 hours after the Brewer game started. Once we got the luggage checked, they said we could have breakfast there. It was the worst possible breakfast i had ever seen. They had one guy cutting and toasting bagels in a 4 slice toaster, pound cake cut and wrapped individually and honey buns. The juice was stuck in a bucket of ice when some ran out so it was not even cold. The bagel my girlfriend got had mold on the bottom of the bagel as well. Went to the game(Brewers killed 11-2) and when we got back, they had upgraded us to the larger king size room. The room was nice and well maintained. When we woke up the next morning, we had no hot water! We called down to the front desk and they brought up a key card to take a shower in the only other open room which was nice. They ended up taking off some of the total which helped in the end to make things somewhat right. Seems like a decent place as long as you have a room and go out for breakfast. Good location.	
Jul 7 2009 	Don't Spend Your Money On The expensive Hotels 5 Star Service Here!!!	My wife and I spent the 4th of July holiday (3rd thru the 6th) at the Blake and was I suprised! I read some of the surveys here before we left ,and I was a bit confused if I made the right decision. It took all of 3 seconds to put my mind to ease. When we arrived, Greg &quot;Showtime at the Blake&quot; (the doorman) greeted us like we were royality! Welcome to the Blake boomed from his voice, like we were the best client who ever graced the hotel. Then we approached the reception desk and were promptly told they were extremely glad to have us there. Michael the deskman said we have a problem, we had to upgrade you to a suite at no extra charge! Our heads are now spinning like crazy! I asked why, he replied because we want you to have an enjoyable stay with us. This has all happend within the first 3 minutes of our arrival. If it would have stopped there, we would have been more than satisified, but NO! we were taken to our suite, and the door opened to a PENTHOUSE, not a suite! An extremely large room with a complete living room, multiple chairs and loungers, a 42in plasma tv, a 6 piece dining area, a wine bottle cooler, beautiful dark wood accents HUGE picture windows with magnificent views. Then a right to a spacious bedroom with a king bed accented with rich bedding, another 42in tv. Another right to a palatial bathroom with a garden tub, dual basins, full seperate marble shower with a rainhead. Words do not describe the decadance here. From all of the staff, too numerous to name, if you do not patronize this hotel your wasting your hard earned dollars! From my wife and I, thank you from the bottom of are hearts! See you in december for christmas shopping!!	
Jul 1 2009 	Charming	I arrived from NY fraught, dirty and hot. The reception from the staff at Hotel Blake sorted the first of those - efficient and courteous to a fault - and the wonderful rain-head shower in the bathroom sorted the last two. Room service for a late lunch was as good as reception, with much to tempt on the room service menu. I felt completely restored within an hour.The bar staff were friendly and helpful, while the food in the restaurant for a business dinner was very good indeed.I also greatly appreciated breakfast being provided - much more what I'm used to, coming from the UK. Location was quiet, but perfectly convenient, the room was spacious, the bed wonderfully comfortable. If I have any quibbles at all, it was the provision of only one computer in the business centre - there was always a queue to use it!I would certainly stay again.	
