	Review...	Hotel itself was nice. Concierge was great as well as the staff in the bar/restaurant. The staff at the front desk were horrible!!!! We waited 1 1/2 hours passed our check in time and finally I went up there for the third time and they had a room ready for us. Hotel was beautiful, rooms were nothing special, hotel was close to everything...including the hospital across the street that has ambulances with sirens leaving and arriving all times of the night! Ugh.	
Sep 27 2009 	Great locatio ideal for a tourist	Perfect location to see everthing in Chicago. We used to Mero and walked to get around and had no issues.Hotel is clean and staff helpful. We didn't eat in the hotel as Chicago has far too many great restauranrts to miss.Love Chicago and thought this hotel was a great base and worth the money.Their is a very small pool a bit disapointing. The jacuzzi and steam and sauna made uo for it as this helps ease the feet after a long day sight seeing.We did not hear any noise and had great sleeps in a really comfy bed.	
Sep 20 2009	wonderful customer service	We had a block of rooms at the Wyndham for our wedding. All of the Wyndham employees we dealt with were extremely accommodating, helpful, friendly, kind and professional. The hotel is beautiful and in a perfect location in Chicago. Affordable and chic.	
Sep 13 2009 	worth every penny	We read the reviews before booking, however, based on location, we booked here regardless of the negatives (cost of parking, noise from the hospital etc.). We were so glad we did. The location was great - easy walk to Michigan Ave, the Magnificent Mile, Navy Pier etc. A great breakfast restaurant right across the street and TGIFridays close for lunch, also an easy walk to the Cheesecake Factory for dinner. We had a blast in Chicago! The $49.00 spent on parking at this hotel was worth every penny as we never saw our car for 28 hours. Make sure to take in the boat tour of the City at 7pm.	
Sep 12 2009 	It's just average.	I think the price is not cheap. The hotel doesn't have pick-up serice, &amp; no free Internet. It's $11.00 per day for Internet access. I didn't wanna pay for it since I only need to use the Internet for like 1-2 hours per day just to check email.	
Sep 10 2009 	Great Location - Could Use Some Updating	We stayed there for 2 nights over the Labor Day weekend. Booked an executive suite online at wyndham.com. Rate was not cheap, but we wanted more space than a normal city hotel. The room was very large, although the there was not enough furniture for the size of the room. The room, furniture and TV was quite outdated for the price of the hotel. The best feature of this hotel is the great location, just one block from Michigan Avenue. Overall, this is a basic hotel - clean and safe. The staff could have been friendlier and more welcoming - but that is usual in a big city hotel.I would recommend parking at one of the nearby lots at Northwestern Hospital, as the valet parking is $50/night and takes about 20-30 minutes to retrieve your car.	
Sep 9 2009 	Will Stay Again	Awesome hotel. Convenient to Michigan Ave. and bus routes to all museums. Conceirge Russell is top notch, always helpful with a travel tip on saving time and/or money. Rooms are big and beds are nice, especially after a long day in Chicago. Will Stay there again when in Chicago	
Sep 7 2009 	Great location and good service	Can't beat the location. Easy to walk just about anywhere on Michigan Ave, Gold Coast, Millenium Park. Great TravelZoo rate included breakfast. Parking a bit expensive at $49 a night. Cheaper parking within walking distance to hotel. Friendly staff. Got the runaround a bit when trying to connect to internet. As a Wyndham Rewards member, internet should be free. Hotel blamed internet provider, internet provider blamed Wyndham. After 20 minutes, problem solved.	
Aug 30 2009 	Cannot fault this hotel.	Having read some of the other reviews on this site I am quite surprised with some of the negative comments. My girlfriend and I stayed for 4 nights then stayed for a extra 2 for my birthday. The service from all of the hotel staff was Excellent. I have to say that words cannot describe how good the concierge are especially Kaitlyn, if there was an award for best concierge she should win it. We had two different rooms during our stay upgraded to a suite for my birthday. Ok they don't have flat screen tv's but have very comfortable beds and the suite had more room. Both rooms where immaculate.We had lunch most days in the restaurant and the time we stayed they had a lunch special for $10 of which included a main and soft drink. The service in the restaurant is first class especially from Joel could not do enough for us.Please don't be put off staying here by the other reviews our experience I would recommend to anyone. Thanks Wyndham Chicago for a great stay.	
Aug 26 2009 	Fantastic Chicago stay	Our hotel stay was fantastic. Service and the staff was very friendly. The room was very clean. We recommend this hotel. Very good location.	
Aug 23 2009 	Unremarkable	I was wondering how I felt about this hotel and I decided that I didn't feel much of anything. Sometimes when I travel, there is something about a hotel or inn that impresses me. This hotel didn't impress me much. Before this gets to sounding too negative, I should be clear that it didn't impress me in a good or bad way. It was very well situated, my room was very clean and the bellmen were very pleasant. I felt that the restaurant, room service and mini bar were very expensive - even by hotel standards. The fitness center and pool were okay. I reached the concierge once in 4 attempts by phone and on that occasion I was on hold for so long that I hung up. You probably need to speak to the concierge in person in order to avail yourself of their assistance.	
Aug 23 2009 	Hotel is O.K. but Concierge is amazing.	It is a good hotel for $150 a night. Nothing special about it. Only two things stand out.1. Location! Right off the Mag Mile. 2. Staff! Room staff was friendly. Concierge was awesome!!! I must commend them all, but specially Kaitlyn Lawlor. She had it all: charm, speed, and the best memory I've seen. If I were to stay there again, I would ask if she still works there. Her job really made a difference.	
Aug 21 2009 	Not a great experience at the price point	We stayed at the Wyndham Chicago for one night in August. The hotel was busy, so the only rate available was a rather expensive rate. While the room was large, the layout was awkward, and the room was not very clean. The complimentary water bottles on the table had been opened and used, and there were dirty towels in the corner when we checked in. At this price point, we could have stayed at the Four Seasons or the Penninsula and had a much better experience. Average, at best. The location was the best part about the stay.	
Aug 19 2009 	Staff great - rooms need a little work	Our experience at the Wyndham was mixed. The Staff could not have been nicer, particularly at check in where we were upgraded to an executive suite instead of the junior suite we were expecting. However our particular room although very large looked very worn. The upholstery on some of the chairs was torn and faded, the wood on the tables were scratched and dented, – it all looked like it had been purchased in a garage sale. The room was in need of refurbishing. Because of the size of the room, we had two separate AC systems and one of the two units did not work (engineering said it needed a new fan). In general our stay was OK, but it certainly did not have a feeling of luxury – PS, on the same trip we stayed at the downtown Hilton in St. Louis and it was incredible – no comparison in the quality of the rooms even though the Hilton was a standard room and the Wyndham was an executive suite.	
Aug 17 2009 	Great experience comfort and class Wyndham Chicago	Everything what makes a good Hotel: Clean ,beautiful and very comfortable room. Good linen and service at any time that we requested. Nice and warm personnel. Good installations in the Gym. Excellent location. Loved it	
Aug 17 2009 	Worst customer service ever	I recently had an incident at this hotel where they shut down their bar with large groups in house and no notification of their bar hours. In the heart of Chicago on a busy weekend with the Air and Water Show and you couldn't get a drink. The manager on duty Sheila seemed inexperienced as a manager and was clearly not customer oriented which was obvious with her rude demeanor. She told us to go somewhere else. Obviously revenue isn't important to this hotel during a recession nor is good customer service. I have also stayed at this hotel previously where our room wasn't ready, requests for towels and coffee were ignored. They do not measure up the Wyndham standards of service.	
Aug 16 2009 	Another Great Stay at the Wyndham!	Just returned from a three-night stay at the Wyndham. Everything was perfect, from Ismail at the front desk to Dennean (the By Request manager). Our room was wonderful, the daily breakfast included in our package was excellent, my kids had a blast, and the service was friendly. I can't recommend this hotel enough and we're already talking about our next return. You also can't beat the location of this hotel. Yes, there are sirens as the hotel is across the street from a hospital. However, we were on the 16th floor and it was definitely tolerable. It's a city...cities are loud. We dealt with it. Basically, don't let that detour you from staying here. And, if you're not happy with something, don't hesitate to ask. I can honestly say that this is by far the friendliest hotel we've stayed at in Chicago. Every employee we talked to was kind and acted like they truly cared about their job.	
Aug 10 2009 	Great Hotel w/ a Great Price !	We stayed Saturday - Monday Aug 1-3 at the Wyndham in Chicago. It was GREAT. We got a deal through travelzoo for $129 per night upgrade to a jr suite and free breakfast buffet for each morning. This was an amazing deal! We got the top floor corner suite and it was great ! The view was nice and the bed comfy. Can't say enough about the staff. They were great from the restaurant to the conceirge to the front desk. We came in early and our room was not ready so we left our luggage which was no problem. This was our first trip to Chicago and i would recommend taking a map everywhere you go and asking for directions as its a bit confusing becaue the streets are named and not numbered like nyc. The concierge recommended a fabulous restaurant Piccolo Signo for our first night and it was GREAT. moderately priced and you MUST sit outside to get the full affect. primarily italian food. it was really great. The breakfast buffet was very good. all you can eat scrambled eggs, fruit, potatoes, yogurt, oatmeal, cereal, bacon, etc. we had no problems and no complaints at this hotel. I would definately stay again. it is super close to michigan ave and close to other sites. You can hear the noise from the hospital outside but it did not bother us to much. One thing we did for our stay i would not recommend was the Adler Planetarium. Personally, it was not worth the $40 admission for the two of us. The exhibit was soso and we saw the 3D show and i would not reccomend it. Especially for kids. I was bored and I'm not 5 !! Overall though, I recommend Chicago and this hotel highly. Others in our group paid close to $300 per night for the omni which was literally 3 mins walk from the wyndham ! We got a great deal and were treated very nicely at the Wyndham.	
Aug 5 2009 	Great Location and very nice staff. Watch out with that 'Do Not Disturb Sign'	I stayed at the Wyndham for 2 nights after a conference in nearby St.Charles. Overall I liked the hotel. This was my second stay in Chicago and I preferred the location of this hotel over the more expensive one I stayed in last time. It is so close to everything. We literally walked everywhere from this hotel. The staff (especally the bellmen) was nice and the room was modern and clean. One thing that bothered me was that I left the &quot;Do Not Disturb&quot; sign on the door so that they wouldnt come in and clean the room while we were gone. It really wasnt a necessity for us. I dont know who took it upon themselves to remove the sign and clean the room anyways. Had I known this I would have put away my belongings instead of having them lying about. In all fairness to them, I could have called and told them I did not need room service. But, I do the same thing in most hotels I go to and have never had someone remove the sign and come into the room anyways. Also, the next morning we had the sign on the door and a cleaning lady knocked at and tried to open the door anyways. Someone should clarify with the cleaning service what the &quot;Do Not Disturb Sign&quot; means.	
Jul 30 2009 	Not as nice as I thought it would be.	I really had high expectations when booking the Wyndham. The room was too small for us with 2 small kids. There was sand on the chair/ottoman. The bathroom was very clean so that was a plus. The pool was a lot smaller than I figured it would be and the water was freezing cold. The concierge desk had 1 girl working it and it was always overcrowded with people waiting to talk to her so that wasn't very helpful. Parking was more expensive than anticipated also...$49/night. You could save $8 by parking yourself, but goodluck finding a spot. The location was great, 1 block off the Magnificent Mile. All in all, the hotel was &quot;okay&quot; but I didn't think it was fantastic. I would stay there again if we had a discounted rate, but would never stay there for the full-price rate...definitely not worth the money.	
Jul 27 2009 	Great Hotel for a Family	For my first time in Chicago, I did a spreadsheet on hotels for a two night stay and I chose the Wyndham for the price, location and size of suite. Pros: Early check in - we checked in at 1 pmSize of room - 700+ sq foot suite with a door between bedroom and living roomShower pressure and towels were both goodCons:Noise - No fault of Wyndham, but every hour in the bedroom you could hear an ambulance that was about as loud as an alarm clock for about 30 secondsRestaurant - Too fancy and pricey for young kids who do not eat much, but there are about 4 bakeries within a block of the place.We would stay here again and I give it a thumbs up.	
Jul 23 2009 	Thumbs up	Suites were big, clean and comfortable. Great location and would recommend to families traveling with children. Oh by the way the kids like the pool and they have a nice work out facility.	
Jul 22 2009 	Nice hotel	Very nice place. Centrally located to all the Chicago attractions. Wish they had a pool though.	
Jul 19 2009 	Awesome Location and Great Staff	I had the pleasure of staying at the Wyndham for 2 solid weeks and staid at the Wyndham. The staff at this hotel is exceptional. Everyone is friendly and helpful. The concierge was always excellent at offering suggestions and making arrangements. No task was too small. The even called down to The Capital Grille and ordered my desert for me so that it would be ready when I got there. The location is fantastic, centrally located and one block south of Michigan Ave. The rooms were very nice. So you are close to shopping and restaurants but away from the hustle (by only one block). The Caital Grille is connected to the hotel, and there are fantastic restaurants all around and within walking distance. Perfect location. You can even see Lake Michigan from the hotel, and its about a 10 minute walk to get down to the lake and the Navy Pier.	
Jul 17 2009 	Perfect location. Great hotel. Best deal.	The Wyndham in downtown Chicago is the perfect place to stay for someone interested in a downtown location without the astronomical price. The room was very clean and beds comfortable after a long day of walking the city. The staff was great! The breakfast included can not be beat. Fresh berries and fruit and eggs made to order served on the fourth floor corner. Perfect for eating and watching people on the street. Our waiter was wonderful! The pool area is a little on the small side and the hot tub is situated very close to the pool making it a little difficult to relax. This hotel seemed to attract families with young children, so if this isn't your scene, you may want to look elsewhere. The location was a very safe neighborhood, one block from Michigan Ave and easy to access sites by walking or public transport. I will stay here again when I return to Chicago.	
Jul 16 2009 	The staff made the difference	Our twin daughters just turned 14 so we took them to Chicago for a shopping trip on the Miracle Mile and we stayed at the Windham.We booked our room through Travelocity, but were offered an upgrade to a suite for a price when we checked in. It was well worth the money for the extra space. The &quot;suite&quot; wasn't the most impressive I've ever stayed in, but it was nice enough. With so many hotels to choose from, it must be hard/expensive to keep things up-to-date. The TVs for example were a smaller tube type while many places offer larger flat pannels these days.However, it wasn't the room that made our stay so great, it was the staff. Every time we came in we were greeted with large smiles by the desk staff. Our requests for extra towels and pillows were answered promptly and curteously. And Kaitlyn the concierge was extremely helpful and even had a treat sent up to our room when she heard it was the girls' birthday. Whatever they're paying her, they should raise it as she was very good to us and always eager to help us make plans.Definitely a large thumbs up. You might get a slightly better room somewhere else, but you won't find a more curteous staff and that can make all the difference.	
Jul 15 2009 	Good overall	Pros: The hotel was clean &amp; conveniently located near the Magnificent Mile, Navy Pier, &amp; other tourist attractions. The staff were very friendly &amp; helpful.Cons: It is right across the street from Northwestern Hospital (Trauma center) and my family &amp; I were awakened several times a night with ambulance sirens (we were all the way on the 16th floor, but were still awakened by the sirens). Parking is outrageously over-priced! They charged us a daily fee to use the wi-fi!	
Jul 13 2009 	Great Service 	We stayed at the Chicago Wyndham Downtown this past weekend (July 10-12th) due to a wedding reception being held there. From previous reviews I called [--] and spoke to a Mr. Wilson. He was extremely nice said it was only a minute and half walk to the Wyndham (I think it was even less than a minute). Cost was $39 minus a $4 dollar discount so the cost was $35 per day verses $49 at the hotel. You could come and go as much as you wanted. Once we parked the car there was never a need to get it out again everything is within walking distance. The car attendants were very pleasant and helpful. Check in at the Wyndham went very smooth. Earlier I had signed up for their Wyndham Rewards and was able to receive free internet. Again from previous reviews I asked for a room away from the hospital. Aaron at the front desk was extremely accomodating and placed us on the 15th floor away from any hospital noise. The room was very large and the bed extremely comfortable. The bathroom was large with nice amenities. My husband used the workout and pool facilities that were on 4th floor. There was a wide range of equipment. The pool &amp; whirlpool area was small but very clean.For a quick breakfast we went to the Corner Bakery which was kiddie corner from the hotel or else you could go in the opposite direction to Dunkin Donuts. We did eat in the bar area of the hotel one day for lunch. They ran a $10 special that also included a drink. The food was very good and the service was excellent. We had a window table so we could watch all the people walking by. Friday night we ate a Gino's Pizzeria which is only 2 blocks north (corner of Superior &amp; St. Clair). The line formed down the alley but it moved at a pretty good pace. We were told it would be 75 minute wait and but were seated in 40 minutes.Michigan Avenue is only one block west. This hotel is a easy walking distance to all the major stores. Art Fest was going on near the Wrigley Building so that was fun to check out.The wedding reception we attended at the Wyndham was like clock work. The service and food were very good. If you are thinking about doing a reception there as a guest I was very impressed with how organized everything was.	
Jul 13 2009 	Pleasant Stay	Stayed in Wyndham for a little Michigan Ave shopping prior to visiting the University of Chicago on a college road trip. Booked through TravelZoo and got a great rate with a suite upgrade. Great Location. We had a king suite that was spacious and welcoming. The breakfast in the dining room was outstanding. We have not seen that fresh of fruits on a breakfast buffet EVER. Highly recommend. Less than 1 mile from Millineum station. 1 block off Michigan. Great location for us. Bed comfortable. Do not recommend for families, appeared more business and professional oriented.	
Jul 6 2009 	Comfy bed shower pressure and convenient location	The Wyndham Chicago is conveniently located in downtown Chicago. It is easily accessible by the train (CTA) by taking the blue line to the red line, or if you have lots of luggage, then the blue line to a ~$6 cab ride. Michigan Avenue (shopping) is a couple blocks away, and so are some of the major attractions like navy pier, and some of the museums. The one problem we had with the hotel location was its proximity to a hospital. Luckily we noticed the noisy ambulances on our way to check in, so we specifically requested a room on one of the upper floors. We think this worked, as we didn’t hear them in our room.The room was quite spacious – with a very COMFORTABLE king size bed, down comforter, and down pillows. We definitely got a good night’s sleep. The bathroom was large, and nicely decorated with granite counters. One of my pet peeves when travelling is the amount of shower pressure. Happy to say, this one passed the test! I was able to get all the shampoo out of my hair easily?. The room was equipped with internet access (for a fee), TV, mini bar / fridge and free coffee.There was a dining area on the 2nd floor with a reasonably priced menu – everything for $10. However, we didn’t eat there. There are just so many places in downtown Chicago we wanted to try out, and they were just a quick walk downstairs! There were multiple people managing the Concierge desk, so the wait to speak to someone wasn’t long. The Concierge was very knowledgeable and often gave us very specific walking directions / maps to wherever we wanted to go. There was also somewhere to leave your luggage on the 1st floor. We used this on the way in and out as our flight times did not match the check in time of 3:30p and check out of 11:00a.All in all, we really enjoyed our stay. The bed was extremely comfortable, and the shower had lots of pressure. We were in the heart of everything we wanted to see, yet not directly in the midst of the tourists – for a very reasonable price. We would definitely stay there again.	
Jun 21 2009 	A true pleasure :)	Wanting to stay in the Michigan Mile area for my first time Chicago visitor friend, I debated between this property and several others near the Magnificent Mile...including the Allerton, the Four Points Sheraton and the Courtyard Marriott. I am so pleased with my decision to stay at the Wyndham. Booking on the Wyndham website offered me the best rate. Check in couldn't have been more efficient and smooth. I was offered an upgrade to a Corner Suite for $30 extra a nite. I wanted to see the difference, so at first I declined. The standard room I was given was nice, and clean and well appointed. Had it been just me traveling, it might have been ok. The view was not spectacular in this room as I guess many on that side of the hotel are since they directly face a 16 story wall next door. Like I said, for the business traveler or someone who doesn't mind that view, it would have been just fine.I wanted to have a lil more room and a great view for my first time guest, so I opted for the suite. I can honestly say this was the best $30 I spent all weekend. (per nite). It made ALL the DIFFERENCE. The room was larger by about 100 sq feet or more and the view from 4 huge windows was great. Just what we needed.The hotel itself was very quiet all weekend and the staff and housekeeping never bothered us at all. The bathrooms were all marble and very updated and also had a full size tub too.I am reaching to find ANY vice, but the only one that I can account for is the Northwestern Hospital across the street. The &quot;almost every 10 minute&quot; ambulance arrivals were annoying at first but can't make a dent in the overall enjoyment of our stay. But this, of course, is not the fault of the hotel, so they still get top marks from me.The trick is, get a high floor room, and these sirens may fade a tad.Across the street, what luck! A Corner Bakery ...grab breakfast and then hit the town!Do your homework, but for me, this will be my choice for a repeat visit to the Windy City.Thanks Wyndham!	
Jun 15 2009 	Very nice...great place to relax after a hard day of being a tourist!	We had a wonderful stay at the Wyndham Chicago for two days in June. The room was clean and very comfortable, and it was great to return to our hotel and enjoy the sauna, steam room, hot tub and pool next to the fitness center. Great hotel!	
Jun 13 2009 	Great place to stay in Chicago	We've been to Chicago several times but this was our first stay at the Wyndham. The room rate during spring break was under $100 which was awesome. We loved the location being so close to Michigan Ave. We were allowed to upgrade our room upon check-in and were even given the lower online rate. We needed a roll away bed which was given to us at no charge. The corner king room that we had was very spacious for a family of 3. The concierge was very helpful in recommending places for lunch. Overall, the staff were very gracious. The hotel bar was very comfortable for relaxing after a day of shopping. I think this will be our hotel of choice for future trips to Chicago.	
May 27 2009 	Classy but Affordable	I stayed here before and still like it. The lobby, hallways, and rooms are all nicely furnished and decorated. The staff especially is worth returning for... the employees I dealt with were all very nice, efficient, and accommodating. I couldn't figure out how to set the clock, and my kids weren't with me to do it for me, so the hotel promptly sent up the engineer... who took care of the problem. He also turned off the alarm next door (I think they must have had a brief power outage due to thunderstorms.) I had a room (1609) on the next to top floor, with a pretty good view for this hotel - other buildings in downtown Chicago. The room was nice enough, although they still have the old style TVs. I would have liked HDTV for the NBA playoffs. I'm also not crazy about the single cup coffee makers. The two pods they provide equal two small cups of coffee in the morning. I need more. Other than that, the room was fine... the bed was comfortable, there were sufficient outlets, and an armchair and hassock to relax on.I like having Wyndham by Request, which gives me (my choice) two bottles of Coke, two bottles of water, and a bag of mixed nuts... all waiting on my desk for my arrival the first day.Room service for dinner was very disappointing this time... almost inedible. I had the same meal that I enjoyed immensely back in January (braised boneless short ribs on noodles, with an awful topping of horseradish creme fraiche). I wonder if maybe they changed management or cooks in the restaurant.It sounds like I'm complaining a lot, but I would definitely stay here again. It's very convenient to downtown Chicago, and a genuinely nice place to stay.This is a classy hotel, but an affordable one.	
May 17 2009 	Good Location Clean Rooms Decent Value	We liked this Wyndam for its location and clean, updated rooms. You are two blocks from Crate and Barrell on Michigan/Erie and 6 blocks from Lake Michigan. There is a nice lobby on the 2nd floor as well. The rooms are well appointed with all you would expect from a 4 star hotel. Our king room was clean and comfortable. Our only beef was that there was a buzzing sound which is pretty common in these older Chicago buildings. It sounded like someone was showering or running the a/c the entire time. We asked housekeeping and they said the hotel could not fix it. So don't expect an entirely sound proof room.Overall, a good choice for downtown Chicago.	
May 16 2009 	Solid Performer	Wife and I stayed for one night--everything we expected. Room was comfortable and in good shape. Bathroom was well appointed. Bar was nice. Nothing really spectacular but more than met our needs. Light sleepers may not like location due to frequent sirens from ambulances going to Northwestern Hospital located across the street, otherwise the location is excellent. Would definitely stay here again especially for less than $130 a night.	
Apr 17 2009 	The "Faux W" is the next best thing	When I go to Chicago I like to stay at the W Lakeshore and on one trip the hotel was full so I booked at the Wyndham. I joked with friends that I was staying at the &quot;faux W&quot;. I must say I was very happy with the Wyndham and would stay here again.Pros: Staff and Concierge were very knowledgeable about nightlife and restaurants in Chicago. The staff was also very friendly and willing to help. Rooms and beds were huge. Perfect location -- A two minute walk to Michigan Ave and close to Gold Coast, Rush Street, Lake Michigan. Cons: For young singles this is not a &quot;scene&quot; with a great bar or restaurant.	
Apr 11 2009 	Fantastic	Took my son for his first trip to a big city-all I can say is I could not believe how friendly and helpful everyone was. Needed to leave luggage before check in and after check out-we used amtrak, no problem. Needed directions for everything concierge (young lady with beautiful smile) could not have been more helpful and we asked a lot of questions.Room was large and comfortable and clean. Will stay again when we come back.	
Apr 1 2009 	Great location  but uncomfortable beds.	Overall, the hotel was nice and clean with good service. The location was fantastic-right next to North Michigan Ave. (the magnificent mile) and all it's fabulous shops. The pool was rather small, but good enough to keep our son happy. As far as parking-the nearby parking garage is much cheaper than valet at thirty-four dollars per night. On the bad side, the view was the side of a building , but it didn't matter to us since we didn't spend much time in the room. The room was small and it was a bit noisy due to the sirens due to the nearby hospital. The worst thing was the quality of the mattresses. My husband and I did not sleep well and woke up with neck and backaches. If it weren't for the uncomfortable beds, I would rate this hotel a 4.	
