	Great Hotel downtown	Very conveniet to downtow. The Hotel is quite, clean and confortable with a big lcd tv. The hotel park cost a little bit much that other solutions, but very convenient. For breakfast there is a Starbucks very close to the hotel.	
Oct 9 2009 	Great location Good Value	We were pleased. The location was great for walking to Grant Park, Millennium Park and museums. The shuttle service was a pleasant surprise and came in handy. Rooms were small, but comfy with better than average beds. The airy pool area (with a view of the lake) really came in handy for down time, games, reading and even swimming. The staff was friendly and helpful. We would stay there again.	
Oct 8 2009 	Nice Hotel great price wonderful locale	Close to a lot of attractions, comfy room, would stay again.Employees were helpful. The price was the cheapest compared to other hotels in that area. Hotel is old, but remodeled. Beds were very comfortableWould recommend to a friend	
Sep 30 2009 	have stayed here 3 times  wouldnt stay anywhere else when we come to Chicago	this coming Nov will be our 4th time , we love this hotel, staff so friendly and helpful, we got free upgrade last year suite was gorgeous great view,, shuttle bus the best , drivers very helpful and friendly, restaurant staff same very condiderate to our Irish ways as 2 irish travellers to the essex,, the park grill down the road we ate there thanksgiving last year, it was beautiful,,, def would recomend this hotel.thank you essex inn,	
Sep 28 2009 	Never again	I bought 3 night stay at a PBS auction and paid $250+/night (with tickets to John Hancock observatory) and was really looking forward to our stay.1. No heat - we are Floridians and it was warmer outside. The hotel is either on a/c or heat and you have no choice. Mid-September they were still on a/c.2. Not one piece of paper of information in our room about the hotel, restaurants, room service, Chicago area, tv channels. Nothing.3. Last morning maid knocked on room at 8:05am - ready to clean our room. I guess word got around about the tips I've been leaving .	
Sep 17 2009 	Will stay here again - great location	We had a great view of Grant Park. The weekend we were there, there was so much going on. A triathlon, festival....right across the street. Close to the museums, the lake....we were there to move a friend's son into college and the whole area made it a lot of fun. The staff was friendly and helpful too.We will definitely stay there on our next Chicago visit!	
Sep 14 2009 	Had a fantastic two weeks	I was lucky enough to win flights to Chicago with AA . Had to now find a hotel, Because I was travelling with my 17 yr old daughter I thought it would be good to have a pool. The pool area is good and my husband loved the gym.From start to finish we had an excellent stay I read in other reviews that staff were not very helpful I found every member of staff to be more than helpful. We ate in the restaurant and found something for everyone and the service was excellent. Our waitress even gave me boiling water for my tea. Americans only seem to use luke warm water maybe because they don't drink tea . Our room was pretty small I would have expected more hanging space. but we managed and it was clean . The other bonus was the launderette I got all my washing done for $5 before I left saved all that washing when I got home The hotel is away from Magnifecent mile but hotel offers a free shuttle service every hour. We never used this because we where there for two weeks thought it better to buy a bus pass that can also be used on the trains 7 days $23 3 days $14 great value as it cost $2.25 for each bus journey. Grant park and Millenium park just across the road. I found Chicago more expensive than other places in the USA so didn't do much shopping.  We went for a lovely meal in Tavern on the Park total cost for 3 $160  Try Bennigans a few stops away from hotel get of the bus at Madison same meal for 3 plus dessert $90  Also we had a nice meal in Elephant and Castle on State St down towards the river We went to see the Jersey Boys (Frankie Valli and the four seasons life story) was very good Tommy Guns garage was a fun night out . It takes you back to the roaring twenties and includes 3 course meal $60 -$75 ppWrigleyfield was a good night out we went to see Chicago Cubs.We also had a meal before the game prices are much better around there. The zoo at lincoln park is a great day out and unlike most things in Chicago it's freeWe booked a Chicago greeter she was great and gave us so much information and like the zoo this is free Navy Pier is a lovely day out especially if you have young children We had a buffet lunch in the signature room in the John Hancock building this is situated on the 96 floor from 11 to 2 midweek and only cost a few dollars more than going to the observatory tower The views are amazingThe boat trip on the river are really good and give lots of information All in all an excellent holiday	
Aug 31 2009 	Nice hotel for the price	We really liked staying in this hotel. It was very nicely taken care of and the decor was great! We easily walked to the Shedd from the hotel. We also walked down to Millenium Park with little effort. Beautiful view of Grant Park! The only thing that I have to say that's negative is it took FOREVER to get an elevator. We were waiting for a shuttle to take us to O'Hare and we left our room 15 minutes early in order to check out and get out front. After waiting for the elevator for 10 minutes, we ended up carrying our baggage down the stairs (we stayed on the 6th floor!). They only had 2 small elevators available to guests. Everything else was great though!	
Aug 30 2009 	Friendly Helpful Staff Clean Hotel Close to all the attractions.	We would stay at the Essex again. Great pool for the kids and wonderful workout area for active adults. April at the front desk was great. The garage staff was very courteous and helpful. We would recommend this hotel to our friends and family.	
Aug 28 2009 	Walking distance to Millenium Park and Museum Campus-good value $	This is one of the smaller hotels on south Michigan Ave. There are swankier hotels in the area. Renovated rooms (smallish) and furniture are top shelf (very good). Hotel itself is a little tired looking but clean. Great location on the south end of Grant Park. Our south facing room had a nice view of Lake Michigan and the museums. They have a large enclosed pool on the fourth floor deck. Would be great for anyone and especially for kids. An outdoor patio on the pool deck is directly above Michigan Ave. On a nice night you could bring a bottle of wine and enjoy the sounds of the city and park below. Outdoor seating on the street level bar and restaurant too. Be warned though this location is on the far south end of the park and if you were interested in &quot;the magnificent mile&quot; shopping on north Michigan Ave you would be a mile or two away. That said this is a nice, relatively quiet end of Grant Park and the Museums are short stroll away. This is a really good value relative to other hotels in the area. The Essex Inn neon sign is an icon on the Michigan Ave streetscape. I'd stay there again without hesitation.	
Aug 24 2009	Good location	Good location on southern end of Magnificant Mile. Bus stop right outside of hotel. Rooms and corridors in particular are quite tired looking. Could do with redectoration in a more vibrant colour. Beds were comfortable but must be the smallest bathroom sink ever! Odd policy of charging a US$ 75.00 holding fee incase of any &quot;damage&quot;. Unusual in having to pay for left luggage. Didn't eat in the hotel as the bar and restaurant both lacked atmosphere. Internet use is expensive but flight check in is free although when we were there the printer did not work.	
Aug 10 2009 	Mid-range hotel charging big city prices	Great location: the hotel is situated directly opposite the city's impressive Grant Park. Alternatively, head south on foot up Michigan Avenue for 30 minutes and you'll arrive at The Magnificent Mile. Our family room was clean and well-appointed although I was disappointed there was no en suite facility. Excellent, comfortable beds. The bar and restaurant lacked atmosphere and the breakfast service was disappointing (e.g one choice of cereal, strange under-cooked hash browns). I didn't have my laptop so had to pay $6 for just 15 minutes internet access on one of the computer work stations in reception - a rip-off.	
Aug 4 2009 	Ideal hotel for visiting Chicago's attraction	My wife and I chose Chicago to celebrate our 10th anniversary. We found the Essex Inn to be far better than previous reviews. The standard room was a reasonable size with functional air conditioning, clean bathroom and comfortable twin beds.The reception staff were very helpful and always willing to offer advice. The conciege was also useful.Previous reviews had criticised the Savoy bar. We found this to be unjustified. The food was very good quality and the portioned were big. The home made soup was different each night and delicious. Breakfast was good but time it right (go early) because it can get busy. Previous reviews claimed their price to be high. Compared with other places nearby it was no better or worse.The swimming pool and surrounding area providing a perfect place to rest and relax, with a life guard on duty at all times. We didn't try the gym but it looked well equiped.The Hotel is located about 2 miles from the Wrigley building. We found this to be an advantage as it was a bit quieter and closer to Grant Park, Shedd Aquarium and Museums. There is a bus stop outside the hotel which only costs $2.25 to go downtown.	
Jul 23 2009 	Great location - terrific service	We stayed one night with 3 of our grandchildren. Our plans included the aquarium and this is a wonderful hotel for access to the Museum Campus and Grant Park. We took the South Shore train from Michigan City and it was an easy walk from the 11th St./Roosevelt Rd. stop. We arrived early and our room was ready so we got to drop our bags and begin our adventure. When we returned to the hotel, our boys (aged almost 3 to 11) enjoyed the swimming pool and the outdoor deck on the 4th floor. We were close to the bus stop and also the CTA so it was a breeze to get to Navy Pier, Sears (Willis) Tower, the restaurants we wanted to go to and also a short walk to Millenneum Park. We needed more towels for the 5 of us and within minutes of calling the front desk they were delivered. We had a room on the 14th floor with a view of the Museum Campus, Bears Stadium, and Lake Michigan. There was a mini fridge and a coffeemaker in the beautifully decorated room. The beds were super comfy. It was our 3rd time staying at this hotel and we would go back in a minute.	
Jul 17 2009 	The staff is incredible great location too!	We were so impressed with the staff at the Essex Inn. They consistently went above and beyond to be helpful and welcoming. The desk staff and bell captain were able to answer any question and give suggestions for all kinds of restaurants and activities. Our maid asked each day if there was anything else we needed for our room, did we need more coffee. Even the lifeguards at the pool made us feel welcomed. The hotel is located in an excellent location for all the Chicago highlights, but without all the commercial chain stores and restaurants as further north on Michigan Ave. Very easy access to the bus and subway. The rooms were clean and comfortable. The 4th floor rooftop pool and patio were an excellent place to view the 4th of July fireworks. Grant Park is a block away and the museums are within walking distance. Overall, the Essex Inn is a wonderful place to stay!	
Jun 21 2009 	Atrium pool location and basic amenities were a real plus!	Two 10 yr. olds enjoyed the large pool in the atrium, and adults were able to bring favorite beverage in plastic glasses to tables surrounding pool. Location was central to most forms of transportation and attractions. Our 7th floor room was renovated and pleasant.	
Jun 13 2009 	Great location and nice clean hotel	A very nice modern hotel with good size rooms which were very clean and comfortable. Facilities were very good, with an indoor pool. only there for two nightsbut wished it could have been more. The bar/ restaurant was very friendly, although the food wasn't anything special. Need to go further afield if you want a good meal.	
May 1 2009 	Suprisingly nice! Dont be worried about old reviews this place was redone.	I was worried when I had read some older reviews about this hotel. For the price I paid (under $100 per night!) It seemed too good to be true (or scary) when I booked it. The only other choice even close to the price was a best western, which was also concerning. But even though the outside of the hotel is a little dated, the lobby and rooms were very recently updated and comfortable. The room was not huge, but not small either. The bed was unbelieveably comfy and had nice linens instead of a nasty hotel bedspread. There was a flat screen tv, a mini fridge and a coffee maker. The ony things to note was there is either heat or AC depending on what system is on for the entire hotel, so one night we opened our window at night and closed it in the morning when it cooled down. Also the bathroom sink, although it had a nice big granite top, the basin is strangely small. This hotel was only a $5-$7cab ride to the museum, shedd aquarium and soldier field. The room rate was charged correctly and I wasn't even asked for my AAA card to get the discounted rate. If you are looking for a hilton, there is one right next door, but it is a nice respectable hotel and I was glad I rolled the dice. The best breakfast is at Yolks which 2 block south on Michigan.	
Apr 10 2009 	Did NOT honor confirmed reservation!!!	Very POOR customer service!!!! Besides refusing to honor a confired, in writting, reservation front desk told my wife that a Walgreens drug store was just 3 blocks up Michigan Ave. It was 3/4 of a mile!! With 2 small children, it was a great hardship on our whole family. We woudn't stay there again, even if it was free.	
Apr 7 2009 	Good clean hotel in good location	The Essex is in a great location overlooking Grant Park and the Lake and within walking distance to Shedd Aquarium, Field Museum etc. Not far away either is city center, magnificent mile etc. Public transport options are quite close as well. The hotel itself is clean and tidy, albeit not overly attractive. The room was quite small overall however the fittings and furniture were new and quite nice. Hotel amenities weren't too bad with onsite pool and restaurant. Service from staff wasn't outstanding but they were polite and willing to help. Overall, good value hotel in a good location.	
Apr 1 2009 	Nice	Helpful staff.Handy for all transport.Within walking distance of main locations.Overhead trains on the loop can be a bit noisy at night.Small point: Do they need to charge $1-50 to mind your bags for a few hours after check-out, whiler you kill time, before going to the airport !	
Mar 30 2009 	Nice Hotel at a good price	My family of 6 stayed at the Essex Inn last summer. Overall, it was a very nice hotel. The location on Michigan Avenue was great. Right across from Grant Park, and in walking distance from The Field Museum, the Shedd Aquarium, and other museums. The hotel has a shuttle that took us to Navy Pier and the Magnificent Mile. The employees there are generally friendly, and were very helpful in suggesting family-friendly restaurants, all which were in walking distance. We stayed in a room that had a queen bed in one room, and then 2 double beds in another room. The room was very cramped for 6 people, but we managed. Each part of the room had a big tv, but the only kids channel we could find was Disney. The bathroom was extremely small, and was very cramped. The shower was nice though. The biggest complaint I have about the room is the air-conditioning. It was extremely hard to control the air-conditioning, and it got many of us sick. The pool was good sized, and nice. However, the water was FREEZING, and it made swimming much less enjoyable. The sauna was nice though. We would spend a little bit of time in the freezing pool, and then would go heat up, and repeat the process. I really wish the pool had been warmer, but after you got used to the water, it was fun. Overall, you get a good deal. The price was great.	
Mar 18 2009 	This hotel makes me want to return to Chicago	Our visit to Chicago was at the end of Feb/beginning Mar and unfortunately we hit a cold spell. This was too bad because the Essex is in a fantastic location walking around downtown Chicago and the lake parks and museums and Navy pier etc etc.The front rooms at The Essex have an amazing view of the lake and brandt and millenium parks across the street. Our room was on the corner with complete glass front and south walls!! We had an excellent king bed with down type comforter, lots of pillows, very nice color scheme, flat screen TV and wireless internet. The bathroom is very small but also very elegant. We had a great winter getaway deal so the value for this room was unbelieveable. It is much more expensive in the high seasons. The rooms in the other parts of the hotel would not have the views of the front corners but they would still be nice. The hotel has a big pool and exercise room and shuttle service to local attractions for free - nice touch. The restarount has good food for reasonable prices. There is an irish pub across the street with good food but expensive drinks. Buddy Guys Blues club is 1/2 block with good Cajun food. There are lots of small cafes in the area and hotels with fancy eats too. i would love to stay here again and hope I can find a good deal. We walked as much as we could considering the cold weather (and we are from Saskatchewan!!) but i need to return because Chicago is an excellent destination city with lots to do. Fortunately it is easy and relatively cheap to grab a taxi to get you places in the cold and the 'L' the elevated train system, is very easy to navigate, safe and clean in the downtown area and only $2.25 a ride - a transit card would be even cheaper. The Magnificent Mile shopping area is within short walking distance as are most attractions. We went to second city comedy on the 'L' quick and easy and took a bus to watch the Blackhawks play. Also easy. the new football stadium is right across the park. Something unique - check out the stained glass museum at the Navy Pier - even the teens we saw there were impressed. It costs about $35 - $40 to take a cab 15min from the airport (with tip). At the time of evening we arrived the shuttle service was going to charge us $60 and it was going to take almost 60mins!! Don't buy a round trip on a shuttle from the airport cause it is easy and cheap to get to the airport on the 'L' from local stops or the 'metra' train from union station. If you are good with the metro then it is easy to get most places on the metro and subway.	
Mar 17 2009 	Very nice hotel.	We spent 5 nights in August and the hotel was very nice, it was in a great location near public transportation which we used every day also the pool was very nice, I thought the hotel restaurant was a little over priced and it would have been nice if they had complementary coffee and donuts in the lobby for hotel guests, but over all we enjoyed our stay.	
Mar 11 2009 	Amazing location  5 star rooms and excellent internet connection	The hotel is right on Michigan Ave. which is the main walking street in Chicago , very close walking distance to the Magnificent Mile . Walking distance from Union station and subway stations to Midawy Airport.Overall my stay was perfect. Highly recommended	
Feb 24 2009 	Wow in the city	Essex Inn is a great hotel for a good price. We were in Chicagi mid summer and the temperature was very good. But we were also glad the hotel had a pool (which had flags from all over the world above it!). And to get to Lake Michigan, you only had to cross the park. In this park is also the Buckingham Fountain from the tune of Married with Children. The people at the hotel are helpful and very nice. The Essex Inn is close to a stop of the hop-on-hop-off bus. The subway is a few minutes walk.It's not IN the city centre, but you got the city feeling when you step outside.	
Feb 22 2009 	great time in chicago	my 9 yr old son and I went to chicago for a fun weekend, one must to my son was a pool, I wanted to be downtown near the sights. We found the pool to be very clean and the temperature good, the room was clean and comfortable, the staff very friendly and helpful to both my son and myself, directing us to good food and fun sights, my son said that he wants to come to Chicago often and he feels the only place to stay is at the essex inn. I feel for the price there is not a better choice of lodging in the city.	
Feb 16 2009 	Terrible terrible	This is truly a terrible hotel; only the price and location are good about it. The management is not at all responsive to guests' needs (I was at the front of a long line of guests waiting to check out while the guy behind the desk fumbled on the telephone for several minutes). The room was not cleaned entirely from the previous guests (an old plastic glass of water, used conditioner), a guy who ostensibly worked for the hotel barged into our room to &quot;check if our telephone book was up to date&quot; even though we told him we did not need the phone book, the room was not cleaned until five pm just when I wanted to relax after a long day. Really I could go on. Deeply disappointing.	
Feb 15 2009 	The Worst!	This is the worst hotel I've stayed in in a long time. It's not because of the rooms necessarily, but the service. None of the hotel staff has any idea what customer service means. It's like they are instructed to say no to every customer problem or request. Also, the rooms were not very clean. In my room, for example, they didn't change the shampoo and conditioner after the last person left. I know because it was only 1/4 full. I will never stay here again. I advise you not to either.	
Feb 13 2009 	Very Poor Management! Will Never Stay There Again	We stayed at the Essex Inn Feb 8th and 9th for a Cheer Competition at McCormick Center. We booked through Expedia. After a long afternoon with thirty 10 and 11 year olds we were looking forward to a swim. They girls were so excited to go to the pool only to find out that the pool was inoperable. The temperature of the pool was 57 degrees. You could barely stick your foot in let alone swim and there is no hot tub! The girls were so disappointed. We called the front desk when we got back to our room to complain. At no point did they inform us that there were issues with the pool. We called 3 days prior to check in - no mention of a broken pool. No mention of a broken pool at check in. Management informed us that there was a sign posted at the front desk but at no time could we locate that &quot;so called&quot; note. Managment refused to offer any compensation for their issue!! Continued to say there was nothing they could do. I advised managment there was plenty they could offer......reduction in rate, another night stay another time, discounted parking (which we paid $37). Once again......he stated there was nothing they could do. I got the name of another manager thinking maybe if we called and talked to someone higher up after we returned that SOMEONE would do something. Called first thing Monday morning talked to the superior, Erik, same statement....there is nothing they can do. Continuing complaint he said he would look into it and call back. No return call yet. Tried to call him on Tuesday - he was out of the office for the day. Tried Weds. left a message. It is now Friday and still no return call!BEWARE of the ESSEX INN! They do not take responsibility or offer compensation in any way when the issues are their fault.VERY POOR MANAGEMENt! WILL NEVER STAY THERE AGAIN!	
Feb 4 2009 	Nice but Management NOT flexible	2 PROBLEMS1) One of our party got sick and we wanted to delay our trip another week or two (we had made reservations 2 weeks in advance). Hotels.com would not let us change. I called the Essex and they would not change.2) When we got to the Essex, they gave us a one bed room. Our receipt from Hotels.com says &quot;2 Adults, 2 Children Standard Room/2 double&quot;.The staff and management would not find a double room for us, did not apologize, did not offer money back and put the entire blame on Hotels.com.Hotel was nice, but we were NOT happy that the 4 of us had to stay in a 1 bed room.	
Jan 13 2009	essex inn is great	We when in oct for the Bears game the package is a most. We had geat seats. It wasn't to far of a walk we had great weather.The rooms were nice. We got a suit with a view of the park very nice.We didn't swim in the pool but it was nice size. The front desk was very helpful when we had question about the area. I would stay here anytime and I plan to come back.	
Jan 9 2009	Great Place for visiting the Museum Campus	We stayed at the Chicago's Essex Inn October 23 - 25, 2008. It was a great location for what we had planned. The rooms were clean and recently renovated. No complaints. We had room service one evening and the food was good. We swam in the indoor pool and it was very clean and the water was warm. There is a lifeguard on duty. Grant Park is directly across the street from the hotel. From there we were able to walk to Millennium Park. I highly recommed Millennium Park to see the huge &quot;Bean&quot;. Our trip mainly consisted of visiting the museum campus. We highly recommend purchasing the City Pass if you want to do the museums. Huge savings! We drove to The Museum of Science and Industry which is just a few miles south of the hotel. If you want to take advantage of free parking, do not go into the parking garage which is located under the front entrance. Drive past the museum on Lake Shore Drive and you will see an entrance into the Science Center. Park here! It saved us $15. The museum is great and plan on spending the entire day. The U-5 Sub is a must see along with the tour. The Baby Chick Hatchery is fun to watch too! They also had live science experiments happening throughout the museum. The Hancock Observatory was fun. With the city pass, it offers an audio tour of the city. They offer one for adults and children. Our 10 year old daughter really enjoyed it. Adler Planetarium was nice, but it won't take the entire day. At least we did not think so.Shedd Aquarium was also nice. When we were there, the Oceanarium was closed for renovations. With that being closed we did not use up an entire day either. However, when that reopens, I'm sure it will be very nice. When we went to the Adler Planetarium an Shedd's Aquarium we took a taxi as it would have cost us the same to take the car in/out (with tipping), plus parking at the museums. We also visited The American Girl store at Watertower. Very nice and we had dinner too. It's expensive, but our daughter enjoyed it and the food was good.We ate at Ed Debevic's, fun place to go.All and all, we had a great time and felt like we got the most for our money.	
Jan 8 2009 	Very happy with Essex	The Essex Inn provided very pleasant accomodation in a good location. We were there at Christmas time and the foyer was very inviting with a most pleasing cinnamon and cloves potpouri in the air. The rooms were very clean with lovely fresh white bed linen and towels. Fridge and coffee maker were available which was good. The bathroom was very clean with neutral tones and a good shower head. Pictures posted on the internet were exact, no hidden nasties. Our initial room was located near the lift which was not ideal but management were more than happy to move us. A little train noise at night from the EL may irritate the traveller who requires complete quiet for sleeping. Pool and gym facilities good and well maintained. All staff very happy to obligeGood bus service down to Magnificent Mile,close to many wonderful galleries and concert venues, Grant Park ,Millenium Park and lots more. Wouldn,t hesitate to stay again. Only negative was the rather slow lifts.	
Dec 12 2008	Great for Conferences @ HIlton	I attended a conference at the Hilton literally 500 ft away and couldn't be happier to pay a lot less with decent room and service. I'd definitely stay again	
Dec 11 2008 	Nice Hotel	Stayed in this hotel over Thanksgiving 2008 for 5 nights. Due to a lack of [or incorrect] communication between themselves and the online booking site, the triple room that we booked had only 2 beds [I had specifically asked for 3 and even paid extra to 'upgrade' from twin to triple] so we paid [again!] to upgrate to one of their junior suites. I was going to pay for the wireless internet, but this came free with this room - and the service/connection was excellent. The rooms were lovely, nice views [although disappointingly in our room, to the side of the hotel and not the front] Very clean, although the bathroom was the smallest I have ever seen in a hotel!!!!! I was on the pull out couch and all that was supplied as bedding here was one thin nylon blanket - it was sufficient and I guess they would have given me more if I had asked. Reception was very helpful in recommendations on things to do and also recommended a restaurant to us one night in Chinatown which turned out to be really nice. We ate breakfast in their little diner every morning of our stay. The food was lovely and the menu quite extensive and reasonable. We met about 4/5 of the diner staff. 3 of them were lovely and chatty and the other 2 were really grumpy!!The location is fine, in terms of its proximity to the city centre - the views of the lake and park make up for the fact that were were not bang in the middle of the city. It's very handy for the aquarium, the park and the lakeshore. Also number 6 bus stop on the Tour Bus route is right outside the door. The only negative thing I would say is there are a lot of people hanging around the area that will come up to you looking for money, so as long as you don't loiter around the front of the hotel you will be fine!!!	
