	hotel and a lot of history	hilton downtown, it has a lot of history, and a few film have been made here, when it was build it was the largest hotel in the world ,it was called the stevens.	
Sep 24 2009 	Palatial!	This was our first hotel in the US (at the start of our Route 66 tour) and had been pre-booked in the UK. It was expensive (it is far cheaper to book whilst in the States than from the UK). Parking was on site, a multi-storey affair, but extremely expensive - about $49 for 24 hours. The overall feel of the hotel was good, but it is huge and somewhat tired - you wouldn't call it cosy. Our room was big and we had two bathrooms (first time ever!!) which we thought was rather excessive, but actually enjoyed having!! Not particulary great views from our room, and we had one of the better ones. As the hotel dates from 1920s (?) it had elegance and beauty, but the hotel is very big and it does need a bit of updating. On saying that, we really enjoyed staying there and it is in a good position to walk to the Sears Tower (which is now the Willis Tower) and to a lot of attractions. We didn't need to use our car whilst staying in Chicago. Staff were helpful. Didn't eat breakfast there - too expensive. If you turn to the left when exiting from main entrance, you can find places to eat not too far away. (Unfortunately on our first night we turned the other way and couldn't find anything and we were tired and hungry!!)Chicago was fantastic; the skyline incredible. Worth going up the tower and having a trip on the river / lake.We bought a sat-nav to help us find our way around and we are glad that we did. It was as cheap to buy one as to hire one. It was the start of Route 66 and we did struggle to find the beginning and ended up just getting out of the city and picking up the route at Joliet! Doh!	
Sep 23 2009 	Great Location.	We stayed at the Hilton Chicago for our first night on our Route 66 trip. You could tell from the fittings and fixtures that this was a hotel designed and built during a grand era. Rooms were spacious (we had 2 bathrooms in ours on the 24th floor). Hotel was in a great location close to the lake and ideal for the start of Route 66. Parking was expensive but that is usually the case for prime big city locations.	
Sep 21 2009 	Luxurious Stay in a Great Location	We spent four nights at the Hilton while on a business trip. We took the Orange Line from Midway Airport, and it is five blocks or so to schlep your luggage. Check-in was fast and friendly, and we quickly arrived at our room on the 20th floor. We were upgraded to a king bed with two bathrooms. It was probably the largest room I have ever stayed in, and we will be forever spoiled by having two bathrooms. One bathroom was quite large and the other was an average size for a hotel. The water in the showers was hot and plentiful, and the towels were large and fluffy. For the most part the room was pretty quiet, with only the occasional water noise being heard. EXCEPT - the El train is only about a block away. You will hear it in your room, especially if you are on the back side of the hotel. The hotel elevators are plentiful and quick, so we never had to wait long despite the conventions being held in the building. We did not eat at the Hilton, but we did enjoy drinks and some wonderful Irish music at the hotel's restaurant/bar, Kitty O'Sheas. This is a beautiful hotel, and we found the location convenient for walking to the nearby parks and attractions. Biggest beef? The charge for internet service is ridiculous - anywhere from $14.99-$19.99 per 24 hour time period depending on the speed you desire. And be aware that the charge is per computer. My husband and I both had our laptops, but only the one who signed up for the service can use it. I can't believe you can buy a dollar cup of coffee at McDonalds and use the internet for free, but you can't have free internet when you pay over $200 per night for a hotel room. It's robbery!	
Sep 13 2009 	Some Disappointments But Better Than Average	My husband and I spent a long weekend in Chicago, and booked a room at the Hilton at the recommendation of a friend. We were lucky to get a deal online that included discounted self-parking; otherwise, I think we would have kept looking elsewhere for a better price.The staff was friendly and professional and got us checked in quickly, letting us know that if we wanted a lakeside room (as I had mentioned in my online reservation request), it would cost an additional $25 per night. I passed on the lakeside room, as it would have essentially negated our parking discount. As it was, we got a south-facing room on the 11th floor with a view of the Essex hotel next door: which is to say, absolutely no view at all. Other minor disappointments included a lack of a refrigerator, a small bathroom, and neighboring toilet-flushes / waterpipe noise loud enough to wake us at night. Also, we would have enjoyed winding down at night with some television, except that our favorite cable channels (Food Network, Travel Channel, Discovery, other &quot;geek channels&quot;) weren't available at the Hilton.On the plus side, the bed was comfortable, the AC had a digital thermostat (and the cleaning staff didn't readjust the temperature, which was appreciated), and the halls were relatively quiet. The elevators to the 11th floor were quick, and each had a tiny television showing CNN. We stopped into Kitty O'Shea's on Saturday and Sunday night for dessert and drinks. The live Irish duo Saturday night added to the ambiance, which we enjoyed.The hotel is relatively close to public transportation -- in particular, the Harrison exit for the Red Line. My husband and I didn't feel uncomfortable walking around the neighborhood at night, whether to get back from the train station or to just wander around and enjoy the city.Overall, this was a pleasant enough stay, but I think we'll look for something a little more personal and less pricey next time, even if it means staying a few stops outside of downtown.	
Sep 9 2009 	Good Value for Location	Our family spent a long weekend at this premium hotel. It is a beautiful historic hotel with staff that is professional and helpful. Our partial lake view room had two full baths. For our family of four, two &quot;historic sized&quot; baths were far better than having one large modern bath. Overall the room was clean and well maintained.We chose not to eat at the hotel, though there was a Starbucks nearby, there were very few other places to eat within walking distance. There is also a good size lap pool which we enjoyed as well.We used transit systems as our primary means of transportation. The Harrison (red-line) red-line station was a block behind the hotel and provided quick access to downtown. We also appreciated the express bus (CTA #10) to the Hyde Park attractions that left from across the street. To get to the Harrison station you will pass a college dorm so you may come across students being students. Another option is to catch a bus (CTA #3) to downtown from across the street.We found the people (and students) of Chicago to be very friendly and willing to offer advice and directions. We look forward to our visit to Chicago.	
Sep 6 2009 	Nice hotel but money-grabbing	We stayed here for three nights before we started our Route 66 Road Trip.Upon arrival at the hotel the self parking is blocked off so I ask a jumped up bell boy with a stupid hat if I can park as I have a reservation, the very rude chap virtually barks at me that it is full and have to use concierge parking, I don’t like concierge parking as not only is it over priced $53 per day in this case, I am not lazy and am able to drive into a car park myself. When I pull up to the concierge I ask if I can do self parking and he says ok, no problem. The jumped up bell boy then shouts at the guy and says it is concierge only and really talks down to him. So I have to hand over my keys and pay the scandalous fee. It was blatant that there was room in self parking and this was just another way of squeezing money out of their customers, as all the reviews on trip advisor states.Check in was swift and they upgraded my room because I am a Hilton HHonors member. Room was nice with comfortable beds, two bathrooms, plenty of closet space and clean. We even got vouchers to get complementary bottled water.The hotel is in a great location right on Michigan Avenue and a few minutes walk from the Millennium Park.If it wasn’t for the unpleasant experience during arrival I would have given this hotel a higher rating.	
Aug 30 2009 	Nothing special...	I stayed here for one night. Check in/out was fast as I belong to Hilton Honors Club, which I'd recommend just to make checking in/out less of a hassle. We had a room on a high floor that faced west, there isn't much to see that far south on Michigan Ave unless you are facing east towards the lake. The room had two queen beds and two bathrooms. Neither bathroom was big enough to swing a cat in... and both were dated and showed signs of wear and tear with peeling wall paper, dull stained sinks and tarnished fixtures. We didn't eat in the hotel so can't comment on that area. We did use the indoor pool and it was fine.The location is a little bit too far south and out of the way for some sightseeing. It is very close to the Art Institute and Milleninm Park and of course Lake Michigan is just a few blocks east. The area directly west of the hotel feels a little dicey and isn't somewhere that I'd walk alone after nightfall.	
Aug 25 2009 	Great hotel but fairly expensive	this hotel was very beautiful on the inside. the lobby was big and really beautiful. the rooms were the best part. i was with a friend and they had 2 double beds and 2 bathrooms. ive never been in a hotel with two bathrooms in one room before!! the location was ok. it was beside state street but i would rather stay on magnificent mile next time as theres better shopping up that way. they do however provide a free shuttle to magnificent mile everyday which saves you getting a bus. the one thing that goes against this hotel is the price. its very very expensive. was working out at aroun 200 euros a night. if you can afford it then its a great hotel but for that kind of money you could stay on the magnificent mile which would be a better location.	
Aug 24 2009 	There are so many great hotels why stay at the Hilton Chicago?	The lobby was beautiful, as was the ballroom. Check in was very slow, although the staff was courteous and friendly. I had looked at the rooms on line and was greatly disappointed when I opened the door. It was small and crowded with furniture (although no easy chair in ours). When I opened the bathroom door, it hit the toilet. I've had bigger bathrooms in a Motel 6. The carpet could stand replacing and the bathroom tile grout could use some professional work. The bathrooms have been well-covered by others on here. We had a &quot;commanding view&quot; of the next tower of the Hilton, a few feet away. I had requested extra pillows, which were not there. There was no coffee or tea in our room. I couldn't get an answer from the front desk or housekeeping, so I called the hotel operator. She had someone bring more than enough up in just a few minutes. If you like the news, sports, and Hilton/ Chicago channels (and a few others) the television will be adequate. We couldn't find a telephone book or any other kind of directory (i.e.: churches; hospitals, etc). The air conditioning system was apparently right outside our window and ran constantly. I will say the air conditioning our room worked very well. As other people mentioned, the internet was too expensive. I found the bed too soft. The restaurants were overpriced, but we did eat at Kitty O'Shea's one night. I had potato leak soup($6.00) and my partner had Shepherd's Pie ($13.00). We've eaten both all over the UK and didn't recognize either dish. The Shepherd's Pie was especially bad and seemed more like a canned beef soup (light on the beef) with mashed potatoes on top. There was no discernable seasoning in either dish. The service was slow, but friendly. We had trouble several times with our room key not working (I heard other people expressing the same thing). The front desk assured us that it was because we had it near credit cards, cellphones or something else with a magnetic strip. What we found was the keys worked sometimes and not others. The cleaning staff was friendly and accommodating. Self-parking was $43 a night; valet parking $55 a night. Just down the street hotel valet parking was $32. The room service menu showed prices increased by $1.00-$2.00 per item, then an 18% tax, a 3%tax, and a $4.50 room service charge! So a bowl of oatmeal at $8 a bowl room service..... The one Concierge person I talked to was not friendly and I seemed to be bothering her. There just seems to be a lack of attention to detail in many areas. One upside is that Buddy Guy's Legends is only a block or so away.For my money, I would go back to the Fairmont.	
Aug 17 2009 	They'll nickel and dime you for everything possible	The Hilton Chicago is a beautiful, historic hotel located across the street from Grant Park. The meeting space is stunning, full of ornate details. My room was average, but I was unprepared for the extra costs associated with my stay. First, the fitness center has a charge of $15/day to use cardio or weights. Next, internet for 24-hours will run you $19.95. Also, if you need a late check-out they'll charge you $50. In order to avoid this fee, I checked out and then left my bags at the baggage storage. Guess what? A $2 per bag fee. I also had a problem with the lock on my door - I came back from dinner to find my door ajar. When I followed up with Security, they were professional and came up to my room to inspect. However there was no follow up from the hotel regarding my safety, no offer to change the locks, no offer to move me to a different room. I've been to Chicago many times and I would definitely stay at another hotel that won't charge me an arm and a leg for &quot;extras.&quot;	
Aug 17 2009 	Avoid This Hotel If You're Paying With Your Own Dime	The only saving grace about this hotel is its great location. It's strategically located on Michigan Avenue, convenient to the &quot;L&quot; and other public transportation, and within walking distance to most major tourist spots. Other than location, it has little going for it and I would only stay there is someone else were paying the bill - as was our case. The hotel is in desperate need of a makeover: the lobby is dark and dank, public areas are drably furnished, and the rooms are tiny and compact. The two windows in the room overlooked the building next door; there was no view. We inspected its sister hotel, the Palmer House Hilton, and found it too to have little to make the guest feel welcome. Both hotels appeared clean, but it was difficult to tell what was below the surface. I know from checking Chicago hotel rates frequently that we could have done much better price-wise if we had been paying the bill rather than the conglomerate that did pay.	
Aug 14 2009 	Chicago Hilton on Michigan Avenue is Fantastic	Just got back today from a week trip at the Chicago Hilton. The place is absolutely beautiful. It's history includes a ballroom from the 1940's that most US Presidents visited. Even if you don't stay here - go see it if your in Chicago. All the staff was courteous. The rooms were plush with comfortable bedding. Each day your invited to extra tea service and turn down - what a treat? The aquatic center is $18/day a little pricey - so I skipped it and walked the city for exercise. It's across the street from Grant park and you can walk to the lakefront in less than 5 minutes. If your looking for a great place to eat - Wildfire Restaurant and Martini Bar - 1/2 price apps at happy hour - nice relaxing setting - service was fantastic. There is a 9 floor (yes 9) Macy's within walking distance, art galleries, and many restaurants. Words of Caution: Airport Express from Midway is great from the airport, but coming back (after we pre-paid for a round trip) - they left us sitting for an hour and 15 minutes waiting for other passengers to fill the van - my advise - get a good taxi driver to take care of you for the week and to the airport (We got Henry - a local).	
Aug 12 2009 	Great hotel in a great location!	My boyfriend and I stayed in this hotel for our first vacation away together. We stayed for a week. Check-in was not till 3:00, so we decided to kill time by wandering through O'Hare and then taking the blue line to the Loop (Jackson) then walking to the hotel. We got lost (our fault) but if your compass works (ours didn't) it shouldn't be too far of a walk, even with suitcases. The check-in process was quick and the staff was friendly to us (we are both 20 but we look closer to 16, so we were happy to be treated like adults). We ended up arriving a little early anyway (around 2:30) and they let us have our room.The room was small-ish but there was enough room for two people and suitcases.The one thing I did not like about the bathroom is the industrial-type flusher on the toilet; I prefer my hotel to have a homey feel so I did not like the public washroom-style toilet (the toilet worked fine though). The bathroom had enough counter space for both of us. The bathroom did not, however, have a fan, so the mirror was always foggy after a shower. The shower was big enough, and had a good waterflow. Also, there was enough space on the edge of the tub and in the soap holders, etc. for all of our shower stuff (and if there wasn't, the ledge of the counter is right outside the shower).The only time we could hear the room next to us was in the bathroom, so that was fine. However, on the Friday we were there, there was a lot of noise in the hallway, and some drunk person was knocking on our door and trying to get in. Also, the people in that room were smoking (I believed it was a non-smoking floor). We could smell it in the hallway but after a few days the smell crept into our room. The staff we dealt with for these issues was friendly and accommodating (the lady at the front desk walked us over to the security kiosk about the noise complaint). We had hoped that the mini-bar would have a fridge in it, but it was just a cabinet with munchies (we were not even offered the key but we could see in it). Also, the bottled water in the room was $7, and the vitamin water was $5. Needless to say, we drank tap water, but there are Walgreens and CVS everywhere so you could go buy 24x500mL bottles for probably $10. So whatever you do, do not drink that water provided in the room! The room service menu was ridiculously expensive, and they add a $4.50 in-room dining charge, so if you wanted a sandwich it would cost you more than $20! We did not order, but I do wonder what a $20 club sandwich tastes like.The location was awesome. We attended Lollapalooza festival in Grant Park, and the hotel was close enough that we could go back to use the bathroom (and sit in somewhere air-conditioned) and get back in less than 20 mins (and not have to use the porta-potties). We timed our walk to the Hancock Centre and it was about 40 mins, but it's very easy to catch a bus or a train to the Magnificent Mile.The concierge lady we talked to was useless. We asked a simple question (when do we have to leave the hotel to be at O'Hare for 7:45?) and she kept telling us to leave 2 hours before our flight (which was at 9:45). We kept trying to explain that we had an international flight and had to BE there 2 hours early. Eventually she said it could take &quot;20 mins to an hour&quot; so we decided to catch our cab around 6:30 just to be safe. We ended up at the airport with about 2.5 hours to spare (but O'Hare is big so we shopped and explored). The cab ride back cost us about $45 after tip and took about 1/2 hour-45 mins.Overall, I liked this hotel, and I might stay here again if I can get a good deal.	
Aug 2 2009 	special chicago hilton experience	My 13 year old son and I went to see the yankees lose to the sox. The hotel was so clean and stately, I was very pleasantly surprised as was my son. The service at all stations was right on. The concierge was helpful late on a Friday and early on a Saturday. With their help tickets were obtained. I will remember this concierge service for a long time as it was that attentive. Food was outstanding. Location is in the Loop on Michigan and very close to the Museums and the Lake. Room appeared oversized and my critical 13 year old son thought the whole thing was cool(my word, not his). Great pool and excerise room(I coildn't believe the quality, including the running track for cold weather)	
Aug 2 2009 	Fantastic	We arrived on Sunday night the 17th of May from Sydney,Australia where we live, to go back home to Edinburgh,Scotland to visit family and friends.United lost our luggage between LA and Chicago,but said it would arrive on the next flight,so we only had the clothes we where wearing.Next morning,still no luggage had arrived,went out for the day to tour your beautiful city,came back late afternoon,still no luggage.My wife phoned United,they said they had 2 of our suitcases,but where waiting for the 3rd to arrive before they would send them to the hotel.Well you can imagine what my wife said to them,and insisted they at least deliver the 2 cases so we can change clothes etc,shaver,toothbrushes etc.2nd day,still no luggage,by this time,late at night,my wife is in tears,we had to go to Target to buy some underwear T shirts etc,this is where Peter the bell captian comes in.He was under the impression that United had delivered our 2 suitcases,and when we informed him that we where still waiting,he couldn,t believe it.He was straight on the phone to United and informed them in no uncertain manner but polite to get our cases over to the hotel as soon as possible,and informed them&quot; Is this your company policy to hold guests to ransom with there suitcases&quot;This is how good Peter was,he went and got us tooth paste,toothbrushes,deodarant,shaving kit and 2 vouchers for breakfast the next morning.Now that is what I call customer relations,nothing was to much trouble to him,and &quot;Hey Presto&quot; our luggage was delivered a few hours later.Thank you again Peter for a great job done,infact I think my wife gave you a big kiss on the cheek the next day.Could not fault this hotel in any way,staff where so polite friendly and helpfull,also Karen on concierge? for helping out clothes wise,lovely hotel,it was like walking into a palace back home in the UK.Will use this hotel again when we visit your beautiful city [which can,t be quick enough],we both fell in love with it and please please do not touch your lovely old buildings,Sydney demolished most of theres,other cities could learn a lot from Chicago.I think Chicago has the most friendliest,polite,helpful people I,ve ever came across and cleanest city I,ve ever visited,went to New York afterwards and I can assure you its got nothing on Chicago,you leave it for dead.I,m voting for you to get the Olympics in 2016William and Lilian Scott.	
Jul 28 2009 	Nice but not amazing	The Hilton Chicago is a very big hotel, and for someone who usually stays in independent hotels, was a shock to my system!Very much a number not a name there, as one would expect, with that many rooms. I did like the hotel but thought it let itself down on a couple of things.The rooms were nice, and spacious but just felt old. TV remote didn't work the entire time I was there (which was irritating when wanting to watch the news for 1/2 hour before evening events etc) and when I told them, was told, oh yes, it;s a common fault, the box has reset itself, so we would need to reprogramme the TV!The member of the bell team who bought my luggage up, did himself out of a decent tip by being overly familiar - using my first name and turning it into a cartoon character's name which it resembles - not a good first impression.The lift situation was appalling - they had a couple of big conferences going on at the same time as I was there and had to wait on the first morning 35 minutes to get downstairs (usually would walk the stairs but had a presentation case and over 20 floors up! so not an option) The lifts were a continous problem for everyone I spoke to.Kitty's was nice and food and service was quick and good. In general the hotel was good and the service was fine but the little things do make the difference and probably the bell hop didn't help my feeling about the hotel.Another thing - is the leaving luggage charges - I have never been charged for this in my life, and was therefore very surprised by that!	
Jul 26 2009 	There are lots of other places to stay.....pick one of them!	The location is great and the lobby is beautiful. The rooms are very dated, but are reasonably clean. Everything is true regarding being nickeled and dimed to death. Customer service was the real problem, though. Our room claimed to be a non-smoking room, but it reeked of stale cigarette smoke. When I called the desk to ask for another room, I was told I could not change rooms. Also, the concierge service was very poor. Although it is a huge place, there is often only one concierge on duty. My son and I waited in line behind two women in town on a business conference. The concierge sold them some tickets and then launched into a myriad of personal stories about shows she had seen over the years that had come through town. This went on for over 10 minutes, and she never once acknowledged our presence. Eventually, two more women joined the line. After several more minutes, another concierge appeared and immediately waited on the women who had come up behind us. When I explained that I had been waiting longer, and for over 15 minutes, she ignored me. After the third time I protested, she said, &quot;Oh, I'm sorry, I didn't realize you had been waiting longer, but I'm waiting on them now.&quot; My son and I promptly left. The original concierge was still telling the first group about her 5th time seeing Cirque de Soleil!	
