	Great atmosphere -- lovely friendly and comfortable	Location -- wonderful for walking, shopping, dining and going outService -- extremely warm, friendly &amp; helpfulAtmosphere -- historic, elegant, uniqueRoom -- modern, comfortable, spotlessly clean	
Oct 20 2009 	A Fabulous Experience	Every thing was impeccable. Friendly service staff. A couple of them gave us some history about the Hotel and the Pump Room. Very top notch establishment. Not austentacious - simple yet elegant.	
Oct 10 2009 	Hangin' with Sinatra in the Pump Room Lounge	The Ambassador East is located in the Gold Coast neighborhood of Chicago. It is just a few blocks from the train station, so it was easy to get anywhere in town. The hotel is a National Historic Landmark so the lobby is elegant and beautiful. We loved the Pump Room bar with tons of B &amp; W photos of celebrities. The service was wonderful and everyone was friendly and helpful.	
Oct 8 2009 	Full of History-extremely clean with very attentive employees	The Ambassador East Hottel is located in the heart of the Gold Coast Neighborhood just seps from Michigan Avenue and great shopping. It is also located near great dining facilities and many neat pubs.The Ambassador is a Historic hotel that needs some tender loving care. This old lady could use a nip and tuck here and there. With that said this was the cleanest hotel with the friendlinest staff I have ever experienced. I will stay here everytime I am in Chicago. It has a great price value.The entertainment in the Pump Room and the food was incredible. This was an all aroun great experience	
Oct 7 2009 	needs extensive refurbishment.	Very disappointed in loss of previous prestige. I could easily see loss of old European type small hotel culture. Many years ago we were guests in the hotel a number of weekends, taking in the Pump Room dining and visiting with out-of-town friends. As a matter of fact, we hosted a post-nuptial dinner there 40 years ago. I would never consider doing that now.. Why do you not refurbish the hotel to go with the beautiful marble floors and intricate wall moldings? It really is sad to see what has become of the old Ambassador East.	
Oct 3 2009 	Perfect perfectperfect...	My girlfriend and I just returned and we were not disappointed with the Ambassador. Very comfy beds and the location is just beautiful and charming. Train is a short walk as well as various restaurants and nightlife. Quiet evenings and the staff could not have been kinder. Chris at the concierge was especially helpful. I plan on returning next May and will stay at this hotel again.	
Sep 23 2009 	Nice Hotel...Needs work	This is the second time I have stayed at the Ambassador East hotel when traveling to Chicago for business. The location of this hotel is not bad, it is close enough you can walk to most everything and is in a quiet beautiful neighborhood. There are also plenty of restaurants very close to walk to such as Irish pub type places. All of the staff is wonderful, bellstaff, front desk and conceirge. The hotel is very historic looking and beautiful when you walk in. However, the rooms really need some serious updating. The beds are okay, comfortable enough for a couple of days. But the bathroom is just terrible, I felt like I was in a gas station bathroom. They toilets are very old and the bathtub has a lot of chipping and peeling. There was also no full length mirror in the room which is not a huge deal, but I don't think I have ever not had one in a room. The other issue I had was the air conditioner, it smelled terrible and was very loud during the night. I think this hotel has so much more potential with the great location and the historic feeling of it. They really need to update their rooms.	
Sep 22 2009 	A very charming boutique hotel in a great location	A very charming boutique hotel in a great location. The hotel is a few blocks from the Magnificent Mile and Rush Street, within close walking distance to the lake, great restaurants, shopping, and entertainment. It's far enough away to avoid the noise from the restaurants and bars, which is ideal for the business traveler who needs to get some sleep. The bed and pillows are very comfortable. While the room and bathroom fixtures are a little dated, it is a historic hotel and doesn't take away from the comfort and coziness. The room rate is very reasonable and a better deal considering that the Best Western costs $80 more per night. I definitely enjoyed staying in this hotel and will likely stay here on the next trip to Chicago.	
Sep 21 2009 	Classy hotel in a fantastic location	We visited Chicago for a wedding and the couple had an agreed rate at the hotel, so the decision was somewhat made for us. That said, we had a fantastic time in Chicago and the Ambassador East is a wonderful place from which to explore the city. It has an ideal location - it is in a very affluent neighbourhood located 100 yards from the Lake, about 2 blocks from Lincoln Park (with its free zoo - wonderful for young kids especially now the schools are back) and 5 minutes from the excellent restaurants on Rush - Carmines is excellent for Italian. You can be on the Magnificent Mile (great shops, Hancock Tower, Water Pump Station, Tourist Information) in about 10 minutes. There is a play ground over the road which is great for young kids. Clark/Division red line (train) station is 2 blocks away, which is 10 minutes from Wrigley Field. The hotel itself has a real old school charm. Very classy reception area, rooms are comfortable if not opulent or hugely modern. The in-hotel restaurant is the Pump Room which has a lot of history as it has entertained many dignitaries and stars over the years (as evidenced by the photos on the walls). The food there is first class, whether for breakfast (as we took in every day) or a truly excellent evening meal (with live music). The staff were very attentive, especially with our little one who is 20 months.Room service menu is limited but service is quick. The staff were very receptive to our needs, lending us a microwave, refridgerator and high chair during our stay for the baby (as well as crib, of course).On the whole a very good experience and one I would thoroughly recommend.	
Sep 18 2009 	very comfortable and safe 5 mins from beach	After a bad experience elsewhere I checked into this hotel. The staff were very helpful, happy and polite. The rooms have a little wear and tear but are clean and very comfortable, The hotel is in a nice area I felt very safe and 5 minutes from the beautiful beach. There are plenty of restaurants with 5 mins walk. Internet access available and I would definatly stay again.	
Sep 16 2009 	Fantastic Hotel	We stayed in for 3 nights. We booked a few months in advance and got the room for $99 per night (RO). Staff were fantastic. We had breakfast one morning in the Pump Room and that was lovely and good value. We got the metro blue line from OHare to Jackson and switched to red line to Clark &amp; Division. Hotel about 5 mins walk from this stop. Its close to lots of supermarkets and restaurants and is about 15 minutes walk to the top of Michigan Avenue. Room was lovely with great views of city	
Sep 15 2009 	quaint locationexcellent service	good location to mag mile and restaurants on rush street, hotel needs updates but service was excellent	
Sep 15 2009 	The Ambassador East has good bones	The Ambassador East Hotel is a great place to stay if you wish to get off the ant trail. The location in the leafy, beautiful, Gold Coast area of Chicago is ideal. Very quiet and residential, yet only a couple of blocks from Michigan Avenue and Rush Street. Many small bistro type restaurants in the area also.The hotel is comfortable, clean and the staff is very helpful. This hotel has a cozy, elegant, atmosphere that you don't always get in the new sterile hotels.	
Sep 15 2009 	Classic hotel a little dated but still grand.	Service was what you'd expect from a stately older hotel with an excellent reputation. Walking in it feels like you've gone back in time. The rooms are larger for a Chicago hotel, the bathroom was positively HUGE! But the TV was small and old. The carpet needs replaced, and the upholstery had seen better days. The decor is dated, but I rather like that. All in all, it's worth putting up with an old TV and some cracked tile to stay in such a lovely historic hotel. I'd rather spend time in the legendary Pump Room than watch tv anyway!Ice machines are located on only two floors. Computer access in free in &quot;business center&quot; but it only has 3 computers. Free printing makes up for it however. No pool.	
Sep 14 2009 	Good Stay	I stayed in this historic hotel from 8-11 sept. (3 nights) by myself, booked at Expedia. It's located in the Gold Coast district of the city just a little north of the Magnificent Mile. This area is quieter than the River North district and the Loop area, because of the Old Money that there used to be (or in fact still is). The hotel has a history of attracting VIP's and celebrities and it used to be a film location for a Hitchcock movie, North By Northwest. But it's heydays are a little over I'm guessing because, while it still looks luxurious, it does also look as a place from yesteryears.The room I got, the kingsize Deluxe, was a little worn out, but for the price I got I didn't care. For instance, I didn't know how to use the small lighting in the room and I have seen better television-service in other hotel-locations. But then again I didn't spend much time in the room. A plus is the cleanliness of the room.The service was good, but I didn't get a satisfying answer on asking informations on city events and locations.Overall, this hotel is a good stay for doing a citytrip.	
Sep 14 2009 	We had a great experience until it came time to checkout . . . beware.	My wife and I spent our 3rd wedding anniversary at The Ambassador East. Our arrival and check in Friday went flawless. Everyone was helpful and curteous. We upgraded to a suite (for $69.00/night) and the suite was &quot;nice&quot; -- I've stayed in nicer. When I made the reservations I told them it was going to be our anniversary and when we arrived back at the suite after our afternoon of out and abouting (the hotel is located just a block from the lake and a short walk to the Magnificent Mile) we found a bottle of champagne and several chocolate covered strawberries waiting for us. Saturday night we had dinner at The Pump Room. Although it may no longer be the &quot;jumpin' Pump Room&quot; of days gone by the atmosphere was teriffic, the food was delicious, the service was impeccable, and the entertainment wonderful. Unfortunately, when we checked out Sunday morning they attempted to charge us for another day. After arguing with Nicole and Bill at the front desk for several minutes they finally took the extra charge off. Unfortunately, I did not check the bill closely and after we got home I noticed that, yes, they did take the one day room rate off the bill but they did not take off the rate for the upgrade or the taxes (15.4%!!) that would apply for the extra day. So now I have to fight with them about that. It's a great hotel but make sure you check your bill!!	
Sep 12 2009 	Really nice hotel	Stayed at this hotel for 3 nights Sept 8, 9 and 10th. Before we even came to Chicago, I had correspondence through e-mail with the concierge of the hotel and the head of reservations. I got this hotel through Priceline for $70/night, so I asked the head of reservations for certain things. I asked for a room on a higher floor, got the room on the 15th floor. Asked for a room with a little refrigerator, got a room with a little refrigerator. Asked for extra pillows, got extra pillows. Very, very accommodating. The room was quite big, compared to other hotels I've stayed at. Room was a little worn. Tear in carpeting, broken tile on bathroom floor, toilet was broken on the inside. But other than that, room was very comfortable. Bed was huge and comfortable. I just wish there was a better view out the window, all we saw were buildings.Only went to the Pump Room to see what it looked like and to look at all the pictures, never ate there.I would stay at this hotel again. But since we usually use priceline to get our hotels, it depends on what they give us.	
Sep 11 2009 	An old Grand Damme needs some updating	This is a great location. Everyone is exceedingly pleasant. The rooms need an updated TV, new carpeting, drapes and bathroom tile. The beds were comfortable and the rooms quiet. It likely would meet your needs. But, you hate to see a great older hotel showing its age.	
Sep 10 2009 	A huge surprise...I loved it!	I stayed at the Ambassador East for 3 nights before joining my parents at the Intercontinental when they arrived in Chicago. I can honestly say that I just looked for somewhere cheap to stay to do this, rather than on service, quality etc.I was hugely surprised then when arriving at the Ambassador to find such a beautiful hotel, wonderful service and a great room.All in all it beat my stay at the Intercontinental following hands down and for a fraction of the price.I'd recommend this place any day - the only tiny flaw is that it's not on the mile. But transport public and taxi is so good - it really doesn't matter!	
Sep 10 2009 	Great Location and Value - Can't be beat!	This is a beautiful historic hotel, older but well kept and clean. Service is an art form here. We were treated with 4-star service everywhere in the hotel. So there are a few things that need updating (chipped bathtubs, ripped curtains) but who cares! There are so many options right outside the door that if you spend that much time in your room, you are missing out.The metro station is two blocks, and too many restaurants and attractions within walking distance to count.We got a great deal ($89/night) and would stay here again and again....great destination and location. The staff is top-notch.We even had folks with large dog in the next room but never heard more than an occasional bark - kind of a greeting when we returned to our room at night!Overall - great experience.	
Sep 9 2009	Excellent Service and value in a wonderfully nostalgic hotel	The service at the Ambassador East from absolutely all staff was top notch - without exaggeration the best we have experienced at any five star hotel in all of North America. Although the hotel may be attracting less &quot;moneyed&quot; guests with their specials, all guests are treated to high class service. At our request, we were upgraded to a wonderful 1 bedroom suite with a view of downtown for a reasonable additional charge. The room furnishings are showing wear but we thought it just added to the charm. Dinner at the Pump Room was excellent and wonderfully nostalgic with the same fine service you experience in the hotel (see my review of it.) The hotel is within an easy walk of the lake and beach, shopping on Michigan Avenue and close to other attractions. Other good restaurants and nightlife are just around the corner. We definitely will stay at the Ambassador East when we return to Chicago. Note: Although we dressed as guests did in the past, we did notice that the dress standards of some guests have dropped,as some other reviewers have noted; however, everyone was well behaved and &quot;covered&quot; by some sort of material so we are not too worried if that is what it takes for a fine hotel to stay in business in these economic times.	
Sep 8 2009 	Excellent	This is a beautiful historic hotel, older but well kept and clean. So there are chipped bathtubs, who cares. It was clean with great service and excellent location in a quiet residential street 2 blocks from restaurants, train, beach and short distance from downtown and Navy Pier (the fireworks can be seen from the end of the block of the hotel's location). The 2 beds in a room did leave limited space.	
Sep 8 2009	FANTASTIC HOTEL -- Had a great Bachelorette party!!	I recently had a bachelorette party at the Ambassador East in one of the large suites with balcony and adjoining room, and the rooms were just PERFECT! We had plenty of space to hang out, and we utilized the balcony for games and goofing off! The girls and I all had more than enough beds to sleep on, and the hotel staff even brought a cot in the room while we were out and cleaned the place up so it was nice and fresh when we returned later in the evening. It really was a perfect hotel room for a perfect evening with the girls!	
Sep 7 2009 	Outstanding	Staff was top of the class. Every one of them. The location is prime. If your looking to experience Chicago, this is the starting point. 2 blocks from the beach, walking distance to EVERythng! Metro 2 blocks away. Go anywhere. We can't wait to go back again. Pump room food excellent. Rooms are in need of updateing, however very clean. We stayed 4 nights for special rate 86.00 per. No place can match for value.If you like jazz and piano bars, Jilly's and the back room are great. There are too many restaurants in the area to even mention. The &quot;Feast&quot; for breakfast was amazing.	
Sep 7 2009 	mixed review	Alright, so the hotel it self is nice, the lobby is very nice, pump room is beautiful etc, the rooms were pretty small, alot smaller than i expected. It was kind of out dated in the walls, as there was random holes in the walls from god knows what that were not patched up. Service was good, Parking.. well.. its dt chicago.. parking was expensive if u have a vehicle. The biggest issue i had was suspecting the housekeeping staff stealing our drinks we bought outside the hotel. Its the morality of it, doesnt matter if it cost 1 dollar or 100 dollars, you dont steal things! The hotel is a very good location , its down town but on the edge of it so its kind of quiet but only 2 blocks from the magnificant mile.	
Sep 1 2009 	The amazing aroma when you walk in the door is just the beginning of a perfect stay!	This is our favorite Chicago hotel to stay in. We highly recommend it. Friendly staff, beautiful rooms, fabulous neighborhood and walking distance to fabulous places. Don't miss out on this one!!!!! We stayed 2 years ago after getting married in Chicago and when the staff found out that we had married that morning, they made our day very special and full of surprises!!!	
Sep 1 2009 	Friendly staff clean rooms great location if you don't mind a 10 minute walk to the magnificent mile	I loved this hotel: the staff were friendly and efficient, the rooms are lovely - big, airy, and not overloaded with furniture - and in a great location; I could walk to Lincoln Park and the North end of the Magnificent Mile easily. The Loop was further south but if you don;t mid walking then enjoy the meander otherwise the free trolley service can get you to where you want to go.Finally, there is plenty of choice eatery wise close to the hotel so I would definitely recommend this as a place to stay.	
Aug 31 2009 	The king parlor suite was the perfect family option.	I used to live in the Ambassador East neighborhood and it was so wonderful to be back in such a prime location. We got a wonderful deal on the king parlor suite. This was an ideal size for my husband and I, and our three year old daughter. She slept on the sofa bed and we had the separate master bedroom -fantastic space! It was an easy walk to a wonderful dinner after our arrival and another easy walk to a delicious breakfast - great Chicago neighborhood, great Chicago hotel!	
Aug 31 2009 	Love Chicago in the summertime.	Come to Chicago every summer to catch a couple of Cub games. The Ambassador Hotel was a great find on the internet. Nice room for two. Beautiful neighborhood, close to the Red Line, cafes, restaurants, night spots. Clean and safe at all hours. Very helpful staff. I would definitely consider staying here in the future.	
Aug 31 2009 	warm and friendly!	The staff recognizes you by name with excellent eye contact. The &quot;welcome back&quot; sets the tone for your stay. Flowers in the lobby and reception area beautiful. The house-keeping staff is terrific, helpful and prompt. Room service food was served hot and that makes a big difference too. Pump Room food was surprising tasty and impressed my clients.Well done!	
Aug 31 2009 	I love it....	The hotel needs some updating. New paint, wallpaper, etc. But, the service, food, etc is FABULOUS. It is the very best place we stay when we go downtown. Love it! Again, it needs paint and new wallpaper, but the decor is great. In order to receive the very good rating, you need to get a deal on the room....	
Aug 28 2009 	Great place	More than I expected. The staff is very attentive without being a nuisance. The room are well appointed. The Pump room has excellent food. Easy access to all of downtown.Will stay again.	
Aug 27 2009 	a bit worse for the wear	The Ambassador East has gotten worn over the years. It is always a bit sad to see a property that was clearly luxurious in its heyday become a place where groups of tourists in shorts stay with their kids, but I was frankly appalled by people standing around in the Pump Room in shorts or jeans. Anyway, the service from the front desk was good and helpful. The location is convenient to the beach and to the train. Housekeeping had some mis-steps. We left the privacy sign on our door one morning so we could sleep past 9, and housekeeping never came back during the day to do our room. Also when we checked in there was a smear of purple shampoo from the previous guest on the wall of the shower. They took our towels every single day, despite the fact that we hung them up and the sign saying they won't take them if you hang them. Another day they took our bath linens and didn't replace the washcloths or bathmat.Also, the ice machine was on our floor (7th) and it was THUNDEROUS, loudest I have ever heard. We were nowhere near it, thank goodness, but I would request a room far away.Overall though, we got good value and the price couldn't be beat--weeknights in summer for $100!	
Aug 25 2009 	Average hotel - needs new or updated bathroom amenities	This is the second time I've stayed in this hotel and this experience was much better than the first when they overbooked and I was stuck in a smoking room. That was several years ago and there has been little if any change in the hotel rooms. The bathrooms need to be updated as they're clean but appear dirty due to wear and tear. In addition, although it's not a big deal, the TVs are also old and small. If you need a hotel in this area, this is okay. However, I would recommend looking at other hotels before choosing this one.	
Aug 25 2009 	This room 1144 was not as good as previous stays.	Owner should eview the bathroom amenities and storage . i thought the tub and storage did not match the room price for the City.	
Aug 19 2009 	Great Experience	Hotel staff and service were great. The location is within walking distance of nightlife and the lake. We had a wonderful time.	
Aug 18 2009	Ambassador East Hotel Chicago - Great Hotel	We stayed at the Ambassador East in Chicago for two days in July, 2009. I would definately stay there again. We opted for the lowest price room available and after all the taxes it came to $115.00 a night. That's not bad for a hotel in a very nice neighborhood, the Gold Coast, which is great for walking, eating and barhopping. It is a short walk to Lake Michigan beach spots.If you like to bike, run or walk, the trail along the beaches is fantastic. Also the El's Red Line is nearby.About the hotel; I think next time I might spend a little more for a suite, but for this trip the room we had worked out fine. The only down comments I would have would be that the rooms do show some age (there were a couple tiles off in the bathroom and lying on the floor) and the bathroom didn't have an exhaust fan.But that's nitpicking, as everything was clean and we slept fine. The staff was helpful and friendly. There was an off property, indoor place to park, a block and a half toward the lake that charged $25.00 a day and I thought that was reasonable. Also make sure you have a drink at the hotel bar as it is one very nice room.	
Aug 18 2009 	Love the location. Clean. Best hotel bed ever. Great Value. Friendly staff.	Very pleasantly surprised during our first stay here on recent weekend in Chicago! Love the Ambassador East location in a beautiful Gold Coast residential neighborhood. Had always stayed further south in Mag Mile area, but this was quieter and still within easy walking distance to the lake/beach, Michigan Ave, Rush Street, Old Town, etc. Just a $7 cab ride to Millenium Park – otherwise we walked everywhere we wanted to be. Parking lot across the street saved $16 per night vs. valet and could see my car from our window. Staff was outstanding – friendly, knowledgeable about the area and helpful. The room, although a little dated in decor, was clean and the bed was the most comfortable hotel bed we've ever slept in. Only drawback was no free in room wireless access. Would definitely stay here again!	
Aug 17 2009 	Sadly behind the times	My husband and I recently stayed here for a wedding. We've visited Chicago before, staying at the Talbot and the Sofitel, so we definitely had other hotels to which we could compare. We booked at the Ambassador East because we were in town for a wedding, and almost all the guests were staying here. We wanted to be close to them, so although our instincts told us to book at one of the ones we had used in the past, we went this one. I now wish we had went with our first instinct!We were sadly disappointed. While the lobby seemed inviting and perfectly acceptable, the rest of the hotel did not follow suit. We had a standard king room. The first thing that jarred us was the layout of the room. The door opened right into the room, so if one person was sleeping, and the other came in, that sleeping person would be disturbed. The second thing – the decor and cleanliness. The wallpaper was literally peeling off the walls, the rug was badly stained, and the room smelled musty. The bathroom was not at all conducive to easy use. There was no counter top – just a small glass shelf above the pedestal sink that could accommodate our toothbrushes and contact lens cases. So we had to keep all our toiletries out in the room on the desk. Interestingly, there was a huge walk-in closet that seemed completely out of place given the small size of the room and the bathroom. Why not use some of the square footage to make a bigger room?Also, the noise level left something to be desired. We could here every door in the hall open and close, and when the maid service started the next day (at 9 a.m. no less!), we could hear the TV blaring in the next room while the maids cleaned.Next time, we will go with either the Talbot or the Sofitel, both of which, while a little bit more money, are far superior and worth the extra dollar!	
Aug 11 2009 	Stay for the excellent location. Don't stay if you want luxury and amenities.	This hotel was selected by my relative in Chicago, based upon its location, and proximity to family events. The location is excellent. A quiet part of the gold coast. Walking distance to the beach, MIchigan Avenue, and nightlife of the city. Yet far enough from all the comotion and noise of the city. I was travelling with my wife and two toddlers. We were able to book the Harey Carey suite, which has two separate bedrooms (one for wife and I, one for the children), entrance hall, as well as a living room / dining room area with table and chairs, etc. The hotel was running a special at the time, so that the cost of the suite was about $170 / night and we were there for four nights. The size of the suite was great and it was definitely a luxury to be able to put the kids to bed, and then entertain in the living room area. We had guests come for drinks and dessert one night. We also had a babysitter one night who was able to feed the kids at the dining table, put them to bed, and then hang out in the living room area while the kids slept. For a hotel, it was a great luxury for my wife and I at what we consider to be an exceptional price.The furniture in the room was dated, and the couch had holes in it. Not a very good first impression. The carpet is worn, and the bathrooms are extremely small. Unfortunately for the hotel, the bathroom issue can't be resolved because the hotel was designed that way. The place was clean, sheets were fresh and clean, bed was comfortable, and I was never worried about cleanliness. But they could afford to spend some money on updating amenities. For instance, the Televisions are 19&quot; tube TV that are at least 20 years old and grainy. I've stayed in cheap motels that had better televisions than this.But the draw to staying at this hotel isn't the luxurious amenities. This is not a vacation hotel, where you intend to stay in the hotel. You stay here for the location, and the ability to walk to MIchigan Avenue, beach, restaurants, etc. If you are looking for a destination hotel, and plan to never leave the hotel, then this is NOT the place for you.One more draw was the Pump Room. While its history was interesting, I was really impressed with the breakfast they served. Not your typical hotel breakfast. It was EXCELLENT. And they have a kids menu to order from. Our children were able to get kids meals from here sent up to the room and they were excellent, as well as reasonably priced. I am typically a loyal Starwood client (Westin, St. Regis, W, Sheraton, etc.), but I would stay here again because I thought it was clean, comfortable, reasonably priced, and the LOCATION WAS INCREDIBLE. However, if you are looking for modern luxury and amenities of a new hotel, you will be disappointed by this place.	
Aug 10 2009 	Terrific Bargain and Great Hotel	We live down the block from the hotel. We arranged to have new floors put in our condo while we were away. The floors were not finished when we returned so we looked for an inexpensive local hotel for one night. I think the Ambassador East was the least expensive hotel within a reasonable distance so we decided to stay there. Over the years I had had some visiting groups stay there. I had also eaten there and been to the bar but I had never stayed there myself.The lobby is elegant. The service is great and the room was large and clean although a little outdated. The location is the best residential area in the city (as far as I am concerned -- I live two blocks away) and it is very convenient to North Michigan Avenue ( a good shopping street) and reasonably convenient to the Loop ( the main business area) There are also probably 50 restaurants in all price ranges in reasonable walking distance including some of the best in the city.I paid less than $100 including tax for one night. I am not sure what their regular rates are but I think my deal was the best travel bargain around.	
Aug 4 2009 	If you're looking for Old World charm this is the place.	Overall, we were very pleased with the 3 nights we spent at the Ambassador East. We drove to Chicago and were aware before arriving that valet parking was $40 a day. (which allows you to come and go throughout the day) or general parking for $30 a day (no come and go). Factor the parking into the room and it's still a good overall deal.The hotel's central location is great (Wrigley Field is about 3 miles north and The Art Institute and Millennium Park about 2 miles south with and plenty of shops and restaurants along the way.The room was fine with the king bed being extremely comfortable. Other furnishings were showing their age but more than acceptable. However, the TV was somewhat small (maybe 20&quot;) and the reception was poor. There are no vending machines in the hotel. Our room had a small sampling of items (candy, soda, wine, chips, etc.) for sale, though outrageously priced. A 12 ounce can of Diet Coke was $3.30, a 32 ounce bottle of Fiji water was $6.00. There is however a CVS pharmacy about 2 blocks away where we bought our goodies. Also, there are ice machines only on the 7th and 8th floors. The 2nd floor has the Business Center open 24 hours with 3 old computers available for use with internet access. There's no charge for using the internet.The staff was courteous and friendly.We had breakfast in the Pump Room the morning we left and it might be the best feature of the hotel. It's absolutely beautiful and the service and food were exceptional. Do yourself a favor and try it.If you're looking for Old World charm at a reasonable price, this hotel is for you.	
Aug 3 2009 	Good overall experience would do again.	Older but grand hotel, some dated features in room, some noise from halls, ice machine, street. Great location, easy walk to features. Restaurant expensive but excellent quality. Fun history. Friendly and accommodating staff.	
Jul 31 2009 	Great location - in need of many updates	I stayed at the Ambassador East for a weekend in July. The service was friendly and the location was great. However, I did not feel the amenities were up to par for the price paid. The rooms are in desperate need for updates and had a musty smell. The exercise equipment was quite old as well. The upside is that it was close to many restaurants and shopping and an easy walk to the beaches at Lake Michigan.	
Jul 31 2009 	Great history service and location - old hotel	Spent 3 weekday nights at the Ambassador East, was quite comfortable and left feeling like the place still retains enough regal dignity to warrant consideration. As noted by other reviewers, the decor, particularly in guest rooms, is showing signs of age. However, the service, history, and location make the flaws easy to overlook. We had no problems with room or utilities. We were told that plumbing upgrades would disrupt water from midnight to 4 a.m. on our first night, but didn't notice. Don't know if they have internet service but picked up an unsecured free wireless signal in the room. The place is clean and staff are attentive. Only had drinks in the Pump room and saw mostly locals dining, which seems like a good sign. We booked as part of a package deal, so price was very reasonable given the location. Parking, at $30 a night, is offensive and the location makes finding a spot on the street impossible - but that has more to do with the city than the hotel. Neighborhood is quiet, upscale, residential. Easy to walk to dining nightlife and ready access to cabs, busses, subway. About $12 cab ride from Wrigleyville. McFaddens, a block away, has great weeknight drink specials and serves late night food. If you get stressed about small televisions and worn hallway carpet look elsewhere. But if you want a taste of what the old near north side is about check out the Ambassador.	
