	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
Sep 9 2009 	Wonderful Stay!!	I stayed at the REnaissance Chicago O'Hare Suites during a Labor Day trip to Chicago with my kids - ages 9 &amp; 11, and we had a fantastic experience. The front desk staff was very friendly and helpful. The service staff had pull-out linens to us within a few minutes of requesting them. The room cleaner even playfully propped my child's stuffed animals up in bed everyday. I was quite impressed with the overall experience. Rooms are nice and beds are very comfortable, but the pull-out beds are not.The hotel is very convenient to the &quot;L&quot; Cumberland station. We parked the car upon arrival and did not need to see it until we left (parking was $20/day for hotel guests in a covered garage). There is a short sidewalk from the hotel to the station, and the ride into the city is about 30 minutes. The trains run every 8 minutes, and I felt very comfortable doing this with my kids (although I'm also a very seasoned mass transit rider).We had a nice breakfast on our last day before leaving. It is quite pricey (thus why we only utilized it one day) but the food was very good and the staff quite accomodating. There is also a very nice indoor pool that the boys used before we left. Very clean pool, with a hot tub available for adults.Very nice experience, and I highly recommend this hotel as a less expensive alternative to pricey downtown hotels and parking!	
Sep 8 2009 	Not bad but the staff made it a 4* hotel	The hotel didn't impress me as a 4* hotel except for the staff... they were as helpful as they could have possibly been. We needed linens for the hide-a-bed... after a call to the desk they arrived in less than 5 minutes. Same with needing a plastic bag for wet clothing... housekeeping brought 5 bags to us in a matter of minutes. The staff at the front desk were equally helpful and seemed to enjoy being of service. Top rankings in this dept.The hotel itself was pretty ho-hum. The lobby was nice but the rooms/hallways (4th floor) looked like they needed some help. The carpet was stained all over in the hallways. The room (a two double bed suite) is almost to small to be a suite. The chairs were pretty uncomfortable, and the hide-a-bed was awful... the mattress was worn so much my son wanted to sleep on the couch without unfolding the bed... and he was a good 4&quot; taller than the sitting area! Nice mini-fridge, no microwave, and a great coffee maker. The bath area was nice and large, tho, but the terrycloth shower curtain was kinda strange.the $20/night for parking in their garage isn't necessary either. The lot on the east side of the hotel worked fine for the weekend, although it may be a different story during the week (I think it's actually for the neighboring office buildings). Not a lot of choices around for dining, although the Dominick's super market on the other side of the freeway is very convenient. For the seventy bucks per night I paid, I wasn't complaining at all.	
Aug 30 2009 	Very Nice "Airport Hotel"	We needed a hotel near the Airport. The Renaissance was Great.Their shuttles had longer hours of opperation than other hotels. (that we needed)The room was nice , and the staff was friendly.	
Aug 20 2009 	It's just ok -in need of a re-model	This hotel served it's purpose (a cheap hotel right next to blue line) about 30 minute train ride in to Chicago. I was there during a busy weekend when all hotels in the city were sold out or overpriced. I found this hotel online for a VERY reasonable rate (under $100), while 2 and 3 star hotels IN the city were charging near $200 to $400 a night. So, in that respect, this hotel is a deal. It's also reasonably convenient to the train - the closest hotel to the train stop (about a 2 minute walk a block aways).The rooms are desperately in need of a remodel. Honestly, they were not that clean (hair, dirt, crumbs, strange stains on floor, couch and towels). It wasn't super dirty, but it wasn't that clean, either. It was about the level of a Holiday Inn or therabouts.The front desk folks were nice. There's not much around within walking distance for food or anything. It's probably the nicest hotel near the airport and also fine for touring in to Chicago if you're trying to save money.	
Aug 17 2009 	Very Nice	Very beautiful hotel! I took a trip to Joliet to visit my boyfriend who played football at a college there. On the night that I was scheduled to fly back to Louisiana there was a huge snow storm &amp; fortunately I was placed in this hotel. What a treat?!? Very clean, well kept, and classy place. My room overlooked the expressway. There is also a Bennigans restaurant in walking distace &amp; the shuttle to the airport was a PLUS.	
Aug 4 2009 	Wonderful Surprise	We had stayed downtown during the week for a convention. We had booked the Renaissance O'Hare due to an extremely early return flight and wanted to be closer to the airport. We were pleasantly surprised when we arrived. The hotel was literally a couple of minutes from the train and had complimentary shuttles to the airport the next morning. The rooms were clean and fresh smelling... the bathroom was immaculate. Things that couldn't be said about the more expensive, 4 star hotel we had spent the week in downtown. I told my husband, I would have rather stayed at the Renaissance and taking the train in everyday! The next time we go to Chicago, we will definitely keep the Renaissance in mind!	
Jul 29 2009 	oasis with amenities	Attended conference at airport hotel. What a pleasant surprise this hotel is!!! Way above average for cost. Suite was beautiful. I had a corner room with sitting area, office area, frig, cozy bedroom, 2 TV's, beautifully tiled bath room, good room service. Coke machine on my floor wasn't working. That is my only complaint. Hotel is in a concrete jungle, if you are looking for nightlife, go downtown. If you are looking for a discrete, luxurious, stay in the room vacation. This is the hotel you want. Fly in, Fly out.	
Jul 17 2009 	Yet another happy Park 	A great rate from ParkSleepFly.com was too good to pass up! Suite accomodations slept my wife &amp; I in the king bed, and our two boys (8 &amp; 10) on the sofa sleeper. Front desk informs you that you can call Housekeeping to make up the sofa sleeper, which they did within a few minutes notice.Nice large bathroom had large walk-in shower, but a very high countertop means you have to wheel the desk chair in so the kids can reach the sink to brush teeth. Hard surfaces in the bathroom also meant that sounds echoed, so even though the bath can be closed off from the bedroom and sitting areas, it can be loud when you're trying to get the kids asleep for an early wakeup.Limited services available after 5pm-- Starbucks was closed. We went out to dinner, then early to bed for a 2am wakeup (eek!). Airport shuttle runs on the half-hours, all night long if you need it.Indoor parking can't be beat but spaces are tight and people park however they darn well please. The only glitch was my parking ticket didn't work in the exit gate upon returning from our trip, after being authorized for the week of parking before we left. Fortunately no one was behind me at the automated gate, as I had to back up and re-park, then go back to the front desk and wait behind other customers while my family was waiting anxiously in the lobby. The front desk eventually gave me a new ticket which allowed me to exit the garage successfully!We'll definitely return for future Park &amp; Fly's from ORD. Even if you're not flying out, check those rates because normal hotel parking is $20 per day and it might be cheaper than what you're quoted elsewhere for this property.	
Jul 6 2009 	Fantastic for Park n Fly	I stayed here the night before an international flight out of O'Hare. I booked my room thru ParkSleepFly at a nicely discounted rate that included parking up to five days and a free shuttle to and from O'Hare. The shuttle service was offered 24 hours and was very prompt. Front desk service was exceptionally helpful with airport information.The room was a spotless and spacious two-room suite. The living room area had a large tv, desk, chair and sizeable sofa. Beautifully decorated. The bedroom also had a tv. The bed was quite comfortable and the sheets were high quality. The bathroom amenities were upscale and aromatic and included shampoo, conditioner, facial and body soap as well as lotion. A hairdryer and magnifying mirror were also in the bathroom. The shower was amazing- huge, glass walled with various water pressure settings. The towels were fluffy and soft. Also, for an airport hotel it was surprisingly quiet. Maybe it was the location of my room, but I was hardly disturbed by noise even tho I could see planes coming and going. The only possible negative was a lack of dining options in a walkable distance. The room service and on-site pub menus were limited and a bit pricier than expected. I would stay at this hotel again when flying in and out of O'Hare. While there is an el stop nearby, I would think it too far for a stay involving downtown activities, but it was a nice hotel all around.	
Jul 1 2009 	unbeatable	room, staff, position, breakfast, all unbeatable, and only fiveminutes off the blue line. Excellent hotel at excellent price.	
Jun 22 2009 	Very good choice if you want to be close to O'Hare	I booked a weekend package here for my wife, adult daughter and myself through Travelocity. We were able to stay in one room because a sleeper sofa was available for my daughter and separate bedroom for my wife and I -( a definite advantage when Dad is picking up the tab for the weekend). Extra towels and bedding for the sofa were delivered promptly after a call to the front desk, and we found the service to be very good overall.We were visiting my son and his wife and didn't dine or drink here. There are no restaurants or convenience stores that we saw within walking distance.I won't repeat others' comments about the nice rooms and proximity to the blue line. We prefer to be closer to downtown, but for the money and accommodations, this property is hard to beat.	
Jun 19 2009 	Easy Park and Fly	We stayed here the night before an 8AM from O'Hare. The highway access is super easy and the shuttle got us to O'Hare quickly. Our room was on the tenth floor facing the highway so we had a little noise but nothing too bad. We got in late so we didn't visit the restaurant or bar but they looked decent enough. You're just steps from the Cumberland stop on the Blue Line so there are lots more options easily available. The room was a full suite, which I hadn't expected, so there was plenty of room to move around. I would consider this as a base for a long term visit to the city, at least when the Blue Line weekend work is done. Not a luxury hotel but very comfortable.We booked a ridiculously cheap rate through Park Sleep Fly, which included up to 2 weeks of covered parking and the total was less than if we'd used the O'Hare remote lot. We'd definitely stay here again.	
Jun 16 2009 	Great Hotel Great Price	A modern and stylish hotel located close to O'Hare. Easy access to and from aiport via hotel shuttle (runs every 30 min) - but you need to call if you want to be picked up from T5 International terminal. Rooms are large and sunny with light wood finishes. Suites consist of a living room with sofa, chair and an office area. TV is a large LCD affair with AV inputs that you can hook your laptop up to. The Bedrooms are also large and well equipped with a second tv (CRT only) bedding is high quality and the bed is comfortable. The suite has a large bathroom with huge walk in shower. In the lobby is a stylish sitting area and a small rather dark bar and a good restaurant. Key to the visit is the proximity of the Blue line taking you directly downtown in about 20 minutes. This makes this hotel an attractive proposition for leisure visitors. I had a great stay and at only $95 a night booked from the Marriott website it is a bargain - easily 100-200 cheaper than staying downtown	
May 16 2009 	They Ripped me off with unauthorized charges on my credit card	The hotel is nice enough. But beware, they will hit your credit card with charges you will know little to nothing about until you get your credit card bill.We were at a function downtown and pre-paid for a room at this hotel. The hotel is nice as was the room. However, if you drive there and expect to park your car there please think twice.When we arrived it was raining, the valet service had cars parked in every conceivable spot, include more than a dozen cars with only two wheels still on the pavement and the rest of the car up over the curb. As a result, we were greated near the street by the value and handed our claim ticket. We walked into the front entrance and directly to the front desk to check in.No where did we see a sign advising of the parking charge for guests that park there. There is a sign, but it is way over on the side of the building next to the garage exit - not someplace we came anywhere close to. We were not informed by any staff of any charges for parking. I know some hotels do charge their guests for parking, but others do not.We stayed the night and when we left I checked out at the front desk and they said everything was taken care of. So I dropped off the room keys and went to get our car. We were not offered nor given a receipt. I assumed there was no need since there was no reason to have additional charges other than what I already paid for when I booked the room.Handing the car claim ticket to the valet service we then waited for the car to be brought out. And waited, and waited - we waited over 30 minutes. Again the drive was completely packed with parked cars they had yet to relocate into the parking garage. So when our car finally came out they had only one place they could put it and that was out near the street again - at least this time it was not raining.Having to check my credit card account for other reasons today I noticed several charges from the hotel. One was 25.01, and the other was 19.99. So I called, they had no idea what those charges were for - supposedly my card was to be charged $45 for parking and $5.99 for a bottle of water from the mini-bar that we never even opened.Parking in downtown Chicago on a weekend for any overnight rarely costs more than $25 at any parking garage. Thus this charge, which they neither got my consent for nor did they inform me of it at any time while at the hotel, is very excessive.After speaking with a manager at the hotel they agreed to remove the mini-bar charge, but refused to remove the parking charge.I have a great deal of problem with any business that takes free license to charge your credit cards without first informing you of those charges and obtaining your consent for those charges. Because they seem to be able to do this and have no problem doing it I would strongly advise that you avoid this hotel.	
May 5 2009 	Superior Location to Airport Nice Rooms	We stayed two nights in this hotel, just a short distance from Chicago's O'Hare airport. The hotel offers a free shuttle service to and from the airport that runs about every 20 minutes, you can take the CTA blue line, which is just a 5-minute walk from the front door of the hotel, or I'm sure you can call a cab too (we didn't use a cab at all).The rooms of the hotel are nice, if a bit modern. The noise of the airport isn't bad, though there is an airplane headed overhead from time to time that you can hear. For being so close to one of the world's busiest airports, it's surprisingly quiet. Our room had no bathtub in it, which wasn't a big deal, but if for some reason you like a tub, this might be an issue for you. Check to see if they have one.While the hotel offers a unique 'dive in' movie every Friday and Saturday night at their indoor pool, where you can pull up a float or a lounge chair and watch a family movie by the pool, in practice it doesn't work very well. First, you can't listen to it because, well, kids are loud and pool enclosures tend to echo. Second, you can't see it very well because pools need a certain amount of lighting and the hotel didn't choose to use a very powerful projector. So if you want to choose this place solely for this purpose, it might not be the best choice.As you might surmise, the hotel isn't really family-friendly. This isn't to say it's a bad hotel, as it's not. It appears to be quite new, and everything is rather nice. But it is nestled among several office buildings, meaning there are really no choices for anything to do outside 'working hours', and very few things to do even inside those hours. The buildings themselves are alongside a rather large freeway. A somewhat residential area is available across the freeway, and there is a footpath across the freeway - but it's a bit of a hike.Because of that, the lack of a tub, and the design of the hotel's eating facilities, it is somewhat surprising that they even have a family night such as this one, as the two don't really fit together. But for us, the hotel served the purpose well, and we could easily catch the train into town when we needed to do so. Speaking of which, the best deal we found was to get a Visitor Pass - $5 for 24 hours of unlimited riding of trains and buses, available at a number of locations, including the airport.	
Apr 21 2009 	NO CONCIERGE AVAILABLE!	I really wanted to like this hotel but the fact that they didn't have a concierge available (especially first time in Chicago) Concierge leaves at 10:30am. and you have to be an Elite member to get access to the concierge lounge.	
Apr 6 2009 	Great stay and fly hotel!	This hotel is located 5 minutes from O'Hare. The parking for our car was a covered structure, which was better than other hotels. They have 24 hour service to the airport. The hotel suite was roomy. It was clean. The bed was comfortable. The staff was VERY courteous. The van driver was quite helpful, particularly since my husband is handicapped.	
Feb 26 2009 	Decent Room nice hotel overall but does not appear to have Marriott Revive Bedding	This hotel is fairly nice. The front desk staff was very friendly and the room was very clean. My only complaint was the bedding. Most Marriott hotels have upgraded to the Marriott Revive bedding, but this hotel does not appear to have done so. The bed was very firm and not as comfortable as I'm accustomed to at most Marriott/Renaissance hotels. It also does not yet have flat screen/hdtv. While this hotel was nice, I gave it an average rating in comparison to most other Marriotts.	
Feb 20 2009 	great value	We booked this through a Park/Sleep/Fly leaving our car their for a week. It was easy to get to from I-90, covered parking and a really nice room. Clean and spacious. It was well worth the money. We were able to use the pool and it was warm and clean. Staff was very helpful and the shuttle was quick and easy to the airport. No problems at all. We will stay here again.	
Feb 3 2009 	Love this hotel!	We usually always stay at this hotel when in the O'Hare area. The quality you expect from a Renaissance property is what you get: Great! The location is good...not too close but not too far from the airport, and they DO provide an airport shuttle every 30 minutes. There are places to eat and drink on the other side of the highway in Rosemont (about a 2 minute drive). Parking is in a covered garage (extra charge depending on your room rate) which is nice in both summer and winter.The hotel is a very nice-looking hotel. The decor is well put-together and it is clean and new. Every room is a suite with plenty of room and a pull-out sofa. One of my favorite parts of this hotel is the bathrooms; no bathtub, but the shower is amazing and beautiful. The bed is soft and fitted with nice linens and plenty of pillows. The front desk is usually extremely helpful.There is a Starbucks downstairs near the lobby and the hotel bar/lounge is a nice place to have a few drinks if you have no mode of transportation.This property also offers a very reasonable park, sleep and fly deal.	
Jan 21 2009 	Modern Clean next to transit	Asolutely perfect. Very modern and clean hotel. Would stay there again next time I go to Chicago. You are 5 minutes away from O'hare airport and 25 mins from downtown. You can walk to the rapid transit line (CTA Cumberland).	
Jan 14 2009 	Great Hotel	We try and stay here every time we fly out of O'hare. Great service, rooms, bar, food and shuttle. The rooms are large and very nice. They have covered parking and the shuttle is easy to find when leaving O 'Hare.	
Jan 8 2009	Short but pleasant stay	We spent one night at the Renaissance OHare and found good value. Especially if you need a park, sleep and fly package for an early morning flight from OHare. Note, we left our vehicle for a week in the parking ramp and did not have any theft issues as noted in a different review. However we parked in the middle of the rows and did not leave anything of value in the vehicle. We checked in at 10 pm. The staff was energetic and courteous for that hour of the day. Our room was a suite and much more than we needed for our 7 hour stay with a fridge, sofa, TV and working area in the business side and our bed, bath and a TV in the bedroom area. The room was clean and fairly modern. The bed was only average, but very spacious.We ate in the hotel bar. At 1015 pm, t he menu was limited, but the food was okay. The service was very good. We also noticed a deli and snack area near the front desk with prepared sandwiches, salads, sodas and snacks which all looked pretty good.Check our was fast at 445 am and the shuttle took us right to the terminal. They also validated our parking at that time so it was not necessary to do that on the way back. We did wait a bit on the return for pick up, but on the whole the van service was adequate.	
Dec 25 2008 	Excellent Stay at Renaissance	We stayed at the Renaissance Chicago O'Hare Suites using a sleep and fly package. Check-in went smoothly with a friendly front desk staff. The rooms were extremely clean and comfortable, with a bedroom area and attached living room area with separate flat-screen TV's. The bath was very modern with a large glassed-in shower. There were nice ammenities and products in the bath. We visited the lounge area for cocktails in the evening and service was great and the quality of drinks was very good. The lobby was impressive and their Christmas decorations were beautiful.We used the shuttle service to the airport which was efficient and prompt. Upon our return, they were equally efficient. We appreciated the covered parking area and did not experience any problems there. Although our stay was brief, we would definitely go back and also would recommend it to anyone.	
Dec 3 2008 	Good for pre flight night	Stayed at the hotel one night before flying out of O'Hare on vacation. Very nice hotel but hard to find since it is set inside off of the main streets.Rooms were very nice and large with good amenities. Ate at the hotel and food and service were very good. Manager immediately waited on us and spoke with us about how large the portions were. We were going to order too much food based on the huge size of portions, so he was very friendly and assisted us. Waitress was very helpful also.I thought this hotel was very good value and location was good for flying out of O'Hare. Free shuttle service was good, departing every 30 minutes on the hour and 1/2 hour.	
Dec 1 2008 	Loved this place!!	Wow, talk about really nice hotel rooms, we loved just about everything. The color scheme and layout were extremely well thought out, the bed was very comfortable, and the bathroom was very spacious (we forgot to ask for a room with a tub, so we only had a shower but it was a very large walk in shower). The flat screen TV swiveled so you could watch TV from the sofa or while in bed. We found the hotel to be very quiet, we did not hear any plane noise. The sheets need a bit of upgrading as they were not the softest. The room was quite warm, we ended up opening a window for a while to get the room cooled down. The staff was friendly and the 24 hours convenience store with salads, milk, soda, and other items was exactly that, convenient and not overly expensive. It's right by the front desk so you just grab what you want and pay at the front desk. The lobby is very attractive, lots of wood and very warm looking. The indoor pool was nice and clean. The hotel was showing a movie for families on Sat. night . You could swim and watch Finding Nemo. The hot tub was also nice and clean but very very hot, I would suggest they lower the temp a bit, everyone that went in was complaining about how hot it was. The pool water was very comfortable. We paid $20/day to park but were staying using Marriott points so I did not mind. Others paying full price, probably will mind. I don't think they should charge for parking. There was no bell staff at the entrance to offer to help with luggage etc. All in all we enjoyed our one night stay and definitely would consider returning for the right price.	
Nov 30 2008 	CAUTION Park and Fly	My partner and I purchased a park and fly package through the hotel for the covered parking. The vehicle was parked close to the elevator on the 2nd floor in a main area of the garage. The vehicle was vandelized and GPS Unit stolen from Console (security coded) and Sirius Radio stolen. Broken passenger windshield, broken console and damaged door. The hotel and hotel parking is behind an office building and not well traveled in the evening. The parking gate was left open at least one of the evenings. The manager has indicated they have no responsbility for the parking structure. There is no warning posted to hotel guest your parking at your own risk. The manager has indicated they have had this issue before. I suggested she advise the General Manager to put up cameras or have the employees walk through the parking lot once in a while. A Police Report was filed with the Chicago Police Department. The 1st room we had was a hard mattress. The room on the return trip was a softer matress. I would not stay at this hotel again for a park and fly unless the parking lot was more secure.	
Nov 19 2008 	Excellent Hotel	Stayed 11/17/08 for one night. Rooms are very clean there was a living area ,bedroom and large bathroom . Food was excellent at this hotel, service was very good. I will return to this hotel and would recommend.	
Oct 2 2008 	Enjoyed our stay.	My friend and I stayed at the Renaissance Sept 12th-15th. I loved the room with separate bedroom and huge bathroom. We wanted a tub and were accomodated. Some notables:I agree with another reviewer that the beds were really firm. We had a room w/two double beds and both were pretty hard. Aside from that, very clean &amp; soft linens. Flat panel tv in the &quot;living room&quot;, that was nice. The big desk /mini fridge was great, too.You have to pay $10/day for in-room internet, although there is free wifi in the lobby.The breakfast buffet at Fresh is really good. For $12, you get all you can eat: fresh fruit, oatmeal, made-to-order omelettes/pancakes/french toast, bagels, muffins, bacon, sausage...endless. We really enjoyed this and ate there the mornings that we had time. The only odd thing that happened was that the entire hotel lost power our last night there. This was after two days of horrible rain. We managed to get warm showers before leaving, which was a pleasant surprise. The hotel staff was very nice about the power-outage and apologized for the inconvenience. Even with the power outage, our bill was still shoved under our room door for easy check-out. We obviously couldn't use the video check-out as there was no power, but checking out took no more than two minutes at the front desk.The hotel did a great job of accomodating our needs, i.e. bringing us a bottle opener and robes when requested.	
Sep 16 2008 	Great place when flying out of Ohare	We stayed here with the park-and-fly rate booked through a third party Web site and loved the experience. The only part I did not like was driving through Chicago to get there. Once there, the parking is INDOORS. The area felt safe. The shuttle was 24 hours and perfect in both taking us and picking us up at the airport. PLUS the hotel is right beside the EL train if you want/need to go other places and don't want to drive. The service was exceptional in all areas we used. The rooms were way cool and suites. No free breakfast? True but overall a good deal for the price. If you don't believe me, price the parking for your trip as if you'd park at the airport, then price the room at this hotel with the park-and-fly rate. You'll get the idea quick.	
Sep 1 2008 	Overall A Pleasure.	Rooms are nice, clean and large. Only complaints on rooms is that beds are unusually hard. (Not a fan of Hard beds)Excellent Excersize room, with OK pool in the basement.Excellent Bar, Good Restaruant (Fresh?), and Starbucks in the lobby. Parking is expensive, but close and safe.I have stayed here multiple times, and it's my son's favorite hotel.Soundproofing is quite impressive considering it's proximity to O'Hare.We'll most likely be back here.	
Aug 20 2008 	Solid choice at O'Hare	I've stayed in several of the hotels at O'Hare, and this is one of the best (even better, if often has very reasonable rates). --Efficient check-in.--Great staff overall--everyone I interacted with, from the shuttle driver to housekeeping, was polite and helpful.--Huge, big rooms. The suites have a large desk that allowed me to spread out and get a lot of work done. The bathrooms are also very large.--Great bedding! I had a great night's sleep. The rooms also have room-darkening shades, which was a lot better than typical hotel curtains that gap open and let in light.--Timely, tasty room service.--I liked that they sold buy-to-go meals in the lobby. I grabbed one on my way to the airport.--Decent fitness center. Would like it better if it wasn't in the basement, but it had good cardio and weight equipment, free water, etc.A couple of the surfaces in the room were showing some signs of age (some chipped wood, some worn fabric on a chair) but not enough to be a problem.Overall, an excellent stay -- a very solid choice if you have to overnight at O'Hare. It is a little farther from the airport than some of the other hotels, but the shuttle ride is still only about 15 minutes, and it's right next to the train if you want to ride it downtown.	
