	a much needed relaxing stay!	Good hotel service starts at check-in and the front desk agents at the Red Roof are always so friendly! They made sure we had the things we needed for the night and greeted us everytime we walked past the desk. Our room was cozy and very clean. The comlimentary coffee in our room was perfect in the morning. I'll definitely stay there again soon.	
Jul 10 2009 	Phenomenal value in prime Chicago location.	I booked through Red Roof's site, some promotional rate they had. I had a hard time figuring out where in Chicago the hotels were, as I wanted to be near certain addresses. Asking a native for the name of the neighborhoods, as well as spotting some hotels, helped. The hotel on E. Ontario is a great location. Checking in was ominous!! Two young people were at the desk and the young lady did not stop her personal conversation the whole time she checked me in. She filled out a document while commenting on the pregnancy of an acquaintance, and the other clerk gossiped with her about it while I stood completely ignored. Not a query, not a question, not a how are you. How I hate this kind of reception!The bell man was very attentive. The room was oddly shaped, but large in comparison to a NYC hotel of three times the cost. The room was clean, the bed comfortable, and the room had a microwave and fridge. The bathroom was a comfortable size. Ironing board, adequate closet area space, large TV. Hairdryer but no fancy giveaways, but that is fine. The floor was populated by young folk from Europe. One time in the elevator, two maids were very friendly and 'real', and expressed their hope that my room was all right. That was surprising and nice. The bell man helping me out with luggage was great and I had to push a tip on him.I'd stay there again because of its location. Maybe next time I'll interrupt the clerks and ask them to pay attention to me! I was on floor 11.The information on parking was accurate and told me that in no way did I want to use their parking arrangement. I appreciate the candor &amp; made other arrangements. I tried to use the wifi and when it failed I did not have time to mess with it. I'm not sure they have it; I may have been picking up a signal from a building nearby.	
Jun 26 2009	Great area wouldn't stay here again though	I stayed with a coach group and found that the hotel was dirty and the staff rude, maybe because we were in a group they didn't seem to care. The carpet in the hallway on our level was filthy and/or stained. Our room was OK but I was too afraid to touch anything. The bathroom seemed fine. The lobby was TINY, but I guess there wasn't much else they could do with the space. The bonus coffee and flat screen telly in the foyer were nice. It was close to everything but the standoffish attitude of the staff and the stained carpets have stuck in my mind.	
Jun 25 2009 	The good news is they let us leave...	On a recent business turned leisure trip to Chicago my boyfriend and I were booked to stay at this hotel. I read the reviews and was apprehensive, but I didn't make the booking so I didn't really have a choice. It seems as though the reviews for this hotel are bipolar. My experience was definitely on the negative side. The staff seemed apathetic, the room was small and the decor depressing. I recently spent two weeks in Europe staying in budget hotels: I can put up with tiny rooms, shared bathrooms, cheerless decor, and surly staff. I cannot put up with uncleanliness. There was debris on the carpet, for instance toothpicks laying in the middle of the carpet. The bathroom floor had what I can only describe as 'crud' in the grout and around the toilet. The tub was dirty and had people's hair stuck in it. Hair was clearly visible on the floor. I was concerned that If they don't even pick clearly visible toothpicks off the floor, do they wash the sheets? My boyfriend asked that we be moved to a different room, the staff obliged, but that room was just as dissappointing. The other concerning event occurred while I was in the lobby. Several young men came into the hotel lobby and began soliciting people in the lobby - trying to give them fliers and stuff. They were rather harmless, though they did mildly sexually harass me, but they clearly had no business being there and the staff made no attempt at removing them. The only good news about this hotel is that they let us cancel everything and leave without a fuss.Fortunately, the Courtyard Marriott, located right across the street had open rooms, it cost approx. $2 more a night. The difference was night and day. (I highly recommend them - Courtyard Marriott Mag Mile - they are currently doing construction but only during business hours on weekdays.)	
Jun 9 2009 	A very good option try it and you won't be disappointed	Dear traveler,I had a real pleasure to spend some days in this hotel. I must confess, I read the comments about this hotel only after booking it. Therefore, before getting there, I was scared to death. But, after arriving, I had a great wonderful surprise. Everything was perfect: clean room, good conditions with regard to the price, best location, very friendly staff people. As a world traveler, I had spent days at great hotels, i.e. Ritz, Four seasons, Hilton, Hyatt, Best Western, Fairmont, Sheraton etc . So, do not expect to find the luxury here. But, for the price you pay and the location, you should be very confident. Again, do not hesitate to choose this hotel and you'll be very pleased. I had no complains, on the contrary. Good luck!	
Jun 5 2009 	Best location ever	The hotel is one block away from the Magnificent Mile and that's why we went there. Also because it's one of the cheapest in Chicago downtown! We had to wait a lot to check in because the room wasn't ready. The room wasn't very clean either. We think that the person that cleaned it was loosing her hair, because there were hairs everywhere! (yes, even in our bed). Anyway, if you're looking for a great location at a low price, you'll find it ok.	
May 25 2009 	Great location could have been cleaner.	Booked this hotel on Priceline and was somewhat concerned when we saw which hotel we won. The location relative to Michigan Avenue couldn't have been better. The room was decent sized and had a nice tv. The bathtub was dirty and didn't drain well, and the carpet was not vacuumed very well. It's fine if you're looking for a room in downtown Chicago and don't plan to spend much time at the hotel.	
May 18 2009 	felt cleaner before we showered... the streets would have been better	We traveled with students and had a block of 6 rooms. Of the 6, 3 tv remote controls did not work, 1 tv did not work, and 1 blowdryer did not work. There was a suspicious stain in one room that looked like blood. We found lettuce on the floor in one room and hair on the sheets in another room. After complaining and asking to switch rooms, no action was taken. Finally we demanded a new room and were given a corner room with a leaking seal in the toilet, leaving our floor wet the entire time. The rooms were not cleaned while we stayed there. The desk staff was incredibly polite and nice, yet unable to do anything about the status of the dirty rooms. We stayed there for the location and the price, but would not stay there again. Try the Congress Hotel or the Best Western are much better deals.	
May 12 2009 	Decent budget hotel right in the centre of downtown Chicago	We have booked 2 rooms for myslefI ,my husband and a friend for 2 nights in May. After reading the reviews and before checking- in to this hotel, we were very skeptical to the point of even canceling our reservations, but it is not as bad as the earlier reviews make it sound like. Infact it is worth more than the value we paid for the stay and the location.It is a CLEAN, decent budget hotel right in the centre of downtown Chicago. All major attractions/restaurants are of walking distance.Staff is courteous and polite.Rooms were clean (although it gives a slightly old feeling) but has a LCD TV.Towels and bathrooms were clean only problem was the shower, which was not working in our room but it was alright in my friend's room.Even temperature control was working fine.However, please note that since it is a budget hotel, there are no water bottles available within the hotel, so it is recommended you carry one with you.Overall, good value for money.	
May 10 2009 	Affordable and acceptable	After reading the other reviews on this site, I was expecting to have to barricade myself in my room while sleeping in my clothes and trying to fend off hordes of lice. In my experience, this hotel does not deserve the reviews it's received.Let me preface this by saying this is a &quot;DISCOUNT&quot; hotel. And they even call themselves that. If you want high class, go book the W. I made a weekend roadtrip into Chicago and wanted something very cheap and very central to get the most bang for my buck. Red Roof delivered.First, service. When I checked in the service was polite and to the point. They didn't chat me up, try to up-sell me, or bother me with any other trivialities. They checked me in and showed me the way to my room. Sure it's nice at the W when they ask you, &quot;What is your wish?&quot; but that comes with a price tag. The staff were helpful when I asked for directions and were not rude at all.Secondly, the room. After reading the reviews on cleanliness I gave my room a serious once over before unpacking anything. The room was a little run down as it's an older building, but there were no real cleanliness concerns. It was a little dusty under the bed with a few stains in the dark coloured carpet, but nothing I'd consider unhealthy. The sheets and towels were pristine white and clean. There were no odours or anything unpleasant as has been commented in other reviews.The room was quite small. It would be a little cramped for a couple, and I certainly wouldn't want to be sharing the room with kids. My room only had 1 bed though, so the others may be larger. For 1 person it was perfect, but I don't go on vacation to spend a lot of time in my room.The room is also equipped with a safe.My only complaints would be that there were a few broken items in the room. The window looked like someone had tried to force it open so I was able to actually remove it from its frame. I only noticed this because it was a little noisy, but being right downtown that's to be expected. The A/C also wasn't working in my room, but I didn't need it at this time of year. It wouldn't surprise me if the two were related.Third, location, location, location. It doesn't get much better than this! 1 block from the Miracle mile, a 10 minute walk to the Navy Pier, and less than 10 minutes to the John Hancock building. It's a phenomenal central location to be able to cover a lot of sites on foot.Lastly, value. I booked on priceline and got my room for $50/night! No complaints there considering the prices of other nearby hotels. Now valet parking was another $40/night but after asking around that sounds like it's pretty typical.In conclusion, as a single traveler looking for a cheap central hotel on a sightseeing vacation, I'd have no problem returning to this hotel again.	
May 7 2009 	Cramped Rooms Bad Tempature Regulation	I stayed here one night in late November 2008. The service was friendly but when we got up to the room we turned on the heater (it was in the 30s outside) and within an hour the room was still cold. We told the front desk and when we got back the room was too hot! Also, the beds seemed old and the room was tiny. This hotel takes people under 21 and is a GREAT location but the rooms were pretty bad.You have to purchase a T-mobile hot spot to get wireless.	
Apr 14 2009 	A great last minute decision.	My friend and I visited Chicago in early April to see RENT. Unfortunately, we had booked a room at the Howard Johnson that was completely horrible and was able to find this hotel with an opening at the last minute! We were so grateful that they had a room for us. Paying $36/night for parking kinda hurt but the valet takes the car for you and they were very nice and accommodating. The room was small but clean and cozy. All of the staff was very friendly. We wanted to go to the Field Museum on our last day and checked out at 12pm but they still kept our bags and car until we were done at the museum free of charge! I would definately recommend this hotel for anyone. The price for the location and value was great!	
Apr 9 2009 	So Filthy had to shower standing on a towel	Shower floor had thick shelack of filth and grime and god knows what else. Feet sticking to floor in shower!!! Thin throw blanket only on bed along with dirty bed spread. Hard to argue with price and location, but even a one night stay was unbearable. Lastly, were instructed the valet would need 20 minutes to get car - we waited an hour, a fitting end to our stay.	
Apr 6 2009 	this place is a flea bag	I am not a very picky person and that is especially so when you only pay $130 for a room in downtown Chicago-- you don't expect it to be fabulous, but you do expect it to be clean. The room was so small we could hardly get a round the beds and the decor looked like it hadn't been updated in 20 years. None of us would walk in the room without our shoes on because the carpet was so disgusting. I would compare it to a motel off the freeway in the middle of nowhere that you would pay $29.95/night or maybe pay for by the hour . We left and went across the street to the Marriott Courtyard. They said they routinely get customers like us. I will say the location is great and the staff was very nice and they took $40 off our bill without us really griping . Pay the extra bucks for somewhere decent.	
Mar 28 2009 	Be afraid be very afraid	Traveling with two teenage kids, we paid extra for the &quot;deluxe suite.&quot; It was filthy. There were still crumbs on the floor and the bed sheets were NOT changed (there was someone else's hair in the bed already! How Gross!). The room smelled like dirty socks. The bathroom door was off the hinges. The bathroom had mold on the sink vanity. There were candy wrappers in the corners of the room. The TV remote did not work. The A/C rattled us out of the room. We ran out of this flea infested firetrap after staying one hour. We paid for -- and completely enjoyed -- the marriot courtyard direct across the street. This is the ONLY post I have ever made on this website.	
Mar 21 2009 	one step up from a homeless shelter	This has to be the sleeziest, dirtiest, most disgusting hotel I have ever encountered. No heat, no hot water, leaking toilet and sink, window didn't close all of the way, filthy carpet, dingy linens, no customer service...The front desk was no help in correcting any of the problems with the room or with moving us into another one. (I actually doubt they had another one in any better condtion to move us into.) This hotel should be condemned. It's hard to believe the health department doesn't close them down because of all the mold, filth, and leaking urine from the toilet. I can't believe they have the audacity to charge money for these rooms. They should close down while they do renovations. This hotel is in a great location and would do very well if it were not in such deplorable condition. One would think that Red Roof would see what they have with this building and at least bring it up to liveable conditions. Unless your standards are much below substandard, you would do yourself a favor by steering clear of this pit. If you don't care about cleanliness or warmth, at least make sure you are up to date on your vaccines and bring a supply of antibiotics. I would sooner stay in a homeless shelter than subject myself to this atrocity again.	
Mar 6 2009 	Disappointing	The hotel is well located, but the rooms you would hardly wish to remember: the window could not be properly shut, and there was no heating - in the month of November in this &quot;windy city&quot;. Well, It seems that for this amount of money you cannot expect anything better in Chicago downtown...	
Feb 13 2009 	Be Afraid. Be Very Afraid!!!	I stayed two nights at this so-called hotel. It was more like a housing project. The only reason that I stayed there was because I had business at Northwestern's School of Law and this hotel was very close. I'm surprised I made it out alive. The hallways are narrow and quite seedy. The elevators are slow and loud. This place may have been a grand hotel in 1920. Now it's a slum. Expect to take a shower in cold water as well. You can also expect to hear everyone's conversations because the walls are paper thin. I seriously considered barricading the door to stop some thug from breaking in and robbing or boogering me. Yikes. Stay away.	
Feb 11 2009 	good location and nothing else	Room 401. Seal on toilet on floor was leaking. Bathroom floor was constantly wet with urine/water. The entire bathroom absolutely reeked of urine from the moment we arrived. I cannot believe that a housekeeper cleaning that room would not have noticed this. Given the strength of the smell, it must have been going on for weeks or even longer. Drunks in the hall kept us up half the night. Floors were dirty. We slept in our clothes. This was a block off of Michigan Ave (this would have received a &quot;terrible&quot; rating from me otherwise), and the price was cheap -$50 on Priceline- but I would never stay here again. Spend the extra $30 and stay somewhere that doesn't turn your stomach.	
Jan 11 2009 	Penicillin may be needed after staying here.	Hotel Name: Red Roof Inn Chicago Downtown  We were excited when we walked in and saw that the lobby had been renovated. There were two lounge areas with new sofas and a big lounge table. There was a bracket for a flat panel TV but there wasnt a TV attached to it. The hotel only had one person at the desk at check in so there was a line that we had to wait in. The elevators were small as is expected in older city buildings. When we exited on our floor there was a pleasant smell from the deodorizer the housekeepers used. And the hallway was clean.  Upon entering the room, I noticed that the door was a little small, not a 36&quot; standard. Although the room next to ours was handicap excessible. The second thing I noticed was that the rooms were not updated as the lobby was. THe room looked nothing like on their website. There were a few furnished updates such as lamps and a chair, but the beds were small and low to the floor. The bed coverings were also outdated and looked worn. The sheets and pillow cases however did look new. I then looked over the room and the wall that enclosed the bathroom had a big crack down the middle and the wallpaper had started to peel away along the whole length of the crack. In the bathroom all of the grout had mold and mildew. The tile in the tub/shower surround and above the sink had been painted and was peeling. The toilet was no longer affixed to the floor, which I found out when I sat on it. And when I looked at the ceiling there was an attrocious ammount of BLACK mold all over it. The tile in the surround was also warped and regrouted maybe as if there was a ruptured water pipe. The only things that were done to make the bathroom look nice was a new mirror and light fixture.  When walking out of the bathroom I looked at the entrance/exit door and noticed that it looked as if the door had been pried open, because the entire frame of the door by the deadbolt was cracked and pulled away from the wall. My husband and I were thoroughly disgusted with this hotel.	
Jan 3 2009 	Good Price Good Location	I stayed at the Red Roof Inn from Dec. 6-9 as part of a business training in the area. We had several rooms and chose the hotel basically on price and location alone. Hotel is in a perfect location. Although we were on business, we were able to spend time enjoying ourselves because of the location - it was right off of Michigan avenue which meant many restaurants and shopping.Although inexpensive, the hotel was perfect for us. The rooms were very clean and it looked like they were beginning to update them as well. My room already had a new flat screen HD TV like I have at home (nice touch!) and a few surprises we did not know about when we booked like coffee makers in the room. One of my colleagues had what looked like a renovated room with new bedding and carpeting.The only small negative thing was the lobby was being renovated with new paint, etc., but who cares - you don't stay in the lobby!If you need an inexpensive, clean and no frills hotel choose the Red Roof Inn on Ontario.	
Nov 14 2008 	If you still stay here after reading this...	If you still stay here after reading this, you shouldn't bother with this website. I have stayed at this Red Roof several times, and it isn't great, but never as bad as this visit. Big trade show. All hotels unreasonable. Trying to save money. Big mistake!No hot water 3 of 5 mornings. Tub didn't drain 3 of 5 mornings even after I complained. Didn't clean my room or make the bed one day. No soap or shampoo most nights. No towels one night. Sink falling off the wall, toilet seat broken. Door wouldn't open a few times. Tiny room and bathroom. Plus, it was a comedy of errors on the part of the maid service. They only had two very pleasant staff members in the entire hotel one night. I don't know how they stayed so nice and polite. This is a dive and is getting worse. I wonder if they have remodeled since the 50's. The mtc. guy said they were going to remodel starting soon, but that wouldn't solve the cleaning staff problem. This is only the half of what was wrong...	
Nov 13 2008 	Ughhhh	The most deplorable conditions I have ever encountered in a hotel anywhere. The room had a window that was jammed open, the heater didn't work, no hot water, filthy carpets, and a huge stain on the comforter that looked like blood. Had to sleep wearing a coat! The front desk said they could not move us to another room because they were fully booked. They said they would send someone up to make repairs but never did. Management says they will be starting renovations soon, but DO NOT reserve a room in this hotel unless you are guaranteed a renovated room or can see the room for yourself first.	
Nov 4 2008 	Great location	Red Roof locates just a street from the main shopping shopping stretch, near COACH, and jazz bars, short walk to Hard Rick cafe, Heaven on 7 (cajun food) and convenience stores.Room is cosy enough, warm but dont expect great amenities. Service staff friendly, recommended great places to visit...i would stay here again, oh and it's close to pizza UNO, the famous Chicago deep dish pizza..yummy	
Oct 20 2008 	Worst hotel ever! I'm not kidding!	This hotel advertises &quot;Surprising luxury at affordable rates&quot;! This is a bold lie, there is not one bit of luxury at this hotel.Carpets are FILTHY, don't take your shoes off! One elevator broke down and the Chicago fire dept. had to rescue stuck people.Elevator stopped on every floor going up and down. This was not due to someone pressing all the buttons as this happened for 3 days straight, day and night. The front desk was notified by dozens of customers and still nothing was done.There was vomit next to one of the beds upon check-in!The hallways look like a dark cell block and the rooms are smaller and dirtier than a cell!Absolutely disgusting, please, please take my advice and stay elsewhere! I would not stay in this hotel again if it was complimentary!!!	
Oct 13 2008 	Get what you pay for!!	I'd read the reports of this hotel so I kind of knew what to expect. It was a central city hotel, right on the corner of the 'Mag Mile', with a relatively cheap price so I wasn't expecting any kind of luxury. Carpet could do with being changed, but the bathroom was clean if a little tired looking. The room had a smell as the windows wouldn't open. The front desk staff were helpful with directions and maps - but my wake up call didn't come. Not a hotel I would recommend for a long stay but bearable for a couple of days before picking up my tour which was right outside the door.	
Oct 12 2008 	Average place in a good location	We stayed one night in the Red Roof Inn in October 2008. We booked the room online in advance. It was the least expensive option in the area and we did not have high expectations. We arrived early for check in, but were accomodated efficiently by the front desk. The main glitch was that the first room we were assigned was still occupied, but the front desk apologized and we got another room quickly. The room itself was a bit ragged. There were peeling paint on the ceiling in the bathroom and the furnishings looked a bit dirty, but we think we just worn. The beds were okay but a bit soft. The room size was very big, but oddly shaped - very long and narrow. Not a lot of amenties, but the TV worked and there were no other issues with the mechanicals of the room. The front lobby did have coffee for free, but we did not try any.The location is the main reason for staying here. It is one block from Michigan Ave and fairly close to a lot of nightlife and restaurants in the area.Overall, if you need a place to sleep and do not need any frills, this will do.	
Sep 27 2008	Disgusting	I arrived for a two night stay at this hotel on 11 September 2008 as a member of a coach tour, looking forward to a comfortable room before travelling across to Los Angeles. What did I find? Carpets in corridors were absolutely filthy, no facilities for a hot drink in rooms (only from machine in lobby between certain hours, overall decoration dirty and dingy, trouble with door lock, air conditioning very noisy, could not regulate temperature and it still made a noise even when switched off, sockets nearly off the walls, hair dryer not working, ceiling in top floor corridor leaking quite badly and to crown it all the toilet was not fixed to the floor so it moved and rocked everytime I sat on it.Apart from being near to the Magnificent Mile shops this hotel has absolutely nothing going for it. In fact my opion is that it should be closed down it is just so bad. I just wish that I had taken photographs to prove just how unsavoury this hotel is.	
Sep 17 2008 	Scary Ugly and Noisy	We stayed at the red roof inn for one night when we arrived early and the hotel we had reserved was full that night.It was a horrible experience, the rooms were small, smelled weird and the door locks were loose. It was only my sister and myself, so we used the iron board to hold the door shut. I wouldn't recommend staying at this hotel at all! Worse this was that it wasn't cheap!	
Sep 16 2008 	Worst value in Chicago	Wow, this is the first time I've written a review just to tell how bad a hotel was. It's not so much that the hotel was a dump, it's the value of it. We paid nearly $250 for our &quot;king suite,&quot; which was really more than we had wanted to spend but it was the last minute so we just figured we'd suck it up and at least enjoy a nicer hotel than we'd typically book.No luck there.This was a drab, uncomfortable hotel. Linens, carpet, furniture, everything were bottom of the barrel and worn out on top of it. The bed was uncomfortable and the room smelled funny. The toilet clogged our first night there -- which I think it would have done even if all I'd used it for was to clip my toenails over -- and it never got fixed, luckily there was another toilet in the room because it was a suite. That one was equally weak so I used it reeeeeeeeeeeally conservatively. Should I have to count pieces of toilet paper in a $250 a night hotel?To their credit, the front desk did give me toothbrushes when I told them we forgot ours. That was the highlight of our stay.If you are forced to spend your pennies in this place at least get a room on a lower floor. We were on the 16th and, even when it made no stops, the elevator took so long to get to the darn lobby and back that I almost didn't want to run down to get a cup of coffee in the morning. I was especially irritated when I found they were out of cups.	
Sep 1 2008 	Not horrible but pretty bad	This hotel is located in a prime area downtown. So, location is good. However, after notifying guest services a few times about no air conditioning in our room to no avail, I gave up and took off the cover of the AC unit and messed around with it for about 15 minutes to get it work myself. So, the customer service, especially at night, was poor. Additionally, after paying for internet here, the only signal I got was &quot;very poor&quot; and I was unable to actually utilize the internet on my laptop. Again, customer service was of no help.Summary:Although the location is good and the price is decent, I would rather pay $20 or $30 more and stay at a nicer place downtown.	
