	Great Location and Staff	Had a wonderful stay with my wife for our 1st Anniversary and hope to stay here again! Got into town early on a Friday, staff was extremely nice and helpful even though they didn't have our room ready because it was so early. Stored our luggage for us and even let us get some items back out after they had already stored them. Went out and did some sightseeing and came back to check-in which was a breeze and found out that they had given us a free upgrade to a suite because it was our anniversary. Room was very nice and clean with lots of room to spread out and relax. Later on in our stay, I realized I had forgot my shaving gel and call the front desk to see if they help me out since we were running late for our dinner reservations and someone was up to our room in no time flat with some shaving cream.One of the greatest things about this hotel is its location. You are right in the middle of EVERYTHING on Michigan Ave!! You have all the shopping you could want and more with the ability to run your bags up to your room and not drag them all over town. You have quick access to numerous restaurants that are just short walks from the lobby, as well as bus stops across the street that will take you to various museums and other points of interest in the city. The only thing I could see someone faulting this place with is the noise from Northwestern Hospital right next door. We were on the 27th floor and the noise did not bother us at all and my wife is a very light sleeper. Other then that, Avenue Hotel is a great place to stay and enjoy Chicago and we look forward to returning soon.	
Oct 5 2009	Comfortable bed....but...	I booked using points from my credit card company. I arrived at the hotel at 1:00. Check in time is at 3:00. I was told that my room wasn't ready yet so I checked my luggage and went out to do some exploring. It was raining and I had a cold so I went back at 2:30 hoping my room might be ready a little bit early. Without checking, I was told that the rooms would be ready in 10 minutes. I sat and waited. A few minutes later, people started lining up to check in. I sat until the line went down. I stay at hotels frequently and have never encountered this before. I don't understand why they don't let people check in as their rooms become availalbe. The room was very nice. I played an extra $30 for a room with 2 queen beds versus the king room that I booked. The bed was EXTREMELY comfortable. I would have slept like a baby except for two things: Lots of sirens all night long and we couldn't get the temperature in the room quite right. The bathroom was a nice size. Plenty of room for two people to share sink space. The second morning there, I lost hot water in the shower. It sounded like the toilet in the room next door flushed right before it happened. It quickly recoverd but a few minutes later, I lost hot water for good. Not a good way to start the day. I called the front desk and they offered to send someone up to look at it but my shower was already over. An apology was all I received. The hotel is in an awesome location. One block off of Michigan Ave and centrally located. I'm just not sure I would stay here again due to the customer service issues.	
Oct 5 2009 	Convenient location ok hotel	Location can't be beat if you like shopping and dining - Mich Ave and WaterTower Place right around the corner. It is close to Northwestern Hospital and there are sirens and street noise that may bother light sleepers. Hotel room was pretty spacious but a bit worn considering the price. Some staff were friendly, others not so much. And the $25 restocking charge for the in-room snacks/drinks is a joke. Who would pay that for a Coke?Overall a nice place to stay in the city.	
Sep 24 2009 	Fan of The Avenue Hotel in Chicago	I travel to Chicago twice a year for business and have chosen the Avenue Hotel for the past four trips. Coming from San Francisco my standards are high and I find the Avenue Hotel offers several major pluses. First, its location to the Magnificent Mile can't be beat. Second, the upgraded room that I received on two of my last four visits was large by Chicago standard and has all the amenties that a business traveler or serious shopper expects of a first class hotel. The bed was very comfortable and the bathroom was also very nice and incredibly clean. My wakeup calls were delivered on time and with a friendly voice. Staff at the Avenue Hotel is friendly, accommodating and well trained in customer service. Third, with rooms lcoated on the higher floors the view is incredible. I didn't try the health Club, which has drawn a few negative comments on this website, but it looked completely acceptable. Overall I am a fan of this hotel and plan to return again.	
Sep 23 2009 	Excellent location and dreamy bed	We went for our 28th anniversary and had an excellent time We got the standard room with a king size bed on Priceline for $122 a night. The public area is very small and that would limit me paying more, but it was well worth the price we paid. The room was nicely appointed and all the furnishings were very comfortable, but the bed was absolutely awesome--great linens and pillows! The room was not large but was definitely large enough. We had complimentary wireless and a nice ipod dock and flat screen TV. Coffee maker and hair dryer were good quality. Besides the bed, the location was perfect. We were 3/4 mile from Navy Pier which was our farthest walk. The Johns Hancock Bldg., shopping and excellent restaurants were all within 1/2 mile and very walkable. We looked out our window to the corner of Michigan and Huron where Tiffany's, Saks, and Nieman-Marcus are. Valet parking in the garage was a costly surprise at $96 for the two days we were there. Concierge was a little stuffy and didn't volunteer much information. We used the internet to answer most of our questions.	
Sep 18 2009 	Nice rooms bad location	We were allocated a junior suite on the 14th floor, high enough up not to hear most of the traffic noise but not high enough to drown out the emergency vehicles sirens that were arriving, day and night, at the massive hospital across the road. Plus there was a contant thumping noise, maybe a water pump or something to do with the aircon, that also went on day and night. So I found sleeping really difficult, which is a shame as the bed was lovely and comfortable, with pillows to die for! I had a running battle with housekeeping for my extra pilow, every night I would get it out of the wardrobe, and every day they would put it back again...It's a pity they weren't so zealous with the cleaning. On our first night we spilled some sugar on the counter top by the coffee machine, 3 days later it was still there. And the coffe making supplies tray wasn't refilled in all that time, we had to ring down to have some brought up to the room.Other than these niggles we really enjoyed our stay in Chicago and would love to come again. I would stay at the Avenue but would request a room at the back next time.	
Sep 16 2009 	Pleasantly Surprised	Booked on priceline- as Four Star- Four Star might be a reach but certainly a solid 3 to 3.5 star. Lobby was quite plain. Four check in desks. Door man very helpful. Room was nice- recently remodelled- nice well lit bathroom, with new fixtures, a big multi streamed shower head with adequate pressure. Towel rich. The room also was spacious. Bed very comfortable. Room was very clean. No closet, just an area in the wall indented with a clothes bar ( found out this hotel used to be a Ramada). Only a couple blocks off Michigan Avenue.	
Sep 4 2009 	Excellent location lovely suite.	Having stayed at six other places, we were quite tired when arriving in Chicago. Avenue Hotel was easy to find and we were pleasantly surprised by quite how close to everything it is located. (Steps from the Mag Mile) Staying here didn't break the bank which meant we had money left to shop unlike other hotels in the area. Checking in was easy and we had a lovely corner suite (2315) with lounge, bathroom and bedroom. The bed was SO comfy, we slept the best we had since arriving in the states 18 days previous! Lovely clean linen and touches like the zebra print dressing gowns and little wardrobe tucked round the corner.The mini bar was well stocked in the lounge. furnished with a very comfy sofa and zebra print arm chair, it was a great place to relax. (Maybe the lighting was a bit odd in this room after being so well considered everywhere else?)The bathroom was well appointed with a great shower, curved rail (Fab!) and lovely plush clean towels, good products and all well cared for.We loved staying here and was only sorry that the weather wasn't better so we could try the rooftop pool.I'd definitely stay here, the doormen were great at hailing cabs and reception staff welcoming and very helpful. Recommendations all round!	
Sep 3 2009 	GREAT LOCATION WONDERFUL PROPERTY BUT...	The Avenue Hotel is a wonderful property in a great location for any Chicago activity. The large, well-appointed rooms are comfortable and relaxing, however, internal and external noises abound! Lots of sirens all day and night and you can hear every movement above, below and right outside rooms. The lobby is stark and very modern, but even a roach coach serves complimentary coffee which this hotel does not. For the money one pays, they should serve a complimentary continental breakfast as well. The lobby is too close to the doors which made it very uncomfortable in the chilly weather. They have a fireplace but it was not lit and it would not have made much difference anyway. The in-room coffee maker is one of those single-serve models that is difficult to operate. For a luxury property, I expect real coffee mugs and not the cheap, tiny paper cups they provide along with Mini-Moo or some other liquid creamer. The pre-packaged coffee condiments are fine for a 1 or 2 star hotel only. Overall, it's an excellent property if you don't plan to spend a lot of time in the hotel and you aren't a coffee junkie..Convenient Magnificent Mile location within walking distance or short cab ride to many activities such as Navy Pier, shopping and Wrigley Field. 2 blocks from Saks and most importantly, 2 blocks from a Walgreens for whatever you forgot or the airline took from you.Upon check-in, the hotel attempts to charge you a $50 per day incidental fee if you are a cash or debit/check card customer. Priceline probably buried that info in the fine print that I didn't read, but I simply declined to pay the $50 per day fee and was only charged a one-time $50 fee (which is fair). PAY THIS FEE IN CASH because otherwise it can take 5-7 business days to get the money back. The hotel staff is kind enough to tell you that up front. If you pay cash, the money is returned to you at check-out if you don't incur any hotel charges such as phone or room service. If you run up $50 in charges prior to check-out, they ask for another $50. Also, there really is no reason to rent a car in Chicago. Avoid the $45 per day parking fee at this hotel and cab it or use public transportation. Chicago has excellent public transportation service even if you are going to the suburbs.If I can kick my caffeine addiction or the hotel implements my suggestions (about the coffee..I don't expect them to redeisgn the lobby on my behalf) I'd definitely return to the Avenue Hotel.	
Sep 3 2009 	Chicago the best city Avenue hotel the best hotel	We went to Chicago to spend a few days after being in New York for 6 days. We were exhausted and wanted some relax and real holidays. From the begining the people, in Chicago and specially in the hotel were very nice. We got an upgrade, thanks Arta, and we did enjoy every single day in the hotel. The people who works at the hotel are really nice and helpful they are always with a smile and make you feel wellcome.I recommend anyone who has to travel to Chicago to pick this hotel, not only because of the situation, in the magnificient mile, but for the quality of the hotel itself and the value of the people who work there.	
Sep 2 2009 	Great Location Reasonable Hotel	Like pretty much everyone, the location is excellent for downtown Chicago - within easy distance of buses and the metro. Initially we were given a large room on the 39th floor (fantastic views) but... it was next to the aircon for the hotel. When this kicked in, even the furniture vibrated, to say nothing of the noise. The first offer was to change for a &quot;smaller&quot; room as there was nothing else available - when I saw the room it was a bad joke - small was an understatement. After refusing the substitute of the smaller room, a large room on the 28th floor was found to be available(!) and we moved there and it was fine and comfortable. The front desk staff were really helpful.The downstairs bar is good for lunch / dinner - but avoid it for breakfast as service is slow and less than friendly.A big plus is the business centre where there is the possibility to check-in and print out boarding cards for free, to make the hassle of O'Hare a bit less.	
Aug 31 2009 	Perfect Location at a Perfect Price	I was able to get a really great rate on Priceline the day before our arrival. This hotel has been renovated and I believe used to be the Radisson. We were pleasantly suprised!We could not have aksed for a better location! We took the train from MDW (Orange line and then transfer to Red line) and then walked about 10 minutes to our hotel.We were greeted graciously and upgraded to a very large room with a southern view of the city on the 36th floor. The bedding was the most comfortable I have ever slept on and had a great night's sleep.The front desk called the room within 15=30 mintues to make sure everything was okay. This was when I asked if we were upgraded (cause I hear the standard rooms were small) and the lady said yes. (She was very nice, I can't spell her name, but when I asked, she told us she was from Bulgaria).The only less than positive things about this hotel are: Elevators are VERY TINY and take a while....the A/C units are very loud, but that only bothered us when it would turn off and then turn on later. So I just got up and turned it off and the room stayed cool all night.The room was very modern and spacious. We liked the large leather couch and the zebra chair was sooooo comfortable.Vern, the concierge was very helpful with directions and suggestions.This hotel provided a central location for everything we wanted to see. WE would not hesitate to go back to the Avenue hotel at all. WE were just blocks from Lake Michigan, shops and eateries.	
Aug 17 2009 	Good Hotel just steps from North Michigan Avenue	In my opinion, this hotel is a 3 to 3.5 star hotel. The staff were friendly and courteous. I found a great deal on a one-bedroom suite. For the most part, the decor and furniture were above average. In the living room, the leather sofa was comfortable. In the bathroom, the shower head and curved shower rod were nice, but the tile was poorly laid and the toilet looked industrial (like in a sports stadium). In the bedroom, the pillows were comfortable, but the waffle texture of the blanket was somewhat uncomfortable. The air conditioning units were moderately loud and the sun made the temperature slightly warm during the afternoon. The complimentary wireless Internet was easy to use and the speed was adequate. The rooftop pool was basic and small. The hotel was located just steps from the heart of North Michigan Avenue shops and attractions. It was also within walking distance of Navy Pier and Millennium Park. I would stay at this hotel again if I found another great deal.	
Aug 12 2009 	Not what I expected from a 4 star hotel	The location of this hotel was great. Right off Michigan Ave and right around the corner form Gino's East. The rooms were very small for the price and I had to pay extra to go from a king to two queens. This place is understaffed and we could never find anyone to help us. The bell hop just dropped two of my bags at the reception desk when I was still unloading 3 others and then I was expected to take them to my room. When you did get help, the bell hops actually demanded a tip. Overall I think I'll go back to the big chain where I can get better service, a bigger room and at a better price.	
Aug 9 2009 	truly a superb hotel for everyone	Booked Hotel through Hotwire for a bargain so wasnot expecting much, but from the moment we arrived we knew we were in for a special holiday.Initially we had a few problems with our room which could have been a problem with our 1 year old, but the staff moved us to a room which was superior &amp; massive. From the house keeping staff to the doormen to the reception staff we were welcomed every time by name and went out of their way to provide us with places we could take a toddler to. The room was always spotlessly clean with fresh towels daily &amp; lovely toiletries. the beds were so comfortable and the pillows made you want to stay in bed.I cannot praise this hotel enough but it was the staff that made our staff one to truely remember	
Aug 5 2009 	Great location	Very nice hotel located only one block from Michigan Avenue. My room was large and clean with a nice city view (22nd floor). The decor is sleek modern. Nice pictures frames of Chicago. The bathroom is small. The tub water drain very slow. The front desk staff was helpful and friendly. The roof pool has nice views of the city and the lakes. However, they need to clean the windows. The food at the hotel restaurant is average. For breakfast I recommend the Corner Bakery Cafe just one block from the hotel. Stay away from the hotel parking lot. They charge $48.00 plus taxes per day. You don't need a car in Chicago. Use public transportation or taxis. Overall, this is a good hotel value for downtown Chicago.	
Aug 4 2009 	Unbeatable place to stay in Chicago	Stayed two nights with the better half for a birthday weekend in the city, and we were very pleased with this hotel. Prior to our arrival we had already decided to request an upgrade - after all it was my birthday. When checking in they immediately upgraded us to a corner suite with amazing views. You know I had read on this site that previous guests had been upgraded without asking but I tend to be pessimistic and didn’t think it possible – well I guess I was wrong. Our room was spotless, and very well appointed. The robes were out of this world soft and the bed – I don’t think I have ever slept that good in a hotel before. The staff was always friendly and we were always greeted with a &quot;hello&quot; and a smile when passing in the hallway. Despite the great room and friendly staff, the main attraction of the Avenue Hotel is the location - just steps from some of Chicago's most iconic destinations. Overall, we wouldn't hesitate to stay here again.	
Aug 4 2009 	Pay for the Location.	The loaction of this hotel is fantastic. Stafff service is a 'could do better'. THe valet parking is laughable $48 for overnight adn the service, well lets say I could've got the car myself a lot quicker, and there was no instructions to how to get the staffs attention!Room spacious and had minibar but no prices given! And no matter how much you take out it did advise there is a $25 refill charge.Overall view this hotel as over priced, definitely paying for location only.	
Aug 1 2009 	Small room and the tub was peeling	We thought we'd have a more spacious room with two queens and a couch. Instead there was a little more than enough room to walk on both sides of a King bed.	
Jul 30 2009 	Avenue Hotel Chicago made honeymoon extra special!	The Avenue Hotel Chicago made our honeymoon extra special with their great service and helpfulness with directions. They also provided us with a sweet upgrade! They upgraded our regular king bed room to a top floor corner suite! We had amazing views of the city and Lake Michigan. The roof top pool was amazing! We plan on coming back once a year for our anniversary! We stayed at the Palmer House before and it was not as friendly. The avenue has a sleek modern feel to it and romantic views of the city. It's close the The Mag Mile close to The Gold Coast. Great hotel!	
Jul 29 2009 	Wonderful stay in a wonderful room	We were looking for a centrally located hotel in Chicago that was child friendly. I had found 2 rooms but wasn´t sure which would suit my requirements so I phoned reservations for advice. They offered me the kids room as it had not been available on line with a similar discount as would have been found on travel websites. We got to the hotel late and everything ran smoothly. Check in went quick and the kids got milk and cookies which they loved. The room was spacious, fun (especially for the kids) and comfortable. I liked how the lighting was designed so that the parents could stay up without interrupting the kids. The only thing I wasn´t too happy with, was the size of the bathroom. When trying to bath 2 kids it was a bit difficult manouvering in such a tiny space. I	
Jul 28 2009 	Good hotel great location	We just returned from a long weekend spent in Chicago and stayed at The Avenue. The rooms are small and kind of dark but the location can't be beat. We walked to shopping and restaurants.	
Jul 28 2009 	Perfect Hotel for our Chicago Trip	I stayed the Avenue in March with 3 friends on a trip from Washington to Chicago to Minnesota. Our stay at the Avenue was the highlight of our trip. The shopping in Chicago is AMAZING!!! and just steps from this hotel!The staff at the hotel were incredible. It was pretty chilly out and the gentleman on around 10pm actually went out to the main road to hail a cab for us, and have it come to the lobby entrance to pick us up. Thank you soooo much. Guests don't forget little things like that, which were really above and beyond in my books!The actual hotel itself is beautiful &amp; modern. The room decor is fantastic &amp; the suites are very well laid out.Thank you for being a part of our vacation and making it so much more than we expected!	
Jul 27 2009 	Decent 3 1/2 stars just needs a little more TLC	Checked in room 2902 on a Friday afternoon. Check in very smooth. Room was spacious and clean. Bathroom was very small. Tub was a little bit dirty with some tiny hairs that were their prior to us and the tub water did not drain, we had to call maintenace. Hotel was in a good location. The beds were VERY comfy but the pillows a little bit too soft for my liking. Housekeeping was quick in response for toilet paper and towel requests and maintenance. Elevators a bit slow especially around check in or out time. The pool was much much smaller than you see on the hotel website. Employees very accomodating except for Bellmen, if you are not quick with the tip they actually ask for one. Decent hotel for the value.Be careful of the cab drivers, we had different rates to and from airports. We visited Millenium Park, Navy Pier, and Oak Street Beach (pack your own beach towel)Ate at Gino's East for Chicago Deep Dish around the corner from the hotel.. Pizza was like soup, too hot and mushy. Excellent spinach sticks though. Had the best ice cream at the ice cream shop in Millineum Park. Also ate at Weber Grill, got seated right away with reservation. Not overly impressed with this restaurant, it was good steak but I have had better. The Corner Bakery right down the street from the hotel was very very good for breakfast. Niu served Japanese, very cool atmosphere and good food. And one of my fav's was Yogurt Couture on Erie and State, a yogurt bar with every topping imaginable open til 4am on Saturday	
Jul 27 2009 	Who Determines Four Stars???	We went to Hotwire and asked for a 4 star Chicago Hotel for a weekend. They came up with the Avenue Hotel. Well, our room was so small, we couldn't order room service, there would have been no place to put it! The highly touted rooftop bar with the view didn't open until 6 p.m. and the bartender showed up after that. It was minimally, uninterestingly furnished - the view was as advertised, but we didn't stay for lack of anyone being there. Bars all around the neighborhood were jumping, but not this one. Beds and bedding were very comfortable. Bathroom also very small - all was very clean. We do question the criteria for four stars, since there must be a tremendous gap between four and five, judging by this hotel!! With so many choices in Chicago, I don't think we would choose this one again.	
Jul 26 2009 	great experience	Great location, we had a room on the 22nd floor, nice outlook, and quiet. We walked to all the tourist attraction from The Avenue Hotel. Staff extremely polite and helpful. Would not hesitate to stay again	
Jul 23 2009 	Great Hotel for a Cubs Weekend	I travel to Chicago several times a year and was looking for a hotel for a Cubs weekend with a friend. I was not familiar with Avenue Hotel but booked it through a discount hotel website. It turned out to be a great stay for us. The location was very convenient, just one block off Michigan Avenue and very close to the Water Tower area. We found the roof top pool and exercise facilities to be a nice plus too. I went swimming at 7am on Saturday morning and had a wonderful view of Lake Michigan while doing some laps.The hotel beds were very comfortable and everything in the room was very new including the high def flat screen TV. Valet parking at the hotel is a little high at $45/night. There are other lots close by for $20 to $30 per night. The roof top restaurant offered a nice breakfast but we did not eat there. All in all, we were pleased with our stay.	
Jul 22 2009 	We had compliments around every corner	My 2 friends and I stayed downtown for a concert. We chose the Avenue Hotel for price, location, and pool on roof. There must have been a mistake with the price b/c we got so much more than what we paid, $167. We had a corner suite, windows galor in the bedroom and the living area, flat screen, awesome leather couch, which does pull out but was so comfortable did'nt need to, and the zebra chair was the best. FYI, the minibar is sensored so dont remove unless ready to pay. We brought drinks and moved theirs, they charged us b/c the sensor but removed the charge when we explained, No Problem, staff was excellent from start to finish! The decor was great, we kept feeling the textured walls everywhere we went. The pool on the roof was excellent and the Sky lounge for breakfast could not have a better view or fresher fruit (eggs, bacon and toast were great too). The location was perfect for shopping, eating and drinking for a group of girls but very romantic for a couple as well, my man and I will definitely be there soon, Avenue Hotel be ready for us during the Air and Water Show!!	
Jul 20 2009 	A decent option if you can get a good price	This is a trendy spot. It is not fancy or spacious. If anything it feels very cramped. The lobby is small and crowded. The rooms are small (and I had a suite). It worked for a business hotel because I got a really good deal and it's in Chicago where hotels get expensive. You are 2 blocks off Michigan Avenue so it's na easy walk. There are some stores nearby and you are a short walk from the Hancock tower. They have a breakfast buffet on the roof - don't bother. The service is slow and sullen (unlike most of the rest of the staff). The food is marginal. You can do better almost anywhere. Would I stay here again - maybe. If I needed a downtown hotel for $100 a night and could get this one then yes. If this hotel was at full price then no. Chicago has lots of great hotels. If you are going to spend some money on the hotel then you should avoid the Avenue and stay at one of them.	
Jul 15 2009 	Wonderful	I stayed at the hotel during the Taste of Chicago. I received excellent service from the time I checked in until my departure. The staff was very professional. My room was superb and the hotel is in a wonderful location. The amenities in the room was very nice... I used to live in Chicago, so coming home for a visit was a real treat. I will be back and the Avenue will be my hotel of choice.	
