	Great stay in the windy city	Hotel was as described and whilst there was obvious works going on in the hotel we never heard anything. Staff were always polite and welcoming and its situ is ideal. I would recommend The Old Pancake House for breakfast, as per other trip advisor recommendations, it is superb quality and value.	
Jul 31 2009 	Anniversary Weekend	My wife and I spent our annivesary weekend at the Whitehall; and boy was it a disappointment. Although the location is terrific, we had a Pinnacle room which is supposed to be their high end room. The room (other than the bedding0 was nothing special. The bathroom needed alot of work and generally, it looked like no one had dusted in the corners for years. The worst part was that we wanted to take a architectural boat trip and the concierge pushed us to take one that was not on the list we had gotten from several travel guides. We paid more at the hotel than we would have paid at the site (including the coupon we had). What a bummer. Never again.	
Jul 30 2009 	Nice Hotel Fabulous Location	I give the Whitehall 5 stars for location; 5 stars for the morning crew's attention to detail and guest satisfaction, and 1-star for the night crew's attitude &amp; treatment of guests. Overall, I give this hotel 4 stars. What prevents 5 stars? The hotel is under construction (limited disruption to a stay at this hotel) and just how badly the nighttime staff ignored us. However, Nicholas and Francisco (A.M. crew) more than made up for that. Those two worked their tails off to make this a great stay for us.The hotel literally is ON the Magnificent Mile--very close to shopping, Chicago Tribune, Chicago River, etc. Also, there are so many bus routes that run close to the hotel and because there is a CTA stop nearby, the whole city is readily ACCESSIBLE. The room was beautifully decorated and felt luxurious. No breakfast available, but there is tea/coffee in the lobby in the A.M. I would most definitely stay here again and recommend to others.	
Jul 24 2009 	Great location beware of alley-side rooms	This is a great place to stay if you are on a budget, and seems typical of other older hotels I have stayed in - nothing flashy. The location is great for the north end of Michigan Ave., and it is about a 5 minute walk to the subway. The down side: my room was adjacent to the alley: between restaurant deliveries and daily garbage trucks I certainly didn't need an alarm, even 7 floors up. A similar phenomenon for the interior noise - anyone getting off the elevator down the hall sounded like they were two feet away with sound channeled through an ill-fitting door. Little noise coming through the walls, but the doors and windows may as well have been open. The staff were quite helpful and eager to please - I noticed that they went out of their way for a couple of different parties checking in while I was there - very friendly. A better room location would have made this 5 of 5 for me.	
Jul 21 2009 	Clean nice rooms excellently located	Highly recommended due to its location near major attractions and the lake. Rooms were clean and nicely laid out, the bathroom was A+.	
Jul 14 2009 	Nice hotel great location - just beware of AC issues	I stayed at the Whitehall with my friend this past weekend. The room was a bargain - $80 (including taxes) from Orbitz. For that price, the hotel didn’t have to provide much. I came in with low expectations and was pleasantly surprised.We were given a nice sized room on the 15th floor. Though we didn’t really have a view, we weren’t smack up against another building either, so I was happy with what we got. The room was tastefully decorated and actually looked better than the pictures on the website. The bed was fairly comfortable and the closet had tons of hangers that came in very useful. The bathroom was an adequate size and had the toiletries were refilled daily. The room was very quiet. Occasionally, we heard people in the hall, but we never heard voices or TV coming from an adjoining room. That, right there, is worth quite a bit. Now, for the AC issues. We were in a room with central air, and during the day it seemed to work great. The temperature controls responded, and when we set it at 69, the room actually cooled to 69, but for some reason, during the night, the AC did not work at all. We could set it at 60, and the temperature would continually rise. We usually woke up at about the time the room hit 77 or 78 and we realized we had flung the covers off in a fit of sweat.The room was kept clean, for the most part, but one day our room didn’t get cleaned until 4:30 p.m. or so. And I noticed a few red specks/splotches on the ceiling in one area. It kind of creeped me out, but I decided to try to overlook it. Really, the best part about this hotel was the location, especially if you are a shopper. It’s only a block off Michigan Avenue, and it’s super easy to do shopping and drop your bags off at your room. It’s also easy to buy a quick snack or grab bottled water at one of the nearby drugstores, the Potbelly Sandwich Works (in the nearby Bloomingdales mall), Starbucks or McDonald’s (all within a couple blocks of the hotel).	
Jul 7 2009 	Great Spot Nice Hotel Ambiance	Stayed here for three days on business and found the hotel to be very nice. I got a room at the back, end of the building, which allowed a larger , comfortable room. The staff was extremely attentive. The hotel has a very nice, older world anbaince. The bar is like a fabulous old men's club - heavy paneling, sumptuous sofas and low lighting - very, very nice place to work during the day when the bar is closed. Although it may be a personal taste thing; and older couple walked through while I was there and I heard the elderly gentleman say, &quot;This is like a funeral parlour&quot;! I certainly disagreed with him! Not much lobby, but i didn't need one. Right near the Hancock Tower, restaurants and great shopping.	
Jul 6 2009 	Perfection as usual	This was our second time staying at the Whitehall. Once again it was perfect in every way. The rooms are well decorated and plush. We stayed on the 19th floor and the view was great. We personally prefer boutique hotels because of all the little details they offer over large chain hotels. The whitehall has a great location which is close to everything. Parking is right across the street or you can valet. Shopping is right around the corner so is the bar scene. We have been to the other surrounding high end hotels and none of these hotels even come close to the Whitehall. We stayed in the Whitehall suite. The room had two bathrooms a dining and bar area, living room, dressing room, and of course an impressive bedroom. The lobby of this hotel is very nice and simple. The rooms where you spend most of your time is where all the relaxation lies. All the staff are very friendly and helpful. All in all I highly recommend this hotel. Its the only place I will stay in Chicago.	
Jun 30 2009 	Nice hotel loud a/c	The hotel itself was very nice (older but remodeled.) Mattress, duvet, pillows were luxurious. Room was spotless. The staff downstairs was very friendly and attentive.My only complaint would be that the individual a/c unit in our room was very, very , very noisy. I understand that the hotel is trying to replace these with central air so maybe in a year, this will no longer be an issue. On the positive side, it drowned out any traffic noise there may have been.	
Jun 19 2009 	Speechless...	...and not in a good way. When we checked in on June 17 we walked into a room that was 78F and immediately turned the AC on to cool the room. We left to go sightsee and returned to a room that had not cooled. Luckily it was cool that evening so we decided to open a window and call it a night. The second night we discovered that the remote control didnt' work, there were lightbulbs out in the room and the Internet was not working....and did I mention the air conditioner did not work. At midnight on our second night, enough was enough and we called down to the front desk. The maintenance guy came up and said &quot;Yea, this doesn't work.&quot; Thanks for the huge insight, man! In any case, the staff upgraded us to a bigger room where the AC worked. I will not, however, stay at The Whitehall Hotel again as it is less than stellar. Not impressed at all.	
Jun 11 2009 	Great location great staff great beds	Since we are familiar with Chicago, we were looking for a central location, walking distance to shopping and clean rooms. The Whitehall met all of our expectations. The staff at the Whitehall were courteous and very helpful. The rooms were clean and the beds extremely comfortable. The location was excellent for walking to Michigan Avenue shopping. We did hear some Air conditioning concerns from other travelers but did not have any problems in either of our 2 rooms.	
Jun 7 2009 	This Hotel exceeded my expectations	The Whitehall is located near the Magnificent mile and the John Hancock building. It is near CTA bus and rail transport and the Lake Shore. Service was great and the food in the Hotel restaurant was much better expected for a hotel restaurant. They actually gave us more food than we could eat so we difinitly felt like we got our monies worth. We had a corner room. Very clean and comfortable. The only negative..It was difficult to see the TV from the bed. Overall, a great place to stay at a reasonable price.	
Jun 1 2009 	Terrible Service	After my experience this past weekend, I felt compelled to write my first hotel review ever. My family and I came to Chicago for a wedding and chose this hotel first and foremost because of the location. It's central location was key because we were only going to be in town for the weekend, and it was in the middle of everywhere we needed to be for our numberous weekend activities. When I arrived to checkin on Friday night around 8pm, I was told that all three of our rooms were unavailable, and the rest of the rooms were booked. They said that there had been a &quot;plumbing problem.&quot; No effort to contact me in advance was made, even though I had booked 2 months in advance. When asked what other options there were, I was told that there were 3 rooms available at the BEST WESTERN A MILE SOUTH of the hotel. Only after some haggling did they even offer to comp the first night. I thought that this was somewhat of a luxury hotel with luxury prices, and for them to offer me a night at the Best Western was incredulous, not to mention that it put us a mile south of where we had planned to be. They wanted us to check out of the Best Western the next day and check back into the Whitehall , which was impossible because we had a schedule to keep during the day. That is not the kind of service I expect from an establishment such as this. Only after complaining did they offer to put us up at the Talbott Hotel a block away. Why did they not offer this in the first place? It made the first offer at the Best Western feel like a huge lowball offer. Their explanation was that the hotel also owned the Best Western. I guess management cares more about cutting costs than about customer service. Two hours of my Friday night was wasted with this hotel which made me miss most of the reception that was taking place nearby.The best outcome of this whole ordeal was the TALBOTT Hotel. It was a beautiful and intimate boutique hotel, with spacious rooms and an incredibly professional staff. If you are visiting Chicago want to stay in a great location with wonderful comfort, service, and style, do yourself a favor and spare yourself the hassle, STAY AT THE TALBOTT Hotel.	
May 26 2009 	Great stay!	This was our first trip to Chicago and we weren't quite sure where to stay. Due to the reviews on here and because I was able to get decent rates we decided to stay here. When we arrived we were pleasantly surprised with with this hotel. It is in a wonderful location, the staff were very friendly and accommodating and check-in was easy. This hotel is 1/2 block off of the magnificent mile and the John Hancock building. The hotel is cozy and inviting. I loved the fact that we were in the middle of this huge city but the hotel was intimate and I felt like I was at home. The rooms are very nice and spacious enough for 2 people and the beds are very comfortable. We had a great stay and I would recommend this hotel to anyone.	
May 10 2009 	Great location	We were in Chicago on a stop over and were really pleasantly suprised how lovely a city it was for a short break.Hotel location is great, just off magnificent mile. Very clean and decent sized rooms. Felt a bit business like and the service was not very personal (e.g. we never felt like having a drink in the bar) but it was a great base to explore the city as there are plenty of bars, restaurants and shops nearby.	
Apr 28 2009 	Great Value! Across from 4 Seasons	We had 2 rooms both were a great value! Family members stayed at the four seasons and spent $400.00 a night more than our rooms. Room 1 had a king bed and a goofy sized Bathroom and the view was the side of a building. Room was very clean and cozy! Room 2 was an upgrade for $20.00. 2 Queens and a full Bathroom and the veiw was &quot;Delaware Place&quot; The street in Front of the Hotel. Very nice room lots of room and a much better view for the first time visitor would recommend spending the extra money for the upgrade! Room was clean and very comfortable. The only draw back was the 1 small elavator and the long waits to go up and down. Should be a lot better when they are done remodling. The staff is the best! from the door man all the way to the cleaning Staff I would give them an A+	
Mar 18 2009 	The perfect Boutique hotel!	My wife and I stayed here for a one-night getaway, and I was pleasantly surprised. The lobby, elevators and halls were smallish, as is to be expected from a boutique hotel that dates to the 1930's. They were nonetheless well-appointed. Check-in was smooth, the valet fast. The room itself was SWEET. It was a bit small, but well appointed too. Bed was perfect, the bathroom spotless and tastefully appointed, with higher-end guest toiletries. The only gripe would be that the walls seem a bit thin. Other than that, great stay, walking distance to the city's best restaurants and bars.	
Mar 11 2009 	Perfect room and location. Faultless.	I've just returned from 5 nights in Chicago staying at the Whitehall.The hotel was for me, perfect. A great location just off the Magnificent Mile. Close to all the shops and restaurants nearby. The loop is walkable as is Lincoln Park from the hotel. The hotel is not part of a chain group which I think makes it all the better. It has a more personal feel to it and adds to the experience. The room was great and the bed and pillows are the most comfortable I have experienced. The staff were very helpful and just after check in, the guy on the front desk (Lemar I think) called to see if we were happy with our room. Great staff, great hotel, and reasonable price. All in all, I wouldn't hesitate to recommend this hotel. If I'm back in Chicago I know where I'll be staying. 10 out of 10. Richard, Dublin, Ireland	
Feb 6 2009 	Small Feel in a Big City	Overall the hotel was nice. The electronics and decor could use an update.	
Jan 13 2009 	Great Location standard amenities	My wife and I stayed here the first week of November 2008. Everything went great with our reservation through Agoda. Upon arrival we were upgraded to a Pinacle Queen, Larry at front desk was very helpful and charm. The room was on the small side, but very comfortable and in very good shape. The bed was really comfortable and the sheets were in excelent shape. The hotel cannot be better located at only one block from Hancock Center and Water Tower. There is no complimentary internet access, though there's a ING Caffe located about three blocks from the hotel with complimentary internet access. Just a couple of blocks from the hotel are the Rush Street restaurants and bars. This hotel is a great value for money, specially when the last thing you want to do in Chicago Downtown is be at the room. We will definitely stay here again.The only down side is that when I got back home and checked my credit card balance, the hotel had charged 8 usd to my credit card after I left. After many calls to the hotel nobody was able to explain the reason for the charge.	
Jan 6 2009 	Nice Alternative To Bigger City Hotels	A business trip to the Windy City helped me discover the Whitehall, as I was looking for a smaller property. It has a truly boutique feel with a very cozy lobby and a European flair to hallways and rooms. The elevators were super fast. My king bed was very comfortable and the bathroom was upscale and reasonable in size. The size of my room was fairly small but nothing out of the ordinary for a city property. Staff was helpful and delivered a remote for the TV to my room when I called to let them know that mine was missing. Internet access is a daily fee.What prevented this property from getting a five rating? Climate control. My room was cold the first night with no warm air coming out of the radiator when the thermostat was set to heat. I reported it the next morning and came back to find the room stifling with warm air pouring out. Even with the thermostat off and the window being kept a crack open with 30-degree cold outside, the room stayed too hot. Either 64 degrees or 80 degrees were the two choices for my room temperature, regardless of thermostat setting.I'm trying to not focus on that, however, as this property is a true find on a quiet side street in the northern part of the downtown area, just steps away from Magnificent Mile shopping. If you're looking for an alternative to the big chains in a great location, strongly take a look at the Whitehall.	
Dec 27 2008	Great Service	After a very nice stay in a Chicago landmark hotel our car was damaged while being stored in valet parking. The car was seven months old with out damage. The valet who parked the car confirmed there was not any damage to the car. The security officer assigned to the case was very professional and courteous. He requested damage repair bids, and reimbursed for the damages in a short period of time.Not only is the hotel beautiful, this service concerning the damage to the vehicle was exceptional.	
Nov 24 2008 	Lovely stay	I read all the reviews after booking and paying for the room and was very concerned about what it would be like. I just came back from my trip and I have to tell you I loved the hotel! First of all, the hotel room was quite big, with a very comfortable king bed. I have stayed at the Hilton Two Towers and the bedroom was about half the size than at the Whitehall. The bathroom was real cute, although yes you had to carefully close the faucet so it would not leak (but it was possible to make it stop leaking). Even though we paid a really low rate, we got a nice bedroom from which we could see the Hancock Tower. Service was fast (we forgot shaving cream and got it in less than 2 minutes), and the room was fully equiped with a good hair dryer, a good iron and iron board, and two nice robes. The elevators... We did not have to wait once! Almost as if it were a joke, right after we checked in the elevator's doors opened. Our conference was at the Avenue Hotel, and there you had to wait about 5 minutes everytime you wanted to go up or down. The heating system was a bit too loud. Of course the location is great, so close to the Hancock Tower. Bloomingdale's mall is nice and has a cute Christmas tree. There is McCormicks &amp; Schmidt round the corner with a cool bar (happy hour 10.30 to 11.30pm), and other nice restaurants.	
Nov 11 2008 	Loved The Whitehall Hotel	I just returned from a wonderful trip to The Whitehall Hotel in Chicago. I was skeptical about staying at this hotel due to some of the negative reviews. I was pleasantly surprised. I loved the hotel &amp; will stay there again. The accomodations and service were outstanding!!! Renata and Alex in the lobby were exceptional!!!!!!!! Thanks for a wonderful stay!!!!!!	
Oct 28 2008 	I can't understand the critics	This hotel was a tremendous find. I was worried about the criticisms of it on Trip Advisor but they were RIDICULOUS. This was a superb hotel, scrupulously clean, a very comfortable and well-equipped room, a central location, and most of all, welcoming and efficient. Each evening I felt that I was coming home . Nothing was too much trouble for any member of the staff. The bar, even for an elderly widow on her own, was cozy, and a good place to entertain. My son-in-law and daughter were staying a few blocks away at the most expensive hotel in Chicago. I did not feel any envy at all. Not only is the Whitehall wonderful value. It is wonderful. C Roberts, England	
Oct 27 2008 	Wonderful stay	I recently spent one week at the Whitehall. It was fantastic!The most comfortable hotel bed I have ever slept in. The food at the Hotel's restaurant was well above par. Try the corned beef hash for breakfast - BEST I EVER HAD!We plan to return again - hopefully soon.	
Oct 25 2008 	Good value fantastic location...	I stayed at the Whitehall while I was taking the Illinois Bar Exam in late July, 2008. Overall, the stay was quite pleasant. Check-in was quick, and a friend and I were both upgraded. As far as service, it was always very efficient and friendly. When I alerted the desk that the safe was not working properly, a very courteous employee came up instantly and quickly reset the safe. As far as the room, I found no major problems. I knew there may be a few &quot;rough edges&quot; here and there from reading previous reviews, and was not disappointed by the hotel whatsoever. There was a little bit of what seemed to be water damage on the wallpaper in a corner, and I noted one 1&quot; slit in a pillowcase. Aside from that, everything was very clean and fairly up-to-date. Sure, the elevators are tiny and one public restroom on the ground floor was very tight, but I knew that going in. My room was very quiet (and cool via the a/c), and the bed/linens were extremely comfortable--just what I needed to relax in preparation for my exam. Some previous reviews seem a little dramatic - I had read them, prepared for the worst, and was generally very pleased with the room. And hey - for what you pay (I paid $159 a night), it was a great deal. What do you expect? I doubt you can find anything comparable (wich such a fantastic location) for less!	
Oct 7 2008 	Horrible Experience!	We booked this hotel for a special &quot;Girls Weekend&quot; and birthday celebration as we were enticed by the advertisements such as: &quot;newly renovated boutique hotel near downtown Chicago.&quot; We arrived at the hotel and immediately had the following issues:•Their restaurant and bar were not working because of some electrical and licensure issue•No room service was available•One of the elevators was not working•The bellman would not help us with our luggage•One room had no A/C during the entire stayWe understood that for about one day. However, this occurred during our entire, 3 night stay. We had three rooms booked at this hotel for 2-3 nights.We brought these issues up the hotel and to the hotel manager and they would not do anything about giving us a reduced rate. We brought up directly to the hotel manager that none of the amenities that they offered and/or advertised were available for our use. They did offer us one free ride in their hotel limousine within a 2 mile radius of the hotel for our troubles as well free beer/wine in a conference room and some free pastries for breakfast. However, these amenities were already offered with the hotel, so this was nothing extra! For $250-300 per night we could have stayed across the street at the Four Seasons Hotel AND had all of the amenities that go with such a hotel for that price per night.The Whitehall Hotel has now lost five guests for good, one of which was a travel agent!	
Oct 7 2008 	Another stay which was fine	Popped back in last Saturday for another night stay visiting Chicago for dinner with a friend. Slight delay at check in less than 5 minutes. Got to the room and it was fine. The only issue was the thermostat for the air conditioner needed a bit of work to sort it out.Bathroom was clean and the decor was ok. I'm not over enthused with views from rooms as I tend to treat the room as a place to get changed and sleep in - nothing more, I am not known to lift the bed to check for things. I paid $180 for the night, my companion quite liked it and we have to remember this was not purpose built as an hotel so the construction aspect of the property is not as good as say the 4 Seasons (which I find pretentious and unfriendly) or the Westin (which I found soulless). So choose which you prefer. I like the Palmer and the Silversmith but they are too far away when you only have 36 hours to meet up, shop and get on your way.So all in all I was happy.	
Sep 26 2008 	Would never stay here again	This hotel was horrible. The halls looked like a hotel out of the 80's (old, stinky, trash not emptied for days), the elevators are so narrow 4 people is a TIGHT fit, the furniture in our room was ribbed and torn - the cushion was coming out of the chair, the walls were cracked and the wallpaper was coming off, they painted over stains to make them less visible, the air conditioner was broken. The service we received was a nightmare. The room service recptionist could not understand what a &quot;soda&quot; was when asked &quot;what sodas do you have...&quot; They don't have a spa (even though they say they do - we had to get massage therapist's from the Four Seasons across the street). When we informed the hotel manager of our issues he comp'ed one night's stay (I don't think this was enough to have broken airconditioner and wake up sweating 3 mornings in a row). In addition the shower head was perfect size for a 4 foot (or shorter) person. Someoone of average height could not have showered in the hotel and if you were tall - FORGET IT! I called the owner and left multiple messages HE NEVER EVEN RETURNED MY PHONE CALL! This hotel is NOT recommended. The service is lousy - and the owner doesn't even care enough to call and apologize! My suggestion - stay at the Four Seasons right across the street.	
Sep 25 2008 	Joni	I spent a lot of time on-line looking for the &quot;right&quot; hotel we would want and the Whitehall was what I wanted for our 30th anniversary. It was even better than expected. I've booked on-line before and was deeply dissappointed. But at the Whitehall our Pinnacle King was wonderful. We had a four poster bed with more than enough down pillows, down comforter, wonderffully comfortable sheets, clean room, great balthroom. The staff went out of their way to be helpful but not intrusive. So close to everything you would want:: Michigan Ave., State Street, Rush. A hotel with such wonderful character. I thank them for helping us have a wonderful anniversary weekend. We'll be back definitely!	
Sep 22 2008 	Checked out 10 minutes after we checked in!	A disaster from the start. We had reserved two adjoining rooms at the Whitehall, upon check-in were told that 1) only one of the rooms was ready (it was 4:30pm!) and 2) that they actually don't have adjoining rooms. There was confusion among the front desk staff about the difference between rooms &quot;next to&quot; each other and rooms &quot;near&quot; each other. We had waited about 20 minutes just to get to the front of the check-in line, so we just wanted to get to our rooms to relax before dinner and took what we were given. Next, the room. I'd expect better from a motel. The wallpaper was peeling off the walls (see pictures) and the a/c unit was literally falling out of the wall. After a little debate and a few phone calls, we gathered our things and checked out. I will say that the front desk manager handled the situation well and did not charge us a penny. Skip it--there are better hotel deals in the city. The only thing going for the Whitehall is the location.	
Aug 31 2008 	Great Location Had a Great Anniversary Trip	My wife and I needed a hotel downtown to stay at while we celebrated our 6 year anniversary. We stayed downtown on our wedding night, so we wanted to stay downtown again. But it was the week of a huge music festival and prices were skyhigh. So we searched and found a great price online for the Whitehall. We knew nothing about it, but looked it up on tripadvisor (as we always do). Many people had good, and some bad things to say about the hotel...but our experience was all good.First, great location. Blocks away from the Hancock building, shopping, great food...and everything is in walking distance. Second, the hotel is classically beautiful and clean.Finally, they treated us well. We had a problem with our air conditioner, they fixed it quickly. When they found out it was our anniversary, they upgraded us. We were thrilled with our whole experience and would recomend it highly.	
Aug 24 2008 	Superb location	Has the ambience of a fine European hotel. We enjoyed our stay very much.	
Aug 7 2008 	Good Hotel Fantastic Location	The best thing about the Whitehall Hotel is it's location, really close to the Magnificent Mile. Everything was really easy to get to from this hotel.The Hotel itself is clean, friendly and comfortable. Our room was spacious, bright and airy. We had a good view from the window to get an atmosphere of chicago life.Really pleased with this hotel and would recommend it.	
