	Loved it!	Loved it! One of my favorite hotel's that we have stayed at in Chicago. Great room, great breakfast, great location. Everyone we came in contact with was so pleasant. The lobby was beautiful. The room in nicely updated - and breakfast was delicious. Hopefully we get a chance to stay here in the future and most defiantly will recommend it to our friends.	
Oct 8 2009 	Very Convenient with Children	Overall very good experience, went there with 2 kids aged 5 and 3, suites are definitely convenient for families, and very clean, no real surprise like any embassy suiteon the downside, I can mention that it was very crowdy for breakfast (not too mention a 20mins waiting line to get freshly cooked omelettes), there were no bagels though it was not bad at all.Also, they charged me $15 for a 24hr internet connection which I found a bit steep..on the upside, there is an indoor pool which seemed nice but did not have time,,,	
Oct 8 2009 	Valet damaged our car! Hotel mgmt didn't care!	The hotel itself was fine, except for the noise factor. We could not figure out where the noise was coming from, as we had no immediate neighbors. It turns out we were hearing someone from an entirely different floor through the vents!We had two rooms on the 13th floor. One faced the lake and the other faced the river.All in all, a decent value ($250/night during our stay) for a good location.The main reason I'm writing this review is that I'd like to caution against using the valet at the hotel. It is operated by a company named Impark. We used valet for both our cars. Upon getting our car back, there was obvious damage to our new vehicle's driver side door. It took us waiting almost THREE hours and having the Chicago police come and take a report before we felt comfortable leaving. They refused to provide insurance information. The Chicago police asked them for it and their business license and they refused to provide it - even to the police. They said they didn't have it in this location (illegal to not have a business license on display, by the way). We're still waiting for our reimbursement for our car's damage. To top it off, they still charged us the $48 parking fee even though our car was damaged. Additionally, the hotel's bellman rammed a bell cart into the other vehicle we had parked with Valet. Our familoy couldn't afford to keep waiting, so they just ignored the small ding it left on their vehicle.The main problem, other than the nearly-$500 damage our vehicle sustained, was that the hotel manager was unavailable. When we finally did get ahold of him, he was entirely unconcerned that our vehicle was damaged! We did not even get an apology. He just told us they contract out valet and so it was not the hotel's problem. Sure, it is not... but we were paying guests using their valet, which was on our hotel bill. We don't care who operates it. What poor customer service!We will NEVER stay at this hotel again. We will also never valet in Chicago again... as this was the second time a brand new vehicle of ours was damaged by valet!	
Oct 7 2009 	Friendly Staff / Great Location / Excellent Service	We spent 4 nights at the Embassy Suites Chicago Downtown Lakefront and everything was terrific. The staff at check-in, bell hop, valet and bartenders were all very friendly and readily available. The breakfast buffet was very good and not too crowded if you go early. The manager's reception in the evening was great and the bartenders were terrific. On checkout the bell hop offered to get us a cab to the airport for $45 (that's the going rate) but when the cab was late they offerred us a full-stretch limo instead for the same price! The kids really enjoyed that. I would recommend this hotel for both families and business travelers.	
Oct 7 2009 	Comfy room 	Spacious room and a fab, partial lake view. Watched the Navy Pier fireworks from the bedroom window -- sweet! Noise was a problem. Paper thin walls -- TV and conversations on either side were so loud that other guests might as well have been in the room with us. I don't think it was our neighbors' fault -- I could even hear sneezes, the walls have no soundproofing. Service was spotty. While the front desk was great, the housekeeping staff skipped our room one day. The Manager's Reception was a zoo -- at least 50 people in line in front of us both nights, and a fairly surly woman pouring drinks once we finally made it to the bar. We'd probably stay here again for the super location and spacious rooms w/fridge and microwave. But honestly I would trade the breakfast and drinks hour for better soundproofing and free Wi-Fi. (Internet = $14.95/day, ouch!)	
Oct 5 2009 	Very good hotel poor service	Booked this hotel on Hotwire for only $108/night, which really was a steal. The hotel is in a very good location and the rooms were quite nice, but front desk service was really lacking. I was there for a four night stay, and for three of those days my keycard wouldn't give me access to my room, forcing the desk to call security each time to let me into their room. Things break, that I understand, but still not fixed three days later? Unacceptable. To top it off, not once did the front desk even offer an apology for the problem, and this was dealing with multiple front desk staff due to the many times I needed to be let into my room. They just stated very matter of factly that their card system wasn't working properly and security would have to let me into the room. I don't expect them to bend over backwards apologizing, but a simple &quot;we're sorry for the inconvenience&quot; would have been nice.Would I stay there again? Yes, because the price was right and it was a good location, but I just wouldn't be expecting much from the front desk.	
Sep 28 2009 	Great location good for kids some service challenges	My wife and 4 1/2 yo daughter stayed here during one of the busiest summer weekends- The air and water show.First of all, the location is great. It is easy to walk to Navy Pier, the beach, Michigan Avenue, even with a youngster. The hotel is just a few years old and is holding up well. We paid extra for a lakeview room but, because of the number of high rises around it, probably not worth the extra expense.The rooms, as with all Embassy's we've stayed at, are spacious and comfortable. Breakfast was very good and they had an amazing omelet chef who was fun just to watch as he cranked out special order after special order.On the service side they were a bit challenged. I recognize that this was a big weekend and they were packed but feel they should have known this as well and planned for it more. Front desk waits, happy hour lines over 100 feet long and luggage check out all took time away from our holiday in Chicago. They also only had the concierege available for part of the day. Two times we were looking for advice and help and because the concierge was 'off-duty' we would have had to wait in line to get a suggestion.	
Sep 27 2009 	Fantastic!!	We had a 4 night stay at the Embassy Suites for a girlfriends get-away, and we couldn't have picked a better hotel. Every employee from front desk, to cleaning service, to breakfast greeter was friendly and helpful and always seem to have a welcome smile on their face. Our 11th floor 2-room suite was perfect for 4 women. It was very quiet, and the air conditioning worked fine. We were concerned about only one bath for 4 women, but the bar sink with mirror in the living area, and additional sink/mirror in the bedroom gave us plenty of options for hair and make-up. The room, and everything about the hotel was clean and fresh. We asked for additional hangers and they were delivered in minutes.The large buffet breakfast was both a time and money saver, as were the free evening cocktails. Best of all was the location. We walked everywhere! It was very centrally located only about 2 blocks from the river walk, 2 blocks off of Michigan Ave (shopping), and 2 blocks from Navy Pier, and yet was away from high traffic areas. While you are there, if you would like a great Italian restaurant with the real old world Italian feel, try Volare, just about 1 block from the Embassy Suites. They are wonderful!	
Sep 20 2009 	Avoid this Hilton property	Check in went smoothly. We were able to check in early, however because the hotel was completely sold out we were given a smoking room. The room was very warm and stuffy although the thermostat was sent at the lowest setting.When maintenance arrived and pulled the font of the unit off the air filter was so filthy it looked like it had not been changed for years. The quality of air in the room was very poor. The bathroom was very dirty with only bare amenities. There was 1 bar of soap, 1 bottle of shampoo and no hair dryer. Over all the hotel was not very clean. The chairs in the breakfast area were very dirty. Carpets were stained and food trays left in the hall ways for extended periods of time.There was no concierge and no one at the front desk could answer any questions.The quality of this hotel has really gone done hill in the last few years. I have stayed here on a least 6 occasions in the past because of the good location but because of the poor service and the lack of cleanliness I will not return. Perhaps I'm expecting too much from Embassy Suites, but at one time this was a pretty nice hotel to stay at. It appears that they need a major renovation of the rooms and common areas as well as improvement in overall customer service. Hilton should be ashamed.	
Sep 17 2009 	Excellent location!	We stayed at the Embassy Suites over Labor Day weekend for a wedding. We are HHonors Diamond Members. We had a top floor 1 bedroom suite (17th floor). The elevators were the fastest elevators I have ever been on. Never had to wait more than 2 minutes. The room was extremely comfortable. There was a queen sofa sleeper in the living room with a TV. The bedroom had a King bed with another TV. We used the valet for parking. Not happy with the $49.00 day parking, but MOST of the hotels downtown Chicago charge about that much. Service was perfect. Loved the Managers reception 5:30pm to 7:00pm every night, snacks with free cocktails. The breakfast in the morning was great. It was crowded, but it was a holiday weekend. We did not have any trouble finding a seat. I HIGHLY recommend this hotel. You are close to EVERYTHING! We did the Architecture Cruise http://www.chicagoline.com/which was within walking distance from the hotel. Excellent!	
Sep 16 2009 	perfect	This is with doubt one of the best hotels we have ever stayed at, it was our first visit to Chicago, we booked through hotwire and got it for 100$ per night.THe location is brilliant the complimentary breakfast was excellent we never had to queue, the 2 hour free drinks was great and you could order what ever you wanted. The staff were friendly and efficent, small swimming pool was fit for purpose, rooms are large and spotless clean,we viisted over labour day weekend and it was busy but this is a well run hotel and we never felt stressed. I cannot reccomend this hotel enough and we have stayed in many around the world, we definitley visit Chicago again it is a wonderful city with wonderful people. WE went to see the jersey boys it was brilliant it closes in Jan so if you are in Chicago dont miss it, Sullivans steak house food excellent , give PF Changs a miss this one not up to usual standard, P clarkes connected to hotel food ver good and good prices.	
Sep 1 2009 	Such a Friendly Hotel	We stayed at the Embassy Suites Hotel Chicago Downtown for a girls weekend. We had a great time, everyone on the staff was VERY friendly. We actually had a large number of us in the room, which was not a problem because the rooms are a decent size. The staff was very accomodating when we needed more towels, blankets, etc. There is a great free breakfast in the hotel lobby. It has made-to-order omelets, plus everything else a person could want. The consierge was very helpful, told us where to go, what to walk to and where to take cabs. The hotel is in a great location, we walked everywhere. Michigan Avenue, Navy Pier, Weber Grill for dinner. We would highly reccomend it to anyone!	
Aug 21 2009 	Wonderful place with included extras.	Traveling Grandparents with young grandkids. We throughly enjoyed this hotel. The bonus reception with drinks and snacks was a money saver. The breakfast was hot and plentiful. We were always at breakfast early, so we did not encounter crowds. The pool was on the small side, but only the grandkids swam, it worked out fine for us. The room was wonderful, we could put the kids to bed and close the door, while the adults stayed in the livingroom (two televisions helped). We had three sinks, which was very handy. Close to American Girl, and other great shopping. The view from our room was fantastic. No problems with housekeeping. The staff was friendly and helpful. There is a great grocery store right across the street, with resonable prices. The restaurant attatched to Embassy is called PJ Clarks, the kids ordered mac &amp; cheese that was just delicious, for only $4.95. We enjoyed ourselves at this hotel.	
Aug 15 2009 	excellent location complimentary breakfast expensive internet	I was there for 3 nights for a conference. The check in process was quick and the staff was very friendly. The suite was very big but almost no space for the hanging clothing or the luggage. It was clean but there were also some stains from prior leaks which could have been cleaned or renovated. The wireless internet cost 14,95 a day and is veeeeery slow. Not worth...There is complimentary breakfast wich is really good, rich, even with cook to order. This can save you a lot of money if you like to have breakfast every morning.The staff was always very nice and helpful. They have a business center which is free of charge to use.The air condition in the lobby and in our conference room was a bit of a problem. it was very cold. Between 60 and 65. Especially when you come from the outside this cannot be very healthy. We made all (from the conference) complaints but it didnt change. Not sure if something was broken of if they ignored us.However the hotel has some signs of the age and could be updated in some areas. The location is great, withing walking distance to Navy Pier and other attractions.I would stay here again.	
Aug 5 2009 	Good But Not Great	Stayed at this Embassy for Market Days with some friends and loved the location and the look of the property. I had a similar problem with checking in early as one of the other reviewers. I checked the night before we checked in to make sure that the hotel had rooms available the night before we checked in which meant vacant ready rooms for the early afternoon on the day we were arriving. We arrived at the hotel around 1230pm and were advised that there were no rooms ready and we would have to come back at 3pm, and we were also told that we would have to carry all of our bags back downstairs to Bell Services ourselves to leave with the plethora of other luggage crowding the entrance. I did call the hotel shortly after we left to eat before coming back, and the person on the phone informed me that they did have clean rooms available and a person could walk in to get a room and checkin now, which was kind of irritating. I did not want to make a fuss so I let it go.We came back at 3 and our room was ready. The room was very spacious and nicely appointed, great view from the 17th floor. Housekeeping was efficient and never bothered us when we were in our room, we did however have to call down 4 times for extra towels, and after an hour they met us halfway down the hallway to get them. Breakfast was plentiful and lots of tasty variety. It can be crowded but the service staff was on top of turning tables around as other guests left. The manager's reception was better in the way of drinks than the Embassy in Rosemont, but the snacks were still a little lacking, 2 kinds of similar snack mix and tortilla chips just don't do it for me all the time. Pool and hot tub area were nice, a little small but perfectly functional for the space, it didnt feel crowded.Beds were comfortable and location was great in relation to Michigan Avenue, and only a couple of blocks from the Red Line station at Grand. Overall it was a good stay, and I would stay again. Watch your bill though, on checkout they tried to charge us 49$ for Valet parking, for one day, when we took the bus into the city, so after a couple of questions of &quot;are you sure you didnt have a car?&quot; they removed the charge. Good property with a great location, just some minor service issues. Will most likely be staying again in the spring.	
Aug 4 2009 	Great location happy with our stay	I was able to obtain a good rate for this hotel through Hotwire. I then had called the hotel to request a King room in a quieter area of the hotel. At checkin you need to be watchful for the hotel entrance on Illinois St. It's easy to miss this driveway. The driveway was extremely congested upon our arrival. My son and I managed all of our luggage ourselves and went up the elevator to the hotel lobby to check in. We were placed in a room on the 6th floor, which is actually the first floor for rooms. Our room was clean and ready for us as requested. We stayed for 3 days and yes, by far the majority of the guests were families with children or reunion type groups. This is not the place for a quiet get away for couples. The breakfast was fine and certainly offered plenty to eat. I don't think it's worth the wait to stand in the long line for your &quot;cooked to order omelet&quot;. All the other side dishes are the same as offered on the two buffet lines. Yes, it was crowded, but workable. Instead of paying the $42/night to park our car at the Embassy Suites we used the parking lot just caddy corner from the Embassy Suites on Illinois for $29/night. Be sure to go to the grocery store (Dominick's) directly across the street from the hotel to purchase your CTA bus cards. $5.75/24 hours of unlimited bus and train travel- great for getting around town easily. From the outside you can't tell Dominicks is a grocery store- look for the Starbucks. The hotel's location is ideal as you can easily walk to Michigan Ave. or down to Millennium Park. On a personal note: I discovered after we checked out that I had left my purse in the room. Panicked I called the hotel and was told that Security would take care of looking for my purse. Sure enough, upon my return they did indeed have my purse waiting for me. I was so grateful!	
Jul 31 2009 	Terrible place to stay	I should have know the charcter of this hotel, by when we pulled up to check in.......There was tons of tons of luggage left in the hotel driveway on the curb. That was my first sign, but I ignored thinking a large group must have just arrived. Then inside the hotel was more luggage, against my better judgment I left my luggage with bellmen. Which he assured me that it would be brought up to my room as soon as I get checked in. Well, that never did happen...I was then told at check in my luggage will be right up. 2 hours later before I received my luggage...I was so upset, after calling and calling get one excuse after another. Then, I did not know the Embassy Suites is now a kids hotel, I would have never stayed, there was hundreds of kids running around, playing on escalators, no parents, no hotel security supervising these kids, I finally had to tell a couple of them to stop running and playing on the esclators and elevators, it was horrible. Then the room, it was horrible, left over container of food in my room, strong odor, I moved rooms, but the hotel staff was not very nice. Got through that, the next room, well it also spelled bad, not very clean, no coffee pot, no hand towels, I mean does the maid not check these rooms, basic stuff. I would never stay there again and would not recommend this hotel. Even though the location is a good one, it's not worth it, I would spend more to be at a upscale hotel. Oh, upon requesting bellman to get my luggage because we would store our luggage since we had a early evening flight. Well, by time I got to the lobby, what do I see but my luggage outside security door, in front of elevator, anyone could have walk out of the hotel with my luggage, no security, no bellman. I was so upset, they had no explanation, I then had to stay there until I saw my luggage get locked up inside their security luggage room,They really need to find a method to handling baggage, and they need to review their staff's task...One last thing, I heard a maid walking in the hall using foul language....Do they not get training any longer, customer service is horrible......Oh, one other comment....The so called free breakfast, was terrible, filty, out of food, out of coffee, you get there between the times they tell you is best and they told everyone else that was the best time also, so it is full, lines everywhere, people food trays left on tables, no clean spot to sit down at, and again kids running all over the place....Just a horrible experience.	
Jul 30 2009 	One of the top Embassy Suites!	My husband and I have stayed in numerous Embassy Suites around the country and found this ES to be one of the best we've ever been in. (We checked in at this hotel after 4 nights at the Chicago Hilton attending a conference.) We used our Hilton Honors points to pay for 3 nights at the Embassy Suites. Previously when using the points, I've sometimes wondered if we were getting not quite as nice a room because we weren't &quot;paying customers.&quot; With this Embassy, there was nothing to question... our room was wonderful! We had requested an upper level room with a view and we were assigned a room on one of the top floors with a beautiful city view and view of the Chicago River! The comfort in the room was superb... everything from the beds and pillows to the room temperature. Not only did the AC work, but there was also a ceiling fan! The 2 flat screen TVs and the contemporary decor were also nice. (Not all Hilton properties have upgraded yet to flat screen TVs, like the Chicago Hilton which by the way was also HOT with very poor housekeeping) Other reviewers have spoken of the crowds at breakfast... yes, that's true, but the food was very good and there was a lot of variety. There were loads of wait staff who busily kept the tables cleaned off so that it wasn't difficult to find a clean table. I loved the piano music in the background coupled with the sound of water flowing down the wall like fountain/room divider... so even though there were lots of people, the atmosphere was relaxing. Others have also spoken to the wonderful grocery store across the street, the ease in getting to Navy Pier walkiing or taking the MTA bus that comes by the hotel, The hotel is only a few blocks away from the Magnificent Mile (great shopping) or you can catch another bus to many other areas in the city. There are numerous taxis ... and you can either hail your own taxi immediately outside the hotel (street side) OR go out the other side of the lobby where taxis are lined up at the hotel auto lobby and the doorman will have a taxi pull up for you. The doorman was also helpful in offering to get us a towncar for transportation and telling us the slight differentce in price to take a towncar to your destination versus a taxi . And there was usually a Lincoln towncar also readily available. (EX: taxi - $18 to Briar Street Theater to see Blue Man Group or $20 to same location riding in a Lincoln Town Car. We opted for the Town Car.) The people in Chicago are very friendly and were always helpful... even the bus drivers! And the city is absolutely gorgeous with so many blooming flowers and colorful plants. But back, to the Embassy Suites. We loved this hotel and will definitely make this our hotel of choice the next time we return to Chicago.	
Jul 29 2009 	Good location	The hotel was nice. The room was spacious &amp; tastefully decorated. There was a good variety of food on the breakfast buffet although I thought it was a little odd that there were no bagels nor muffins. The hotel was in a good location &amp; close to bus stops. We were able to take the bus all over the downtown area. The only negative we experienced was that all of our keys would not work when we got back to our room the first night. They gave us new room keys &amp; told us to keep them away from any cell phones &amp; credit cards. I've never had a hotel tell me that before. My key only worked that one time. I didn't bother getting a new key again. I kept the key in the same place in my purse that I have kept other hotel keys &amp; this is the first hotel I've ever had a key problem. Otherwise, we had an enjoyable stay.	
Jul 27 2009 	Wonderful place	I loved this hotel. Rooms are huge and so is the bathroom. This cleaning service was awesome. The complimentary breakfast was much better than I expected and there was plenty of food at all times. I did also liked very much teh manager's reception. You could have free drinks for two hours and also snacks! The staff was always willing to help, they sure made my stay very comfortable!	
Jul 17 2009 	Great Hotel	The location of this hotel is great. Located a couple blocks away from miracle Mile and the Navy Pier, there is plenty of shopping and dining opportunities. 2 grocery stories are within a block and with refrigerators and microwaves in the room, you can save a little money.The free breakfast is great but not very accessible for wheelchairs. Service staff didn't seem to care. But that was the only example of poor service. Everything else was great.The lack of free Internet was disappointing for the price of the hotel. Rooms are spacious and well decorated. The sky lounge is several floors up, located over a bowling alley and movie theaters but you'd never know it.	
Jul 13 2009 	Perfectly nice stay	Found staff to be helpful, we checked in rather late but that did not cause any problems. Rooms were of a very good size with two queen beds and a double sofa bed in the lounge area. Very modern and clean. Excellently situated for Navy Pier and the bus for downtown stops at the back of the hotel.Agree with other reviewers about the breakfast. As it is free, there were huge queues and although the range of foods was extensive, the food was often lukewarm. Used by many families, but this was not a problem for us with noise not being an issue.Would be more than happy to stay there again when I go back to further explore the great city of Chicago.If exploring the city by public transport, be sure to buy a pass, 3 days cost only $14, a real bargain.	
Jul 9 2009 	My Kind of Town	I could sleep under the stars in a sleeping bag in downtown Chicago (actually, I have....) and it would be great. With the world's greatest food and the best city skyline, anyplace is terrific. The view from my hotel room here is among the best I've seen in Chicago: Tribune building, Wrigley clock tower, Trump tower, Sears tower (or whatever its called now), BP building, University of Chicago, and the river. Wow! Awesome restaurants a short walk or cab ride away (this time we enjoyed Nacional 47, a Lettuce Entertain You salsa club). Cab was very easy to hail in front of hotel. 24 hour supermarket across the street, walking distance to lakefront, Navy Pier, Grant Park, and Michigan Ave. shopping. And it's way cheaper than the Peninsula, 4 Seasons, or the Drake.Oh yeah, the hotel. Tall modern chic-urban Embassy Suites. Covered Valet parking for $49 extra per night was ok. Check in kiosk was broken and check-in through clerks was average at best. Elevators are fast. General motif is modern, and rooms are a little more trendy than most ES. Rooms include smoke detector, refrigerator (no freezer), table with 3 chairs, easy chair, sleeper sofa, microwave, coffee pot, and hair dryer. Although I was there with my wife and young teens, we had so much fun in the city we slept through breakfast and never got to use the pool. So I can't comment on how this would be for a relaxing hotel-based stay, but why would you want one of those in Chicago? If your significant others won't go the sleeping bag in Chicago route, this is a great second choice.	
Jul 1 2009 	Wonderful place to stay downtown!	We loved this hotel! We are huge fans of Embassy Suites anyway -- and this one didn't disappoint us. We took Amtrak into town so we didn't have to worry about the parking price -- but you will pay that price anywhere you stay downtown.What I loved the most was the location. You are so close to things -- Dominick's (a beautiful grocery store w/a Starbucks inside), Walgreens, AMC movie theater, and a bowling alley. Also, you are within 10 to 15 minutes walking to Michigan Ave. shopping in one direction and Navy Pier the other direction.We also enjoyed P.J. Clarke's restaurant adjacent to the hotel. At first I was disappointed that they didn't have a kids' menu. But, they had a few very kid-friendly selections on their adult menu -- cheeseburger, grilled cheese (my kids' choice -- it was superb!), pasta, etc. And, they did have crayons and a placemat to color and games to play on the back. The staff was wonderful -- and VERY accomodating! I was also pleasantly surprised at the pool. When I looked at it on the website it looked like a true lap pool -- well, it is but wider than a single-lap lap pool. It was amazing how many kids were in that pool -- and it didn't seem like they were on top of each other. My son and I also used the fitness room and were very pleased with that.All in all -- an excellent stay!	
